00000002272ee348 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002272f5ef8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary7COSEKeyV
00000002272f5ee4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ 11CBORLibrary9COSE_Mac0V
00000002272f5e0a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So20COSEKeyOperationTypeV
00000002272f60dc (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE07EncodedA0V
00000002272f60e2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE20EncodedCBORTag24DataV
00000002272f5f0a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So4CBORC11CBORLibraryE9InitErrorO
00000002272f5e10 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ So8CBORTypeV
00000002272f6012 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____8fallback_t 11CBORLibrary11CBOREncoderC26DictionaryEncodingStrategyO
00000002272f5dac (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____Sg 10Foundation4DateV
00000002272f5dd2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____Sg s17CodingUserInfoKeyV
00000002272f6030 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____SgXw 11CBORLibrary11CBOREncoderC
00000002272f6066 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______So4CBORCt 11CBORLibrary15_CBORDictionary33_7693559CB90E2482CACD4C8EAD5C6230LLC
00000002272f607c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p 11CBORLibrary27ExplicitKeyOrderedEncodableP
00000002272f5e68 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p s9CodingKeyP
00000002272f6084 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______pSg 11CBORLibrary27ExplicitKeyOrderedEncodableP
00000002272f5e70 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______p______t s9CodingKeyP s13DecodingErrorO7ContextV
00000002272f5dda (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ______ypt s17CodingUserInfoKeyV
00000002272f5dbe (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySSypG s18_DictionaryStorageC
00000002272f5f3c (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySiG s23_ContiguousArrayStorageC
00000002272f5d94 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORCACG s18_DictionaryStorageC
00000002272f5e80 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORC_ACtG s23_ContiguousArrayStorageC
00000002272f5d7a (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____ySo4CBORCyXlG s18_DictionaryStorageC
00000002272f5ea2 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s22KeyedDecodingContainerV 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00000002272f5e94 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s22KeyedEncodingContainerV 11CBORLibrary10COSE_Sign1V8X509HashV10CodingKeys33_F477FF0A5CB3CEA49BCEC6F608873A6DLLO
00000002272f5f2e (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s23_ContiguousArrayStorageC So20COSEKeyOperationTypeV
00000002272f5f46 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____G s23_ContiguousArrayStorageC s5UInt8V
00000002272f5e58 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y______pG s23_ContiguousArrayStorageC s9CodingKeyP
00000002272f5de4 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic _____y_____ypG s18_DictionaryStorageC s17CodingUserInfoKeyV
00000002272f5cca (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic q_
00000002272f5cc8 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic x
00000002272f5da6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ypSg
00000002272f5cb6 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic ypXmT______t s13DecodingErrorO7ContextV
00000002272f5f72 (__TEXT,__swift5_typeref) non-external (was a private external) _symbolic yp______t s13EncodingErrorO7ContextV
                 (undefined) external _timegm (from libSystem)
