00007ffb0559d372 (__TEXT,__text) non-external _DiToMD5
00007ffb05591a52 (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
00007ffb05591a16 (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
00007ffb0558e2a8 (__TEXT,__text) external __ZN8OSString4freeEv
00007ffb055aef25 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
00007ffb055aef48 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
00007ffb055aef6b (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
00007ffb0558b45e (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00007ffb0558b414 (__TEXT,__text) external __ZN9IOCommand4freeEv
00007ffb0558b3a0 (__TEXT,__text) external __ZN9IOCommand4initEv
00007ffb0558b454 (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00007ffb055a5c64 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00007ffb055a5062 (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00007ffb0558a4fe (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00007ffb055a721c (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb0558a854 (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00007ffb055a3dfc (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb055a5d9e (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00007ffb055a3d50 (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb055a6022 (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb055a4528 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00007ffb055a400c (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00007ffb055a5542 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb055a5194 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb055a4f1e (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb055a4bb6 (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb055a6ba6 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb055a4d24 (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb055a7526 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb055a72de (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb055a61c0 (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00007ffb055a80b2 (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00007ffb055a4916 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00007ffb0558a684 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00007ffb055a52ce (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb055a7ff6 (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00007ffb055a5408 (__TEXT,__text) external __ZN9IOService16SetPowerOverrideEbPFiP15OSMetaClassBase5IORPCE
00007ffb0558a9e6 (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00007ffb055a65f8 (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb055a7a82 (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb055a7c54 (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00007ffb055a78b0 (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb055a41b6 (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00007ffb055a6930 (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb055a4630 (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00007ffb055a5b2e (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00007ffb0558a6bc (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00007ffb055a7cc6 (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00007ffb055a7e24 (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00007ffb0558a916 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00007ffb055ae9ea (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00007ffb055a7470 (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00007ffb055a7a02 (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00007ffb055a3f9a (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb055a77fa (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00007ffb055a763e (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb055a8372 (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00007ffb055a76d6 (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00007ffb0558a70c (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00007ffb055a676a (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb055a422c (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00007ffb055a7f32 (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00007ffb055a59aa (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00007ffb055a5efa (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb055a75d2 (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb0558a9de (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00007ffb055a791c (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0558a4a2 (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00007ffb055a798e (__TEXT,__text) external __ZN9IOService23SetPowerOverride_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb055a814a (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00007ffb055a6f76 (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb055a4100 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00007ffb055a3ea8 (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00007ffb055a7be0 (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb055a7098 (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb055a4a48 (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb055a6e54 (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb05588b48 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb05588b90 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00007ffb055a81e6 (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00007ffb055a7af6 (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00007ffb055a7d3a (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00007ffb0558a3ea (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00007ffb055a8588 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb0558896e (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00007ffb05588a4c (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00007ffb055ae7be (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00007ffb055a866a (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00007ffb055a3f1c (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00007ffb05588b18 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb05588b30 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00007ffb055a6cea (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00007ffb055a6a74 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00007ffb055a84a6 (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb05588a9a (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb05588ae2 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00007ffb055a8428 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00007ffb055a8306 (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb055a4424 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb05587522 (__TEXT,__text) external __ZN9IOService4freeEv
00007ffb0558a2ec (__TEXT,__text) external __ZN9IOService4initEv
00007ffb055ae9a4 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00007ffb055ae9c7 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00007ffb055a4320 (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb055a56b4 (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00007ffb055a478e (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb055a648a (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb055a3744 (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00007ffb055a633a (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00007ffb0558a53c (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00007ffb055a5874 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00007ffb055a374e (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00007ffb05591cda (__TEXT,__text) external __ZN9OSBoolean4freeEv
00007ffb055a121a (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00007ffb055abe4c (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00007ffb0559054a (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00007ffb0559055a (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb05590650 (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00007ffb05590b22 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb05590912 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00007ffb05590634 (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00007ffb055909f4 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00007ffb05590b12 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00007ffb0559056a (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00007ffb055905a8 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00007ffb05590a00 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00007ffb0558b384 (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00007ffb0558b392 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00007ffb0559161e (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00007ffb05591612 (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00007ffb055a0346 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00007ffb055843e0 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00007ffb05584cea (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00007ffb055843aa (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00007ffb05584c90 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00007ffb05584c84 (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00007ffb055843a0 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00007ffb05584c8a (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00007ffb05584cde (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00007ffb055a0bde (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00007ffb0559feda (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00007ffb055a2ac8 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00007ffb055a8f62 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00007ffb055aaf74 (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00007ffb055a9702 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00007ffb055ad50e (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00007ffb055913b6 (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00007ffb0559135e (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00007ffb05591372 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00007ffb055919ae (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00007ffb0559196a (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00007ffb0559176e (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00007ffb0559179c (__TEXT,__text) external __ZNK6OSData9getLengthEv
00007ffb05591662 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00007ffb05591718 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00007ffb055916e6 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00007ffb0559172c (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00007ffb05590d08 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00007ffb05591032 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00007ffb0559104e (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb055910d6 (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00007ffb05590cec (__TEXT,__text) external __ZNK7OSArray8getCountEv
00007ffb05591026 (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00007ffb05590bc2 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00007ffb05590c00 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
00007ffb055ac424 (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
00007ffb05591b0a (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
00007ffb05591b16 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
00007ffb05591b3a (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
00007ffb05591b5e (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
00007ffb05591b7c (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
00007ffb05591b9e (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
00007ffb05591c06 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
00007ffb05584c9a (__TEXT,__text) external __ZNK8OSObject6retainEv
00007ffb055ad94d (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
00007ffb055ad970 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
00007ffb05584cc0 (__TEXT,__text) external __ZNK8OSObject7releaseEv
00007ffb055ad993 (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
00007ffb0558e406 (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
00007ffb0558e440 (__TEXT,__text) external __ZNK8OSString9getLengthEv
00007ffb05591a66 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
00007ffb055917ae (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
00007ffb05591aac (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
00007ffb05591ab8 (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
00007ffb0558aa32 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
00007ffb05591cce (__TEXT,__text) external __ZNK9OSBoolean6retainEv
00007ffb05591cd4 (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
00007ffb41086bf0 (__DATA_CONST,__const) external __ZTI10IOReporter
00007ffb41087d48 (__DATA_CONST,__const) external __ZTI11IOEventLink
00007ffb41088438 (__DATA_CONST,__const) external __ZTI11IOMemoryMap
00007ffb410898d8 (__DATA_CONST,__const) external __ZTI11IOWorkGroup
00007ffb41085fd8 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSContainer
00007ffb410857f8 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSInterface
00007ffb41087238 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
00007ffb41087688 (__DATA_CONST,__const) external __ZTI12IODMACommand
00007ffb41089468 (__DATA_CONST,__const) external __ZTI12IOUserClient
00007ffb41089728 (__DATA_CONST,__const) external __ZTI12IOUserServer
00007ffb41086130 (__DATA_CONST,__const) external __ZTI12OSCollection
00007ffb41086258 (__DATA_CONST,__const) external __ZTI12OSDictionary
00007ffb410858d8 (__DATA_CONST,__const) external __ZTI12OSMappedFile
00007ffb410865d0 (__DATA_CONST,__const) external __ZTI12OSOrderedSet
00007ffb41085aa8 (__DATA_CONST,__const) external __ZTI13IOCommandPool
00007ffb41086ee8 (__DATA_CONST,__const) external __ZTI14IOReportLegend
00007ffb41086490 (__DATA_CONST,__const) weak external __ZTI14OSSetInterface
00007ffb4108a860 (__DATA_CONST,__const) external __ZTI14OSSetMetaClass
00007ffb410879e8 (__DATA_CONST,__const) external __ZTI15IODispatchQueue
00007ffb41088a80 (__DATA_CONST,__const) weak external __ZTI15IOStateReporter
00007ffb41086670 (__DATA_CONST,__const) non-external (was a private external) __ZTI15OSDataInterface
00007ffb4108a0e0 (__DATA_CONST,__const) external __ZTI15OSDataMetaClass
00007ffb41085780 (__DATA_CONST,__const) external __ZTI15OSMetaClassBase
00007ffb410868b0 (__DATA_CONST,__const) external __ZTI15OSSerialization
00007ffb41087b98 (__DATA_CONST,__const) external __ZTI16IODispatchSource
00007ffb41086b60 (__DATA_CONST,__const) external __ZTI16IOReporter_IVars
00007ffb410889c8 (__DATA_CONST,__const) weak external __ZTI16IOSimpleReporter
00007ffb41086368 (__DATA_CONST,__const) non-external (was a private external) __ZTI16OSArrayInterface
00007ffb41089ba0 (__DATA_CONST,__const) external __ZTI16OSArrayMetaClass
00007ffb41085b48 (__DATA_CONST,__const) weak external __ZTI17IOThreadInterface
00007ffb4108adb0 (__DATA_CONST,__const) external __ZTI17IOThreadMetaClass
00007ffb41089a70 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSActionInterface
00007ffb410899f0 (__DATA_CONST,__const) external __ZTI17OSActionMetaClass
00007ffb41085808 (__DATA_CONST,__const) weak external __ZTI17OSBundleInterface
00007ffb41089d90 (__DATA_CONST,__const) external __ZTI17OSBundleMetaClass
00007ffb41086728 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSNumberInterface
00007ffb4108a3c8 (__DATA_CONST,__const) external __ZTI17OSNumberMetaClass
00007ffb4108a540 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSObjectInterface
00007ffb4108a4c0 (__DATA_CONST,__const) external __ZTI17OSObjectMetaClass
00007ffb41086010 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSStringInterface
00007ffb4108a958 (__DATA_CONST,__const) external __ZTI17OSStringMetaClass
00007ffb41085978 (__DATA_CONST,__const) weak external __ZTI18IOCommandInterface
00007ffb41087400 (__DATA_CONST,__const) external __ZTI18IOCommandMetaClass
00007ffb41088288 (__DATA_CONST,__const) external __ZTI18IOMemoryDescriptor
00007ffb41088cd0 (__DATA_CONST,__const) non-external (was a private external) __ZTI18IOServiceInterface
00007ffb41088c50 (__DATA_CONST,__const) external __ZTI18IOServiceMetaClass
00007ffb410867e0 (__DATA_CONST,__const) non-external (was a private external) __ZTI18OSBooleanInterface
00007ffb41089c98 (__DATA_CONST,__const) external __ZTI18OSBooleanMetaClass
00007ffb41088b38 (__DATA_CONST,__const) weak external __ZTI19IOHistogramReporter
00007ffb41086bd8 (__DATA_CONST,__const) weak external __ZTI19IOReporterInterface
00007ffb410887d0 (__DATA_CONST,__const) external __ZTI19IOReporterMetaClass
00007ffb41087d30 (__DATA_CONST,__const) weak external __ZTI20IOEventLinkInterface
00007ffb41087cb0 (__DATA_CONST,__const) external __ZTI20IOEventLinkMetaClass
00007ffb41087f28 (__DATA_CONST,__const) external __ZTI20IOExtensiblePaniclog
00007ffb41088420 (__DATA_CONST,__const) non-external (was a private external) __ZTI20IOMemoryMapInterface
00007ffb410883a0 (__DATA_CONST,__const) external __ZTI20IOMemoryMapMetaClass
00007ffb410898c0 (__DATA_CONST,__const) weak external __ZTI20IOWorkGroupInterface
00007ffb41089840 (__DATA_CONST,__const) external __ZTI20IOWorkGroupMetaClass
00007ffb41085fc0 (__DATA_CONST,__const) non-external (was a private external) __ZTI20OSContainerInterface
00007ffb41089f80 (__DATA_CONST,__const) external __ZTI20OSContainerMetaClass
00007ffb41087670 (__DATA_CONST,__const) weak external __ZTI21IODMACommandInterface
00007ffb410875f0 (__DATA_CONST,__const) external __ZTI21IODMACommandMetaClass
00007ffb41086e50 (__DATA_CONST,__const) external __ZTI21IOStateReporter_IVars
00007ffb410891f8 (__DATA_CONST,__const) external __ZTI21IOTimerDispatchSource
00007ffb41089450 (__DATA_CONST,__const) weak external __ZTI21IOUserClientInterface
00007ffb410893b0 (__DATA_CONST,__const) external __ZTI21IOUserClientMetaClass
00007ffb41089710 (__DATA_CONST,__const) non-external (was a private external) __ZTI21IOUserServerInterface
00007ffb41089690 (__DATA_CONST,__const) external __ZTI21IOUserServerMetaClass
00007ffb41086118 (__DATA_CONST,__const) non-external (was a private external) __ZTI21OSCollectionInterface
00007ffb41089e88 (__DATA_CONST,__const) external __ZTI21OSCollectionMetaClass
00007ffb41086240 (__DATA_CONST,__const) non-external (was a private external) __ZTI21OSDictionaryInterface
00007ffb4108a1d8 (__DATA_CONST,__const) external __ZTI21OSDictionaryMetaClass
00007ffb410858c0 (__DATA_CONST,__const) weak external __ZTI21OSMappedFileInterface
00007ffb4108a2d0 (__DATA_CONST,__const) external __ZTI21OSMappedFileMetaClass
00007ffb410865b8 (__DATA_CONST,__const) weak external __ZTI21OSOrderedSetInterface
00007ffb4108a670 (__DATA_CONST,__const) external __ZTI21OSOrderedSetMetaClass
00007ffb4108ab88 (__DATA_CONST,__const) external __ZTI21_IOBlockStorageDevice
00007ffb41085a90 (__DATA_CONST,__const) weak external __ZTI22IOCommandPoolInterface
00007ffb410874f8 (__DATA_CONST,__const) external __ZTI22IOCommandPoolMetaClass
00007ffb41086cf0 (__DATA_CONST,__const) weak external __ZTI22IOSimpleReporter_IVars
