00000001e343faa8 (__DATA,__data) non-external _C
00000001802e41d8 (__TEXT,__text) external _bcopy
0000000180319464 (__TEXT,__text) non-external _bitCountMP
000000018035a35c (__TEXT,__text) non-external _bitCountMP.cold.1
000000018035e930 (__TEXT,__const) non-external _blanks
000000018035e9f0 (__TEXT,__const) non-external _blanks
00000001e343ff40 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
000000018031cb14 (__TEXT,__text) non-external _both_ftw
00000001e3440dd8 (__DATA,__bss) non-external _brapreg
0000000180317268 (__TEXT,__text) external _brk
000000018031728c (__TEXT,__text) external _bsd_signal
00000001802e98fc (__TEXT,__text) external _bsearch
00000001802f2abc (__TEXT,__text) external _bsearch_b
0000000180328d38 (__TEXT,__text) non-external _bt_broot
0000000180328a80 (__TEXT,__text) non-external _bt_page
0000000180328ea4 (__TEXT,__text) non-external _bt_preserve
0000000180328efc (__TEXT,__text) non-external _bt_psplit
000000018032899c (__TEXT,__text) non-external _bt_root
0000000180328c30 (__TEXT,__text) non-external _bt_rroot
00000001803164b8 (__TEXT,__text) external _btowc
00000001803164dc (__TEXT,__text) external _btowc_l
00000001e3441898 (__DATA,__bss) non-external _buf_asctime
0000000180342300 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
000000018035d1b8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
000000018035d190 (__TEXT,__const) non-external (was a private external) _cVersionString
000000018033f888 (__TEXT,__text) external _catclose
00000001df929478 (__DATA_CONST,__const) non-external _categories
000000018033f534 (__TEXT,__text) external _catgets
000000018033ee54 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00000001803360c0 (__TEXT,__text) external _cfgetispeed
00000001803038bc (__TEXT,__text) external _cfgetospeed
00000001803360ec (__TEXT,__text) external _cfmakeraw
00000001803360d4 (__TEXT,__text) external _cfsetispeed
00000001803360c8 (__TEXT,__text) external _cfsetospeed
00000001803360e0 (__TEXT,__text) external _cfsetspeed
0000000180332144 (__TEXT,__text) external _cgetcap
000000018033292c (__TEXT,__text) external _cgetclose
00000001803321d0 (__TEXT,__text) external _cgetent
00000001803328bc (__TEXT,__text) external _cgetfirst
0000000180332844 (__TEXT,__text) external _cgetmatch
0000000180332978 (__TEXT,__text) external _cgetnext
0000000180333104 (__TEXT,__text) external _cgetnum
00000001803320ac (__TEXT,__text) external _cgetset
0000000180332d2c (__TEXT,__text) external _cgetstr
0000000180333004 (__TEXT,__text) external _cgetustr
0000000180338368 (__TEXT,__text) non-external _chainsearch
000000018035e6e8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
000000018030ca64 (__TEXT,__text) non-external _check_env_var
00000001802f9a20 (__TEXT,__text) non-external _chmodx1
00000001802f99e4 (__TEXT,__text) external _chmodx_np
00000001802f9c44 (__TEXT,__text) non-external _chmodx_syscall
000000018033f9dc (__TEXT,__text) external _clearerr
000000018033fa20 (__TEXT,__text) external _clearerr_unlocked
0000000180308b70 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180317044 (__TEXT,__text) external _clock_getres
00000001802f1734 (__TEXT,__text) external _clock_gettime
00000001802e3ef0 (__TEXT,__text) external _clock_gettime_nsec_np
00000001e556cb2c (__DATA_DIRTY,__common) external _clock_port
00000001e556cb28 (__DATA_DIRTY,__common) external _clock_sem
00000001803170e8 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802f8b60 (__TEXT,__text) non-external _close_directory
00000001802e94fc (__TEXT,__text) external _closedir
00000001df929a80 (__DATA_CONST,__const) non-external _cnames
000000018032b188 (__TEXT,__text) non-external _collect_data
000000018032b348 (__TEXT,__text) non-external _collect_key
000000018035ebf0 (__TEXT,__const) non-external _command_substitution_str
000000018030c864 (__TEXT,__text) external _compat_mode
00000001802e8a68 (__TEXT,__text) external _confstr
00000001e3440c98 (__DATA,__bss) non-external _constdatablock
0000000180323514 (__TEXT,__text) external _copy_printf_domain
000000018030fd14 (__TEXT,__text) external _creat
00000001803255e0 (__TEXT,__text) external _creat$NOCANCEL
0000000180319b20 (__TEXT,__text) external _crypt
00000001e3440c80 (__DATA,__bss) non-external _cryptresult
                 (undefined) external _csops (from libsystem_kernel)
0000000180330538 (__TEXT,__text) external _ctermid
00000001e343fae8 (__DATA,__data) non-external _ctermid.def
0000000180330560 (__TEXT,__text) external _ctermid_r
000000018030d784 (__TEXT,__text) external _ctime
0000000180301f10 (__TEXT,__text) external _ctime_r
00000001e343fcfc (__DATA,__data) non-external _current_categories
00000001803038c4 (__TEXT,__text) non-external _currentlocale
00000001e34417d0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001e3440e38 (__DATA,__bss) non-external _curshell
0000000180330580 (__TEXT,__text) external _daemon
00000001e343fea8 (__DATA,__data) non-external _dash_prefix
00000001e556cb48 (__DATA_DIRTY,__common) external _daylight
000000018032d508 (__TEXT,__text) external _dbm_clearerr
000000018032d350 (__TEXT,__text) external _dbm_close
000000018032d484 (__TEXT,__text) external _dbm_delete
000000018032d518 (__TEXT,__text) external _dbm_dirfno
000000018032d4fc (__TEXT,__text) external _dbm_error
000000018032d358 (__TEXT,__text) external _dbm_fetch
000000018032d3a0 (__TEXT,__text) external _dbm_firstkey
000000018032d40c (__TEXT,__text) external _dbm_nextkey
000000018032d264 (__TEXT,__text) external _dbm_open
000000018032d4bc (__TEXT,__text) external _dbm_store
000000018032962c (__TEXT,__text) external _dbopen
00000001e34414f8 (__DATA,__bss) non-external _dbp
00000001e3440df8 (__DATA,__bss) non-external _decpreg
000000018035ecf8 (__TEXT,__const) non-external _degrees
0000000180337e2c (__TEXT,__text) non-external _destruct_collate
000000018034ff24 (__TEXT,__text) non-external _destruct_ctype
0000000180339d30 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
0000000180321174 (__TEXT,__text) non-external _destruct_locale
0000000180314e84 (__TEXT,__text) external _devname
00000001e3440d58 (__DATA,__bss) non-external _devname.buf
0000000180314f04 (__TEXT,__text) external _devname_r
000000018030ea74 (__TEXT,__text) external _difftime
000000018031f2b8 (__TEXT,__text) external _digittoint
000000018031f59c (__TEXT,__text) external _digittoint_l
000000018030f314 (__TEXT,__text) external _dirfd
00000001803117e8 (__TEXT,__text) external _dirname
00000001e3441490 (__DATA,__bss) non-external _dirname.dname
00000001803086e4 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
000000018030c834 (__TEXT,__text) external _div
00000001e343f9a8 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00000001803370b8 (__TEXT,__text) non-external _do_hvis
00000001803371f0 (__TEXT,__text) non-external _do_mvis
0000000180307070 (__TEXT,__text) non-external _do_svis
000000018030fe70 (__TEXT,__text) external _dprintf
000000018033fa30 (__TEXT,__text) external _dprintf_l
000000018030b388 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802f681c (__TEXT,__text) external _duplocale
00000001803231a0 (__TEXT,__text) external _dxprintf
00000001803238b0 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018034fa00 (__TEXT,__text) external _ecvt
00000001e34415e0 (__DATA,__bss) non-external _empty
00000001e34415f0 (__DATA,__bss) non-external _empty
00000001e3441604 (__DATA,__bss) non-external _empty
000000018031a834 (__TEXT,__text) external _encrypt
000000018031e07c (__TEXT,__text) non-external _end_asl
000000018031e0bc (__TEXT,__text) non-external _end_file
00000001e343fee8 (__DATA,__data) non-external _end_ptr
000000018031c634 (__TEXT,__text) external _endttyent
000000018031c9a0 (__TEXT,__text) external _endusershell
0000000180354634 (__TEXT,__text) external _endutxent
000000018031ded8 (__TEXT,__text) external _endutxent_wtmp
000000018034cf94 (__TEXT,__text) external _environ_lock_np
00000001e556b2a0 (__DATA_DIRTY,__bss) non-external _environ_pointer
000000018034cfa4 (__TEXT,__text) external _environ_unlock_np
00000001802eeba8 (__TEXT,__text) non-external _eofread
00000001802eebb0 (__TEXT,__text) non-external _eofread
0000000180330714 (__TEXT,__text) external _erand48
000000018035ac1c (__TEXT,__text) external _err
00000001803337d8 (__TEXT,__text) non-external _err_aborted
00000001803308f0 (__TEXT,__text) external _err_set_exit
0000000180330948 (__TEXT,__text) external _err_set_exit_b
00000001803308d0 (__TEXT,__text) external _err_set_file
000000018035ad84 (__TEXT,__text) external _errc
000000018035ada4 (__TEXT,__text) external _errx
000000018035e1d0 (__TEXT,__const) non-external _escape
00000001803309a4 (__TEXT,__text) external _execl
0000000180330a98 (__TEXT,__text) external _execle
0000000180330b94 (__TEXT,__text) external _execlp
0000000180330ce8 (__TEXT,__text) external _execv
0000000180330d24 (__TEXT,__text) external _execvP
0000000180330d70 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
0000000180330c84 (__TEXT,__text) external _execvp
000000018030a730 (__TEXT,__text) external _exit
0000000180322ac0 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180340130 (__TEXT,__text) external _f_prealloc
0000000180317ad8 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802f9c5c (__TEXT,__text) external _fchmodx_np
00000001802f9c98 (__TEXT,__text) non-external _fchmodx_syscall
00000001803014c8 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018034fbdc (__TEXT,__text) external _fcvt
000000018030c298 (__TEXT,__text) external _fdopen
0000000180304154 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180333bd0 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180315d5c (__TEXT,__text) external _feof
000000018033fa5c (__TEXT,__text) external _feof_unlocked
000000018030eb80 (__TEXT,__text) external _ferror
000000018033fa68 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
000000018032d1dc (__TEXT,__text) non-external _fetch_bitmap
000000018031d0b4 (__TEXT,__text) external _fflagstostr
00000001802f2b54 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018030f344 (__TEXT,__text) external _fgetc
00000001803141e8 (__TEXT,__text) external _fgetln
000000018033fab0 (__TEXT,__text) external _fgetpos
0000000180324580 (__TEXT,__text) external _fgetrune
00000001e344146c (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001803012f4 (__TEXT,__text) external _fgets
000000018033fae0 (__TEXT,__text) external _fgetwc
000000018033fc6c (__TEXT,__text) external _fgetwc_l
000000018033fdd0 (__TEXT,__text) external _fgetwln
000000018033fcf4 (__TEXT,__text) external _fgetwln_l
000000018033ffc0 (__TEXT,__text) external _fgetws
000000018033fdf4 (__TEXT,__text) external _fgetws_l
00000001e556b048 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001802f7748 (__TEXT,__text) external _fileno
000000018033ffe4 (__TEXT,__text) external _fileno_unlocked
00000001802f0b24 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001802f994c (__TEXT,__text) external _filesec_dup
00000001802f0edc (__TEXT,__text) external _filesec_free
00000001802f0b6c (__TEXT,__text) external _filesec_get_property
00000001802f08bc (__TEXT,__text) external _filesec_init
000000018031b0b4 (__TEXT,__text) external _filesec_query_property
00000001802f08f0 (__TEXT,__text) external _filesec_set_property
000000018031616c (__TEXT,__text) external _filesec_unset_property
00000001802f7984 (__TEXT,__text) non-external _find_temp_path
000000018030a40c (__TEXT,__text) non-external _first_wday_of
00000001802f2c0c (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
000000018032a4f8 (__TEXT,__text) non-external _flush_meta
0000000180353c10 (__TEXT,__text) non-external _flush_queues
000000018034c080 (__TEXT,__text) external _fmemopen
000000018034c3d8 (__TEXT,__text) non-external _fmemopen_close
000000018034c268 (__TEXT,__text) non-external _fmemopen_read
000000018034c350 (__TEXT,__text) non-external _fmemopen_seek
000000018034c2c4 (__TEXT,__text) non-external _fmemopen_write
00000001df929630 (__DATA_CONST,__const) non-external _fmt_padding
000000018030bd10 (__TEXT,__text) external _fmtcheck
000000018033114c (__TEXT,__text) external _fmtmsg
000000018030cffc (__TEXT,__text) external _fnmatch
00000001802f3108 (__TEXT,__text) external _fopen
0000000180359b2c (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001803063e4 (__TEXT,__text) external _fork
00000001803060a0 (__TEXT,__text) external _forkpty
0000000180313ef0 (__TEXT,__text) external _fparseln
000000018035de74 (__TEXT,__const) non-external _fparseln.dstr
00000001802f4938 (__TEXT,__text) external _fprintf
00000001803401bc (__TEXT,__text) external _fprintf_l
00000001e343fed8 (__DATA,__data) non-external _fptr
00000001803401e8 (__TEXT,__text) external _fpurge
00000001803154b8 (__TEXT,__text) external _fputc
000000018032477c (__TEXT,__text) external _fputrune
00000001e3441474 (__DATA,__bss) non-external _fputrune.warn_depreciated
000000018030eff8 (__TEXT,__text) external _fputs
0000000180340368 (__TEXT,__text) external _fputwc
00000001803403ec (__TEXT,__text) external _fputwc_l
00000001803405d4 (__TEXT,__text) external _fputws
0000000180340480 (__TEXT,__text) external _fputws_l
00000001802f7628 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180323320 (__TEXT,__text) external _free_printf_comp
00000001803235c4 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001802f6d60 (__TEXT,__text) external _freelocale
00000001803407a4 (__TEXT,__text) external _freopen
0000000180340ba8 (__TEXT,__text) external _fscanf
0000000180340c78 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802f6ed8 (__TEXT,__text) external _fseek
00000001802f6f60 (__TEXT,__text) external _fseeko
0000000180340d5c (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001803197d4 (__TEXT,__text) external _fstatvfs
00000001803243fc (__TEXT,__text) external _fstatx_np
00000001802f9c54 (__TEXT,__text) non-external _fstatx_syscall
00000001e343fa08 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001803250dc (__TEXT,__text) external _fsync_volume_np
00000001802f76dc (__TEXT,__text) external _ftell
00000001802f7498 (__TEXT,__text) external _ftello
0000000180349cf8 (__TEXT,__text) external _ftime
0000000180331e88 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018033f968 (__TEXT,__text) external _ftrylockfile
00000001802f464c (__TEXT,__text) non-external _fts_alloc
00000001802f7ec4 (__TEXT,__text) non-external _fts_build
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.1
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.2
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.3
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.4
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.5
000000018035a388 (__TEXT,__text) non-external _fts_build.cold.6
000000018031bb04 (__TEXT,__text) external _fts_children
000000018031b2d0 (__TEXT,__text) external _fts_close
000000018031b448 (__TEXT,__text) non-external _fts_fchdir
000000018031b3f4 (__TEXT,__text) non-external _fts_free
000000018031ba28 (__TEXT,__text) non-external _fts_load
000000018031b164 (__TEXT,__text) external _fts_open
000000018031b20c (__TEXT,__text) external _fts_open_b
00000001802f45c4 (__TEXT,__text) non-external _fts_palloc
000000018031b460 (__TEXT,__text) external _fts_read
00000001802f89c0 (__TEXT,__text) non-external _fts_safe_changedir
000000018031bacc (__TEXT,__text) external _fts_set
000000018031bc74 (__TEXT,__text) non-external _fts_sort
00000001802f46f4 (__TEXT,__text) non-external _fts_stat2
000000018031cb04 (__TEXT,__text) external _ftw
00000001803246c4 (__TEXT,__text) external _fungetrune
00000001e3441470 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001802f2db8 (__TEXT,__text) external _funlockfile
0000000180308ad4 (__TEXT,__text) external _funopen
0000000180340d68 (__TEXT,__text) external _fwide
0000000180340dd4 (__TEXT,__text) external _fwprintf
0000000180340e24 (__TEXT,__text) external _fwprintf_l
0000000180303578 (__TEXT,__text) external _fwrite
0000000180340e50 (__TEXT,__text) external _fwscanf
0000000180340ea0 (__TEXT,__text) external _fwscanf_l
00000001803231dc (__TEXT,__text) external _fxprintf
00000001803238f0 (__TEXT,__text) external _fxprintf_exec
00000001e343ffa8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180333728 (__TEXT,__text) non-external _g_opendir
000000018033367c (__TEXT,__text) non-external _g_stat
000000018034fbe4 (__TEXT,__text) external _gcvt
00000001802f5e20 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001e556b2d0 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001e556abc8 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00000001803187bc (__TEXT,__text) non-external _generalSlowpath
000000018035a120 (__TEXT,__text) non-external _generalSlowpath.cold.1
000000018035a2ac (__TEXT,__text) non-external _generalSlowpath.cold.10
000000018035a2d8 (__TEXT,__text) non-external _generalSlowpath.cold.11
000000018035a304 (__TEXT,__text) non-external _generalSlowpath.cold.12
000000018035a330 (__TEXT,__text) non-external _generalSlowpath.cold.13
000000018035a14c (__TEXT,__text) non-external _generalSlowpath.cold.2
000000018035a178 (__TEXT,__text) non-external _generalSlowpath.cold.3
000000018035a1a4 (__TEXT,__text) non-external _generalSlowpath.cold.4
000000018035a1d0 (__TEXT,__text) non-external _generalSlowpath.cold.5
000000018035a1fc (__TEXT,__text) non-external _generalSlowpath.cold.6
000000018035a228 (__TEXT,__text) non-external _generalSlowpath.cold.7
000000018035a254 (__TEXT,__text) non-external _generalSlowpath.cold.8
000000018035a280 (__TEXT,__text) non-external _generalSlowpath.cold.9
000000018031e104 (__TEXT,__text) non-external _get_asl
00000001e3440ed0 (__DATA,__bss) non-external _get_asl.utx
00000001e344142c (__DATA,__bss) non-external _get_clock.adjustment
00000001e3441440 (__DATA,__bss) non-external _get_clock.clock_seq
00000001e3441430 (__DATA,__bss) non-external _get_clock.last
000000018031e474 (__TEXT,__text) non-external _get_file
00000001e3441150 (__DATA,__bss) non-external _get_file.ux
000000018030bd90 (__TEXT,__text) non-external _get_next_format
000000018030bf30 (__TEXT,__text) non-external _get_next_format_from_precision
000000018030bed0 (__TEXT,__text) non-external _get_next_format_from_width
00000001803500ac (__TEXT,__text) non-external _getargs
00000001803500ac (__TEXT,__text) non-external _getargs
00000001803515c8 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018033de50 (__TEXT,__text) non-external _getbits
000000018035e881 (__TEXT,__const) non-external _getbits.digits
0000000180331ef0 (__TEXT,__text) external _getbsize
00000001e34414c0 (__DATA,__bss) non-external _getbsize.header
0000000180315b44 (__TEXT,__text) external _getc
0000000180340ecc (__TEXT,__text) external _getc_unlocked
0000000180340ef8 (__TEXT,__text) external _getchar
0000000180340f64 (__TEXT,__text) external _getchar_unlocked
000000018030abf8 (__TEXT,__text) external _getcwd
0000000180322c30 (__TEXT,__text) external _getdate
00000001e34413d8 (__DATA,__bss) non-external _getdate.tm
00000001e3441b24 (__DATA,__common) external _getdate_err
000000018030ec24 (__TEXT,__text) external _getdelim
000000018031a968 (__TEXT,__text) external _getdiskbyname
00000001e3440d60 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180332204 (__TEXT,__text) non-external _getent
00000001802e3dc0 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180359cd0 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00000001803255ec (__TEXT,__text) external _gethostid
00000001802f8c20 (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
000000018033eb00 (__TEXT,__text) external _getipv4sourcefilter
000000018035b428 (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
000000018035b454 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
000000018035b480 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
000000018031d530 (__TEXT,__text) external _getlastlogx
000000018031d634 (__TEXT,__text) external _getlastlogxbyname
000000018030ec18 (__TEXT,__text) external _getline
000000018031bd5c (__TEXT,__text) external _getloadavg
0000000180315a40 (__TEXT,__text) external _getlogin
0000000180315a8c (__TEXT,__text) non-external _getlogin_basic
00000001803331d4 (__TEXT,__text) external _getlogin_r
0000000180333258 (__TEXT,__text) external _getmntinfo
00000001e3441508 (__DATA,__bss) non-external _getmntinfo.vars
00000001802efa0c (__TEXT,__text) non-external _getmntinfo_internal
0000000180333290 (__TEXT,__text) external _getmntinfo_r_np
00000001803350f0 (__TEXT,__text) external _getmode
00000001802eaf50 (__TEXT,__text) non-external _getoffset
000000018030ba90 (__TEXT,__text) external _getopt
00000001e343fe88 (__DATA,__data) non-external _getopt.place
000000018030b410 (__TEXT,__text) non-external _getopt_internal
000000018035ba40 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001e343fe90 (__DATA,__data) non-external _getopt_internal.posixly_correct
000000018030b408 (__TEXT,__text) external _getopt_long
0000000180316ad4 (__TEXT,__text) external _getopt_long_only
00000001802f0fe4 (__TEXT,__text) external _getpagesize
00000001e556b2f0 (__DATA_DIRTY,__bss) non-external _getpagesize.value
0000000180334d20 (__TEXT,__text) external _getpass
00000001e34415a0 (__DATA,__bss) non-external _getpass.buf
00000001803332f8 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001802efadc (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802eb22c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180340f9c (__TEXT,__text) external _gets
000000018035e88c (__TEXT,__const) non-external _gets.w
00000001e3441844 (__DATA,__bss) non-external _gets.warned
00000001802eafa4 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018033ece0 (__TEXT,__text) external _getsourcefilter
000000018034d0c4 (__TEXT,__text) external _getsubopt
00000001802e9a00 (__TEXT,__text) external _gettimeofday
00000001e3441464 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001e3441468 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001e3441460 (__DATA,__bss) non-external _gettimeofday.validtz
000000018031bf98 (__TEXT,__text) external _getttyent
00000001e3440db0 (__DATA,__bss) non-external _getttyent.line
00000001df928c60 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001e3440d70 (__DATA,__bss) non-external _getttyent.tty
000000018031be2c (__TEXT,__text) external _getttynam
000000018031aff4 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
000000018031c74c (__TEXT,__text) external _getusershell
00000001803552ac (__TEXT,__text) external _getutmp
00000001803552e0 (__TEXT,__text) external _getutmpx
0000000180354950 (__TEXT,__text) external _getutxent
000000018031dee4 (__TEXT,__text) external _getutxent_wtmp
0000000180354b44 (__TEXT,__text) external _getutxid
0000000180354c4c (__TEXT,__text) external _getutxline
000000018035e876 (__TEXT,__const) non-external _getv4.digits
0000000180315db8 (__TEXT,__text) external _getvfsbyname
0000000180341084 (__TEXT,__text) external _getw
00000001803410c4 (__TEXT,__text) external _getwc
00000001803410e8 (__TEXT,__text) external _getwc_l
00000001803410ec (__TEXT,__text) external _getwchar
000000018034111c (__TEXT,__text) external _getwchar_l
0000000180325678 (__TEXT,__text) external _getwd
00000001802eaea8 (__TEXT,__text) non-external _getzname
0000000180333384 (__TEXT,__text) external _glob
000000018030da98 (__TEXT,__text) non-external _glob0
000000018030df8c (__TEXT,__text) non-external _glob2
000000018033339c (__TEXT,__text) external _glob_b
00000001803333b4 (__TEXT,__text) non-external _globexp1
000000018030e96c (__TEXT,__text) non-external _globfinal
000000018030ea10 (__TEXT,__text) external _globfree
000000018035eadc (__TEXT,__const) non-external _gmt
0000000180308ce0 (__TEXT,__text) non-external _gmt_init
00000001e343fe58 (__DATA,__data) non-external _gmt_notify
00000001e343fe60 (__DATA,__data) non-external _gmt_once
000000018030f3a8 (__TEXT,__text) external _gmtime
00000001e34419f0 (__DATA,__bss) non-external _gmtime_key
00000001e34419ec (__DATA,__bss) non-external _gmtime_key_error
000000018030f488 (__TEXT,__text) non-external _gmtime_key_init
00000001e343fe48 (__DATA,__data) non-external _gmtime_once
0000000180308c30 (__TEXT,__text) external _gmtime_r
0000000180308d78 (__TEXT,__text) non-external _gmtload
00000001e3441a30 (__DATA,__bss) non-external _gmtptr
0000000180308c3c (__TEXT,__text) non-external _gmtsub
000000018035ec39 (__TEXT,__const) non-external _gnuoptchar
00000001e34414e8 (__DATA,__bss) non-external _gottoprec
00000001803062e4 (__TEXT,__text) external _grantpt
0000000180343dc4 (__TEXT,__text) non-external _grouping_init
0000000180347208 (__TEXT,__text) non-external _grouping_init
0000000180343e8c (__TEXT,__text) non-external _grouping_print
0000000180347344 (__TEXT,__text) non-external _grouping_print
0000000180334d0c (__TEXT,__text) non-external _handler
00000001e3441b10 (__DATA,__bss) non-external _handlers
000000018032bb20 (__TEXT,__text) non-external _hash4
000000018032a690 (__TEXT,__text) non-external _hash_access
0000000180329e90 (__TEXT,__text) non-external _hash_close
000000018034ef34 (__TEXT,__text) external _hash_create
0000000180329ed4 (__TEXT,__text) non-external _hash_delete
000000018034efc8 (__TEXT,__text) external _hash_destroy
0000000180329f58 (__TEXT,__text) non-external _hash_fd
0000000180329f9c (__TEXT,__text) non-external _hash_get
000000018034f250 (__TEXT,__text) external _hash_purge
000000018032a004 (__TEXT,__text) non-external _hash_put
000000018034f0a0 (__TEXT,__text) external _hash_search
000000018032a090 (__TEXT,__text) non-external _hash_seq
000000018034f2d4 (__TEXT,__text) external _hash_stats
000000018032a2d0 (__TEXT,__text) non-external _hash_sync
000000018034f1d0 (__TEXT,__text) external _hash_traverse
000000018034d238 (__TEXT,__text) external _hcreate
0000000180329d78 (__TEXT,__text) non-external _hdestroy
000000018034d310 (__TEXT,__text) external _hdestroy
00000001802ef2e4 (__TEXT,__text) external _heapsort
0000000180311850 (__TEXT,__text) external _heapsort_b
000000018035d228 (__TEXT,__const) non-external _hexdigit
0000000180361b8a (__TEXT,__cstring) non-external _hexlist
