0000000182bb24f8 (__DATA,__data) non-external _C
0000000180a70b68 (__TEXT,__text) non-external _fmemopen_read
0000000180a70c50 (__TEXT,__text) non-external _fmemopen_seek
0000000180a70bc4 (__TEXT,__text) non-external _fmemopen_write
0000000180b92cc0 (__DATA_CONST,__const) non-external _fmt_padding
0000000180a42150 (__TEXT,__text) external _fmtcheck
0000000180a42668 (__TEXT,__text) external _fmtmsg
0000000180a42bf8 (__TEXT,__text) external _fnmatch
0000000180a562a0 (__TEXT,__text) external _fopen
0000000180a8c80c (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180a334b4 (__TEXT,__text) external _fork
0000000180a5645c (__TEXT,__text) external _fprintf
0000000180a564ac (__TEXT,__text) external _fprintf_l
0000000182bb3288 (__DATA,__data) non-external _fptr
0000000180a564d8 (__TEXT,__text) external _fpurge
0000000180a56568 (__TEXT,__text) external _fputc
0000000180a565f4 (__TEXT,__text) external _fputs
0000000180a56830 (__TEXT,__text) external _fputwc
0000000180a568b0 (__TEXT,__text) external _fputwc_l
0000000180a56a94 (__TEXT,__text) external _fputws
0000000180a56940 (__TEXT,__text) external _fputws_l
0000000180a56c64 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180a31b2c (__TEXT,__text) external _free_printf_comp
0000000180a31f50 (__TEXT,__text) external _free_printf_domain
0000000180a30784 (__TEXT,__text) external _freelocale
0000000180a56fb4 (__TEXT,__text) external _freopen
0000000180a573e4 (__TEXT,__text) external _fscanf
0000000180a574b8 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180a575a0 (__TEXT,__text) external _fseek
0000000180a579a8 (__TEXT,__text) external _fseeko
0000000180a57a34 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180a292d4 (__TEXT,__text) external _fstatvfs
0000000182bb1e98 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180a33c5c (__TEXT,__text) external _fsync_volume_np
0000000180a57a40 (__TEXT,__text) external _ftell
0000000180a57a44 (__TEXT,__text) external _ftello
0000000180a682f4 (__TEXT,__text) external _ftime
0000000180a438a0 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180a54b20 (__TEXT,__text) external _ftrylockfile
0000000180a2bd04 (__TEXT,__text) non-external _fts_alloc
0000000180a2aebc (__TEXT,__text) non-external _fts_build
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.1
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.2
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.3
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.4
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.5
0000000180a8db4c (__TEXT,__text) non-external _fts_build.cold.6
0000000180a2bb0c (__TEXT,__text) external _fts_children
0000000180a2a724 (__TEXT,__text) external _fts_close
0000000180a2a89c (__TEXT,__text) non-external _fts_fchdir
0000000180a2a848 (__TEXT,__text) non-external _fts_free
0000000180a2ba2c (__TEXT,__text) non-external _fts_load
0000000180a2a350 (__TEXT,__text) external _fts_open
0000000180a2a66c (__TEXT,__text) external _fts_open_b
0000000180a2bc7c (__TEXT,__text) non-external _fts_palloc
0000000180a2a8b4 (__TEXT,__text) external _fts_read
0000000180a2ad10 (__TEXT,__text) non-external _fts_safe_changedir
0000000180a2bad0 (__TEXT,__text) external _fts_set
0000000180a2bdac (__TEXT,__text) non-external _fts_sort
0000000180a2bf20 (__TEXT,__text) non-external _fts_stat2
0000000180a2d480 (__TEXT,__text) external _ftw
0000000180a54b68 (__TEXT,__text) external _funlockfile
0000000180a57c2c (__TEXT,__text) external _funopen
0000000180a580ec (__TEXT,__text) external _fwide
0000000180a58154 (__TEXT,__text) external _fwprintf
0000000180a581a4 (__TEXT,__text) external _fwprintf_l
0000000180a581d0 (__TEXT,__text) external _fwrite
0000000180a58370 (__TEXT,__text) external _fwscanf
0000000180a583c0 (__TEXT,__text) external _fwscanf_l
0000000180a319d0 (__TEXT,__text) external _fxprintf
0000000180a323e8 (__TEXT,__text) external _fxprintf_exec
0000000182bb1df0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180a7a45c (__TEXT,__text) external _gcvt
0000000180a40368 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182bb4238 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182bb2ad0 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180a28194 (__TEXT,__text) non-external _generalSlowpath
0000000180a8d8e4 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180a8da70 (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180a8da9c (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180a8dac8 (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180a8daf4 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180a8d910 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180a8d93c (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180a8d968 (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180a8d994 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180a8d9c0 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180a8d9ec (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180a8da18 (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180a8da44 (__TEXT,__text) non-external _generalSlowpath.cold.9
0000000182bb41b4 (__DATA,__bss) non-external _get_clock.adjustment
0000000182bb41c8 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182bb41b8 (__DATA,__bss) non-external _get_clock.last
0000000180a421d0 (__TEXT,__text) non-external _get_next_format
0000000180a42364 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180a42304 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180a43908 (__TEXT,__text) external _getbsize
0000000182bb4288 (__DATA,__bss) non-external _getbsize.header
0000000180a583ec (__TEXT,__text) external _getc
0000000180a58450 (__TEXT,__text) external _getc_unlocked
0000000180a5847c (__TEXT,__text) external _getchar
0000000180a584e8 (__TEXT,__text) external _getchar_unlocked
0000000180a45250 (__TEXT,__text) external _getcwd
0000000180a3144c (__TEXT,__text) external _getdate
0000000182bb4168 (__DATA,__bss) non-external _getdate.tm
0000000182bbef08 (__DATA,__common) external _getdate_err
0000000180a58520 (__TEXT,__text) external _getdelim
0000000180a29c34 (__TEXT,__text) external _getdiskbyname
0000000182bb4070 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180a43c18 (__TEXT,__text) non-external _getent
0000000180a722ac (__TEXT,__text) external _getenv
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180a33f78 (__TEXT,__text) external _gethostid
0000000180a45258 (__TEXT,__text) external _gethostname
0000000180a587e8 (__TEXT,__text) external _getline
0000000180a2c480 (__TEXT,__text) external _getloadavg
0000000180a45368 (__TEXT,__text) external _getmntinfo
0000000182bb42d0 (__DATA,__bss) non-external _getmntinfo.vars
0000000180a453a0 (__TEXT,__text) non-external _getmntinfo_internal
0000000180a4547c (__TEXT,__text) external _getmntinfo_r_np
0000000180a46ca0 (__TEXT,__text) external _getmode
0000000180a6a8bc (__TEXT,__text) non-external _getoffset
0000000180a7230c (__TEXT,__text) external _getopt
0000000182bb3230 (__DATA,__data) non-external _getopt.place
0000000180a72594 (__TEXT,__text) non-external _getopt_internal
0000000180a8ef24 (__TEXT,__text) non-external _getopt_internal.cold.1
0000000182bb3238 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180a7258c (__TEXT,__text) external _getopt_long
0000000180a72bf0 (__TEXT,__text) external _getopt_long_only
0000000180a454e4 (__TEXT,__text) external _getpagesize
0000000182bb42e8 (__DATA,__bss) non-external _getpagesize.value
0000000180a45584 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180a45610 (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180a6a910 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180a587f4 (__TEXT,__text) external _gets
0000000180a90fe8 (__TEXT,__const) non-external _gets.w
0000000182bb5d58 (__DATA,__bss) non-external _gets.warned
0000000180a6ad44 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180a73064 (__TEXT,__text) external _getsubopt
0000000180a335f4 (__TEXT,__text) external _gettimeofday
0000000182bb422c (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182bb4230 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182bb4228 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180a2c6bc (__TEXT,__text) external _getttyent
0000000182bb40c0 (__DATA,__bss) non-external _getttyent.line
0000000180b925b8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182bb4080 (__DATA,__bss) non-external _getttyent.tty
0000000180a2c550 (__TEXT,__text) external _getttynam
0000000180a2a2c0 (__TEXT,__text) non-external _gettype
0000000180a2ce68 (__TEXT,__text) external _getusershell
0000000180a2d128 (__TEXT,__text) external _getvfsbyname
0000000180a588dc (__TEXT,__text) external _getw
0000000180a5891c (__TEXT,__text) external _getwc
0000000180a58940 (__TEXT,__text) external _getwc_l
0000000180a58944 (__TEXT,__text) external _getwchar
0000000180a58974 (__TEXT,__text) external _getwchar_l
0000000180a34004 (__TEXT,__text) external _getwd
0000000180a6a814 (__TEXT,__text) non-external _getzname
0000000180a9123c (__TEXT,__const) non-external _gmt
0000000180a6ae74 (__TEXT,__text) non-external _gmt_init
0000000182bb31c8 (__DATA,__data) non-external _gmt_once
0000000180a69f04 (__TEXT,__text) external _gmtime
0000000182bba690 (__DATA,__bss) non-external _gmtime_key
0000000182bba68c (__DATA,__bss) non-external _gmtime_key_error
0000000180a69fe8 (__TEXT,__text) non-external _gmtime_key_init
0000000182bb31b8 (__DATA,__data) non-external _gmtime_once
0000000180a6a0b4 (__TEXT,__text) external _gmtime_r
0000000180a693f0 (__TEXT,__text) non-external _gmtload
0000000182bba6d0 (__DATA,__bss) non-external _gmtmem
0000000180a6a02c (__TEXT,__text) non-external _gmtsub
0000000180a91367 (__TEXT,__const) non-external _gnuoptchar
0000000182bb42b0 (__DATA,__bss) non-external _gottoprec
0000000180a7a014 (__TEXT,__text) external _grantpt
0000000180a5ff2c (__TEXT,__text) non-external _grouping_init
0000000180a64ffc (__TEXT,__text) non-external _grouping_init
0000000180a60120 (__TEXT,__text) non-external _grouping_print
0000000180a65264 (__TEXT,__text) non-external _grouping_print
0000000182bbeef0 (__DATA,__bss) non-external _handlers
0000000180a3a500 (__TEXT,__text) non-external _hash4
0000000180a390fc (__TEXT,__text) non-external _hash_access
0000000180a388f4 (__TEXT,__text) non-external _hash_close
0000000180a784b8 (__TEXT,__text) external _hash_create
0000000180a38938 (__TEXT,__text) non-external _hash_delete
0000000180a7854c (__TEXT,__text) external _hash_destroy
0000000180a389bc (__TEXT,__text) non-external _hash_fd
0000000180a38a04 (__TEXT,__text) non-external _hash_get
0000000180a787e4 (__TEXT,__text) external _hash_purge
0000000180a38a6c (__TEXT,__text) non-external _hash_put
0000000180a78628 (__TEXT,__text) external _hash_search
0000000180a38af8 (__TEXT,__text) non-external _hash_seq
0000000180a7886c (__TEXT,__text) external _hash_stats
0000000180a38d38 (__TEXT,__text) non-external _hash_sync
0000000180a78760 (__TEXT,__text) external _hash_traverse
0000000180a731d8 (__TEXT,__text) external _hcreate
0000000180a387dc (__TEXT,__text) non-external _hdestroy
0000000180a732b0 (__TEXT,__text) external _hdestroy
0000000180a73414 (__TEXT,__text) external _heapsort
0000000180a7a794 (__TEXT,__text) external _heapsort_b
0000000180a8ffb8 (__TEXT,__const) non-external _hexdigit
0000000180a93d88 (__TEXT,__cstring) non-external _hexlist
0000000182bb4128 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180a73338 (__TEXT,__text) external _hsearch
0000000182bbee88 (__DATA,__bss) non-external _htable
0000000182bbee90 (__DATA,__bss) non-external _htablesize
0000000180a91352 (__TEXT,__const) non-external _illoptchar
0000000180a91408 (__TEXT,__const) non-external _illoptstring
0000000180a736ac (__TEXT,__text) external _imaxabs
0000000180a736b8 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180a28898 (__TEXT,__text) non-external _infinity
0000000180a28b54 (__TEXT,__text) non-external _initMPFromDigits
0000000180a900b8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180a2ceac (__TEXT,__text) non-external _initshells
0000000180a770e4 (__TEXT,__text) external _initstate
0000000180a74010 (__TEXT,__text) non-external _insertionsort
0000000180a7c05c (__TEXT,__text) non-external _insertionsort
0000000180a736e4 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180a2e2f4 (__TEXT,__text) external _isalnum
0000000180a2eb94 (__TEXT,__text) external _isalnum_l
0000000180a2e36c (__TEXT,__text) external _isalpha
0000000180a2ec10 (__TEXT,__text) external _isalpha_l
0000000180a2e2e8 (__TEXT,__text) external _isascii
0000000180a4562c (__TEXT,__text) external _isatty
0000000180a2e3dc (__TEXT,__text) external _isblank
0000000180a2ec84 (__TEXT,__text) external _isblank_l
0000000180a2e44c (__TEXT,__text) external _iscntrl
0000000180a2ecf8 (__TEXT,__text) external _iscntrl_l
0000000180a2e4bc (__TEXT,__text) external _isdigit
0000000180a2ed6c (__TEXT,__text) external _isdigit_l
0000000180a2e4e4 (__TEXT,__text) external _isgraph
0000000180a2ede0 (__TEXT,__text) external _isgraph_l
0000000180a2e890 (__TEXT,__text) external _ishexnumber
0000000180a2ee54 (__TEXT,__text) external _ishexnumber_l
0000000180a2e900 (__TEXT,__text) external _isideogram
0000000180a2eec8 (__TEXT,__text) external _isideogram_l
0000000180a2e554 (__TEXT,__text) external _islower
0000000180a2ef3c (__TEXT,__text) external _islower_l
0000000180a2e970 (__TEXT,__text) external _isnumber
0000000180a2efb0 (__TEXT,__text) external _isnumber_l
0000000180a2e9e0 (__TEXT,__text) external _isphonogram
0000000180a2f024 (__TEXT,__text) external _isphonogram_l
0000000180a2e5c4 (__TEXT,__text) external _isprint
0000000180a2f098 (__TEXT,__text) external _isprint_l
0000000180a2e634 (__TEXT,__text) external _ispunct
0000000180a2f10c (__TEXT,__text) external _ispunct_l
0000000180a2ea50 (__TEXT,__text) external _isrune
0000000180a2f180 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180a2e6a4 (__TEXT,__text) external _isspace
0000000180a2f20c (__TEXT,__text) external _isspace_l
0000000180a2eac4 (__TEXT,__text) external _isspecial
0000000180a2f280 (__TEXT,__text) external _isspecial_l
0000000180a496cc (__TEXT,__text) non-external _istrsenvisx
0000000180a8e780 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180a8e7ac (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180a8e7d8 (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180a8e804 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180a49d70 (__TEXT,__text) non-external _istrsenvisxl
0000000180a2e714 (__TEXT,__text) external _isupper
0000000180a2f2f4 (__TEXT,__text) external _isupper_l
0000000180a2f42c (__TEXT,__text) external _iswalnum
0000000180a2f970 (__TEXT,__text) external _iswalnum_l
0000000180a2f4a4 (__TEXT,__text) external _iswalpha
0000000180a2f9ec (__TEXT,__text) external _iswalpha_l
0000000180a2ffbc (__TEXT,__text) external _iswascii
0000000180a2ff4c (__TEXT,__text) external _iswblank
0000000180a3026c (__TEXT,__text) external _iswblank_l
0000000180a2f514 (__TEXT,__text) external _iswcntrl
0000000180a2fa60 (__TEXT,__text) external _iswcntrl_l
0000000180a2f584 (__TEXT,__text) external _iswctype
0000000180a2fad4 (__TEXT,__text) external _iswctype_l
0000000180a2f600 (__TEXT,__text) external _iswdigit
0000000180a2fb6c (__TEXT,__text) external _iswdigit_l
0000000180a2f628 (__TEXT,__text) external _iswgraph
0000000180a2fbe0 (__TEXT,__text) external _iswgraph_l
0000000180a2ffc8 (__TEXT,__text) external _iswhexnumber
0000000180a302e0 (__TEXT,__text) external _iswhexnumber_l
0000000180a30038 (__TEXT,__text) external _iswideogram
0000000180a30354 (__TEXT,__text) external _iswideogram_l
0000000180a2f698 (__TEXT,__text) external _iswlower
0000000180a2fc54 (__TEXT,__text) external _iswlower_l
0000000180a300a8 (__TEXT,__text) external _iswnumber
0000000180a303c8 (__TEXT,__text) external _iswnumber_l
0000000180a30118 (__TEXT,__text) external _iswphonogram
0000000180a3043c (__TEXT,__text) external _iswphonogram_l
0000000180a2f708 (__TEXT,__text) external _iswprint
0000000180a2fcc8 (__TEXT,__text) external _iswprint_l
0000000180a2f778 (__TEXT,__text) external _iswpunct
0000000180a2fd3c (__TEXT,__text) external _iswpunct_l
0000000180a30188 (__TEXT,__text) external _iswrune
0000000180a304b0 (__TEXT,__text) external _iswrune_l
0000000180a2f7e8 (__TEXT,__text) external _iswspace
0000000180a2fdb0 (__TEXT,__text) external _iswspace_l
0000000180a301fc (__TEXT,__text) external _iswspecial
0000000180a3053c (__TEXT,__text) external _iswspecial_l
0000000180a2f858 (__TEXT,__text) external _iswupper
0000000180a2fe24 (__TEXT,__text) external _iswupper_l
0000000180a2f8c8 (__TEXT,__text) external _iswxdigit
0000000180a2fe98 (__TEXT,__text) external _iswxdigit_l
0000000180a2e784 (__TEXT,__text) external _isxdigit
0000000180a2f368 (__TEXT,__text) external _isxdigit_l
0000000180a456f0 (__TEXT,__text) external _jrand48
0000000180b92810 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180a3404c (__TEXT,__text) external _killpg
0000000180a7a1ec (__TEXT,__text) external _l64a
0000000182bbeee0 (__DATA,__bss) non-external _l64a.buf
0000000180a73708 (__TEXT,__text) external _labs
0000000180a4bcd0 (__TEXT,__text) non-external _largesearch
0000000182bbee38 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000182bb3078 (__DATA,__data) non-external _lastglue
0000000180a29138 (__TEXT,__text) external _lchflags
0000000180a29180 (__TEXT,__text) external _lchmod
0000000182bb5e14 (__DATA,__bss) non-external _lcl_TZname
0000000182bb5e10 (__DATA,__bss) non-external _lcl_is_set
0000000182bb30d0 (__DATA,__data) non-external (was a private external) _lcl_rwlock
0000000182bb5f18 (__DATA,__bss) non-external _lclmem
0000000180a45734 (__TEXT,__text) external _lcong48
0000000180a73714 (__TEXT,__text) external _ldiv
0000000180a73810 (__TEXT,__text) external _lfind
0000000180a5b680 (__TEXT,__text) non-external _lflush
0000000182bbef18 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180a33ccc (__TEXT,__text) external _libc_set_introspection_hooks
0000000180a8dba0 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180a8dbcc (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180a8dbf8 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180a8dc24 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180a53d54 (__TEXT,__text) external _link_addr
0000000180a53ef4 (__TEXT,__text) external _link_ntoa
0000000182bb4524 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180a73740 (__TEXT,__text) external _llabs
0000000180a7374c (__TEXT,__text) external _lldiv
0000000180a54420 (__TEXT,__text) non-external _loadCat
0000000180a506b4 (__TEXT,__text) non-external _loadlocale
0000000180a4ebec (__TEXT,__text) external _localeconv
0000000180a4ea98 (__TEXT,__text) external _localeconv_l
0000000180a8e938 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180a8e954 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180a69d68 (__TEXT,__text) external _localtime
0000000182bba688 (__DATA,__bss) non-external _localtime_key
0000000182bba680 (__DATA,__bss) non-external _localtime_key_error
0000000180a69e5c (__TEXT,__text) non-external _localtime_key_init
0000000182bb31a8 (__DATA,__data) non-external _localtime_once
0000000180a69ea0 (__TEXT,__text) external _localtime_r
0000000180a8bb70 (__TEXT,__text) external _lockf
0000000180a45778 (__TEXT,__text) external _lockf$NOCANCEL
0000000180a3254c (__TEXT,__text) external _login_tty
0000000180a4bd24 (__TEXT,__text) non-external _lookup_substsearch
0000000180a8e830 (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180a45858 (__TEXT,__text) external _lrand48
0000000180a73778 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180a291cc (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180b92610 (__DATA_CONST,__const) non-external _mapping
0000000180a4ec94 (__TEXT,__text) external _mblen
0000000180a4ec10 (__TEXT,__text) external _mblen_l
0000000180a4ed68 (__TEXT,__text) external _mbrlen
0000000180a4ed18 (__TEXT,__text) external _mbrlen_l
0000000180a4edfc (__TEXT,__text) external _mbrtowc
0000000180a4edbc (__TEXT,__text) external _mbrtowc_l
0000000180a4ee74 (__TEXT,__text) external _mbsinit
0000000180a4ee40 (__TEXT,__text) external _mbsinit_l
0000000180a4eeec (__TEXT,__text) external _mbsnrtowcs
0000000180a4eeac (__TEXT,__text) external _mbsnrtowcs_l
0000000180a4f0b4 (__TEXT,__text) external _mbsrtowcs
0000000180a4f068 (__TEXT,__text) external _mbsrtowcs_l
0000000180a4f1ac (__TEXT,__text) external _mbstowcs
0000000180a4f104 (__TEXT,__text) external _mbstowcs_l
0000000180a4f2cc (__TEXT,__text) external _mbtowc
0000000180a4f254 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180a6e10c (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180a80df8 (__TEXT,__text) external _memset_s
0000000180a53d38 (__TEXT,__text) non-external _memstream_close
0000000180a53ca4 (__TEXT,__text) non-external _memstream_seek
0000000180a8e99c (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180a8e9c8 (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180a53b5c (__TEXT,__text) non-external _memstream_update
0000000180a8e970 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180a53b90 (__TEXT,__text) non-external _memstream_write
0000000180a73888 (__TEXT,__text) external _mergesort
0000000180a7b804 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180a593b0 (__TEXT,__text) external _mkdtemp
0000000180a5943c (__TEXT,__text) external _mkdtempat_np
0000000180a592cc (__TEXT,__text) external _mkostemp
0000000180a58e14 (__TEXT,__text) external _mkostemps
0000000180a591a8 (__TEXT,__text) external _mkostempsat_np
0000000180a32a0c (__TEXT,__text) external _mkpath_np
0000000180a32a20 (__TEXT,__text) external _mkpathat_np
0000000180a59354 (__TEXT,__text) external _mkstemp
0000000180a5959c (__TEXT,__text) external _mkstemp_dprotected_np
0000000180a59220 (__TEXT,__text) external _mkstemps
0000000180a5927c (__TEXT,__text) external _mkstempsat_np
0000000180a59544 (__TEXT,__text) external _mktemp
0000000180a6a4a0 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180a91248 (__TEXT,__const) non-external _mon_lengths
0000000180a2e2d0 (__TEXT,__text) external _monaddition
0000000180a2e2e0 (__TEXT,__text) external _moncontrol
0000000180a2e2e4 (__TEXT,__text) external _moncount
0000000180a2e2c8 (__TEXT,__text) external _moninit
0000000180a2e2dc (__TEXT,__text) external _monitor
0000000180a2e2d8 (__TEXT,__text) external _monoutput
0000000180a2e2d4 (__TEXT,__text) external _monreset
0000000180a2e2cc (__TEXT,__text) external _monstartup
0000000180a55f6c (__TEXT,__text) non-external _moreglue
0000000180a3bf9c (__TEXT,__text) non-external _mpool_bkt
0000000180a3c258 (__TEXT,__text) external _mpool_close
0000000180a3beec (__TEXT,__text) external _mpool_filter
0000000180a3c094 (__TEXT,__text) external _mpool_get
0000000180a3befc (__TEXT,__text) external _mpool_new
0000000180a8e07c (__TEXT,__text) non-external _mpool_new.cold.1
0000000180a3bdf0 (__TEXT,__text) external _mpool_open
0000000180a3c23c (__TEXT,__text) external _mpool_put
0000000180a3c2b4 (__TEXT,__text) external _mpool_sync
0000000180a3c32c (__TEXT,__text) non-external _mpool_write
0000000180a4588c (__TEXT,__text) external _mrand48
0000000180a34448 (__TEXT,__text) non-external _mswap
0000000180a28d00 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180a8be00 (__TEXT,__text) external _nanosleep
0000000180a2d2c4 (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182bb4350 (__DATA,__bss) non-external _new_categories
0000000180a31bb0 (__TEXT,__text) external _new_printf_comp
0000000180a31f90 (__TEXT,__text) external _new_printf_domain
0000000180a30824 (__TEXT,__text) external _newlocale
0000000182bb3268 (__DATA,__data) non-external _next
0000000180a42b80 (__TEXT,__text) non-external _nextcomp
0000000182bb4260 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182bb4280 (__DATA,__bss) non-external _nextcomp.state
0000000180a4f72c (__TEXT,__text) external _nextwctype
0000000180a4f5b4 (__TEXT,__text) external _nextwctype_l
0000000180a2d90c (__TEXT,__text) external _nftw
0000000180a458c0 (__TEXT,__text) external _nice
0000000180a4fb80 (__TEXT,__text) external _nl_langinfo
0000000180a4f750 (__TEXT,__text) external _nl_langinfo_l
0000000182bb4348 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180a913bb (__TEXT,__const) non-external _noarg
0000000180a90f98 (__TEXT,__const) non-external _nogrouping
0000000182bb323c (__DATA,__data) non-external _nonopt_end
0000000182bb3240 (__DATA,__data) non-external _nonopt_start
0000000180a45980 (__TEXT,__text) external _nrand48
0000000180a35abc (__TEXT,__text) non-external _nroot
0000000182bb2c88 (__DATA,__data) non-external _numempty
0000000180a90ae0 (__TEXT,__const) non-external _nv
0000000180a49f14 (__TEXT,__text) external _nvis
0000000180a6a0c0 (__TEXT,__text) external _offtime
