00007ffa1fd4f5fc (__TEXT,__text) non-external +[Cube initialize]
00007ffa44285d08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mCurves
00007ffa44285d28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIdealSlideCount
00007ffa44285d30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIterationStartIndex
00007ffa44285d68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIteration
00007ffa44285d50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIterationsAdded
00007ffa44285d48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastSlideIndex
00007ffa44285d58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastUsableIteration
00007ffa44285d00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLayouts
00007ffa44285d78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mNeedsToRecalculateIterations
00007ffa44285d40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSlideStartIndex
00007ffa44285cf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSprites
00007ffa44285d20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSyncsToMusic
00007ffa442850d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAButton.mIsPressed
00007ffa442850d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAButton.mIsSet
00007ffa442827c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isFocuser
00007ffa442827d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isInZoomMode
00007ffa44282808 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isInitialized
00007ffa442827b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._panX
00007ffa442827b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._panY
00007ffa44282800 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._pzrDoRotation
00007ffa442827a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._pzrWasUpdated
00007ffa442827c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._rotation
00007ffa44282798 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._scale
00007ffa442827d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideCenter
00007ffa442827e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideRotation
00007ffa442827e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideScale
00007ffa442827f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._x0
00007ffa442827f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._y0
00007ffa442827a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustASlide.mForceIsOpaque
00007ffa44282790 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustASlide.mSprite
00007ffa44285c30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mSizeOfText
00007ffa44285c18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextImage
00007ffa44285c10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextRenderer
00007ffa44285c20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextSprite
00007ffa44285c28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextWasUpdatedSinceLastRendering
00007ffa44282828 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mImage0
00007ffa44282820 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mImage1
00007ffa44282840 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mText0Rect
00007ffa44282848 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mText1Rect
00007ffa44282818 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mTextRenderer0
00007ffa44282810 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mTextRenderer1
00007ffa44282838 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mTextSprite0
00007ffa44282830 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mTextSprite1
00007ffa44282850 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mTextWasUpdatedSinceLastRendering
00007ffa44285140 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mCurrentInfo
00007ffa44285148 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mFitMovie
00007ffa44285138 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mIsLoaded
00007ffa44285130 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mSprites
00007ffa44285150 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mTextImage0
00007ffa44285158 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMagazine.mTextRenderer0
00007ffa44282860 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectManager.mEffectPools
00007ffa44282858 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectManager.mEffectSets
00007ffa44282868 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectManager.mFontRepository
00007ffa44285348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mCenter
00007ffa44285358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mIsPanning
00007ffa44285350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mMapImage
00007ffa44285360 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mStartCenter
00007ffa44285338 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mTileQueue
00007ffa44285330 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mTiles
00007ffa44285340 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMap.mZoomLevel
00007ffa44282978 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapSlides.mBoxShadowBig
00007ffa44282980 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapSlides.mBoxShadowBigBottom
00007ffa44282988 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapSlides.mBoxShadowBigTop
00007ffa44282990 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapSlides.mRandom
00007ffa44282970 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapSlides.mSprites
00007ffa442829a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapTitle.mTextImage
00007ffa44282998 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapTitle.mTextRenderer
00007ffa442829a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapTitle.mTextSprite
00007ffa442829b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapZoom.mGradientProvider
00007ffa442829b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectMapZoom.mTileProviders
00007ffa442829c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectModern.mGradientProvider
00007ffa442829c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectModern.mSprite
00007ffa44282a58 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectOrigami._needsToUpdateSizes
00007ffa442829e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mAnimationTimeBounds
00007ffa442829f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mBackColorForImage
00007ffa44282a20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mBackColorImage
00007ffa44282a30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mBigSwing
00007ffa44282a00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mBreakCurve
00007ffa44282a08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mBreakInfos
00007ffa44282a60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mDescriptionAspectRatio
00007ffa44282a70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mDurationStretchFactor
00007ffa44282a50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mIsHorizontal
00007ffa442829f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mIsOrigami2Effect
00007ffa442829e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mIsOriginallyHorizontal
00007ffa44282a18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mItemInfos
00007ffa44282a28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mLittleSwing
00007ffa44282a68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mPixelUnit
00007ffa44282a38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mSideSwing
00007ffa442829d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mSpriteKeysWatcher
00007ffa442829d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mSprites
00007ffa44282a48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mThirdsSwingBottom
00007ffa44282a40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mThirdsSwingTop
00007ffa44282a10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigami.mTotalNumberOfFolds
00007ffa44282a88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._animationTimeBounds
00007ffa44282ac0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._defaultMainDuration
00007ffa44282ab8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._defaultPhaseInDuration
00007ffa44282ac8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._defaultPhaseOutDuration
00007ffa44282a80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._description
00007ffa44282a90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._durationStretchFactor
00007ffa44282a78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._effectID
00007ffa44282aa8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._mainDuration
00007ffa44282aa0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._phaseInDuration
00007ffa44282ab0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._phaseOutDuration
00007ffa44282a98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTiming._slideTimings
00007ffa44282ae8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mBackColorForImage
00007ffa44282b38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mBackColorImage
00007ffa44282b00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mBigSwing
00007ffa44282ae0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mBreakCurve
00007ffa44282b18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mImageSize
00007ffa44282b28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mLineWordCounts
00007ffa44282af0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mPatchworkAtEnd
00007ffa44282ad8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mSprites
00007ffa44282b10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mText0Image
00007ffa44282b08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mText0Images
00007ffa44282b30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mText0Offsets
00007ffa44282b40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mText0Renderer
00007ffa44282ad0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mText0Sprite
00007ffa44282b20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mWordCount
00007ffa44282af8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectOrigamiTitle.mWordIndexForGlyph
00007ffa44282b60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mBezierEaseIn
00007ffa44282b68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mBezierEaseOut
00007ffa44282b70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mBreakProvider
00007ffa44282b48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mFrameProvider
00007ffa44282b58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mIsLoaded
00007ffa44282b50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mSprites
00007ffa44282b78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mText0Image
00007ffa44282b80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPhotoEdges.mText0Renderer
00007ffa44284f48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mAspectRatios
00007ffa44284f38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mFirstFrame
00007ffa44284ef0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mFrameProviders
00007ffa44284ef8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mFrameSprite
00007ffa44284f30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mFrames
00007ffa44284f08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mGradientProvider
00007ffa44284f50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mIsLoaded
00007ffa44284f40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mLastFrame
00007ffa44284f18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mLayoutWidths
00007ffa44284f28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mLayouts
00007ffa44284f20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mSlideOrder
00007ffa44284ee8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mSprites
00007ffa44284f00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mTableProviders
00007ffa44284f60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mTotalWidth
00007ffa44284f10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mWallProvider
00007ffa44284ee0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mWallSprites
00007ffa44284f58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPictureFrames.mXOffset
00007ffa442828a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mBoxShadowBigScaled
00007ffa442828a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mBoxShadowSmall
00007ffa44282880 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mGradientProvider
00007ffa44282960 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mHas1LineLabels
00007ffa44282958 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mHas2LineLabels
00007ffa44282968 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mLocalMatrix
00007ffa44282950 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mNeedsTitle
00007ffa44282948 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mNeedsWater
00007ffa44282888 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mPinProvider
00007ffa44282898 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mRedPinProvider
00007ffa44282940 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mSortedPins
00007ffa44282870 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mSprites
00007ffa44282908 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2ArrowFlippedProvider
00007ffa442828f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2ArrowProvider
00007ffa44282918 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2CapFlippedProvider
00007ffa44282900 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2CapProvider
00007ffa44282910 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2MiddleFlippedProvider
00007ffa442828f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBox2MiddleProvider
00007ffa442828d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxArrowFlippedProvider
00007ffa442828c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxArrowProvider
00007ffa442828e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxCapFlippedProvider
00007ffa442828d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxCapProvider
00007ffa442828e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxMiddleFlippedProvider
00007ffa442828c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextBoxMiddleProvider
00007ffa44282878 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextImages
00007ffa442828b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextLineCounts
00007ffa442828b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTextYOffsets
00007ffa44282920 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTitleBoxLeftProvider
00007ffa44282928 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTitleBoxMiddleProvider
00007ffa44282930 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mTitleBoxRightProvider
00007ffa44282938 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mWaterProvider
00007ffa44282890 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPinMap.mYellowPinProvider
00007ffa44285210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mFitMovies
00007ffa442851d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mFrameList
00007ffa442851a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mFrameProviders
00007ffa442851f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsBreakXL
00007ffa442851a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsLoaded
00007ffa44285200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsPortrait2Break
00007ffa442851f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsPortraitBreak
00007ffa44285208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsPortraitBreakXL
00007ffa442851b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mIsSlideOnly
00007ffa442851d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mLeftPageProvider
00007ffa44285230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mLeftZoom
00007ffa442851b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mNeedsSizeUpdate
00007ffa44285220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mPageCount
00007ffa442851e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mPageCreaseProvider
00007ffa44285228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mPortraitBreakDirection
00007ffa442851e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mRightPageProvider
00007ffa44285238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mRightZoom
00007ffa44285198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mSprites
00007ffa44285218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mTextImage0
00007ffa44285240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mTextRenderer0
00007ffa442851c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mXLCurves
00007ffa442851c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectPortfolio.mZoomCurves
00007ffa44282d00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mAspect
00007ffa44282c88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mBreakInformation
00007ffa44282ca8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mDirection
00007ffa44282c68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mGroundShadowCenterProvider
00007ffa44282c70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mGroundShadowLeftProvider
00007ffa44282c78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mGroundShadowRightProvider
00007ffa44282c60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mHasBreak
00007ffa44282c50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mHead
00007ffa44282c48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mIsLoaded
00007ffa44282c90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mLayout
00007ffa44282c80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mLayoutInfo
00007ffa44282ca0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mPhaseOutType
00007ffa44282cb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mShrink
00007ffa44282cb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mSpeedUpRight
00007ffa44282c40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mSprites
00007ffa44282c58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mTail
00007ffa44282c98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflections.mTilt
00007ffa44282d18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsBackground.mColor
00007ffa44282d10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsBackground.mGradientProvider
00007ffa44282d28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsSubtitle.mTextImage
00007ffa44282d20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsSubtitle.mTextRenderer
00007ffa44282d30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsSubtitle.mTextSprite
00007ffa44282d90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mBreakInformation
00007ffa44282d78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mCachedRenderedWords
00007ffa44282da8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mFlipped
00007ffa44282d60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mGroundShadowCenterProvider
00007ffa44282d68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mGroundShadowLeftProvider
00007ffa44282d70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mGroundShadowRightProvider
00007ffa44282da0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mImageMain
00007ffa44282d50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mIsLoaded
00007ffa44282d58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mMaskProvider
00007ffa44282dc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mSpeedUpRight
00007ffa44282d38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mSprites
00007ffa44282dc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mTextImageSize
00007ffa44282d98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mTextMain
00007ffa44282d40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mTextRenderer
00007ffa44282db0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mTextSize
00007ffa44282db8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mTextYOffset
00007ffa44282d80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mWordFrames
00007ffa44282d88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mWordImages
00007ffa44282d48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectReflectionsTitle.mWordRenderer
00007ffa442855b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectScrapbook.mFrameProviders
00007ffa442855b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectScrapbook.mIsLoaded
00007ffa442855e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectScrapbook.mIsMovieOnly
00007ffa442855f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectScrapbook.mLayouts
00007ffa442855f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectScrapbook.mLocalMatrix
