00000001e9c429a0 (__DATA,__data) external _NDR_record
00000001804ad950 (__TEXT,__text) external _mach_vm_map
00000001804d5158 (__TEXT,__text) external _mach_vm_msync
00000001804d5ad0 (__TEXT,__text) external _mach_vm_page_info
00000001804d5680 (__TEXT,__text) external _mach_vm_page_query
00000001804d5cbc (__TEXT,__text) external _mach_vm_page_range_query
00000001804b1a44 (__TEXT,__text) external _mach_vm_protect
00000001804b15e8 (__TEXT,__text) external _mach_vm_purgable_control
00000001804d6294 (__TEXT,__text) external _mach_vm_range_create
00000001804cba60 (__TEXT,__text) external _mach_vm_read
00000001804d4ea0 (__TEXT,__text) external _mach_vm_read_list
00000001804b8ea4 (__TEXT,__text) external _mach_vm_read_overwrite
00000001804cbb84 (__TEXT,__text) external _mach_vm_reallocate
00000001804c1710 (__TEXT,__text) external _mach_vm_reclaim_copied_ring_free
00000001804c174c (__TEXT,__text) external _mach_vm_reclaim_copied_ring_query
00000001804c1568 (__TEXT,__text) external _mach_vm_reclaim_get_rings_for_task
00000001804c14a8 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
00000001804c1398 (__TEXT,__text) external _mach_vm_reclaim_query_state
00000001804c0e8c (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
00000001804c14b8 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
00000001804c1634 (__TEXT,__text) external _mach_vm_reclaim_ring_copy
00000001804c14e4 (__TEXT,__text) external _mach_vm_reclaim_ring_flush
00000001804c0f3c (__TEXT,__text) external _mach_vm_reclaim_ring_resize
00000001804c0fdc (__TEXT,__text) external _mach_vm_reclaim_round_capacity
00000001804c11c4 (__TEXT,__text) external _mach_vm_reclaim_try_cancel
00000001804c1024 (__TEXT,__text) external _mach_vm_reclaim_try_enter
00000001804c1408 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001804adcb0 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting_trap
00000001804b2824 (__TEXT,__text) external _mach_vm_region
00000001804b8c30 (__TEXT,__text) external _mach_vm_region_recurse
00000001804cb930 (__TEXT,__text) external _mach_vm_remap
00000001804cb9c8 (__TEXT,__text) external _mach_vm_remap_new
00000001804cbb60 (__TEXT,__text) external _mach_vm_tag_describe
00000001804cbb5c (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
00000001804cea48 (__TEXT,__text) external _mach_vm_wire
00000001804d5024 (__TEXT,__text) external _mach_vm_write
00000001804b2a88 (__TEXT,__text) external _mach_voucher_attr_command
00000001804af674 (__TEXT,__text) external _mach_voucher_deallocate
00000001804e1d9c (__TEXT,__text) external _mach_voucher_debug_info
00000001804e1b48 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001804b87c8 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001804b05f4 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001804adcc8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001804add04 (__TEXT,__text) external _mach_wait_until
00000001804d0838 (__TEXT,__text) external _mach_zone_force_gc
00000001804d1748 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001804d15b8 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001804d066c (__TEXT,__text) external _mach_zone_info
00000001804d140c (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001804d129c (__TEXT,__text) external _mach_zone_info_for_zone
00000001804adc74 (__TEXT,__text) external _macx_backing_store_recovery
00000001804adc68 (__TEXT,__text) external _macx_backing_store_suspend
00000001804adc44 (__TEXT,__text) external _macx_swapoff
00000001804adc38 (__TEXT,__text) external _macx_swapon
00000001804adc5c (__TEXT,__text) external _macx_triggers
00000001804b09a8 (__TEXT,__text) external _madvise
00000001804b489c (__TEXT,__text) non-external _malloc
00000001e9c429a8 (__DATA,__bss) non-external _master_host_port
00000001804adf04 (__TEXT,__text) non-external _memcpy
00000001804adf04 (__TEXT,__text) non-external _memmove
00000001804b6ce4 (__TEXT,__text) external _memorystatus_control
00000001804bc648 (__TEXT,__text) external _memorystatus_get_level
00000001804c06a8 (__TEXT,__text) external _mig_allocate
00000001804b0f58 (__TEXT,__text) external _mig_dealloc_reply_port
00000001804cb6d0 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001804b39a4 (__TEXT,__text) external _mig_deallocate
00000001804adf14 (__TEXT,__text) external _mig_get_reply_port
00000001804af4a0 (__TEXT,__text) external _mig_get_special_reply_port
00000001804b31cc (__TEXT,__text) external _mig_put_reply_port
00000001804b27f0 (__TEXT,__text) external _mig_reply_setup
00000001804b31d0 (__TEXT,__text) external _mig_strncpy
00000001804af4dc (__TEXT,__text) external _mig_strncpy_zerofill
00000001804bc674 (__TEXT,__text) external _mincore
00000001804bc6a0 (__TEXT,__text) external _minherit
00000001804add28 (__TEXT,__text) external _mk_timer_arm
00000001804add40 (__TEXT,__text) external _mk_timer_arm_leeway
00000001804add34 (__TEXT,__text) external _mk_timer_cancel
00000001804add10 (__TEXT,__text) external _mk_timer_create
00000001804add1c (__TEXT,__text) external _mk_timer_destroy
00000001804af780 (__TEXT,__text) external _mkdir
00000001804b17a4 (__TEXT,__text) external _mkdirat
00000001804bc6cc (__TEXT,__text) external _mkfifo
00000001804bc6f8 (__TEXT,__text) external _mkfifoat
00000001804bc724 (__TEXT,__text) external _mknod
00000001804bc750 (__TEXT,__text) external _mknodat
00000001804b7bcc (__TEXT,__text) external _mlock
00000001804bc77c (__TEXT,__text) external _mlockall
00000001804ae96c (__TEXT,__text) external _mmap
00000001804ba274 (__TEXT,__text) external _mount
00000001804b1afc (__TEXT,__text) external _mprotect
00000001804bc7a8 (__TEXT,__text) external _mremap_encrypted
00000001804c07f8 (__TEXT,__text) external _msg_receive
00000001804c07e8 (__TEXT,__text) external _msg_rpc
00000001804c07f0 (__TEXT,__text) external _msg_send
00000001804bb374 (__TEXT,__text) external _msgctl
00000001804bc7d4 (__TEXT,__text) external _msgget
00000001804bc800 (__TEXT,__text) external _msgrcv
00000001804bb3a0 (__TEXT,__text) external _msgrcv$NOCANCEL
00000001804bc82c (__TEXT,__text) external _msgsnd
00000001804bb3cc (__TEXT,__text) external _msgsnd$NOCANCEL
00000001804baa50 (__TEXT,__text) external _msgsys
00000001804b43b4 (__TEXT,__text) external _msync
00000001804bb424 (__TEXT,__text) external _msync$NOCANCEL
00000001804b7bf8 (__TEXT,__text) external _munlock
00000001804bc858 (__TEXT,__text) external _munlockall
00000001804b16b8 (__TEXT,__text) external _munmap
00000001804b1ed4 (__TEXT,__text) external _necp_client_action
00000001804b8e4c (__TEXT,__text) external _necp_match_policy
00000001804b1e7c (__TEXT,__text) external _necp_open
00000001804bc884 (__TEXT,__text) external _necp_session_action
00000001804bc8b0 (__TEXT,__text) external _necp_session_open
00000001804bc8dc (__TEXT,__text) external _net_qos_guideline
00000001804bc908 (__TEXT,__text) external _netagent_trigger
00000001804d84ec (__TEXT,__text) external _netname_check_in
00000001804d88dc (__TEXT,__text) external _netname_check_out
00000001804d8690 (__TEXT,__text) external _netname_look_up
00000001804d8a7c (__TEXT,__text) external _netname_version
00000001804c2b6c (__TEXT,__text) external _nfsclnt
00000001804bc934 (__TEXT,__text) external _nfssvc
00000001e9c42990 (__DATA,__data) external _non_boost_assertion_token
00000001e9c42988 (__DATA,__data) external _normal_boost_assertion_token
00000001804bc960 (__TEXT,__text) external _ntp_adjtime
00000001804bc98c (__TEXT,__text) external _ntp_gettime
00000001804bc9b8 (__TEXT,__text) external _objc_bp_assist_cfg_np
00000001804b98b0 (__TEXT,__text) external _open
00000001804c2bf4 (__TEXT,__text) external _open$NOCANCEL
00000001804b378c (__TEXT,__text) external _open_dprotected_np
00000001804ca18c (__TEXT,__text) external _openat
00000001804c2cbc (__TEXT,__text) external _openat$NOCANCEL
00000001804ca9f4 (__TEXT,__text) external _openat_authenticated_np
00000001804ca990 (__TEXT,__text) external _openat_dprotected_np
00000001804bc9e4 (__TEXT,__text) external _openbyid_np
00000001804bf52c (__TEXT,__text) external _os_buflet_get_data_address
00000001804bf4fc (__TEXT,__text) external _os_buflet_get_data_length
00000001804bf534 (__TEXT,__text) external _os_buflet_get_data_limit
00000001804bf4f4 (__TEXT,__text) external _os_buflet_get_data_offset
00000001804bf51c (__TEXT,__text) external _os_buflet_get_object_address
00000001804bf524 (__TEXT,__text) external _os_buflet_get_object_limit
00000001804bf510 (__TEXT,__text) external _os_buflet_set_data_length
00000001804bf504 (__TEXT,__text) external _os_buflet_set_data_offset
00000001804c5c3c (__TEXT,__text) external _os_channel_advance_slot
00000001804c6820 (__TEXT,__text) external _os_channel_attr_clone
00000001804c6790 (__TEXT,__text) external _os_channel_attr_create
00000001804c6a34 (__TEXT,__text) external _os_channel_attr_destroy
00000001804c6bfc (__TEXT,__text) external _os_channel_attr_get
00000001804c6d24 (__TEXT,__text) external _os_channel_attr_get_key
00000001804c6b04 (__TEXT,__text) external _os_channel_attr_set
00000001804c68b4 (__TEXT,__text) external _os_channel_attr_set_key
00000001804c5be4 (__TEXT,__text) external _os_channel_available_slot_count
00000001804c81a8 (__TEXT,__text) external _os_channel_buflet_alloc
00000001804c7bc0 (__TEXT,__text) external _os_channel_buflet_free
00000001804c8174 (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001804c5848 (__TEXT,__text) external _os_channel_create
00000001804c4ea4 (__TEXT,__text) external _os_channel_create_extended
00000001804c59d0 (__TEXT,__text) external _os_channel_destroy
00000001804c80d8 (__TEXT,__text) external _os_channel_event_free
00000001804cb650 (__TEXT,__text) external _os_channel_event_get_event_data
00000001804cb5b8 (__TEXT,__text) external _os_channel_event_get_next_event
00000001804c63d4 (__TEXT,__text) external _os_channel_flow_admissible
00000001804c65ac (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
00000001804c65b4 (__TEXT,__text) external _os_channel_flow_adv_get_feedback
00000001804c63b0 (__TEXT,__text) external _os_channel_get_advisory_region
00000001804c5858 (__TEXT,__text) external _os_channel_get_fd
00000001804c80dc (__TEXT,__text) external _os_channel_get_interface_advisory
00000001804c7d50 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001804c5cc8 (__TEXT,__text) external _os_channel_get_next_slot
00000001804c6340 (__TEXT,__text) external _os_channel_get_stats_region
00000001804c83d0 (__TEXT,__text) external _os_channel_get_upp_buffer_stats
00000001804c563c (__TEXT,__text) non-external _os_channel_info2attr
00000001804c5740 (__TEXT,__text) non-external _os_channel_init_ring
00000001804c5ab4 (__TEXT,__text) external _os_channel_is_defunct
00000001804c71a4 (__TEXT,__text) external _os_channel_large_packet_alloc
00000001804c6d9c (__TEXT,__text) external _os_channel_packet_alloc
00000001804c6da4 (__TEXT,__text) non-external _os_channel_packet_alloc_common
00000001804c71ac (__TEXT,__text) external _os_channel_packet_free
00000001804c7654 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001804c5bb4 (__TEXT,__text) external _os_channel_pending
00000001804c7938 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
00000001804c5860 (__TEXT,__text) external _os_channel_read_attr
00000001804c5980 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804c5ac8 (__TEXT,__text) external _os_channel_ring_id
00000001804c5bd8 (__TEXT,__text) external _os_channel_ring_notify_time
00000001804c5bcc (__TEXT,__text) external _os_channel_ring_sync_time
00000001804c5b58 (__TEXT,__text) external _os_channel_rx_ring
00000001804c60b4 (__TEXT,__text) external _os_channel_set_slot_properties
00000001804c7338 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001804c74c4 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001804c61f0 (__TEXT,__text) external _os_channel_slot_get_packet
00000001804c59a4 (__TEXT,__text) external _os_channel_sync
00000001804c5b14 (__TEXT,__text) external _os_channel_tx_ring
00000001804c58b4 (__TEXT,__text) external _os_channel_write_attr
00000001804bf4c0 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001804ba7c0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001804ca8a0 (__TEXT,__text) external _os_cpu_in_cksum
00000001804ba520 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001804bf65c (__TEXT,__text) external _os_custom_x18_abi_enabled
00000001804bca10 (__TEXT,__text) external _os_fault_with_payload
00000001804bf4bc (__TEXT,__text) external _os_inet_checksum
00000001804c4ab0 (__TEXT,__text) external _os_log_coprocessor_as_kernel
00000001804c4ab4 (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
00000001804c8c04 (__TEXT,__text) external _os_nexus_attr_clone
00000001804c8b74 (__TEXT,__text) external _os_nexus_attr_create
00000001804c8e4c (__TEXT,__text) external _os_nexus_attr_destroy
00000001804c8e18 (__TEXT,__text) external _os_nexus_attr_get
00000001804c8c60 (__TEXT,__text) external _os_nexus_attr_set
00000001804c95c4 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001804c92a8 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001804c92c8 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001804c8e94 (__TEXT,__text) external _os_nexus_controller_create
00000001804c929c (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001804c9bbc (__TEXT,__text) external _os_nexus_controller_destroy
00000001804c92bc (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001804c8f84 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001804c9870 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
00000001804c9468 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001804c8f8c (__TEXT,__text) external _os_nexus_controller_register_provider
00000001804c97d8 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001804c93ec (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001804ca0f4 (__TEXT,__text) external _os_nexus_flow_set_connection_idle
00000001804c9f40 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
00000001804bf3e4 (__TEXT,__text) external _os_packet_add_buflet
00000001804bed44 (__TEXT,__text) external _os_packet_add_inet_csum_flags
00000001804bee44 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001804bf470 (__TEXT,__text) external _os_packet_decrement_use_count
00000001804bf2c4 (__TEXT,__text) external _os_packet_finalize
00000001804bf498 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001804bf270 (__TEXT,__text) external _os_packet_get_buflet_count
00000001804bebfc (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001804bf264 (__TEXT,__text) external _os_packet_get_data_length
00000001804bee98 (__TEXT,__text) external _os_packet_get_expire_time
00000001804beef4 (__TEXT,__text) external _os_packet_get_expiry_action
00000001804bed94 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001804bee88 (__TEXT,__text) external _os_packet_get_group_end
00000001804bee64 (__TEXT,__text) external _os_packet_get_group_start
00000001804be908 (__TEXT,__text) external _os_packet_get_headroom
00000001804bed64 (__TEXT,__text) external _os_packet_get_inet_checksum
00000001804bf20c (__TEXT,__text) external _os_packet_get_keep_alive
00000001804be95c (__TEXT,__text) external _os_packet_get_link_broadcast
00000001804be9ac (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001804be938 (__TEXT,__text) external _os_packet_get_link_header_length
00000001804be984 (__TEXT,__text) external _os_packet_get_link_multicast
00000001804bf288 (__TEXT,__text) external _os_packet_get_next_buflet
00000001804bf08c (__TEXT,__text) external _os_packet_get_packetid
00000001804bf2b8 (__TEXT,__text) external _os_packet_get_segment_count
00000001804beb28 (__TEXT,__text) external _os_packet_get_service_class
00000001804bef50 (__TEXT,__text) external _os_packet_get_token
00000001804bf53c (__TEXT,__text) external _os_packet_get_trace_id
00000001804bec5c (__TEXT,__text) external _os_packet_get_traffic_class
00000001804bea24 (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001804be9d4 (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804be9fc (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001804bf240 (__TEXT,__text) external _os_packet_get_truncated
00000001804bf194 (__TEXT,__text) external _os_packet_get_vlan_id
00000001804bf19c (__TEXT,__text) external _os_packet_get_vlan_priority
00000001804bf16c (__TEXT,__text) external _os_packet_get_vlan_tag
00000001804bf1e8 (__TEXT,__text) external _os_packet_get_wake_flag
00000001804bf444 (__TEXT,__text) external _os_packet_increment_use_count
00000001804bf1a4 (__TEXT,__text) external _os_packet_set_app_metadata
00000001804bebec (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001804beec8 (__TEXT,__text) external _os_packet_set_expire_time
00000001804bef24 (__TEXT,__text) external _os_packet_set_expiry_action
00000001804bedec (__TEXT,__text) external _os_packet_set_flow_uuid
00000001804bee74 (__TEXT,__text) external _os_packet_set_group_end
00000001804bee50 (__TEXT,__text) external _os_packet_set_group_start
00000001804be8e4 (__TEXT,__text) external _os_packet_set_headroom
00000001804bed20 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001804bf21c (__TEXT,__text) external _os_packet_set_keep_alive
00000001804bf250 (__TEXT,__text) external _os_packet_set_l4s_flag
00000001804be944 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804be994 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001804be914 (__TEXT,__text) external _os_packet_set_link_header_length
00000001804be96c (__TEXT,__text) external _os_packet_set_link_multicast
00000001804bf0f8 (__TEXT,__text) external _os_packet_set_packetid
00000001804bf5b8 (__TEXT,__text) external _os_packet_set_protocol_segment_size
00000001804bea4c (__TEXT,__text) external _os_packet_set_service_class
00000001804beff8 (__TEXT,__text) external _os_packet_set_token
00000001804bf548 (__TEXT,__text) external _os_packet_set_trace_id
00000001804bec28 (__TEXT,__text) external _os_packet_set_traffic_class
00000001804bea34 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001804bea0c (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001804be9bc (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001804be9e4 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001804bf5c8 (__TEXT,__text) external _os_packet_set_tso_flags
00000001804bf4a4 (__TEXT,__text) external _os_packet_set_tx_timestamp
00000001804bf150 (__TEXT,__text) external _os_packet_set_vlan_tag
00000001804bf1f8 (__TEXT,__text) external _os_packet_set_wake_flag
00000001804bf554 (__TEXT,__text) external _os_packet_trace_event
00000001804c0e88 (__TEXT,__text) external _os_proc_available_memory
00000001804bf5e0 (__TEXT,__text) external _os_set_custom_x18_abi_enabled
00000001804e2010 (__TEXT,__text) external _panic
00000001804c0764 (__TEXT,__text) external _panic_init
00000001804bca3c (__TEXT,__text) external _panic_with_data
00000001804b6058 (__TEXT,__text) external _pathconf
00000001804bca68 (__TEXT,__text) external _peeloff
00000001804adc20 (__TEXT,__text) external _pid_for_task
00000001804bca94 (__TEXT,__text) external _pid_hibernate
00000001804bcac0 (__TEXT,__text) external _pid_resume
00000001804c8464 (__TEXT,__text) external _pid_shutdown_networking
00000001804bcaec (__TEXT,__text) external _pid_shutdown_sockets
00000001804bcb18 (__TEXT,__text) external _pid_suspend
00000001804b43e0 (__TEXT,__text) external _pipe
00000001804bcb44 (__TEXT,__text) external _pivot_root
00000001804b66f0 (__TEXT,__text) external _poll
00000001804bb608 (__TEXT,__text) external _poll$NOCANCEL
00000001804be810 (__TEXT,__text) non-external _port_for_id_internal
00000001804c0770 (__TEXT,__text) external _port_obj_init
00000001e9c42a08 (__DATA,__common) external _port_obj_table
00000001e9c42978 (__DATA,__data) external _port_obj_table_size
00000001804b09a8 (__TEXT,__text) external _posix_madvise
00000001804b4e90 (__TEXT,__text) external _posix_spawn
00000001804b962c (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001804c3ce0 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001804c3d98 (__TEXT,__text) external _posix_spawn_file_actions_addchdir
00000001804c3d94 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001804ba444 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001804b48e8 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001804c3e64 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir
00000001804c3e60 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001804ba3a8 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001804b9ac8 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001804b53e4 (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001804b480c (__TEXT,__text) external _posix_spawn_file_actions_init
00000001e9c429c8 (__DATA,__bss) non-external _posix_spawn_with_filter
00000001804b5100 (__TEXT,__text) external _posix_spawnattr_destroy
00000001804c3c30 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001804c4220 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001804c41dc (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001804c38c0 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001804c3858 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804c3f20 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001804c37c8 (__TEXT,__text) external _posix_spawnattr_getflags
00000001804b4bc0 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001804c3934 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001804c3810 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001804c3958 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001804c37ec (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001804c3834 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001804b4a58 (__TEXT,__text) external _posix_spawnattr_init
00000001804c4420 (__TEXT,__text) external _posix_spawnattr_set_4k_page_size_np
00000001804c3c58 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001804c4848 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
00000001804c49bc (__TEXT,__text) external _posix_spawnattr_set_conclavememlimit_ext
00000001804c3ca0 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
00000001804c3c80 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001804c3cc0 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
00000001804c4444 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001804c4200 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001804c497c (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001804c4568 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001804c4638 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001804c3f6c (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001804c49dc (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001804e2d00 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001804c499c (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
00000001804c4a90 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001804c473c (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001804c43dc (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001804c4340 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001804c4374 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001804c4244 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001804c4310 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804c3c10 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001804c495c (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001804c4094 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001804c41ac (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001804c4000 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001804c3af4 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001804c4930 (__TEXT,__text) external _posix_spawnattr_set_telemetry_np
00000001804c3f4c (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001804c449c (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001804c3ab8 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
00000001804c399c (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001804b95f4 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001804b9bcc (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001804c40cc (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804c3f00 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001804b9a70 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001804c3a88 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
00000001804ba4e0 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001804b4ba0 (__TEXT,__text) external _posix_spawnattr_setflags
00000001804b671c (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001804b4c80 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001804c43fc (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001804c3a48 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001804c397c (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001804c3a68 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001804b4b7c (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001804b4b58 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001804b9a98 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001804af648 (__TEXT,__text) external _pread
00000001804bb634 (__TEXT,__text) external _pread$NOCANCEL
00000001804bcb70 (__TEXT,__text) external _preadv
00000001804bb660 (__TEXT,__text) external _preadv$NOCANCEL
00000001804c2ec8 (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001804c2320 (__TEXT,__text) external _proc_clear_cpulimits
00000001804c24f8 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001804c1d30 (__TEXT,__text) external _proc_clear_dirty
00000001804c23d8 (__TEXT,__text) external _proc_clear_vmpressure
00000001804c1be8 (__TEXT,__text) external _proc_current_thread_schedinfo
00000001804b7ee0 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001804b7fa4 (__TEXT,__text) external _proc_denap_assertion_complete
00000001804c2558 (__TEXT,__text) external _proc_disable_apptype
00000001804b92b8 (__TEXT,__text) external _proc_disable_cpumon
00000001804b7b98 (__TEXT,__text) external _proc_disable_wakemon
00000001804c2380 (__TEXT,__text) external _proc_donate_importance_boost
00000001804c25d0 (__TEXT,__text) external _proc_enable_apptype
00000001804b7b18 (__TEXT,__text) external _proc_get_cpumon_params
00000001804c1cb4 (__TEXT,__text) external _proc_get_dirty
00000001804c221c (__TEXT,__text) external _proc_get_wakemon_params
00000001804b7ee8 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001804b7fa8 (__TEXT,__text) external _proc_importance_assertion_complete
00000001804c1aec (__TEXT,__text) external _proc_kmsgbuf
00000001804c1c94 (__TEXT,__text) external _proc_libversion
00000001804c2288 (__TEXT,__text) external _proc_list_dynkqueueids
00000001804c226c (__TEXT,__text) external _proc_list_uptrs
00000001804c17fc (__TEXT,__text) external _proc_listallpids
00000001804c1874 (__TEXT,__text) external _proc_listchildpids
00000001804c18b0 (__TEXT,__text) external _proc_listcoalitions
00000001804c1838 (__TEXT,__text) external _proc_listpgrppids
00000001804b7e90 (__TEXT,__text) external _proc_listpids
00000001804caa5c (__TEXT,__text) external _proc_listpidspath
00000001804b3ebc (__TEXT,__text) external _proc_name
