00007ffc0cea8fa5 (__TEXT,__text) non-external +[ODCAction action]
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
00007ffc0ceb4f62 (__TEXT,__text) external _od_rpc_request_create
                 (undefined) external _open (from libSystem)
00007ffc42c6f9f8 (__DATA,__bss) non-external _request_schema
00007ffc0ceb4a4b (__TEXT,__text) external _schema_construct_request
00007ffc0ceb4903 (__TEXT,__text) external _schema_construct_requestv
00007ffc0ceb4e9e (__TEXT,__text) external _schema_construct_result
00007ffc0ceb4e84 (__TEXT,__text) external _schema_construct_resultv
00007ffc0ceb4af5 (__TEXT,__text) external _schema_deconstruct_request
00007ffc0ceb4f48 (__TEXT,__text) external _schema_deconstruct_result
00007ffc0ceb4dcd (__TEXT,__text) external _schema_get_callback
00007ffc0ceb53c9 (__TEXT,__text) non-external _schema_get_callback.cold.1
00007ffc0ceb4d50 (__TEXT,__text) external _schema_set_callback
00007ffc0ceb53c9 (__TEXT,__text) non-external _schema_set_callback.cold.1
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
