00000001d8c0d178 (__DATA,__data) non-external _.compoundliteral
000000018368e460 (__TEXT,__text) non-external ___combine_conditions_block_invoke
0000000183692440 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke
0000000183691e78 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke_2
0000000183699528 (__TEXT,__text) non-external ___compile_block_invoke
0000000183699488 (__TEXT,__text) non-external ___compile_block_invoke.4
0000000183685470 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke
0000000183699784 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke.26
0000000183690eb0 (__TEXT,__text) non-external ___condition_is_contrary_with_any_in_list_block_invoke
000000018369cd64 (__TEXT,__text) non-external ___condition_is_subset_of_all_block_invoke
000000018369cd5c (__TEXT,__text) non-external ___condition_is_subset_of_any_block_invoke
00000001836909ec (__TEXT,__text) non-external ___condition_is_subset_of_any_in_list_block_invoke
0000000183690e5c (__TEXT,__text) non-external ___condition_is_superset_of_any_in_list_block_invoke
000000018369be98 (__TEXT,__text) non-external ___condition_is_transposable_within_reference_block_invoke
00000001836917e4 (__TEXT,__text) non-external ___condition_list_is_ordered_by_cost_block_invoke
0000000183692b50 (__TEXT,__text) non-external ___condition_with_patterns_combined_block_invoke
00000001836997a4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000018369e914 (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
0000000183699434 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
0000000183699d24 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
000000018369b51c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001836a2158 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r64r
00000001d8c14e48 (__DATA,__common) [referenced dynamically] external ___crashreporter_info__
000000018369e964 (__TEXT,__text) non-external ___create_pattern_disjunctions_block_invoke
000000018368f080 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke
000000018369bd38 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.14
000000018369be2c (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.18
000000018368e8e8 (__TEXT,__text) non-external ___cse_multiple_block_invoke
0000000183681394 (__TEXT,__text) non-external ___define_action_block_invoke
00000001836a1b94 (__TEXT,__text) non-external ___define_action_block_invoke.117
0000000183687e98 (__TEXT,__text) non-external ___define_action_block_invoke_2
0000000183686c2c (__TEXT,__text) non-external ___define_combination_filter_block_invoke
000000018369fec8 (__TEXT,__text) non-external ___define_error_handler_block_invoke
00000001836a00ac (__TEXT,__text) non-external ___define_error_handler_block_invoke_2
00000001836829b0 (__TEXT,__text) non-external ___define_filter_block_invoke
0000000183695150 (__TEXT,__text) non-external ___define_network_filter_block_invoke
0000000183682820 (__TEXT,__text) non-external ___define_on_open_handler_block_invoke
000000018369f86c (__TEXT,__text) non-external ___define_wrapper_filter_block_invoke
0000000183699798 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
000000018369e8d0 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
0000000183699428 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
0000000183699ce0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
000000018369b4cc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000001836a20f0 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r64r
000000018368e4cc (__TEXT,__text) non-external ___eliminate_common_subexpressions_block_invoke
000000018369bf10 (__TEXT,__text) non-external ___eliminate_common_subexpressions_policy_block_invoke
000000018369d208 (__TEXT,__text) non-external ___eliminate_dead_code_policy_block_invoke
000000018369b170 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke
000000018369b20c (__TEXT,__text) non-external ___emit_modifier_list_block_invoke.97
0000000183693988 (__TEXT,__text) non-external ___emit_profile_block_invoke
000000018369ae70 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke
000000018369aec8 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke.81
000000018369a590 (__TEXT,__text) non-external ___emit_variable_names_block_invoke
                 (undefined) external ___error (from libSystem)
000000018369026c (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke
0000000183696158 (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke.17
000000018369e0b4 (__TEXT,__text) non-external ___expand_logical_conditions_policy_block_invoke
000000018369194c (__TEXT,__text) non-external ___factor_block_invoke
000000018369d848 (__TEXT,__text) non-external ___factor_policy_block_invoke
00000001836a2754 (__TEXT,__text) non-external ___generate_mach_syscallmask_block_invoke
00000001836a2734 (__TEXT,__text) non-external ___generate_mig_syscallmask_block_invoke
00000001836a2c50 (__TEXT,__text) non-external ___generate_unix_syscallmask_block_invoke
000000018369b880 (__TEXT,__text) non-external ___iterate_string_operands_with_atom_namespaces_block_invoke
00000001836869f4 (__TEXT,__text) non-external ___list_cost_estimate_block_invoke
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
000000018368cd24 (__TEXT,__text) non-external ___operation_can_return_action_block_invoke
00000001836a1ad0 (__TEXT,__text) non-external ___operation_expand_block_invoke
000000018369b8e0 (__TEXT,__text) non-external ___populate_pattern_variable_count_block_invoke
00000001836912b4 (__TEXT,__text) non-external ___reorder_block_invoke
00000001836918c4 (__TEXT,__text) non-external ___reorder_condition_list_block_invoke
000000018369f470 (__TEXT,__text) non-external ___reorder_policy_block_invoke
000000018369ba54 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke
000000018369bac8 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke.26
0000000183690fa0 (__TEXT,__text) non-external ___resolve_jumps_block_invoke
                 (undefined) external ___sandbox_ms (from libSystem)
0000000183698c3c (__TEXT,__text) non-external ___sandbox_prepare_user_home_mount_block_invoke
0000000183699208 (__TEXT,__text) non-external ___sandbox_register_network_approval_policy_exemption_for_share_block_invoke
0000000183692cb4 (__TEXT,__text) non-external ___sb_analyze_check_dependencies_profile_block_invoke
0000000183699fb8 (__TEXT,__text) non-external ___sb_bitmask_is_subset_block_invoke
000000018368d180 (__TEXT,__text) non-external ___sb_bytecode_output_profile_block_invoke
000000018369c50c (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke
00000001836877d4 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke_2
000000018369c4fc (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke
0000000183686a34 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke_2
0000000183695b08 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke
000000018368bc9c (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_2
0000000183695af8 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_3
000000018368aad0 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_4
000000018369d034 (__TEXT,__text) non-external ___sb_condition_list_every_condition_matches_predicate_block_invoke
00000001836839ac (__TEXT,__text) non-external ___sb_filter_has_side_effects_block_invoke
0000000183685da4 (__TEXT,__text) non-external ___sb_fsa_disjunction_block_invoke
0000000183690f04 (__TEXT,__text) non-external ___sb_fsa_matches_disjoint_set_block_invoke
0000000183690d74 (__TEXT,__text) non-external ___sb_fsa_matches_subset_block_invoke
0000000183699938 (__TEXT,__text) non-external ___sb_fsa_recognizer_byteset_block_invoke
0000000183694d58 (__TEXT,__text) non-external ___sb_modifiers_apply_action_flags_block_invoke
000000018369e320 (__TEXT,__text) non-external ___sb_msgfilter_iterate_entry_points_block_invoke
0000000183680b54 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke
000000018368c864 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_10
00000001836a04d8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_11
000000018369fa80 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_12
00000001836a04b0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_13
000000018369fb28 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_14
00000001836a040c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_15
000000018369fbd0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_16
000000018369fc70 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_17
000000018369fe50 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_18
00000001836a0104 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_19
0000000183696020 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_2
000000018369593c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_3
0000000183687884 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_4
000000018368797c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_5
000000018369f9a8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_6
000000018369f9c0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_7
000000018369f9d8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_8
00000001836a0504 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_9
000000018369f5fc (__TEXT,__text) non-external ___sb_transform_resolve_jumps_policy_block_invoke
000000018369dd34 (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke
000000018369ddac (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke_2
00000001836a03a8 (__TEXT,__text) non-external ___sbpl_filter_eqv_block_invoke
00000001836a0260 (__TEXT,__text) non-external ___sbpl_operation_eqv_block_invoke
                 (undefined) external ___srget (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
000000018369dfa0 (__TEXT,__text) non-external ___synthesize_logical_conditions_policy_block_invoke
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000183680788 (__TEXT,__text) non-external ___xpc2sc_block_invoke
00000001d8c0ce58 (__DATA,__data) non-external __address_family_aliases_
000000018369b9a0 (__TEXT,__text) non-external __annotate_instruction_order
0000000183695fec (__TEXT,__text) non-external __buffer_close
0000000183695f10 (__TEXT,__text) non-external __buffer_read
0000000183695ea0 (__TEXT,__text) non-external __buffer_seek
0000000183685ff4 (__TEXT,__text) non-external __calculate_graft_position
000000018369d798 (__TEXT,__text) non-external __condition_list_diff
00000001d8c0f3b8 (__DATA,__data) non-external __csr_aliases_
00000001836a0b34 (__TEXT,__text) non-external __define_filter
000000018368009c (__TEXT,__text) non-external __define_list
0000000183680280 (__TEXT,__text) non-external __define_symbol
00000001d8c14778 (__DATA,__data) non-external __errno_value_aliases_
00000001d8c13298 (__DATA,__data) non-external __fcntl_command_aliases_
00000001836865c8 (__TEXT,__text) non-external __flatten
0000000183694f6c (__TEXT,__text) non-external __free_error_pool
00000001d8c0d1e8 (__DATA,__data) non-external __fsctl_command_aliases_
00000001d8c0f488 (__DATA,__data) non-external __host_special_port_aliases_
00000001d8c0de58 (__DATA,__data) non-external __ioctl_command_aliases_
00000001d8c119a8 (__DATA,__data) non-external __machtrap_aliases_
00000001836800ec (__TEXT,__text) non-external __make_list_v
00000001d8c144e8 (__DATA,__data) non-external __memorystatus_control_cmd_aliases_
00000001d8c11d78 (__DATA,__data) non-external __mig_routine_aliases_
00000001d8c14328 (__DATA,__data) non-external __necp_client_action_aliases_
0000000183691860 (__TEXT,__text) non-external __order
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
0000000183680888 (__TEXT,__text) non-external __parse_file
00000001d8c0fcb8 (__DATA,__data) non-external __persona_aliases_
00000001d8c0ef58 (__DATA,__data) non-external __privilege_aliases_
0000000183694a2c (__TEXT,__text) non-external __push_match_byteset_instr
000000018367d74c (__TEXT,__text) non-external __s_return
000000018368f95c (__TEXT,__text) non-external __sb_condition_list_remove_index
0000000183683798 (__TEXT,__text) non-external __sb_condition_pattern_of_type
0000000183692fac (__TEXT,__text) non-external __sb_condition_traverse_filters
0000000183699a00 (__TEXT,__text) non-external __sb_fsa_disjunction
00000001836859c4 (__TEXT,__text) non-external __sb_fsa_iterate_disjuncts
00000001836997b4 (__TEXT,__text) non-external __sb_fsa_recognizer_terminal
000000018368aee8 (__TEXT,__text) non-external __sb_fsa_serialize
000000018369d4e8 (__TEXT,__text) non-external __sb_instr_error_with_formatv
000000018368a6a8 (__TEXT,__text) non-external __sb_pattern_is_literal
00000001836794f4 (__TEXT,__text) non-external __sb_realloc_vector
00000001836a2c70 (__TEXT,__text) non-external __sb_textbuf_with_string_transfer_with_length
000000018368aae0 (__TEXT,__text) non-external __sb_value_is_equivalent
000000018369c874 (__TEXT,__text) non-external __sb_value_matches_subset
000000018369e618 (__TEXT,__text) non-external __set_modifier_string
00000001d8c0f638 (__DATA,__data) non-external __signal_aliases_
00000001d8c13768 (__DATA,__data) non-external __socket_option_level_aliases_
00000001d8c13e08 (__DATA,__data) non-external __socket_option_name_aliases_
00000001d8c0d118 (__DATA,__data) non-external __socket_type_aliases_
00000001d8c0fd38 (__DATA,__data) non-external __syscall_aliases_
00000001d8c146d8 (__DATA,__data) non-external __task_special_port_aliases_
00000001d8c0f9d8 (__DATA,__data) non-external __usb_interface_class_aliases_
00000001d8c0fae8 (__DATA,__data) non-external __usb_interface_subclass_aliases_
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_int64 (from libSystem)
                 (undefined) external __xpc_type_null (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _abort (from libSystem)
00000001836878d4 (__TEXT,__text) non-external _all_args_pass_test
000000018367a164 (__TEXT,__text) non-external _alloc_cellseg
00000001836892c4 (__TEXT,__text) non-external _alloc_literal
0000000183681ff8 (__TEXT,__text) non-external _arg_is_condition
00000001836a0434 (__TEXT,__text) non-external _arg_is_message_filter
0000000183687cec (__TEXT,__text) non-external _arg_is_modifier
0000000183682074 (__TEXT,__text) non-external _arg_is_operation
                 (undefined) external _asprintf (from libSystem)
0000000183683e38 (__TEXT,__text) non-external _assert_is_mutable
000000018369cfdc (__TEXT,__text) non-external _assert_is_mutable.336
0000000183696f88 (__TEXT,__text) non-external _atom2str
00000001836a3458 (__TEXT,__text) non-external _atom2str.cold.1
00000001836a3484 (__TEXT,__text) non-external _atom2str.cold.2
00000001836a34b0 (__TEXT,__text) non-external _atom2str.cold.3
00000001836a34dc (__TEXT,__text) non-external _atom2str.cold.4
00000001836a3508 (__TEXT,__text) non-external _atom2str.cold.5
00000001836a3534 (__TEXT,__text) non-external _atom2str.cold.6
00000001836a3560 (__TEXT,__text) non-external _atom2str.cold.7
00000001836a358c (__TEXT,__text) non-external _atom2str.cold.8
000000018367c510 (__TEXT,__text) non-external _backchar
00000001836812b8 (__TEXT,__text) non-external _backtrace_pop
00000001836a33a8 (__TEXT,__text) non-external _backtrace_pop.cold.1
000000018367adc0 (__TEXT,__text) non-external _backtrace_push
0000000183699e80 (__TEXT,__text) non-external _bitmask_extend
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
00000001836962b8 (__TEXT,__text) non-external (was a private external) _bt_pointer_code
00000001836962ec (__TEXT,__text) non-external (was a private external) _bt_pointer_col
00000001836962e0 (__TEXT,__text) non-external (was a private external) _bt_pointer_line
00000001836962c4 (__TEXT,__text) non-external (was a private external) _bt_pointer_name
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018368df1c (__TEXT,__text) non-external _can_combine_conjunction
000000018368de68 (__TEXT,__text) non-external _can_combine_disjunction
000000018368fc34 (__TEXT,__text) non-external _candidate_list_remove
0000000183692664 (__TEXT,__text) non-external _candidate_set_release
0000000183681f30 (__TEXT,__text) non-external _car
0000000183681f94 (__TEXT,__text) non-external _cdr
0000000183692d78 (__TEXT,__text) non-external _check_dependencies
000000018369eeb4 (__TEXT,__text) non-external _check_instruction
000000018369efdc (__TEXT,__text) non-external _check_policy
00000001836a2774 (__TEXT,__text) non-external _collect_filters_into_syscallmask
000000018369de98 (__TEXT,__text) non-external _combine_conditions
0000000183677214 (__TEXT,__text) non-external _compile
0000000183682e80 (__TEXT,__text) non-external _compute_cost_estimate
0000000183682b44 (__TEXT,__text) non-external _compute_hash
000000018369c350 (__TEXT,__text) non-external _compute_hash.244
0000000183686b34 (__TEXT,__text) non-external _condition_free_callback
000000018369c73c (__TEXT,__text) non-external _condition_is_subset_of_all
000000018369c7b0 (__TEXT,__text) non-external _condition_is_subset_of_any
0000000183691f1c (__TEXT,__text) non-external _condition_with_patterns_combined
0000000183698d88 (__TEXT,__text) non-external _connect_to_sandboxd_and_call
0000000183689934 (__TEXT,__text) non-external _construct_automaton
00000001836927e0 (__TEXT,__text) non-external _create_pattern_disjunctions
000000018368e600 (__TEXT,__text) non-external _cse
000000018368e970 (__TEXT,__text) non-external _cse_inferior_list
000000018368e804 (__TEXT,__text) non-external _cse_multiple
0000000183690450 (__TEXT,__text) non-external _dce
000000018368429c (__TEXT,__text) non-external _decorate_condition
0000000183680c78 (__TEXT,__text) non-external _decorate_operation
000000018369f6fc (__TEXT,__text) non-external _define_action
000000018369f790 (__TEXT,__text) non-external _define_combination_filter
000000018369d494 (__TEXT,__text) non-external _die_die_die
                 (undefined) external _dispatch_once (from libSystem)
00000001dd36d330 (__AUTH_CONST,__const) non-external _dispatch_table
000000018368c7ec (__TEXT,__text) non-external _dump_stack_restore
000000018368c774 (__TEXT,__text) non-external _dump_stack_stash
000000018369bc84 (__TEXT,__text) non-external _eliminate_common_subexpressions_policy
0000000183690314 (__TEXT,__text) non-external _eliminate_dead_code
000000018369d158 (__TEXT,__text) non-external _eliminate_dead_code_policy
0000000183694850 (__TEXT,__text) non-external _emit
000000018369a4bc (__TEXT,__text) non-external _emit_atom_table
000000018369ac38 (__TEXT,__text) non-external _emit_bitmask
0000000183693a18 (__TEXT,__text) non-external _emit_instruction
000000018369b280 (__TEXT,__text) non-external _emit_modifier_descriptor
000000018369ab78 (__TEXT,__text) non-external _emit_network
000000018369a874 (__TEXT,__text) non-external _emit_pattern
000000018369a9a8 (__TEXT,__text) non-external _emit_regex
0000000183694c50 (__TEXT,__text) non-external _emit_string
000000018369a3dc (__TEXT,__text) non-external _emit_variable_names
0000000183694414 (__TEXT,__text) non-external _encode_address
000000018368934c (__TEXT,__text) non-external _end_expression
000000018367f798 (__TEXT,__text) non-external _eqv
000000018368feb4 (__TEXT,__text) non-external _expand_logical_conditions
000000018369e008 (__TEXT,__text) non-external _expand_logical_conditions_policy
000000018369d67c (__TEXT,__text) non-external _factor_policy
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fileno (from libSystem)
000000018367a570 (__TEXT,__text) non-external (was a private external) _fill_vector
00000001d3c5cfd8 (__DATA_CONST,__const) non-external _filter_info
000000018369a7f4 (__TEXT,__text) non-external _find_atom
000000018367a4dc (__TEXT,__text) non-external _find_consecutive_cells
000000018367d79c (__TEXT,__text) non-external _find_slot_in_env
000000018368970c (__TEXT,__text) non-external _fixup_unanchored_operand
                 (undefined) external _flockfile (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000183679384 (__TEXT,__text) non-external _free_bytes_in_buffer
                 (undefined) external _fseeko (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _ftello (from libSystem)
                 (undefined) external _funlockfile (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
0000000183680dc0 (__TEXT,__text) non-external _gc
000000018368002c (__TEXT,__text) non-external (was a private external) _gc_protect
0000000183680250 (__TEXT,__text) non-external (was a private external) _gc_unprotect
00000001836a337c (__TEXT,__text) non-external _gc_unprotect.cold.1
00000001836a2364 (__TEXT,__text) non-external _generate_syscallmask
000000018367f658 (__TEXT,__text) non-external (was a private external) _gensym
00000001836a3350 (__TEXT,__text) non-external _gensym.cold.1
000000018367a674 (__TEXT,__text) non-external _get_cell
00000001836947dc (__TEXT,__text) non-external _get_current_data_address
00000001836a1eb4 (__TEXT,__text) non-external _has_pending_backtrack
000000018367c36c (__TEXT,__text) non-external _inchar
00000001836b69c5 (__TEXT,__const) non-external _init_scm
000000018369875c (__TEXT,__text) non-external _inspect_iterate_items
000000018367f280 (__TEXT,__text) non-external _is_any
00000001836962a4 (__TEXT,__text) non-external (was a private external) _is_bt_pointer
0000000183686b20 (__TEXT,__text) non-external (was a private external) _is_character
0000000183696348 (__TEXT,__text) non-external (was a private external) _is_closure
0000000183696370 (__TEXT,__text) non-external (was a private external) _is_continuation
0000000183696398 (__TEXT,__text) non-external (was a private external) _is_environment
0000000183696320 (__TEXT,__text) non-external (was a private external) _is_foreign
0000000183696334 (__TEXT,__text) non-external (was a private external) _is_foreign_block
0000000183684348 (__TEXT,__text) non-external (was a private external) _is_foreign_object
000000018368212c (__TEXT,__text) non-external (was a private external) _is_integer
000000018369635c (__TEXT,__text) non-external (was a private external) _is_macro
0000000183682780 (__TEXT,__text) non-external _is_nonneg
000000018369794c (__TEXT,__text) non-external _is_num_integer
000000018367f740 (__TEXT,__text) non-external (was a private external) _is_number
000000018367e364 (__TEXT,__text) non-external (was a private external) _is_pair
00000001836962f8 (__TEXT,__text) non-external (was a private external) _is_port
000000018368c050 (__TEXT,__text) non-external _is_position_at_end_of_sequence
000000018369630c (__TEXT,__text) non-external (was a private external) _is_proc
0000000183696384 (__TEXT,__text) non-external (was a private external) _is_promise
000000018368276c (__TEXT,__text) non-external (was a private external) _is_string
000000018368299c (__TEXT,__text) non-external (was a private external) _is_symbol
0000000183696200 (__TEXT,__text) non-external (was a private external) _is_vector
                 (undefined) external _isalnum (from libSystem)
                 (undefined) external _isalpha (from libSystem)
                 (undefined) external _isblank (from libSystem)
                 (undefined) external _iscntrl (from libSystem)
                 (undefined) external _isdigit (from libSystem)
                 (undefined) external _isgraph (from libSystem)
                 (undefined) external _islower (from libSystem)
                 (undefined) external _isprint (from libSystem)
                 (undefined) external _ispunct (from libSystem)
                 (undefined) external _isspace (from libSystem)
                 (undefined) external _isupper (from libSystem)
                 (undefined) external _isxdigit (from libSystem)
0000000183682134 (__TEXT,__text) non-external (was a private external) _ivalue
0000000183686844 (__TEXT,__text) non-external _list_cost_estimate
0000000183686a58 (__TEXT,__text) non-external _list_star
000000018369d94c (__TEXT,__text) non-external _lookup_filter_info
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_good_size (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
0000000183681104 (__TEXT,__text) non-external _mark
                 (undefined) external _matchCombine (from libMatch)
                 (undefined) external _matchCompile (from libMatch)
                 (undefined) external _matchExec (from libMatch)
                 (undefined) external _matchFree (from libMatch)
                 (undefined) external _matchInit (from libMatch)
                 (undefined) external _matchPack (from libMatch)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmem (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mergesort_b (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
000000018367d548 (__TEXT,__text) non-external _mk_atom
000000018368bf10 (__TEXT,__text) non-external (was a private external) _mk_counted_string
00000001836973b8 (__TEXT,__text) non-external _mk_empty_string
00000001836803ac (__TEXT,__text) non-external (was a private external) _mk_foreign_block
00000001836803f4 (__TEXT,__text) non-external (was a private external) _mk_foreign_func
000000018368430c (__TEXT,__text) non-external (was a private external) _mk_foreign_object
0000000183680cd8 (__TEXT,__text) non-external (was a private external) _mk_integer
000000018367e120 (__TEXT,__text) non-external _mk_sharp_const
00000001836960bc (__TEXT,__text) non-external _mk_sharp_integer
000000018367a974 (__TEXT,__text) non-external (was a private external) _mk_string
000000018367a728 (__TEXT,__text) non-external (was a private external) _mk_symbol
000000018367a328 (__TEXT,__text) non-external _mk_vector
00000001836a33d4 (__TEXT,__text) non-external _mk_vector.cold.1
00000001d3c5db58 (__DATA_CONST,__const) non-external _modifier_info
000000018368c0a4 (__TEXT,__text) non-external _move_to_next_node
00000001836a08f4 (__TEXT,__text) non-external _msgfilter_free_callback
000000018368e284 (__TEXT,__text) non-external _negate_instruction
00000001d3c5cf38 (__DATA_CONST,__const) non-external _network_filter_constants
000000018367a5c4 (__TEXT,__text) non-external _new_frame_in_env
000000018367aa74 (__TEXT,__text) non-external _new_slot_spec_in_env
00000001836c5788 (__TEXT,__const) non-external _nfBasicCF
00000001836c1bc8 (__TEXT,__const) non-external _nfTrieHi
00000001836c6188 (__TEXT,__const) non-external _nfTrieLo
00000001836c45a8 (__TEXT,__const) non-external _nfTrieMid
00000001836c21f4 (__TEXT,__const) non-external _nfU16InvMasks
00000001836c22fc (__TEXT,__const) non-external _nfU16Seq2
00000001836c2f10 (__TEXT,__const) non-external _nfU16Seq3
00000001836c3444 (__TEXT,__const) non-external _nfU16SeqMisc
00000001836c35d0 (__TEXT,__const) non-external _nfU32Char
00000001836c444c (__TEXT,__const) non-external _nfU32SeqMisc
000000018367f754 (__TEXT,__text) non-external _num_eq
0000000183686ad4 (__TEXT,__text) non-external _num_ge
000000018368bf74 (__TEXT,__text) non-external _num_gt
000000018369625c (__TEXT,__text) non-external _num_le
0000000183696214 (__TEXT,__text) non-external _num_lt
0000000183696f2c (__TEXT,__text) non-external _num_mod
00000001db4aeb50 (__DATA_DIRTY,__bss) non-external _num_one
0000000183696ebc (__TEXT,__text) non-external _num_rem
00000001db4aeb40 (__DATA_DIRTY,__bss) non-external _num_zero
000000018368435c (__TEXT,__text) non-external (was a private external) _objvalue
000000018367a840 (__TEXT,__text) non-external _oblist_add_by_name
000000018367a780 (__TEXT,__text) non-external _oblist_find_by_name
00000001836893d8 (__TEXT,__text) non-external _op_concat
0000000183689860 (__TEXT,__text) non-external _operand_release
00000001836a1810 (__TEXT,__text) non-external _operation_expand
00000001d3c5e4e8 (__DATA_CONST,__const) non-external _operation_info
00000001d3c5dee8 (__DATA_CONST,__const) non-external _operation_names
000000018369f2d4 (__TEXT,__text) non-external _operator_name
00000001836891d8 (__TEXT,__text) non-external _operator_precedence
000000018367b214 (__TEXT,__text) non-external _opexe_0
00000001836a3400 (__TEXT,__text) non-external _opexe_0.cold.1
00000001836a342c (__TEXT,__text) non-external _opexe_0.cold.2
000000018367d868 (__TEXT,__text) non-external _opexe_1
