00000001d8b65178 (__DATA,__data) non-external _.compoundliteral
00000001dd2be648 (__AUTH_CONST,__const) non-external ___block_literal_global.45
00000001dd2bed68 (__AUTH_CONST,__const) non-external ___block_literal_global.600
00000001dd2be508 (__AUTH_CONST,__const) non-external ___block_literal_global.8
00000001dd2beb38 (__AUTH_CONST,__const) non-external ___block_literal_global.8.257
000000018368a4c0 (__TEXT,__text) non-external ___candidate_is_transposable_block_invoke
000000018368a230 (__TEXT,__text) non-external ___candidate_list_add_multiple_block_invoke
000000018368a670 (__TEXT,__text) non-external ___candidate_remove_common_condition_block_invoke
000000018368e0cc (__TEXT,__text) non-external ___check_dependencies_block_invoke
000000018368c0a0 (__TEXT,__text) non-external ___check_instruction_block_invoke
000000018369a0c4 (__TEXT,__text) non-external ___check_policy_block_invoke
                 (undefined) external ___chkstk_darwin (from libSystem)
0000000183689498 (__TEXT,__text) non-external ___combine_conditions_block_invoke
000000018368d478 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke
000000018368ceb0 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke_2
0000000183694560 (__TEXT,__text) non-external ___compile_block_invoke
00000001836944c0 (__TEXT,__text) non-external ___compile_block_invoke.4
00000001836804a8 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke
00000001836947bc (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke.26
000000018368bee8 (__TEXT,__text) non-external ___condition_is_contrary_with_any_in_list_block_invoke
0000000183697d9c (__TEXT,__text) non-external ___condition_is_subset_of_all_block_invoke
0000000183697d94 (__TEXT,__text) non-external ___condition_is_subset_of_any_block_invoke
000000018368ba24 (__TEXT,__text) non-external ___condition_is_subset_of_any_in_list_block_invoke
000000018368be94 (__TEXT,__text) non-external ___condition_is_superset_of_any_in_list_block_invoke
0000000183696ed0 (__TEXT,__text) non-external ___condition_is_transposable_within_reference_block_invoke
000000018368c81c (__TEXT,__text) non-external ___condition_list_is_ordered_by_cost_block_invoke
000000018368db88 (__TEXT,__text) non-external ___condition_with_patterns_combined_block_invoke
00000001836947dc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
000000018369994c (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
000000018369446c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
0000000183694d5c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
0000000183696554 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
000000018369d190 (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r64r
00000001d8b6ce28 (__DATA,__common) [referenced dynamically] external ___crashreporter_info__
000000018369999c (__TEXT,__text) non-external ___create_pattern_disjunctions_block_invoke
000000018368a0b8 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke
0000000183696d70 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.14
0000000183696e64 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.18
0000000183689920 (__TEXT,__text) non-external ___cse_multiple_block_invoke
000000018367c3cc (__TEXT,__text) non-external ___define_action_block_invoke
000000018369cbcc (__TEXT,__text) non-external ___define_action_block_invoke.117
0000000183682ed0 (__TEXT,__text) non-external ___define_action_block_invoke_2
0000000183681c64 (__TEXT,__text) non-external ___define_combination_filter_block_invoke
000000018369af00 (__TEXT,__text) non-external ___define_error_handler_block_invoke
000000018369b0e4 (__TEXT,__text) non-external ___define_error_handler_block_invoke_2
000000018367d9e8 (__TEXT,__text) non-external ___define_filter_block_invoke
0000000183690188 (__TEXT,__text) non-external ___define_network_filter_block_invoke
000000018367d858 (__TEXT,__text) non-external ___define_on_open_handler_block_invoke
000000018369a8a4 (__TEXT,__text) non-external ___define_wrapper_filter_block_invoke
00000001836947d0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
0000000183699908 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
0000000183694460 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
0000000183694d18 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
0000000183696504 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
000000018369d128 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r64r
0000000183689504 (__TEXT,__text) non-external ___eliminate_common_subexpressions_block_invoke
0000000183696f48 (__TEXT,__text) non-external ___eliminate_common_subexpressions_policy_block_invoke
0000000183698240 (__TEXT,__text) non-external ___eliminate_dead_code_policy_block_invoke
00000001836961a8 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke
0000000183696244 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke.97
000000018368e9c0 (__TEXT,__text) non-external ___emit_profile_block_invoke
0000000183695ea8 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke
0000000183695f00 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke.81
00000001836955c8 (__TEXT,__text) non-external ___emit_variable_names_block_invoke
                 (undefined) external ___error (from libSystem)
000000018368b2a4 (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke
0000000183691190 (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke.17
00000001836990ec (__TEXT,__text) non-external ___expand_logical_conditions_policy_block_invoke
000000018368c984 (__TEXT,__text) non-external ___factor_block_invoke
0000000183698880 (__TEXT,__text) non-external ___factor_policy_block_invoke
000000018369d78c (__TEXT,__text) non-external ___generate_mach_syscallmask_block_invoke
000000018369d76c (__TEXT,__text) non-external ___generate_mig_syscallmask_block_invoke
000000018369dc88 (__TEXT,__text) non-external ___generate_unix_syscallmask_block_invoke
00000001836968b8 (__TEXT,__text) non-external ___iterate_string_operands_with_atom_namespaces_block_invoke
0000000183681a2c (__TEXT,__text) non-external ___list_cost_estimate_block_invoke
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
0000000183687d5c (__TEXT,__text) non-external ___operation_can_return_action_block_invoke
000000018369cb08 (__TEXT,__text) non-external ___operation_expand_block_invoke
0000000183696918 (__TEXT,__text) non-external ___populate_pattern_variable_count_block_invoke
000000018368c2ec (__TEXT,__text) non-external ___reorder_block_invoke
000000018368c8fc (__TEXT,__text) non-external ___reorder_condition_list_block_invoke
000000018369a4a8 (__TEXT,__text) non-external ___reorder_policy_block_invoke
0000000183696a8c (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke
0000000183696b00 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke.26
000000018368bfd8 (__TEXT,__text) non-external ___resolve_jumps_block_invoke
                 (undefined) external ___sandbox_ms (from libSystem)
0000000183693c74 (__TEXT,__text) non-external ___sandbox_prepare_user_home_mount_block_invoke
0000000183694240 (__TEXT,__text) non-external ___sandbox_register_network_approval_policy_exemption_for_share_block_invoke
000000018368dcec (__TEXT,__text) non-external ___sb_analyze_check_dependencies_profile_block_invoke
0000000183694ff0 (__TEXT,__text) non-external ___sb_bitmask_is_subset_block_invoke
00000001836881b8 (__TEXT,__text) non-external ___sb_bytecode_output_profile_block_invoke
0000000183697544 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke
000000018368280c (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke_2
0000000183697534 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke
0000000183681a6c (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke_2
0000000183690b40 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke
0000000183686cd4 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_2
0000000183690b30 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_3
0000000183685b08 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_4
000000018369806c (__TEXT,__text) non-external ___sb_condition_list_every_condition_matches_predicate_block_invoke
000000018367e9e4 (__TEXT,__text) non-external ___sb_filter_has_side_effects_block_invoke
0000000183680ddc (__TEXT,__text) non-external ___sb_fsa_disjunction_block_invoke
000000018368bf3c (__TEXT,__text) non-external ___sb_fsa_matches_disjoint_set_block_invoke
000000018368bdac (__TEXT,__text) non-external ___sb_fsa_matches_subset_block_invoke
0000000183694970 (__TEXT,__text) non-external ___sb_fsa_recognizer_byteset_block_invoke
000000018368fd90 (__TEXT,__text) non-external ___sb_modifiers_apply_action_flags_block_invoke
0000000183699358 (__TEXT,__text) non-external ___sb_msgfilter_iterate_entry_points_block_invoke
000000018367bb8c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke
000000018368789c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_10
000000018369b510 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_11
000000018369aab8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_12
000000018369b4e8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_13
000000018369ab60 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_14
000000018369b444 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_15
000000018369ac08 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_16
000000018369aca8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_17
000000018369ae88 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_18
000000018369b13c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_19
0000000183691058 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_2
0000000183690974 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_3
00000001836828bc (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_4
00000001836829b4 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_5
000000018369a9e0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_6
000000018369a9f8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_7
000000018369aa10 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_8
000000018369b53c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_9
000000018369a634 (__TEXT,__text) non-external ___sb_transform_resolve_jumps_policy_block_invoke
0000000183698d6c (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke
0000000183698de4 (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke_2
000000018369b3e0 (__TEXT,__text) non-external ___sbpl_filter_eqv_block_invoke
000000018369b298 (__TEXT,__text) non-external ___sbpl_operation_eqv_block_invoke
                 (undefined) external ___srget (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
0000000183698fd8 (__TEXT,__text) non-external ___synthesize_logical_conditions_policy_block_invoke
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
000000018367b7c0 (__TEXT,__text) non-external ___xpc2sc_block_invoke
00000001d8b64e58 (__DATA,__data) non-external __address_family_aliases_
00000001836969d8 (__TEXT,__text) non-external __annotate_instruction_order
0000000183691024 (__TEXT,__text) non-external __buffer_close
0000000183690f48 (__TEXT,__text) non-external __buffer_read
0000000183690ed8 (__TEXT,__text) non-external __buffer_seek
000000018368102c (__TEXT,__text) non-external __calculate_graft_position
00000001836987d0 (__TEXT,__text) non-external __condition_list_diff
00000001d8b67398 (__DATA,__data) non-external __csr_aliases_
000000018369bb6c (__TEXT,__text) non-external __define_filter
000000018367b0d4 (__TEXT,__text) non-external __define_list
000000018367b2b8 (__TEXT,__text) non-external __define_symbol
00000001d8b6c758 (__DATA,__data) non-external __errno_value_aliases_
00000001d8b6b278 (__DATA,__data) non-external __fcntl_command_aliases_
0000000183681600 (__TEXT,__text) non-external __flatten
000000018368ffa4 (__TEXT,__text) non-external __free_error_pool
00000001d8b651e8 (__DATA,__data) non-external __fsctl_command_aliases_
00000001d8b67468 (__DATA,__data) non-external __host_special_port_aliases_
00000001d8b65e58 (__DATA,__data) non-external __ioctl_command_aliases_
00000001d8b69988 (__DATA,__data) non-external __machtrap_aliases_
000000018367b124 (__TEXT,__text) non-external __make_list_v
00000001d8b6c4c8 (__DATA,__data) non-external __memorystatus_control_cmd_aliases_
00000001d8b69d58 (__DATA,__data) non-external __mig_routine_aliases_
00000001d8b6c308 (__DATA,__data) non-external __necp_client_action_aliases_
000000018368c898 (__TEXT,__text) non-external __order
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
000000018367b8c0 (__TEXT,__text) non-external __parse_file
00000001d8b67c98 (__DATA,__data) non-external __persona_aliases_
00000001d8b66f48 (__DATA,__data) non-external __privilege_aliases_
000000018368fa64 (__TEXT,__text) non-external __push_match_byteset_instr
0000000183678784 (__TEXT,__text) non-external __s_return
000000018368a994 (__TEXT,__text) non-external __sb_condition_list_remove_index
000000018367e7d0 (__TEXT,__text) non-external __sb_condition_pattern_of_type
000000018368dfe4 (__TEXT,__text) non-external __sb_condition_traverse_filters
0000000183694a38 (__TEXT,__text) non-external __sb_fsa_disjunction
00000001836809fc (__TEXT,__text) non-external __sb_fsa_iterate_disjuncts
00000001836947ec (__TEXT,__text) non-external __sb_fsa_recognizer_terminal
0000000183685f20 (__TEXT,__text) non-external __sb_fsa_serialize
0000000183698520 (__TEXT,__text) non-external __sb_instr_error_with_formatv
00000001836856e0 (__TEXT,__text) non-external __sb_pattern_is_literal
000000018367452c (__TEXT,__text) non-external __sb_realloc_vector
000000018369dca8 (__TEXT,__text) non-external __sb_textbuf_with_string_transfer_with_length
0000000183685b18 (__TEXT,__text) non-external __sb_value_is_equivalent
00000001836978ac (__TEXT,__text) non-external __sb_value_matches_subset
0000000183699650 (__TEXT,__text) non-external __set_modifier_string
00000001d8b67618 (__DATA,__data) non-external __signal_aliases_
00000001d8b6b748 (__DATA,__data) non-external __socket_option_level_aliases_
00000001d8b6bde8 (__DATA,__data) non-external __socket_option_name_aliases_
00000001d8b65118 (__DATA,__data) non-external __socket_type_aliases_
00000001d8b67d18 (__DATA,__data) non-external __syscall_aliases_
00000001d8b6c6b8 (__DATA,__data) non-external __task_special_port_aliases_
00000001d8b679b8 (__DATA,__data) non-external __usb_interface_class_aliases_
00000001d8b67ac8 (__DATA,__data) non-external __usb_interface_subclass_aliases_
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_int64 (from libSystem)
                 (undefined) external __xpc_type_null (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _abort (from libSystem)
000000018368290c (__TEXT,__text) non-external _all_args_pass_test
000000018367519c (__TEXT,__text) non-external _alloc_cellseg
00000001836842fc (__TEXT,__text) non-external _alloc_literal
000000018367d030 (__TEXT,__text) non-external _arg_is_condition
000000018369b46c (__TEXT,__text) non-external _arg_is_message_filter
0000000183682d24 (__TEXT,__text) non-external _arg_is_modifier
000000018367d0ac (__TEXT,__text) non-external _arg_is_operation
                 (undefined) external _asprintf (from libSystem)
000000018367ee70 (__TEXT,__text) non-external _assert_is_mutable
0000000183698014 (__TEXT,__text) non-external _assert_is_mutable.336
0000000183691fc0 (__TEXT,__text) non-external _atom2str
000000018369e490 (__TEXT,__text) non-external _atom2str.cold.1
000000018369e4bc (__TEXT,__text) non-external _atom2str.cold.2
000000018369e4e8 (__TEXT,__text) non-external _atom2str.cold.3
000000018369e514 (__TEXT,__text) non-external _atom2str.cold.4
000000018369e540 (__TEXT,__text) non-external _atom2str.cold.5
000000018369e56c (__TEXT,__text) non-external _atom2str.cold.6
000000018369e598 (__TEXT,__text) non-external _atom2str.cold.7
000000018369e5c4 (__TEXT,__text) non-external _atom2str.cold.8
0000000183677548 (__TEXT,__text) non-external _backchar
000000018367c2f0 (__TEXT,__text) non-external _backtrace_pop
000000018369e3e0 (__TEXT,__text) non-external _backtrace_pop.cold.1
0000000183675df8 (__TEXT,__text) non-external _backtrace_push
0000000183694eb8 (__TEXT,__text) non-external _bitmask_extend
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
00000001836912f0 (__TEXT,__text) non-external (was a private external) _bt_pointer_code
0000000183691324 (__TEXT,__text) non-external (was a private external) _bt_pointer_col
0000000183691318 (__TEXT,__text) non-external (was a private external) _bt_pointer_line
00000001836912fc (__TEXT,__text) non-external (was a private external) _bt_pointer_name
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
0000000183688f54 (__TEXT,__text) non-external _can_combine_conjunction
0000000183688ea0 (__TEXT,__text) non-external _can_combine_disjunction
000000018368ac6c (__TEXT,__text) non-external _candidate_list_remove
000000018368d69c (__TEXT,__text) non-external _candidate_set_release
000000018367cf68 (__TEXT,__text) non-external _car
000000018367cfcc (__TEXT,__text) non-external _cdr
000000018368ddb0 (__TEXT,__text) non-external _check_dependencies
0000000183699eec (__TEXT,__text) non-external _check_instruction
000000018369a014 (__TEXT,__text) non-external _check_policy
000000018369d7ac (__TEXT,__text) non-external _collect_filters_into_syscallmask
0000000183698ed0 (__TEXT,__text) non-external _combine_conditions
000000018367224c (__TEXT,__text) non-external _compile
000000018367deb8 (__TEXT,__text) non-external _compute_cost_estimate
000000018367db7c (__TEXT,__text) non-external _compute_hash
0000000183697388 (__TEXT,__text) non-external _compute_hash.244
0000000183681b6c (__TEXT,__text) non-external _condition_free_callback
0000000183697774 (__TEXT,__text) non-external _condition_is_subset_of_all
00000001836977e8 (__TEXT,__text) non-external _condition_is_subset_of_any
000000018368cf54 (__TEXT,__text) non-external _condition_with_patterns_combined
0000000183693dc0 (__TEXT,__text) non-external _connect_to_sandboxd_and_call
000000018368496c (__TEXT,__text) non-external _construct_automaton
000000018368d818 (__TEXT,__text) non-external _create_pattern_disjunctions
0000000183689638 (__TEXT,__text) non-external _cse
00000001836899a8 (__TEXT,__text) non-external _cse_inferior_list
000000018368983c (__TEXT,__text) non-external _cse_multiple
000000018368b488 (__TEXT,__text) non-external _dce
000000018367f2d4 (__TEXT,__text) non-external _decorate_condition
000000018367bcb0 (__TEXT,__text) non-external _decorate_operation
000000018369a734 (__TEXT,__text) non-external _define_action
000000018369a7c8 (__TEXT,__text) non-external _define_combination_filter
00000001836984cc (__TEXT,__text) non-external _die_die_die
                 (undefined) external _dispatch_once (from libSystem)
00000001dd2bcf18 (__AUTH_CONST,__const) non-external _dispatch_table
0000000183687824 (__TEXT,__text) non-external _dump_stack_restore
00000001836877ac (__TEXT,__text) non-external _dump_stack_stash
0000000183696cbc (__TEXT,__text) non-external _eliminate_common_subexpressions_policy
000000018368b34c (__TEXT,__text) non-external _eliminate_dead_code
0000000183698190 (__TEXT,__text) non-external _eliminate_dead_code_policy
000000018368f888 (__TEXT,__text) non-external _emit
00000001836954f4 (__TEXT,__text) non-external _emit_atom_table
0000000183695c70 (__TEXT,__text) non-external _emit_bitmask
000000018368ea50 (__TEXT,__text) non-external _emit_instruction
00000001836962b8 (__TEXT,__text) non-external _emit_modifier_descriptor
0000000183695bb0 (__TEXT,__text) non-external _emit_network
00000001836958ac (__TEXT,__text) non-external _emit_pattern
00000001836959e0 (__TEXT,__text) non-external _emit_regex
000000018368fc88 (__TEXT,__text) non-external _emit_string
0000000183695414 (__TEXT,__text) non-external _emit_variable_names
000000018368f44c (__TEXT,__text) non-external _encode_address
0000000183684384 (__TEXT,__text) non-external _end_expression
000000018367a7d0 (__TEXT,__text) non-external _eqv
000000018368aeec (__TEXT,__text) non-external _expand_logical_conditions
0000000183699040 (__TEXT,__text) non-external _expand_logical_conditions_policy
00000001836986b4 (__TEXT,__text) non-external _factor_policy
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001836755a8 (__TEXT,__text) non-external (was a private external) _fill_vector
00000001d3bb8b48 (__DATA_CONST,__const) non-external _filter_info
000000018369582c (__TEXT,__text) non-external _find_atom
0000000183675514 (__TEXT,__text) non-external _find_consecutive_cells
00000001836787d4 (__TEXT,__text) non-external _find_slot_in_env
0000000183684744 (__TEXT,__text) non-external _fixup_unanchored_operand
                 (undefined) external _flockfile (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000001836743bc (__TEXT,__text) non-external _free_bytes_in_buffer
                 (undefined) external _fseeko (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _ftello (from libSystem)
                 (undefined) external _funlockfile (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
000000018367bdf8 (__TEXT,__text) non-external _gc
000000018367b064 (__TEXT,__text) non-external (was a private external) _gc_protect
000000018367b288 (__TEXT,__text) non-external (was a private external) _gc_unprotect
000000018369e3b4 (__TEXT,__text) non-external _gc_unprotect.cold.1
000000018369d39c (__TEXT,__text) non-external _generate_syscallmask
000000018367a690 (__TEXT,__text) non-external (was a private external) _gensym
000000018369e388 (__TEXT,__text) non-external _gensym.cold.1
00000001836756ac (__TEXT,__text) non-external _get_cell
000000018368f814 (__TEXT,__text) non-external _get_current_data_address
000000018369ceec (__TEXT,__text) non-external _has_pending_backtrack
00000001836773a4 (__TEXT,__text) non-external _inchar
00000001836b19c5 (__TEXT,__const) non-external _init_scm
0000000183693794 (__TEXT,__text) non-external _inspect_iterate_items
000000018367a2b8 (__TEXT,__text) non-external _is_any
00000001836912dc (__TEXT,__text) non-external (was a private external) _is_bt_pointer
0000000183681b58 (__TEXT,__text) non-external (was a private external) _is_character
0000000183691380 (__TEXT,__text) non-external (was a private external) _is_closure
00000001836913a8 (__TEXT,__text) non-external (was a private external) _is_continuation
00000001836913d0 (__TEXT,__text) non-external (was a private external) _is_environment
0000000183691358 (__TEXT,__text) non-external (was a private external) _is_foreign
000000018369136c (__TEXT,__text) non-external (was a private external) _is_foreign_block
000000018367f380 (__TEXT,__text) non-external (was a private external) _is_foreign_object
000000018367d164 (__TEXT,__text) non-external (was a private external) _is_integer
0000000183691394 (__TEXT,__text) non-external (was a private external) _is_macro
000000018367d7b8 (__TEXT,__text) non-external _is_nonneg
0000000183692984 (__TEXT,__text) non-external _is_num_integer
000000018367a778 (__TEXT,__text) non-external (was a private external) _is_number
000000018367939c (__TEXT,__text) non-external (was a private external) _is_pair
0000000183691330 (__TEXT,__text) non-external (was a private external) _is_port
0000000183687088 (__TEXT,__text) non-external _is_position_at_end_of_sequence
0000000183691344 (__TEXT,__text) non-external (was a private external) _is_proc
00000001836913bc (__TEXT,__text) non-external (was a private external) _is_promise
000000018367d7a4 (__TEXT,__text) non-external (was a private external) _is_string
000000018367d9d4 (__TEXT,__text) non-external (was a private external) _is_symbol
0000000183691238 (__TEXT,__text) non-external (was a private external) _is_vector
                 (undefined) external _isalnum (from libSystem)
                 (undefined) external _isalpha (from libSystem)
                 (undefined) external _isblank (from libSystem)
                 (undefined) external _iscntrl (from libSystem)
                 (undefined) external _isdigit (from libSystem)
                 (undefined) external _isgraph (from libSystem)
                 (undefined) external _islower (from libSystem)
                 (undefined) external _isprint (from libSystem)
                 (undefined) external _ispunct (from libSystem)
                 (undefined) external _isspace (from libSystem)
                 (undefined) external _isupper (from libSystem)
                 (undefined) external _isxdigit (from libSystem)
000000018367d16c (__TEXT,__text) non-external (was a private external) _ivalue
000000018368187c (__TEXT,__text) non-external _list_cost_estimate
0000000183681a90 (__TEXT,__text) non-external _list_star
0000000183698984 (__TEXT,__text) non-external _lookup_filter_info
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_good_size (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
000000018367c13c (__TEXT,__text) non-external _mark
                 (undefined) external _matchCombine (from libMatch)
                 (undefined) external _matchCompile (from libMatch)
                 (undefined) external _matchExec (from libMatch)
                 (undefined) external _matchFree (from libMatch)
                 (undefined) external _matchInit (from libMatch)
                 (undefined) external _matchPack (from libMatch)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmem (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mergesort_b (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
0000000183678580 (__TEXT,__text) non-external _mk_atom
0000000183686f48 (__TEXT,__text) non-external (was a private external) _mk_counted_string
00000001836923f0 (__TEXT,__text) non-external _mk_empty_string
000000018367b3e4 (__TEXT,__text) non-external (was a private external) _mk_foreign_block
000000018367b42c (__TEXT,__text) non-external (was a private external) _mk_foreign_func
000000018367f344 (__TEXT,__text) non-external (was a private external) _mk_foreign_object
000000018367bd10 (__TEXT,__text) non-external (was a private external) _mk_integer
0000000183679158 (__TEXT,__text) non-external _mk_sharp_const
00000001836910f4 (__TEXT,__text) non-external _mk_sharp_integer
00000001836759ac (__TEXT,__text) non-external (was a private external) _mk_string
0000000183675760 (__TEXT,__text) non-external (was a private external) _mk_symbol
0000000183675360 (__TEXT,__text) non-external _mk_vector
000000018369e40c (__TEXT,__text) non-external _mk_vector.cold.1
00000001d3bb96c8 (__DATA_CONST,__const) non-external _modifier_info
00000001836870dc (__TEXT,__text) non-external _move_to_next_node
000000018369b92c (__TEXT,__text) non-external _msgfilter_free_callback
00000001836892bc (__TEXT,__text) non-external _negate_instruction
00000001d3bb8aa8 (__DATA_CONST,__const) non-external _network_filter_constants
00000001836755fc (__TEXT,__text) non-external _new_frame_in_env
0000000183675aac (__TEXT,__text) non-external _new_slot_spec_in_env
00000001836c0788 (__TEXT,__const) non-external _nfBasicCF
00000001836bcbc8 (__TEXT,__const) non-external _nfTrieHi
00000001836c1188 (__TEXT,__const) non-external _nfTrieLo
00000001836bf5a8 (__TEXT,__const) non-external _nfTrieMid
00000001836bd1f4 (__TEXT,__const) non-external _nfU16InvMasks
00000001836bd2fc (__TEXT,__const) non-external _nfU16Seq2
00000001836bdf10 (__TEXT,__const) non-external _nfU16Seq3
00000001836be444 (__TEXT,__const) non-external _nfU16SeqMisc
00000001836be5d0 (__TEXT,__const) non-external _nfU32Char
00000001836bf44c (__TEXT,__const) non-external _nfU32SeqMisc
000000018367a78c (__TEXT,__text) non-external _num_eq
0000000183681b0c (__TEXT,__text) non-external _num_ge
0000000183686fac (__TEXT,__text) non-external _num_gt
0000000183691294 (__TEXT,__text) non-external _num_le
000000018369124c (__TEXT,__text) non-external _num_lt
0000000183691f64 (__TEXT,__text) non-external _num_mod
00000001db402b50 (__DATA_DIRTY,__bss) non-external _num_one
0000000183691ef4 (__TEXT,__text) non-external _num_rem
00000001db402b40 (__DATA_DIRTY,__bss) non-external _num_zero
000000018367f394 (__TEXT,__text) non-external (was a private external) _objvalue
