00007ffb0054a2f2 (__TEXT,__text) non-external _DiToMD5
00007ffb0053dd3e (__TEXT,__text) external __ZN7OSArray11withObjectsEPPK8OSObjectjj
00007ffb0053deaa (__TEXT,__text) external __ZN7OSArray12removeObjectEj
00007ffb0053dd34 (__TEXT,__text) external __ZN7OSArray12withCapacityEj
00007ffb0053de98 (__TEXT,__text) external __ZN7OSArray13replaceObjectEjPK15OSMetaClassBase
00007ffb0053dc40 (__TEXT,__text) external __ZN7OSArray14ensureCapacityEj
00007ffb0053dc50 (__TEXT,__text) external __ZN7OSArray15flushCollectionEv
00007ffb0053dce6 (__TEXT,__text) external __ZN7OSArray4freeEv
00007ffb0053ddfc (__TEXT,__text) external __ZN7OSArray5mergeEPKS_
00007ffb0053ddac (__TEXT,__text) external __ZN7OSArray9setObjectEPK15OSMetaClassBase
00007ffb0053de8a (__TEXT,__text) external __ZN7OSArray9setObjectEjPK15OSMetaClassBase
00007ffb0053ddc2 (__TEXT,__text) external __ZN7OSArray9withArrayEPKS_j
00007ffb00538df0 (__TEXT,__text) external __ZN8IOThread17CopyCurrentThreadEPPS_
00007ffb0055bbc8 (__TEXT,__text) non-external __ZN8IOThread17CopyCurrentThreadEPPS_.cold.1
00007ffb0055bbeb (__TEXT,__text) non-external __ZN8IOThread17CopyCurrentThreadEPPS_.cold.2
00007ffb00538e78 (__TEXT,__text) external __ZN8IOThread17GetTimeConstraintEPjS0_S0_PbS1_
00007ffb00538f22 (__TEXT,__text) external __ZN8IOThread17SetTimeConstraintEjjjb
00007ffb00538db0 (__TEXT,__text) external __ZN8IOThread4JoinEPPv
00007ffb00538a8e (__TEXT,__text) external __ZN8IOThread4freeEv
00007ffb00538a46 (__TEXT,__text) external __ZN8IOThread4initEv
00007ffb00538ae0 (__TEXT,__text) external __ZN8IOThread6CreateEyPFPvS0_ES0_PPS_
00007ffb00558f5a (__TEXT,__text) external __ZN8OSAction11Create_CallEP8OSObjectyymPPS_
00007ffb00536dd2 (__TEXT,__text) external __ZN8OSAction12Aborted_ImplEv
00007ffb00536d94 (__TEXT,__text) external __ZN8OSAction12GetReferenceEv
00007ffb0055b92f (__TEXT,__text) non-external __ZN8OSAction12GetReferenceEv.cold.1
00007ffb00559256 (__TEXT,__text) external __ZN8OSAction13Create_InvokeE5IORPCPFiP8OSObjectyymPPS_E
00007ffb00558f00 (__TEXT,__text) external __ZN8OSAction14Aborted_InvokeE5IORPCP15OSMetaClassBasePFvS2_E
00007ffb00536db0 (__TEXT,__text) external __ZN8OSAction17SetAbortedHandlerEU13block_pointerFvvE
00007ffb00536b7c (__TEXT,__text) external __ZN8OSAction18CreateWithTypeNameEP8OSObjectyymP8OSStringPPS_
00007ffb0055906c (__TEXT,__text) external __ZN8OSAction23CreateWithTypeName_CallEP8OSObjectyymP8OSStringPPS_
00007ffb00559324 (__TEXT,__text) external __ZN8OSAction25CreateWithTypeName_InvokeE5IORPCPFiP8OSObjectyymP8OSStringPPS_E
00007ffb00536ea4 (__TEXT,__text) external __ZN8OSAction4WaitEP17OSActionWaitTokenyy
00007ffb0055b998 (__TEXT,__text) non-external __ZN8OSAction4WaitEP17OSActionWaitTokenyy.cold.1
00007ffb00536c46 (__TEXT,__text) external __ZN8OSAction4freeEv
00007ffb0055b8e9 (__TEXT,__text) non-external __ZN8OSAction4freeEv.cold.1
00007ffb00536cd0 (__TEXT,__text) external __ZN8OSAction6CancelEU13block_pointerFvvE
00007ffb0055b90c (__TEXT,__text) non-external __ZN8OSAction6CancelEU13block_pointerFvvE.cold.1
00007ffb00536b6c (__TEXT,__text) external __ZN8OSAction6CreateEP8OSObjectyymPPS_
00007ffb0055919c (__TEXT,__text) external __ZN8OSAction7AbortedEPFiP15OSMetaClassBase5IORPCE
00007ffb00536e58 (__TEXT,__text) external __ZN8OSAction7EndWaitEP17OSActionWaitToken
00007ffb0055b975 (__TEXT,__text) non-external __ZN8OSAction7EndWaitEP17OSActionWaitToken.cold.1
00007ffb00558e8a (__TEXT,__text) external __ZN8OSAction8DispatchE5IORPC
00007ffb00536dea (__TEXT,__text) external __ZN8OSAction8WillWaitEPP17OSActionWaitToken
00007ffb0055b952 (__TEXT,__text) non-external __ZN8OSAction8WillWaitEPP17OSActionWaitToken.cold.1
00007ffb00558e94 (__TEXT,__text) external __ZN8OSAction9_DispatchEPS_5IORPC
00007ffb00537cee (__TEXT,__text) external __ZN8OSBundle10mainBundleEv
00007ffb0055ba6a (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.1
00007ffb0055ba8d (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.2
00007ffb0055bab0 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.3
00007ffb00537f48 (__TEXT,__text) external __ZN8OSBundle12loadResourceEPKcymPP12OSMappedFile
00007ffb00537e40 (__TEXT,__text) external __ZN8OSBundle14createFromPathEPKc
00007ffb00537ee8 (__TEXT,__text) external __ZN8OSBundle4freeEv
00007ffb00537ea8 (__TEXT,__text) external __ZN8OSBundle4initEv
00007ffb0053ea0c (__TEXT,__text) external __ZN8OSNumber10withNumberEPKcm
00007ffb0053ea22 (__TEXT,__text) external __ZN8OSNumber10withNumberEym
00007ffb0053eb68 (__TEXT,__text) external __ZN8OSNumber4freeEv
00007ffb00559696 (__TEXT,__text) external __ZN8OSObject16SetDispatchQueueEPKcP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb0055982e (__TEXT,__text) external __ZN8OSObject17CopyDispatchQueueEPKcPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb005599d4 (__TEXT,__text) external __ZN8OSObject23SetDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcP15IODispatchQueueE
00007ffb00559ac0 (__TEXT,__text) external __ZN8OSObject24CopyDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcPP15IODispatchQueueE
00007ffb005345ea (__TEXT,__text) external __ZN8OSObject4freeEv
00007ffb005345da (__TEXT,__text) external __ZN8OSObject4initEv
00007ffb0055961c (__TEXT,__text) external __ZN8OSObject8DispatchE5IORPC
00007ffb00559652 (__TEXT,__text) external __ZN8OSObject9_DispatchEPS_5IORPC
00007ffb0053e952 (__TEXT,__text) external __ZN8OSString10withStringEPKS_
00007ffb0053e91e (__TEXT,__text) external __ZN8OSString11withCStringEPKc
00007ffb0053e974 (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
00007ffb0053e938 (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
00007ffb0053b1cc (__TEXT,__text) external __ZN8OSString4freeEv
00007ffb0055bf85 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
00007ffb0055bfa6 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
00007ffb0055bfc9 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
00007ffb0053846a (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00007ffb00538420 (__TEXT,__text) external __ZN9IOCommand4freeEv
00007ffb005383c0 (__TEXT,__text) external __ZN9IOCommand4initEv
00007ffb00538460 (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00007ffb00552c1e (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00007ffb0055213c (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00007ffb0053758a (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00007ffb00554230 (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb005378b0 (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00007ffb00550ea2 (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb00552d5c (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00007ffb00550df6 (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb00552ffa (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb005515e4 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00007ffb005510b2 (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00007ffb005524f0 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb00552274 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb00551ff4 (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00551c8c (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00553b9a (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb00551dfa (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb00554542 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb005542fa (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb0055319c (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00007ffb0055505a (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00007ffb005519e6 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00007ffb00537710 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00007ffb005523b2 (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb00554f9e (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00007ffb00537a24 (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00007ffb005535de (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb00554a2a (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb00554bfc (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00007ffb005548cc (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb0055125c (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00007ffb0055391a (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb005516f8 (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00007ffb00552ae2 (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00007ffb00537748 (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00007ffb00554c6e (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00007ffb00554dcc (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00007ffb0053795c (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00007ffb0055ba47 (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00007ffb0055448c (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00007ffb005549aa (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00007ffb00551040 (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00554816 (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00007ffb0055465a (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb0055531a (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00007ffb005546f2 (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00007ffb00537798 (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00007ffb00553750 (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb005512d0 (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00007ffb00554eda (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00007ffb0055295e (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00007ffb00552ebc (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb005545ee (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00537a1c (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00007ffb00554938 (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb0053753a (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00007ffb005550f2 (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00007ffb00553f7c (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb005511a6 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00007ffb00550f4e (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00007ffb00554b88 (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb005540ac (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00551b1e (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb00553e4c (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00535c4a (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00535c92 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00007ffb0055518e (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00007ffb00554a9e (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00007ffb00554ce2 (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00007ffb00537482 (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00007ffb00555530 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb00535a76 (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00007ffb00535b4a (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00007ffb0055b81b (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00007ffb00555612 (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00007ffb00550fc2 (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00007ffb00535c1a (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00535c32 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00007ffb00553ce2 (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00553a62 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00007ffb0055544e (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb00535b9c (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00535be4 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00007ffb005553d0 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00007ffb005552ae (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb005514d4 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb0053461c (__TEXT,__text) external __ZN9IOService4freeEv
00007ffb00537388 (__TEXT,__text) external __ZN9IOService4initEv
00007ffb0055ba01 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00007ffb0055ba24 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00007ffb005513c4 (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00552662 (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00007ffb0055185a (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00553470 (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb005507ee (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00007ffb0055331a (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00007ffb005375c8 (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00007ffb00552822 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00007ffb005507f8 (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00007ffb0053ebf2 (__TEXT,__text) external __ZN9OSBoolean4freeEv
00007ffb0054e264 (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00007ffb00558e4c (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00007ffb0053d452 (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00007ffb0053d462 (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb0053d558 (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00007ffb0053da3a (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb0053d81a (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00007ffb0053d53c (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00007ffb0053d90c (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00007ffb0053da2a (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00007ffb0053d472 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00007ffb0053d4b0 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00007ffb0053d918 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00007ffb005383a4 (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00007ffb005383b2 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00007ffb0053e53c (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00007ffb0053e530 (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00007ffb0054d372 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00007ffb00531570 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00007ffb00531e80 (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00007ffb0053153a (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00007ffb00531e20 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00007ffb00531e14 (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00007ffb00531530 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00007ffb00531e1a (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00007ffb00531e74 (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00007ffb0054dc0e (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00007ffb0054cee4 (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00007ffb0054fb46 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00007ffb00555f14 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00007ffb00557f4e (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00007ffb005566c4 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00007ffb0055a562 (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00007ffb0053e2dc (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00007ffb0053e284 (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00007ffb0053e298 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00007ffb0053e8d0 (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00007ffb0053e890 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00007ffb0053e68c (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00007ffb0053e6ba (__TEXT,__text) external __ZNK6OSData9getLengthEv
00007ffb0053e580 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00007ffb0053e636 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00007ffb0053e604 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00007ffb0053e64a (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00007ffb0053dc24 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00007ffb0053df62 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00007ffb0053df7e (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb0053e006 (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00007ffb0053dc08 (__TEXT,__text) external __ZNK7OSArray8getCountEv
00007ffb0053df56 (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00007ffb0053dada (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00007ffb0053db18 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
00007ffb00559424 (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
00007ffb0053ea2c (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
00007ffb0053ea38 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
00007ffb0053ea5c (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
00007ffb0053ea80 (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
00007ffb0053ea9e (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
00007ffb0053eac0 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
00007ffb0053eb28 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
00007ffb00531e2a (__TEXT,__text) external __ZNK8OSObject6retainEv
00007ffb0055a9aa (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
00007ffb0055a9cd (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
00007ffb00531e54 (__TEXT,__text) external __ZNK8OSObject7releaseEv
00007ffb0055a9f0 (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
00007ffb0053b334 (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
00007ffb0053b36e (__TEXT,__text) external __ZNK8OSString9getLengthEv
00007ffb0053e988 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
00007ffb0053e6cc (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
00007ffb0053e9ce (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
00007ffb0053e9da (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
00007ffb00537a70 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
00007ffb0053ebe6 (__TEXT,__text) external __ZNK9OSBoolean6retainEv
00007ffb0053ebec (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
00007ffb40d68c30 (__DATA,__const_weak) external __ZTI10IOReporter
00007ffb40d68dc0 (__DATA,__const_weak) external __ZTI11IOEventLink
00007ffb40023c30 (__DATA_CONST,__const) external __ZTI11IOMemoryMap
00007ffb40d691c8 (__DATA,__const_weak) external __ZTI11IOWorkGroup
00007ffb40021aa0 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSContainer
00007ffb40021450 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSInterface
00007ffb40022b20 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
00007ffb40d68d70 (__DATA,__const_weak) external __ZTI12IODMACommand
