0000000227ab8008 (__TEXT,__text) non-external _DiToMD5
0000000227ac903c (__TEXT,__text) external __ZN8OSObject24CopyDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcPP15IODispatchQueueE
0000000227a9cd94 (__TEXT,__text) external __ZN8OSObject4freeEv
0000000227a9cd84 (__TEXT,__text) external __ZN8OSObject4initEv
0000000227ac8b40 (__TEXT,__text) external __ZN8OSObject8DispatchE5IORPC
0000000227ac8b90 (__TEXT,__text) external __ZN8OSObject9_DispatchEPS_5IORPC
0000000227aaa01c (__TEXT,__text) external __ZN8OSString10withStringEPKS_
0000000227aa9ffc (__TEXT,__text) external __ZN8OSString11withCStringEPKc
0000000227aaa064 (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
0000000227aaa00c (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
0000000227aa5c58 (__TEXT,__text) external __ZN8OSString4freeEv
0000000227acbd58 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
0000000227acbd84 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
0000000227acbdb0 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
0000000227aa2494 (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
0000000227aa243c (__TEXT,__text) external __ZN9IOCommand4freeEv
0000000227aa23a0 (__TEXT,__text) external __ZN9IOCommand4initEv
0000000227aa248c (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
0000000227ac13f4 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
0000000227ac0980 (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
0000000227aa10c0 (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
0000000227ac28c8 (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
0000000227aa15fc (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
0000000227abf780 (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
0000000227ac1500 (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
0000000227abf6ac (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
0000000227ac1720 (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
0000000227abffc4 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
0000000227abfa2c (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
0000000227ac0db0 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
0000000227ac0a8c (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
0000000227ac0868 (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227ac0568 (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227ac2100 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
0000000227ac06ac (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
0000000227ac2b98 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
0000000227ac2960 (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
0000000227ac1870 (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
0000000227ac3920 (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
0000000227ac0318 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
0000000227aa1364 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
0000000227ac0b98 (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
0000000227ac3840 (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
0000000227ac0ca4 (__TEXT,__text) external __ZN9IOService16SetPowerOverrideEbPFiP15OSMetaClassBase5IORPCE
0000000227aa1808 (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
0000000227ac1c0c (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
0000000227ac31f8 (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
0000000227ac3424 (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
0000000227ac2690 (__TEXT,__text) external __ZN9IOService17CreatePMAssertionEjPybPFiP15OSMetaClassBase5IORPCE
0000000227ac2f88 (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
0000000227abfc0c (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
0000000227ac1edc (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
0000000227ac00ac (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
0000000227ac27c0 (__TEXT,__text) external __ZN9IOService18ReleasePMAssertionEyPFiP15OSMetaClassBase5IORPCE
0000000227ac12ec (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
0000000227aa13c0 (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
0000000227ac34bc (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
0000000227ac3654 (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
0000000227aa16f0 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
0000000227acb744 (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
0000000227ac2ac0 (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
0000000227ac3148 (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
0000000227abf994 (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
0000000227ac2eac (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
0000000227ac2cf4 (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
0000000227ac3c3c (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
0000000227ac2da8 (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
0000000227aa1448 (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
0000000227ac1d58 (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
0000000227abfcb4 (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
0000000227ac375c (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
0000000227ac1194 (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
0000000227ac1624 (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227ac2c64 (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
0000000227aa1800 (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
0000000227ac3018 (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
0000000227aa1048 (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
0000000227ac30b0 (__TEXT,__text) external __ZN9IOService23SetPowerOverride_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
0000000227ac39d4 (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
0000000227ac40b4 (__TEXT,__text) external __ZN9IOService24CreatePMAssertion_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPybE
0000000227ac2448 (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227abfb30 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
0000000227abf854 (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
0000000227ac4158 (__TEXT,__text) external __ZN9IOService25ReleasePMAssertion_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
0000000227ac338c (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
0000000227ac2538 (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227ac0424 (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
0000000227ac2358 (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
0000000227a9ef64 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
0000000227a9efc0 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
0000000227ac3a90 (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
0000000227ac3290 (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
0000000227ac3554 (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
0000000227aa0f50 (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
0000000227ac3ebc (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
0000000227a9ed0c (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
0000000227a9ee0c (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
0000000227acb498 (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
0000000227ac3fb8 (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
0000000227abf8ec (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
0000000227a9ef3c (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
0000000227a9ef50 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
0000000227ac2218 (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
0000000227ac1ff4 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
0000000227ac3dc0 (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
0000000227a9ee84 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
0000000227a9eee0 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
0000000227ac3d18 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
0000000227ac3bac (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
0000000227abfee0 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
0000000227a9cdb4 (__TEXT,__text) external __ZN9IOService4freeEv
0000000227aa0db8 (__TEXT,__text) external __ZN9IOService4initEv
0000000227acb6f4 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
0000000227acb71c (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
0000000227abfdfc (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
0000000227ac0efc (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
0000000227ac01d0 (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
0000000227ac1ac8 (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
0000000227abf308 (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
0000000227ac19a8 (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
0000000227aa1144 (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
0000000227ac108c (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
0000000227abf33c (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
0000000227aaa390 (__TEXT,__text) external __ZN9OSBoolean4freeEv
0000000227abc970 (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
0000000227ac8028 (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
0000000227aa84e0 (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
0000000227aa84f0 (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
0000000227aa8628 (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
0000000227aa8c78 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
0000000227aa89b0 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
0000000227aa8610 (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
0000000227aa8af8 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
0000000227aa8c6c (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
0000000227aa8500 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
0000000227aa8560 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
0000000227aa8b00 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
0000000227aa2388 (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
0000000227aa2394 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
0000000227aa9bf0 (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
0000000227aa9be8 (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
0000000227abb9c0 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
0000000227a9956c (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
0000000227a99fd4 (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
0000000227a99538 (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
0000000227a99f28 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
0000000227a99f20 (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
0000000227a99530 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
0000000227a99f24 (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
0000000227a99fc8 (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
0000000227abc278 (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
0000000227abb480 (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
0000000227abe3b8 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
0000000227ac4b88 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
0000000227ac6ea8 (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
0000000227ac5488 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
0000000227ac9db0 (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
0000000227aa9864 (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
0000000227aa97c0 (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
0000000227aa97e4 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
0000000227aa9fc4 (__TEXT,__text) external __ZNK6OSData11getCapacityEv
0000000227aa9f84 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
0000000227aa9dac (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
0000000227aa9dcc (__TEXT,__text) external __ZNK6OSData9getLengthEv
0000000227aa9c70 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
0000000227aa9d48 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
0000000227aa9d24 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
0000000227aa9d58 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
0000000227aa8f34 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
0000000227aa9374 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
0000000227aa9390 (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
0000000227aa9440 (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
0000000227aa8f1c (__TEXT,__text) external __ZNK7OSArray8getCountEv
0000000227aa936c (__TEXT,__text) external __ZNK7OSArray9getObjectEj
0000000227aa8d64 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
0000000227aa8dc4 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
0000000227ac871c (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
0000000227aaa14c (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
0000000227aaa154 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
0000000227aaa180 (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
0000000227aaa1ac (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
0000000227aaa1d4 (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
0000000227aaa1fc (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
0000000227aaa284 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
0000000227a99f34 (__TEXT,__text) external __ZNK8OSObject6retainEv
0000000227aca2f4 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
0000000227aca320 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
0000000227a99f6c (__TEXT,__text) external __ZNK8OSObject7releaseEv
0000000227aca34c (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
0000000227aa5ddc (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
0000000227aa5e14 (__TEXT,__text) external __ZNK8OSString9getLengthEv
0000000227aaa070 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
0000000227aa9ddc (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
0000000227aaa0dc (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
0000000227aaa0e8 (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
0000000227aa1890 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
0000000227aaa388 (__TEXT,__text) external __ZNK9OSBoolean6retainEv
0000000227aaa38c (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
000000029a5c2ef8 (__AUTH_CONST,__const) external __ZTI10IOReporter
000000029a5c3e28 (__AUTH_CONST,__const) external __ZTI11IOEventLink
000000029a5c4518 (__AUTH_CONST,__const) external __ZTI11IOMemoryMap
000000029a5c59b8 (__AUTH_CONST,__const) external __ZTI11IOWorkGroup
000000029a5c2358 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSContainer
000000029a5c1c18 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSInterface
000000029a5c3348 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
000000029a5c3768 (__AUTH_CONST,__const) external __ZTI12IODMACommand
000000029a5c5548 (__AUTH_CONST,__const) external __ZTI12IOUserClient
000000029a5c5808 (__AUTH_CONST,__const) external __ZTI12IOUserServer
000000029a5c2478 (__AUTH_CONST,__const) external __ZTI12OSCollection
000000029a5c25a0 (__AUTH_CONST,__const) external __ZTI12OSDictionary
000000029a5c1c90 (__AUTH_CONST,__const) external __ZTI12OSMappedFile
000000029a5c2918 (__AUTH_CONST,__const) external __ZTI12OSOrderedSet
000000029a5c1e60 (__AUTH_CONST,__const) external __ZTI13IOCommandPool
000000029a5c31d0 (__AUTH_CONST,__const) external __ZTI14IOReportLegend
000000029a5c2828 (__AUTH_CONST,__const) non-external (was a private external) __ZTI14OSSetInterface
000000029a5c6958 (__AUTH_CONST,__const) external __ZTI14OSSetMetaClass
000000029a5c3ac8 (__AUTH_CONST,__const) external __ZTI15IODispatchQueue
000000029a5c4b60 (__AUTH_CONST,__const) non-external (was a private external) __ZTI15IOStateReporter
000000029a5c2a08 (__AUTH_CONST,__const) non-external (was a private external) __ZTI15OSDataInterface
000000029a5c61d8 (__AUTH_CONST,__const) external __ZTI15OSDataMetaClass
000000029a5c1b50 (__AUTH_CONST,__const) external __ZTI15OSMetaClassBase
000000029a5c2bf8 (__AUTH_CONST,__const) external __ZTI15OSSerialization
000000029a5c3c78 (__AUTH_CONST,__const) external __ZTI16IODispatchSource
000000029a5c2e80 (__AUTH_CONST,__const) external __ZTI16IOReporter_IVars
000000029a5c4aa8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI16IOSimpleReporter
000000029a5c2700 (__AUTH_CONST,__const) non-external (was a private external) __ZTI16OSArrayInterface
000000029a5c5c98 (__AUTH_CONST,__const) external __ZTI16OSArrayMetaClass
000000029a5c1f50 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17IOThreadInterface
000000029a5c6ea8 (__AUTH_CONST,__const) external __ZTI17IOThreadMetaClass
000000029a5c5ba0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSActionInterface
000000029a5c5ae8 (__AUTH_CONST,__const) external __ZTI17OSActionMetaClass
000000029a5c1c00 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSBundleInterface
000000029a5c5e88 (__AUTH_CONST,__const) external __ZTI17OSBundleMetaClass
000000029a5c2ac0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSNumberInterface
000000029a5c64c0 (__AUTH_CONST,__const) external __ZTI17OSNumberMetaClass
000000029a5c6670 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSObjectInterface
000000029a5c65b8 (__AUTH_CONST,__const) external __ZTI17OSObjectMetaClass
000000029a5c23a8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSStringInterface
000000029a5c6a50 (__AUTH_CONST,__const) external __ZTI17OSStringMetaClass
000000029a5c1d80 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18IOCommandInterface
000000029a5c34f8 (__AUTH_CONST,__const) external __ZTI18IOCommandMetaClass
000000029a5c4368 (__AUTH_CONST,__const) external __ZTI18IOMemoryDescriptor
000000029a5c4e00 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18IOServiceInterface
000000029a5c4d48 (__AUTH_CONST,__const) external __ZTI18IOServiceMetaClass
000000029a5c2b78 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18OSBooleanInterface
000000029a5c5d90 (__AUTH_CONST,__const) external __ZTI18OSBooleanMetaClass
000000029a5c4c18 (__AUTH_CONST,__const) non-external (was a private external) __ZTI19IOHistogramReporter
000000029a5c2f30 (__AUTH_CONST,__const) non-external (was a private external) __ZTI19IOReporterInterface
000000029a5c48c8 (__AUTH_CONST,__const) external __ZTI19IOReporterMetaClass
000000029a5c3e60 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOEventLinkInterface
000000029a5c3da8 (__AUTH_CONST,__const) external __ZTI20IOEventLinkMetaClass
000000029a5c4008 (__AUTH_CONST,__const) external __ZTI20IOExtensiblePaniclog
000000029a5c4550 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOMemoryMapInterface
000000029a5c4498 (__AUTH_CONST,__const) external __ZTI20IOMemoryMapMetaClass
000000029a5c59f0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOWorkGroupInterface
000000029a5c5938 (__AUTH_CONST,__const) external __ZTI20IOWorkGroupMetaClass
000000029a5c2390 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20OSContainerInterface
000000029a5c6078 (__AUTH_CONST,__const) external __ZTI20OSContainerMetaClass
000000029a5c37a0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IODMACommandInterface
000000029a5c36e8 (__AUTH_CONST,__const) external __ZTI21IODMACommandMetaClass
000000029a5c3150 (__AUTH_CONST,__const) external __ZTI21IOStateReporter_IVars
000000029a5c52d8 (__AUTH_CONST,__const) external __ZTI21IOTimerDispatchSource
000000029a5c5580 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IOUserClientInterface
000000029a5c54a8 (__AUTH_CONST,__const) external __ZTI21IOUserClientMetaClass
000000029a5c5840 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IOUserServerInterface
