00000001d8a90fc0 (__DATA,__data) external _NDR_record
00000001803c0008 (__TEXT,__text) external _mk_timer_arm_leeway
00000001803bfffc (__TEXT,__text) external _mk_timer_cancel
00000001803bffd8 (__TEXT,__text) external _mk_timer_create
00000001803bffe4 (__TEXT,__text) external _mk_timer_destroy
00000001803c1958 (__TEXT,__text) external _mkdir
00000001803c39a8 (__TEXT,__text) external _mkdirat
00000001803ce82c (__TEXT,__text) external _mkfifo
00000001803ce858 (__TEXT,__text) external _mkfifoat
00000001803ce884 (__TEXT,__text) external _mknod
00000001803ce8b0 (__TEXT,__text) external _mknodat
00000001803c9d28 (__TEXT,__text) external _mlock
00000001803ce8dc (__TEXT,__text) external _mlockall
00000001803c0b1c (__TEXT,__text) external _mmap
00000001803cc4c0 (__TEXT,__text) external _mount
00000001803c3d00 (__TEXT,__text) external _mprotect
00000001803ce908 (__TEXT,__text) external _mremap_encrypted
00000001803d2548 (__TEXT,__text) external _msg_receive
00000001803d2538 (__TEXT,__text) external _msg_rpc
00000001803d2540 (__TEXT,__text) external _msg_send
00000001803cd5b0 (__TEXT,__text) external _msgctl
00000001803ce934 (__TEXT,__text) external _msgget
00000001803ce960 (__TEXT,__text) external _msgrcv
00000001803cd5dc (__TEXT,__text) external _msgrcv$NOCANCEL
00000001803ce98c (__TEXT,__text) external _msgsnd
00000001803cd608 (__TEXT,__text) external _msgsnd$NOCANCEL
00000001803ccc90 (__TEXT,__text) external _msgsys
00000001803c6458 (__TEXT,__text) external _msync
00000001803cd660 (__TEXT,__text) external _msync$NOCANCEL
00000001803c9d54 (__TEXT,__text) external _munlock
00000001803ce9b8 (__TEXT,__text) external _munlockall
00000001803c38bc (__TEXT,__text) external _munmap
00000001803c40e0 (__TEXT,__text) external _necp_client_action
00000001803cafbc (__TEXT,__text) external _necp_match_policy
00000001803c4088 (__TEXT,__text) external _necp_open
00000001803ce9e4 (__TEXT,__text) external _necp_session_action
00000001803cea10 (__TEXT,__text) external _necp_session_open
00000001803cea3c (__TEXT,__text) external _net_qos_guideline
00000001803cea68 (__TEXT,__text) external _netagent_trigger
00000001803e8a84 (__TEXT,__text) external _netname_check_in
00000001803e8e8c (__TEXT,__text) external _netname_check_out
00000001803e8c30 (__TEXT,__text) external _netname_look_up
00000001803e9034 (__TEXT,__text) external _netname_version
00000001803d3e44 (__TEXT,__text) external _nfsclnt
00000001803cea94 (__TEXT,__text) external _nfssvc
00000001d8a90fb0 (__DATA,__data) external _non_boost_assertion_token
00000001d8a90fa8 (__DATA,__data) external _normal_boost_assertion_token
00000001803ceac0 (__TEXT,__text) external _ntp_adjtime
00000001803ceaec (__TEXT,__text) external _ntp_gettime
00000001803ceb18 (__TEXT,__text) external _objc_bp_assist_cfg_np
00000001803cba44 (__TEXT,__text) external _open
00000001803d3ecc (__TEXT,__text) external _open$NOCANCEL
00000001803c58ac (__TEXT,__text) external _open_dprotected_np
00000001803daf50 (__TEXT,__text) external _openat
00000001803d3f94 (__TEXT,__text) external _openat$NOCANCEL
00000001803db7ac (__TEXT,__text) external _openat_authenticated_np
00000001803db74c (__TEXT,__text) external _openat_dprotected_np
00000001803ceb44 (__TEXT,__text) external _openbyid_np
00000001803d1a50 (__TEXT,__text) external _os_buflet_get_data_address
00000001803d1a20 (__TEXT,__text) external _os_buflet_get_data_length
00000001803d1a58 (__TEXT,__text) external _os_buflet_get_data_limit
00000001803d1a18 (__TEXT,__text) external _os_buflet_get_data_offset
00000001803d1a68 (__TEXT,__text) external _os_buflet_get_gro_len
00000001803d1a70 (__TEXT,__text) external _os_buflet_get_next_buf
00000001803d1a40 (__TEXT,__text) external _os_buflet_get_object_address
00000001803d1a48 (__TEXT,__text) external _os_buflet_get_object_limit
00000001803d1a60 (__TEXT,__text) external _os_buflet_get_object_offset
00000001803d1a34 (__TEXT,__text) external _os_buflet_set_data_length
00000001803d1a28 (__TEXT,__text) external _os_buflet_set_data_offset
00000001803d6b78 (__TEXT,__text) external _os_channel_advance_slot
00000001803d7634 (__TEXT,__text) external _os_channel_attr_clone
00000001803d75a0 (__TEXT,__text) external _os_channel_attr_create
00000001803d7858 (__TEXT,__text) external _os_channel_attr_destroy
00000001803d7abc (__TEXT,__text) external _os_channel_attr_get
00000001803d7c70 (__TEXT,__text) external _os_channel_attr_get_key
00000001803d792c (__TEXT,__text) external _os_channel_attr_set
00000001803d76c8 (__TEXT,__text) external _os_channel_attr_set_key
00000001803d6b20 (__TEXT,__text) external _os_channel_available_slot_count
00000001803d9290 (__TEXT,__text) external _os_channel_buflet_alloc
00000001803d8bb8 (__TEXT,__text) external _os_channel_buflet_free
00000001803d925c (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001803d6760 (__TEXT,__text) external _os_channel_create
00000001803d5db8 (__TEXT,__text) external _os_channel_create_extended
00000001803d68e8 (__TEXT,__text) external _os_channel_destroy
00000001803d91c4 (__TEXT,__text) external _os_channel_event_free
00000001803dc464 (__TEXT,__text) external _os_channel_event_get_event_data
00000001803dc3b0 (__TEXT,__text) external _os_channel_event_get_next_event
00000001803d73a4 (__TEXT,__text) external _os_channel_flow_admissible
00000001803d7380 (__TEXT,__text) external _os_channel_get_advisory_region
00000001803d6770 (__TEXT,__text) external _os_channel_get_fd
00000001803d91c8 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001803d8d60 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001803d6c04 (__TEXT,__text) external _os_channel_get_next_slot
00000001803d72fc (__TEXT,__text) external _os_channel_get_stats_region
00000001803d6538 (__TEXT,__text) non-external _os_channel_info2attr
00000001803d6650 (__TEXT,__text) non-external _os_channel_init_ring
00000001803d69d0 (__TEXT,__text) external _os_channel_is_defunct
00000001803d7ce8 (__TEXT,__text) external _os_channel_packet_alloc
00000001803d8164 (__TEXT,__text) external _os_channel_packet_free
00000001803d8634 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001803d6af0 (__TEXT,__text) external _os_channel_pending
00000001803d6778 (__TEXT,__text) external _os_channel_read_attr
00000001803d6898 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001803d69e4 (__TEXT,__text) external _os_channel_ring_id
00000001803d6b14 (__TEXT,__text) external _os_channel_ring_notify_time
00000001803d6b08 (__TEXT,__text) external _os_channel_ring_sync_time
00000001803d6a94 (__TEXT,__text) external _os_channel_rx_ring
00000001803d704c (__TEXT,__text) external _os_channel_set_slot_properties
00000001803d8304 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001803d848c (__TEXT,__text) external _os_channel_slot_detach_packet
00000001803d7190 (__TEXT,__text) external _os_channel_slot_get_packet
00000001803d68bc (__TEXT,__text) external _os_channel_sync
00000001803d6a4c (__TEXT,__text) external _os_channel_tx_ring
00000001803d67cc (__TEXT,__text) external _os_channel_write_attr
00000001803d19e4 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001803cca00 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001803db650 (__TEXT,__text) external _os_cpu_in_cksum
00000001803cc760 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001803ceb70 (__TEXT,__text) external _os_fault_with_payload
00000001803d19e0 (__TEXT,__text) external _os_inet_checksum
00000001803d9c90 (__TEXT,__text) external _os_nexus_attr_clone
00000001803d9bfc (__TEXT,__text) external _os_nexus_attr_create
00000001803da024 (__TEXT,__text) external _os_nexus_attr_destroy
00000001803d9ed8 (__TEXT,__text) external _os_nexus_attr_get
00000001803d9cec (__TEXT,__text) external _os_nexus_attr_set
00000001803da74c (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001803da458 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001803da478 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001803da070 (__TEXT,__text) external _os_nexus_controller_create
00000001803da44c (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001803dab0c (__TEXT,__text) external _os_nexus_controller_destroy
00000001803da46c (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001803da164 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001803da934 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
00000001803da5f0 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001803da16c (__TEXT,__text) external _os_nexus_controller_register_provider
00000001803da89c (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001803da574 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001803d18d8 (__TEXT,__text) external _os_packet_add_buflet
00000001803d0f98 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001803d198c (__TEXT,__text) external _os_packet_decrement_use_count
00000001803d1714 (__TEXT,__text) external _os_packet_finalize
00000001803d19b4 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001803d1620 (__TEXT,__text) external _os_packet_get_buflet_count
00000001803d0d24 (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001803d1614 (__TEXT,__text) external _os_packet_get_data_length
00000001803d106c (__TEXT,__text) external _os_packet_get_expire_time
00000001803d1100 (__TEXT,__text) external _os_packet_get_expiry_action
00000001803d0ee8 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001803d103c (__TEXT,__text) external _os_packet_get_group_end
00000001803d0fd8 (__TEXT,__text) external _os_packet_get_group_start
00000001803d0784 (__TEXT,__text) external _os_packet_get_headroom
00000001803d0ea0 (__TEXT,__text) external _os_packet_get_inet_checksum
00000001803d1548 (__TEXT,__text) external _os_packet_get_keep_alive
00000001803d0880 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001803d09a0 (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001803d0808 (__TEXT,__text) external _os_packet_get_link_header_length
00000001803d0910 (__TEXT,__text) external _os_packet_get_link_multicast
00000001803d165c (__TEXT,__text) external _os_packet_get_next_buflet
00000001803d1304 (__TEXT,__text) external _os_packet_get_packetid
00000001803d16e8 (__TEXT,__text) external _os_packet_get_segment_count
00000001803d0c30 (__TEXT,__text) external _os_packet_get_service_class
00000001803d11a0 (__TEXT,__text) external _os_packet_get_token
00000001803d1b40 (__TEXT,__text) external _os_packet_get_trace_id
00000001803d0da0 (__TEXT,__text) external _os_packet_get_traffic_class
00000001803d0aec (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001803d0a1c (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001803d0a84 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001803d1594 (__TEXT,__text) external _os_packet_get_truncated
00000001803d14c4 (__TEXT,__text) external _os_packet_get_vlan_id
00000001803d14cc (__TEXT,__text) external _os_packet_get_vlan_priority
00000001803d145c (__TEXT,__text) external _os_packet_get_vlan_tag
00000001803d1538 (__TEXT,__text) external _os_packet_get_wake_flag
00000001803d1960 (__TEXT,__text) external _os_packet_increment_use_count
00000001803d14d4 (__TEXT,__text) external _os_packet_set_app_metadata
00000001803d0cf4 (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001803d10bc (__TEXT,__text) external _os_packet_set_expire_time
00000001803d1150 (__TEXT,__text) external _os_packet_set_expiry_action
00000001803d0f40 (__TEXT,__text) external _os_packet_set_flow_uuid
00000001803d1008 (__TEXT,__text) external _os_packet_set_group_end
00000001803d0fa4 (__TEXT,__text) external _os_packet_set_group_start
00000001803d072c (__TEXT,__text) external _os_packet_set_headroom
00000001803d0e64 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001803d1558 (__TEXT,__text) external _os_packet_set_keep_alive
00000001803d15d8 (__TEXT,__text) external _os_packet_set_l4s_flag
00000001803d0834 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001803d0954 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001803d07c4 (__TEXT,__text) external _os_packet_set_link_header_length
00000001803d08c4 (__TEXT,__text) external _os_packet_set_link_multicast
00000001803d1380 (__TEXT,__text) external _os_packet_set_packetid
00000001803d1c00 (__TEXT,__text) external _os_packet_set_protocol_segment_size
00000001803d0b54 (__TEXT,__text) external _os_packet_set_service_class
00000001803d1260 (__TEXT,__text) external _os_packet_set_token
00000001803d1b60 (__TEXT,__text) external _os_packet_set_trace_id
00000001803d0d70 (__TEXT,__text) external _os_packet_set_traffic_class
00000001803d0b1c (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001803d0ab4 (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001803d09e4 (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001803d0a4c (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001803d1c30 (__TEXT,__text) external _os_packet_set_tso_flags
00000001803d13fc (__TEXT,__text) external _os_packet_set_vlan_tag
00000001803d1b8c (__TEXT,__text) external _os_packet_trace_event
00000001803d2bc0 (__TEXT,__text) external _os_proc_available_memory
00000001803d2470 (__TEXT,__text) external _panic
00000001803d2464 (__TEXT,__text) external _panic_init
00000001803c8190 (__TEXT,__text) external _pathconf
00000001803ceb9c (__TEXT,__text) external _peeloff
00000001803bff00 (__TEXT,__text) external _pid_for_task
00000001803cebc8 (__TEXT,__text) external _pid_hibernate
00000001803cebf4 (__TEXT,__text) external _pid_resume
00000001803d955c (__TEXT,__text) external _pid_shutdown_networking
00000001803cec20 (__TEXT,__text) external _pid_shutdown_sockets
00000001803cec4c (__TEXT,__text) external _pid_suspend
00000001803c6484 (__TEXT,__text) external _pipe
00000001803cec78 (__TEXT,__text) external _pivot_root
00000001803d06dc (__TEXT,__text) external _pkt_subtype_assert_fail
00000001803d0704 (__TEXT,__text) external _pkt_type_assert_fail
00000001803c882c (__TEXT,__text) external _poll
00000001803cd7ec (__TEXT,__text) external _poll$NOCANCEL
00000001803d0608 (__TEXT,__text) non-external _port_for_id_internal
00000001803d24c0 (__TEXT,__text) external _port_obj_init
00000001d8a91020 (__DATA,__common) external _port_obj_table
00000001d8a90f98 (__DATA,__data) external _port_obj_table_size
00000001803c2b94 (__TEXT,__text) external _posix_madvise
00000001803c6f6c (__TEXT,__text) external _posix_spawn
00000001803cb7c4 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001803d4bd4 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001803d4c7c (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001803cc684 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001803c69e0 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001803d4d34 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001803cc5f4 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001803cbd14 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001803c7478 (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001803c68fc (__TEXT,__text) external _posix_spawn_file_actions_init
00000001d8a91058 (__DATA,__bss) non-external _posix_spawn_with_filter
00000001803c71d8 (__TEXT,__text) external _posix_spawnattr_destroy
00000001803d4b24 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001803d50d4 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001803d5090 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001803d47b4 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001803d474c (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001803d4de4 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001803d46bc (__TEXT,__text) external _posix_spawnattr_getflags
00000001803c6ca8 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001803d4828 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001803d4704 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001803d484c (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001803d46e0 (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001803d4728 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001803c6b40 (__TEXT,__text) external _posix_spawnattr_init
00000001803d4b4c (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001803d4b94 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
00000001803d4b74 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001803d4bb4 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
00000001803d52d4 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001803d50b4 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001803d56d8 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001803d53ec (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001803d54b0 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001803d4e30 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001803d56f8 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001803f29d0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001803d5798 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001803d55b4 (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001803d5290 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001803d51f4 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001803d5228 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001803d50f8 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001803d51c4 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001803d4b04 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001803d56b8 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001803d4f48 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001803d5060 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001803d4ebc (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001803d49a4 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001803d4e10 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001803d532c (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001803d4890 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001803cb78c (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001803cbe0c (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001803d4f80 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001803d4dc4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001803cbcbc (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001803d4978 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
00000001803cc714 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001803c6c88 (__TEXT,__text) external _posix_spawnattr_setflags
00000001803c8858 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001803c6d64 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001803d52b0 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001803d4938 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001803d4870 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001803d4958 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001803c6c64 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001803c6c40 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001803cbce4 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001803c1820 (__TEXT,__text) external _pread
00000001803cd818 (__TEXT,__text) external _pread$NOCANCEL
00000001803ceca4 (__TEXT,__text) external _preadv
00000001803cd844 (__TEXT,__text) external _preadv$NOCANCEL
00000001803d41a4 (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001803d3840 (__TEXT,__text) external _proc_clear_cpulimits
00000001803d3a18 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001803d3468 (__TEXT,__text) external _proc_clear_dirty
00000001803d38f8 (__TEXT,__text) external _proc_clear_vmpressure
00000001803d3320 (__TEXT,__text) external _proc_current_thread_schedinfo
00000001803ca040 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001803ca100 (__TEXT,__text) external _proc_denap_assertion_complete
00000001803d3a78 (__TEXT,__text) external _proc_disable_apptype
00000001803cb434 (__TEXT,__text) external _proc_disable_cpumon
00000001803c9cf4 (__TEXT,__text) external _proc_disable_wakemon
00000001803d38a0 (__TEXT,__text) external _proc_donate_importance_boost
00000001803d3aec (__TEXT,__text) external _proc_enable_apptype
00000001803c9c78 (__TEXT,__text) external _proc_get_cpumon_params
00000001803d33ec (__TEXT,__text) external _proc_get_dirty
00000001803d373c (__TEXT,__text) external _proc_get_wakemon_params
00000001803ca048 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001803ca104 (__TEXT,__text) external _proc_importance_assertion_complete
00000001803d3224 (__TEXT,__text) external _proc_kmsgbuf
00000001803d33cc (__TEXT,__text) external _proc_libversion
00000001803d37a8 (__TEXT,__text) external _proc_list_dynkqueueids
00000001803d378c (__TEXT,__text) external _proc_list_uptrs
00000001803d2f30 (__TEXT,__text) external _proc_listallpids
00000001803d2fa8 (__TEXT,__text) external _proc_listchildpids
00000001803d2fe4 (__TEXT,__text) external _proc_listcoalitions
00000001803d2f6c (__TEXT,__text) external _proc_listpgrppids
00000001803c9ff0 (__TEXT,__text) external _proc_listpids
00000001803db814 (__TEXT,__text) external _proc_listpidspath
00000001803c5f54 (__TEXT,__text) external _proc_name
00000001803c7be4 (__TEXT,__text) external _proc_pid_rusage
00000001803d30d8 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001803d3068 (__TEXT,__text) external _proc_pidfdinfo
00000001803d30a0 (__TEXT,__text) external _proc_pidfileportinfo
00000001803c1290 (__TEXT,__text) external _proc_pidinfo
00000001803c7830 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001803c1ad8 (__TEXT,__text) external _proc_pidpath
00000001803d325c (__TEXT,__text) external _proc_pidpath_audittoken
00000001803d312c (__TEXT,__text) external _proc_regionfilename
00000001803d3834 (__TEXT,__text) external _proc_reset_footprint_interval
00000001803d35b8 (__TEXT,__text) external _proc_resume_cpumon
00000001803c86f0 (__TEXT,__text) external _proc_rlimit_control
00000001803c7b98 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001803c7b20 (__TEXT,__text) external _proc_set_cpumon_params
00000001803d35d8 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001803d3c30 (__TEXT,__text) external _proc_set_csm
00000001803d39b8 (__TEXT,__text) external _proc_set_delayidlesleep
00000001803c334c (__TEXT,__text) external _proc_set_dirty
00000001803d3b68 (__TEXT,__text) external _proc_set_no_smt
00000001803d3958 (__TEXT,__text) external _proc_set_owner_vmpressure
00000001803c9d80 (__TEXT,__text) external _proc_set_wakemon_defaults
00000001803d3708 (__TEXT,__text) external _proc_set_wakemon_params
00000001803d37c4 (__TEXT,__text) external _proc_setcpu_percentage
00000001803c23d8 (__TEXT,__text) external _proc_setpcontrol
00000001803d301c (__TEXT,__text) external _proc_setthread_cpupercent
00000001803d3cf8 (__TEXT,__text) external _proc_setthread_csm
00000001803d3bcc (__TEXT,__text) external _proc_setthread_no_smt
00000001803d3b60 (__TEXT,__text) external _proc_suppress
00000001803d34c8 (__TEXT,__text) external _proc_terminate
00000001803d3544 (__TEXT,__text) external _proc_terminate_all_rsr
00000001803cecd0 (__TEXT,__text) external _proc_trace_log
00000001803c32ec (__TEXT,__text) external _proc_track_dirty
00000001803d3110 (__TEXT,__text) external _proc_udata_info
00000001803cecfc (__TEXT,__text) external _proc_uuid_policy
00000001803e87f0 (__TEXT,__text) external _processor_assign
00000001803e868c (__TEXT,__text) external _processor_control
00000001803e8364 (__TEXT,__text) external _processor_exit
00000001803e8924 (__TEXT,__text) external _processor_get_assignment
00000001803e8478 (__TEXT,__text) external _processor_info
00000001803e0fc8 (__TEXT,__text) external _processor_set_create
00000001803e0e68 (__TEXT,__text) external _processor_set_default
00000001803e7414 (__TEXT,__text) external _processor_set_destroy
00000001803e7eb0 (__TEXT,__text) external _processor_set_info
00000001803e752c (__TEXT,__text) external _processor_set_max_priority
00000001803e7ba8 (__TEXT,__text) external _processor_set_policy_control
00000001803e7774 (__TEXT,__text) external _processor_set_policy_disable
00000001803e7650 (__TEXT,__text) external _processor_set_policy_enable
00000001803e7d20 (__TEXT,__text) external _processor_set_stack_usage
00000001803e7238 (__TEXT,__text) external _processor_set_statistics
00000001803e7898 (__TEXT,__text) external _processor_set_tasks
00000001803e80b8 (__TEXT,__text) external _processor_set_tasks_with_flavor
00000001803e7a20 (__TEXT,__text) external _processor_set_threads
00000001803e8250 (__TEXT,__text) external _processor_start
00000001803d98e4 (__TEXT,__text) external _pselect
00000001803c6084 (__TEXT,__text) external _pselect$DARWIN_EXTSN
00000001803d2708 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001803d9a70 (__TEXT,__text) external _pselect$NOCANCEL
00000001803c1a54 (__TEXT,__text) external _pthread_getugid_np
00000001803c95ec (__TEXT,__text) external _pthread_setugid_np
00000001803c8bb0 (__TEXT,__text) external _ptrace
00000001803c362c (__TEXT,__text) external _pwrite
00000001803cd9d0 (__TEXT,__text) external _pwrite$NOCANCEL
00000001803ced28 (__TEXT,__text) external _pwritev
00000001803cd9fc (__TEXT,__text) external _pwritev$NOCANCEL
00000001803d2404 (__TEXT,__text) external _quota
00000001803c6210 (__TEXT,__text) external _quotactl
00000001803c0ac4 (__TEXT,__text) external _read
00000001803c1e7c (__TEXT,__text) external _read$NOCANCEL
00000001803c2334 (__TEXT,__text) external _readlink
00000001803ced54 (__TEXT,__text) external _readlinkat
00000001803ced80 (__TEXT,__text) external _readv
00000001803cda28 (__TEXT,__text) external _readv$NOCANCEL
00000001803cf4c8 (__TEXT,__text) non-external _reallocf
00000001803d1c68 (__TEXT,__text) external _reboot
00000001803d1c70 (__TEXT,__text) external _reboot_np
00000001803d98e0 (__TEXT,__text) external _record_system_event_as_kernel
00000001803c449c (__TEXT,__text) external _recvfrom
00000001803c4364 (__TEXT,__text) external _recvfrom$NOCANCEL
00000001803c48cc (__TEXT,__text) external _recvmsg
00000001803cdaac (__TEXT,__text) external _recvmsg$NOCANCEL
00000001803cedac (__TEXT,__text) external _recvmsg_x
00000001803cedd8 (__TEXT,__text) external _register_uexc_handler
00000001803c4df0 (__TEXT,__text) external _removexattr
00000001803c3a5c (__TEXT,__text) external _rename
00000001803d4678 (__TEXT,__text) external _rename_ext
00000001803d1d04 (__TEXT,__text) external _renameat
00000001803d460c (__TEXT,__text) external _renameatx_np
00000001803d4638 (__TEXT,__text) external _renamex_np
00000001803cee04 (__TEXT,__text) external _revoke
00000001803c3ac8 (__TEXT,__text) external _rmdir
00000001803cee30 (__TEXT,__text) external _searchfs
00000001803c45a4 (__TEXT,__text) external _select
00000001803cafe8 (__TEXT,__text) external _select$DARWIN_EXTSN
00000001803c4338 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
00000001803c4304 (__TEXT,__text) external _select$NOCANCEL
00000001803c9894 (__TEXT,__text) external _sem_close
00000001803d94e4 (__TEXT,__text) external _sem_destroy
00000001803d950c (__TEXT,__text) external _sem_getvalue
00000001803d9534 (__TEXT,__text) external _sem_init
00000001803ccc50 (__TEXT,__text) external _sem_open
00000001803cee5c (__TEXT,__text) external _sem_post
00000001803cee88 (__TEXT,__text) external _sem_trywait
00000001803ceeb4 (__TEXT,__text) external _sem_unlink
00000001803ceee0 (__TEXT,__text) external _sem_wait
00000001803cdb30 (__TEXT,__text) external _sem_wait$NOCANCEL
00000001803c2e34 (__TEXT,__text) external _semaphore_create
00000001803c31c8 (__TEXT,__text) external _semaphore_destroy
