00000001d83daf20 (__DATA,__data) external _NDR_record
00000001b7202a94 (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001b71fe8ec (__TEXT,__text) external _mig_deallocate
00000001b71fcf48 (__TEXT,__text) external _mig_get_reply_port
00000001b71fdd7c (__TEXT,__text) external _mig_get_special_reply_port
00000001b7200e44 (__TEXT,__text) external _mig_put_reply_port
00000001b71fcc20 (__TEXT,__text) external _mig_reply_setup
00000001b71fcdb8 (__TEXT,__text) external _mig_strncpy
00000001b71fd4d8 (__TEXT,__text) external _mig_strncpy_zerofill
00000001b7203020 (__TEXT,__text) external _mincore
00000001b7229de8 (__TEXT,__text) external _minherit
00000001b71fc630 (__TEXT,__text) external _mk_timer_arm
00000001b71fc648 (__TEXT,__text) external _mk_timer_arm_leeway
00000001b71fc63c (__TEXT,__text) external _mk_timer_cancel
00000001b71fc618 (__TEXT,__text) external _mk_timer_create
00000001b71fc624 (__TEXT,__text) external _mk_timer_destroy
00000001b71ffc44 (__TEXT,__text) external _mkdir
00000001b71fdf10 (__TEXT,__text) external _mkdirat
00000001b7229e14 (__TEXT,__text) external _mkfifo
00000001b7229e40 (__TEXT,__text) external _mknod
00000001b7202784 (__TEXT,__text) external _mlock
00000001b7229e6c (__TEXT,__text) external _mlockall
00000001b71fe5c4 (__TEXT,__text) external _mmap
00000001b7229e98 (__TEXT,__text) external _mount
00000001b7202808 (__TEXT,__text) external _mprotect
00000001b7229ec4 (__TEXT,__text) external _mremap_encrypted
00000001b720c374 (__TEXT,__text) external _msg_receive
00000001b720c364 (__TEXT,__text) external _msg_rpc
00000001b720c36c (__TEXT,__text) external _msg_send
00000001b7228af8 (__TEXT,__text) external _msgctl
00000001b7229ef0 (__TEXT,__text) external _msgget
00000001b7229f1c (__TEXT,__text) external _msgrcv
00000001b7228b24 (__TEXT,__text) external _msgrcv$NOCANCEL
00000001b7229f48 (__TEXT,__text) external _msgsnd
00000001b7228b50 (__TEXT,__text) external _msgsnd$NOCANCEL
00000001b720164c (__TEXT,__text) external _msgsys
00000001b7200b20 (__TEXT,__text) external _msync
00000001b7228ba8 (__TEXT,__text) external _msync$NOCANCEL
00000001b7202318 (__TEXT,__text) external _munlock
00000001b7229f74 (__TEXT,__text) external _munlockall
00000001b71ff098 (__TEXT,__text) external _munmap
00000001b7200e18 (__TEXT,__text) external _necp_client_action
00000001b7229fa0 (__TEXT,__text) external _necp_match_policy
00000001b7203078 (__TEXT,__text) external _necp_open
00000001b7229fcc (__TEXT,__text) external _necp_session_action
00000001b7207e1c (__TEXT,__text) external _necp_session_open
00000001b7229ff8 (__TEXT,__text) external _net_qos_guideline
00000001b722a024 (__TEXT,__text) external _netagent_trigger
00000001b721edd0 (__TEXT,__text) external _netname_check_in
00000001b721f174 (__TEXT,__text) external _netname_check_out
00000001b721ef58 (__TEXT,__text) external _netname_look_up
00000001b721f2f4 (__TEXT,__text) external _netname_version
00000001b722a050 (__TEXT,__text) external _nfsclnt
00000001b722a07c (__TEXT,__text) external _nfssvc
00000001d83daf40 (__DATA,__data) external _non_boost_assertion_token
00000001d83daf38 (__DATA,__data) external _normal_boost_assertion_token
00000001b722a0a8 (__TEXT,__text) external _ntp_adjtime
00000001b722a0d4 (__TEXT,__text) external _ntp_gettime
00000001b72027dc (__TEXT,__text) external _objc_bp_assist_cfg_np
00000001b71fe0e8 (__TEXT,__text) external _open
00000001b71fdfa8 (__TEXT,__text) external _open$NOCANCEL
00000001b7200750 (__TEXT,__text) external _open_dprotected_np
00000001b71fe990 (__TEXT,__text) external _openat
00000001b7202020 (__TEXT,__text) external _openat$NOCANCEL
00000001b722a100 (__TEXT,__text) external _openbyid_np
00000001b720b3cc (__TEXT,__text) external _os_buflet_get_data_address
00000001b720b39c (__TEXT,__text) external _os_buflet_get_data_length
00000001b720b3d4 (__TEXT,__text) external _os_buflet_get_data_limit
00000001b720b394 (__TEXT,__text) external _os_buflet_get_data_offset
00000001b720b3bc (__TEXT,__text) external _os_buflet_get_object_address
00000001b720b3c4 (__TEXT,__text) external _os_buflet_get_object_limit
00000001b720b3b0 (__TEXT,__text) external _os_buflet_set_data_length
00000001b720b3a4 (__TEXT,__text) external _os_buflet_set_data_offset
00000001b71ff700 (__TEXT,__text) external _os_channel_advance_slot
00000001b720f9f0 (__TEXT,__text) external _os_channel_attr_clone
00000001b7207bd8 (__TEXT,__text) external _os_channel_attr_create
00000001b720fa64 (__TEXT,__text) external _os_channel_attr_destroy
00000001b720fb28 (__TEXT,__text) external _os_channel_attr_get
00000001b720fcd0 (__TEXT,__text) external _os_channel_attr_get_key
00000001b7202f14 (__TEXT,__text) external _os_channel_attr_set
00000001b7209768 (__TEXT,__text) external _os_channel_attr_set_key
00000001b720f5d0 (__TEXT,__text) external _os_channel_available_slot_count
00000001b7210828 (__TEXT,__text) external _os_channel_buflet_alloc
00000001b722b4c4 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.1
00000001b722b4ec (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.2
00000001b722b514 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.3
00000001b722b534 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.4
00000001b72109c4 (__TEXT,__text) external _os_channel_buflet_free
00000001b722b55c (__TEXT,__text) non-external _os_channel_buflet_free.cold.1
00000001b722b584 (__TEXT,__text) non-external _os_channel_buflet_free.cold.2
00000001b722b5a4 (__TEXT,__text) non-external _os_channel_buflet_free.cold.3
00000001b72107f4 (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001b720f36c (__TEXT,__text) external _os_channel_create
00000001b720ec74 (__TEXT,__text) external _os_channel_create_extended
00000001b722ac88 (__TEXT,__text) non-external _os_channel_create_extended.cold.1
00000001b722acb0 (__TEXT,__text) non-external _os_channel_create_extended.cold.2
00000001b722acd8 (__TEXT,__text) non-external _os_channel_create_extended.cold.3
00000001b722ad00 (__TEXT,__text) non-external _os_channel_create_extended.cold.4
00000001b722ad28 (__TEXT,__text) non-external _os_channel_create_extended.cold.5
00000001b720f4c8 (__TEXT,__text) external _os_channel_destroy
00000001b721075c (__TEXT,__text) external _os_channel_event_free
00000001b7212d48 (__TEXT,__text) external _os_channel_event_get_event_data
00000001b7212c78 (__TEXT,__text) external _os_channel_event_get_next_event
00000001b720f7f4 (__TEXT,__text) external _os_channel_flow_admissible
00000001b720f7d0 (__TEXT,__text) external _os_channel_get_advisory_region
00000001b720f37c (__TEXT,__text) external _os_channel_get_fd
00000001b7210760 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001b7210410 (__TEXT,__text) external _os_channel_get_next_event_handle
00000001b722b434 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.1
00000001b722b440 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.2
00000001b722b44c (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.3
00000001b722b458 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.4
00000001b722b464 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.5
00000001b722b470 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.6
00000001b722b47c (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.7
00000001b722b4a4 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.8
00000001b71fd7e8 (__TEXT,__text) external _os_channel_get_next_slot
00000001b722ae54 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.1
00000001b722af0c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.10
00000001b722ae60 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.2
00000001b722ae6c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.3
00000001b722ae78 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.4
00000001b722ae84 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.5
00000001b722ae90 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.6
00000001b722ae9c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.7
00000001b722aec4 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.8
00000001b722aee4 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.9
00000001b720f74c (__TEXT,__text) external _os_channel_get_stats_region
00000001b720f1ac (__TEXT,__text) non-external _os_channel_info2attr
00000001b720f2b0 (__TEXT,__text) non-external _os_channel_init_ring
00000001b722ade4 (__TEXT,__text) non-external _os_channel_init_ring.cold.1
00000001b722ae04 (__TEXT,__text) non-external _os_channel_init_ring.cold.2
00000001b722ae2c (__TEXT,__text) non-external _os_channel_init_ring.cold.3
00000001b720f520 (__TEXT,__text) external _os_channel_is_defunct
00000001b720fd48 (__TEXT,__text) external _os_channel_packet_alloc
00000001b722b01c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.1
00000001b722b028 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.2
00000001b722b034 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.3
00000001b722b040 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.4
00000001b722b04c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.5
00000001b722b058 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.6
00000001b722b064 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.7
00000001b722b08c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.8
00000001b722b0ac (__TEXT,__text) non-external _os_channel_packet_alloc.cold.9
00000001b7210070 (__TEXT,__text) external _os_channel_packet_free
00000001b722b0d4 (__TEXT,__text) non-external _os_channel_packet_free.cold.1
00000001b722b0fc (__TEXT,__text) non-external _os_channel_packet_free.cold.2
00000001b722b11c (__TEXT,__text) non-external _os_channel_packet_free.cold.3
00000001b72093b0 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001b722b26c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.1
00000001b722b3c4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.10
00000001b722b3e4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.11
00000001b722b40c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.12
00000001b722b28c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.2
00000001b722b2b4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.3
00000001b722b2dc (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.4
00000001b722b304 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.5
00000001b722b32c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.6
00000001b722b34c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.7
00000001b722b374 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.8
00000001b722b39c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.9
00000001b720f5a0 (__TEXT,__text) external _os_channel_pending
00000001b720f384 (__TEXT,__text) external _os_channel_read_attr
00000001b720f4a4 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001b7201a2c (__TEXT,__text) external _os_channel_ring_id
00000001b720f5c4 (__TEXT,__text) external _os_channel_ring_notify_time
00000001b720f5b8 (__TEXT,__text) external _os_channel_ring_sync_time
00000001b720f544 (__TEXT,__text) external _os_channel_rx_ring
00000001b7205b18 (__TEXT,__text) external _os_channel_set_slot_properties
00000001b722af34 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.1
00000001b722af54 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.2
00000001b722af7c (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.3
00000001b72101b0 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001b722b144 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.1
00000001b722b164 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.2
00000001b722b18c (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.3
00000001b722b1b4 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.4
00000001b72102d0 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001b722b1dc (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.1
00000001b722b204 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.2
00000001b722b224 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.3
00000001b722b244 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.4
00000001b720f628 (__TEXT,__text) external _os_channel_slot_get_packet
00000001b722afa4 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.1
00000001b722afcc (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.2
00000001b722aff4 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.3
00000001b7200408 (__TEXT,__text) external _os_channel_sync
00000001b71fdcdc (__TEXT,__text) external _os_channel_tx_ring
00000001b720f3d8 (__TEXT,__text) external _os_channel_write_attr
00000001b720b360 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001b72120b0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001b7212314 (__TEXT,__text) external _os_cpu_in_cksum
00000001b720b4e0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001b722a12c (__TEXT,__text) external _os_fault_with_payload
00000001b720b35c (__TEXT,__text) external _os_inet_checksum
00000001b72111d8 (__TEXT,__text) external _os_nexus_attr_clone
00000001b721119c (__TEXT,__text) external _os_nexus_attr_create
00000001b721152c (__TEXT,__text) external _os_nexus_attr_destroy
00000001b72113ec (__TEXT,__text) external _os_nexus_attr_get
00000001b721121c (__TEXT,__text) external _os_nexus_attr_set
00000001b7211894 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001b72118b4 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001b7211530 (__TEXT,__text) external _os_nexus_controller_create
00000001b7211888 (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001b7211b78 (__TEXT,__text) external _os_nexus_controller_destroy
00000001b72118a8 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001b72115cc (__TEXT,__text) external _os_nexus_controller_get_fd
00000001b7211a30 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001b72115d4 (__TEXT,__text) external _os_nexus_controller_register_provider
00000001b72119b8 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001b720b24c (__TEXT,__text) external _os_packet_add_buflet
00000001b722a95c (__TEXT,__text) non-external _os_packet_add_buflet.cold.1
00000001b720aa74 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001b720b308 (__TEXT,__text) external _os_packet_decrement_use_count
00000001b720b074 (__TEXT,__text) external _os_packet_finalize
00000001b722a950 (__TEXT,__text) non-external _os_packet_finalize.cold.1
00000001b720b330 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001b720af8c (__TEXT,__text) external _os_packet_get_buflet_count
00000001b720a828 (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001b720af80 (__TEXT,__text) external _os_packet_get_data_length
00000001b720ab48 (__TEXT,__text) external _os_packet_get_expire_time
00000001b720a9c4 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001b720ab18 (__TEXT,__text) external _os_packet_get_group_end
00000001b720aab4 (__TEXT,__text) external _os_packet_get_group_start
00000001b720a314 (__TEXT,__text) external _os_packet_get_headroom
00000001b722a8ac (__TEXT,__text) non-external _os_packet_get_headroom.cold.1
00000001b720a980 (__TEXT,__text) external _os_packet_get_inet_checksum
00000001b720af04 (__TEXT,__text) external _os_packet_get_keep_alive
00000001b720a3e8 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001b722a8c4 (__TEXT,__text) non-external _os_packet_get_link_broadcast.cold.1
00000001b720a4b8 (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001b722a8f4 (__TEXT,__text) non-external _os_packet_get_link_ethfcs.cold.1
00000001b720a384 (__TEXT,__text) external _os_packet_get_link_header_length
00000001b720a450 (__TEXT,__text) external _os_packet_get_link_multicast
00000001b722a8dc (__TEXT,__text) non-external _os_packet_get_link_multicast.cold.1
00000001b720afc8 (__TEXT,__text) external _os_packet_get_next_buflet
00000001b722a944 (__TEXT,__text) non-external _os_packet_get_next_buflet.cold.1
00000001b720ad30 (__TEXT,__text) external _os_packet_get_packetid
00000001b720b048 (__TEXT,__text) external _os_packet_get_segment_count
00000001b720a734 (__TEXT,__text) external _os_packet_get_service_class
00000001b720abdc (__TEXT,__text) external _os_packet_get_token
00000001b722a900 (__TEXT,__text) non-external _os_packet_get_token.cold.1
00000001b720b3dc (__TEXT,__text) external _os_packet_get_trace_id
00000001b720a884 (__TEXT,__text) external _os_packet_get_traffic_class
00000001b720a5f0 (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001b720a520 (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001b720a588 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001b720af50 (__TEXT,__text) external _os_packet_get_truncated
00000001b722a938 (__TEXT,__text) non-external _os_packet_get_truncated.cold.1
00000001b720aee4 (__TEXT,__text) external _os_packet_get_vlan_id
00000001b720aeec (__TEXT,__text) external _os_packet_get_vlan_priority
00000001b720ae90 (__TEXT,__text) external _os_packet_get_vlan_tag
00000001b722a92c (__TEXT,__text) non-external _os_packet_get_vlan_tag.cold.1
00000001b720aef4 (__TEXT,__text) external _os_packet_get_wake_flag
00000001b720b2dc (__TEXT,__text) external _os_packet_increment_use_count
00000001b720a7f8 (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001b720ab98 (__TEXT,__text) external _os_packet_set_expire_time
00000001b720aa18 (__TEXT,__text) external _os_packet_set_flow_uuid
00000001b720aae4 (__TEXT,__text) external _os_packet_set_group_end
00000001b720aa80 (__TEXT,__text) external _os_packet_set_group_start
00000001b720a2d0 (__TEXT,__text) external _os_packet_set_headroom
00000001b722a8a0 (__TEXT,__text) non-external _os_packet_set_headroom.cold.1
00000001b720a948 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001b720af14 (__TEXT,__text) external _os_packet_set_keep_alive
00000001b720a3b0 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001b722a8b8 (__TEXT,__text) non-external _os_packet_set_link_broadcast.cold.1
00000001b720a480 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001b722a8e8 (__TEXT,__text) non-external _os_packet_set_link_ethfcs.cold.1
00000001b720a340 (__TEXT,__text) external _os_packet_set_link_header_length
00000001b720a418 (__TEXT,__text) external _os_packet_set_link_multicast
00000001b722a8d0 (__TEXT,__text) non-external _os_packet_set_link_multicast.cold.1
00000001b720adb8 (__TEXT,__text) external _os_packet_set_packetid
00000001b720a658 (__TEXT,__text) external _os_packet_set_service_class
00000001b720ac84 (__TEXT,__text) external _os_packet_set_token
00000001b720b3fc (__TEXT,__text) external _os_packet_set_trace_id
00000001b720a854 (__TEXT,__text) external _os_packet_set_traffic_class
00000001b720a620 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001b720a5b8 (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001b720a4e8 (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001b720a550 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001b720ae44 (__TEXT,__text) external _os_packet_set_vlan_tag
00000001b722a920 (__TEXT,__text) non-external _os_packet_set_vlan_tag.cold.1
00000001b720b428 (__TEXT,__text) external _os_packet_trace_event
00000001b720c944 (__TEXT,__text) external _os_proc_available_memory
00000001b720c2a4 (__TEXT,__text) external _panic
00000001b720c298 (__TEXT,__text) external _panic_init
00000001b7203748 (__TEXT,__text) external _pathconf
00000001b722a158 (__TEXT,__text) external _peeloff
00000001b71fc54c (__TEXT,__text) external _pid_for_task
00000001b720131c (__TEXT,__text) external _pid_hibernate
00000001b7200a58 (__TEXT,__text) external _pid_resume
00000001b7210c68 (__TEXT,__text) external _pid_shutdown_networking
00000001b72030fc (__TEXT,__text) external _pid_shutdown_sockets
00000001b71ff21c (__TEXT,__text) external _pid_suspend
00000001b72000d4 (__TEXT,__text) external _pipe
00000001b722a184 (__TEXT,__text) external _pivot_root
00000001b720a280 (__TEXT,__text) external _pkt_subtype_assert_fail
00000001b720a2a8 (__TEXT,__text) external _pkt_type_assert_fail
00000001b71ffb9c (__TEXT,__text) external _poll
00000001b7228d60 (__TEXT,__text) external _poll$NOCANCEL
00000001b720a1e0 (__TEXT,__text) non-external _port_for_id_internal
00000001b720c2f4 (__TEXT,__text) external _port_obj_init
00000001d83daf60 (__DATA,__common) external _port_obj_table
00000001d83daf28 (__DATA,__data) external _port_obj_table_size
00000001b71fcef0 (__TEXT,__text) external _posix_madvise
00000001b7201700 (__TEXT,__text) external _posix_spawn
00000001b720dee0 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001b720e03c (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001b720e178 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001b71fea8c (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001b7207e74 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001b720e224 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001b720e0e8 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001b7205a2c (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001b720010c (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001b7204420 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001d83daf68 (__DATA,__common) non-external (was a private external) _posix_spawn_with_filter
00000001b720250c (__TEXT,__text) external _posix_spawnattr_destroy
00000001b720de90 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001b720e730 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001b720e70c (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001b720db60 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001b720dafc (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001b720e2fc (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001b72099c8 (__TEXT,__text) external _posix_spawnattr_getflags
00000001b720e4e4 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001b720dbd0 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001b720dab4 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001b720dbf4 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001b720da90 (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001b720dad8 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001b72083f8 (__TEXT,__text) external _posix_spawnattr_init
00000001b720e558 (__TEXT,__text) non-external _posix_spawnattr_macpolicyinfo_lookup
00000001b720deb8 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001b720e820 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001b720872c (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001b720ea20 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001b720e8e8 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001b720e964 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001b720e394 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001b72098d4 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001b722b7a0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001b7207864 (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001b720911c (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001b720e754 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001b720e790 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001b7208968 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001b7207c14 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001b720de70 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001b71fe11c (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001b720e4ac (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001b720e6e4 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001b720e420 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001b720dde0 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001b7201a84 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001b720e870 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001b720dcfc (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001b720e004 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001b720dc5c (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001b7207144 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001b720e2dc (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001b720e2b4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001b720dfd0 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001b720da70 (__TEXT,__text) external _posix_spawnattr_setflags
00000001b720e328 (__TEXT,__text) external _posix_spawnattr_setjetsam
00000001b720e368 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001b720e5b8 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001b720e7fc (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001b720dda0 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001b720dc3c (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001b720ddc0 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001b720dc18 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001b71fe204 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001b7209864 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001b71fd710 (__TEXT,__text) external _pread
00000001b7228d8c (__TEXT,__text) external _pread$NOCANCEL
00000001b722a1b0 (__TEXT,__text) external _preadv
00000001b7228db8 (__TEXT,__text) external _preadv$NOCANCEL
00000001b720d61c (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001b720cfa4 (__TEXT,__text) external _proc_appstate
00000001b7203914 (__TEXT,__text) external _proc_can_use_foreground_hw
00000001b720ce9c (__TEXT,__text) external _proc_clear_cpulimits
00000001b720cbc8 (__TEXT,__text) external _proc_clear_dirty
00000001b720cac0 (__TEXT,__text) external _proc_current_thread_schedinfo
00000001b720d23c (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001b720d244 (__TEXT,__text) external _proc_denap_assertion_complete
00000001b720d07c (__TEXT,__text) external _proc_devstatusnotify
00000001b7208ba8 (__TEXT,__text) external _proc_disable_cpumon
00000001b720cdd4 (__TEXT,__text) external _proc_disable_wakemon
00000001b720d0ec (__TEXT,__text) external _proc_donate_importance_boost
00000001b7207594 (__TEXT,__text) external _proc_get_cpumon_params
00000001b72071d4 (__TEXT,__text) external _proc_get_dirty
00000001b720cd50 (__TEXT,__text) external _proc_get_wakemon_params
00000001b720d130 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001b720d1d8 (__TEXT,__text) external _proc_importance_assertion_complete
00000001b720ca88 (__TEXT,__text) external _proc_kmsgbuf
00000001b720cb40 (__TEXT,__text) external _proc_libversion
00000001b720ce24 (__TEXT,__text) external _proc_list_dynkqueueids
00000001b720ce08 (__TEXT,__text) external _proc_list_uptrs
00000001b720c948 (__TEXT,__text) external _proc_listallpids
00000001b720c9c0 (__TEXT,__text) external _proc_listchildpids
00000001b7203b5c (__TEXT,__text) external _proc_listcoalitions
00000001b720c984 (__TEXT,__text) external _proc_listpgrppids
00000001b7203b94 (__TEXT,__text) external _proc_listpids
00000001b721240c (__TEXT,__text) external _proc_listpidspath
