00007ffa19628b5b (__TEXT,__text) non-external _DiToMD5
00007ffa196392ed (__TEXT,__text) non-external __ZN8IOThread17CopyCurrentThreadEPPS_.cold.2
00007ffa19617418 (__TEXT,__text) external __ZN8IOThread17GetTimeConstraintEPjS0_S0_PbS1_
00007ffa196174d0 (__TEXT,__text) external __ZN8IOThread17SetTimeConstraintEjjjb
00007ffa19617358 (__TEXT,__text) external __ZN8IOThread4JoinEPPv
00007ffa19616ffe (__TEXT,__text) external __ZN8IOThread4freeEv
00007ffa19616fb6 (__TEXT,__text) external __ZN8IOThread4initEv
00007ffa19617050 (__TEXT,__text) external __ZN8IOThread6CreateEyPFPvS0_ES0_PPS_
00007ffa1963644a (__TEXT,__text) external __ZN8OSAction11Create_CallEP8OSObjectyymPPS_
00007ffa1961525e (__TEXT,__text) external __ZN8OSAction12Aborted_ImplEv
00007ffa19615224 (__TEXT,__text) external __ZN8OSAction12GetReferenceEv
00007ffa19639031 (__TEXT,__text) non-external __ZN8OSAction12GetReferenceEv.cold.1
00007ffa1963674c (__TEXT,__text) external __ZN8OSAction13Create_InvokeE5IORPCPFiP8OSObjectyymPPS_E
00007ffa196363f0 (__TEXT,__text) external __ZN8OSAction14Aborted_InvokeE5IORPCP15OSMetaClassBasePFvS2_E
00007ffa1961523c (__TEXT,__text) external __ZN8OSAction17SetAbortedHandlerEU13block_pointerFvvE
00007ffa19615044 (__TEXT,__text) external __ZN8OSAction18CreateWithTypeNameEP8OSObjectyymP8OSStringPPS_
00007ffa19636572 (__TEXT,__text) external __ZN8OSAction23CreateWithTypeName_CallEP8OSObjectyymP8OSStringPPS_
00007ffa19636810 (__TEXT,__text) external __ZN8OSAction25CreateWithTypeName_InvokeE5IORPCPFiP8OSObjectyymP8OSStringPPS_E
00007ffa19615326 (__TEXT,__text) external __ZN8OSAction4WaitEP17OSActionWaitTokenyy
00007ffa1963909a (__TEXT,__text) non-external __ZN8OSAction4WaitEP17OSActionWaitTokenyy.cold.1
00007ffa196150fa (__TEXT,__text) external __ZN8OSAction4freeEv
00007ffa19638feb (__TEXT,__text) non-external __ZN8OSAction4freeEv.cold.1
00007ffa1961517c (__TEXT,__text) external __ZN8OSAction6CancelEU13block_pointerFvvE
00007ffa1963900e (__TEXT,__text) non-external __ZN8OSAction6CancelEU13block_pointerFvvE.cold.1
00007ffa19615034 (__TEXT,__text) external __ZN8OSAction6CreateEP8OSObjectyymPPS_
00007ffa1963669c (__TEXT,__text) external __ZN8OSAction7AbortedEPFiP15OSMetaClassBase5IORPCE
00007ffa196152dc (__TEXT,__text) external __ZN8OSAction7EndWaitEP17OSActionWaitToken
00007ffa19639077 (__TEXT,__text) non-external __ZN8OSAction7EndWaitEP17OSActionWaitToken.cold.1
00007ffa1963637a (__TEXT,__text) external __ZN8OSAction8DispatchE5IORPC
00007ffa19615276 (__TEXT,__text) external __ZN8OSAction8WillWaitEPP17OSActionWaitToken
00007ffa19639054 (__TEXT,__text) non-external __ZN8OSAction8WillWaitEPP17OSActionWaitToken.cold.1
00007ffa19636384 (__TEXT,__text) external __ZN8OSAction9_DispatchEPS_5IORPC
00007ffa196161ca (__TEXT,__text) external __ZN8OSBundle10mainBundleEv
00007ffa1963916c (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.1
00007ffa1963918f (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.2
00007ffa196391b2 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.3
00007ffa19616464 (__TEXT,__text) external __ZN8OSBundle12loadResourceEPKcymPP12OSMappedFile
00007ffa1961634e (__TEXT,__text) external __ZN8OSBundle14createFromPathEPKc
00007ffa19616404 (__TEXT,__text) external __ZN8OSBundle4freeEv
00007ffa196163c4 (__TEXT,__text) external __ZN8OSBundle4initEv
00007ffa1961ca68 (__TEXT,__text) external __ZN8OSNumber10withNumberEPKcm
00007ffa1961ca7e (__TEXT,__text) external __ZN8OSNumber10withNumberEym
00007ffa1961cbc4 (__TEXT,__text) external __ZN8OSNumber4freeEv
00007ffa19636c56 (__TEXT,__text) external __ZN8OSObject16SetDispatchQueueEPKcP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffa19636de0 (__TEXT,__text) external __ZN8OSObject17CopyDispatchQueueEPKcPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffa19636f80 (__TEXT,__text) external __ZN8OSObject23SetDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcP15IODispatchQueueE
00007ffa19637066 (__TEXT,__text) external __ZN8OSObject24CopyDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcPP15IODispatchQueueE
00007ffa19612b00 (__TEXT,__text) external __ZN8OSObject4freeEv
00007ffa19612af0 (__TEXT,__text) external __ZN8OSObject4initEv
00007ffa19636bdc (__TEXT,__text) external __ZN8OSObject8DispatchE5IORPC
00007ffa19636c12 (__TEXT,__text) external __ZN8OSObject9_DispatchEPS_5IORPC
00007ffa1961c9c2 (__TEXT,__text) external __ZN8OSString10withStringEPKS_
00007ffa1961c98e (__TEXT,__text) external __ZN8OSString11withCStringEPKc
00007ffa1961c9e4 (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
00007ffa1961c9a8 (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
00007ffa19619230 (__TEXT,__text) external __ZN8OSString4freeEv
00007ffa19639634 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
00007ffa19639655 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
00007ffa19639678 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
00007ffa196169ca (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00007ffa19616980 (__TEXT,__text) external __ZN9IOCommand4freeEv
00007ffa19616920 (__TEXT,__text) external __ZN9IOCommand4initEv
00007ffa196169c0 (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00007ffa19630426 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00007ffa1962f8e4 (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00007ffa19615a4c (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00007ffa19631a82 (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00007ffa19615d74 (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00007ffa1962e61e (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffa19630572 (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00007ffa1962e57e (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffa196307e8 (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffa1962ed3c (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00007ffa1962e810 (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00007ffa1962fcb8 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffa1962fa20 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffa1962f78c (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa1962f40e (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa196313b2 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffa1962f598 (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffa19631d92 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffa19631b42 (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffa1963098a (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00007ffa19632824 (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00007ffa1962f14e (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00007ffa19615bd2 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00007ffa1962fb6c (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffa19632770 (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00007ffa19615eec (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00007ffa19630dd4 (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffa19632248 (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffa19632408 (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00007ffa196320fc (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffa1962e9ac (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00007ffa1963111e (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffa1962ee5e (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00007ffa196302dc (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00007ffa19615c0a (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00007ffa19632474 (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00007ffa196325be (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00007ffa19615e20 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00007ffa19639149 (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00007ffa19631cea (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00007ffa196321ce (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00007ffa1962e7a4 (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa19632050 (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00007ffa19631e9a (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffa19632ad0 (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00007ffa19631f2c (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00007ffa19615c5c (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00007ffa19630f5e (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffa1962ea20 (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00007ffa196326ba (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00007ffa1963014c (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00007ffa196306b0 (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa19631e34 (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffa19615ee4 (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00007ffa19632162 (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffa196159fc (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00007ffa196328b6 (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00007ffa196317be (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa1962e900 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00007ffa1962e6be (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00007ffa1963239a (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffa196318f2 (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa1962f28a (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffa1963168a (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffa19614102 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00007ffa1961414a (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00007ffa1963294c (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00007ffa196322b6 (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00007ffa196324e2 (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00007ffa196158e6 (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00007ffa19632cc6 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffa19613f38 (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00007ffa19614006 (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00007ffa19638f1d (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00007ffa19632d98 (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00007ffa1962e72c (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00007ffa196140d2 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffa196140ea (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00007ffa1963150a (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00007ffa19631276 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00007ffa19632bf4 (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffa19614054 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffa1961409c (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00007ffa19632b7c (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00007ffa19632a6a (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffa1962ec20 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00007ffa19612b32 (__TEXT,__text) external __ZN9IOService4freeEv
00007ffa196157f0 (__TEXT,__text) external __ZN9IOService4initEv
00007ffa19639103 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00007ffa19639126 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00007ffa1962eb04 (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00007ffa1962fe42 (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00007ffa1962efc8 (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00007ffa19630c4a (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffa1962e34a (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00007ffa19630aea (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00007ffa19615a8a (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00007ffa19630002 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00007ffa1962e354 (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00007ffa1961cc5a (__TEXT,__text) external __ZN9OSBoolean4freeEv
00007ffa1962cbb6 (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00007ffa19636326 (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00007ffa1961b504 (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00007ffa1961b514 (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffa1961b60a (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00007ffa1961bac4 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffa1961b8d0 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00007ffa1961b5ee (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00007ffa1961b99c (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00007ffa1961bab4 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00007ffa1961b524 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00007ffa1961b562 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00007ffa1961b9a8 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00007ffa19616904 (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00007ffa19616912 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00007ffa1961c5c8 (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00007ffa1961c5bc (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00007ffa1962bd06 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00007ffa1960f7b0 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00007ffa196100e4 (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00007ffa1960f77a (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00007ffa19610088 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00007ffa1961007c (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00007ffa1960f770 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00007ffa19610082 (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00007ffa196100d8 (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00007ffa1962c592 (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00007ffa1962b864 (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00007ffa1962d5b2 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00007ffa196336a6 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00007ffa1963555a (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00007ffa19633e54 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00007ffa19637b8e (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00007ffa1961c36a (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00007ffa1961c312 (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00007ffa1961c326 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00007ffa1961c940 (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00007ffa1961c900 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00007ffa1961c718 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00007ffa1961c746 (__TEXT,__text) external __ZNK6OSData9getLengthEv
00007ffa1961c60c (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00007ffa1961c6c2 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00007ffa1961c690 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00007ffa1961c6d6 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00007ffa1961bcb6 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00007ffa1961bfe6 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00007ffa1961c002 (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffa1961c08a (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00007ffa1961bc9a (__TEXT,__text) external __ZNK7OSArray8getCountEv
00007ffa1961bfda (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00007ffa1961bb64 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00007ffa1961bba2 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
00007ffa19636906 (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
00007ffa1961ca88 (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
00007ffa1961ca94 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
00007ffa1961cab8 (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
00007ffa1961cadc (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
00007ffa1961cafa (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
00007ffa1961cb1c (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
00007ffa1961cb84 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
00007ffa19610092 (__TEXT,__text) external __ZNK8OSObject6retainEv
00007ffa19638024 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
00007ffa19638047 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
00007ffa196100b8 (__TEXT,__text) external __ZNK8OSObject7releaseEv
00007ffa1963806a (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
00007ffa1961938c (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
00007ffa196193c4 (__TEXT,__text) external __ZNK8OSString9getLengthEv
00007ffa1961c9f8 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
00007ffa1961c758 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
00007ffa1961ca3e (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
00007ffa1961ca4a (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
00007ffa19615f46 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
00007ffa1961cc4e (__TEXT,__text) external __ZNK9OSBoolean6retainEv
00007ffa1961cc54 (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
00007ffa430b9b00 (__DATA,__const_weak) external __ZTI10IOReporter
00007ffa430b9c90 (__DATA,__const_weak) external __ZTI11IOEventLink
00007ffa41e68680 (__DATA_CONST,__const) external __ZTI11IOMemoryMap
00007ffa430ba048 (__DATA,__const_weak) external __ZTI11IOWorkGroup
00007ffa41e66618 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSContainer
00007ffa41e65fc8 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSInterface
00007ffa41e67700 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
00007ffa430b9c40 (__DATA,__const_weak) external __ZTI12IODMACommand
00007ffa430b9fa8 (__DATA,__const_weak) external __ZTI12IOUserClient
00007ffa41e69608 (__DATA_CONST,__const) external __ZTI12IOUserServer
00007ffa41e66770 (__DATA_CONST,__const) external __ZTI12OSCollection
00007ffa41e66898 (__DATA_CONST,__const) external __ZTI12OSDictionary
00007ffa430b9920 (__DATA,__const_weak) external __ZTI12OSMappedFile
00007ffa430b9ab0 (__DATA,__const_weak) external __ZTI12OSOrderedSet
00007ffa430b99c0 (__DATA,__const_weak) external __ZTI13IOCommandPool
00007ffa430b9bf0 (__DATA,__const_weak) external __ZTI14IOReportLegend
00007ffa430b9a48 (__DATA,__const_weak) weak external __ZTI14OSSetInterface
00007ffa41e6a6f0 (__DATA_CONST,__const) external __ZTI14OSSetMetaClass
00007ffa41e67e60 (__DATA_CONST,__const) external __ZTI15IODispatchQueue
00007ffa430b9e00 (__DATA,__const_weak) weak external __ZTI15IOStateReporter
00007ffa41e66c10 (__DATA_CONST,__const) non-external (was a private external) __ZTI15OSDataInterface
00007ffa41e69f70 (__DATA_CONST,__const) external __ZTI15OSDataMetaClass
00007ffa41e65f50 (__DATA_CONST,__const) external __ZTI15OSMetaClassBase
00007ffa41e66e50 (__DATA_CONST,__const) external __ZTI15OSSerialization
