00000001db862fe4 (__TEXT,__text) non-external _DiToMD5
00000001db84d578 (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00000001db84d520 (__TEXT,__text) external __ZN9IOCommand4freeEv
00000001db84d4a4 (__TEXT,__text) external __ZN9IOCommand4initEv
00000001db84d570 (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00000001db86c310 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00000001db86b9ac (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00000001db84c19c (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00000001db86d5a8 (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00000001db84c6cc (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00000001db86a7ac (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00000001db86c41c (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00000001db86a6d8 (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00000001db86c63c (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00000001db86aff4 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00000001db86aa58 (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00000001db86bcd0 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00000001db86bab8 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00000001db86b894 (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db86b598 (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db86d018 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00000001db86b6dc (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00000001db86d878 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00000001db86d640 (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00000001db86c78c (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00000001db86e57c (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00000001db86b348 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00000001db84c464 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00000001db86bbc4 (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00000001db86e49c (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00000001db84c8f0 (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00000001db86cb28 (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00000001db86de54 (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00000001db86e080 (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00000001db86dc7c (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00000001db86ac3c (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00000001db86cdf4 (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00000001db86b0dc (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00000001db86c208 (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00000001db84c4c0 (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00000001db86e118 (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00000001db86e2b0 (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00000001db84c7c8 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00000001db876148 (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00000001db86d7a0 (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00000001db86dda4 (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00000001db86a9c0 (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001db86dba0 (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00000001db86d9d8 (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00000001db86e8a4 (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00000001db86da8c (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00000001db84c548 (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00000001db86cc74 (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00000001db86ace4 (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00000001db86e3b8 (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00000001db86c0b0 (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00000001db86c540 (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db86d948 (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00000001db84c8e8 (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00000001db86dd0c (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00000001db84c124 (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00000001db86e630 (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00000001db86d360 (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db86ab60 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00000001db86a880 (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00000001db86dfe8 (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00000001db86d450 (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db86b454 (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00000001db86d270 (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00000001db84a144 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00000001db84a1a0 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00000001db86e6ec (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00000001db86deec (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00000001db86e1b0 (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00000001db84c02c (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00000001db86eb24 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00000001db849ed4 (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00000001db849fdc (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00000001db875e88 (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00000001db86ec20 (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00000001db86a918 (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00000001db84a11c (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00000001db84a130 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00000001db86d130 (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00000001db86cf0c (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00000001db86ea28 (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00000001db84a05c (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00000001db84a0b8 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00000001db86e980 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00000001db86e814 (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00000001db86af10 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00000001db8482c4 (__TEXT,__text) external __ZN9IOService4freeEv
00000001db84bf04 (__TEXT,__text) external __ZN9IOService4initEv
00000001db8760f0 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00000001db87611c (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00000001db86ae2c (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00000001db86be1c (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00000001db86b200 (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00000001db86c9e4 (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00000001db86a32c (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00000001db86c8c4 (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00000001db84c230 (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00000001db86bfa8 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00000001db86a360 (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00000001db855384 (__TEXT,__text) external __ZN9OSBoolean4freeEv
00000001db867974 (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00000001db872980 (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00000001db853414 (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00000001db853424 (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00000001db85355c (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00000001db853bfc (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00000001db853914 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00000001db853544 (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00000001db853a74 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00000001db853bf0 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00000001db853434 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00000001db853494 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00000001db853a7c (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00000001db84d48c (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00000001db84d498 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00000001db854bbc (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00000001db854bb4 (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00000001db8669c8 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00000001db844c54 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00000001db8456a4 (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00000001db844c20 (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00000001db8455e4 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00000001db8455dc (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00000001db844c18 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00000001db8455e0 (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00000001db845698 (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00000001db86727c (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00000001db866474 (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00000001db8693c8 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00000001db86f6b8 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00000001db8719fc (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00000001db86ffbc (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00000001db874728 (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00000001db854858 (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00000001db8547b4 (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00000001db8547d8 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00000001db854fac (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00000001db854f68 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00000001db854d80 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00000001db854da0 (__TEXT,__text) external __ZNK6OSData9getLengthEv
00000001db854c44 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00000001db854d1c (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00000001db854cf8 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00000001db854d2c (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00000001db853ed8 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00000001db854360 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00000001db85437c (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00000001db85442c (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00000001db853ec0 (__TEXT,__text) external __ZNK7OSArray8getCountEv
00000001db854358 (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00000001db853ce8 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00000001db853d48 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
00000001db87306c (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
00000001db85514c (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
00000001db855154 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
00000001db855180 (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
00000001db8551ac (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
00000001db8551d4 (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
00000001db8551fc (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
00000001db855284 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
00000001db8455f0 (__TEXT,__text) external __ZNK8OSObject6retainEv
00000001db874c38 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
00000001db874c64 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
00000001db845628 (__TEXT,__text) external __ZNK8OSObject7releaseEv
00000001db874c90 (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
00000001db850cec (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
00000001db850d28 (__TEXT,__text) external __ZNK8OSString9getLengthEv
00000001db855060 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
00000001db854db0 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
00000001db8550cc (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
00000001db8550d8 (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
00000001db84c980 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
00000001db85537c (__TEXT,__text) external __ZNK9OSBoolean6retainEv
00000001db855380 (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
00000001f2252d50 (__AUTH_CONST,__const) external __ZTI10IOReporter
00000001f2253c80 (__AUTH_CONST,__const) external __ZTI11IOEventLink
00000001f2254370 (__AUTH_CONST,__const) external __ZTI11IOMemoryMap
00000001f2255810 (__AUTH_CONST,__const) external __ZTI11IOWorkGroup
00000001f2252178 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSContainer
00000001f2251a38 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSInterface
00000001f2253170 (__AUTH_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
00000001f22535c0 (__AUTH_CONST,__const) external __ZTI12IODMACommand
00000001f22553a0 (__AUTH_CONST,__const) external __ZTI12IOUserClient
00000001f2255660 (__AUTH_CONST,__const) external __ZTI12IOUserServer
00000001f22522d0 (__AUTH_CONST,__const) external __ZTI12OSCollection
00000001f22523f8 (__AUTH_CONST,__const) external __ZTI12OSDictionary
00000001f2251b18 (__AUTH_CONST,__const) external __ZTI12OSMappedFile
00000001f2252770 (__AUTH_CONST,__const) external __ZTI12OSOrderedSet
00000001f2251ce8 (__AUTH_CONST,__const) external __ZTI13IOCommandPool
00000001f2253028 (__AUTH_CONST,__const) external __ZTI14IOReportLegend
00000001f2252630 (__AUTH_CONST,__const) non-external (was a private external) __ZTI14OSSetInterface
00000001f2256798 (__AUTH_CONST,__const) external __ZTI14OSSetMetaClass
00000001f2253920 (__AUTH_CONST,__const) external __ZTI15IODispatchQueue
00000001f22549b8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI15IOStateReporter
00000001f2252810 (__AUTH_CONST,__const) non-external (was a private external) __ZTI15OSDataInterface
00000001f2256018 (__AUTH_CONST,__const) external __ZTI15OSDataMetaClass
00000001f22519c0 (__AUTH_CONST,__const) external __ZTI15OSMetaClassBase
00000001f2252a50 (__AUTH_CONST,__const) external __ZTI15OSSerialization
00000001f2253ad0 (__AUTH_CONST,__const) external __ZTI16IODispatchSource
00000001f2252cc0 (__AUTH_CONST,__const) external __ZTI16IOReporter_IVars
00000001f2254900 (__AUTH_CONST,__const) non-external (was a private external) __ZTI16IOSimpleReporter
00000001f2252508 (__AUTH_CONST,__const) non-external (was a private external) __ZTI16OSArrayInterface
00000001f2255ad8 (__AUTH_CONST,__const) external __ZTI16OSArrayMetaClass
00000001f2251d88 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17IOThreadInterface
00000001f2256ce8 (__AUTH_CONST,__const) external __ZTI17IOThreadMetaClass
00000001f22559a8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSActionInterface
00000001f2255928 (__AUTH_CONST,__const) external __ZTI17OSActionMetaClass
00000001f2251a48 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSBundleInterface
00000001f2255cc8 (__AUTH_CONST,__const) external __ZTI17OSBundleMetaClass
00000001f22528c8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSNumberInterface
00000001f2256300 (__AUTH_CONST,__const) external __ZTI17OSNumberMetaClass
00000001f2256478 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSObjectInterface
00000001f22563f8 (__AUTH_CONST,__const) external __ZTI17OSObjectMetaClass
00000001f22521b0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI17OSStringInterface
00000001f2256890 (__AUTH_CONST,__const) external __ZTI17OSStringMetaClass
00000001f2251bb8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18IOCommandInterface
00000001f2253338 (__AUTH_CONST,__const) external __ZTI18IOCommandMetaClass
00000001f22541c0 (__AUTH_CONST,__const) external __ZTI18IOMemoryDescriptor
00000001f2254c08 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18IOServiceInterface
00000001f2254b88 (__AUTH_CONST,__const) external __ZTI18IOServiceMetaClass
00000001f2252980 (__AUTH_CONST,__const) non-external (was a private external) __ZTI18OSBooleanInterface
00000001f2255bd0 (__AUTH_CONST,__const) external __ZTI18OSBooleanMetaClass
00000001f2254a70 (__AUTH_CONST,__const) non-external (was a private external) __ZTI19IOHistogramReporter
00000001f2252d38 (__AUTH_CONST,__const) non-external (was a private external) __ZTI19IOReporterInterface
00000001f2254708 (__AUTH_CONST,__const) external __ZTI19IOReporterMetaClass
00000001f2253c68 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOEventLinkInterface
00000001f2253be8 (__AUTH_CONST,__const) external __ZTI20IOEventLinkMetaClass
00000001f2253e60 (__AUTH_CONST,__const) external __ZTI20IOExtensiblePaniclog
00000001f2254358 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOMemoryMapInterface
00000001f22542d8 (__AUTH_CONST,__const) external __ZTI20IOMemoryMapMetaClass
00000001f22557f8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20IOWorkGroupInterface
00000001f2255778 (__AUTH_CONST,__const) external __ZTI20IOWorkGroupMetaClass
00000001f2252160 (__AUTH_CONST,__const) non-external (was a private external) __ZTI20OSContainerInterface
00000001f2255eb8 (__AUTH_CONST,__const) external __ZTI20OSContainerMetaClass
00000001f22535a8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IODMACommandInterface
00000001f2253528 (__AUTH_CONST,__const) external __ZTI21IODMACommandMetaClass
00000001f2252f90 (__AUTH_CONST,__const) external __ZTI21IOStateReporter_IVars
00000001f2255130 (__AUTH_CONST,__const) external __ZTI21IOTimerDispatchSource
00000001f2255388 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IOUserClientInterface
00000001f22552e8 (__AUTH_CONST,__const) external __ZTI21IOUserClientMetaClass
00000001f2255648 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21IOUserServerInterface
00000001f22555c8 (__AUTH_CONST,__const) external __ZTI21IOUserServerMetaClass
00000001f22522b8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21OSCollectionInterface
00000001f2255dc0 (__AUTH_CONST,__const) external __ZTI21OSCollectionMetaClass
00000001f22523e0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21OSDictionaryInterface
00000001f2256110 (__AUTH_CONST,__const) external __ZTI21OSDictionaryMetaClass
00000001f2251b00 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21OSMappedFileInterface
00000001f2256208 (__AUTH_CONST,__const) external __ZTI21OSMappedFileMetaClass
00000001f2252758 (__AUTH_CONST,__const) non-external (was a private external) __ZTI21OSOrderedSetInterface
00000001f22565a8 (__AUTH_CONST,__const) external __ZTI21OSOrderedSetMetaClass
00000001f2256ac0 (__AUTH_CONST,__const) external __ZTI21_IOBlockStorageDevice
00000001f2251cd0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI22IOCommandPoolInterface
00000001f2253430 (__AUTH_CONST,__const) external __ZTI22IOCommandPoolMetaClass
00000001f2252e30 (__AUTH_CONST,__const) non-external (was a private external) __ZTI22IOSimpleReporter_IVars
00000001f2253010 (__AUTH_CONST,__const) non-external (was a private external) __ZTI23IOReportLegendInterface
00000001f2254868 (__AUTH_CONST,__const) external __ZTI23IOReportLegendMetaClass
00000001f2253220 (__AUTH_CONST,__const) external __ZTI24IOBufferMemoryDescriptor
00000001f2253908 (__AUTH_CONST,__const) non-external (was a private external) __ZTI24IODispatchQueueInterface
00000001f2253888 (__AUTH_CONST,__const) external __ZTI24IODispatchQueueMetaClass
00000001f22549a0 (__AUTH_CONST,__const) non-external (was a private external) __ZTI24IOStateReporterInterface
00000001f22547b8 (__AUTH_CONST,__const) external __ZTI24IOStateReporterMetaClass
00000001f2252a38 (__AUTH_CONST,__const) non-external (was a private external) __ZTI24OSSerializationInterface
00000001f22566a0 (__AUTH_CONST,__const) external __ZTI24OSSerializationMetaClass
00000001f2253770 (__AUTH_CONST,__const) external __ZTI25IODataQueueDispatchSource
00000001f2253ab8 (__AUTH_CONST,__const) non-external (was a private external) __ZTI25IODispatchSourceInterface
00000001f2253a38 (__AUTH_CONST,__const) external __ZTI25IODispatchSourceMetaClass
00000001f2252ed0 (__AUTH_CONST,__const) external __ZTI25IOHistogramReporter_IVars
00000001f2254010 (__AUTH_CONST,__const) external __ZTI25IOInterruptDispatchSource
