00007ffa1aa3b6eb (__TEXT,__text) non-external +[NFPromise new]
00007ffa1aa3ab6a (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.114
00007ffa1aa3abab (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke.120
00007ffa1aa3aa3b (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_2
00007ffa1aa3aaae (__TEXT,__text) non-external ___48-[NFStateMachine fireEventWithName:withContext:]_block_invoke_3
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffa1aa404bb (__TEXT,__text) non-external ___NFDeviceHasExtendedColorDisplay_block_invoke
00007ffa1aa4037c (__TEXT,__text) non-external ___NFDevicePlatform_block_invoke
00007ffa1aa37e8e (__TEXT,__text) non-external ___NFInternalBuild_block_invoke
00007ffa1aa37ecc (__TEXT,__text) non-external ___NFStoreDemoMode_block_invoke
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ffa423defe0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e17_v16?0"NSError"8l
00007ffa423deee8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00007ffa423df180 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00007ffa423df3d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00007ffa423df510 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00007ffa423df340 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00007ffa423df0c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00007ffa423df250 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00007ffa423df3f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00007ffa423df1c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00007ffa423df2b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00007ffa423def48 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa423df370 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00007ffa423df280 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00007ffa423df450 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00007ffa423df1f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00007ffa423df2e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00007ffa423df020 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00007ffa423df3a0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00007ffa423df220 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00007ffa423df090 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00007ffa423df598 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00007ffa423df678 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e17_v16?0"NSError"8l
00007ffa423df6a8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e5_v8?0l
00007ffa423df648 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e8_16?08l
00007ffa423df5e8 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e5_v8?0l
00007ffa423df540 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00007ffa423df310 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa423df480 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00007ffa423df618 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e14_v16?0?<v?>8l
00007ffa423df420 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00007ffa423df4e0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00007ffa423df150 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa423def80 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00007ffa423defb0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00007ffa423df4b0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa423df120 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48bs56bs_e8_v16?08l
00007ffa423df0f0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00007ffa423def08 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa423df050 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa423df578 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa423df6d8 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa423df000 (__DATA_CONST,__const) non-external ___block_literal_global.109
00007ffa423df6f8 (__DATA_CONST,__const) non-external ___block_literal_global.11
00007ffa423df5c8 (__DATA_CONST,__const) non-external ___block_literal_global.18
00007ffa423def28 (__DATA_CONST,__const) non-external ___block_literal_global.2
00007ffa423df070 (__DATA_CONST,__const) non-external ___block_literal_global.3
00007ffa423df1a0 (__DATA_CONST,__const) non-external ___block_literal_global.51
00007ffa1aa40300 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa1aa40320 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffa1aa3c4d6 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00007ffa1aa3ee5d (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40b
00007ffa1aa3ed08 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00007ffa1aa383db (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffa1aa3c481 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00007ffa1aa3d5cd (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00007ffa1aa3bced (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b56b
00007ffa1aa3ed67 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00007ffa1aa3cbb9 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffa1aa3bd41 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00007ffa1aa3bc64 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00007ffa1aa3aacf (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffa1aa3dedf (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00007ffa1aa383ea (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffa1aa3ed40 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00007ffa1aa3c4b1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffa1aa3aafb (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffa1aa3bcba (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00007ffa1aa3def1 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa1aa3b2bd (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00007ffa1aa3b24a (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00007ffa1aa40143 (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00007ffa441a6908 (__DATA,__data) external _kNFPromiseErrorDomain
00007ffa441a68f8 (__DATA,__data) external _kNFPromiseSealingErrorCode
00007ffa441a6900 (__DATA,__data) external _kNFPromiseTimeoutErrorCode
00007ffa423df570 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _nw_path_get_status (from Network)
                 (undefined) external _nw_path_is_constrained (from Network)
                 (undefined) external _nw_path_is_equal (from Network)
                 (undefined) external _nw_path_is_expensive (from Network)
                 (undefined) external _nw_path_monitor_cancel (from Network)
                 (undefined) external _nw_path_monitor_create (from Network)
                 (undefined) external _nw_path_monitor_set_queue (from Network)
                 (undefined) external _nw_path_monitor_set_update_handler (from Network)
                 (undefined) external _nw_path_monitor_start (from Network)
                 (undefined) external _nw_path_uses_interface_type (from Network)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
00007ffa43019168 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00007ffa43019160 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ffa1aa3b228 (__TEXT,__text) external _zalgo
00007ffa1aa40ce1 (__TEXT,__text) non-external _zalgo.cold.1
00007ffa43019158 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00007ffa43019150 (__DATA_DIRTY,__bss) non-external _zalgo.token
00007ffa1aa3b29b (__TEXT,__text) external _zalgoIfMain
00007ffa1aa40cf9 (__TEXT,__text) non-external _zalgoIfMain.cold.1
00007ffa43019148 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00007ffa43019140 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
