00007ffb0dba0de9 (__TEXT,__text) non-external +[ODCAction action]
00007ffb0dbacd77 (__TEXT,__text) external _schema_deconstruct_result
00007ffb0dbacbf2 (__TEXT,__text) external _schema_get_callback
00007ffb0dbacb67 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
