00000001d6536248 (__DATA,__data) non-external _C
0000000180240cac (__TEXT,__text) external _cfsetispeed
0000000180240ca0 (__TEXT,__text) external _cfsetospeed
0000000180240cb8 (__TEXT,__text) external _cfsetspeed
000000018023d064 (__TEXT,__text) external _cgetcap
000000018023d848 (__TEXT,__text) external _cgetclose
000000018023d0f0 (__TEXT,__text) external _cgetent
000000018023d7d8 (__TEXT,__text) external _cgetfirst
000000018023d760 (__TEXT,__text) external _cgetmatch
000000018023d894 (__TEXT,__text) external _cgetnext
000000018023dfd8 (__TEXT,__text) external _cgetnum
000000018023cfd4 (__TEXT,__text) external _cgetset
000000018023dc0c (__TEXT,__text) external _cgetstr
000000018023dedc (__TEXT,__text) external _cgetustr
000000018024288c (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
0000000180219eb4 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
0000000180205eb4 (__TEXT,__text) non-external _chmodx1
0000000180205e78 (__TEXT,__text) external _chmodx_np
00000001802060d8 (__TEXT,__text) non-external _chmodx_syscall
000000018024a000 (__TEXT,__text) external _clearerr
000000018024a044 (__TEXT,__text) external _clearerr_unlocked
00000001802159a0 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180224020 (__TEXT,__text) external _clock_getres
00000001801fbf8c (__TEXT,__text) external _clock_gettime
00000001801ed9c4 (__TEXT,__text) external _clock_gettime_nsec_np
00000001d928976c (__DATA_DIRTY,__common) external _clock_port
00000001d9289768 (__DATA_DIRTY,__common) external _clock_sem
00000001802240c4 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802050e0 (__TEXT,__text) non-external _close_directory
00000001801f2f3c (__TEXT,__text) external _closedir
00000001d19beca0 (__DATA_CONST,__const) non-external _cnames
00000001802358c4 (__TEXT,__text) non-external _collect_data
0000000180235a7c (__TEXT,__text) non-external _collect_key
0000000180268fb4 (__TEXT,__const) non-external _command_substitution_str
0000000180219cbc (__TEXT,__text) external _compat_mode
00000001801f24b8 (__TEXT,__text) external _confstr
00000001d65373a8 (__DATA,__bss) non-external _constdatablock
000000018022df70 (__TEXT,__text) external _copy_printf_domain
000000018021d014 (__TEXT,__text) external _creat
000000018022fe4c (__TEXT,__text) external _creat$NOCANCEL
00000001802246a4 (__TEXT,__text) external _crypt
00000001d6537390 (__DATA,__bss) non-external _cryptresult
000000018023b464 (__TEXT,__text) external _ctermid
00000001d6536288 (__DATA,__data) non-external _ctermid.def
000000018023b48c (__TEXT,__text) external _ctermid_r
000000018021ab0c (__TEXT,__text) external _ctime
000000018020f290 (__TEXT,__text) external _ctime_r
00000001d65363cc (__DATA,__data) non-external _current_categories
0000000180210b98 (__TEXT,__text) non-external _currentlocale
00000001d6537ee0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001d6537548 (__DATA,__bss) non-external _curshell
000000018023b4ac (__TEXT,__text) external _daemon
00000001d6536570 (__DATA,__data) non-external _dash_prefix
00000001d9289788 (__DATA_DIRTY,__common) external _daylight
0000000180237cac (__TEXT,__text) external _dbm_clearerr
0000000180237af4 (__TEXT,__text) external _dbm_close
0000000180237c28 (__TEXT,__text) external _dbm_delete
0000000180237cbc (__TEXT,__text) external _dbm_dirfno
0000000180237ca0 (__TEXT,__text) external _dbm_error
0000000180237afc (__TEXT,__text) external _dbm_fetch
0000000180237b44 (__TEXT,__text) external _dbm_firstkey
0000000180237bb0 (__TEXT,__text) external _dbm_nextkey
0000000180237a08 (__TEXT,__text) external _dbm_open
0000000180237c60 (__TEXT,__text) external _dbm_store
0000000180233d88 (__TEXT,__text) external _dbopen
00000001d6537c08 (__DATA,__bss) non-external _dbp
00000001d6537508 (__DATA,__bss) non-external _decpreg
00000001802690c4 (__TEXT,__const) non-external _degrees
0000000180221520 (__TEXT,__text) external _devname
00000001d6537468 (__DATA,__bss) non-external _devname.buf
0000000180221598 (__TEXT,__text) external _devname_r
000000018021be74 (__TEXT,__text) external _difftime
0000000180229c40 (__TEXT,__text) external _digittoint
0000000180229f38 (__TEXT,__text) external _digittoint_l
000000018021c608 (__TEXT,__text) external _dirfd
000000018021e1e8 (__TEXT,__text) external _dirname
00000001d6537ba0 (__DATA,__bss) non-external _dirname.dname
0000000180215504 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
0000000180219c8c (__TEXT,__text) external _div
00000001d6536148 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
0000000180241c70 (__TEXT,__text) non-external _do_hvis
0000000180241da8 (__TEXT,__text) non-external _do_mvis
0000000180213f98 (__TEXT,__text) non-external _do_svis
000000018021d170 (__TEXT,__text) external _dprintf
000000018024a054 (__TEXT,__text) external _dprintf_l
000000018021887c (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
0000000180202c34 (__TEXT,__text) external _duplocale
000000018022dbb4 (__TEXT,__text) external _dxprintf
000000018022e314 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018025b31c (__TEXT,__text) external _ecvt
00000001d6537cf0 (__DATA,__bss) non-external _empty
00000001d6537d00 (__DATA,__bss) non-external _empty
00000001d6537d14 (__DATA,__bss) non-external _empty
0000000180225334 (__TEXT,__text) external _encrypt
0000000180228a10 (__TEXT,__text) non-external _end_asl
0000000180228a50 (__TEXT,__text) non-external _end_file
00000001d65365b0 (__DATA,__data) non-external _end_ptr
0000000180227054 (__TEXT,__text) external _endttyent
000000018022739c (__TEXT,__text) external _endusershell
000000018025fef4 (__TEXT,__text) external _endutxent
000000018022886c (__TEXT,__text) external _endutxent_wtmp
0000000180257e68 (__TEXT,__text) external _environ_lock_np
00000001d9287ed8 (__DATA_DIRTY,__bss) non-external _environ_pointer
0000000180257e78 (__TEXT,__text) external _environ_unlock_np
00000001801f9664 (__TEXT,__text) non-external _eofread
000000018025458c (__TEXT,__text) non-external _eofread
000000018023b640 (__TEXT,__text) external _erand48
0000000180265754 (__TEXT,__text) external _err
000000018023e564 (__TEXT,__text) non-external _err_aborted
000000018023b824 (__TEXT,__text) external _err_set_exit
000000018023b87c (__TEXT,__text) external _err_set_exit_b
000000018023b804 (__TEXT,__text) external _err_set_file
00000001802658ac (__TEXT,__text) external _errc
00000001802658cc (__TEXT,__text) external _errx
0000000180268664 (__TEXT,__const) non-external _escape
000000018023b924 (__TEXT,__text) external _execl
000000018023ba18 (__TEXT,__text) external _execle
000000018023bb14 (__TEXT,__text) external _execlp
000000018023bc68 (__TEXT,__text) external _execv
000000018023bca4 (__TEXT,__text) external _execvP
000000018023bcf0 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018023bc04 (__TEXT,__text) external _execvp
0000000180217b48 (__TEXT,__text) external _exit
000000018024a714 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802060f0 (__TEXT,__text) external _fchmodx_np
000000018020612c (__TEXT,__text) non-external _fchmodx_syscall
000000018020e86c (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018025b4e0 (__TEXT,__text) external _fcvt
000000018021970c (__TEXT,__text) external _fdopen
00000001802116c0 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
000000018023e958 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
0000000180222d2c (__TEXT,__text) external _feof
000000018024a080 (__TEXT,__text) external _feof_unlocked
000000018021bf80 (__TEXT,__text) external _ferror
000000018024a08c (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
0000000180237984 (__TEXT,__text) non-external _fetch_bitmap
0000000180227a40 (__TEXT,__text) external _fflagstostr
00000001801fd3e8 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018021c638 (__TEXT,__text) external _fgetc
0000000180220940 (__TEXT,__text) external _fgetln
000000018024a0d4 (__TEXT,__text) external _fgetpos
000000018022f02c (__TEXT,__text) external _fgetrune
00000001d6537b7c (__DATA,__bss) non-external _fgetrune.warn_depreciated
000000018020e738 (__TEXT,__text) external _fgets
000000018024a104 (__TEXT,__text) external _fgetwc
000000018024a290 (__TEXT,__text) external _fgetwc_l
000000018024a3f4 (__TEXT,__text) external _fgetwln
000000018024a318 (__TEXT,__text) external _fgetwln_l
000000018024a5f4 (__TEXT,__text) external _fgetws
000000018024a418 (__TEXT,__text) external _fgetws_l
00000001d9287c80 (__DATA_DIRTY,__data) non-external _filelist_lock
0000000180203cc4 (__TEXT,__text) external _fileno
000000018024a618 (__TEXT,__text) external _fileno_unlocked
00000001801fb3c8 (__TEXT,__text) non-external _filesec_discard_aclbuf
0000000180205de8 (__TEXT,__text) external _filesec_dup
00000001801fb76c (__TEXT,__text) external _filesec_free
00000001801fb410 (__TEXT,__text) external _filesec_get_property
00000001801fb178 (__TEXT,__text) external _filesec_init
0000000180225bdc (__TEXT,__text) external _filesec_query_property
00000001801fb19c (__TEXT,__text) external _filesec_set_property
0000000180223128 (__TEXT,__text) external _filesec_unset_property
0000000180203ef4 (__TEXT,__text) non-external _find_temp_path
0000000180217814 (__TEXT,__text) non-external _first_wday_of
00000001801fd448 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180234c24 (__TEXT,__text) non-external _flush_meta
000000018025f5d4 (__TEXT,__text) non-external _flush_queues
0000000180256f48 (__TEXT,__text) external _fmemopen
000000018025728c (__TEXT,__text) non-external _fmemopen_close
000000018025711c (__TEXT,__text) non-external _fmemopen_read
0000000180257204 (__TEXT,__text) non-external _fmemopen_seek
0000000180257178 (__TEXT,__text) non-external _fmemopen_write
00000001d19be888 (__DATA_CONST,__const) non-external _fmt_padding
000000018021917c (__TEXT,__text) external _fmtcheck
000000018023c0a4 (__TEXT,__text) external _fmtmsg
000000018021a36c (__TEXT,__text) external _fnmatch
000000018021a418 (__TEXT,__text) non-external _fnmatch1
00000001801fd984 (__TEXT,__text) external _fopen
0000000180264a04 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180213548 (__TEXT,__text) external _fork
0000000180213210 (__TEXT,__text) external _forkpty
0000000180220634 (__TEXT,__text) external _fparseln
00000001802680cc (__TEXT,__const) non-external _fparseln.dstr
00000001801ff144 (__TEXT,__text) external _fprintf
000000018024a7a0 (__TEXT,__text) external _fprintf_l
00000001d65365a0 (__DATA,__data) non-external _fptr
000000018024a7cc (__TEXT,__text) external _fpurge
0000000180221ae8 (__TEXT,__text) external _fputc
000000018022f218 (__TEXT,__text) external _fputrune
00000001d6537b84 (__DATA,__bss) non-external _fputrune.warn_depreciated
000000018021c3e8 (__TEXT,__text) external _fputs
000000018024a958 (__TEXT,__text) external _fputwc
000000018024a9dc (__TEXT,__text) external _fputwc_l
000000018024abcc (__TEXT,__text) external _fputws
000000018024aa74 (__TEXT,__text) external _fputws_l
0000000180203bf8 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
000000018022dd34 (__TEXT,__text) external _free_printf_comp
000000018022e020 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
000000018020321c (__TEXT,__text) external _freelocale
000000018024add0 (__TEXT,__text) external _freopen
000000018024b0e8 (__TEXT,__text) external _fscanf
000000018024b160 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802035ac (__TEXT,__text) external _fseek
0000000180203638 (__TEXT,__text) external _fseeko
000000018024b1f4 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180224370 (__TEXT,__text) external _fstatvfs
000000018022eea8 (__TEXT,__text) external _fstatx_np
00000001802060e8 (__TEXT,__text) non-external _fstatx_syscall
00000001d65361a8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
000000018022fb6c (__TEXT,__text) external _fsync_volume_np
0000000180203c58 (__TEXT,__text) external _ftell
0000000180203a68 (__TEXT,__text) external _ftello
0000000180254be4 (__TEXT,__text) external _ftime
000000018023cdb0 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180249f8c (__TEXT,__text) external _ftrylockfile
00000001801fee44 (__TEXT,__text) non-external _fts_alloc
0000000180204434 (__TEXT,__text) non-external _fts_build
0000000180264e3c (__TEXT,__text) non-external _fts_build.cold.1
0000000180264e54 (__TEXT,__text) non-external _fts_build.cold.2
0000000180264e6c (__TEXT,__text) non-external _fts_build.cold.3
0000000180264e84 (__TEXT,__text) non-external _fts_build.cold.4
0000000180264e9c (__TEXT,__text) non-external _fts_build.cold.5
0000000180264eb4 (__TEXT,__text) non-external _fts_build.cold.6
0000000180226540 (__TEXT,__text) external _fts_children
0000000180225dd8 (__TEXT,__text) external _fts_close
0000000180225c8c (__TEXT,__text) external _fts_open
0000000180225d24 (__TEXT,__text) external _fts_open_b
00000001801fedc0 (__TEXT,__text) non-external _fts_palloc
0000000180225ef8 (__TEXT,__text) external _fts_read
0000000180204f4c (__TEXT,__text) non-external _fts_safe_changedir
0000000180226508 (__TEXT,__text) external _fts_set
00000001802266ac (__TEXT,__text) non-external _fts_sort
00000001801feee0 (__TEXT,__text) non-external _fts_stat2
0000000180227490 (__TEXT,__text) external _ftw
000000018022f164 (__TEXT,__text) external _fungetrune
00000001d6537b80 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001801fd610 (__TEXT,__text) external _funlockfile
0000000180215904 (__TEXT,__text) external _funopen
000000018024b200 (__TEXT,__text) external _fwide
000000018024b26c (__TEXT,__text) external _fwprintf
000000018024b2bc (__TEXT,__text) external _fwprintf_l
00000001802108f4 (__TEXT,__text) external _fwrite
000000018024b2e8 (__TEXT,__text) external _fwscanf
000000018024b338 (__TEXT,__text) external _fwscanf_l
000000018022dbf0 (__TEXT,__text) external _fxprintf
000000018022e354 (__TEXT,__text) external _fxprintf_exec
00000001d6536100 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018025b4e8 (__TEXT,__text) external _gcvt
00000001802022d0 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001d9287f08 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001d9287800 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
0000000180228a98 (__TEXT,__text) non-external _get_asl
00000001d6537578 (__DATA,__bss) non-external _get_asl.utx
00000001d6537b3c (__DATA,__bss) non-external _get_clock.adjustment
00000001d6537b50 (__DATA,__bss) non-external _get_clock.clock_seq
00000001d6537b40 (__DATA,__bss) non-external _get_clock.last
0000000180228e08 (__TEXT,__text) non-external _get_file
00000001d65377f8 (__DATA,__bss) non-external _get_file.ux
00000001802191fc (__TEXT,__text) non-external _get_next_format
00000001802193a4 (__TEXT,__text) non-external _get_next_format_from_precision
000000018021933c (__TEXT,__text) non-external _get_next_format_from_width
000000018025ba3c (__TEXT,__text) non-external _getargs
000000018025c58c (__TEXT,__text) non-external _getargs
000000018025d060 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00000001802484d0 (__TEXT,__text) non-external _getbits
0000000180268c71 (__TEXT,__const) non-external _getbits.digits
000000018023ce18 (__TEXT,__text) external _getbsize
00000001d6537bd0 (__DATA,__bss) non-external _getbsize.header
0000000180222b58 (__TEXT,__text) external _getc
000000018024b364 (__TEXT,__text) external _getc_unlocked
000000018024b390 (__TEXT,__text) external _getchar
000000018024b3fc (__TEXT,__text) external _getchar_unlocked
0000000180218024 (__TEXT,__text) external _getcwd
000000018022d650 (__TEXT,__text) external _getdate
00000001d6537ae8 (__DATA,__bss) non-external _getdate.tm
00000001d653820c (__DATA,__common) external _getdate_err
000000018021c024 (__TEXT,__text) external _getdelim
000000018022548c (__TEXT,__text) external _getdiskbyname
00000001d6537470 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
000000018023d128 (__TEXT,__text) non-external _getent
00000001801ed8ac (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180264b10 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
000000018022fe58 (__TEXT,__text) external _gethostid
000000018020519c (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
0000000180249144 (__TEXT,__text) external _getipv4sourcefilter
0000000180265eec (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180265f18 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180265f44 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
0000000180227ec8 (__TEXT,__text) external _getlastlogx
0000000180227fcc (__TEXT,__text) external _getlastlogxbyname
000000018021c018 (__TEXT,__text) external _getline
00000001802267b4 (__TEXT,__text) external _getloadavg
000000018022207c (__TEXT,__text) external _getlogin
00000001802220cc (__TEXT,__text) non-external _getlogin_basic
000000018023e0a8 (__TEXT,__text) external _getlogin_r
000000018023e12c (__TEXT,__text) external _getmntinfo
00000001d6537c18 (__DATA,__bss) non-external _getmntinfo.vars
00000001801fa2a4 (__TEXT,__text) non-external _getmntinfo_internal
000000018023e164 (__TEXT,__text) external _getmntinfo_r_np
000000018023fd28 (__TEXT,__text) external _getmode
00000001801f5d14 (__TEXT,__text) non-external _getoffset
0000000180218f10 (__TEXT,__text) external _getopt
00000001d6536558 (__DATA,__data) non-external _getopt.place
0000000180218904 (__TEXT,__text) non-external _getopt_internal
00000001802188fc (__TEXT,__text) external _getopt_long
0000000180223ab4 (__TEXT,__text) external _getopt_long_only
00000001801fb86c (__TEXT,__text) external _getpagesize
00000001d9287f28 (__DATA_DIRTY,__bss) non-external _getpagesize.value
000000018023f9a8 (__TEXT,__text) external _getpass
00000001d6537cb0 (__DATA,__bss) non-external _getpass.buf
000000018023e1cc (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001801fa370 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001801f6020 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
000000018024b434 (__TEXT,__text) external _gets
0000000180268c7c (__TEXT,__const) non-external _gets.w
00000001d6537f54 (__DATA,__bss) non-external _gets.warned
00000001801f5d84 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180249314 (__TEXT,__text) external _getsourcefilter
0000000180257f9c (__TEXT,__text) external _getsubopt
00000001801f472c (__TEXT,__text) external _gettimeofday
00000001d6537b74 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001d6537b78 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001d6537b70 (__DATA,__bss) non-external _gettimeofday.validtz
00000001802269c0 (__TEXT,__text) external _getttyent
00000001d65374c0 (__DATA,__bss) non-external _getttyent.line
00000001d19bdf28 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001d6537480 (__DATA,__bss) non-external _getttyent.tty
0000000180226864 (__TEXT,__text) external _getttynam
0000000180225b08 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
0000000180227160 (__TEXT,__text) external _getusershell
0000000180260b6c (__TEXT,__text) external _getutmp
0000000180260ba0 (__TEXT,__text) external _getutmpx
0000000180260210 (__TEXT,__text) external _getutxent
0000000180228878 (__TEXT,__text) external _getutxent_wtmp
0000000180260404 (__TEXT,__text) external _getutxid
000000018026050c (__TEXT,__text) external _getutxline
0000000180268c66 (__TEXT,__const) non-external _getv4.digits
0000000180222d88 (__TEXT,__text) external _getvfsbyname
000000018024b51c (__TEXT,__text) external _getw
000000018024b55c (__TEXT,__text) external _getwc
000000018024b580 (__TEXT,__text) external _getwc_l
000000018024b584 (__TEXT,__text) external _getwchar
000000018024b5b4 (__TEXT,__text) external _getwchar_l
000000018022feb8 (__TEXT,__text) external _getwd
00000001801f5c6c (__TEXT,__text) non-external _getzname
000000018023e258 (__TEXT,__text) external _glob
000000018021ae04 (__TEXT,__text) non-external _glob0
000000018021b2fc (__TEXT,__text) non-external _glob2
000000018023e274 (__TEXT,__text) external _glob_b
000000018023e28c (__TEXT,__text) non-external _globexp1
000000018021bd6c (__TEXT,__text) non-external _globfinal
000000018021be10 (__TEXT,__text) external _globfree
0000000180268ec4 (__TEXT,__const) non-external _gmt
0000000180215b10 (__TEXT,__text) non-external _gmt_init
00000001d6536528 (__DATA,__data) non-external _gmt_notify
00000001d6536530 (__DATA,__data) non-external _gmt_once
000000018021c69c (__TEXT,__text) external _gmtime
00000001d65380e0 (__DATA,__bss) non-external _gmtime_key
00000001d65380dc (__DATA,__bss) non-external _gmtime_key_error
000000018021c76c (__TEXT,__text) non-external _gmtime_key_init
00000001d6536518 (__DATA,__data) non-external _gmtime_once
0000000180215a60 (__TEXT,__text) external _gmtime_r
0000000180215b98 (__TEXT,__text) non-external _gmtload
00000001d6538120 (__DATA,__bss) non-external _gmtptr
0000000180215a6c (__TEXT,__text) non-external _gmtsub
0000000180269005 (__TEXT,__const) non-external _gnuoptchar
00000001d6537bf8 (__DATA,__bss) non-external _gottoprec
0000000180213448 (__TEXT,__text) external _grantpt
000000018024e948 (__TEXT,__text) non-external _grouping_init
0000000180251d38 (__TEXT,__text) non-external _grouping_init
000000018024ea14 (__TEXT,__text) non-external _grouping_print
0000000180251fb0 (__TEXT,__text) non-external _grouping_print
000000018023f994 (__TEXT,__text) non-external _handler
00000001802362a8 (__TEXT,__text) non-external _hash4
0000000180234dd0 (__TEXT,__text) non-external _hash_access
00000001802345c4 (__TEXT,__text) non-external _hash_close
000000018025a8d0 (__TEXT,__text) external _hash_create
0000000180234608 (__TEXT,__text) non-external _hash_delete
000000018025a940 (__TEXT,__text) external _hash_destroy
000000018023468c (__TEXT,__text) non-external _hash_fd
00000001802346c4 (__TEXT,__text) non-external _hash_get
000000018025aba8 (__TEXT,__text) external _hash_purge
000000018023472c (__TEXT,__text) non-external _hash_put
000000018025aa1c (__TEXT,__text) external _hash_search
00000001802347b8 (__TEXT,__text) non-external _hash_seq
000000018025ac2c (__TEXT,__text) external _hash_stats
0000000180234a00 (__TEXT,__text) non-external _hash_sync
000000018025ab2c (__TEXT,__text) external _hash_traverse
0000000180258110 (__TEXT,__text) external _hcreate
00000001802344ac (__TEXT,__text) non-external _hdestroy
00000001802581d8 (__TEXT,__text) external _hdestroy
00000001801f9d3c (__TEXT,__text) external _heapsort
000000018021e248 (__TEXT,__text) external _heapsort_b
000000018026bc56 (__TEXT,__cstring) non-external _hexlist
00000001d6537528 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
000000018025825c (__TEXT,__text) external _hsearch
00000001d6538168 (__DATA,__bss) non-external _htable
00000001d6538170 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
0000000180268ff0 (__TEXT,__const) non-external _illoptchar
00000001802690a6 (__TEXT,__const) non-external _illoptstring
000000018025832c (__TEXT,__text) external _imaxabs
0000000180258338 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001801ff82c (__TEXT,__text) external _inet_addr
00000001801ff7d8 (__TEXT,__text) external _inet_aton
0000000180247800 (__TEXT,__text) external _inet_lnaof
000000018024782c (__TEXT,__text) external _inet_makeaddr
000000018024786c (__TEXT,__text) external _inet_net_ntop
0000000180247d8c (__TEXT,__text) external _inet_net_pton
0000000180265e10 (__TEXT,__text) non-external _inet_net_pton.cold.1
0000000180265e3c (__TEXT,__text) non-external _inet_net_pton.cold.2
0000000180265e68 (__TEXT,__text) non-external _inet_net_pton.cold.3
0000000180268c39 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
0000000180268c28 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
0000000180268c44 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
0000000180268c55 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
0000000180248564 (__TEXT,__text) external _inet_neta
0000000180248634 (__TEXT,__text) external _inet_netof
0000000180248660 (__TEXT,__text) external _inet_network
0000000180248b18 (__TEXT,__text) external _inet_nsap_addr
0000000180248c7c (__TEXT,__text) external _inet_nsap_ntoa
000000018021d214 (__TEXT,__text) external _inet_ntoa
00000001d6537f00 (__DATA,__bss) non-external _inet_ntoa.ret
00000001801ff8b8 (__TEXT,__text) external _inet_ntop
00000001801ff92c (__TEXT,__text) external _inet_ntop4
000000018020e98c (__TEXT,__text) external _inet_ntop6
00000001801fe4a0 (__TEXT,__text) external _inet_pton
00000001801fe84c (__TEXT,__text) non-external _inet_pton4
0000000180269151 (__TEXT,__const) non-external _inet_pton4.digits
000000018026915c (__TEXT,__const) non-external _inet_pton6.xdigits_l
000000018026916d (__TEXT,__const) non-external _inet_pton6.xdigits_u
0000000180225408 (__TEXT,__text) non-external _init_perm
00000001802271a4 (__TEXT,__text) non-external _initshells
0000000180259c8c (__TEXT,__text) external _initstate
0000000180205a88 (__TEXT,__text) non-external _insertionsort
000000018025b838 (__TEXT,__text) non-external _insertionsort
0000000180258364 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180229794 (__TEXT,__text) external _isalnum
0000000180229f90 (__TEXT,__text) external _isalnum_l
000000018022980c (__TEXT,__text) external _isalpha
000000018022a00c (__TEXT,__text) external _isalpha_l
0000000180229788 (__TEXT,__text) external _isascii
0000000180202dac (__TEXT,__text) external _isatty
000000018022987c (__TEXT,__text) external _isblank
000000018022a080 (__TEXT,__text) external _isblank_l
00000001802298ec (__TEXT,__text) external _iscntrl
000000018022a0f4 (__TEXT,__text) external _iscntrl_l
000000018021ce50 (__TEXT,__text) external _isdigit
000000018022a168 (__TEXT,__text) external _isdigit_l
000000018022995c (__TEXT,__text) external _isgraph
000000018022a1dc (__TEXT,__text) external _isgraph_l
0000000180229c94 (__TEXT,__text) external _ishexnumber
000000018022a250 (__TEXT,__text) external _ishexnumber_l
0000000180229d04 (__TEXT,__text) external _isideogram
000000018022a2c4 (__TEXT,__text) external _isideogram_l
00000001802299cc (__TEXT,__text) external _islower
000000018022a338 (__TEXT,__text) external _islower_l
0000000180229d74 (__TEXT,__text) external _isnumber
000000018022a3ac (__TEXT,__text) external _isnumber_l
0000000180229de4 (__TEXT,__text) external _isphonogram
000000018022a420 (__TEXT,__text) external _isphonogram_l
0000000180229a3c (__TEXT,__text) external _isprint
000000018022a494 (__TEXT,__text) external _isprint_l
