00007ff9012f8fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff942167ca0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00007ff942167c98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00007ff942167d88 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00007ff942167d98 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00007ff942167d90 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00007ff942167d60 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00007ff942167d50 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00007ff942167d58 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00007ff942167d68 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00007ff942167d78 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00007ff942167d70 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00007ff942167d80 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00007ff942167dd8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00007ff942167de0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00007ff942167de8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00007ff942167da0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00007ff942167dc0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00007ff942167db8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00007ff942167db0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00007ff942167da8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00007ff942167dc8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00007ff942167dd0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00007ff942168418 (__DATA,__objc_data) external _OBJC_METACLASS_$_Calculate
00007ff9421683f0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00007ff9421683a0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00007ff942168378 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00007ff942168468 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00007ff942168558 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00007ff942168300 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00007ff9421680a8 (__DATA,__objc_data) external _OBJC_METACLASS_$_Converter
00007ff9421680d0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00007ff9421680f8 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ff942168288 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Trie
00007ff942168260 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00007ff942168198 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00007ff942168120 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00007ff942168148 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00007ff9421681c0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00007ff942168210 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
00007ff9012e49ad (__TEXT,__text) non-external _UnitCountAngleUnitID
00007ff9012e510c (__TEXT,__text) non-external _UnitCountCompose
00007ff9012e4658 (__TEXT,__text) non-external _UnitCountConvert
00007ff9012e3cb6 (__TEXT,__text) non-external _UnitCountConvertID
00007ff9012e4ba6 (__TEXT,__text) non-external _UnitCountDecompose
00007ff9012e3bfd (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
00007ff9012e489e (__TEXT,__text) non-external _UnitCountMultiply
00007ff9012e4a4a (__TEXT,__text) non-external _UnitCountRequireDegrees
00007ff9012e4af8 (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff94028d548 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
00007ff901342f20 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
00007ff901342f70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
00007ff901342fa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
00007ff901342fd8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
00007ff901342ff0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
00007ff901343008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
00007ff901343038 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
00007ff901343050 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
00007ff9013430a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
00007ff9013430b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
00007ff901343120 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
00007ff901343138 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
00007ff901343158 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
00007ff901343208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
00007ff9013434a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
00007ff9013435e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
00007ff901343640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
00007ff901343798 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
00007ff901343860 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
00007ff901343a48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
00007ff901343bb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
00007ff901343bc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
00007ff901343ce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
00007ff901343d48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
00007ff901343f90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
00007ff901344050 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
00007ff901344118 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
00007ff901344220 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00007ff94028ee70 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00007ff94028e9c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00007ff94028e820 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00007ff94028f090 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00007ff94028f1f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00007ff94028e680 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00007ff94028f4a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00007ff94028d210 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00007ff94028e3f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00007ff94028e2c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00007ff94028d930 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00007ff94028d5d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00007ff94028d730 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00007ff94028ddc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00007ff94028e040 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00007ff94028ef18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00007ff94028ec68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00007ff94028e8a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00007ff94028f118 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00007ff94028f358 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00007ff94028e728 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00007ff94028f648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00007ff94028d398 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00007ff94028ce28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ff94028e558 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00007ff94028e328 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00007ff94028dbd8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00007ff94028d658 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00007ff94028d818 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00007ff94028df08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00007ff94028e188 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00007ff94028cc38 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ff94028ce08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ff94028cf28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00007ff94028ce70 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ff94028d110 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00007ff94028cf10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00007ff94028d1b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00007ff94028f000 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00007ff94028ef70 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00007ff94028ede0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00007ff94028e930 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00007ff94028f160 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00007ff94028f410 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00007ff94028e790 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00007ff94028f720 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00007ff94028d470 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00007ff94028d500 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00007ff94028e5f0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00007ff94028e360 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00007ff94028dd30 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00007ff94028d6a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00007ff94028d8a0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00007ff94028dfb0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00007ff94028e230 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00007ff94028cc20 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ff94028cc28 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00007ff94028efb8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00007ff94028ee28 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00007ff94028e978 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00007ff94028e7d8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00007ff94028f048 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00007ff94028f1a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00007ff94028e638 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00007ff94028f458 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00007ff94028d1c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00007ff94028d4b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00007ff94028e3a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00007ff94028e278 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00007ff94028d8e8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00007ff94028d588 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00007ff94028d6e8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00007ff94028dd78 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00007ff94028dff8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00007ff9421686b0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ff942168710 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff9012f527d (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
00007ff9013092be (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
00007ff9013140e1 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
00007ff9013141ed (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
00007ff901314e74 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
00007ff9012e2098 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
00007ff9012e1faa (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
00007ff9012fff79 (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
00007ff9013140b5 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
00007ff9012ffe62 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
00007ff9012ffcf5 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
00007ff9012fff52 (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
00007ff9013039b6 (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
00007ff90130ccb3 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
00007ff90130c9d1 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
00007ff90130cb4f (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
00007ff9012e1b8e (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
00007ff90130c19d (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
00007ff90130c9a7 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.244
00007ff90130c346 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.246
00007ff90130c59f (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.257
00007ff90130c6e2 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.272
00007ff90130d650 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
00007ff90130cf18 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.140
00007ff90130d4e7 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.180
00007ff90130ccdd (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
00007ff9012e1f1a (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
00007ff9012f49b6 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
00007ff901307bb4 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
00007ff901307d90 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.478
00007ff9013124ca (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
00007ff90130927e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
00007ff901303e31 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.683
00007ff901303ef2 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.691
00007ff9012fff9e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.697
00007ff901300076 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.701
00007ff901304374 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.706
00007ff901300421 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.790
00007ff901300484 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.803
00007ff9013040fe (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.808
00007ff901303e24 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.834
00007ff901300fc7 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.891
00007ff90130123e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.901
00007ff9013014dd (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.935
00007ff9013044be (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
00007ff901304445 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.698
00007ff901304392 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.702
00007ff90130014e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.713
00007ff9013042ab (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.804
00007ff901304063 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.816
00007ff901300aef (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.845
00007ff90130083c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
00007ff90130435b (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.789
00007ff901304056 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.822
00007ff901303b57 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.846
00007ff901300657 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
00007ff901300c45 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.869
00007ff9012e1b1a (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
00007ff9012e1b54 (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
00007ff901312556 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
00007ff901313b23 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.167
00007ff901307dfb (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
00007ff9012f8e77 (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
00007ff901303a95 (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
00007ff90130045f (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ff90130c321 (__TEXT,__text) non-external ___Block_byref_object_copy_.688
00007ff901300475 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ff90130c337 (__TEXT,__text) non-external ___Block_byref_object_dispose_.689
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff9012f4a35 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff9012e63aa (__TEXT,__text) non-external ____functionAdd_block_invoke
00007ff9012e714d (__TEXT,__text) non-external ____functionMultiply_block_invoke
00007ff90131c190 (__TEXT,__text) non-external ___bid128_acos
00007ff90131c445 (__TEXT,__text) non-external ___bid128_add
00007ff9013207c0 (__TEXT,__text) non-external ___bid128_asin
00007ff901320a82 (__TEXT,__text) non-external ___bid128_asinh
00007ff901320cfa (__TEXT,__text) non-external ___bid128_atan
00007ff9013210ff (__TEXT,__text) non-external ___bid128_atanh
00007ff901321504 (__TEXT,__text) non-external ___bid128_cbrt
00007ff901323a78 (__TEXT,__text) non-external ___bid128_cos
00007ff9013243fc (__TEXT,__text) non-external ___bid128_div
00007ff901326a24 (__TEXT,__text) non-external ___bid128_exp
00007ff901326d80 (__TEXT,__text) non-external ___bid128_fma
00007ff90132e377 (__TEXT,__text) non-external ___bid128_fmod
00007ff90133a6c2 (__TEXT,__text) non-external ___bid128_from_string
00007ff90132ee2b (__TEXT,__text) non-external ___bid128_hypot
00007ff9013306af (__TEXT,__text) non-external ___bid128_isZero
00007ff90132f84c (__TEXT,__text) non-external ___bid128_lgamma
00007ff90132fe1f (__TEXT,__text) non-external ___bid128_log
00007ff90133019c (__TEXT,__text) non-external ___bid128_log10
00007ff901330508 (__TEXT,__text) non-external ___bid128_mul
00007ff901330721 (__TEXT,__text) non-external ___bid128_pow
00007ff901321911 (__TEXT,__text) non-external ___bid128_quiet_equal
00007ff901321d22 (__TEXT,__text) non-external ___bid128_quiet_greater
00007ff901322466 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
00007ff901322bdb (__TEXT,__text) non-external ___bid128_quiet_less
00007ff901323318 (__TEXT,__text) non-external ___bid128_quiet_less_equal
00007ff901334b6b (__TEXT,__text) non-external ___bid128_rem
00007ff9013356b5 (__TEXT,__text) non-external ___bid128_round_integral_exact
00007ff9013368dc (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
00007ff901336da5 (__TEXT,__text) non-external ___bid128_round_integral_negative
00007ff90133722b (__TEXT,__text) non-external ___bid128_round_integral_zero
00007ff901337605 (__TEXT,__text) non-external ___bid128_sin
00007ff901337ffc (__TEXT,__text) non-external ___bid128_sqrt
00007ff90133b804 (__TEXT,__text) non-external ___bid128_tan
00007ff90133d4fd (__TEXT,__text) non-external ___bid128_to_binary128
00007ff90133cc1b (__TEXT,__text) non-external ___bid128_to_binary64
00007ff90133c164 (__TEXT,__text) non-external ___bid128_to_int32_int
00007ff90133992e (__TEXT,__text) non-external ___bid128_to_string
00007ff90133c7d6 (__TEXT,__text) non-external ___bid128_to_uint64_int
00007ff90147aa80 (__TEXT,__const) non-external ___bid_Ex128m128
00007ff90147ba80 (__TEXT,__const) non-external ___bid_Ex192m192
00007ff90147d680 (__TEXT,__const) non-external ___bid_Ex256m256
00007ff90147a460 (__TEXT,__const) non-external ___bid_Ex64m64
00007ff90147a830 (__TEXT,__const) non-external ___bid_Kx128
00007ff90147b380 (__TEXT,__const) non-external ___bid_Kx192
00007ff90147cd20 (__TEXT,__const) non-external ___bid_Kx256
00007ff90147a3d0 (__TEXT,__const) non-external ___bid_Kx64
00007ff901351500 (__TEXT,__const) non-external ___bid_char_table2
00007ff901350940 (__TEXT,__const) non-external ___bid_char_table3
00007ff901476700 (__TEXT,__const) non-external ___bid_convert_table
00007ff901479600 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
00007ff901477ff0 (__TEXT,__const) non-external ___bid_factors
00007ff90147ac50 (__TEXT,__const) non-external ___bid_half128
00007ff90147bd20 (__TEXT,__const) non-external ___bid_half192
00007ff90147da10 (__TEXT,__const) non-external ___bid_half256
00007ff90147a540 (__TEXT,__const) non-external ___bid_half64
00007ff90147ab20 (__TEXT,__const) non-external ___bid_mask128
00007ff90147bb60 (__TEXT,__const) non-external ___bid_mask192
00007ff90147d7b0 (__TEXT,__const) non-external ___bid_mask256
00007ff90147a4b0 (__TEXT,__const) non-external ___bid_mask64
00007ff90139a6c0 (__TEXT,__const) non-external ___bid_maskhigh128
00007ff90134fd80 (__TEXT,__const) non-external ___bid_midi_tbl
