000000018017fc60 (__TEXT,__text) non-external K256
0000000180189294 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_ARM64E_SHARED_CACHE4nameEv
000000018018928c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_ARM64E_SHARED_CACHE5valueEv
0000000180189478 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_ARM64E_SHARED_CACHE6strideEv
000000018018a9d8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE11descriptionEv
000000018018aa2c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE12nextLocationEPKv
000000018018a9ec (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE12supportsAuthEv
000000018018aa0c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE13supportsBindsEv
000000018018aa14 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE14maxBindOrdinalEb
000000018018aa44 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE15parseChainEntryEPKvPKNS_13MappedSegmentEyNSt3__14spanIKyLm18446744073709551615EEE
000000018018aaa8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE15writeChainEntryERKNS_5FixupEPKvyNSt3__14spanIPKNS_13MappedSegmentELm18446744073709551615EEE
000000018018aa04 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE21maxRebaseTargetOffsetEb
000000018018aa1c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE23bindMaxEmbeddableAddendEb
000000018018aa24 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE23bindMinEmbeddableAddendEb
000000018018a9e4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE4is64Ev
000000018018a9cc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE4nameEv
000000018018a9c4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE5valueEv
000000018018a9fc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE7maxNextEv
000000018018a9f4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHE7minNextEv
0000000180181e48 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o5Error7messageEv
000000018018c154 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o5Image12segmentCountEv
000000018018cbf8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o5Image12withSegmentsEU13block_pointerFvNSt3__14spanIKNS_13MappedSegmentELm18446744073709551615EEEE
000000018018c208 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o5Image7segmentEj
00000001801612c4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups17forEachBindTargetER11DiagnosticsblU13block_pointerFvRKNS0_14BindTargetInfoERbES8_
00000001801630f0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups22forEachIndirectPointerER11DiagnosticsblU13block_pointerFvybiPKcbbbRbE
000000018016231c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups23forEachBind_OpcodesLazyER11DiagnosticsU13block_pointerFvPKcbbjijjyhS4_bbybRbE
0000000180162708 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups23forEachBind_OpcodesWeakER11DiagnosticsU13block_pointerFvPKcbbjijjyhS4_bbybRbEU13block_pointerFvS4_E
0000000180162ca0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups23forEachBind_RelocationsER11DiagnosticsblU13block_pointerFvPKcbbjijjyhS4_bbybRbE
0000000180163228 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups24externalRelocBaseAddressEv
0000000180161500 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups25forEachBindTarget_OpcodesER11DiagnosticsbU13block_pointerFvRKNS0_14BindTargetInfoERbES8_
0000000180161690 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups25forEachChainedFixupTargetER11DiagnosticsU13block_pointerFviPKcybRbE
0000000180161b60 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups26forEachBindUnified_OpcodesER11DiagnosticsbU13block_pointerFvyjRKNS0_14BindTargetInfoERbES8_
0000000180161e68 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups26forEachBind_OpcodesRegularER11DiagnosticsU13block_pointerFvPKcbbjijjyhS4_bbybRbE
000000018016182c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups27parseOrgArm64eChainedFixupsER11DiagnosticsU13block_pointerFvjRbEU13block_pointerFvbjihPKcybS3_EU13block_pointerFvjbytS3_E
00000001801615f4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups29forEachBindTarget_RelocationsER11DiagnosticslU13block_pointerFvRKNS0_14BindTargetInfoERbE
00000001801613d4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Fixups31forEachBindTarget_ChainedFixupsER11DiagnosticsU13block_pointerFvRKNS0_14BindTargetInfoERbE
0000000180186268 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header10forDyldEnvEU13block_pointerFvPKcRbE
0000000180184270 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header10hasSectionE7CStringS1_b
000000018015c054 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header11inDyldCacheEv
00000001801844f0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header11installNameEv
0000000180184534 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12forEachRPathEU13block_pointerFvPKcRbE
0000000180182220 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12isObjectFileEv
0000000180187d38 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12isRestrictedEv
0000000180186fec (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12segmentCountEv
00000001801820e8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12uses16KPagesEv
0000000180184d84 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12validSegmentI15segment_command7sectionEENS_5ErrorERKNS_6PolicyEyPKT_
00000001801848fc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header12validSegmentI18segment_command_6410section_64EENS_5ErrorERKNS_6PolicyEyPKT_
000000018015c1f0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header13hasMachOMagicEv
00000001801871d8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header13segmentVmAddrEj
0000000180185980 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header14forEachSectionEU13block_pointerFvRKNS0_11SectionInfoERbE
000000018018765c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header14forEachSectionEU13block_pointerFvRKNS0_11SegmentInfoERKNS0_11SectionInfoERbE
00000001801870c4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header14forEachSegmentEU13block_pointerFvRKNS0_11SegmentInfoERbE
000000018018216c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header14hasLoadCommandEj
00000001801866e8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header15hasSplitSegInfoERb
0000000180182264 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header15noDynamicAccessEv
00000001801854c4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header16builtForPlatformENS_8PlatformEb
0000000180186598 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header16hasCodeSignatureERjS1_
0000000180185df4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header16linkedDylibCountEPb
0000000180184320 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header17builtForSimulatorEv
0000000180186bb0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header17hasPlusLoadMethodEv
00000001801879b4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18findSectionContentE7CStringS1_b
0000000180185ea4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18forEachLinkedDylibEU13block_pointerFvPKcNS_21LinkedDylibAttributesENS_9Version32ES4_bRbE
0000000180184094 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18forEachLoadCommandEU13block_pointerFvPK12load_commandRbE
000000018018281c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18isStaticExecutableEv
000000018018392c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18validSemanticsMainERKNS_6PolicyE
0000000180182be0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header18validSemanticsUUIDERKNS_6PolicyE
0000000180187b58 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19computeLinkEditBiasEb
0000000180186e80 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19findObjCDataSectionE7CStringRyS2_
0000000180185ab0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19getDylibInstallNameEPPKcPNS_9Version32ES5_
0000000180188050 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19isFairPlayEncryptedERjS1_
0000000180185cb0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19linkedDylibLoadPathEj
000000018018689c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19loadableIntoProcessENS_8PlatformE7CStringb
0000000180182270 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19platformAndVersionsEv
00000001801830e8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header19validSemanticsRPathERKNS_6PolicyE
0000000180187d58 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header20hasInterposingTuplesEv
00000001801864f4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header20preferredLoadAddressEv
0000000180186d00 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header21forEachSingletonPatchEU13block_pointerFvyE
00000001801853a8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header22entryAddrFromThreadCmdEPK14thread_commandRy
0000000180182584 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header22validSemanticsPlatformEv
0000000180183298 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header22validSemanticsSegmentsERKNS_6PolicyEy
00000001801858dc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header23allowsAlternatePlatformEv
0000000180182230 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header23hasThreadLocalVariablesEv
00000001801867d0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header23zerofillExpansionAmountEv
0000000180188100 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header24hasFunctionVariantFixupsEv
0000000180187e3c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header25forEachInterposingSectionEU13block_pointerFvRKNS0_11SectionInfoERbE
0000000180182d1c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header25validSemanticsInstallNameERKNS_6PolicyE
0000000180182378 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header26forEachPlatformLoadCommandEU13block_pointerFvNS_8PlatformENS_9Version32ES2_E
0000000180182e50 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header26validSemanticsLinkedDylibsERKNS_6PolicyE
0000000180182a50 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header26validStructureLoadCommandsEy
0000000180183848 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header27validSemanticsLinkerOptionsERKNS_6PolicyE
0000000180187fa0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header33findFairPlayEncryptionLoadCommandEv
0000000180182160 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header4archEv
000000018015bf68 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header4is64Ev
0000000180182854 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header5validEy
0000000180185bb0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header7getUuidEPh
000000018015c07c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header7isDylibEv
0000000180182130 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header8archNameEv
000000018018637c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header8getEntryERyRb
00000001801871b0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header8getSlideEv
000000018015c08c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header8isBundleEv
000000018015c1e0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Header9isPreloadEv
00000001801889c8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy14enforceHasUUIDEv
0000000180188908 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy17useProtectedStackEv
00000001801889b0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy22enforceHasLinkedDylibsEv
0000000180188a08 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy23enforceMainFlagsCorrectEv
0000000180188920 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy23enforceReadOnlyLinkeditEv
0000000180188908 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy24enforceNoDuplicateDylibsEv
0000000180188908 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy24enforceNoDuplicateRPathsEv
0000000180188998 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy24enforceSectionsInSegmentEv
0000000180188908 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy25enforceUniqueSegmentNamesEv
0000000180188908 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy29enforceDataSegmentPermissionsEv
0000000180188980 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy29enforceTextSegmentPermissionsEv
0000000180188a20 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy34enforceDataConstSegmentPermissionsEv
0000000180188950 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy34enforceSegmentOrderMatchesLoadCmdsEv
0000000180188a60 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy34enforceSetSimulatorSharedCachePathEv
0000000180188a48 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o6Policy36enforceImageListRemoveMainExecutableEv
0000000180188294 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform11isKernelKitEv
0000000180188258 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform11isSimulatorEv
000000018018822c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform12basePlatformEv
0000000180188280 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform12isExclaveKitEv
00000001801882a8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform12libSystemDirEv
000000018018826c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform13isExclaveCoreEv
00000001801881f4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform4nameEv
00000001801881d4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform5emptyEv
0000000180188364 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform5epochENS_9Version32E
00000001801881b4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform5validEv
000000018018834c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o8Platform5valueEv
000000018018b450 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Universal10validSliceENS_12ArchitectureEyy
000000018018b0f8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Universal12forEachSliceEU13block_pointerFvNS_12ArchitectureEyyRbE
000000018018ad7c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Universal5validEy
000000018018b60c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Universal9archNamesEPc
000000018018b730 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Universal9bestSliceERKNS_19GradedArchitecturesEbRNS0_5SliceE
000000018018cea0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o9Version328toStringEPc
000000018013f448 (__TEXT,__text) non-external (was a private external) __ZNKSt3__111__copy_implclB8nn200100IPKSt4byteS4_NS_20back_insert_iteratorIN3lsl6VectorIS2_EEEEEENS_4pairIT_T1_EESB_T0_SC_
000000018016efa8 (__TEXT,__text) non-external (was a private external) __ZNKSt3__111__copy_implclB8nn200100IPPN12PropertyList6ObjectES5_NS_20back_insert_iteratorIN3lsl6VectorIS4_EEEEEENS_4pairIT_T1_EESC_T0_SD_
000000018016ef38 (__TEXT,__text) non-external (was a private external) __ZNKSt3__111__copy_implclB8nn200100IPSt4byteS3_NS_20back_insert_iteratorI10ByteStreamEEEENS_4pairIT_T1_EES8_T0_S9_
000000018013f448 (__TEXT,__text) non-external (was a private external) __ZNKSt3__111__copy_implclB8nn200100IPSt4byteS3_NS_20back_insert_iteratorIN3lsl6VectorIS2_EEEEEENS_4pairIT_T1_EESA_T0_SB_
00000001801157f8 (__TEXT,__text) non-external (was a private external) __ZNKSt3__117basic_string_viewIcNS_11char_traitsIcEEE11starts_withB8nn200100EPKc
0000000180116854 (__TEXT,__text) non-external (was a private external) __ZNKSt3__117basic_string_viewIcNS_11char_traitsIcEEE7compareB8nn200100EmmS3_
0000000180130018 (__TEXT,__text) non-external (was a private external) __ZNKSt3__121__murmur2_or_cityhashImLm64EEclB8nn200100EPKvm
0000000180130220 (__TEXT,__text) non-external (was a private external) __ZNSt3__121__murmur2_or_cityhashImLm64EE18__hash_len_0_to_16B8nn200100EPKcm
0000000180130318 (__TEXT,__text) non-external (was a private external) __ZNSt3__121__murmur2_or_cityhashImLm64EE19__hash_len_17_to_32B8nn200100EPKcm
00000001801303c4 (__TEXT,__text) non-external (was a private external) __ZNSt3__121__murmur2_or_cityhashImLm64EE19__hash_len_33_to_64B8nn200100EPKcm
0000000180158024 (__TEXT,__text) non-external (was a private external) __ZNSt3__122__libcpp_verbose_abortEPKcz
0000000180174328 (__TEXT,__text) non-external (was a private external) __ZNSt3__123__lower_bound_bisectingB8nn200100INS_17_ClassicAlgPolicyENS_11__wrap_iterIPPKcEES4_NS_10__identityEN3lsl20ConstCharStarCompareEEET0_SA_RKT1_NS_15iterator_traitsISA_E15difference_typeERT3_RT2_
000000018017439c (__TEXT,__text) non-external (was a private external) __ZNSt3__123__lower_bound_bisectingB8nn200100INS_17_ClassicAlgPolicyEPPKcA4_cNS_10__identityEN3lsl20ConstCharStarCompareEEET0_S9_RKT1_NS_15iterator_traitsIS9_E15difference_typeERT3_RT2_
0000000180174328 (__TEXT,__text) non-external (was a private external) __ZNSt3__123__lower_bound_bisectingB8nn200100INS_17_ClassicAlgPolicyEPPKcS3_NS_10__identityEN3lsl20ConstCharStarCompareEEET0_S8_RKT1_NS_15iterator_traitsIS8_E15difference_typeERT3_RT2_
0000000180125598 (__TEXT,__text) non-external (was a private external) __ZNSt3__127__throw_bad_optional_accessB8nn200100Ev
000000018017406c (__TEXT,__text) non-external (was a private external) __ZNSt3__18optionalIyE4swapB8nn200100ERS1_
00000001ee4d3f80 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList10DictionaryE
00000001ee4d3f20 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList4DataE
00000001ee4d3fa0 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList4UUIDE
00000001ee4d3f60 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList5ArrayE
00000001ee4d2b60 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList5FlagsIxEE
00000001ee4d3fc0 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList6BitmapE
00000001ee4d3f40 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList6StringE
00000001ee4d3f00 (__DATA_CONST,__const) non-external (was a private external) __ZTVN12PropertyList7IntegerE
00000001ee4d3fe0 (__DATA_CONST,__const) non-external (was a private external) __ZTVN3lsl8CRC32cSWE
00000001ee4cf838 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5dyld412RuntimeStateE
00000001ee4d2098 (__DATA_CONST,__const) non-external (was a private external) __ZTVN5dyld44APIsE
00000001ee4d6b48 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o11BindOpcodesE
00000001ee4d6b68 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o15LazyBindOpcodesE
00000001ee4d5588 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o16PlatformInfo_iOSE
00000001ee4d5648 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o17PlatformInfo_tvOSE
00000001ee4d5528 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o18PlatformInfo_macOSE
00000001ee4d59a8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o18PlatformInfo_sepOSE
00000001ee4d57c8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o20PlatformInfo_watchOSE
00000001ee4d5888 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o21PlatformInfo_bridgeOSE
00000001ee4d5948 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o21PlatformInfo_firmwareE
00000001ee4d5d08 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o21PlatformInfo_visionOSE
00000001ee4d5768 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o21PlatformInfo_zipperedE
00000001ee4d58e8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o22PlatformInfo_driverKitE
00000001ee4d5708 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o24PlatformInfo_macCatalystE
00000001ee4d5ee8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o26PlatformInfo_iOS_kernelKitE
00000001ee4d55e8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o26PlatformInfo_iOS_simulatorE
00000001ee4d5b28 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o27PlatformInfo_iOS_exclaveKitE
00000001ee4d5f48 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o27PlatformInfo_tvOS_kernelKitE
00000001ee4d56a8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o27PlatformInfo_tvOS_simulatorE
00000001ee4d5ac8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o28PlatformInfo_iOS_exclaveCoreE
00000001ee4d5e88 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o28PlatformInfo_macOS_kernelKitE
00000001ee4d5be8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o28PlatformInfo_tvOS_exclaveKitE
00000001ee4d5a68 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o29PlatformInfo_macOS_exclaveKitE
00000001ee4d5b88 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o29PlatformInfo_tvOS_exclaveCoreE
00000001ee4d5a08 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o30PlatformInfo_macOS_exclaveCoreE
00000001ee4d5fa8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o30PlatformInfo_watchOS_kernelKitE
00000001ee4d5828 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o30PlatformInfo_watchOS_simulatorE
00000001ee4d6068 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o31PlatformInfo_bridgeOS_kernelKitE
00000001ee4d6008 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o31PlatformInfo_visionOS_kernelKitE
00000001ee4d5d68 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o31PlatformInfo_visionOS_simulatorE
00000001ee4d5ca8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o31PlatformInfo_watchOS_exclaveKitE
00000001ee4d5e28 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o32PlatformInfo_visionOS_exclaveKitE
00000001ee4d5c48 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o32PlatformInfo_watchOS_exclaveCoreE
00000001ee4d5dc8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o33PlatformInfo_visionOS_exclaveCoreE
00000001ee4d6478 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o33PointerFormat_DYLD_CHAINED_PTR_32E
00000001ee4d63d8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o33PointerFormat_DYLD_CHAINED_PTR_64E
00000001ee4d6328 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o37PointerFormat_DYLD_CHAINED_PTR_ARM64EE
00000001ee4d6510 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o39PointerFormat_DYLD_CHAINED_PTR_32_CACHEE
00000001ee4d6640 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o40PointerFormat_DYLD_CHAINED_PTR_64_OFFSETE
00000001ee4d65a8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o42PointerFormat_DYLD_CHAINED_PTR_32_FIRMWAREE
00000001ee4d66e0 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o44PointerFormat_DYLD_CHAINED_PTR_ARM64E_KERNELE
00000001ee4d6790 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o46PointerFormat_DYLD_CHAINED_PTR_64_KERNEL_CACHEE
00000001ee4d68d8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o46PointerFormat_DYLD_CHAINED_PTR_ARM64E_FIRMWAREE
00000001ee4d6828 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o46PointerFormat_DYLD_CHAINED_PTR_ARM64E_USERLANDE
00000001ee4d6280 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o47PointerFormat_DYLD_CHAINED_PTR_ARM64E_SEGMENTEDE
00000001ee4d6a20 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o48PointerFormat_DYLD_CHAINED_PTR_ARM64E_USERLAND24E
00000001ee4d61d8 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o50PointerFormat_DYLD_CHAINED_PTR_ARM64E_SHARED_CACHEE
00000001ee4d6988 (__DATA_CONST,__const) non-external (was a private external) __ZTVN6mach_o50PointerFormat_DYLD_CHAINED_PTR_X86_64_KERNEL_CACHEE
000000018013bf28 (__TEXT,__text) non-external __ZZN3lsl13MemoryManager4initEPPKcS3_PvENK3$_0clEv
000000018018fad0 (__TEXT,__text) non-external __ZZN3lsl13MemoryManager4initEPPKcS3_PvENK3$_0clEv.cold.1
