00007ffc1df57f95 (__TEXT,__text) non-external +[ODCAction action]
00007ffc1df63e74 (__TEXT,__text) external _schema_construct_resultv
00007ffc1df63ae5 (__TEXT,__text) external _schema_deconstruct_request
00007ffc1df63f38 (__TEXT,__text) external _schema_deconstruct_result
00007ffc1df63dbd (__TEXT,__text) external _schema_get_callback
00007ffc1df643b9 (__TEXT,__text) non-external _schema_get_callback.cold.1
00007ffc1df63d40 (__TEXT,__text) external _schema_set_callback
00007ffc1df643b9 (__TEXT,__text) non-external _schema_set_callback.cold.1
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
