000000018a5ae000 (__TEXT,__const) non-external _A1_Table
000000018a5bb97a (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_444CbYCrA8
000000018a5b8d4c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG12bpc
000000018a5b922c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG16bpc
000000018a5ba0cc (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG16bpcPlanar
000000018a5baf6c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG16bpcPlanar_NoAlpha
000000018a5b79cc (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG1bpc
000000018a5b7eac (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG2bpc
000000018a5b970c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG32bpc
000000018a5ba5ac (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG32bpcPlanar
000000018a5bb44c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG32bpcPlanar_NoAlpha
000000018a5b838c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG4bpc
000000018a5b886c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG8bpc
000000018a5b9bec (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG8bpcPlanar
000000018a5baa8c (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CG8bpcPlanar_NoAlpha
000000018a5b797e (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CGRGB10bitspecial_32bpp
000000018a5b7930 (__TEXT,__const) non-external (was a private external) _kImageTilingInfo_CGRGB5bitspecial_16bpp
00000001e5ba0818 (__DATA_CONST,__const) non-external (was a private external) _kKnownPolynomials
00000001ec394738 (__DATA_DIRTY,__common) non-external (was a private external) _kcgColorSpaceDisplayP3
00000001ec394730 (__DATA_DIRTY,__common) non-external (was a private external) _kcgColorSpaceExtendedDisplayP3
00000001ec394728 (__DATA_DIRTY,__common) non-external (was a private external) _kcgColorSpaceExtendedLinearSRGB
00000001ec394720 (__DATA_DIRTY,__common) non-external (was a private external) _kcgColorSpaceExtendedSRGB
00000001ec394718 (__DATA_DIRTY,__common) non-external (was a private external) _kcgColorSpaceSRGB
00000001e9a6e528 (__DATA,__data) external _kvImageConstDecodeArray0
00000001e9a6e520 (__DATA,__data) external _kvImageDecodeArray_16Q12Format
00000001e9a6e518 (__DATA,__data) non-external (was a private external) _kvImage_ARGBToYpCbCrMatrix_ITU_R_2020_NCL_0
00000001e9a6e508 (__DATA,__data) external _kvImage_ARGBToYpCbCrMatrix_ITU_R_601_4
00000001e9a6e510 (__DATA,__data) external _kvImage_ARGBToYpCbCrMatrix_ITU_R_709_2
00000001e9a6e500 (__DATA,__data) non-external (was a private external) _kvImage_YpCbCrToARGBMatrix_ITU_R_2020_NCL_0
00000001e9a6e4f0 (__DATA,__data) external _kvImage_YpCbCrToARGBMatrix_ITU_R_601_4
00000001e9a6e4f8 (__DATA,__data) external _kvImage_YpCbCrToARGBMatrix_ITU_R_709_2
                 (undefined) external _ldexp (from libSystem)
                 (undefined) external _ldexpf (from libSystem)
000000018a371b38 (__TEXT,__text) non-external (was a private external) _linearSystemSolve
                 (undefined) external _log1pf (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _malloc_type_posix_memalign (from libSystem)
                 (undefined) external _malloc_type_realloc (from libSystem)
                 (undefined) external _malloc_type_valloc (from libSystem)
000000018a2fea58 (__TEXT,__text) non-external _matrixMultiply_3x3_init
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _memset_pattern16 (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _mmap (from libSystem)
                 (undefined) external _munmap (from libSystem)
000000018a1fe5c4 (__TEXT,__text) non-external _numWorkItemsForGCD
000000018a214e10 (__TEXT,__text) non-external _numWorkItemsForGCD
000000018a41a200 (__TEXT,__text) non-external _piecewiseGamma_pixelBlock
                 (undefined) external _powf (from libSystem)
000000018a226f9c (__TEXT,__text) non-external _premultiply_argb16
000000018a226fdc (__TEXT,__text) non-external _premultiply_rgba16
                 (undefined) external _printf (from libSystem)
                 (undefined) external _pthread_get_stackaddr_np (from libSystem)
                 (undefined) external _pthread_get_stacksize_np (from libSystem)
                 (undefined) external _pthread_getspecific (from libSystem)
                 (undefined) external _pthread_key_create (from libSystem)
                 (undefined) external _pthread_qos_max_parallelism (from libSystem)
                 (undefined) external _pthread_self (from libSystem)
                 (undefined) external _pthread_setspecific (from libSystem)
                 (undefined) external _putchar (from libSystem)
                 (undefined) external _puts (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
                 (undefined) external _qsort (from libSystem)
000000018a39dd84 (__TEXT,__text) non-external _resampleNumWorkItemsForGCD
000000018a5bdec0 (__TEXT,__const) non-external _rgba_Ndot16_table
000000018a236770 (__TEXT,__text) non-external (was a private external) _s32BitPixelToFloatPixel
000000018a229b60 (__TEXT,__text) non-external (was a private external) _sARGB1555toARGB8888
000000018a1f5038 (__TEXT,__text) non-external (was a private external) _sBoxConvolve16F
000000018a260774 (__TEXT,__text) non-external (was a private external) _sBoxConvolve_ARGB8888
000000018a260104 (__TEXT,__text) non-external (was a private external) _sBoxConvolve_Planar8
000000018a262090 (__TEXT,__text) non-external (was a private external) _sBoxConvolve_PlanarF
000000018a233950 (__TEXT,__text) non-external (was a private external) _sByteSwap_Planar16U
000000018a229a84 (__TEXT,__text) non-external (was a private external) _sClip_PlanarF
000000018a2366a4 (__TEXT,__text) non-external (was a private external) _sClip_Planar_Float
000000018a229a80 (__TEXT,__text) non-external (was a private external) _sConvert_16Q12to16U
000000018a23cbd0 (__TEXT,__text) non-external (was a private external) _sConvert_16Q12to16U_preCV
000000018a229a90 (__TEXT,__text) non-external (was a private external) _sConvert_16SToF
000000018a2391d8 (__TEXT,__text) non-external (was a private external) _sConvert_16SToF_preCV
000000018a229a98 (__TEXT,__text) non-external (was a private external) _sConvert_16UToF
000000018a239c44 (__TEXT,__text) non-external (was a private external) _sConvert_16UToF_preCV
000000018a22d084 (__TEXT,__text) non-external (was a private external) _sConvert_16UToPlanar8_preCV
000000018a229a7c (__TEXT,__text) non-external (was a private external) _sConvert_16Uto16Q12
000000018a23c91c (__TEXT,__text) non-external (was a private external) _sConvert_16Uto16Q12_preCV
000000018a229a74 (__TEXT,__text) non-external (was a private external) _sConvert_16UtoPlanar8
000000018a38b228 (__TEXT,__text) non-external (was a private external) _sConvert_420Yp10_CbCr10ToARGB16F
000000018a385d28 (__TEXT,__text) non-external (was a private external) _sConvert_420Yp10_CbCr10ToXRGB2101010W
000000018a379900 (__TEXT,__text) non-external (was a private external) _sConvert_420Yp8_Cb8_Cr8ToARGB8888
000000018a37b360 (__TEXT,__text) non-external (was a private external) _sConvert_420Yp8_CbCr8ToARGB8888
000000018a38e280 (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp10ToARGB16F
000000018a388458 (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp10ToXRGB2101010W
000000018a37eab4 (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp16ToARGB16U
000000018a37e23c (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp16ToARGB8888
000000018a373ddc (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp8ToARGB8888
000000018a3751e0 (__TEXT,__text) non-external (was a private external) _sConvert_422CbYpCrYp8_AA8ToARGB8888
000000018a382510 (__TEXT,__text) non-external (was a private external) _sConvert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB16Q12
000000018a380308 (__TEXT,__text) non-external (was a private external) _sConvert_422CrYpCbYpCbYpCbYpCrYpCrYp10ToARGB8888
000000018a389fc0 (__TEXT,__text) non-external (was a private external) _sConvert_422Yp10_CbCr10ToARGB16F
000000018a384b98 (__TEXT,__text) non-external (was a private external) _sConvert_422Yp10_CbCr10ToXRGB2101010W
000000018a373260 (__TEXT,__text) non-external (was a private external) _sConvert_422YpCbYpCr8ToARGB8888
000000018a37d9f4 (__TEXT,__text) non-external (was a private external) _sConvert_444AYpCbCr16ToARGB16U
000000018a37cd04 (__TEXT,__text) non-external (was a private external) _sConvert_444AYpCbCr16ToARGB8888
000000018a3768c8 (__TEXT,__text) non-external (was a private external) _sConvert_444AYpCbCr8ToARGB8888
000000018a378868 (__TEXT,__text) non-external (was a private external) _sConvert_444CbYpCrA8ToARGB8888
000000018a37fda4 (__TEXT,__text) non-external (was a private external) _sConvert_444CrYpCb10ToARGB16Q12
000000018a37f480 (__TEXT,__text) non-external (was a private external) _sConvert_444CrYpCb10ToARGB8888
000000018a377950 (__TEXT,__text) non-external (was a private external) _sConvert_444CrYpCb8ToARGB8888
000000018a38953c (__TEXT,__text) non-external (was a private external) _sConvert_444Yp10_CbCr10ToARGB16F
000000018a384180 (__TEXT,__text) non-external (was a private external) _sConvert_444Yp10_CbCr10ToXRGB2101010W
000000018a38d91c (__TEXT,__text) non-external (was a private external) _sConvert_444YpCbCr10ToARGB16F
000000018a387d7c (__TEXT,__text) non-external (was a private external) _sConvert_444YpCbCr10ToXRGB2101010W
000000018a22c21c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB1555toRGB565
000000018a38bb40 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16FTo420Yp10_CbCr10
000000018a38e78c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16FTo422CbYpCrYp10
000000018a38a548 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16FTo422Yp10_CbCr10
000000018a3897e0 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16FTo444Yp10_CbCr10
000000018a38db88 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16FTo444YpCbCr10
000000018a382de4 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16Q12To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018a37ff34 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16Q12To444CrYpCb10
000000018a37edf4 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UTo422CbYpCrYp16
000000018a37db8c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UTo444AYpCbCr16
000000018a231c0c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UToARGB8888
000000018a23897c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UtoARGB8888_dithered
000000018a231514 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UtoPlanar16U
000000018a230da0 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB16UtoRGB16U
000000018a23dc30 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB2101010ToRGB16U
000000018a23d038 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB2101010ToRGB888
000000018a23e2e8 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB2101010ToRGBFFF
000000018a379f04 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To420Yp8_Cb8_Cr8
000000018a37b96c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To420Yp8_CbCr8
000000018a37e52c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To422CbYpCrYp16
000000018a374154 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To422CbYpCrYp8
000000018a375580 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To422CbYpCrYp8_AA8
000000018a3810f0 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To422CrYpCbYpCbYpCbYpCrYpCrYp10
000000018a3735dc (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To422YpCbYpCr8
000000018a37ce90 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To444AYpCbCr16
000000018a376aac (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To444AYpCbCr8
000000018a378a4c (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To444CbYpCrA8
000000018a37f704 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To444CrYpCb10
000000018a377b30 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888To444CrYpCb8
000000018a232030 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888ToARGB16U
000000018a232dc4 (__TEXT,__text) non-external (was a private external) _sConvert_ARGB8888ToRGB16U
000000018a237d34 (__TEXT,__text) non-external (was a private external) _sConvert_ARGBFFFFtoARGB8888_dithered
000000018a231298 (__TEXT,__text) non-external (was a private external) _sConvert_BGRA16UtoRGB16U
000000018a23c07c (__TEXT,__text) non-external (was a private external) _sConvert_BuildIndexedColorLookup
000000018a23c18c (__TEXT,__text) non-external (was a private external) _sConvert_BuildIndexedColorLookupForOrderedDithering
000000018a23baa0 (__TEXT,__text) non-external (was a private external) _sConvert_BuildIndexedColorTable
000000018a229a94 (__TEXT,__text) non-external (was a private external) _sConvert_FTo16S
000000018a2396fc (__TEXT,__text) non-external (was a private external) _sConvert_FTo16S_preCV
000000018a229a9c (__TEXT,__text) non-external (was a private external) _sConvert_FTo16U
000000018a23a150 (__TEXT,__text) non-external (was a private external) _sConvert_FTo16U_preCV
000000018a23a784 (__TEXT,__text) non-external (was a private external) _sConvert_Indexed1toPlanar8
000000018a23a8d4 (__TEXT,__text) non-external (was a private external) _sConvert_Indexed1toPlanar8_ExpandTable
000000018a229aa8 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16FtoPlanar8
000000018a22e1ac (__TEXT,__text) non-external (was a private external) _sConvert_Planar16FtoPlanar8_preCV
000000018a229ab0 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16FtoPlanarF
000000018a22d758 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16FtoPlanarF_preCV
000000018a31e3d4 (__TEXT,__text) non-external _sConvert_Planar16Q12toPlanarN
000000018a1cf918 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16UtoARGB16U
000000018a238018 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16UtoPlanar8_dithered
000000018a231878 (__TEXT,__text) non-external (was a private external) _sConvert_Planar16UtoRGB16U
000000018a23a68c (__TEXT,__text) non-external (was a private external) _sConvert_Planar1toPlanar8
000000018a5a9cf0 (__TEXT,__const) non-external _sConvert_Planar1toPlanar8.table
000000018a22d3ec (__TEXT,__text) non-external (was a private external) _sConvert_Planar8To16U_preCV
000000018a229a78 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8to16U
000000018a23c780 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toIndexed_DitherAtkinson
000000018a23c61c (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toIndexed_DitherFloydSteinberg
000000018a23c3e4 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toIndexed_DitherNone
000000018a23c498 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toIndexed_DitherOrdered
000000018a229aa0 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar16F
000000018a22e0cc (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar16F_preCV
000000018a23aff4 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar1_DitherAtkinson
000000018a23ac64 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar1_DitherFloydSteinberg
000000018a23a950 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar1_DitherOrdered
000000018a23b57c (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar2_DitherAtkinson
000000018a23b344 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar2_DitherFloydSteinberg
000000018a23b158 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar2_DitherOrdered
000000018a23b948 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar4_DitherAtkinson
000000018a23b818 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar4_DitherFloydSteinberg
000000018a23b6f0 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanar4_DitherOrdered
000000018a229a88 (__TEXT,__text) non-external (was a private external) _sConvert_Planar8toPlanarF
000000018a31de00 (__TEXT,__text) non-external _sConvert_Planar8toPlanarN
000000018a229ab4 (__TEXT,__text) non-external (was a private external) _sConvert_PlanarFtoPlanar16F
000000018a22dd64 (__TEXT,__text) non-external (was a private external) _sConvert_PlanarFtoPlanar16F_preCV
000000018a229a8c (__TEXT,__text) non-external (was a private external) _sConvert_PlanarFtoPlanar8
000000018a236ef0 (__TEXT,__text) non-external (was a private external) _sConvert_PlanarFtoPlanar8_dithered
000000018a31e9d0 (__TEXT,__text) non-external _sConvert_PlanarFtoPlanarN
000000018a31e26c (__TEXT,__text) non-external _sConvert_PlanarNtoPlanar16Q12
000000018a31dc94 (__TEXT,__text) non-external _sConvert_PlanarNtoPlanar8
000000018a31e848 (__TEXT,__text) non-external _sConvert_PlanarNtoPlanarF
000000018a23dcfc (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UToARGB2101010
000000018a232c3c (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UToARGB8888
000000018a22ff94 (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UtoARGB16U
000000018a2308dc (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UtoBGRA16U
000000018a2381e8 (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UtoRGB888_dithered
000000018a230438 (__TEXT,__text) non-external (was a private external) _sConvert_RGB16UtoRGBA16U
000000018a22c5ac (__TEXT,__text) non-external (was a private external) _sConvert_RGB565toARGB1555
000000018a22b2a4 (__TEXT,__text) non-external (was a private external) _sConvert_RGB565toBGRA8888
000000018a22b47c (__TEXT,__text) non-external (was a private external) _sConvert_RGB565toRGB888
000000018a22cadc (__TEXT,__text) non-external (was a private external) _sConvert_RGB565toRGBA5551
000000018a22b0d4 (__TEXT,__text) non-external (was a private external) _sConvert_RGB565toRGBA8888
000000018a23d620 (__TEXT,__text) non-external (was a private external) _sConvert_RGB888ToARGB2101010
000000018a231020 (__TEXT,__text) non-external (was a private external) _sConvert_RGBA16UtoRGB16U
000000018a22beb0 (__TEXT,__text) non-external (was a private external) _sConvert_RGBA5551toRGB565
000000018a23e6ec (__TEXT,__text) non-external (was a private external) _sConvert_RGBFFFToARGB2101010
000000018a237150 (__TEXT,__text) non-external (was a private external) _sConvert_RGBFFFtoRGB888_dithered
000000018a386e44 (__TEXT,__text) non-external (was a private external) _sConvert_XRGB2101010WTo420Yp10_CbCr10
000000018a388b94 (__TEXT,__text) non-external (was a private external) _sConvert_XRGB2101010WTo422CbYpCrYp10
000000018a385348 (__TEXT,__text) non-external (was a private external) _sConvert_XRGB2101010WTo422Yp10_CbCr10
000000018a3844bc (__TEXT,__text) non-external (was a private external) _sConvert_XRGB2101010WTo444Yp10_CbCr10
000000018a388044 (__TEXT,__text) non-external (was a private external) _sConvert_XRGB2101010WTo444YpCbCr10
000000018a335684 (__TEXT,__text) non-external (was a private external) _sConvolve16F
000000018a1f1648 (__TEXT,__text) non-external (was a private external) _sConvolve16U
000000018a2628ec (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Box_ARGB8888
000000018a2626f0 (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Box_Planar8
000000018a263a3c (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Box_PlanarF
000000018a25e9bc (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Float
000000018a25d098 (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Integer
000000018a263454 (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Tent_ARGB8888
000000018a2631f0 (__TEXT,__text) non-external (was a private external) _sConvolveEdges_Tent_Planar8
000000018a25a5ac (__TEXT,__text) non-external (was a private external) _sConvolve_ARGB8888
000000018a25b5d4 (__TEXT,__text) non-external (was a private external) _sConvolve_ARGB8888_MultiKernel
000000018a25b0c8 (__TEXT,__text) non-external (was a private external) _sConvolve_ARGBFFFF
000000018a25c0a4 (__TEXT,__text) non-external (was a private external) _sConvolve_ARGBFFFF_MultiKernel
000000018a259c08 (__TEXT,__text) non-external (was a private external) _sConvolve_Planar8
000000018a25a130 (__TEXT,__text) non-external (was a private external) _sConvolve_PlanarF
000000018a38fb98 (__TEXT,__text) non-external (was a private external) _sExtract_444YpCbCrA10To420Yp10P32_CbCr10P32
000000018a38f7ac (__TEXT,__text) non-external (was a private external) _sExtract_444YpCbCrA10To420Yp10_CbCr10
000000018a38f3d0 (__TEXT,__text) non-external (was a private external) _sExtract_444YpCbCrA8To420Yp8_CbCr8
000000018a22cfe4 (__TEXT,__text) non-external (was a private external) _sFillBy16
000000018a22e624 (__TEXT,__text) non-external (was a private external) _sFlattenARGB8888ToRGB888
000000018a22ecc4 (__TEXT,__text) non-external (was a private external) _sFlattenARGBFFFFToRGBFFF
000000018a22ea98 (__TEXT,__text) non-external (was a private external) _sFlattenBGRA8888ToRGB888
000000018a22f5b0 (__TEXT,__text) non-external (was a private external) _sFlattenBGRAFFFFToRGBFFF
000000018a22e858 (__TEXT,__text) non-external (was a private external) _sFlattenRGBA8888ToRGB888
000000018a22f220 (__TEXT,__text) non-external (was a private external) _sFlattenRGBAFFFFToRGBFFF
000000018a234ca4 (__TEXT,__text) non-external (was a private external) _sFlatten_ARGB16Q12
000000018a2348bc (__TEXT,__text) non-external (was a private external) _sFlatten_ARGB16U
000000018a233cc0 (__TEXT,__text) non-external (was a private external) _sFlatten_ARGB8888
000000018a235eb4 (__TEXT,__text) non-external (was a private external) _sFlatten_ARGBFFFF
000000018a2355b0 (__TEXT,__text) non-external (was a private external) _sFlatten_RGBA16Q12
000000018a234ab0 (__TEXT,__text) non-external (was a private external) _sFlatten_RGBA16U
000000018a1cd3a0 (__TEXT,__text) non-external (was a private external) _sFlatten_RGBA8888
000000018a2362ac (__TEXT,__text) non-external (was a private external) _sFlatten_RGBAFFFF
000000018a263ce4 (__TEXT,__text) non-external (was a private external) _sFloatConvolveARGB8888
000000018a236bb4 (__TEXT,__text) non-external (was a private external) _sFloatPixelTo32BitPixel
000000018a2c8770 (__TEXT,__text) non-external (was a private external) _sFloodFillConn4_ARGB16U
000000018a2c8048 (__TEXT,__text) non-external (was a private external) _sFloodFillConn4_ARGB8888
000000018a2c7928 (__TEXT,__text) non-external (was a private external) _sFloodFillConn4_Planar16U
000000018a2c720c (__TEXT,__text) non-external (was a private external) _sFloodFillConn4_Planar8
000000018a2c8b14 (__TEXT,__text) non-external (was a private external) _sFloodFillConn8_ARGB16U
000000018a2c83ec (__TEXT,__text) non-external (was a private external) _sFloodFillConn8_ARGB8888
000000018a2c7cc8 (__TEXT,__text) non-external (was a private external) _sFloodFillConn8_Planar16U
000000018a2c75ac (__TEXT,__text) non-external (was a private external) _sFloodFillConn8_Planar8
000000018a31f0fc (__TEXT,__text) non-external (was a private external) _sFullPrecisionGammaInt_PlanarF
000000018a31edcc (__TEXT,__text) non-external (was a private external) _sFullPrecisionGamma_PlanarF
000000018a31f3f4 (__TEXT,__text) non-external (was a private external) _sGamma_PlanarFtoPlanar8
000000018a2dc96c (__TEXT,__text) non-external (was a private external) _sHorizontalShear_ARGB16F
000000018a2dab8c (__TEXT,__text) non-external (was a private external) _sHorizontalShear_CbCr16F
000000018a2db5c0 (__TEXT,__text) non-external (was a private external) _sHorizontalShear_CbCr16F_fp16
000000018a2dc010 (__TEXT,__text) non-external (was a private external) _sHorizontalShear_CbCrF
000000018a2d8c6c (__TEXT,__text) non-external (was a private external) _sHorizontalShear_Planar16F
000000018a2d9bd8 (__TEXT,__text) non-external (was a private external) _sHorizontalShear_Planar16F_fp16
000000018a368a4c (__TEXT,__text) non-external (was a private external) _sHorizontal_Shear_CbCr16S
000000018a2eaba8 (__TEXT,__text) non-external (was a private external) _sLinearTransform_16Q12to8
000000018a2e6e68 (__TEXT,__text) non-external (was a private external) _sLinearTransform_16Uto8
000000018a2e9f40 (__TEXT,__text) non-external (was a private external) _sLinearTransform_16UtoF
000000018a2e463c (__TEXT,__text) non-external (was a private external) _sLinearTransform_8to16Q12
000000018a2e87a8 (__TEXT,__text) non-external (was a private external) _sLinearTransform_8to16U
000000018a2e5c0c (__TEXT,__text) non-external (was a private external) _sLinearTransform_8toF
000000018a2ee450 (__TEXT,__text) non-external (was a private external) _sLinearTransform_Fto16U
000000018a2ec4e8 (__TEXT,__text) non-external (was a private external) _sLinearTransform_Fto8
000000018a322b10 (__TEXT,__text) non-external (was a private external) _sLookupTable_Planar8toPlanar128
000000018a322998 (__TEXT,__text) non-external (was a private external) _sLookupTable_Planar8toPlanar24
000000018a322a1c (__TEXT,__text) non-external (was a private external) _sLookupTable_Planar8toPlanar48
000000018a322aa0 (__TEXT,__text) non-external (was a private external) _sLookupTable_Planar8toPlanar96
000000018a1b66cc (__TEXT,__text) non-external (was a private external) _sMultidimensionalTable_Create
000000018a372d1c (__TEXT,__text) non-external (was a private external) _sPerspectiveWarp_Planar16F
000000018a372750 (__TEXT,__text) non-external (was a private external) _sPerspectiveWarp_Planar16U
000000018a372b2c (__TEXT,__text) non-external _sPerspectiveWarp_Planar16U_Nearest
000000018a372204 (__TEXT,__text) non-external (was a private external) _sPerspectiveWarp_Planar8
000000018a32078c (__TEXT,__text) non-external (was a private external) _sPiecewiseGamma_Planar16Q12
000000018a32065c (__TEXT,__text) non-external (was a private external) _sPiecewiseGamma_Planar16to8
000000018a321a8c (__TEXT,__text) non-external (was a private external) _sPiecewisePolynomial_Planar8toPlanarF
000000018a320a08 (__TEXT,__text) non-external (was a private external) _sPiecewisePolynomial_PlanarF
000000018a321c74 (__TEXT,__text) non-external (was a private external) _sPiecewisePolynomial_PlanarFtoPlanar8
000000018a322f04 (__TEXT,__text) non-external (was a private external) _sPiecewiseRational_PlanarF
000000018a2051ec (__TEXT,__text) non-external (was a private external) _sPremultiplyData_RGBA16F
000000018a22ab24 (__TEXT,__text) non-external (was a private external) _sRGB565toARGB8888
000000018a22a208 (__TEXT,__text) non-external (was a private external) _sRGBA5551toRGBA8888
000000018a335384 (__TEXT,__text) non-external _sRemap_Image8U_NN_ind
000000018a333d5c (__TEXT,__text) non-external _sRemap_Image8U_fp16
000000018a2fb11c (__TEXT,__text) non-external (was a private external) _sRotate_90_ARGB_16U
000000018a2f8754 (__TEXT,__text) non-external (was a private external) _sRotate_90_Planar_UInt16
000000018a2f7800 (__TEXT,__text) non-external (was a private external) _sRotate_90_Planar_UInt8
000000018a370fc0 (__TEXT,__text) non-external (was a private external) _sScale_Downsample2x
000000018a3713c8 (__TEXT,__text) non-external (was a private external) _sScale_Downsample2xCbCr
000000018a22f940 (__TEXT,__text) non-external (was a private external) _sSelectChannels_ARGB8888
000000018a22fc88 (__TEXT,__text) non-external (was a private external) _sSelectChannels_ARGBFFFF
000000018a1ef860 (__TEXT,__text) non-external (was a private external) _sSepConvolve16F
000000018a1f08bc (__TEXT,__text) non-external (was a private external) _sSepConvolve8
000000018a1f39fc (__TEXT,__text) non-external (was a private external) _sSepConvolve8to16S
000000018a1f27d4 (__TEXT,__text) non-external (was a private external) _sSepConvolve8to16U
000000018a1f5e3c (__TEXT,__text) non-external (was a private external) _sSepConvolveARGB8
000000018a1ee918 (__TEXT,__text) non-external (was a private external) _sSepConvolveF
000000018a3208b0 (__TEXT,__text) non-external (was a private external) _sSymmetricPiecewiseGamma_Planar16Q12
000000018a321358 (__TEXT,__text) non-external (was a private external) _sSymmetricPiecewisePolynomial_PlanarF
