00007ffa056b097a (__TEXT,__text) non-external +[NFPromise new]
00007ffa4056eb48 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00007ffa4056e8c0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa4056ea30 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_v8?0l
00007ffa4056eaf0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00007ffa4056e9d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00007ffa4056ea90 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00007ffa4056e700 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa4056e530 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00007ffa4056e560 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00007ffa4056ea60 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00007ffa4056e6d0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32bs40s48bs56bs_e8_v16?08l
00007ffa4056e6a0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00007ffa4056e458 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa4056e4f0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa4056e600 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa4056eb28 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa4056eb98 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffa4056e5b0 (__DATA_CONST,__const) non-external ___block_literal_global.109
00007ffa4056eb78 (__DATA_CONST,__const) non-external ___block_literal_global.16
00007ffa4056e478 (__DATA_CONST,__const) non-external ___block_literal_global.2
00007ffa4056e620 (__DATA_CONST,__const) non-external ___block_literal_global.3
00007ffa4056e750 (__DATA_CONST,__const) non-external ___block_literal_global.51
00007ffa4056ebb8 (__DATA_CONST,__const) non-external ___block_literal_global.7
00007ffa4056e510 (__DATA_CONST,__const) non-external ___block_literal_global.87
00007ffa056b4b00 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin
00007ffa056b4b20 (__TEXT,__text) non-external (was a private external) ___chkstk_darwin_llvm_probe
00007ffa056b179b (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00007ffa056b174b (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s
00007ffa056b0fc3 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48b56b
00007ffa056ad664 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00007ffa056b2a98 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00007ffa056b2926 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00007ffa056b1ed4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00007ffa056b1017 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00007ffa056b0f3a (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00007ffa056afd65 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00007ffa056b3279 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00007ffa056ad673 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00007ffa056b1776 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00007ffa056afd91 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00007ffa056b0f90 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00007ffa056b328b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ffa056b0566 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00007ffa056b04e5 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00007ffa056b49c9 (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
00007ffa41fc5550 (__DATA,__data) external _kNFPromiseSealingErrorCode
00007ffa41fc5558 (__DATA,__data) external _kNFPromiseSealingErrorName
00007ffa4056eb20 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _nw_path_get_status (from libnetwork)
                 (undefined) external _nw_path_is_constrained (from libnetwork)
                 (undefined) external _nw_path_is_equal (from libnetwork)
                 (undefined) external _nw_path_is_expensive (from libnetwork)
                 (undefined) external _nw_path_monitor_cancel (from libnetwork)
                 (undefined) external _nw_path_monitor_create (from libnetwork)
                 (undefined) external _nw_path_monitor_set_queue (from libnetwork)
                 (undefined) external _nw_path_monitor_set_update_handler (from libnetwork)
                 (undefined) external _nw_path_monitor_start (from libnetwork)
                 (undefined) external _nw_path_uses_interface_type (from libnetwork)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
00007ffa41a6a488 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00007ffa41a6a480 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00007ffa056b04b5 (__TEXT,__text) external _zalgo
00007ffa41a6a468 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00007ffa41a6a460 (__DATA_DIRTY,__bss) non-external _zalgo.token
00007ffa056b0536 (__TEXT,__text) external _zalgoIfMain
00007ffa41a6a478 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00007ffa41a6a470 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
