0000000182cbb2a8 (__DATA,__data) non-external _C
0000000180b33f50 (__TEXT,__text) non-external _flush_meta
0000000180b6c2ac (__TEXT,__text) external _fmemopen
0000000180b6c618 (__TEXT,__text) non-external _fmemopen_close
0000000180b6c4a8 (__TEXT,__text) non-external _fmemopen_read
0000000180b6c590 (__TEXT,__text) non-external _fmemopen_seek
0000000180b6c504 (__TEXT,__text) non-external _fmemopen_write
0000000180c99640 (__DATA_CONST,__const) non-external _fmt_padding
0000000180b3d0fc (__TEXT,__text) external _fmtcheck
0000000180b3d614 (__TEXT,__text) external _fmtmsg
0000000180b3dba4 (__TEXT,__text) external _fnmatch
0000000180b51504 (__TEXT,__text) external _fopen
0000000180b885f8 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180b2e49c (__TEXT,__text) external _fork
0000000180b516c0 (__TEXT,__text) external _fprintf
0000000180b51710 (__TEXT,__text) external _fprintf_l
0000000182cbc038 (__DATA,__data) non-external _fptr
0000000180b5173c (__TEXT,__text) external _fpurge
0000000180b517cc (__TEXT,__text) external _fputc
0000000180b51858 (__TEXT,__text) external _fputs
0000000180b51a94 (__TEXT,__text) external _fputwc
0000000180b51b14 (__TEXT,__text) external _fputwc_l
0000000180b51cf8 (__TEXT,__text) external _fputws
0000000180b51ba4 (__TEXT,__text) external _fputws_l
0000000180b51ec8 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180b2cb14 (__TEXT,__text) external _free_printf_comp
0000000180b2cf38 (__TEXT,__text) external _free_printf_domain
0000000180b2b76c (__TEXT,__text) external _freelocale
0000000180b52218 (__TEXT,__text) external _freopen
0000000180b52648 (__TEXT,__text) external _fscanf
0000000180b5271c (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180b52804 (__TEXT,__text) external _fseek
0000000180b52c0c (__TEXT,__text) external _fseeko
0000000180b52c98 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180b242d4 (__TEXT,__text) external _fstatvfs
0000000182cbac48 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180b2ec54 (__TEXT,__text) external _fsync_volume_np
0000000180b52ca4 (__TEXT,__text) external _ftell
0000000180b52ca8 (__TEXT,__text) external _ftello
0000000180b63c24 (__TEXT,__text) external _ftime
0000000180b3e84c (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180b4fd84 (__TEXT,__text) external _ftrylockfile
0000000180b26d04 (__TEXT,__text) non-external _fts_alloc
0000000180b25ebc (__TEXT,__text) non-external _fts_build
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.1
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.2
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.3
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.4
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.5
0000000180b89938 (__TEXT,__text) non-external _fts_build.cold.6
0000000180b26b0c (__TEXT,__text) external _fts_children
0000000180b25724 (__TEXT,__text) external _fts_close
0000000180b2589c (__TEXT,__text) non-external _fts_fchdir
0000000180b25848 (__TEXT,__text) non-external _fts_free
0000000180b26a2c (__TEXT,__text) non-external _fts_load
0000000180b25350 (__TEXT,__text) external _fts_open
0000000180b2566c (__TEXT,__text) external _fts_open_b
0000000180b26c7c (__TEXT,__text) non-external _fts_palloc
0000000180b258b4 (__TEXT,__text) external _fts_read
0000000180b25d10 (__TEXT,__text) non-external _fts_safe_changedir
0000000180b26ad0 (__TEXT,__text) external _fts_set
0000000180b26dac (__TEXT,__text) non-external _fts_sort
0000000180b26f20 (__TEXT,__text) non-external _fts_stat2
0000000180b28468 (__TEXT,__text) external _ftw
0000000180b4fdcc (__TEXT,__text) external _funlockfile
0000000180b52e90 (__TEXT,__text) external _funopen
0000000180b53350 (__TEXT,__text) external _fwide
0000000180b533b8 (__TEXT,__text) external _fwprintf
0000000180b53408 (__TEXT,__text) external _fwprintf_l
0000000180b53434 (__TEXT,__text) external _fwrite
0000000180b535d4 (__TEXT,__text) external _fwscanf
0000000180b53624 (__TEXT,__text) external _fwscanf_l
0000000180b2c9b8 (__TEXT,__text) external _fxprintf
0000000180b2d3d0 (__TEXT,__text) external _fxprintf_exec
0000000182cbaa98 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180b75f10 (__TEXT,__text) external _gcvt
0000000180b3b358 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182cbcfe8 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182cbb880 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180b23194 (__TEXT,__text) non-external _generalSlowpath
0000000180b896d0 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180b8985c (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180b89888 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180b898b4 (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180b898e0 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180b896fc (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180b89728 (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180b89754 (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180b89780 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180b897ac (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180b897d8 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180b89804 (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180b89830 (__TEXT,__text) non-external _generalSlowpath.cold.9
0000000182cbcf64 (__DATA,__bss) non-external _get_clock.adjustment
0000000182cbcf78 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182cbcf68 (__DATA,__bss) non-external _get_clock.last
0000000180b3d17c (__TEXT,__text) non-external _get_next_format
0000000180b3d310 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180b3d2b0 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180b3e8b4 (__TEXT,__text) external _getbsize
0000000182cbd038 (__DATA,__bss) non-external _getbsize.header
0000000180b53650 (__TEXT,__text) external _getc
0000000180b536b4 (__TEXT,__text) external _getc_unlocked
0000000180b536e0 (__TEXT,__text) external _getchar
0000000180b5374c (__TEXT,__text) external _getchar_unlocked
0000000180b401fc (__TEXT,__text) external _getcwd
0000000180b2c434 (__TEXT,__text) external _getdate
0000000182cbcf18 (__DATA,__bss) non-external _getdate.tm
0000000182cc7cb8 (__DATA,__common) external _getdate_err
0000000180b53784 (__TEXT,__text) external _getdelim
0000000180b24c34 (__TEXT,__text) external _getdiskbyname
0000000182cbce20 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180b3ebc4 (__TEXT,__text) non-external _getent
0000000180b6dbf4 (__TEXT,__text) external _getenv
0000000180b6dc54 (__TEXT,__text) external _getenv_copy_np
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180b2ef64 (__TEXT,__text) external _gethostid
0000000180b40204 (__TEXT,__text) external _gethostname
0000000180b53a4c (__TEXT,__text) external _getline
0000000180b27480 (__TEXT,__text) external _getloadavg
0000000180b40314 (__TEXT,__text) external _getmntinfo
0000000182cbd080 (__DATA,__bss) non-external _getmntinfo.vars
0000000180b4034c (__TEXT,__text) non-external _getmntinfo_internal
0000000180b40428 (__TEXT,__text) external _getmntinfo_r_np
0000000180b41c48 (__TEXT,__text) external _getmode
0000000180b661c8 (__TEXT,__text) non-external _getoffset
0000000180b6dd74 (__TEXT,__text) external _getopt
0000000182cbbfe0 (__DATA,__data) non-external _getopt.place
0000000180b6dffc (__TEXT,__text) non-external _getopt_internal
0000000180b8ad10 (__TEXT,__text) non-external _getopt_internal.cold.1
0000000182cbbfe8 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180b6dff4 (__TEXT,__text) external _getopt_long
0000000180b6e664 (__TEXT,__text) external _getopt_long_only
0000000180b40490 (__TEXT,__text) external _getpagesize
0000000182cbd098 (__DATA,__bss) non-external _getpagesize.value
0000000180b40530 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180b405bc (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180b6621c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180b53a58 (__TEXT,__text) external _gets
0000000180b8cdf8 (__TEXT,__const) non-external _gets.w
0000000182cbeb08 (__DATA,__bss) non-external _gets.warned
0000000180b66650 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180b6eaf4 (__TEXT,__text) external _getsubopt
0000000180b2e5dc (__TEXT,__text) external _gettimeofday
0000000182cbcfdc (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182cbcfe0 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182cbcfd8 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180b276bc (__TEXT,__text) external _getttyent
0000000182cbce70 (__DATA,__bss) non-external _getttyent.line
0000000180c98f38 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182cbce30 (__DATA,__bss) non-external _getttyent.tty
0000000180b27550 (__TEXT,__text) external _getttynam
0000000180b252c0 (__TEXT,__text) non-external _gettype
0000000180b27e50 (__TEXT,__text) external _getusershell
0000000180b28110 (__TEXT,__text) external _getvfsbyname
0000000180b53b40 (__TEXT,__text) external _getw
0000000180b53b80 (__TEXT,__text) external _getwc
0000000180b53ba4 (__TEXT,__text) external _getwc_l
0000000180b53ba8 (__TEXT,__text) external _getwchar
0000000180b53bd8 (__TEXT,__text) external _getwchar_l
0000000180b2eff0 (__TEXT,__text) external _getwd
0000000180b66120 (__TEXT,__text) non-external _getzname
0000000180b8d04c (__TEXT,__const) non-external _gmt
0000000180b66780 (__TEXT,__text) non-external _gmt_init
0000000182cbbf78 (__DATA,__data) non-external _gmt_once
0000000180b65810 (__TEXT,__text) external _gmtime
0000000182cc3440 (__DATA,__bss) non-external _gmtime_key
0000000182cc343c (__DATA,__bss) non-external _gmtime_key_error
0000000180b658f4 (__TEXT,__text) non-external _gmtime_key_init
0000000182cbbf68 (__DATA,__data) non-external _gmtime_once
0000000180b659c0 (__TEXT,__text) external _gmtime_r
0000000180b64d00 (__TEXT,__text) non-external _gmtload
0000000182cc3480 (__DATA,__bss) non-external _gmtmem
0000000180b65938 (__TEXT,__text) non-external _gmtsub
0000000180b8d177 (__TEXT,__const) non-external _gnuoptchar
0000000182cbd060 (__DATA,__bss) non-external _gottoprec
0000000180b75ad0 (__TEXT,__text) external _grantpt
0000000180b5b840 (__TEXT,__text) non-external _grouping_init
0000000180b6092c (__TEXT,__text) non-external _grouping_init
0000000180b5ba34 (__TEXT,__text) non-external _grouping_print
0000000180b60b94 (__TEXT,__text) non-external _grouping_print
0000000182cc7ca0 (__DATA,__bss) non-external _handlers
0000000180b354f0 (__TEXT,__text) non-external _hash4
0000000180b340ec (__TEXT,__text) non-external _hash_access
0000000180b338e0 (__TEXT,__text) non-external _hash_close
0000000180b73f74 (__TEXT,__text) external _hash_create
0000000180b33924 (__TEXT,__text) non-external _hash_delete
0000000180b74008 (__TEXT,__text) external _hash_destroy
0000000180b339a8 (__TEXT,__text) non-external _hash_fd
0000000180b339f0 (__TEXT,__text) non-external _hash_get
0000000180b742a0 (__TEXT,__text) external _hash_purge
0000000180b33a58 (__TEXT,__text) non-external _hash_put
0000000180b740e4 (__TEXT,__text) external _hash_search
0000000180b33ae4 (__TEXT,__text) non-external _hash_seq
0000000180b74328 (__TEXT,__text) external _hash_stats
0000000180b33d28 (__TEXT,__text) non-external _hash_sync
0000000180b7421c (__TEXT,__text) external _hash_traverse
0000000180b6ec68 (__TEXT,__text) external _hcreate
0000000180b337c8 (__TEXT,__text) non-external _hdestroy
0000000180b6ed40 (__TEXT,__text) external _hdestroy
0000000180b6eea4 (__TEXT,__text) external _heapsort
0000000180b76254 (__TEXT,__text) external _heapsort_b
0000000180b8bda8 (__TEXT,__const) non-external _hexdigit
0000000180b8fb7e (__TEXT,__cstring) non-external _hexlist
0000000182cbced8 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180b6edc8 (__TEXT,__text) external _hsearch
0000000182cc7c38 (__DATA,__bss) non-external _htable
0000000182cc7c40 (__DATA,__bss) non-external _htablesize
0000000180b8d162 (__TEXT,__const) non-external _illoptchar
0000000180b8d218 (__TEXT,__const) non-external _illoptstring
0000000180b6f13c (__TEXT,__text) external _imaxabs
0000000180b6f148 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180b23898 (__TEXT,__text) non-external _infinity
0000000180b23b54 (__TEXT,__text) non-external _initMPFromDigits
0000000180b8bea8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180b27e94 (__TEXT,__text) non-external _initshells
0000000180b72ba0 (__TEXT,__text) external _initstate
0000000180b6facc (__TEXT,__text) non-external _insertionsort
0000000180b77b40 (__TEXT,__text) non-external _insertionsort
0000000180b6f174 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180b292dc (__TEXT,__text) external _isalnum
0000000180b29b7c (__TEXT,__text) external _isalnum_l
0000000180b29354 (__TEXT,__text) external _isalpha
0000000180b29bf8 (__TEXT,__text) external _isalpha_l
0000000180b292d0 (__TEXT,__text) external _isascii
0000000180b405d8 (__TEXT,__text) external _isatty
0000000180b293c4 (__TEXT,__text) external _isblank
0000000180b29c6c (__TEXT,__text) external _isblank_l
0000000180b29434 (__TEXT,__text) external _iscntrl
0000000180b29ce0 (__TEXT,__text) external _iscntrl_l
0000000180b294a4 (__TEXT,__text) external _isdigit
0000000180b29d54 (__TEXT,__text) external _isdigit_l
0000000180b294cc (__TEXT,__text) external _isgraph
0000000180b29dc8 (__TEXT,__text) external _isgraph_l
0000000180b29878 (__TEXT,__text) external _ishexnumber
0000000180b29e3c (__TEXT,__text) external _ishexnumber_l
0000000180b298e8 (__TEXT,__text) external _isideogram
0000000180b29eb0 (__TEXT,__text) external _isideogram_l
0000000180b2953c (__TEXT,__text) external _islower
0000000180b29f24 (__TEXT,__text) external _islower_l
0000000180b29958 (__TEXT,__text) external _isnumber
0000000180b29f98 (__TEXT,__text) external _isnumber_l
0000000180b299c8 (__TEXT,__text) external _isphonogram
0000000180b2a00c (__TEXT,__text) external _isphonogram_l
0000000180b295ac (__TEXT,__text) external _isprint
0000000180b2a080 (__TEXT,__text) external _isprint_l
0000000180b2961c (__TEXT,__text) external _ispunct
0000000180b2a0f4 (__TEXT,__text) external _ispunct_l
0000000180b29a38 (__TEXT,__text) external _isrune
0000000180b2a168 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180b2968c (__TEXT,__text) external _isspace
0000000180b2a1f4 (__TEXT,__text) external _isspace_l
0000000180b29aac (__TEXT,__text) external _isspecial
0000000180b2a268 (__TEXT,__text) external _isspecial_l
0000000180b44674 (__TEXT,__text) non-external _istrsenvisx
0000000180b8a56c (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180b8a598 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180b8a5c4 (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180b8a5f0 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180b44d18 (__TEXT,__text) non-external _istrsenvisxl
0000000180b296fc (__TEXT,__text) external _isupper
0000000180b2a2dc (__TEXT,__text) external _isupper_l
0000000180b2a414 (__TEXT,__text) external _iswalnum
0000000180b2a958 (__TEXT,__text) external _iswalnum_l
0000000180b2a48c (__TEXT,__text) external _iswalpha
0000000180b2a9d4 (__TEXT,__text) external _iswalpha_l
0000000180b2afa4 (__TEXT,__text) external _iswascii
0000000180b2af34 (__TEXT,__text) external _iswblank
0000000180b2b254 (__TEXT,__text) external _iswblank_l
0000000180b2a4fc (__TEXT,__text) external _iswcntrl
0000000180b2aa48 (__TEXT,__text) external _iswcntrl_l
0000000180b2a56c (__TEXT,__text) external _iswctype
0000000180b2aabc (__TEXT,__text) external _iswctype_l
0000000180b2a5e8 (__TEXT,__text) external _iswdigit
0000000180b2ab54 (__TEXT,__text) external _iswdigit_l
0000000180b2a610 (__TEXT,__text) external _iswgraph
0000000180b2abc8 (__TEXT,__text) external _iswgraph_l
0000000180b2afb0 (__TEXT,__text) external _iswhexnumber
0000000180b2b2c8 (__TEXT,__text) external _iswhexnumber_l
0000000180b2b020 (__TEXT,__text) external _iswideogram
0000000180b2b33c (__TEXT,__text) external _iswideogram_l
0000000180b2a680 (__TEXT,__text) external _iswlower
0000000180b2ac3c (__TEXT,__text) external _iswlower_l
0000000180b2b090 (__TEXT,__text) external _iswnumber
0000000180b2b3b0 (__TEXT,__text) external _iswnumber_l
0000000180b2b100 (__TEXT,__text) external _iswphonogram
0000000180b2b424 (__TEXT,__text) external _iswphonogram_l
0000000180b2a6f0 (__TEXT,__text) external _iswprint
0000000180b2acb0 (__TEXT,__text) external _iswprint_l
0000000180b2a760 (__TEXT,__text) external _iswpunct
0000000180b2ad24 (__TEXT,__text) external _iswpunct_l
0000000180b2b170 (__TEXT,__text) external _iswrune
0000000180b2b498 (__TEXT,__text) external _iswrune_l
0000000180b2a7d0 (__TEXT,__text) external _iswspace
0000000180b2ad98 (__TEXT,__text) external _iswspace_l
0000000180b2b1e4 (__TEXT,__text) external _iswspecial
0000000180b2b524 (__TEXT,__text) external _iswspecial_l
0000000180b2a840 (__TEXT,__text) external _iswupper
0000000180b2ae0c (__TEXT,__text) external _iswupper_l
0000000180b2a8b0 (__TEXT,__text) external _iswxdigit
0000000180b2ae80 (__TEXT,__text) external _iswxdigit_l
0000000180b2976c (__TEXT,__text) external _isxdigit
0000000180b2a350 (__TEXT,__text) external _isxdigit_l
0000000180b4069c (__TEXT,__text) external _jrand48
0000000180c99190 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180b2f038 (__TEXT,__text) external _killpg
0000000180b75ca0 (__TEXT,__text) external _l64a
0000000182cc7c90 (__DATA,__bss) non-external _l64a.buf
0000000180b6f198 (__TEXT,__text) external _labs
0000000180b46e4c (__TEXT,__text) non-external _largesearch
0000000182cc7be8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000182cbbe28 (__DATA,__data) non-external _lastglue
0000000180b24138 (__TEXT,__text) external _lchflags
0000000180b24180 (__TEXT,__text) external _lchmod
0000000182cbebc4 (__DATA,__bss) non-external _lcl_TZname
0000000182cbebc0 (__DATA,__bss) non-external _lcl_is_set
0000000182cbbe80 (__DATA,__data) non-external (was a private external) _lcl_rwlock
0000000182cbecc8 (__DATA,__bss) non-external _lclmem
0000000180b406e0 (__TEXT,__text) external _lcong48
0000000180b6f1a4 (__TEXT,__text) external _ldiv
0000000180b6f2a0 (__TEXT,__text) external _lfind
0000000180b56fac (__TEXT,__text) non-external _lflush
0000000182cc7cc8 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180b2ecc4 (__TEXT,__text) external _libc_set_introspection_hooks
0000000180b8998c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180b899b8 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180b899e4 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180b89a10 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180b4efbc (__TEXT,__text) external _link_addr
0000000180b4f15c (__TEXT,__text) external _link_ntoa
0000000182cbd2d4 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180b6f1d0 (__TEXT,__text) external _llabs
0000000180b6f1dc (__TEXT,__text) external _lldiv
0000000180b4f688 (__TEXT,__text) non-external _loadCat
0000000180b4b924 (__TEXT,__text) non-external _loadlocale
0000000180b49e5c (__TEXT,__text) external _localeconv
0000000180b49d08 (__TEXT,__text) external _localeconv_l
0000000180b8a724 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180b8a740 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180b65674 (__TEXT,__text) external _localtime
0000000182cc3438 (__DATA,__bss) non-external _localtime_key
0000000182cc3430 (__DATA,__bss) non-external _localtime_key_error
0000000180b65768 (__TEXT,__text) non-external _localtime_key_init
0000000182cbbf58 (__DATA,__data) non-external _localtime_once
0000000180b657ac (__TEXT,__text) external _localtime_r
0000000180b87960 (__TEXT,__text) external _lockf
0000000180b40724 (__TEXT,__text) external _lockf$NOCANCEL
0000000180b2d534 (__TEXT,__text) external _login_tty
0000000180b46ea0 (__TEXT,__text) non-external _lookup_substsearch
0000000180b8a61c (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180b40804 (__TEXT,__text) external _lrand48
0000000180b6f208 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180b241cc (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180c98f90 (__DATA_CONST,__const) non-external _mapping
0000000180b49f04 (__TEXT,__text) external _mblen
0000000180b49e80 (__TEXT,__text) external _mblen_l
0000000180b49fd8 (__TEXT,__text) external _mbrlen
0000000180b49f88 (__TEXT,__text) external _mbrlen_l
0000000180b4a06c (__TEXT,__text) external _mbrtowc
0000000180b4a02c (__TEXT,__text) external _mbrtowc_l
0000000180b4a0e4 (__TEXT,__text) external _mbsinit
0000000180b4a0b0 (__TEXT,__text) external _mbsinit_l
0000000180b4a15c (__TEXT,__text) external _mbsnrtowcs
0000000180b4a11c (__TEXT,__text) external _mbsnrtowcs_l
0000000180b4a324 (__TEXT,__text) external _mbsrtowcs
0000000180b4a2d8 (__TEXT,__text) external _mbsrtowcs_l
0000000180b4a41c (__TEXT,__text) external _mbstowcs
0000000180b4a374 (__TEXT,__text) external _mbstowcs_l
0000000180b4a53c (__TEXT,__text) external _mbtowc
0000000180b4a4c4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180b69a4c (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180b7c8e8 (__TEXT,__text) external _memset_s
0000000180b4efa0 (__TEXT,__text) non-external _memstream_close
0000000180b4ef0c (__TEXT,__text) non-external _memstream_seek
0000000180b8a788 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180b8a7b4 (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180b4edc4 (__TEXT,__text) non-external _memstream_update
0000000180b8a75c (__TEXT,__text) non-external _memstream_update.cold.1
0000000180b4edf8 (__TEXT,__text) non-external _memstream_write
0000000180b6f318 (__TEXT,__text) external _mergesort
0000000180b772c8 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180b54614 (__TEXT,__text) external _mkdtemp
0000000180b546a0 (__TEXT,__text) external _mkdtempat_np
0000000180b54530 (__TEXT,__text) external _mkostemp
0000000180b54078 (__TEXT,__text) external _mkostemps
0000000180b5440c (__TEXT,__text) external _mkostempsat_np
0000000180b2d9f4 (__TEXT,__text) external _mkpath_np
0000000180b2da08 (__TEXT,__text) external _mkpathat_np
0000000180b545b8 (__TEXT,__text) external _mkstemp
0000000180b54800 (__TEXT,__text) external _mkstemp_dprotected_np
0000000180b54484 (__TEXT,__text) external _mkstemps
0000000180b544e0 (__TEXT,__text) external _mkstempsat_np
0000000180b547a8 (__TEXT,__text) external _mktemp
0000000180b65dac (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180b8d058 (__TEXT,__const) non-external _mon_lengths
0000000180b292b8 (__TEXT,__text) external _monaddition
0000000180b292c8 (__TEXT,__text) external _moncontrol
0000000180b292cc (__TEXT,__text) external _moncount
0000000180b292b0 (__TEXT,__text) external _moninit
0000000180b292c4 (__TEXT,__text) external _monitor
0000000180b292c0 (__TEXT,__text) external _monoutput
0000000180b292bc (__TEXT,__text) external _monreset
0000000180b292b4 (__TEXT,__text) external _monstartup
0000000180b511d0 (__TEXT,__text) non-external _moreglue
0000000180b36f8c (__TEXT,__text) non-external _mpool_bkt
0000000180b37248 (__TEXT,__text) external _mpool_close
0000000180b36edc (__TEXT,__text) external _mpool_filter
0000000180b37084 (__TEXT,__text) external _mpool_get
0000000180b36eec (__TEXT,__text) external _mpool_new
0000000180b89e68 (__TEXT,__text) non-external _mpool_new.cold.1
0000000180b36de0 (__TEXT,__text) external _mpool_open
0000000180b3722c (__TEXT,__text) external _mpool_put
0000000180b372a4 (__TEXT,__text) external _mpool_sync
0000000180b3731c (__TEXT,__text) non-external _mpool_write
0000000180b40838 (__TEXT,__text) external _mrand48
0000000180b2f434 (__TEXT,__text) non-external _mswap
0000000180b23d00 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180b87bf0 (__TEXT,__text) external _nanosleep
0000000180b282ac (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182cbd100 (__DATA,__bss) non-external _new_categories
0000000180b2cb98 (__TEXT,__text) external _new_printf_comp
0000000180b2cf78 (__TEXT,__text) external _new_printf_domain
0000000180b2b80c (__TEXT,__text) external _newlocale
0000000182cbc018 (__DATA,__data) non-external _next
0000000180b3db2c (__TEXT,__text) non-external _nextcomp
0000000182cbd010 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182cbd030 (__DATA,__bss) non-external _nextcomp.state
0000000180b4a99c (__TEXT,__text) external _nextwctype
0000000180b4a824 (__TEXT,__text) external _nextwctype_l
0000000180b288f4 (__TEXT,__text) external _nftw
0000000180b4086c (__TEXT,__text) external _nice
0000000180b4adf0 (__TEXT,__text) external _nl_langinfo
0000000180b4a9c0 (__TEXT,__text) external _nl_langinfo_l
0000000182cbd0f8 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180b8d1cb (__TEXT,__const) non-external _noarg
0000000180b8cda8 (__TEXT,__const) non-external _nogrouping
0000000182cbbfec (__DATA,__data) non-external _nonopt_end
0000000182cbbff0 (__DATA,__data) non-external _nonopt_start
0000000180b4092c (__TEXT,__text) external _nrand48
0000000180b30aa8 (__TEXT,__text) non-external _nroot
