00007ff81f2581b7 (__TEXT,__text) non-external +[Calculate _lock]
00007ff8430aa648 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsCurrency
00007ff8430aa630 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsFrom
00007ff8430aa638 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsTo
00007ff8430aa640 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._containsUnit
00007ff8430aa650 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._ranks
00007ff8430aa660 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._units
00007ff8430aa658 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitRanks._unitsInfo
00007ff8430aa748 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._baseUnit
00007ff8430aa758 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decomposition
00007ff8430aa750 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._decompositionCoefficient
00007ff8430aa720 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00007ff8430aa710 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00007ff8430aa718 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00007ff8430aa728 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00007ff8430aa738 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00007ff8430aa730 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00007ff8430aa740 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00007ff8430aa798 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00007ff8430aa7a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00007ff8430aa7a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00007ff8430aa760 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00007ff8430aa780 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00007ff8430aa778 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00007ff8430aa770 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00007ff8430aa768 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00007ff8430aa788 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00007ff8430aa790 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00007ff8430aadd8 (__DATA,__objc_data) external _OBJC_METACLASS_$_Calculate
00007ff8430aadb0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00007ff8430aad60 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00007ff8430aad38 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00007ff8430aae28 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00007ff8430aaf18 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00007ff8430aacc0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00007ff8430aaa68 (__DATA,__objc_data) external _OBJC_METACLASS_$_Converter
00007ff8430aaa90 (__DATA,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00007ff8430aaab8 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ff8430aac48 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Trie
00007ff8430aac20 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00007ff8430aab58 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00007ff8430aaae0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00007ff8430aab08 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00007ff8430aab80 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00007ff8430aabd0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
00007ff81f243dc6 (__TEXT,__text) non-external _UnitCountAngleUnitID
00007ff81f24451a (__TEXT,__text) non-external _UnitCountCompose
00007ff81f243a5d (__TEXT,__text) non-external _UnitCountConvert
00007ff81f243115 (__TEXT,__text) non-external _UnitCountConvertID
00007ff81f243fbe (__TEXT,__text) non-external _UnitCountDecompose
00007ff81f24305e (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
00007ff81f243cb6 (__TEXT,__text) non-external _UnitCountMultiply
00007ff81f243e62 (__TEXT,__text) non-external _UnitCountRequireDegrees
00007ff81f243f10 (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff841c7fa48 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
00007ff81f2a1e68 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
00007ff81f2a1eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
00007ff81f2a1ee8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
00007ff81f2a1f20 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
00007ff81f2a1f38 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
00007ff81f2a1f50 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
00007ff81f2a1f70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
00007ff81f2a1f88 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
00007ff81f2a1fd8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
00007ff81f2a1ff0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
00007ff81f2a2058 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
00007ff81f2a2070 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
00007ff81f2a2090 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
00007ff81f2a2140 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
00007ff81f2a23e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
00007ff81f2a2518 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
00007ff81f2a2578 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
00007ff81f2a26d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
00007ff81f2a2798 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
00007ff81f2a2980 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
00007ff81f2a2ae8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
00007ff81f2a2b00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
00007ff81f2a2c20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
00007ff81f2a2c80 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
00007ff81f2a2ec8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
00007ff81f2a2f88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
00007ff81f2a3050 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
00007ff81f2a3158 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00007ff841c81370 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00007ff841c80ec0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00007ff841c80d20 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00007ff841c81590 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00007ff841c816f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00007ff841c80b80 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00007ff841c819a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00007ff841c7f710 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00007ff841c808f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00007ff841c807c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00007ff841c7fe30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00007ff841c7fad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00007ff841c7fc30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00007ff841c802c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00007ff841c80540 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00007ff841c81418 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00007ff841c81168 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00007ff841c80da8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00007ff841c81618 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00007ff841c81858 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00007ff841c80c28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00007ff841c81b48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00007ff841c7f898 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00007ff841c7f328 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ff841c80a58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00007ff841c80828 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00007ff841c800d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00007ff841c7fb58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00007ff841c7fd18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00007ff841c80408 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00007ff841c80688 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00007ff841c7f138 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ff841c7f308 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ff841c7f428 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00007ff841c7f370 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ff841c7f610 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00007ff841c7f410 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00007ff841c7f6b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00007ff841c81500 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00007ff841c81470 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00007ff841c812e0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00007ff841c80e30 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00007ff841c81660 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00007ff841c81910 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00007ff841c80c90 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00007ff841c81c20 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00007ff841c7f970 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00007ff841c7fa00 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00007ff841c80af0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00007ff841c80860 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00007ff841c80230 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00007ff841c7fba0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00007ff841c7fda0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00007ff841c804b0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00007ff841c80730 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00007ff841c7f120 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ff841c7f128 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00007ff841c814b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00007ff841c81328 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00007ff841c80e78 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00007ff841c80cd8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00007ff841c81548 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00007ff841c816a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00007ff841c80b38 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00007ff841c81958 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00007ff841c7f6c8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00007ff841c7f9b8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00007ff841c808a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00007ff841c80778 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00007ff841c7fde8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00007ff841c7fa88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00007ff841c7fbe8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00007ff841c80278 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00007ff841c804f8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00007ff8430ab070 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ff8430ab0d0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff81f25443f (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
00007ff81f268153 (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
00007ff81f272f7b (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
00007ff81f273084 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
00007ff81f273cfc (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
00007ff81f241516 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
00007ff81f241428 (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
00007ff81f25ee25 (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
00007ff81f272f4f (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
00007ff81f25ed0e (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
00007ff81f25ebaa (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
00007ff81f25edfe (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
00007ff81f26285b (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
00007ff81f26bb6b (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
00007ff81f26b888 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
00007ff81f26ba04 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
00007ff81f240ffe (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
00007ff81f26b067 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
00007ff81f26b85e (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.242
00007ff81f26b20c (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.244
00007ff81f26b465 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.255
00007ff81f26b59e (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.270
00007ff81f26c521 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
00007ff81f26bdc7 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.138
00007ff81f26c3bb (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.178
00007ff81f26bb95 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
00007ff81f241398 (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
00007ff81f253b69 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
00007ff81f266a4f (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
00007ff81f266c2d (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.478
00007ff81f271330 (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
00007ff81f268111 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
00007ff81f262cdb (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.683
00007ff81f262d99 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.691
00007ff81f25ee4a (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.697
00007ff81f25ef23 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.701
00007ff81f26321b (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.706
00007ff81f25f2cc (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.790
00007ff81f25f32f (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.803
00007ff81f262fa5 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.808
00007ff81f262cce (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.834
00007ff81f25fe64 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.889
00007ff81f2600d4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.895
00007ff81f260378 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.929
00007ff81f263361 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
00007ff81f2632ea (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.698
00007ff81f263239 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.702
00007ff81f25effc (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.713
00007ff81f263152 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.804
00007ff81f262f0a (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.816
00007ff81f25f991 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.842
00007ff81f25f6f6 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
00007ff81f263202 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.789
00007ff81f262efd (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.822
00007ff81f2629fe (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.843
00007ff81f25f4ff (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
00007ff81f25fae8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.867
00007ff81f240f8a (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
00007ff81f240fc4 (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
00007ff81f2713bc (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
00007ff81f27295f (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.167
00007ff81f266c98 (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
00007ff81f25806e (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
00007ff81f26293a (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
00007ff81f25f30a (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ff81f26b1e7 (__TEXT,__text) non-external ___Block_byref_object_copy_.693
00007ff81f25f320 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ff81f26b1fd (__TEXT,__text) non-external ___Block_byref_object_dispose_.694
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff81f253be8 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff81f245740 (__TEXT,__text) non-external ____functionAdd_block_invoke
00007ff81f2464d3 (__TEXT,__text) non-external ____functionMultiply_block_invoke
00007ff81f27afd0 (__TEXT,__text) non-external ___bid128_acos
00007ff81f27b284 (__TEXT,__text) non-external ___bid128_add
00007ff81f27f684 (__TEXT,__text) non-external ___bid128_asin
00007ff81f27f991 (__TEXT,__text) non-external ___bid128_asinh
00007ff81f27fc0a (__TEXT,__text) non-external ___bid128_atan
00007ff81f28002f (__TEXT,__text) non-external ___bid128_atanh
00007ff81f280430 (__TEXT,__text) non-external ___bid128_cbrt
00007ff81f2829b0 (__TEXT,__text) non-external ___bid128_cos
00007ff81f283310 (__TEXT,__text) non-external ___bid128_div
00007ff81f285a00 (__TEXT,__text) non-external ___bid128_exp
00007ff81f285d59 (__TEXT,__text) non-external ___bid128_fma
00007ff81f28d597 (__TEXT,__text) non-external ___bid128_fmod
00007ff81f299792 (__TEXT,__text) non-external ___bid128_from_string
00007ff81f28e079 (__TEXT,__text) non-external ___bid128_hypot
00007ff81f28f998 (__TEXT,__text) non-external ___bid128_isZero
00007ff81f28eaf8 (__TEXT,__text) non-external ___bid128_lgamma
00007ff81f28f0d9 (__TEXT,__text) non-external ___bid128_log
00007ff81f28f45d (__TEXT,__text) non-external ___bid128_log10
00007ff81f28f7cc (__TEXT,__text) non-external ___bid128_mul
00007ff81f28fa09 (__TEXT,__text) non-external ___bid128_pow
00007ff81f28083f (__TEXT,__text) non-external ___bid128_quiet_equal
00007ff81f280c3b (__TEXT,__text) non-external ___bid128_quiet_greater
00007ff81f281388 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
00007ff81f281aff (__TEXT,__text) non-external ___bid128_quiet_less
00007ff81f282243 (__TEXT,__text) non-external ___bid128_quiet_less_equal
00007ff81f293d9b (__TEXT,__text) non-external ___bid128_rem
00007ff81f294980 (__TEXT,__text) non-external ___bid128_round_integral_exact
00007ff81f295b80 (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
00007ff81f296037 (__TEXT,__text) non-external ___bid128_round_integral_negative
00007ff81f2964b7 (__TEXT,__text) non-external ___bid128_round_integral_zero
00007ff81f29689c (__TEXT,__text) non-external ___bid128_sin
00007ff81f2972ac (__TEXT,__text) non-external ___bid128_sqrt
00007ff81f29a950 (__TEXT,__text) non-external ___bid128_tan
00007ff81f29c5d9 (__TEXT,__text) non-external ___bid128_to_binary128
00007ff81f29bd08 (__TEXT,__text) non-external ___bid128_to_binary64
00007ff81f29b28c (__TEXT,__text) non-external ___bid128_to_int32_int
00007ff81f298bab (__TEXT,__text) non-external ___bid128_to_string
00007ff81f29b8f3 (__TEXT,__text) non-external ___bid128_to_uint64_int
00007ff81f3d9a60 (__TEXT,__const) non-external ___bid_Ex128m128
00007ff81f3daa60 (__TEXT,__const) non-external ___bid_Ex192m192
00007ff81f3dc660 (__TEXT,__const) non-external ___bid_Ex256m256
00007ff81f3d9440 (__TEXT,__const) non-external ___bid_Ex64m64
00007ff81f3d9810 (__TEXT,__const) non-external ___bid_Kx128
00007ff81f3da360 (__TEXT,__const) non-external ___bid_Kx192
00007ff81f3dbd00 (__TEXT,__const) non-external ___bid_Kx256
