00000001e986e9a0 (__DATA,__data) external _NDR_record
00000001804d3134 (__TEXT,__text) external _mach_vm_msync
00000001804d3aac (__TEXT,__text) external _mach_vm_page_info
00000001804d365c (__TEXT,__text) external _mach_vm_page_query
00000001804d3c98 (__TEXT,__text) external _mach_vm_page_range_query
00000001804afa44 (__TEXT,__text) external _mach_vm_protect
00000001804af5e8 (__TEXT,__text) external _mach_vm_purgable_control
00000001804d4270 (__TEXT,__text) external _mach_vm_range_create
00000001804c9a3c (__TEXT,__text) external _mach_vm_read
00000001804d2e7c (__TEXT,__text) external _mach_vm_read_list
00000001804b6ea4 (__TEXT,__text) external _mach_vm_read_overwrite
00000001804c9b60 (__TEXT,__text) external _mach_vm_reallocate
00000001804bf710 (__TEXT,__text) external _mach_vm_reclaim_copied_ring_free
00000001804bf74c (__TEXT,__text) external _mach_vm_reclaim_copied_ring_query
00000001804bf568 (__TEXT,__text) external _mach_vm_reclaim_get_rings_for_task
00000001804bf4a8 (__TEXT,__text) external _mach_vm_reclaim_is_reusable
00000001804bf398 (__TEXT,__text) external _mach_vm_reclaim_query_state
00000001804bee8c (__TEXT,__text) external _mach_vm_reclaim_ring_allocate
00000001804bf4b8 (__TEXT,__text) external _mach_vm_reclaim_ring_capacity
00000001804bf634 (__TEXT,__text) external _mach_vm_reclaim_ring_copy
00000001804bf4e4 (__TEXT,__text) external _mach_vm_reclaim_ring_flush
00000001804bef3c (__TEXT,__text) external _mach_vm_reclaim_ring_resize
00000001804befdc (__TEXT,__text) external _mach_vm_reclaim_round_capacity
00000001804bf1c4 (__TEXT,__text) external _mach_vm_reclaim_try_cancel
00000001804bf024 (__TEXT,__text) external _mach_vm_reclaim_try_enter
00000001804bf408 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
00000001804abcb0 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting_trap
00000001804b0824 (__TEXT,__text) external _mach_vm_region
00000001804b6c30 (__TEXT,__text) external _mach_vm_region_recurse
00000001804c990c (__TEXT,__text) external _mach_vm_remap
00000001804c99a4 (__TEXT,__text) external _mach_vm_remap_new
00000001804c9b3c (__TEXT,__text) external _mach_vm_tag_describe
00000001804c9b38 (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
00000001804cca24 (__TEXT,__text) external _mach_vm_wire
00000001804d3000 (__TEXT,__text) external _mach_vm_write
00000001804b0a88 (__TEXT,__text) external _mach_voucher_attr_command
00000001804ad674 (__TEXT,__text) external _mach_voucher_deallocate
00000001804dfd78 (__TEXT,__text) external _mach_voucher_debug_info
00000001804dfb24 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001804b67c8 (__TEXT,__text) external _mach_voucher_extract_attr_content
00000001804ae5f4 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
00000001804abcc8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
00000001804abd04 (__TEXT,__text) external _mach_wait_until
00000001804ce814 (__TEXT,__text) external _mach_zone_force_gc
00000001804cf724 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001804cf594 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001804ce648 (__TEXT,__text) external _mach_zone_info
00000001804cf3e8 (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001804cf278 (__TEXT,__text) external _mach_zone_info_for_zone
00000001804abc74 (__TEXT,__text) external _macx_backing_store_recovery
00000001804abc68 (__TEXT,__text) external _macx_backing_store_suspend
00000001804abc44 (__TEXT,__text) external _macx_swapoff
00000001804abc38 (__TEXT,__text) external _macx_swapon
00000001804abc5c (__TEXT,__text) external _macx_triggers
00000001804ae9a8 (__TEXT,__text) external _madvise
00000001804b289c (__TEXT,__text) non-external _malloc
00000001e986e9a8 (__DATA,__bss) non-external _master_host_port
00000001804abf04 (__TEXT,__text) non-external _memcpy
00000001804abf04 (__TEXT,__text) non-external _memmove
00000001804b4ce4 (__TEXT,__text) external _memorystatus_control
00000001804ba648 (__TEXT,__text) external _memorystatus_get_level
00000001804be6a8 (__TEXT,__text) external _mig_allocate
00000001804aef58 (__TEXT,__text) external _mig_dealloc_reply_port
00000001804c96ac (__TEXT,__text) external _mig_dealloc_special_reply_port
00000001804b19a4 (__TEXT,__text) external _mig_deallocate
00000001804abf14 (__TEXT,__text) external _mig_get_reply_port
00000001804ad4a0 (__TEXT,__text) external _mig_get_special_reply_port
00000001804b11cc (__TEXT,__text) external _mig_put_reply_port
00000001804b07f0 (__TEXT,__text) external _mig_reply_setup
00000001804b11d0 (__TEXT,__text) external _mig_strncpy
00000001804ad4dc (__TEXT,__text) external _mig_strncpy_zerofill
00000001804ba674 (__TEXT,__text) external _mincore
00000001804ba6a0 (__TEXT,__text) external _minherit
00000001804abd28 (__TEXT,__text) external _mk_timer_arm
00000001804abd40 (__TEXT,__text) external _mk_timer_arm_leeway
00000001804abd34 (__TEXT,__text) external _mk_timer_cancel
00000001804abd10 (__TEXT,__text) external _mk_timer_create
00000001804abd1c (__TEXT,__text) external _mk_timer_destroy
00000001804ad780 (__TEXT,__text) external _mkdir
00000001804af7a4 (__TEXT,__text) external _mkdirat
00000001804ba6cc (__TEXT,__text) external _mkfifo
00000001804ba6f8 (__TEXT,__text) external _mkfifoat
00000001804ba724 (__TEXT,__text) external _mknod
00000001804ba750 (__TEXT,__text) external _mknodat
00000001804b5bcc (__TEXT,__text) external _mlock
00000001804ba77c (__TEXT,__text) external _mlockall
00000001804ac96c (__TEXT,__text) external _mmap
00000001804b8274 (__TEXT,__text) external _mount
00000001804afafc (__TEXT,__text) external _mprotect
00000001804ba7a8 (__TEXT,__text) external _mremap_encrypted
00000001804be7f8 (__TEXT,__text) external _msg_receive
00000001804be7e8 (__TEXT,__text) external _msg_rpc
00000001804be7f0 (__TEXT,__text) external _msg_send
00000001804b9374 (__TEXT,__text) external _msgctl
00000001804ba7d4 (__TEXT,__text) external _msgget
00000001804ba800 (__TEXT,__text) external _msgrcv
00000001804b93a0 (__TEXT,__text) external _msgrcv$NOCANCEL
00000001804ba82c (__TEXT,__text) external _msgsnd
00000001804b93cc (__TEXT,__text) external _msgsnd$NOCANCEL
00000001804b8a50 (__TEXT,__text) external _msgsys
00000001804b23b4 (__TEXT,__text) external _msync
00000001804b9424 (__TEXT,__text) external _msync$NOCANCEL
00000001804b5bf8 (__TEXT,__text) external _munlock
00000001804ba858 (__TEXT,__text) external _munlockall
00000001804af6b8 (__TEXT,__text) external _munmap
00000001804afed4 (__TEXT,__text) external _necp_client_action
00000001804b6e4c (__TEXT,__text) external _necp_match_policy
00000001804afe7c (__TEXT,__text) external _necp_open
00000001804ba884 (__TEXT,__text) external _necp_session_action
00000001804ba8b0 (__TEXT,__text) external _necp_session_open
00000001804ba8dc (__TEXT,__text) external _net_qos_guideline
00000001804ba908 (__TEXT,__text) external _netagent_trigger
00000001804d64c8 (__TEXT,__text) external _netname_check_in
00000001804d68b8 (__TEXT,__text) external _netname_check_out
00000001804d666c (__TEXT,__text) external _netname_look_up
00000001804d6a58 (__TEXT,__text) external _netname_version
00000001804c0b6c (__TEXT,__text) external _nfsclnt
00000001804ba934 (__TEXT,__text) external _nfssvc
00000001e986e990 (__DATA,__data) external _non_boost_assertion_token
00000001e986e988 (__DATA,__data) external _normal_boost_assertion_token
00000001804ba960 (__TEXT,__text) external _ntp_adjtime
00000001804ba98c (__TEXT,__text) external _ntp_gettime
00000001804ba9b8 (__TEXT,__text) external _objc_bp_assist_cfg_np
00000001804b78b0 (__TEXT,__text) external _open
00000001804c0bf4 (__TEXT,__text) external _open$NOCANCEL
00000001804b178c (__TEXT,__text) external _open_dprotected_np
00000001804c8168 (__TEXT,__text) external _openat
00000001804c0cbc (__TEXT,__text) external _openat$NOCANCEL
00000001804c89d0 (__TEXT,__text) external _openat_authenticated_np
00000001804c896c (__TEXT,__text) external _openat_dprotected_np
00000001804ba9e4 (__TEXT,__text) external _openbyid_np
00000001804bd52c (__TEXT,__text) external _os_buflet_get_data_address
00000001804bd4fc (__TEXT,__text) external _os_buflet_get_data_length
00000001804bd534 (__TEXT,__text) external _os_buflet_get_data_limit
00000001804bd4f4 (__TEXT,__text) external _os_buflet_get_data_offset
00000001804bd51c (__TEXT,__text) external _os_buflet_get_object_address
00000001804bd524 (__TEXT,__text) external _os_buflet_get_object_limit
00000001804bd510 (__TEXT,__text) external _os_buflet_set_data_length
00000001804bd504 (__TEXT,__text) external _os_buflet_set_data_offset
00000001804c3c18 (__TEXT,__text) external _os_channel_advance_slot
00000001804c47fc (__TEXT,__text) external _os_channel_attr_clone
00000001804c476c (__TEXT,__text) external _os_channel_attr_create
00000001804c4a10 (__TEXT,__text) external _os_channel_attr_destroy
00000001804c4bd8 (__TEXT,__text) external _os_channel_attr_get
00000001804c4d00 (__TEXT,__text) external _os_channel_attr_get_key
00000001804c4ae0 (__TEXT,__text) external _os_channel_attr_set
00000001804c4890 (__TEXT,__text) external _os_channel_attr_set_key
00000001804c3bc0 (__TEXT,__text) external _os_channel_available_slot_count
00000001804c6184 (__TEXT,__text) external _os_channel_buflet_alloc
00000001804c5b9c (__TEXT,__text) external _os_channel_buflet_free
00000001804c6150 (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001804c3824 (__TEXT,__text) external _os_channel_create
00000001804c2e80 (__TEXT,__text) external _os_channel_create_extended
00000001804c39ac (__TEXT,__text) external _os_channel_destroy
00000001804c60b4 (__TEXT,__text) external _os_channel_event_free
00000001804c962c (__TEXT,__text) external _os_channel_event_get_event_data
00000001804c9594 (__TEXT,__text) external _os_channel_event_get_next_event
00000001804c43b0 (__TEXT,__text) external _os_channel_flow_admissible
00000001804c4588 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
00000001804c4590 (__TEXT,__text) external _os_channel_flow_adv_get_feedback
00000001804c438c (__TEXT,__text) external _os_channel_get_advisory_region
00000001804c3834 (__TEXT,__text) external _os_channel_get_fd
00000001804c60b8 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001804c5d2c (__TEXT,__text) external _os_channel_get_next_event_handle
00000001804c3ca4 (__TEXT,__text) external _os_channel_get_next_slot
00000001804c431c (__TEXT,__text) external _os_channel_get_stats_region
00000001804c63ac (__TEXT,__text) external _os_channel_get_upp_buffer_stats
00000001804c3618 (__TEXT,__text) non-external _os_channel_info2attr
00000001804c371c (__TEXT,__text) non-external _os_channel_init_ring
00000001804c3a90 (__TEXT,__text) external _os_channel_is_defunct
00000001804c5180 (__TEXT,__text) external _os_channel_large_packet_alloc
00000001804c4d78 (__TEXT,__text) external _os_channel_packet_alloc
00000001804c4d80 (__TEXT,__text) non-external _os_channel_packet_alloc_common
00000001804c5188 (__TEXT,__text) external _os_channel_packet_free
00000001804c5630 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001804c3b90 (__TEXT,__text) external _os_channel_pending
00000001804c5914 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
00000001804c383c (__TEXT,__text) external _os_channel_read_attr
00000001804c395c (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804c3aa4 (__TEXT,__text) external _os_channel_ring_id
00000001804c3bb4 (__TEXT,__text) external _os_channel_ring_notify_time
00000001804c3ba8 (__TEXT,__text) external _os_channel_ring_sync_time
00000001804c3b34 (__TEXT,__text) external _os_channel_rx_ring
00000001804c4090 (__TEXT,__text) external _os_channel_set_slot_properties
00000001804c5314 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001804c54a0 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001804c41cc (__TEXT,__text) external _os_channel_slot_get_packet
00000001804c3980 (__TEXT,__text) external _os_channel_sync
00000001804c3af0 (__TEXT,__text) external _os_channel_tx_ring
00000001804c3890 (__TEXT,__text) external _os_channel_write_attr
00000001804bd4c0 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001804b87c0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001804c887c (__TEXT,__text) external _os_cpu_in_cksum
00000001804b8520 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001804bd5e0 (__TEXT,__text) external _os_custom_x18_abi
00000001804bd65c (__TEXT,__text) external _os_custom_x18_abi_get
00000001804baa10 (__TEXT,__text) external _os_fault_with_payload
00000001804bd4bc (__TEXT,__text) external _os_inet_checksum
00000001804c2a8c (__TEXT,__text) external _os_log_coprocessor_as_kernel
00000001804c2a90 (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
00000001804c6be0 (__TEXT,__text) external _os_nexus_attr_clone
00000001804c6b50 (__TEXT,__text) external _os_nexus_attr_create
00000001804c6e28 (__TEXT,__text) external _os_nexus_attr_destroy
00000001804c6df4 (__TEXT,__text) external _os_nexus_attr_get
00000001804c6c3c (__TEXT,__text) external _os_nexus_attr_set
00000001804c75a0 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001804c7284 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001804c72a4 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001804c6e70 (__TEXT,__text) external _os_nexus_controller_create
00000001804c7278 (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001804c7b98 (__TEXT,__text) external _os_nexus_controller_destroy
00000001804c7298 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001804c6f60 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001804c784c (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
00000001804c7444 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001804c6f68 (__TEXT,__text) external _os_nexus_controller_register_provider
00000001804c77b4 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001804c73c8 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001804c80d0 (__TEXT,__text) external _os_nexus_flow_set_connection_idle
00000001804c7f1c (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
00000001804bd3e4 (__TEXT,__text) external _os_packet_add_buflet
00000001804bcd44 (__TEXT,__text) external _os_packet_add_inet_csum_flags
00000001804bce44 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001804bd470 (__TEXT,__text) external _os_packet_decrement_use_count
00000001804bd2c4 (__TEXT,__text) external _os_packet_finalize
00000001804bd498 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001804bd270 (__TEXT,__text) external _os_packet_get_buflet_count
00000001804bcbfc (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001804bd264 (__TEXT,__text) external _os_packet_get_data_length
00000001804bce98 (__TEXT,__text) external _os_packet_get_expire_time
00000001804bcef4 (__TEXT,__text) external _os_packet_get_expiry_action
00000001804bcd94 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001804bce88 (__TEXT,__text) external _os_packet_get_group_end
00000001804bce64 (__TEXT,__text) external _os_packet_get_group_start
00000001804bc908 (__TEXT,__text) external _os_packet_get_headroom
00000001804bcd64 (__TEXT,__text) external _os_packet_get_inet_checksum
00000001804bd20c (__TEXT,__text) external _os_packet_get_keep_alive
00000001804bc95c (__TEXT,__text) external _os_packet_get_link_broadcast
00000001804bc9ac (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001804bc938 (__TEXT,__text) external _os_packet_get_link_header_length
00000001804bc984 (__TEXT,__text) external _os_packet_get_link_multicast
00000001804bd288 (__TEXT,__text) external _os_packet_get_next_buflet
00000001804bd08c (__TEXT,__text) external _os_packet_get_packetid
00000001804bd2b8 (__TEXT,__text) external _os_packet_get_segment_count
00000001804bcb28 (__TEXT,__text) external _os_packet_get_service_class
00000001804bcf50 (__TEXT,__text) external _os_packet_get_token
00000001804bd53c (__TEXT,__text) external _os_packet_get_trace_id
00000001804bcc5c (__TEXT,__text) external _os_packet_get_traffic_class
00000001804bca24 (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001804bc9d4 (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804bc9fc (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001804bd240 (__TEXT,__text) external _os_packet_get_truncated
00000001804bd194 (__TEXT,__text) external _os_packet_get_vlan_id
00000001804bd19c (__TEXT,__text) external _os_packet_get_vlan_priority
00000001804bd16c (__TEXT,__text) external _os_packet_get_vlan_tag
00000001804bd1e8 (__TEXT,__text) external _os_packet_get_wake_flag
00000001804bd444 (__TEXT,__text) external _os_packet_increment_use_count
00000001804bd1a4 (__TEXT,__text) external _os_packet_set_app_metadata
00000001804bcbec (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001804bcec8 (__TEXT,__text) external _os_packet_set_expire_time
00000001804bcf24 (__TEXT,__text) external _os_packet_set_expiry_action
00000001804bcdec (__TEXT,__text) external _os_packet_set_flow_uuid
00000001804bce74 (__TEXT,__text) external _os_packet_set_group_end
00000001804bce50 (__TEXT,__text) external _os_packet_set_group_start
00000001804bc8e4 (__TEXT,__text) external _os_packet_set_headroom
00000001804bcd20 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001804bd21c (__TEXT,__text) external _os_packet_set_keep_alive
00000001804bd250 (__TEXT,__text) external _os_packet_set_l4s_flag
00000001804bc944 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804bc994 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001804bc914 (__TEXT,__text) external _os_packet_set_link_header_length
00000001804bc96c (__TEXT,__text) external _os_packet_set_link_multicast
00000001804bd0f8 (__TEXT,__text) external _os_packet_set_packetid
00000001804bd5b8 (__TEXT,__text) external _os_packet_set_protocol_segment_size
00000001804bca4c (__TEXT,__text) external _os_packet_set_service_class
00000001804bcff8 (__TEXT,__text) external _os_packet_set_token
00000001804bd548 (__TEXT,__text) external _os_packet_set_trace_id
00000001804bcc28 (__TEXT,__text) external _os_packet_set_traffic_class
00000001804bca34 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001804bca0c (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001804bc9bc (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001804bc9e4 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001804bd5c8 (__TEXT,__text) external _os_packet_set_tso_flags
00000001804bd4a4 (__TEXT,__text) external _os_packet_set_tx_timestamp
00000001804bd150 (__TEXT,__text) external _os_packet_set_vlan_tag
00000001804bd1f8 (__TEXT,__text) external _os_packet_set_wake_flag
00000001804bd554 (__TEXT,__text) external _os_packet_trace_event
00000001804bee88 (__TEXT,__text) external _os_proc_available_memory
00000001804dffec (__TEXT,__text) external _panic
00000001804be764 (__TEXT,__text) external _panic_init
00000001804baa3c (__TEXT,__text) external _panic_with_data
00000001804b4058 (__TEXT,__text) external _pathconf
00000001804baa68 (__TEXT,__text) external _peeloff
00000001804abc20 (__TEXT,__text) external _pid_for_task
00000001804baa94 (__TEXT,__text) external _pid_hibernate
00000001804baac0 (__TEXT,__text) external _pid_resume
00000001804c6440 (__TEXT,__text) external _pid_shutdown_networking
00000001804baaec (__TEXT,__text) external _pid_shutdown_sockets
00000001804bab18 (__TEXT,__text) external _pid_suspend
00000001804b23e0 (__TEXT,__text) external _pipe
00000001804bab44 (__TEXT,__text) external _pivot_root
00000001804b46f0 (__TEXT,__text) external _poll
00000001804b9608 (__TEXT,__text) external _poll$NOCANCEL
00000001804bc810 (__TEXT,__text) non-external _port_for_id_internal
00000001804be770 (__TEXT,__text) external _port_obj_init
00000001e986ea08 (__DATA,__common) external _port_obj_table
00000001e986e978 (__DATA,__data) external _port_obj_table_size
00000001804ae9a8 (__TEXT,__text) external _posix_madvise
00000001804b2e90 (__TEXT,__text) external _posix_spawn
00000001804b762c (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001804c1ce0 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001804c1d98 (__TEXT,__text) external _posix_spawn_file_actions_addchdir
00000001804c1d94 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001804b8444 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001804b28e8 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001804c1e64 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir
00000001804c1e60 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001804b83a8 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001804b7ac8 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001804b33e4 (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001804b280c (__TEXT,__text) external _posix_spawn_file_actions_init
00000001e986e9c8 (__DATA,__bss) non-external _posix_spawn_with_filter
00000001804b3100 (__TEXT,__text) external _posix_spawnattr_destroy
00000001804c1c30 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001804c2220 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001804c21dc (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001804c18c0 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001804c1858 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804c1f20 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001804c17c8 (__TEXT,__text) external _posix_spawnattr_getflags
00000001804b2bc0 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001804c1934 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001804c1810 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001804c1958 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001804c17ec (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001804c1834 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001804b2a58 (__TEXT,__text) external _posix_spawnattr_init
00000001804c1c58 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001804c2824 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
00000001804c2998 (__TEXT,__text) external _posix_spawnattr_set_conclavememlimit_ext
00000001804c1ca0 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
00000001804c1c80 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001804c1cc0 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
00000001804c2420 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001804c2200 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001804c2958 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001804c2544 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001804c2614 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001804c1f6c (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001804c29b8 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001804e0ce0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001804c2978 (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
00000001804c2a6c (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001804c2718 (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001804c23dc (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001804c2340 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001804c2374 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001804c2244 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001804c2310 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804c1c10 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001804c2938 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001804c2094 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001804c21ac (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001804c2000 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001804c1af4 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001804c290c (__TEXT,__text) external _posix_spawnattr_set_telemetry_np
00000001804c1f4c (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001804c2478 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001804c1ab8 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
00000001804c199c (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001804b75f4 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001804b7bcc (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001804c20cc (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804c1f00 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001804b7a70 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001804c1a88 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
00000001804b84e0 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001804b2ba0 (__TEXT,__text) external _posix_spawnattr_setflags
00000001804b471c (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001804b2c80 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001804c23fc (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001804c1a48 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001804c197c (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001804c1a68 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001804b2b7c (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001804b2b58 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001804b7a98 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001804ad648 (__TEXT,__text) external _pread
00000001804b9634 (__TEXT,__text) external _pread$NOCANCEL
00000001804bab70 (__TEXT,__text) external _preadv
00000001804b9660 (__TEXT,__text) external _preadv$NOCANCEL
00000001804c0ec8 (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001804c0320 (__TEXT,__text) external _proc_clear_cpulimits
00000001804c04f8 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001804bfd30 (__TEXT,__text) external _proc_clear_dirty
00000001804c03d8 (__TEXT,__text) external _proc_clear_vmpressure
00000001804bfbe8 (__TEXT,__text) external _proc_current_thread_schedinfo
00000001804b5ee0 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001804b5fa4 (__TEXT,__text) external _proc_denap_assertion_complete
00000001804c0558 (__TEXT,__text) external _proc_disable_apptype
00000001804b72b8 (__TEXT,__text) external _proc_disable_cpumon
00000001804b5b98 (__TEXT,__text) external _proc_disable_wakemon
00000001804c0380 (__TEXT,__text) external _proc_donate_importance_boost
00000001804c05d0 (__TEXT,__text) external _proc_enable_apptype
00000001804b5b18 (__TEXT,__text) external _proc_get_cpumon_params
00000001804bfcb4 (__TEXT,__text) external _proc_get_dirty
00000001804c021c (__TEXT,__text) external _proc_get_wakemon_params
00000001804b5ee8 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001804b5fa8 (__TEXT,__text) external _proc_importance_assertion_complete
00000001804bfaec (__TEXT,__text) external _proc_kmsgbuf
00000001804bfc94 (__TEXT,__text) external _proc_libversion
00000001804c0288 (__TEXT,__text) external _proc_list_dynkqueueids
00000001804c026c (__TEXT,__text) external _proc_list_uptrs
00000001804bf7fc (__TEXT,__text) external _proc_listallpids
00000001804bf874 (__TEXT,__text) external _proc_listchildpids
00000001804bf8b0 (__TEXT,__text) external _proc_listcoalitions
00000001804bf838 (__TEXT,__text) external _proc_listpgrppids
00000001804b5e90 (__TEXT,__text) external _proc_listpids
00000001804c8a38 (__TEXT,__text) external _proc_listpidspath
00000001804b1ebc (__TEXT,__text) external _proc_name
00000001804b3ae4 (__TEXT,__text) external _proc_pid_rusage
00000001804bf9a0 (__TEXT,__text) external _proc_piddynkqueueinfo
