00000001e6fa2c58 (__DATA,__data) non-external _C
00000001803552d0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
0000000180338204 (__TEXT,__text) external _catclose
00000001e4d19dd8 (__DATA_CONST,__const) non-external _categories
0000000180337f08 (__TEXT,__text) external _catgets
0000000180337824 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
000000018032f308 (__TEXT,__text) external _cfgetispeed
00000001802fd38c (__TEXT,__text) external _cfgetospeed
000000018032f334 (__TEXT,__text) external _cfmakeraw
000000018032f31c (__TEXT,__text) external _cfsetispeed
000000018032f310 (__TEXT,__text) external _cfsetospeed
000000018032f328 (__TEXT,__text) external _cfsetspeed
000000018032b550 (__TEXT,__text) external _cgetcap
000000018032bd30 (__TEXT,__text) external _cgetclose
000000018032b5dc (__TEXT,__text) external _cgetent
000000018032bcc0 (__TEXT,__text) external _cgetfirst
000000018032bc48 (__TEXT,__text) external _cgetmatch
000000018032bd7c (__TEXT,__text) external _cgetnext
000000018032c4fc (__TEXT,__text) external _cgetnum
000000018032b4c0 (__TEXT,__text) external _cgetset
000000018032c134 (__TEXT,__text) external _cgetstr
000000018032c404 (__TEXT,__text) external _cgetustr
0000000180330ef4 (__TEXT,__text) non-external _chainsearch
0000000180356838 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180306318 (__TEXT,__text) non-external _check_env_var
00000001802f3708 (__TEXT,__text) non-external _chmodx1
00000001802f36cc (__TEXT,__text) external _chmodx_np
00000001802f392c (__TEXT,__text) non-external _chmodx_syscall
0000000180338358 (__TEXT,__text) external _clearerr
000000018033839c (__TEXT,__text) external _clearerr_unlocked
00000001803023f4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00000001803105f4 (__TEXT,__text) external _clock_getres
00000001802eb560 (__TEXT,__text) external _clock_gettime
00000001802de4ac (__TEXT,__text) external _clock_gettime_nsec_np
00000001e8289efc (__DATA_DIRTY,__common) external _clock_port
00000001e8289ef8 (__DATA_DIRTY,__common) external _clock_sem
0000000180310698 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802f2878 (__TEXT,__text) non-external _close_directory
00000001802e38a0 (__TEXT,__text) external _closedir
00000001e4d1a3e0 (__DATA_CONST,__const) non-external _cnames
00000001803245a8 (__TEXT,__text) non-external _collect_data
0000000180324760 (__TEXT,__text) non-external _collect_key
0000000180356d2a (__TEXT,__const) non-external _command_substitution_str
0000000180306120 (__TEXT,__text) external _compat_mode
00000001802e2e2c (__TEXT,__text) external _confstr
00000001e6fa3dc8 (__DATA,__bss) non-external _constdatablock
000000018031cad8 (__TEXT,__text) external _copy_printf_domain
00000001803093dc (__TEXT,__text) external _creat
000000018031ea50 (__TEXT,__text) external _creat$NOCANCEL
0000000180312ffc (__TEXT,__text) external _crypt
00000001e6fa3db0 (__DATA,__bss) non-external _cryptresult
0000000180329958 (__TEXT,__text) external _ctermid
00000001e6fa2c98 (__DATA,__data) non-external _ctermid.def
0000000180329980 (__TEXT,__text) external _ctermid_r
0000000180306f90 (__TEXT,__text) external _ctime
00000001802fba90 (__TEXT,__text) external _ctime_r
00000001e6fa2ddc (__DATA,__data) non-external _current_categories
00000001802fd394 (__TEXT,__text) non-external _currentlocale
00000001e6fa4900 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001e6fa3f68 (__DATA,__bss) non-external _curshell
00000001803299a0 (__TEXT,__text) external _daemon
00000001e6fa2f88 (__DATA,__data) non-external _dash_prefix
00000001e8289f18 (__DATA_DIRTY,__common) external _daylight
00000001803268f8 (__TEXT,__text) external _dbm_clearerr
0000000180326740 (__TEXT,__text) external _dbm_close
0000000180326874 (__TEXT,__text) external _dbm_delete
0000000180326908 (__TEXT,__text) external _dbm_dirfno
00000001803268ec (__TEXT,__text) external _dbm_error
0000000180326748 (__TEXT,__text) external _dbm_fetch
0000000180326790 (__TEXT,__text) external _dbm_firstkey
00000001803267fc (__TEXT,__text) external _dbm_nextkey
0000000180326654 (__TEXT,__text) external _dbm_open
00000001803268ac (__TEXT,__text) external _dbm_store
0000000180322a70 (__TEXT,__text) external _dbopen
00000001e6fa4628 (__DATA,__bss) non-external _dbp
00000001e6fa3f28 (__DATA,__bss) non-external _decpreg
0000000180356e3c (__TEXT,__const) non-external _degrees
000000018030e4a4 (__TEXT,__text) external _devname
00000001e6fa3e88 (__DATA,__bss) non-external _devname.buf
000000018030e51c (__TEXT,__text) external _devname_r
0000000180308264 (__TEXT,__text) external _difftime
000000018031872c (__TEXT,__text) external _digittoint
0000000180318a24 (__TEXT,__text) external _digittoint_l
00000001803089f8 (__TEXT,__text) external _dirfd
000000018030aeb4 (__TEXT,__text) external _dirname
00000001e6fa45c0 (__DATA,__bss) non-external _dirname.dname
0000000180301f78 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00000001803060f0 (__TEXT,__text) external _div
00000001e6fa2b58 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00000001803302f0 (__TEXT,__text) non-external _do_hvis
000000018033042c (__TEXT,__text) non-external _do_mvis
00000001803008f8 (__TEXT,__text) non-external _do_svis
0000000180309538 (__TEXT,__text) external _dprintf
00000001803383ac (__TEXT,__text) external _dprintf_l
0000000180304cc4 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802f0494 (__TEXT,__text) external _duplocale
000000018031c728 (__TEXT,__text) external _dxprintf
000000018031ce78 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
0000000180347c98 (__TEXT,__text) external _ecvt
00000001e6fa4710 (__DATA,__bss) non-external _empty
00000001e6fa4720 (__DATA,__bss) non-external _empty
00000001e6fa4734 (__DATA,__bss) non-external _empty
0000000180313d5c (__TEXT,__text) external _encrypt
00000001803174e4 (__TEXT,__text) non-external _end_asl
0000000180317524 (__TEXT,__text) non-external _end_file
00000001e6fa2fc8 (__DATA,__data) non-external _end_ptr
0000000180315b28 (__TEXT,__text) external _endttyent
0000000180315e78 (__TEXT,__text) external _endusershell
000000018034c720 (__TEXT,__text) external _endutxent
0000000180317340 (__TEXT,__text) external _endutxent_wtmp
000000018034537c (__TEXT,__text) external _environ_lock_np
00000001e8288668 (__DATA_DIRTY,__bss) non-external _environ_pointer
000000018034538c (__TEXT,__text) external _environ_unlock_np
00000001802e8a64 (__TEXT,__text) non-external _eofread
00000001802e8a6c (__TEXT,__text) non-external _eofread
0000000180329b34 (__TEXT,__text) external _erand48
0000000180352d20 (__TEXT,__text) external _err
000000018032cbd0 (__TEXT,__text) non-external _err_aborted
0000000180329d10 (__TEXT,__text) external _err_set_exit
0000000180329d68 (__TEXT,__text) external _err_set_exit_b
0000000180329cf0 (__TEXT,__text) external _err_set_file
0000000180352e88 (__TEXT,__text) external _errc
0000000180352ea8 (__TEXT,__text) external _errx
0000000180356318 (__TEXT,__const) non-external _escape
0000000180329dc4 (__TEXT,__text) external _execl
0000000180329eb8 (__TEXT,__text) external _execle
0000000180329fb4 (__TEXT,__text) external _execlp
000000018032a108 (__TEXT,__text) external _execv
000000018032a144 (__TEXT,__text) external _execvP
000000018032a190 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018032a0a4 (__TEXT,__text) external _execvp
0000000180304044 (__TEXT,__text) external _exit
000000018031c054 (__TEXT,__text) non-external _extract_next_subsystem_root_path
0000000180338ab0 (__TEXT,__text) external _f_prealloc
00000001803110a0 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802f3944 (__TEXT,__text) external _fchmodx_np
00000001802f3980 (__TEXT,__text) non-external _fchmodx_syscall
00000001802fb090 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
0000000180347e64 (__TEXT,__text) external _fcvt
0000000180305ba8 (__TEXT,__text) external _fdopen
00000001802fde1c (__TEXT,__text) external _fdopen$DARWIN_EXTSN
000000018032cfc4 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
000000018030f304 (__TEXT,__text) external _feof
00000001803383d8 (__TEXT,__text) external _feof_unlocked
0000000180308370 (__TEXT,__text) external _ferror
00000001803383e4 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00000001803265d4 (__TEXT,__text) non-external _fetch_bitmap
0000000180316520 (__TEXT,__text) external _fflagstostr
00000001802ec9a8 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
0000000180308a28 (__TEXT,__text) external _fgetc
000000018030d820 (__TEXT,__text) external _fgetln
000000018033842c (__TEXT,__text) external _fgetpos
000000018031db44 (__TEXT,__text) external _fgetrune
00000001e6fa459c (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001802faf5c (__TEXT,__text) external _fgets
000000018033845c (__TEXT,__text) external _fgetwc
00000001803385e8 (__TEXT,__text) external _fgetwc_l
000000018033874c (__TEXT,__text) external _fgetwln
0000000180338670 (__TEXT,__text) external _fgetwln_l
0000000180338948 (__TEXT,__text) external _fgetws
0000000180338770 (__TEXT,__text) external _fgetws_l
00000001e8288410 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001802f1478 (__TEXT,__text) external _fileno
000000018033896c (__TEXT,__text) external _fileno_unlocked
00000001802ea964 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001802f363c (__TEXT,__text) external _filesec_dup
00000001802ead08 (__TEXT,__text) external _filesec_free
00000001802ea9ac (__TEXT,__text) external _filesec_get_property
00000001802ea714 (__TEXT,__text) external _filesec_init
00000001803145e0 (__TEXT,__text) external _filesec_query_property
00000001802ea738 (__TEXT,__text) external _filesec_set_property
000000018030f714 (__TEXT,__text) external _filesec_unset_property
00000001802f16ac (__TEXT,__text) non-external _find_temp_path
0000000180303d14 (__TEXT,__text) non-external _first_wday_of
00000001802eca08 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00000001803238f4 (__TEXT,__text) non-external _flush_meta
000000018034be00 (__TEXT,__text) non-external _flush_queues
0000000180344490 (__TEXT,__text) external _fmemopen
00000001803447d0 (__TEXT,__text) non-external _fmemopen_close
0000000180344660 (__TEXT,__text) non-external _fmemopen_read
0000000180344748 (__TEXT,__text) non-external _fmemopen_seek
00000001803446bc (__TEXT,__text) non-external _fmemopen_write
00000001e4d19f90 (__DATA_CONST,__const) non-external _fmt_padding
000000018030562c (__TEXT,__text) external _fmtcheck
000000018032a574 (__TEXT,__text) external _fmtmsg
0000000180306808 (__TEXT,__text) external _fnmatch
00000001802ecf14 (__TEXT,__text) external _fopen
0000000180351c98 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001802ffca4 (__TEXT,__text) external _fork
00000001802ff960 (__TEXT,__text) external _forkpty
000000018030d520 (__TEXT,__text) external _fparseln
0000000180355fcc (__TEXT,__const) non-external _fparseln.dstr
00000001802ee6a4 (__TEXT,__text) external _fprintf
0000000180338b3c (__TEXT,__text) external _fprintf_l
00000001e6fa2fb8 (__DATA,__data) non-external _fptr
0000000180338b68 (__TEXT,__text) external _fpurge
000000018030ea78 (__TEXT,__text) external _fputc
000000018031dd34 (__TEXT,__text) external _fputrune
00000001e6fa45a4 (__DATA,__bss) non-external _fputrune.warn_depreciated
00000001803087d8 (__TEXT,__text) external _fputs
0000000180338cec (__TEXT,__text) external _fputwc
0000000180338d70 (__TEXT,__text) external _fputwc_l
0000000180338f58 (__TEXT,__text) external _fputws
0000000180338e04 (__TEXT,__text) external _fputws_l
00000001802f13ac (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
000000018031c8a8 (__TEXT,__text) external _free_printf_comp
000000018031cb88 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001802f0a00 (__TEXT,__text) external _freelocale
0000000180339128 (__TEXT,__text) external _freopen
0000000180339440 (__TEXT,__text) external _fscanf
00000001803394b8 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802f0d7c (__TEXT,__text) external _fseek
00000001802f0e04 (__TEXT,__text) external _fseeko
0000000180339540 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180312cb0 (__TEXT,__text) external _fstatvfs
000000018031d9c0 (__TEXT,__text) external _fstatx_np
00000001802f393c (__TEXT,__text) non-external _fstatx_syscall
00000001e6fa2bb8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
000000018031e68c (__TEXT,__text) external _fsync_volume_np
00000001802f140c (__TEXT,__text) external _ftell
00000001802f121c (__TEXT,__text) external _ftello
00000001803421c0 (__TEXT,__text) external _ftime
000000018032b29c (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
00000001803382e4 (__TEXT,__text) external _ftrylockfile
00000001802ee3c0 (__TEXT,__text) non-external _fts_alloc
00000001802f1be4 (__TEXT,__text) non-external _fts_build
0000000180352460 (__TEXT,__text) non-external _fts_build.cold.1
000000018035247c (__TEXT,__text) non-external _fts_build.cold.2
0000000180352498 (__TEXT,__text) non-external _fts_build.cold.3
00000001803524b4 (__TEXT,__text) non-external _fts_build.cold.4
00000001803524d0 (__TEXT,__text) non-external _fts_build.cold.5
00000001803524ec (__TEXT,__text) non-external _fts_build.cold.6
0000000180315010 (__TEXT,__text) external _fts_children
00000001803147dc (__TEXT,__text) external _fts_close
0000000180314954 (__TEXT,__text) non-external _fts_fchdir
0000000180314900 (__TEXT,__text) non-external _fts_free
0000000180314f34 (__TEXT,__text) non-external _fts_load
0000000180314690 (__TEXT,__text) external _fts_open
0000000180314728 (__TEXT,__text) external _fts_open_b
00000001802ee340 (__TEXT,__text) non-external _fts_palloc
000000018031496c (__TEXT,__text) external _fts_read
00000001802f26d8 (__TEXT,__text) non-external _fts_safe_changedir
0000000180314fd8 (__TEXT,__text) external _fts_set
0000000180315180 (__TEXT,__text) non-external _fts_sort
00000001802ee460 (__TEXT,__text) non-external _fts_stat2
0000000180315f6c (__TEXT,__text) external _ftw
000000018031dc7c (__TEXT,__text) external _fungetrune
00000001e6fa45a0 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001802ecbb8 (__TEXT,__text) external _funlockfile
0000000180302358 (__TEXT,__text) external _funopen
000000018033954c (__TEXT,__text) external _fwide
00000001803395b8 (__TEXT,__text) external _fwprintf
0000000180339608 (__TEXT,__text) external _fwprintf_l
00000001802fd0f0 (__TEXT,__text) external _fwrite
0000000180339634 (__TEXT,__text) external _fwscanf
0000000180339684 (__TEXT,__text) external _fwscanf_l
000000018031c764 (__TEXT,__text) external _fxprintf
000000018031ceb8 (__TEXT,__text) external _fxprintf_exec
00000001e6fa2b10 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018032cb20 (__TEXT,__text) non-external _g_opendir
000000018032ca74 (__TEXT,__text) non-external _g_stat
0000000180347e6c (__TEXT,__text) external _gcvt
00000001802efb1c (__TEXT,__text) non-external _gdtoa_freelist_free
00000001e8288698 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001e8287f90 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
0000000180311d90 (__TEXT,__text) non-external _generalSlowpath
00000001803521f8 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180352384 (__TEXT,__text) non-external _generalSlowpath.cold.10
00000001803523b0 (__TEXT,__text) non-external _generalSlowpath.cold.11
00000001803523dc (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180352408 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180352224 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180352250 (__TEXT,__text) non-external _generalSlowpath.cold.3
000000018035227c (__TEXT,__text) non-external _generalSlowpath.cold.4
00000001803522a8 (__TEXT,__text) non-external _generalSlowpath.cold.5
00000001803522d4 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180352300 (__TEXT,__text) non-external _generalSlowpath.cold.7
000000018035232c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180352358 (__TEXT,__text) non-external _generalSlowpath.cold.9
000000018031756c (__TEXT,__text) non-external _get_asl
00000001e6fa4000 (__DATA,__bss) non-external _get_asl.utx
00000001e6fa455c (__DATA,__bss) non-external _get_clock.adjustment
00000001e6fa4570 (__DATA,__bss) non-external _get_clock.clock_seq
00000001e6fa4560 (__DATA,__bss) non-external _get_clock.last
00000001803178dc (__TEXT,__text) non-external _get_file
00000001e6fa4280 (__DATA,__bss) non-external _get_file.ux
00000001803056ac (__TEXT,__text) non-external _get_next_format
0000000180305840 (__TEXT,__text) non-external _get_next_format_from_precision
00000001803057e0 (__TEXT,__text) non-external _get_next_format_from_width
00000001803482f4 (__TEXT,__text) non-external _getargs
0000000180348e24 (__TEXT,__text) non-external _getargs
00000001803498d0 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018033685c (__TEXT,__text) non-external _getbits
00000001803569d9 (__TEXT,__const) non-external _getbits.digits
000000018032b304 (__TEXT,__text) external _getbsize
00000001e6fa45f0 (__DATA,__bss) non-external _getbsize.header
000000018030f0fc (__TEXT,__text) external _getc
00000001803396b0 (__TEXT,__text) external _getc_unlocked
00000001803396dc (__TEXT,__text) external _getchar
0000000180339748 (__TEXT,__text) external _getchar_unlocked
000000018030453c (__TEXT,__text) external _getcwd
000000018031c1c4 (__TEXT,__text) external _getdate
00000001e6fa4508 (__DATA,__bss) non-external _getdate.tm
00000001e6fa4c2c (__DATA,__common) external _getdate_err
0000000180308414 (__TEXT,__text) external _getdelim
0000000180313ea4 (__TEXT,__text) external _getdiskbyname
00000001e6fa3e90 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
000000018032b610 (__TEXT,__text) non-external _getent
00000001802de37c (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180351da4 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
000000018031ea5c (__TEXT,__text) external _gethostid
00000001802f2934 (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
00000001803374e0 (__TEXT,__text) external _getipv4sourcefilter
000000018035351c (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180353548 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180353574 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
00000001803169a8 (__TEXT,__text) external _getlastlogx
0000000180316aac (__TEXT,__text) external _getlastlogxbyname
0000000180308408 (__TEXT,__text) external _getline
0000000180315268 (__TEXT,__text) external _getloadavg
000000018030f000 (__TEXT,__text) external _getlogin
000000018030f04c (__TEXT,__text) non-external _getlogin_basic
000000018032c5cc (__TEXT,__text) external _getlogin_r
000000018032c650 (__TEXT,__text) external _getmntinfo
00000001e6fa4638 (__DATA,__bss) non-external _getmntinfo.vars
00000001802e9860 (__TEXT,__text) non-external _getmntinfo_internal
000000018032c688 (__TEXT,__text) external _getmntinfo_r_np
000000018032e3b0 (__TEXT,__text) external _getmode
00000001802e52e0 (__TEXT,__text) non-external _getoffset
00000001803053ac (__TEXT,__text) external _getopt
00000001e6fa2f68 (__DATA,__data) non-external _getopt.place
0000000180304d4c (__TEXT,__text) non-external _getopt_internal
0000000180353b68 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001e6fa2f70 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180304d44 (__TEXT,__text) external _getopt_long
0000000180310084 (__TEXT,__text) external _getopt_long_only
00000001802eae10 (__TEXT,__text) external _getpagesize
00000001e82886b8 (__DATA_DIRTY,__bss) non-external _getpagesize.value
000000018032e004 (__TEXT,__text) external _getpass
00000001e6fa46d0 (__DATA,__bss) non-external _getpass.buf
000000018032c6f0 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001802e992c (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802e55b4 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180339780 (__TEXT,__text) external _gets
00000001803569e4 (__TEXT,__const) non-external _gets.w
00000001e6fa4974 (__DATA,__bss) non-external _gets.warned
00000001802e5330 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
00000001803376b0 (__TEXT,__text) external _getsourcefilter
00000001803454ac (__TEXT,__text) external _getsubopt
00000001802e3d9c (__TEXT,__text) external _gettimeofday
00000001e6fa4594 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001e6fa4598 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001e6fa4590 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180315494 (__TEXT,__text) external _getttyent
00000001e6fa3ee0 (__DATA,__bss) non-external _getttyent.line
00000001e4d195c0 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001e6fa3ea0 (__DATA,__bss) non-external _getttyent.tty
0000000180315338 (__TEXT,__text) external _getttynam
0000000180314520 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
0000000180315c3c (__TEXT,__text) external _getusershell
000000018034d398 (__TEXT,__text) external _getutmp
000000018034d3cc (__TEXT,__text) external _getutmpx
000000018034ca3c (__TEXT,__text) external _getutxent
000000018031734c (__TEXT,__text) external _getutxent_wtmp
000000018034cc30 (__TEXT,__text) external _getutxid
000000018034cd38 (__TEXT,__text) external _getutxline
00000001803569ce (__TEXT,__const) non-external _getv4.digits
000000018030f360 (__TEXT,__text) external _getvfsbyname
0000000180339868 (__TEXT,__text) external _getw
00000001803398a8 (__TEXT,__text) external _getwc
00000001803398cc (__TEXT,__text) external _getwc_l
00000001803398d0 (__TEXT,__text) external _getwchar
0000000180339900 (__TEXT,__text) external _getwchar_l
000000018031eae8 (__TEXT,__text) external _getwd
00000001802e5230 (__TEXT,__text) non-external _getzname
000000018032c77c (__TEXT,__text) external _glob
000000018030728c (__TEXT,__text) non-external _glob0
0000000180307784 (__TEXT,__text) non-external _glob2
000000018032c794 (__TEXT,__text) external _glob_b
000000018032c7ac (__TEXT,__text) non-external _globexp1
000000018030815c (__TEXT,__text) non-external _globfinal
0000000180308200 (__TEXT,__text) external _globfree
0000000180356c2c (__TEXT,__const) non-external _gmt
0000000180302564 (__TEXT,__text) non-external _gmt_init
00000001e6fa2f38 (__DATA,__data) non-external _gmt_notify
00000001e6fa2f40 (__DATA,__data) non-external _gmt_once
0000000180308a8c (__TEXT,__text) external _gmtime
00000001e6fa4b00 (__DATA,__bss) non-external _gmtime_key
00000001e6fa4afc (__DATA,__bss) non-external _gmtime_key_error
0000000180308b5c (__TEXT,__text) non-external _gmtime_key_init
00000001e6fa2f28 (__DATA,__data) non-external _gmtime_once
00000001803024b4 (__TEXT,__text) external _gmtime_r
00000001803025ec (__TEXT,__text) non-external _gmtload
00000001e6fa4b40 (__DATA,__bss) non-external _gmtptr
00000001803024c0 (__TEXT,__text) non-external _gmtsub
0000000180356d7d (__TEXT,__const) non-external _gnuoptchar
00000001e6fa4618 (__DATA,__bss) non-external _gottoprec
00000001802ffba4 (__TEXT,__text) external _grantpt
000000018033c2e0 (__TEXT,__text) non-external _grouping_init
000000018033f674 (__TEXT,__text) non-external _grouping_init
000000018033c3a8 (__TEXT,__text) non-external _grouping_print
000000018033f7b0 (__TEXT,__text) non-external _grouping_print
000000018032dff0 (__TEXT,__text) non-external _handler
0000000180324f1c (__TEXT,__text) non-external _hash4
0000000180323aac (__TEXT,__text) non-external _hash_access
0000000180323298 (__TEXT,__text) non-external _hash_close
0000000180347274 (__TEXT,__text) external _hash_create
00000001803232dc (__TEXT,__text) non-external _hash_delete
00000001803472e4 (__TEXT,__text) external _hash_destroy
0000000180323360 (__TEXT,__text) non-external _hash_fd
0000000180323398 (__TEXT,__text) non-external _hash_get
0000000180347544 (__TEXT,__text) external _hash_purge
0000000180323400 (__TEXT,__text) non-external _hash_put
00000001803473bc (__TEXT,__text) external _hash_search
000000018032348c (__TEXT,__text) non-external _hash_seq
00000001803475c8 (__TEXT,__text) external _hash_stats
00000001803236d4 (__TEXT,__text) non-external _hash_sync
00000001803474c8 (__TEXT,__text) external _hash_traverse
0000000180345620 (__TEXT,__text) external _hcreate
0000000180323180 (__TEXT,__text) non-external _hdestroy
00000001803456f0 (__TEXT,__text) external _hdestroy
00000001802e9144 (__TEXT,__text) external _heapsort
000000018030af14 (__TEXT,__text) external _heapsort_b
0000000180355378 (__TEXT,__const) non-external _hexdigit
0000000180359c2b (__TEXT,__cstring) non-external _hexlist
00000001e6fa3f48 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180345770 (__TEXT,__text) external _hsearch
00000001e6fa4b88 (__DATA,__bss) non-external _htable
00000001e6fa4b90 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
0000000180356d68 (__TEXT,__const) non-external _illoptchar
0000000180356e1e (__TEXT,__const) non-external _illoptstring
0000000180345838 (__TEXT,__text) external _imaxabs
0000000180345844 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001802eed5c (__TEXT,__text) external _inet_addr
00000001802eed08 (__TEXT,__text) external _inet_aton
0000000180335c28 (__TEXT,__text) external _inet_lnaof
0000000180335c54 (__TEXT,__text) external _inet_makeaddr
0000000180335c94 (__TEXT,__text) external _inet_net_ntop
0000000180336180 (__TEXT,__text) external _inet_net_pton
0000000180353440 (__TEXT,__text) non-external _inet_net_pton.cold.1
000000018035346c (__TEXT,__text) non-external _inet_net_pton.cold.2
0000000180353498 (__TEXT,__text) non-external _inet_net_pton.cold.3
00000001803569a1 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
0000000180356990 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
00000001803569ac (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
00000001803569bd (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
00000001803368f0 (__TEXT,__text) external _inet_neta
00000001803369c0 (__TEXT,__text) external _inet_netof
00000001803369ec (__TEXT,__text) external _inet_network
0000000180336eb4 (__TEXT,__text) external _inet_nsap_addr
