0000000180183c60 (__TEXT,__text) non-external K256
0000000180135a94 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416JustInTimeLoader9dependentERKNS_12RuntimeStateEjPN6mach_o21LinkedDylibAttributesE
0000000180193368 (__TEXT,__text) non-external __ZNK5dyld416JustInTimeLoader9dependentERKNS_12RuntimeStateEjPN6mach_o21LinkedDylibAttributesE.cold.1
000000018011ae68 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFPcPvPKvEEclIJRKS2_SA_EEEDaDpOT_
000000018011a9bc (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPKcEEclIJRKS2_SC_RS6_EEEDaDpOT_
000000018011b3c4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPPKcmEEclIJRKS2_SD_S7_mEEEDaDpOT_
000000018011b100 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFPcPvPKvPPKcmPS2_PyEEclIJRKS2_SF_S7_mS8_S9_EEEDaDpOT_
000000018011b90c (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFPcPvPKvS4_PbP20dyld_unwind_sectionsEEclIJRKS2_SD_RS4_RS5_RS7_EEEDaDpOT_
000000018011b65c (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFiPvPKvS3_P7dl_infoEEclIJRKS1_SB_RS3_RS5_EEEDaDpOT_
0000000180149ec8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerPKcbEEclIJRPKN5dyld311MachOLoadedES5_bEEEvDpOT_
0000000180123e90 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerPvS3_PKvEEclIJRKS3_S4_SC_S6_EEEvDpOT_
000000018012305c (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRPKN5dyld311MachOLoadedERKmEEEvDpOT_
0000000180123260 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRPKN5dyld311MachOLoadedElEEEvDpOT_
0000000180145d24 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK11mach_headerlEEclIJRS3_RlEEEvDpOT_
0000000180128f74 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPK29_dyld_objc_notify_mapped_infoEEclIJPS1_EEEvDpOT_
00000001801504a0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPKcEEclIJRS2_EEEvDpOT_
0000000180123824 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPKcPK11mach_headerEEclIJS2_PKN5dyld311MachOLoadedEEEEvDpOT_
0000000180151c28 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPKvmEEclIJRS2_mEEEvDpOT_
000000018011ac40 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvPcEEclIJRS1_EEEvDpOT_
0000000180127d30 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvjPK29_dyld_objc_notify_mapped_infoU13block_pointerFvjEEEclIJRjPS1_RS5_EEEvDpOT_
0000000180128b20 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvjPK29_dyld_objc_notify_mapped_infoU13block_pointerFvjEEEclIJRjRS3_RS5_EEEvDpOT_
0000000180123464 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvjPPK11mach_headerPPKcEEclIJRKjS4_S7_EEEvDpOT_
000000018014a7ec (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIPFvjPPK11mach_headerPPKcEEclIJRjS4_S7_EEEvDpOT_
000000018014b130 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPK33dyld_shared_cache_dylib_text_infoEEclIJPS1_EEEvDpOT_
000000018014c024 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPKvEEclIJS2_EEEvDpOT_
000000018014ba48 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPvbPbEEclIJPhbS2_EEEvDpOT_
000000018014b750 (__TEXT,__text) non-external (was a private external) __ZNK5dyld416ReadOnlyCallbackIU13block_pointerFvPvbPbEEclIJS1_bS2_EEEvDpOT_
000000018013af0c (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet11validHeaderERNS_12RuntimeStateE
000000018013b290 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet12objcClassMapEv
000000018013b2a4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet15objcProtocolMapEv
000000018013b27c (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet15objcSelectorMapEv
000000018013b7c0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet17forEachCachePatchEU13block_pointerFvRKNS0_10CachePatchEE
000000018013b2f4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet17hasOptimizedSwiftEv
000000018013b2b8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet22swiftTypeProtocolTableEv
000000018013b31c (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet23logDuplicateObjCClassesERNS_12RuntimeStateE
000000018013b168 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet24forEachMustBeMissingPathEU13block_pointerFvPKcRbE
000000018013b2cc (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet26swiftMetadataProtocolTableEv
000000018013b2e0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet29swiftForeignTypeProtocolTableEv
000000018013afa0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet7isValidERNS_12RuntimeStateE
000000018013aee4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld417PrebuiltLoaderSet8containsEPKvm
000000018014c68c (__TEXT,__text) non-external (was a private external) __ZNK5dyld419objc_headeropt_rw_t8isLoadedEj
0000000180193bcc (__TEXT,__text) non-external __ZNK5dyld419objc_headeropt_rw_t8isLoadedEj.cold.1
000000018014741c (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper11malloc_sizeEPKv
000000018014eeac (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper11vm_allocateEjPmmi
000000018012ee70 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper12__cxa_atexitEPFvPvES1_S1_
000000018014f9d0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper13vm_deallocateEjmm
0000000180126c98 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper14isLaunchdOwnedEv
00000001801545b8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper17setUpThreadLocalsEPK15DyldSharedCachePKN6mach_o6HeaderE
00000001801471d4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper19pthread_getspecificEm
0000000180147664 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper19pthread_setspecificEmPKv
00000001801207e0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper21__cxa_finalize_rangesEPK13__cxa_range_tj
0000000180124b70 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper23pthread_key_create_freeEPm
0000000180125820 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper25setDyldPatchedObjCClassesEv
0000000180111e58 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper4exitEi
00000001801264e8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper4freeEPv
000000018014f410 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper6getenvEPKc
0000000180147a08 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper6mallocEm
000000018014f658 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper7mkstempEPc
0000000180151084 (__TEXT,__text) non-external (was a private external) __ZNK5dyld423LibSystemHelpersWrapper9run_asyncEPFPvS1_ES1_
00000001801427d0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld427RemoteNotificationResponder6activeEv
0000000180123d10 (__TEXT,__text) non-external (was a private external) __ZNK5dyld434DyldCacheDataConstLazyScopedWriter13makeWriteableEv
00000001801492a0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs22addressLookupsDisabledEPKc
000000018014c494 (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs31_dyld_find_protocol_conformanceEPKvS2_S2_
000000018014c7fc (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs33_dyld_swift_optimizations_versionEv
000000018014c6c0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld44APIs44_dyld_find_foreign_type_protocol_conformanceEPKvPKcm
000000018017650c (__TEXT,__text) non-external (was a private external) __ZNK5dyld45Atlas5Image2mlEv
00000001801766cc (__TEXT,__text) non-external (was a private external) __ZNK5dyld45Atlas5Image4uuidEv
0000000180176070 (__TEXT,__text) non-external (was a private external) __ZNK5dyld45Atlas6Mapper3mapENS0_11SafePointerEy
00000001801948cc (__TEXT,__text) non-external __ZNK5dyld45Atlas6Mapper3mapENS0_11SafePointerEy.cold.1
0000000180176168 (__TEXT,__text) non-external (was a private external) __ZNK5dyld45Atlas6Mapper5unmapENS0_11SafePointerEy
000000018012a4c4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader10getUuidStrEPc
0000000180129da0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader10withLayoutER11DiagnosticsRKNS_12RuntimeStateEU13block_pointerFvRKN6mach_o6LayoutEE
0000000180193024 (__TEXT,__text) non-external __ZNK5dyld46Loader10withLayoutER11DiagnosticsRKNS_12RuntimeStateEU13block_pointerFvRKN6mach_o6LayoutEE.cold.1
0000000180129d54 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEbPN3lsl6VectorINSt3__14pairIPKS0_PKcEEEE
0000000180192ff8 (__TEXT,__text) non-external __ZNK5dyld46Loader11applyFixupsER11DiagnosticsRNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterEbPN3lsl6VectorINSt3__14pairIPKS0_PKcEEEE.cold.1
0000000180129fb4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader11isDelayInitERNS_12RuntimeStateE
0000000180193158 (__TEXT,__text) non-external __ZNK5dyld46Loader11isDelayInitERNS_12RuntimeStateE.cold.1
0000000180129a10 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader11loadAddressERKNS_12RuntimeStateE
0000000180192e14 (__TEXT,__text) non-external __ZNK5dyld46Loader11loadAddressERKNS_12RuntimeStateE.cold.1
0000000180129aa8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader11matchesPathERKNS_12RuntimeStateEPKc
0000000180192e6c (__TEXT,__text) non-external __ZNK5dyld46Loader11matchesPathERKNS_12RuntimeStateEPKc.cold.1
000000018012a000 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader12setDelayInitERNS_12RuntimeStateEb
0000000180193184 (__TEXT,__text) non-external __ZNK5dyld46Loader12setDelayInitERNS_12RuntimeStateEb.cold.1
000000018012f7fc (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader13resolveSymbolER11DiagnosticsRNS_12RuntimeStateEiPKcbbU13block_pointerFvjjRKNS0_14ResolvedSymbolEEb
0000000180129b40 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader14dependentCountEv
0000000180192ec4 (__TEXT,__text) non-external __ZNK5dyld46Loader14dependentCountEv.cold.1
0000000180129c24 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader14getExportsTrieERyRj
0000000180192f48 (__TEXT,__text) non-external __ZNK5dyld46Loader14getExportsTrieERyRj.cold.1
0000000180129ed0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader14hasBeenFixedUpERNS_12RuntimeStateE
00000001801930d4 (__TEXT,__text) non-external __ZNK5dyld46Loader14hasBeenFixedUpERNS_12RuntimeStateE.cold.1
0000000180129c70 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader14hiddenFromFlatEb
0000000180192f74 (__TEXT,__text) non-external __ZNK5dyld46Loader14hiddenFromFlatEb.cold.1
0000000180129f68 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader15runInitializersERNS_12RuntimeStateE
000000018019312c (__TEXT,__text) non-external __ZNK5dyld46Loader15runInitializersERNS_12RuntimeStateE.cold.1
0000000180132980 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader17applyCachePatchesERNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterE
000000018019328c (__TEXT,__text) non-external __ZNK5dyld46Loader17applyCachePatchesERNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterE.cold.1
000000018012f584 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader17forEachBindTargetER11DiagnosticsRNS_12RuntimeStateEU13block_pointerFvjjRKNS0_14ResolvedSymbolEEbU13block_pointerFvS7_RbESC_
000000018013075c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader17hasExportedSymbolER11DiagnosticsRNS_12RuntimeStateEPKcNS0_18ExportedSymbolModeENS0_12ResolverModeEPNS0_14ResolvedSymbolEPN5dyld35ArrayIPKS0_EE
000000018012dbb4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader18applyFixupsGenericER11DiagnosticsRNS_12RuntimeStateEyRKN5dyld35ArrayIPKvEESB_bRKNS6_INS0_21MissingFlatLazySymbolEEE
0000000180129dec (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader18dyldDoesObjCFixupsEv
0000000180193050 (__TEXT,__text) non-external __ZNK5dyld46Loader18dyldDoesObjCFixupsEv.cold.1
000000018012cff8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader18setUpPageInLinkingER11DiagnosticsRNS_12RuntimeStateEmyRKN5dyld35ArrayIPKvEE
00000001801327e4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader19applyCachePatchesToERNS_12RuntimeStateEPKS0_RNS_34DyldCacheDataConstLazyScopedWriterE
0000000180129e38 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader19getSectionLocationsEv
000000018019307c (__TEXT,__text) non-external __ZNK5dyld46Loader19getSectionLocationsEv.cold.1
00000001801331ec (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader19logChainToLinksWithERNS_12RuntimeStateEPKc
0000000180131574 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader19tooNewErrorAddendumER11DiagnosticsRNS_12RuntimeStateE
00000001801300a8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader20makeSegmentsReadOnlyERNS_12RuntimeStateE
00000001801301ec (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader21makeSegmentsReadWriteERNS_12RuntimeStateE
0000000180129d08 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader21overridesDylibInCacheERPKNS0_10DylibPatchERt
0000000180192fcc (__TEXT,__text) non-external __ZNK5dyld46Loader21overridesDylibInCacheERPKNS0_10DylibPatchERt.cold.1
000000018012f0e0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader23runInitializersBottomUpERNS_12RuntimeStateERN5dyld35ArrayIPKS0_EES8_
000000018012e9bc (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader25findAndRunAllInitializersERNS_12RuntimeStateE
000000018012e708 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader26applyFunctionVariantFixupsER11DiagnosticsRKNS_12RuntimeStateE
0000000180130330 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader26logSegmentsFromSharedCacheERNS_12RuntimeStateE
0000000180129cbc (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader26representsCachedDylibIndexEt
0000000180192fa0 (__TEXT,__text) non-external __ZNK5dyld46Loader26representsCachedDylibIndexEt.cold.1
000000018012e8e0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader26selectFromFunctionVariantsER11DiagnosticsRKNS_12RuntimeStateEPKcj
00000001801321a8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader27applyCachePatchesToOverrideERNS_12RuntimeStateEPKS0_tPKNS0_10DylibPatchERNS_34DyldCacheDataConstLazyScopedWriterE
0000000180193234 (__TEXT,__text) non-external __ZNK5dyld46Loader27applyCachePatchesToOverrideERNS_12RuntimeStateEPKS0_tPKNS0_10DylibPatchERNS_34DyldCacheDataConstLazyScopedWriterE.cold.1
0000000180193260 (__TEXT,__text) non-external __ZNK5dyld46Loader27applyCachePatchesToOverrideERNS_12RuntimeStateEPKS0_tPKNS0_10DylibPatchERNS_34DyldCacheDataConstLazyScopedWriterE.cold.2
0000000180130090 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader28hasConstantSegmentsToProtectEv
0000000180132738 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader29applyFixupsCheckCachePatchingERNS_12RuntimeStateERNS_34DyldCacheDataConstLazyScopedWriterE
00000001801299c4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader2mfERKNS_12RuntimeStateE
0000000180192de8 (__TEXT,__text) non-external __ZNK5dyld46Loader2mfERKNS_12RuntimeStateE.cold.1
00000001801330a0 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader30recursivelyLogChainToLinksWithERNS_12RuntimeStateEPKcPKS0_PNS0_14LinksWithChainES8_RN5dyld35ArrayIS6_EE
000000018012f264 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader38runInitializersBottomUpPlusUpwardLinksERNS_12RuntimeStateE
0000000180129978 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader4pathERKNS_12RuntimeStateE
0000000180192dbc (__TEXT,__text) non-external __ZNK5dyld46Loader4pathERKNS_12RuntimeStateE.cold.1
0000000180129e84 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader5unmapERNS_12RuntimeStateEb
00000001801930a8 (__TEXT,__text) non-external __ZNK5dyld46Loader5unmapERNS_12RuntimeStateEb.cold.1
0000000180129af4 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader6fileIDERKNS_12RuntimeStateE
0000000180192e98 (__TEXT,__text) non-external __ZNK5dyld46Loader6fileIDERKNS_12RuntimeStateE.cold.1
000000018012a10c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader6headerERKNS_12RuntimeStateE
000000018012a4ec (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader7logLoadERNS_12RuntimeStateEPKc
000000018012a10c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader8analyzerERKNS_12RuntimeStateE
0000000180129a5c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader8containsERNS_12RuntimeStateEPKvPS4_PyPh
0000000180192e40 (__TEXT,__text) non-external __ZNK5dyld46Loader8containsERNS_12RuntimeStateEPKvPS4_PyPh.cold.1
000000018012a110 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader8hasMagicEv
000000018012a0d8 (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader8leafNameERKNS_12RuntimeStateE
000000018012a04c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader9LoaderRef6loaderERKNS_12RuntimeStateE
0000000180192d0c (__TEXT,__text) non-external __ZNK5dyld46Loader9LoaderRef6loaderERKNS_12RuntimeStateE.cold.1
0000000180192d0c (__TEXT,__text) non-external __ZNK5dyld46Loader9LoaderRef6loaderERKNS_12RuntimeStateE.cold.2
0000000180129b8c (__TEXT,__text) non-external (was a private external) __ZNK5dyld46Loader9dependentERKNS_12RuntimeStateEjPN6mach_o21LinkedDylibAttributesE
0000000180192ef0 (__TEXT,__text) non-external __ZNK5dyld46Loader9dependentERKNS_12RuntimeStateEjPN6mach_o21LinkedDylibAttributesE.cold.1
000000018018ebd0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o11BindOpcodes19hasDoneBetweenBindsEv
000000018018ebd8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o11BindOpcodes22implicitLibraryOrdinalEv
0000000180165188 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o11SymbolTable19forEachGlobalSymbolER11DiagnosticsU13block_pointerFvPKcyhhtRbE
0000000180185e0c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12Architecture22usesx86_64InstructionsEv
0000000180185bf8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12Architecture4nameEv
0000000180185bb4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12ArchitectureeqERKS0_
000000018018c728 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12PlatformInfo14yearForVersionENS_9Version32ERtRb
000000018018c778 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12PlatformInfo19yearForMajorVersionENS_9Version32ERtRb
000000018018c730 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o12PlatformInfo21minorVersionForSpringEt
000000018018d230 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o13ChainedFixups13PointerFormat14badBindOrdinalERKNS_5FixupE
000000018018d278 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o13ChainedFixups13PointerFormat16ptrAlignmentSizeEv
000000018018cc10 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o13ChainedFixups13PointerFormat27forEachFixupLocationInChainEPKvyPKNS_13MappedSegmentENSt3__14spanIKyLm18446744073709551615EEEjjU13block_pointerFvRKNS_5FixupERbE
000000018018ca78 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o13ChainedFixups30forEachFixupChainStartLocationENSt3__14spanIKNS_13MappedSegmentELm18446744073709551615EEEU13block_pointerFvPKvjjjRKNS0_13PointerFormatERbE
000000018018ebe0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o15LazyBindOpcodes19hasDoneBetweenBindsEv
0000000180190e0c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o16FunctionVariants5countEv
0000000180190dcc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o16FunctionVariants5entryEj
000000018018ec44 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o17DebugNoteFileInfo4dumpEv
000000018018c6dc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o18PlatformInfo_macOS14yearForVersionENS_9Version32ERtRb
000000018018c718 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o18PlatformInfo_macOS21minorVersionForSpringEt
000000018018c758 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o18PlatformInfo_sepOS14yearForVersionENS_9Version32ERtRb
0000000180186028 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o19GradedArchitectures11forEachArchEbU13block_pointerFvNS_12ArchitectureEE
0000000180185fa8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o19GradedArchitectures12isCompatibleENS_12ArchitectureEb
0000000180185eec (__TEXT,__text) non-external (was a private external) __ZNK6mach_o19GradedArchitectures18hasCompatibleSliceENSt3__14spanIKNS_12ArchitectureELm18446744073709551615EEEbRj
000000018018c618 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o19PlatformAndVersions5unzipEU13block_pointerFvS0_E
0000000180190e3c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o21FunctionVariantFixups12forEachFixupEU13block_pointerFvNS0_13InternalFixupEE
000000018018c738 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o21PlatformInfo_bridgeOS21minorVersionForSpringEt
000000018018c748 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o21PlatformInfo_firmware14yearForVersionENS_9Version32ERtRb
000000018018c768 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o21PlatformInfo_visionOS21minorVersionForSpringEt
00000001801677c4 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e11signPointerEPvy
0000000180194320 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e11signPointerEPvy.cold.1
00000001801676bc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e12unpackTargetEv
0000000180194218 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e12unpackTargetEv.cold.1
0000000180194244 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e12unpackTargetEv.cold.2
00000001801676f0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e18signExtendedAddendEv
0000000180194270 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e18signExtendedAddendEv.cold.1
000000018019429c (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6Arm64e18signExtendedAddendEv.cold.2
00000001801679f0 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk6isBindEtRjRx
00000001801943fc (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk6isBindEtRjRx.cold.1
000000018016788c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk8Cache64e11signPointerEPvy
00000001801943a4 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk8Cache64e11signPointerEPvy.cold.1
000000018016781c (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk8Cache64e5high8Ev
000000018019434c (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk8Cache64e5high8Ev.cold.1
00000001801678c8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk8isRebaseEtyRy
00000001801943d0 (__TEXT,__text) non-external __ZNK6mach_o25ChainedFixupPointerOnDisk8isRebaseEtyRy.cold.1
0000000180167800 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk9Generic6414unpackedTargetEv
0000000180167814 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o25ChainedFixupPointerOnDisk9Generic6418signExtendedAddendEv
0000000180190cfc (__TEXT,__text) non-external (was a private external) __ZNK6mach_o28FunctionVariantsRuntimeTable14forEachVariantEU13block_pointerFvNS0_4KindEjbNSt3__14spanIKhLm18446744073709551615EEERbE
000000018018d510 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o28PointerFormat_Generic_arm64e12nextLocationEPKv
000000018018d2a8 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o28PointerFormat_Generic_arm64e12supportsAuthEv
000000018018d508 (__TEXT,__text) non-external (was a private external) __ZNK6mach_o28PointerFormat_Generic_arm64e13supportsBindsEv
