00007ffa42ae00c0 (__DATA,__data) non-external _.compoundliteral
00007ffa18047782 (__TEXT,__text) non-external _glpLLVMCGDeclareTFBuffer
00007ffa180475a0 (__TEXT,__text) non-external _glpLLVMCGDeclareUniformBufferObject
00007ffa18063ee3 (__TEXT,__text) non-external _glpLLVMCGDeclareVariable
00007ffa18050abe (__TEXT,__text) non-external _glpLLVMCGDefaultStatement
00007ffa18050c33 (__TEXT,__text) non-external _glpLLVMCGDiscardStatement
00007ffa18046055 (__TEXT,__text) non-external _glpLLVMCGFindSamplersAndBuffers
00007ffa1804f419 (__TEXT,__text) non-external _glpLLVMCGFunctionDefinition
00007ffa1804bfaa (__TEXT,__text) non-external _glpLLVMCGFunctionPrototype
00007ffa18062760 (__TEXT,__text) non-external _glpLLVMCGGlobalVariable
00007ffa1806416b (__TEXT,__text) non-external _glpLLVMCGIfStatementShortCircuit
00007ffa180488e3 (__TEXT,__text) non-external _glpLLVMCGImplicitConversion
00007ffa1805e629 (__TEXT,__text) non-external _glpLLVMCGInsertBasicBlock
00007ffa18050378 (__TEXT,__text) non-external _glpLLVMCGInterfaceBlock
00007ffa18051351 (__TEXT,__text) non-external _glpLLVMCGLValue
00007ffa1804b6e3 (__TEXT,__text) non-external _glpLLVMCGLogicalNot
00007ffa18050720 (__TEXT,__text) non-external _glpLLVMCGLoopStatement
00007ffa1804b664 (__TEXT,__text) non-external _glpLLVMCGNegate
00007ffa18046583 (__TEXT,__text) non-external _glpLLVMCGNode
00007ffa18048d58 (__TEXT,__text) non-external _glpLLVMCGPPStreamOpNode
00007ffa1804bf6d (__TEXT,__text) non-external _glpLLVMCGParameterDeclaration
00007ffa18051fd7 (__TEXT,__text) non-external _glpLLVMCGRValue
00007ffa18050e91 (__TEXT,__text) non-external _glpLLVMCGRawCallNode
00007ffa18050c86 (__TEXT,__text) non-external _glpLLVMCGReturnStatement
00007ffa18057ca9 (__TEXT,__text) non-external _glpLLVMCGSamplerNode
00007ffa180643a9 (__TEXT,__text) non-external _glpLLVMCGShortCircutConditional
00007ffa18050f5d (__TEXT,__text) non-external _glpLLVMCGSubroutineRawCall
00007ffa180508e6 (__TEXT,__text) non-external _glpLLVMCGSwitchStatement
00007ffa18044c86 (__TEXT,__text) non-external (was a private external) _glpLLVMCGTopLevel
00007ffa1804f3c4 (__TEXT,__text) non-external _glpLLVMCGVariableDeclarationGroup
00007ffa1806564d (__TEXT,__text) non-external _glpLLVMCGWriteVertexOuptut
00007ffa18054ee0 (__TEXT,__text) non-external _glpLLVMCallFunction
00007ffa180539c4 (__TEXT,__text) non-external _glpLLVMCastOperation
00007ffa1805890c (__TEXT,__text) non-external _glpLLVMCastToHalf
00007ffa18045ec2 (__TEXT,__text) non-external _glpLLVMCleanUpASTObjects
00007ffa18047518 (__TEXT,__text) non-external _glpLLVMCleanUpFunctionVariableObjects
00007ffa18063fac (__TEXT,__text) non-external _glpLLVMClearCurrentLine
00007ffa1805788b (__TEXT,__text) non-external _glpLLVMConstArray
00007ffa180562a9 (__TEXT,__text) non-external _glpLLVMConstArrayCache
00007ffa18054bac (__TEXT,__text) non-external _glpLLVMConstFromType
00007ffa18053294 (__TEXT,__text) non-external _glpLLVMConstFromTypeCache
00007ffa18056c53 (__TEXT,__text) non-external _glpLLVMConstInt
00007ffa18056a4f (__TEXT,__text) non-external _glpLLVMConstIntCache
00007ffa180575b0 (__TEXT,__text) non-external _glpLLVMConstReal
00007ffa18056b5b (__TEXT,__text) non-external _glpLLVMConstRealCache
00007ffa1805777d (__TEXT,__text) non-external _glpLLVMConstVector
00007ffa18056916 (__TEXT,__text) non-external _glpLLVMConstVectorCache
00007ffa18046920 (__TEXT,__text) non-external _glpLLVMCreateAttributeDescription
00007ffa1805661c (__TEXT,__text) non-external _glpLLVMCreateConstantVectors
00007ffa18046f4e (__TEXT,__text) non-external _glpLLVMCreateIRBindings
00007ffa1805ec98 (__TEXT,__text) non-external _glpLLVMEmitBranch
00007ffa18046ce7 (__TEXT,__text) non-external _glpLLVMFragmentMetaData
00007ffa18062ef4 (__TEXT,__text) non-external _glpLLVMGetAggregateType
00007ffa18056816 (__TEXT,__text) non-external _glpLLVMGetElementType
00007ffa1804793d (__TEXT,__text) non-external _glpLLVMGetFunctionGlobalVariableUse
00007ffa1805c63d (__TEXT,__text) non-external _glpLLVMGetInfinityProxy
00007ffa1805da38 (__TEXT,__text) non-external _glpLLVMGetInsertBlock
00007ffa180563f0 (__TEXT,__text) non-external _glpLLVMGetMinCommonType
00007ffa180481a8 (__TEXT,__text) non-external _glpLLVMGetNamedType
00007ffa18060ca8 (__TEXT,__text) non-external _glpLLVMGetParam
00007ffa18047bfc (__TEXT,__text) non-external _glpLLVMGetTextureTypeFromSampler
00007ffa18054cac (__TEXT,__text) non-external _glpLLVMGetTypeString
00007ffa1805cca2 (__TEXT,__text) non-external _glpLLVMGetVariablePointer
00007ffa1806134d (__TEXT,__text) non-external _glpLLVMLoadVector
00007ffa18047002 (__TEXT,__text) non-external _glpLLVMMDNodeInContext
00007ffa18047110 (__TEXT,__text) non-external _glpLLVMNamedMetadata
00007ffa18061a1e (__TEXT,__text) non-external _glpLLVMPackDouble
00007ffa18047c74 (__TEXT,__text) non-external _glpLLVMPointerType
00007ffa1805db2a (__TEXT,__text) non-external _glpLLVMPositionBuilderAtEnd
00007ffa1805607a (__TEXT,__text) non-external _glpLLVMPrimitiveConstant
00007ffa18064900 (__TEXT,__text) non-external _glpLLVMReadUniform
00007ffa18065024 (__TEXT,__text) non-external _glpLLVMSetGlobalConstant
00007ffa18065544 (__TEXT,__text) non-external _glpLLVMSetInitializer
00007ffa18064651 (__TEXT,__text) non-external _glpLLVMSharedRawCall
00007ffa1805c949 (__TEXT,__text) non-external _glpLLVMSplatConstantVector
00007ffa1805f966 (__TEXT,__text) non-external _glpLLVMSplatElement
00007ffa1805f7d9 (__TEXT,__text) non-external _glpLLVMSplatScalar
00007ffa180472e4 (__TEXT,__text) non-external _glpLLVMStringMetadata
00007ffa18060208 (__TEXT,__text) non-external _glpLLVMStructTypeInContext
00007ffa18061912 (__TEXT,__text) non-external _glpLLVMTruncateVector
00007ffa18045928 (__TEXT,__text) non-external _glpLLVMTypeInContextReal
00007ffa18052b58 (__TEXT,__text) non-external _glpLLVMTypeOf
00007ffa18060744 (__TEXT,__text) non-external _glpLLVMTypesEqual
00007ffa18058b60 (__TEXT,__text) non-external _glpLLVMUnaryOperation
00007ffa180618b6 (__TEXT,__text) non-external _glpLLVMUnpackDoubles
00007ffa18053cd5 (__TEXT,__text) non-external _glpLLVMVectorType
00007ffa18063880 (__TEXT,__text) non-external _glpLLVMVertexGeometryMetadata
00007ffa18046c07 (__TEXT,__text) non-external _glpLLVMVertexMetaData
00007ffa18052265 (__TEXT,__text) non-external _glpLLVMWriteOutput
00007ffa1809d75e (__TEXT,__text) non-external (was a private external) _glpLValueNodeGetIndexLevel
00007ffa1809d74a (__TEXT,__text) non-external (was a private external) _glpLValueNodeGetVariableExtra
00007ffa1809d72e (__TEXT,__text) non-external (was a private external) _glpLValueNodeGetVariableName
00007ffa1809d767 (__TEXT,__text) non-external (was a private external) _glpLValueNodeSetIndexLevel
00007ffa1809d754 (__TEXT,__text) non-external (was a private external) _glpLValueNodeSetVariableExtra
00007ffa1809d73c (__TEXT,__text) non-external (was a private external) _glpLValueNodeSetVariableName
00007ffa18069448 (__TEXT,__text) non-external (was a private external) _glpLanguageToString
00007ffa1806bbc4 (__TEXT,__text) non-external (was a private external) _glpLayoutMutexGroupBehavior
00007ffa1806bb54 (__TEXT,__text) non-external (was a private external) _glpLayoutMutexGroupToString
00007ffa18069def (__TEXT,__text) non-external (was a private external) _glpLayoutObjectAppend
00007ffa1806a814 (__TEXT,__text) non-external (was a private external) _glpLayoutObjectAppendInteger
00007ffa1806a87c (__TEXT,__text) non-external (was a private external) _glpLayoutObjectAppendMany
00007ffa18069ced (__TEXT,__text) non-external (was a private external) _glpLayoutObjectFind
00007ffa1806a962 (__TEXT,__text) non-external (was a private external) _glpLayoutObjectGetGeomInOut
00007ffa1806a922 (__TEXT,__text) non-external (was a private external) _glpLayoutObjectRemove
00007ffa1809cbe0 (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeGetIdentifier
00007ffa1809cc00 (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeGetString
00007ffa1809cc0e (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeGetType
00007ffa1809cbf7 (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeGetValue
00007ffa1809cbee (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeGetValueKind
00007ffa1809cc1b (__TEXT,__text) non-external (was a private external) _glpLayoutPairNodeSetType
00007ffa1806aad4 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierFromString
00007ffa1806bb34 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierMutexGroup
00007ffa1809c755 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierNodeAddLayoutPair
00007ffa1809c735 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierNodeGetLayoutPair
00007ffa1809c72c (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierNodeGetLayoutPairCount
00007ffa1809c762 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierNodeInsertLayoutPair
00007ffa1809c745 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierNodeSetLayoutPair
00007ffa1806baf1 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierToString
00007ffa1806bb17 (__TEXT,__text) non-external (was a private external) _glpLayoutQualifierValueBehavior
00007ffa1809c594 (__TEXT,__text) non-external (was a private external) _glpLayoutTypeNodeAddLayoutPair
00007ffa1809c574 (__TEXT,__text) non-external (was a private external) _glpLayoutTypeNodeGetLayoutPair
00007ffa1809c56b (__TEXT,__text) non-external (was a private external) _glpLayoutTypeNodeGetLayoutPairCount
00007ffa1809c5a1 (__TEXT,__text) non-external (was a private external) _glpLayoutTypeNodeInsertLayoutPair
00007ffa1809c584 (__TEXT,__text) non-external (was a private external) _glpLayoutTypeNodeSetLayoutPair
00007ffa180cb380 (__TEXT,__text) non-external (was a private external) _glpLexerFatalError
00007ffa180cfea9 (__TEXT,__text) non-external (was a private external) _glpLexerFree
00007ffa180cfe89 (__TEXT,__text) non-external (was a private external) _glpLexerNew
00007ffa1806c190 (__TEXT,__text) non-external (was a private external) _glpLinkProgram
00007ffa1807017e (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetActiveOutComponents
00007ffa1807012e (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetAttribHash
00007ffa18070094 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetBindableUniformHash
00007ffa18070155 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetContextStateUniforms
00007ffa1807016f (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetDefaultUniformLocationCount
00007ffa1807013b (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetOutputHash
00007ffa1807018d (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetOverrides
00007ffa18070071 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetPPStreamManager
00007ffa18070148 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetSamplerLocations
00007ffa1807007d (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetShaderBytesCode
00007ffa180700a8 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetSubroutineHash
00007ffa180700b5 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetSubroutineUniformHash
00007ffa180700c5 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetSubroutineUniformLocationCount
00007ffa18070162 (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetTransformFeedbackHash
00007ffa1807008a (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetUniformHash
00007ffa1807009e (__TEXT,__text) non-external (was a private external) _glpLinkedProgramGetUniformInterfaceBlockHash
00007ffa1806c03c (__TEXT,__text) non-external (was a private external) _glpLinkerAddShader
00007ffa1806fae0 (__TEXT,__text) non-external (was a private external) _glpLinkerGetAllocator
00007ffa18070065 (__TEXT,__text) non-external (was a private external) _glpLinkerGetCodeGenType
00007ffa1806c033 (__TEXT,__text) non-external (was a private external) _glpLinkerGetGenerateDebugMetadata
00007ffa1806c029 (__TEXT,__text) non-external (was a private external) _glpLinkerGetInfoLog
00007ffa1806c12e (__TEXT,__text) non-external (was a private external) _glpLinkerGetMergedAST
00007ffa1806fb01 (__TEXT,__text) non-external (was a private external) _glpLinkerPoolAlloc
00007ffa180617e5 (__TEXT,__text) non-external _glpLoadSourceVariable
00007ffa1803d557 (__TEXT,__text) non-external (was a private external) _glpLockPoolAllocator
00007ffa1807af2c (__TEXT,__text) non-external (was a private external) _glpLogGetString
00007ffa1807af22 (__TEXT,__text) non-external (was a private external) _glpLogGetStringBuffer
00007ffa1807ad99 (__TEXT,__text) non-external (was a private external) _glpLogMessage
00007ffa1807aedc (__TEXT,__text) non-external (was a private external) _glpLogSuppress
00007ffa1807ee72 (__TEXT,__text) non-external (was a private external) _glpLookUpAndAnalyzeCall
00007ffa1809cf19 (__TEXT,__text) non-external (was a private external) _glpLoopStatementNodeGetBody0
00007ffa1809cf33 (__TEXT,__text) non-external (was a private external) _glpLoopStatementNodeGetBody1
00007ffa1809cf26 (__TEXT,__text) non-external (was a private external) _glpLoopStatementNodeSetBody0
00007ffa1809cf41 (__TEXT,__text) non-external (was a private external) _glpLoopStatementNodeSetBody1
00007ffa1807f8a5 (__TEXT,__text) non-external (was a private external) _glpLowerCallToBodilessPPStreamOp
00007ffa1808ea87 (__TEXT,__text) non-external (was a private external) _glpLowerCaseCopyOfString
00007ffa180910d8 (__TEXT,__text) non-external (was a private external) _glpLowerNonatomicTypeConversion
00007ffa180918d7 (__TEXT,__text) non-external (was a private external) _glpMakeAccessor
00007ffa180b74bf (__TEXT,__text) non-external (was a private external) _glpMakeAddFragment
00007ffa1809af87 (__TEXT,__text) non-external (was a private external) _glpMakeAddNode
00007ffa180b7239 (__TEXT,__text) non-external (was a private external) _glpMakeArrayAccessFragment
00007ffa1809a7b9 (__TEXT,__text) non-external (was a private external) _glpMakeArrayAccessNode
00007ffa180b6d4a (__TEXT,__text) non-external (was a private external) _glpMakeArrayIndexOffsetFragment
00007ffa1808f459 (__TEXT,__text) non-external (was a private external) _glpMakeArrayType
00007ffa1809c220 (__TEXT,__text) non-external (was a private external) _glpMakeArrayTypeNode
00007ffa180b72bb (__TEXT,__text) non-external (was a private external) _glpMakeAssignFragment
00007ffa1809b5e1 (__TEXT,__text) non-external (was a private external) _glpMakeAssignNode
00007ffa1809d3c3 (__TEXT,__text) non-external (was a private external) _glpMakeAvailabilityDeclarationNode
00007ffa1808f4b5 (__TEXT,__text) non-external (was a private external) _glpMakeBankType
00007ffa180b756d (__TEXT,__text) non-external (was a private external) _glpMakeBinopFuncallFragment
00007ffa1809b41c (__TEXT,__text) non-external (was a private external) _glpMakeBitwiseAndNode
00007ffa1809ae2b (__TEXT,__text) non-external (was a private external) _glpMakeBitwiseNotNode
00007ffa1809b473 (__TEXT,__text) non-external (was a private external) _glpMakeBitwiseOrNode
00007ffa1809b4ca (__TEXT,__text) non-external (was a private external) _glpMakeBitwiseXorNode
00007ffa1809cc95 (__TEXT,__text) non-external (was a private external) _glpMakeBlockNode
00007ffa1809d0f6 (__TEXT,__text) non-external (was a private external) _glpMakeBreakStatementNode
00007ffa18068990 (__TEXT,__text) non-external (was a private external) _glpMakeBufferObject
00007ffa1809cfe3 (__TEXT,__text) non-external (was a private external) _glpMakeCaseStatementNode
00007ffa1803f624 (__TEXT,__text) non-external (was a private external) _glpMakeCodeGenContext
00007ffa1809b740 (__TEXT,__text) non-external (was a private external) _glpMakeCommaExprNode
00007ffa1806bd6e (__TEXT,__text) non-external (was a private external) _glpMakeCompiledShader
00007ffa1806597c (__TEXT,__text) non-external (was a private external) _glpMakeCompiler
00007ffa1809a730 (__TEXT,__text) non-external (was a private external) _glpMakeConstantNode
00007ffa180bd280 (__TEXT,__text) non-external _glpMakeConstantNodeFromNodeAndMutableValue
00007ffa180b6cfb (__TEXT,__text) non-external (was a private external) _glpMakeConstantValueFragment
00007ffa1809ab4e (__TEXT,__text) non-external (was a private external) _glpMakeConstructorCallNode
00007ffa1809d14d (__TEXT,__text) non-external (was a private external) _glpMakeContinueStatementNode
00007ffa180b6422 (__TEXT,__text) non-external (was a private external) _glpMakeCopyFunctionDefinitionFragment
00007ffa180b649a (__TEXT,__text) non-external (was a private external) _glpMakeCopyInAssignFragment
00007ffa180b662f (__TEXT,__text) non-external (was a private external) _glpMakeCopyOutAssignFragment
00007ffa180b63e0 (__TEXT,__text) non-external (was a private external) _glpMakeCopyVarDeclFragment
00007ffa1803c612 (__TEXT,__text) non-external (was a private external) _glpMakeDataHash
00007ffa180b6bad (__TEXT,__text) non-external (was a private external) _glpMakeDecrementFragment
00007ffa1809d07f (__TEXT,__text) non-external (was a private external) _glpMakeDefaultStatementNode
00007ffa1809d1a4 (__TEXT,__text) non-external (was a private external) _glpMakeDiscardStatementNode
00007ffa1809aed9 (__TEXT,__text) non-external (was a private external) _glpMakeDivideNode
00007ffa180b782c (__TEXT,__text) non-external (was a private external) _glpMakeDoWhileFragment
00007ffa180b7323 (__TEXT,__text) non-external (was a private external) _glpMakeEqualFragment
00007ffa1809b23f (__TEXT,__text) non-external (was a private external) _glpMakeEqualNode
00007ffa1807ed80 (__TEXT,__text) non-external (was a private external) _glpMakeExpectedSignatureFromCall
00007ffa1809cc28 (__TEXT,__text) non-external (was a private external) _glpMakeExpressionStatementNode
00007ffa180b71fb (__TEXT,__text) non-external (was a private external) _glpMakeFieldAccessFragment
00007ffa1809a85c (__TEXT,__text) non-external (was a private external) _glpMakeFieldAccessNode
00007ffa1809c2c3 (__TEXT,__text) non-external (was a private external) _glpMakeFieldDeclarationNode
00007ffa180b6e1a (__TEXT,__text) non-external (was a private external) _glpMakeFieldOffsetFragment
00007ffa180b7964 (__TEXT,__text) non-external (was a private external) _glpMakeForFragment
00007ffa18073ee5 (__TEXT,__text) non-external (was a private external) _glpMakeFragmentOutputBindings
00007ffa1809a985 (__TEXT,__text) non-external (was a private external) _glpMakeFunctionCallNode
00007ffa1809c06e (__TEXT,__text) non-external (was a private external) _glpMakeFunctionDefinitionNode
00007ffa18068021 (__TEXT,__text) non-external (was a private external) _glpMakeFunctionObject
00007ffa1809b97f (__TEXT,__text) non-external (was a private external) _glpMakeFunctionPrototypeNode
00007ffa1808f51a (__TEXT,__text) non-external (was a private external) _glpMakeFunctionType
00007ffa1809cacd (__TEXT,__text) non-external (was a private external) _glpMakeGlobalTypeQualifierNode
00007ffa1809b1e8 (__TEXT,__text) non-external (was a private external) _glpMakeGreaterEqualNode
00007ffa1809b191 (__TEXT,__text) non-external (was a private external) _glpMakeGreaterNode
00007ffa1809d7f5 (__TEXT,__text) non-external (was a private external) _glpMakeIBPartialDerefNode
00007ffa180b6eaf (__TEXT,__text) non-external (was a private external) _glpMakeIfExprFragment
00007ffa1809b521 (__TEXT,__text) non-external (was a private external) _glpMakeIfExprNode
00007ffa1809cdfb (__TEXT,__text) non-external (was a private external) _glpMakeIfStatementNode
00007ffa180b6a5f (__TEXT,__text) non-external (was a private external) _glpMakeIncrementFragment
00007ffa1803bfda (__TEXT,__text) non-external (was a private external) _glpMakeIntHash
00007ffa1809c3d2 (__TEXT,__text) non-external (was a private external) _glpMakeInterfaceBlockNode
00007ffa18075b73 (__TEXT,__text) non-external (was a private external) _glpMakeInterstageBindings
00007ffa1809c662 (__TEXT,__text) non-external (was a private external) _glpMakeKeywordQualifierNode
00007ffa18044800 (__TEXT,__text) non-external (was a private external) _glpMakeLLVMCodeGenContext
00007ffa18082e9d (__TEXT,__text) non-external (was a private external) _glpMakeLValueForVariableObject
00007ffa1809d698 (__TEXT,__text) non-external (was a private external) _glpMakeLValueNode
00007ffa18069ccc (__TEXT,__text) non-external (was a private external) _glpMakeLayoutObject
00007ffa1809cb5c (__TEXT,__text) non-external (was a private external) _glpMakeLayoutPairNode
00007ffa1809c6ce (__TEXT,__text) non-external (was a private external) _glpMakeLayoutQualifierNode
00007ffa1809c51c (__TEXT,__text) non-external (was a private external) _glpMakeLayoutTypeNode
00007ffa1809b13a (__TEXT,__text) non-external (was a private external) _glpMakeLessEqualNode
00007ffa1809b0e3 (__TEXT,__text) non-external (was a private external) _glpMakeLessNode
00007ffa1806bdc1 (__TEXT,__text) non-external (was a private external) _glpMakeLinker
00007ffa1807ad30 (__TEXT,__text) non-external (was a private external) _glpMakeLog
00007ffa180b73f3 (__TEXT,__text) non-external (was a private external) _glpMakeLogicalAndFragment
00007ffa1809b317 (__TEXT,__text) non-external (was a private external) _glpMakeLogicalAndNode
00007ffa1809add4 (__TEXT,__text) non-external (was a private external) _glpMakeLogicalNotNode
00007ffa180b7459 (__TEXT,__text) non-external (was a private external) _glpMakeLogicalOrFragment
00007ffa1809b36e (__TEXT,__text) non-external (was a private external) _glpMakeLogicalOrNode
00007ffa1809b3c5 (__TEXT,__text) non-external (was a private external) _glpMakeLogicalXorNode
00007ffa1809cebb (__TEXT,__text) non-external (was a private external) _glpMakeLoopStatementNode
00007ffa180b69b5 (__TEXT,__text) non-external (was a private external) _glpMakeMainReturnFragment
00007ffa1809aab0 (__TEXT,__text) non-external (was a private external) _glpMakeMethodCallNode
00007ffa1809af30 (__TEXT,__text) non-external (was a private external) _glpMakeModuloNode
00007ffa1809ae82 (__TEXT,__text) non-external (was a private external) _glpMakeMultiplyNode
00007ffa18093e00 (__TEXT,__text) non-external (was a private external) _glpMakeMutableValue
00007ffa1807af3a (__TEXT,__text) non-external (was a private external) _glpMakeNameTable
00007ffa180683d6 (__TEXT,__text) non-external (was a private external) _glpMakeNamedInterfaceBlockObject
00007ffa1809ad7d (__TEXT,__text) non-external (was a private external) _glpMakeNegateNode
00007ffa180b738b (__TEXT,__text) non-external (was a private external) _glpMakeNotEqualFragment
00007ffa1809b2ab (__TEXT,__text) non-external (was a private external) _glpMakeNotEqualNode
00007ffa1809d536 (__TEXT,__text) non-external (was a private external) _glpMakeOffsetNode
00007ffa18068aa1 (__TEXT,__text) non-external (was a private external) _glpMakeOffsetObject
00007ffa1809b65c (__TEXT,__text) non-external (was a private external) _glpMakeOpAssignNode
00007ffa1809d889 (__TEXT,__text) non-external (was a private external) _glpMakePPStreamOpNode
00007ffa1809b8e0 (__TEXT,__text) non-external (was a private external) _glpMakeParameterDeclarationNode
00007ffa1803bce7 (__TEXT,__text) non-external (was a private external) _glpMakePointerHash
00007ffa1809ac21 (__TEXT,__text) non-external (was a private external) _glpMakePostdecrementNode
00007ffa1809abca (__TEXT,__text) non-external (was a private external) _glpMakePostincrementNode
00007ffa1809be05 (__TEXT,__text) non-external (was a private external) _glpMakePrecisionDeclarationNode
00007ffa1809accf (__TEXT,__text) non-external (was a private external) _glpMakePredecrementNode
00007ffa1809ac78 (__TEXT,__text) non-external (was a private external) _glpMakePreincrementNode
00007ffa1809c1b4 (__TEXT,__text) non-external (was a private external) _glpMakePrimitiveTypeNode
00007ffa1809bf28 (__TEXT,__text) non-external (was a private external) _glpMakeQualifiedDeclarationGroupNode
00007ffa1809be99 (__TEXT,__text) non-external (was a private external) _glpMakeQualifiedDeclarationNode
00007ffa1809c111 (__TEXT,__text) non-external (was a private external) _glpMakeQualifiedTypeNode
00007ffa1809c978 (__TEXT,__text) non-external (was a private external) _glpMakeQualifierListNode
00007ffa1809d770 (__TEXT,__text) non-external (was a private external) _glpMakeRValueNode
00007ffa1809d423 (__TEXT,__text) non-external (was a private external) _glpMakeRawCallNode
00007ffa1809d1fb (__TEXT,__text) non-external (was a private external) _glpMakeReturnStatementNode
00007ffa18091ef4 (__TEXT,__text) non-external (was a private external) _glpMakeScalarAccessor
00007ffa1809b035 (__TEXT,__text) non-external (was a private external) _glpMakeShiftLeftNode
00007ffa1809b08c (__TEXT,__text) non-external (was a private external) _glpMakeShiftRightNode
00007ffa18093de0 (__TEXT,__text) non-external (was a private external) _glpMakeSourceLocation
00007ffa180b6814 (__TEXT,__text) non-external (was a private external) _glpMakeStoreFragment
00007ffa1806c140 (__TEXT,__text) non-external _glpMakeString
00007ffa1808eb5e (__TEXT,__text) non-external (was a private external) _glpMakeStringBuffer
00007ffa1803b911 (__TEXT,__text) non-external (was a private external) _glpMakeStringHash
00007ffa180ce85f (__TEXT,__text) non-external _glpMakeStringZ
00007ffa180daf8e (__TEXT,__text) non-external _glpMakeStringZ
00007ffa1808f37e (__TEXT,__text) non-external (was a private external) _glpMakeStructType
00007ffa1809c352 (__TEXT,__text) non-external (was a private external) _glpMakeStructTypeNode
00007ffa1809aa12 (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineArrayCallNode
00007ffa180b75ca (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineImplementationFragment
00007ffa180b76e0 (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineParameterFragment
00007ffa1809d4b1 (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineRawCallNode
00007ffa1808f5a8 (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineType
00007ffa1809c823 (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineTypeListNode
00007ffa1809d93e (__TEXT,__text) non-external (was a private external) _glpMakeSubroutineUniformNode
00007ffa1809afde (__TEXT,__text) non-external (was a private external) _glpMakeSubtractNode
00007ffa1809cf4f (__TEXT,__text) non-external (was a private external) _glpMakeSwitchStatementNode
00007ffa1805e1b2 (__TEXT,__text) non-external _glpMakeSwizzle
00007ffa18069870 (__TEXT,__text) non-external _glpMakeSwizzle
00007ffa18071eb4 (__TEXT,__text) non-external _glpMakeSwizzle
00007ffa180bebbe (__TEXT,__text) non-external _glpMakeSwizzle
00007ffa18091aa4 (__TEXT,__text) non-external (was a private external) _glpMakeTemporary
00007ffa1809d287 (__TEXT,__text) non-external (was a private external) _glpMakeTopLevelNode
00007ffa1809a5b5 (__TEXT,__text) non-external (was a private external) _glpMakeTypeConversionNode
00007ffa1809a6c6 (__TEXT,__text) non-external (was a private external) _glpMakeTypeIdentifierNode
00007ffa1803c8db (__TEXT,__text) non-external (was a private external) _glpMakeTypeSize
00007ffa1803c2d7 (__TEXT,__text) non-external (was a private external) _glpMakeTypedValueHash
00007ffa180b7160 (__TEXT,__text) non-external (was a private external) _glpMakeTypedVariableFragment
00007ffa1809ad26 (__TEXT,__text) non-external (was a private external) _glpMakeUnaryPlusNode
00007ffa1809a8fa (__TEXT,__text) non-external (was a private external) _glpMakeUndeterminedCallNode
00007ffa180683a6 (__TEXT,__text) non-external (was a private external) _glpMakeUnnamedInterfaceBlockObject
00007ffa180b7525 (__TEXT,__text) non-external (was a private external) _glpMakeUnopFuncallFragment
00007ffa180b67bd (__TEXT,__text) non-external (was a private external) _glpMakeVRLFunctionFragment
00007ffa1809bc9a (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationGroupNode
00007ffa1809bb99 (__TEXT,__text) non-external (was a private external) _glpMakeVariableDeclarationNode
00007ffa1809a64d (__TEXT,__text) non-external (was a private external) _glpMakeVariableIdentifierNode
00007ffa180680b7 (__TEXT,__text) non-external (was a private external) _glpMakeVariableObject
00007ffa1807253b (__TEXT,__text) non-external (was a private external) _glpMakeVertexInputBindings
00007ffa180b7716 (__TEXT,__text) non-external (was a private external) _glpMakeWhileFragment
00007ffa1809b6e2 (__TEXT,__text) non-external (was a private external) _glpMakeWriteOutputNode
00007ffa1803d300 (__TEXT,__text) non-external _glpMallocAlloc
00007ffa180dbc1e (__TEXT,__text) non-external _glpMallocAlloc
