00007ffd03f7af9c (__TEXT,__text) non-external +[ODCAction action]
00007ffd03f86e60 (__TEXT,__text) external _schema_construct_resultv
00007ffd03f86ad1 (__TEXT,__text) external _schema_deconstruct_request
00007ffd03f86f24 (__TEXT,__text) external _schema_deconstruct_result
00007ffd03f86da9 (__TEXT,__text) external _schema_get_callback
00007ffd03f873a5 (__TEXT,__text) non-external _schema_get_callback.cold.1
00007ffd03f86d2c (__TEXT,__text) external _schema_set_callback
00007ffd03f873a5 (__TEXT,__text) non-external _schema_set_callback.cold.1
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
