00000001d5486d78 (__DATA,__data) non-external _C
00000001d3301cf0 (__DATA_CONST,__const) non-external _categories
000000018032c240 (__TEXT,__text) external _catgets
000000018032bb5c (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
000000018032364c (__TEXT,__text) external _cfgetispeed
00000001802f204c (__TEXT,__text) external _cfgetospeed
0000000180323678 (__TEXT,__text) external _cfmakeraw
0000000180323660 (__TEXT,__text) external _cfsetispeed
0000000180323654 (__TEXT,__text) external _cfsetospeed
000000018032366c (__TEXT,__text) external _cfsetspeed
000000018031f898 (__TEXT,__text) external _cgetcap
0000000180320078 (__TEXT,__text) external _cgetclose
000000018031f924 (__TEXT,__text) external _cgetent
0000000180320008 (__TEXT,__text) external _cgetfirst
000000018031ff90 (__TEXT,__text) external _cgetmatch
00000001803200c4 (__TEXT,__text) external _cgetnext
0000000180320844 (__TEXT,__text) external _cgetnum
000000018031f808 (__TEXT,__text) external _cgetset
000000018032047c (__TEXT,__text) external _cgetstr
000000018032074c (__TEXT,__text) external _cgetustr
0000000180325238 (__TEXT,__text) non-external _chainsearch
000000018034b828 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00000001802fafc4 (__TEXT,__text) non-external _check_env_var
00000001802e83c8 (__TEXT,__text) non-external _chmodx1
00000001802e838c (__TEXT,__text) external _chmodx_np
00000001802e85ec (__TEXT,__text) non-external _chmodx_syscall
000000018032c690 (__TEXT,__text) external _clearerr
000000018032c6d4 (__TEXT,__text) external _clearerr_unlocked
00000001802f70a4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180304954 (__TEXT,__text) external _clock_getres
00000001802e02f0 (__TEXT,__text) external _clock_gettime
00000001802d34e0 (__TEXT,__text) external _clock_gettime_nsec_np
00000001d65f31bc (__DATA_DIRTY,__common) external _clock_port
00000001d65f31b8 (__DATA_DIRTY,__common) external _clock_sem
00000001803049f8 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802e7600 (__TEXT,__text) non-external _close_directory
00000001802d87ec (__TEXT,__text) external _closedir
00000001d33022f8 (__DATA_CONST,__const) non-external _cnames
0000000180318904 (__TEXT,__text) non-external _collect_data
0000000180318abc (__TEXT,__text) non-external _collect_key
000000018034bd1a (__TEXT,__const) non-external _command_substitution_str
00000001802fadcc (__TEXT,__text) external _compat_mode
00000001802d7d84 (__TEXT,__text) external _confstr
00000001d5487ee8 (__DATA,__bss) non-external _constdatablock
0000000180310e38 (__TEXT,__text) external _copy_printf_domain
00000001802fe07c (__TEXT,__text) external _creat
0000000180312dac (__TEXT,__text) external _creat$NOCANCEL
0000000180307360 (__TEXT,__text) external _crypt
00000001d5487ed0 (__DATA,__bss) non-external _cryptresult
000000018031dcb4 (__TEXT,__text) external _ctermid
00000001d5486db8 (__DATA,__data) non-external _ctermid.def
000000018031dcdc (__TEXT,__text) external _ctermid_r
00000001802fbc3c (__TEXT,__text) external _ctime
00000001802f0750 (__TEXT,__text) external _ctime_r
00000001d5486efc (__DATA,__data) non-external _current_categories
00000001802f2054 (__TEXT,__text) non-external _currentlocale
00000001d5488a20 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001d5488088 (__DATA,__bss) non-external _curshell
000000018031dcfc (__TEXT,__text) external _daemon
00000001d54870a8 (__DATA,__data) non-external _dash_prefix
00000001d65f31d8 (__DATA_DIRTY,__common) external _daylight
000000018031ac54 (__TEXT,__text) external _dbm_clearerr
000000018031aa9c (__TEXT,__text) external _dbm_close
000000018031abd0 (__TEXT,__text) external _dbm_delete
000000018031ac64 (__TEXT,__text) external _dbm_dirfno
000000018031ac48 (__TEXT,__text) external _dbm_error
000000018031aaa4 (__TEXT,__text) external _dbm_fetch
000000018031aaec (__TEXT,__text) external _dbm_firstkey
000000018031ab58 (__TEXT,__text) external _dbm_nextkey
000000018031a9b0 (__TEXT,__text) external _dbm_open
000000018031ac08 (__TEXT,__text) external _dbm_store
0000000180316dcc (__TEXT,__text) external _dbopen
00000001d5488748 (__DATA,__bss) non-external _dbp
00000001d5488048 (__DATA,__bss) non-external _decpreg
000000018034be2c (__TEXT,__const) non-external _degrees
0000000180302804 (__TEXT,__text) external _devname
00000001d5487fa8 (__DATA,__bss) non-external _devname.buf
000000018030287c (__TEXT,__text) external _devname_r
00000001802fcf04 (__TEXT,__text) external _difftime
000000018030ca90 (__TEXT,__text) external _digittoint
000000018030cd88 (__TEXT,__text) external _digittoint_l
00000001802fd698 (__TEXT,__text) external _dirfd
00000001802ff218 (__TEXT,__text) external _dirname
00000001d54886e0 (__DATA,__bss) non-external _dirname.dname
00000001802f6c28 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00000001802fad9c (__TEXT,__text) external _div
00000001d5486c78 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
0000000180324634 (__TEXT,__text) non-external _do_hvis
0000000180324770 (__TEXT,__text) non-external _do_mvis
00000001802f55a8 (__TEXT,__text) non-external _do_svis
00000001802fe1d8 (__TEXT,__text) external _dprintf
000000018032c6e4 (__TEXT,__text) external _dprintf_l
00000001802f9970 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802e5220 (__TEXT,__text) external _duplocale
0000000180310a88 (__TEXT,__text) external _dxprintf
00000001803111d8 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018033cbe4 (__TEXT,__text) external _ecvt
00000001d5488830 (__DATA,__bss) non-external _empty
00000001d5488840 (__DATA,__bss) non-external _empty
00000001d5488854 (__DATA,__bss) non-external _empty
00000001803080c0 (__TEXT,__text) external _encrypt
000000018030b848 (__TEXT,__text) non-external _end_asl
000000018030b888 (__TEXT,__text) non-external _end_file
00000001d54870e8 (__DATA,__data) non-external _end_ptr
0000000180309e8c (__TEXT,__text) external _endttyent
000000018030a1dc (__TEXT,__text) external _endusershell
0000000180341730 (__TEXT,__text) external _endutxent
000000018030b6a4 (__TEXT,__text) external _endutxent_wtmp
00000001803397e4 (__TEXT,__text) external _environ_lock_np
00000001d65f1928 (__DATA_DIRTY,__bss) non-external _environ_pointer
00000001803397f4 (__TEXT,__text) external _environ_unlock_np
00000001802dd9b0 (__TEXT,__text) non-external _eofread
0000000180335fec (__TEXT,__text) non-external _eofread
000000018031de90 (__TEXT,__text) external _erand48
0000000180347d30 (__TEXT,__text) external _err
0000000180320f14 (__TEXT,__text) non-external _err_aborted
000000018031e06c (__TEXT,__text) external _err_set_exit
000000018031e0c4 (__TEXT,__text) external _err_set_exit_b
000000018031e04c (__TEXT,__text) external _err_set_file
0000000180347e98 (__TEXT,__text) external _errc
0000000180347eb8 (__TEXT,__text) external _errx
000000018034b308 (__TEXT,__const) non-external _escape
000000018031e120 (__TEXT,__text) external _execl
000000018031e210 (__TEXT,__text) external _execle
000000018031e308 (__TEXT,__text) external _execlp
000000018031e458 (__TEXT,__text) external _execv
000000018031e494 (__TEXT,__text) external _execvP
000000018031e4e0 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018031e3f4 (__TEXT,__text) external _execvp
00000001802f8cf4 (__TEXT,__text) external _exit
00000001803103b4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
000000018032cde8 (__TEXT,__text) external _f_prealloc
00000001803053e4 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802e8604 (__TEXT,__text) external _fchmodx_np
00000001802e8640 (__TEXT,__text) non-external _fchmodx_syscall
00000001802efd50 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018033cdb0 (__TEXT,__text) external _fcvt
00000001802fa854 (__TEXT,__text) external _fdopen
00000001802f2adc (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180321308 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180303664 (__TEXT,__text) external _feof
000000018032c710 (__TEXT,__text) external _feof_unlocked
00000001802fd010 (__TEXT,__text) external _ferror
000000018032c71c (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
000000018031a930 (__TEXT,__text) non-external _fetch_bitmap
000000018030a884 (__TEXT,__text) external _fflagstostr
00000001802e1738 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00000001802fd6c8 (__TEXT,__text) external _fgetc
0000000180301b88 (__TEXT,__text) external _fgetln
000000018032c764 (__TEXT,__text) external _fgetpos
0000000180311ea4 (__TEXT,__text) external _fgetrune
00000001d54886bc (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001802efc1c (__TEXT,__text) external _fgets
000000018032c794 (__TEXT,__text) external _fgetwc
000000018032c920 (__TEXT,__text) external _fgetwc_l
000000018032ca84 (__TEXT,__text) external _fgetwln
000000018032c9a8 (__TEXT,__text) external _fgetwln_l
000000018032cc80 (__TEXT,__text) external _fgetws
000000018032caa8 (__TEXT,__text) external _fgetws_l
00000001d65f16d0 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001802e6204 (__TEXT,__text) external _fileno
000000018032cca4 (__TEXT,__text) external _fileno_unlocked
00000001802df6f4 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001802e82fc (__TEXT,__text) external _filesec_dup
00000001802dfa98 (__TEXT,__text) external _filesec_free
00000001802df73c (__TEXT,__text) external _filesec_get_property
00000001802df4a4 (__TEXT,__text) external _filesec_init
0000000180308944 (__TEXT,__text) external _filesec_query_property
00000001802df4c8 (__TEXT,__text) external _filesec_set_property
0000000180303a74 (__TEXT,__text) external _filesec_unset_property
00000001802e6434 (__TEXT,__text) non-external _find_temp_path
00000001802f89c4 (__TEXT,__text) non-external _first_wday_of
00000001802e1798 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180317c50 (__TEXT,__text) non-external _flush_meta
0000000180340e10 (__TEXT,__text) non-external _flush_queues
00000001803388f8 (__TEXT,__text) external _fmemopen
0000000180338c38 (__TEXT,__text) non-external _fmemopen_close
0000000180338ac8 (__TEXT,__text) non-external _fmemopen_read
0000000180338bb0 (__TEXT,__text) non-external _fmemopen_seek
0000000180338b24 (__TEXT,__text) non-external _fmemopen_write
00000001d3301ea8 (__DATA_CONST,__const) non-external _fmt_padding
00000001802fa2d8 (__TEXT,__text) external _fmtcheck
000000018031e8bc (__TEXT,__text) external _fmtmsg
00000001802fb4b4 (__TEXT,__text) external _fnmatch
00000001802e1ca4 (__TEXT,__text) external _fopen
0000000180346ca8 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001802f4958 (__TEXT,__text) external _fork
00000001802f4620 (__TEXT,__text) external _forkpty
0000000180301888 (__TEXT,__text) external _fparseln
000000018034afbc (__TEXT,__const) non-external _fparseln.dstr
00000001802e3434 (__TEXT,__text) external _fprintf
000000018032ce74 (__TEXT,__text) external _fprintf_l
00000001d54870d8 (__DATA,__data) non-external _fptr
000000018032cea0 (__TEXT,__text) external _fpurge
0000000180302dd8 (__TEXT,__text) external _fputc
0000000180312094 (__TEXT,__text) external _fputrune
00000001d54886c4 (__DATA,__bss) non-external _fputrune.warn_depreciated
00000001802fd478 (__TEXT,__text) external _fputs
000000018032d024 (__TEXT,__text) external _fputwc
000000018032d0a8 (__TEXT,__text) external _fputwc_l
000000018032d290 (__TEXT,__text) external _fputws
000000018032d13c (__TEXT,__text) external _fputws_l
00000001802e6138 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180310c08 (__TEXT,__text) external _free_printf_comp
0000000180310ee8 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001802e578c (__TEXT,__text) external _freelocale
000000018032d460 (__TEXT,__text) external _freopen
000000018032d778 (__TEXT,__text) external _fscanf
000000018032d7f0 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802e5b08 (__TEXT,__text) external _fseek
00000001802e5b90 (__TEXT,__text) external _fseeko
000000018032d878 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180307014 (__TEXT,__text) external _fstatvfs
0000000180311d20 (__TEXT,__text) external _fstatx_np
00000001802e85fc (__TEXT,__text) non-external _fstatx_syscall
00000001d5486cd8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001803129e8 (__TEXT,__text) external _fsync_volume_np
00000001802e6198 (__TEXT,__text) external _ftell
00000001802e5fa8 (__TEXT,__text) external _ftello
0000000180336628 (__TEXT,__text) external _ftime
000000018031f5e4 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018032c61c (__TEXT,__text) external _ftrylockfile
00000001802e3150 (__TEXT,__text) non-external _fts_alloc
00000001802e696c (__TEXT,__text) non-external _fts_build
0000000180347470 (__TEXT,__text) non-external _fts_build.cold.1
000000018034748c (__TEXT,__text) non-external _fts_build.cold.2
00000001803474a8 (__TEXT,__text) non-external _fts_build.cold.3
00000001803474c4 (__TEXT,__text) non-external _fts_build.cold.4
00000001803474e0 (__TEXT,__text) non-external _fts_build.cold.5
00000001803474fc (__TEXT,__text) non-external _fts_build.cold.6
0000000180309374 (__TEXT,__text) external _fts_children
0000000180308b40 (__TEXT,__text) external _fts_close
0000000180308cb8 (__TEXT,__text) non-external _fts_fchdir
0000000180308c64 (__TEXT,__text) non-external _fts_free
0000000180309298 (__TEXT,__text) non-external _fts_load
00000001803089f4 (__TEXT,__text) external _fts_open
0000000180308a8c (__TEXT,__text) external _fts_open_b
00000001802e30d0 (__TEXT,__text) non-external _fts_palloc
0000000180308cd0 (__TEXT,__text) external _fts_read
00000001802e7460 (__TEXT,__text) non-external _fts_safe_changedir
000000018030933c (__TEXT,__text) external _fts_set
00000001803094e4 (__TEXT,__text) non-external _fts_sort
00000001802e31f0 (__TEXT,__text) non-external _fts_stat2
000000018030a2d0 (__TEXT,__text) external _ftw
0000000180311fdc (__TEXT,__text) external _fungetrune
00000001d54886c0 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001802e1948 (__TEXT,__text) external _funlockfile
00000001802f7008 (__TEXT,__text) external _funopen
000000018032d884 (__TEXT,__text) external _fwide
000000018032d8f0 (__TEXT,__text) external _fwprintf
000000018032d940 (__TEXT,__text) external _fwprintf_l
00000001802f1db0 (__TEXT,__text) external _fwrite
000000018032d96c (__TEXT,__text) external _fwscanf
000000018032d9bc (__TEXT,__text) external _fwscanf_l
0000000180310ac4 (__TEXT,__text) external _fxprintf
0000000180311218 (__TEXT,__text) external _fxprintf_exec
00000001d5486c30 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180320e64 (__TEXT,__text) non-external _g_opendir
0000000180320db8 (__TEXT,__text) non-external _g_stat
000000018033cdb8 (__TEXT,__text) external _gcvt
00000001802e48a8 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001d65f1958 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001d65f1250 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00000001803060d8 (__TEXT,__text) non-external _generalSlowpath
0000000180347208 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180347394 (__TEXT,__text) non-external _generalSlowpath.cold.10
00000001803473c0 (__TEXT,__text) non-external _generalSlowpath.cold.11
00000001803473ec (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180347418 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180347234 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180347260 (__TEXT,__text) non-external _generalSlowpath.cold.3
000000018034728c (__TEXT,__text) non-external _generalSlowpath.cold.4
00000001803472b8 (__TEXT,__text) non-external _generalSlowpath.cold.5
00000001803472e4 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180347310 (__TEXT,__text) non-external _generalSlowpath.cold.7
000000018034733c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180347368 (__TEXT,__text) non-external _generalSlowpath.cold.9
000000018030b8d0 (__TEXT,__text) non-external _get_asl
00000001d5488120 (__DATA,__bss) non-external _get_asl.utx
00000001d548867c (__DATA,__bss) non-external _get_clock.adjustment
00000001d5488690 (__DATA,__bss) non-external _get_clock.clock_seq
00000001d5488680 (__DATA,__bss) non-external _get_clock.last
000000018030bc40 (__TEXT,__text) non-external _get_file
00000001d54883a0 (__DATA,__bss) non-external _get_file.ux
00000001802fa358 (__TEXT,__text) non-external _get_next_format
00000001802fa4ec (__TEXT,__text) non-external _get_next_format_from_precision
00000001802fa48c (__TEXT,__text) non-external _get_next_format_from_width
000000018033d308 (__TEXT,__text) non-external _getargs
000000018033de38 (__TEXT,__text) non-external _getargs
000000018033e8e4 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018032ab94 (__TEXT,__text) non-external _getbits
000000018034b9c9 (__TEXT,__const) non-external _getbits.digits
000000018031f64c (__TEXT,__text) external _getbsize
00000001d5488710 (__DATA,__bss) non-external _getbsize.header
000000018030345c (__TEXT,__text) external _getc
000000018032d9e8 (__TEXT,__text) external _getc_unlocked
000000018032da14 (__TEXT,__text) external _getchar
000000018032da80 (__TEXT,__text) external _getchar_unlocked
00000001802f91ec (__TEXT,__text) external _getcwd
0000000180310524 (__TEXT,__text) external _getdate
00000001d5488628 (__DATA,__bss) non-external _getdate.tm
00000001d5488d4c (__DATA,__common) external _getdate_err
00000001802fd0b4 (__TEXT,__text) external _getdelim
0000000180308208 (__TEXT,__text) external _getdiskbyname
00000001d5487fb0 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
000000018031f958 (__TEXT,__text) non-external _getent
00000001802d33b0 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180346db4 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
0000000180312db8 (__TEXT,__text) external _gethostid
00000001802e76bc (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
000000018032b818 (__TEXT,__text) external _getipv4sourcefilter
000000018034852c (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180348558 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180348584 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
000000018030ad0c (__TEXT,__text) external _getlastlogx
000000018030ae10 (__TEXT,__text) external _getlastlogxbyname
00000001802fd0a8 (__TEXT,__text) external _getline
00000001803095cc (__TEXT,__text) external _getloadavg
0000000180303360 (__TEXT,__text) external _getlogin
00000001803033ac (__TEXT,__text) non-external _getlogin_basic
0000000180320914 (__TEXT,__text) external _getlogin_r
0000000180320998 (__TEXT,__text) external _getmntinfo
00000001d5488758 (__DATA,__bss) non-external _getmntinfo.vars
00000001802de5f0 (__TEXT,__text) non-external _getmntinfo_internal
00000001803209d0 (__TEXT,__text) external _getmntinfo_r_np
00000001803226f4 (__TEXT,__text) external _getmode
00000001802da22c (__TEXT,__text) non-external _getoffset
00000001802fa058 (__TEXT,__text) external _getopt
00000001d5487088 (__DATA,__data) non-external _getopt.place
00000001802f99f8 (__TEXT,__text) non-external _getopt_internal
0000000180348b78 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001d5487090 (__DATA,__data) non-external _getopt_internal.posixly_correct
00000001802f99f0 (__TEXT,__text) external _getopt_long
00000001803043e4 (__TEXT,__text) external _getopt_long_only
00000001802dfba0 (__TEXT,__text) external _getpagesize
00000001d65f1978 (__DATA_DIRTY,__bss) non-external _getpagesize.value
0000000180322348 (__TEXT,__text) external _getpass
00000001d54887f0 (__DATA,__bss) non-external _getpass.buf
0000000180320a38 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001802de6bc (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802da500 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
000000018032dab8 (__TEXT,__text) external _gets
000000018034b9d4 (__TEXT,__const) non-external _gets.w
00000001d5488a94 (__DATA,__bss) non-external _gets.warned
00000001802da27c (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018032b9e8 (__TEXT,__text) external _getsourcefilter
0000000180339914 (__TEXT,__text) external _getsubopt
00000001802d8ce8 (__TEXT,__text) external _gettimeofday
00000001d54886b4 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001d54886b8 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001d54886b0 (__DATA,__bss) non-external _gettimeofday.validtz
00000001803097f8 (__TEXT,__text) external _getttyent
00000001d5488000 (__DATA,__bss) non-external _getttyent.line
00000001d33014d8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001d5487fc0 (__DATA,__bss) non-external _getttyent.tty
000000018030969c (__TEXT,__text) external _getttynam
0000000180308884 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
0000000180309fa0 (__TEXT,__text) external _getusershell
00000001803423a8 (__TEXT,__text) external _getutmp
00000001803423dc (__TEXT,__text) external _getutmpx
0000000180341a4c (__TEXT,__text) external _getutxent
000000018030b6b0 (__TEXT,__text) external _getutxent_wtmp
0000000180341c40 (__TEXT,__text) external _getutxid
0000000180341d48 (__TEXT,__text) external _getutxline
000000018034b9be (__TEXT,__const) non-external _getv4.digits
00000001803036c0 (__TEXT,__text) external _getvfsbyname
000000018032dba0 (__TEXT,__text) external _getw
000000018032dbe0 (__TEXT,__text) external _getwc
000000018032dc04 (__TEXT,__text) external _getwc_l
000000018032dc08 (__TEXT,__text) external _getwchar
000000018032dc38 (__TEXT,__text) external _getwchar_l
0000000180312e44 (__TEXT,__text) external _getwd
00000001802da17c (__TEXT,__text) non-external _getzname
0000000180320ac4 (__TEXT,__text) external _glob
00000001802fbf34 (__TEXT,__text) non-external _glob0
00000001802fc424 (__TEXT,__text) non-external _glob2
0000000180320adc (__TEXT,__text) external _glob_b
0000000180320af4 (__TEXT,__text) non-external _globexp1
00000001802fcdfc (__TEXT,__text) non-external _globfinal
00000001802fcea0 (__TEXT,__text) external _globfree
000000018034bc1c (__TEXT,__const) non-external _gmt
00000001802f7214 (__TEXT,__text) non-external _gmt_init
00000001d5487058 (__DATA,__data) non-external _gmt_notify
00000001d5487060 (__DATA,__data) non-external _gmt_once
00000001802fd72c (__TEXT,__text) external _gmtime
00000001d5488c20 (__DATA,__bss) non-external _gmtime_key
00000001d5488c1c (__DATA,__bss) non-external _gmtime_key_error
00000001802fd7fc (__TEXT,__text) non-external _gmtime_key_init
00000001d5487048 (__DATA,__data) non-external _gmtime_once
00000001802f7164 (__TEXT,__text) external _gmtime_r
00000001802f729c (__TEXT,__text) non-external _gmtload
00000001d5488c60 (__DATA,__bss) non-external _gmtptr
00000001802f7170 (__TEXT,__text) non-external _gmtsub
000000018034bd6d (__TEXT,__const) non-external _gnuoptchar
00000001d5488738 (__DATA,__bss) non-external _gottoprec
00000001802f4858 (__TEXT,__text) external _grantpt
0000000180330618 (__TEXT,__text) non-external _grouping_init
00000001803339ac (__TEXT,__text) non-external _grouping_init
00000001803306e0 (__TEXT,__text) non-external _grouping_print
0000000180333c10 (__TEXT,__text) non-external _grouping_print
0000000180322334 (__TEXT,__text) non-external _handler
0000000180319278 (__TEXT,__text) non-external _hash4
0000000180317e08 (__TEXT,__text) non-external _hash_access
00000001803175f4 (__TEXT,__text) non-external _hash_close
000000018033c1c0 (__TEXT,__text) external _hash_create
0000000180317638 (__TEXT,__text) non-external _hash_delete
000000018033c230 (__TEXT,__text) external _hash_destroy
00000001803176bc (__TEXT,__text) non-external _hash_fd
00000001803176f4 (__TEXT,__text) non-external _hash_get
000000018033c490 (__TEXT,__text) external _hash_purge
000000018031775c (__TEXT,__text) non-external _hash_put
000000018033c308 (__TEXT,__text) external _hash_search
00000001803177e8 (__TEXT,__text) non-external _hash_seq
000000018033c514 (__TEXT,__text) external _hash_stats
0000000180317a30 (__TEXT,__text) non-external _hash_sync
000000018033c414 (__TEXT,__text) external _hash_traverse
0000000180339a88 (__TEXT,__text) external _hcreate
00000001803174dc (__TEXT,__text) non-external _hdestroy
0000000180339b58 (__TEXT,__text) external _hdestroy
00000001802de088 (__TEXT,__text) external _heapsort
00000001802ff278 (__TEXT,__text) external _heapsort_b
000000018034a368 (__TEXT,__const) non-external _hexdigit
000000018034ec1b (__TEXT,__cstring) non-external _hexlist
00000001d5488068 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180339bd8 (__TEXT,__text) external _hsearch
00000001d5488ca8 (__DATA,__bss) non-external _htable
00000001d5488cb0 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
000000018034bd58 (__TEXT,__const) non-external _illoptchar
000000018034be0e (__TEXT,__const) non-external _illoptstring
0000000180339ca0 (__TEXT,__text) external _imaxabs
0000000180339cac (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001802e3aec (__TEXT,__text) external _inet_addr
00000001802e3a98 (__TEXT,__text) external _inet_aton
0000000180329f60 (__TEXT,__text) external _inet_lnaof
0000000180329f8c (__TEXT,__text) external _inet_makeaddr
0000000180329fcc (__TEXT,__text) external _inet_net_ntop
000000018032a4b8 (__TEXT,__text) external _inet_net_pton
0000000180348450 (__TEXT,__text) non-external _inet_net_pton.cold.1
000000018034847c (__TEXT,__text) non-external _inet_net_pton.cold.2
00000001803484a8 (__TEXT,__text) non-external _inet_net_pton.cold.3
000000018034b991 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
000000018034b980 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
000000018034b99c (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
000000018034b9ad (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
000000018032ac28 (__TEXT,__text) external _inet_neta
000000018032acf8 (__TEXT,__text) external _inet_netof
000000018032ad24 (__TEXT,__text) external _inet_network
000000018032b1ec (__TEXT,__text) external _inet_nsap_addr
000000018032b350 (__TEXT,__text) external _inet_nsap_ntoa
00000001802fe27c (__TEXT,__text) external _inet_ntoa
00000001d5488a40 (__DATA,__bss) non-external _inet_ntoa.ret
