0000000182bba330 (__DATA,__data) non-external _C
0000000180a61380 (__TEXT,__text) external _fprintf_l
0000000182bbb0c0 (__DATA,__data) non-external _fptr
0000000180a613ac (__TEXT,__text) external _fpurge
0000000180a6143c (__TEXT,__text) external _fputc
0000000180a614c8 (__TEXT,__text) external _fputs
0000000180a61704 (__TEXT,__text) external _fputwc
0000000180a61788 (__TEXT,__text) external _fputwc_l
0000000180a61974 (__TEXT,__text) external _fputws
0000000180a6181c (__TEXT,__text) external _fputws_l
0000000180a61b44 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180a3c94c (__TEXT,__text) external _free_printf_comp
0000000180a3cd5c (__TEXT,__text) external _free_printf_domain
0000000180a3b530 (__TEXT,__text) external _freelocale
0000000180a61e98 (__TEXT,__text) external _freopen
0000000180a622c0 (__TEXT,__text) external _fscanf
0000000180a62394 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180a6247c (__TEXT,__text) external _fseek
0000000180a62888 (__TEXT,__text) external _fseeko
0000000180a62914 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180a34348 (__TEXT,__text) external _fstatvfs
0000000182bb9cd0 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180a3eabc (__TEXT,__text) external _fsync_volume_np
0000000180a62920 (__TEXT,__text) external _ftell
0000000180a62924 (__TEXT,__text) external _ftello
0000000180a7368c (__TEXT,__text) external _ftime
0000000180a4ea50 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180a5f9f4 (__TEXT,__text) external _ftrylockfile
0000000180a36dc8 (__TEXT,__text) non-external _fts_alloc
0000000180a35f40 (__TEXT,__text) non-external _fts_build
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.1
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.2
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.3
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.4
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.5
0000000180a989c0 (__TEXT,__text) non-external _fts_build.cold.6
0000000180a36bd0 (__TEXT,__text) external _fts_children
0000000180a357a0 (__TEXT,__text) external _fts_close
0000000180a35918 (__TEXT,__text) non-external _fts_fchdir
0000000180a358c4 (__TEXT,__text) non-external _fts_free
0000000180a36af4 (__TEXT,__text) non-external _fts_load
0000000180a353c0 (__TEXT,__text) external _fts_open
0000000180a356dc (__TEXT,__text) external _fts_open_b
0000000180a36d40 (__TEXT,__text) non-external _fts_palloc
0000000180a35930 (__TEXT,__text) external _fts_read
0000000180a35da0 (__TEXT,__text) non-external _fts_safe_changedir
0000000180a36b98 (__TEXT,__text) external _fts_set
0000000180a36e70 (__TEXT,__text) non-external _fts_sort
0000000180a36fe8 (__TEXT,__text) non-external _fts_stat2
0000000180a38558 (__TEXT,__text) external _ftw
0000000180a5fa3c (__TEXT,__text) external _funlockfile
0000000180a62b04 (__TEXT,__text) external _funopen
0000000180a62fb8 (__TEXT,__text) external _fwide
0000000180a63024 (__TEXT,__text) external _fwprintf
0000000180a63074 (__TEXT,__text) external _fwprintf_l
0000000180a630a0 (__TEXT,__text) external _fwrite
0000000180a63240 (__TEXT,__text) external _fwscanf
0000000180a63290 (__TEXT,__text) external _fwscanf_l
0000000180a3c7f0 (__TEXT,__text) external _fxprintf
0000000180a3d25c (__TEXT,__text) external _fxprintf_exec
0000000182bbb200 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180a851ec (__TEXT,__text) external _gcvt
0000000180a4b43c (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182bbc0b0 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182bba908 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180a331dc (__TEXT,__text) non-external _generalSlowpath
0000000180a98758 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180a988e4 (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180a98910 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180a9893c (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180a98968 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180a98784 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180a987b0 (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180a987dc (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180a98808 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180a98834 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180a98860 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180a9888c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180a988b8 (__TEXT,__text) non-external _generalSlowpath.cold.9
0000000182bbc02c (__DATA,__bss) non-external _get_clock.adjustment
0000000182bbc040 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182bbc030 (__DATA,__bss) non-external _get_clock.last
0000000180a4d28c (__TEXT,__text) non-external _get_next_format
0000000180a4d42c (__TEXT,__text) non-external _get_next_format_from_precision
0000000180a4d3cc (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180a4eab8 (__TEXT,__text) external _getbsize
0000000182bbc100 (__DATA,__bss) non-external _getbsize.header
0000000180a632bc (__TEXT,__text) external _getc
0000000180a63320 (__TEXT,__text) external _getc_unlocked
0000000180a6334c (__TEXT,__text) external _getchar
0000000180a633b8 (__TEXT,__text) external _getchar_unlocked
0000000180a50420 (__TEXT,__text) external _getcwd
0000000180a3c230 (__TEXT,__text) external _getdate
0000000182bbbfe0 (__DATA,__bss) non-external _getdate.tm
0000000182bc6d80 (__DATA,__common) external _getdate_err
0000000180a633f0 (__TEXT,__text) external _getdelim
0000000180a34ca4 (__TEXT,__text) external _getdiskbyname
0000000182bbbee8 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180a4edcc (__TEXT,__text) non-external _getent
0000000180a7d9ec (__TEXT,__text) external _getenv
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180a3edf0 (__TEXT,__text) external _gethostid
0000000180a50428 (__TEXT,__text) external _gethostname
0000000180a636bc (__TEXT,__text) external _getline
0000000180a37544 (__TEXT,__text) external _getloadavg
0000000180a50538 (__TEXT,__text) external _getmntinfo
0000000182bbc148 (__DATA,__bss) non-external _getmntinfo.vars
0000000180a50570 (__TEXT,__text) non-external _getmntinfo_internal
0000000180a50640 (__TEXT,__text) external _getmntinfo_r_np
0000000180a51e58 (__TEXT,__text) external _getmode
0000000180a75d28 (__TEXT,__text) non-external _getoffset
0000000180a7da4c (__TEXT,__text) external _getopt
0000000182bbb068 (__DATA,__data) non-external _getopt.place
0000000180a7dcd4 (__TEXT,__text) non-external _getopt_internal
0000000180a99c9c (__TEXT,__text) non-external _getopt_internal.cold.1
0000000182bbb070 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180a7dccc (__TEXT,__text) external _getopt_long
0000000180a7e330 (__TEXT,__text) external _getopt_long_only
0000000180a506a8 (__TEXT,__text) external _getpagesize
0000000182bbc160 (__DATA,__bss) non-external _getpagesize.value
0000000180a50748 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180a507d4 (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180a75d7c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180a636c8 (__TEXT,__text) external _gets
0000000180a9bbe8 (__TEXT,__const) non-external _gets.w
0000000182bbdbd0 (__DATA,__bss) non-external _gets.warned
0000000180a761ac (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180a7e798 (__TEXT,__text) external _getsubopt
0000000180a3e450 (__TEXT,__text) external _gettimeofday
0000000182bbc0a4 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182bbc0a8 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182bbc0a0 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180a37780 (__TEXT,__text) external _getttyent
0000000182bbbf38 (__DATA,__bss) non-external _getttyent.line
0000000180b9a278 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182bbbef8 (__DATA,__bss) non-external _getttyent.tty
0000000180a37614 (__TEXT,__text) external _getttynam
0000000180a35330 (__TEXT,__text) non-external _gettype
0000000180a37f34 (__TEXT,__text) external _getusershell
0000000180a381f4 (__TEXT,__text) external _getvfsbyname
0000000180a637b0 (__TEXT,__text) external _getw
0000000180a637f0 (__TEXT,__text) external _getwc
0000000180a63814 (__TEXT,__text) external _getwc_l
0000000180a63818 (__TEXT,__text) external _getwchar
0000000180a63848 (__TEXT,__text) external _getwchar_l
0000000180a3ee7c (__TEXT,__text) external _getwd
0000000180a75c80 (__TEXT,__text) non-external _getzname
0000000180a9be2c (__TEXT,__const) non-external _gmt
0000000180a762dc (__TEXT,__text) non-external _gmt_init
0000000182bbb000 (__DATA,__data) non-external _gmt_once
0000000180a75310 (__TEXT,__text) external _gmtime
0000000182bc2508 (__DATA,__bss) non-external _gmtime_key
0000000182bc2504 (__DATA,__bss) non-external _gmtime_key_error
0000000180a753f4 (__TEXT,__text) non-external _gmtime_key_init
0000000182bbaff0 (__DATA,__data) non-external _gmtime_once
0000000180a754c0 (__TEXT,__text) external _gmtime_r
0000000180a747f8 (__TEXT,__text) non-external _gmtload
0000000182bc2548 (__DATA,__bss) non-external _gmtmem
0000000180a75438 (__TEXT,__text) non-external _gmtsub
0000000180a9bf57 (__TEXT,__const) non-external _gnuoptchar
0000000182bbc128 (__DATA,__bss) non-external _gottoprec
0000000180a84da4 (__TEXT,__text) external _grantpt
0000000180a6b088 (__TEXT,__text) non-external _grouping_init
0000000180a70254 (__TEXT,__text) non-external _grouping_init
0000000180a6b278 (__TEXT,__text) non-external _grouping_print
0000000180a704b8 (__TEXT,__text) non-external _grouping_print
0000000182bc6d68 (__DATA,__bss) non-external _handlers
0000000180a45408 (__TEXT,__text) non-external _hash4
0000000180a43f74 (__TEXT,__text) non-external _hash_access
0000000180a4376c (__TEXT,__text) non-external _hash_close
0000000180a83244 (__TEXT,__text) external _hash_create
0000000180a437b0 (__TEXT,__text) non-external _hash_delete
0000000180a832d8 (__TEXT,__text) external _hash_destroy
0000000180a43834 (__TEXT,__text) non-external _hash_fd
0000000180a43878 (__TEXT,__text) non-external _hash_get
0000000180a8356c (__TEXT,__text) external _hash_purge
0000000180a438e0 (__TEXT,__text) non-external _hash_put
0000000180a833b4 (__TEXT,__text) external _hash_search
0000000180a4396c (__TEXT,__text) non-external _hash_seq
0000000180a835f4 (__TEXT,__text) external _hash_stats
0000000180a43bac (__TEXT,__text) non-external _hash_sync
0000000180a834e8 (__TEXT,__text) external _hash_traverse
0000000180a7e90c (__TEXT,__text) external _hcreate
0000000180a43654 (__TEXT,__text) non-external _hdestroy
0000000180a7e9e4 (__TEXT,__text) external _hdestroy
0000000180a7eb48 (__TEXT,__text) external _heapsort
0000000180a85524 (__TEXT,__text) external _heapsort_b
0000000180a9abe8 (__TEXT,__const) non-external _hexdigit
0000000180a9e8d0 (__TEXT,__cstring) non-external _hexlist
0000000182bbbfa0 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180a7ea6c (__TEXT,__text) external _hsearch
0000000182bc6d00 (__DATA,__bss) non-external _htable
0000000182bc6d08 (__DATA,__bss) non-external _htablesize
0000000180a9bf42 (__TEXT,__const) non-external _illoptchar
0000000180a9bff8 (__TEXT,__const) non-external _illoptstring
0000000180a7eddc (__TEXT,__text) external _imaxabs
0000000180a7ede8 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180a338f0 (__TEXT,__text) non-external _infinity
0000000180a33ba8 (__TEXT,__text) non-external _initMPFromDigits
0000000180a9ace8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180a37f78 (__TEXT,__text) non-external _initshells
0000000180a81e70 (__TEXT,__text) external _initstate
0000000180a7f754 (__TEXT,__text) non-external _insertionsort
0000000180a86dec (__TEXT,__text) non-external _insertionsort
0000000180a7ee14 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180a391ac (__TEXT,__text) external _isalnum
0000000180a39a04 (__TEXT,__text) external _isalnum_l
0000000180a39220 (__TEXT,__text) external _isalpha
0000000180a39a7c (__TEXT,__text) external _isalpha_l
0000000180a391a0 (__TEXT,__text) external _isascii
0000000180a507f0 (__TEXT,__text) external _isatty
0000000180a3928c (__TEXT,__text) external _isblank
0000000180a39aec (__TEXT,__text) external _isblank_l
0000000180a392f8 (__TEXT,__text) external _iscntrl
0000000180a39b5c (__TEXT,__text) external _iscntrl_l
0000000180a39364 (__TEXT,__text) external _isdigit
0000000180a39bcc (__TEXT,__text) external _isdigit_l
0000000180a3938c (__TEXT,__text) external _isgraph
0000000180a39c3c (__TEXT,__text) external _isgraph_l
0000000180a3971c (__TEXT,__text) external _ishexnumber
0000000180a39cac (__TEXT,__text) external _ishexnumber_l
0000000180a39788 (__TEXT,__text) external _isideogram
0000000180a39d1c (__TEXT,__text) external _isideogram_l
0000000180a393f8 (__TEXT,__text) external _islower
0000000180a39d8c (__TEXT,__text) external _islower_l
0000000180a397f4 (__TEXT,__text) external _isnumber
0000000180a39dfc (__TEXT,__text) external _isnumber_l
0000000180a39860 (__TEXT,__text) external _isphonogram
0000000180a39e6c (__TEXT,__text) external _isphonogram_l
0000000180a39464 (__TEXT,__text) external _isprint
0000000180a39edc (__TEXT,__text) external _isprint_l
0000000180a394d0 (__TEXT,__text) external _ispunct
0000000180a39f4c (__TEXT,__text) external _ispunct_l
0000000180a398cc (__TEXT,__text) external _isrune
0000000180a39fbc (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180a3953c (__TEXT,__text) external _isspace
0000000180a3a044 (__TEXT,__text) external _isspace_l
0000000180a3993c (__TEXT,__text) external _isspecial
0000000180a3a0b4 (__TEXT,__text) external _isspecial_l
0000000180a54924 (__TEXT,__text) non-external _istrsenvisx
0000000180a99604 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180a99630 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180a9965c (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180a99688 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180a54fd8 (__TEXT,__text) non-external _istrsenvisxl
0000000180a395a8 (__TEXT,__text) external _isupper
0000000180a3a124 (__TEXT,__text) external _isupper_l
0000000180a3a254 (__TEXT,__text) external _iswalnum
0000000180a3a774 (__TEXT,__text) external _iswalnum_l
0000000180a3a2c8 (__TEXT,__text) external _iswalpha
0000000180a3a7ec (__TEXT,__text) external _iswalpha_l
0000000180a3ad90 (__TEXT,__text) external _iswascii
0000000180a3ad24 (__TEXT,__text) external _iswblank
0000000180a3b028 (__TEXT,__text) external _iswblank_l
0000000180a3a334 (__TEXT,__text) external _iswcntrl
0000000180a3a85c (__TEXT,__text) external _iswcntrl_l
0000000180a3a3a0 (__TEXT,__text) external _iswctype
0000000180a3a8cc (__TEXT,__text) external _iswctype_l
0000000180a3a41c (__TEXT,__text) external _iswdigit
0000000180a3a964 (__TEXT,__text) external _iswdigit_l
0000000180a3a444 (__TEXT,__text) external _iswgraph
0000000180a3a9d4 (__TEXT,__text) external _iswgraph_l
0000000180a3ad9c (__TEXT,__text) external _iswhexnumber
0000000180a3b098 (__TEXT,__text) external _iswhexnumber_l
0000000180a3ae08 (__TEXT,__text) external _iswideogram
0000000180a3b108 (__TEXT,__text) external _iswideogram_l
0000000180a3a4b0 (__TEXT,__text) external _iswlower
0000000180a3aa44 (__TEXT,__text) external _iswlower_l
0000000180a3ae74 (__TEXT,__text) external _iswnumber
0000000180a3b178 (__TEXT,__text) external _iswnumber_l
0000000180a3aee0 (__TEXT,__text) external _iswphonogram
0000000180a3b1e8 (__TEXT,__text) external _iswphonogram_l
0000000180a3a51c (__TEXT,__text) external _iswprint
0000000180a3aab4 (__TEXT,__text) external _iswprint_l
0000000180a3a588 (__TEXT,__text) external _iswpunct
0000000180a3ab24 (__TEXT,__text) external _iswpunct_l
0000000180a3af4c (__TEXT,__text) external _iswrune
0000000180a3b258 (__TEXT,__text) external _iswrune_l
0000000180a3a5f4 (__TEXT,__text) external _iswspace
0000000180a3ab94 (__TEXT,__text) external _iswspace_l
0000000180a3afbc (__TEXT,__text) external _iswspecial
0000000180a3b2e0 (__TEXT,__text) external _iswspecial_l
0000000180a3a660 (__TEXT,__text) external _iswupper
0000000180a3ac04 (__TEXT,__text) external _iswupper_l
0000000180a3a6cc (__TEXT,__text) external _iswxdigit
0000000180a3ac74 (__TEXT,__text) external _iswxdigit_l
0000000180a39614 (__TEXT,__text) external _isxdigit
0000000180a3a194 (__TEXT,__text) external _isxdigit_l
0000000180a508b4 (__TEXT,__text) external _jrand48
0000000180b9a4d0 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180a3eec4 (__TEXT,__text) external _killpg
0000000180a84f9c (__TEXT,__text) external _l64a
0000000182bc6d58 (__DATA,__bss) non-external _l64a.buf
0000000180a7ee38 (__TEXT,__text) external _labs
0000000180a5720c (__TEXT,__text) non-external _largesearch
0000000182bc6cb0 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000182bbaeb0 (__DATA,__data) non-external _lastglue
0000000180a341ac (__TEXT,__text) external _lchflags
0000000180a341f4 (__TEXT,__text) external _lchmod
0000000182bbdc8c (__DATA,__bss) non-external _lcl_TZname
0000000182bbdc88 (__DATA,__bss) non-external _lcl_is_set
0000000182bbaf08 (__DATA,__data) non-external (was a private external) _lcl_rwlock
0000000182bbdd90 (__DATA,__bss) non-external _lclmem
0000000180a508f8 (__TEXT,__text) external _lcong48
0000000180a7ee44 (__TEXT,__text) external _ldiv
0000000180a7ef40 (__TEXT,__text) external _lfind
0000000180a666e8 (__TEXT,__text) non-external _lflush
0000000182bc6d90 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180a3eb2c (__TEXT,__text) external _libc_set_introspection_hooks
0000000180a98a14 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180a98a40 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180a98a6c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180a98a98 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180a5eb8c (__TEXT,__text) external _link_addr
0000000180a5ed44 (__TEXT,__text) external _link_ntoa
0000000182bbc39c (__DATA,__bss) non-external _link_ntoa.obuf
0000000180a7ee70 (__TEXT,__text) external _llabs
0000000180a7ee7c (__TEXT,__text) external _lldiv
0000000180a5f270 (__TEXT,__text) non-external _loadCat
0000000180a5b530 (__TEXT,__text) non-external _loadlocale
0000000180a59b20 (__TEXT,__text) external _localeconv
0000000180a599c0 (__TEXT,__text) external _localeconv_l
0000000180a996e0 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180a996fc (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180a75174 (__TEXT,__text) external _localtime
0000000182bc2500 (__DATA,__bss) non-external _localtime_key
0000000182bc24f8 (__DATA,__bss) non-external _localtime_key_error
0000000180a75268 (__TEXT,__text) non-external _localtime_key_init
0000000182bbafe0 (__DATA,__data) non-external _localtime_once
0000000180a752ac (__TEXT,__text) external _localtime_r
0000000180a9695c (__TEXT,__text) external _lockf
0000000180a5093c (__TEXT,__text) external _lockf$NOCANCEL
0000000180a3d3c0 (__TEXT,__text) external _login_tty
0000000180a5726c (__TEXT,__text) non-external _lookup_substsearch
0000000180a996b4 (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180a50a2c (__TEXT,__text) external _lrand48
0000000180a7eea8 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180a34240 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180b9a2d0 (__DATA_CONST,__const) non-external _mapping
0000000180a59bc4 (__TEXT,__text) external _mblen
0000000180a59b44 (__TEXT,__text) external _mblen_l
0000000180a59c94 (__TEXT,__text) external _mbrlen
0000000180a59c44 (__TEXT,__text) external _mbrlen_l
0000000180a59d28 (__TEXT,__text) external _mbrtowc
0000000180a59ce8 (__TEXT,__text) external _mbrtowc_l
0000000180a59da0 (__TEXT,__text) external _mbsinit
0000000180a59d6c (__TEXT,__text) external _mbsinit_l
0000000180a59e18 (__TEXT,__text) external _mbsnrtowcs
0000000180a59dd8 (__TEXT,__text) external _mbsnrtowcs_l
0000000180a59fe0 (__TEXT,__text) external _mbsrtowcs
0000000180a59f94 (__TEXT,__text) external _mbsrtowcs_l
0000000180a5a0d8 (__TEXT,__text) external _mbstowcs
0000000180a5a030 (__TEXT,__text) external _mbstowcs_l
0000000180a5a1f4 (__TEXT,__text) external _mbtowc
0000000180a5a180 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180a796f4 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180a8bc18 (__TEXT,__text) external _memset_s
0000000180a5eb70 (__TEXT,__text) non-external _memstream_close
0000000180a5eadc (__TEXT,__text) non-external _memstream_seek
0000000180a99744 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180a99770 (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180a5e990 (__TEXT,__text) non-external _memstream_update
0000000180a99718 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180a5e9c8 (__TEXT,__text) non-external _memstream_write
0000000180a7efb8 (__TEXT,__text) external _mergesort
0000000180a865bc (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180a642b0 (__TEXT,__text) external _mkdtemp
0000000180a6433c (__TEXT,__text) external _mkdtempat_np
0000000180a641cc (__TEXT,__text) external _mkostemp
0000000180a63d14 (__TEXT,__text) external _mkostemps
0000000180a640a8 (__TEXT,__text) external _mkostempsat_np
0000000180a3d880 (__TEXT,__text) external _mkpath_np
0000000180a3d894 (__TEXT,__text) external _mkpathat_np
0000000180a64254 (__TEXT,__text) external _mkstemp
0000000180a6449c (__TEXT,__text) external _mkstemp_dprotected_np
0000000180a64120 (__TEXT,__text) external _mkstemps
0000000180a6417c (__TEXT,__text) external _mkstempsat_np
0000000180a64444 (__TEXT,__text) external _mktemp
0000000180a758a8 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180a9be38 (__TEXT,__const) non-external _mon_lengths
0000000180a39188 (__TEXT,__text) external _monaddition
0000000180a39198 (__TEXT,__text) external _moncontrol
0000000180a3919c (__TEXT,__text) external _moncount
0000000180a39180 (__TEXT,__text) external _moninit
0000000180a39194 (__TEXT,__text) external _monitor
0000000180a39190 (__TEXT,__text) external _monoutput
0000000180a3918c (__TEXT,__text) external _monreset
0000000180a39184 (__TEXT,__text) external _monstartup
0000000180a60e4c (__TEXT,__text) non-external _moreglue
0000000180a46fd8 (__TEXT,__text) non-external _mpool_bkt
0000000180a472b8 (__TEXT,__text) external _mpool_close
0000000180a46f20 (__TEXT,__text) external _mpool_filter
0000000180a470cc (__TEXT,__text) external _mpool_get
0000000180a46f30 (__TEXT,__text) external _mpool_new
0000000180a98ed4 (__TEXT,__text) non-external _mpool_new.cold.1
0000000180a46e24 (__TEXT,__text) external _mpool_open
0000000180a4729c (__TEXT,__text) external _mpool_put
0000000180a47314 (__TEXT,__text) external _mpool_sync
0000000180a4738c (__TEXT,__text) non-external _mpool_write
0000000180a50a60 (__TEXT,__text) external _mrand48
0000000180a3f2b8 (__TEXT,__text) non-external _mswap
0000000180a33d54 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180a96bfc (__TEXT,__text) external _nanosleep
0000000180a3839c (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182bbc1c8 (__DATA,__bss) non-external _new_categories
0000000180a3c9d0 (__TEXT,__text) external _new_printf_comp
0000000180a3cd9c (__TEXT,__text) external _new_printf_domain
0000000180a3b5d0 (__TEXT,__text) external _newlocale
0000000182bbb0a0 (__DATA,__data) non-external _next
0000000180a4dd24 (__TEXT,__text) non-external _nextcomp
0000000182bbc0d8 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182bbc0f8 (__DATA,__bss) non-external _nextcomp.state
0000000180a5a5a8 (__TEXT,__text) external _nextwctype
0000000180a5a420 (__TEXT,__text) external _nextwctype_l
0000000180a389dc (__TEXT,__text) external _nftw
0000000180a50a94 (__TEXT,__text) external _nice
0000000180a5aa0c (__TEXT,__text) external _nl_langinfo
0000000180a5a5cc (__TEXT,__text) external _nl_langinfo_l
0000000182bbc1c0 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180a9bfab (__TEXT,__const) non-external _noarg
0000000180a9bbd0 (__TEXT,__const) non-external _nogrouping
0000000182bbb074 (__DATA,__data) non-external _nonopt_end
0000000182bbb078 (__DATA,__data) non-external _nonopt_start
0000000180a50b54 (__TEXT,__text) external _nrand48
0000000180a40920 (__TEXT,__text) non-external _nroot
0000000182bbaac0 (__DATA,__data) non-external _numempty
0000000180a9b710 (__TEXT,__const) non-external _nv
0000000180a5517c (__TEXT,__text) external _nvis
0000000180a754cc (__TEXT,__text) external _offtime
0000000180b9a2b8 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180a5e84c (__TEXT,__text) external _open_memstream
0000000180a3bfbc (__TEXT,__text) external _open_with_subsystem
0000000180a730a8 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180a50b98 (__TEXT,__text) external _opendir
0000000180a511a4 (__TEXT,__text) non-external _opendir_compar
0000000182bc6e68 (__DATA,__common) external _optarg
0000000182bbb060 (__DATA,__data) external _opterr
0000000182bbb064 (__DATA,__data) external _optind
0000000182bc6e64 (__DATA,__common) external _optopt
