00007ffb00f71e62 (__TEXT,__text) non-external _DiToMD5
00007ffb00f5e5c4 (__TEXT,__text) external __ZN8OSAction4freeEv
00007ffb00f83293 (__TEXT,__text) non-external __ZN8OSAction4freeEv.cold.1
00007ffb00f5e64e (__TEXT,__text) external __ZN8OSAction6CancelEU13block_pointerFvvE
00007ffb00f832b6 (__TEXT,__text) non-external __ZN8OSAction6CancelEU13block_pointerFvvE.cold.1
00007ffb00f5e4ea (__TEXT,__text) external __ZN8OSAction6CreateEP8OSObjectyymPPS_
00007ffb00f80b60 (__TEXT,__text) external __ZN8OSAction7AbortedEPFiP15OSMetaClassBase5IORPCE
00007ffb00f5e7e0 (__TEXT,__text) external __ZN8OSAction7EndWaitEP17OSActionWaitToken
00007ffb00f8331f (__TEXT,__text) non-external __ZN8OSAction7EndWaitEP17OSActionWaitToken.cold.1
00007ffb00f8084e (__TEXT,__text) external __ZN8OSAction8DispatchE5IORPC
00007ffb00f5e768 (__TEXT,__text) external __ZN8OSAction8WillWaitEPP17OSActionWaitToken
00007ffb00f832fc (__TEXT,__text) non-external __ZN8OSAction8WillWaitEPP17OSActionWaitToken.cold.1
00007ffb00f80858 (__TEXT,__text) external __ZN8OSAction9_DispatchEPS_5IORPC
00007ffb00f5f714 (__TEXT,__text) external __ZN8OSBundle10mainBundleEv
00007ffb00f83414 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.1
00007ffb00f83437 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.2
00007ffb00f8345a (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.3
00007ffb00f5f982 (__TEXT,__text) external __ZN8OSBundle12loadResourceEPKcymPP12OSMappedFile
00007ffb00f5f866 (__TEXT,__text) external __ZN8OSBundle14createFromPathEPKc
00007ffb00f5f922 (__TEXT,__text) external __ZN8OSBundle4freeEv
00007ffb00f5f8ce (__TEXT,__text) external __ZN8OSBundle4initEv
00007ffb00f66566 (__TEXT,__text) external __ZN8OSNumber10withNumberEPKcm
00007ffb00f6657c (__TEXT,__text) external __ZN8OSNumber10withNumberEym
00007ffb00f666c2 (__TEXT,__text) external __ZN8OSNumber4freeEv
00007ffb00f81046 (__TEXT,__text) external __ZN8OSObject16SetDispatchQueueEPKcP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb00f811d8 (__TEXT,__text) external __ZN8OSObject17CopyDispatchQueueEPKcPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb00f8137e (__TEXT,__text) external __ZN8OSObject23SetDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcP15IODispatchQueueE
00007ffb00f8146a (__TEXT,__text) external __ZN8OSObject24CopyDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcPP15IODispatchQueueE
00007ffb00f5bf0e (__TEXT,__text) external __ZN8OSObject4freeEv
00007ffb00f5befe (__TEXT,__text) external __ZN8OSObject4initEv
00007ffb00f80fe0 (__TEXT,__text) external __ZN8OSObject8DispatchE5IORPC
00007ffb00f81002 (__TEXT,__text) external __ZN8OSObject9_DispatchEPS_5IORPC
00007ffb00f664ac (__TEXT,__text) external __ZN8OSString10withStringEPKS_
00007ffb00f66478 (__TEXT,__text) external __ZN8OSString11withCStringEPKc
00007ffb00f664ce (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
00007ffb00f66492 (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
00007ffb00f62cbc (__TEXT,__text) external __ZN8OSString4freeEv
00007ffb00f83923 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
00007ffb00f83944 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
00007ffb00f83967 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
00007ffb00f5fed4 (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00007ffb00f5fe8a (__TEXT,__text) external __ZN9IOCommand4freeEv
00007ffb00f5fe16 (__TEXT,__text) external __ZN9IOCommand4initEv
00007ffb00f5feca (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00007ffb00f7a666 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00007ffb00f79b9e (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00007ffb00f5ef80 (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00007ffb00f7bc40 (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00f5f2d6 (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00007ffb00f7892a (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb00f7a7a0 (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00007ffb00f7887e (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb00f7aa34 (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb00f79060 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00007ffb00f78b3a (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00007ffb00f79f44 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb00f79cd0 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb00f79a5a (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f796f2 (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f7b5b6 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb00f79860 (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb00f7bf52 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb00f7bd0a (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb00f7abd0 (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00007ffb00f7ca6a (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00007ffb00f79452 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00007ffb00f5f106 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00007ffb00f79e0a (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb00f7c9ae (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00007ffb00f5f44a (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00007ffb00f7b008 (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb00f7c43a (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb00f7c60c (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00007ffb00f7c2dc (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00f78ce4 (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00007ffb00f7b340 (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb00f7916e (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00007ffb00f7a530 (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00007ffb00f5f13e (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00007ffb00f7c67e (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00007ffb00f7c7dc (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00007ffb00f5f382 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00007ffb00f833f1 (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00007ffb00f7be9c (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00007ffb00f7c3ba (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00007ffb00f78ac8 (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00f7c226 (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00007ffb00f7c06a (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb00f7cd2a (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00007ffb00f7c102 (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00007ffb00f5f18e (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00007ffb00f7b17a (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb00f78d58 (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00007ffb00f7c8ea (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00007ffb00f7a3ac (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00007ffb00f7a8fa (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f7bffe (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00f5f442 (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00007ffb00f7c348 (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb00f5ef30 (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00007ffb00f7cb02 (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00007ffb00f7b990 (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f78c2e (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00007ffb00f789d6 (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00007ffb00f7c598 (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb00f7babc (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f79584 (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb00f7b864 (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb00f5d5ac (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00f5d5f4 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00007ffb00f7cb9e (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00007ffb00f7c4ae (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00007ffb00f7c6f2 (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00007ffb00f5ee78 (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00007ffb00f7cf40 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb00f5d3d8 (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00007ffb00f5d4ac (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00007ffb00f831c5 (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00007ffb00f7d022 (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00007ffb00f78a4a (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00007ffb00f5d57c (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00f5d594 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00007ffb00f7b6fa (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00f7b484 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00007ffb00f7ce5e (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb00f5d4fe (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb00f5d546 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00007ffb00f7cde0 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00007ffb00f7ccbe (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb00f78f56 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00f5bf40 (__TEXT,__text) external __ZN9IOService4freeEv
00007ffb00f5ed74 (__TEXT,__text) external __ZN9IOService4initEv
00007ffb00f833ab (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00007ffb00f833ce (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00007ffb00f78e4c (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb00f7a0b6 (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00007ffb00f792ca (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb00f7ae9a (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb00f78276 (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00007ffb00f7ad4a (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00007ffb00f5efbe (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00007ffb00f7a276 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00007ffb00f78280 (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00007ffb00f66750 (__TEXT,__text) external __ZN9OSBoolean4freeEv
00007ffb00f75d56 (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00007ffb00f80810 (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00007ffb00f64f8e (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00007ffb00f64f9e (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb00f65094 (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00007ffb00f65576 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb00f65356 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00007ffb00f65078 (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00007ffb00f65448 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00007ffb00f65566 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00007ffb00f64fae (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00007ffb00f64fec (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00007ffb00f65454 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00007ffb00f5fdfa (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00007ffb00f5fe08 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00007ffb00f66096 (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00007ffb00f6608a (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00007ffb00f74e82 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00007ffb00f58d00 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00007ffb00f59630 (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00007ffb00f58cca (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00007ffb00f595d0 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00007ffb00f595c4 (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00007ffb00f58cc0 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00007ffb00f595ca (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00007ffb00f59624 (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00007ffb00f7570c (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00007ffb00f74a0e (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00007ffb00f77600 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00007ffb00f7d91e (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00007ffb00f7f92a (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00007ffb00f7e0c2 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00007ffb00f81ee0 (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00007ffb00f65e22 (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00007ffb00f65dca (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00007ffb00f65dde (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00007ffb00f6642a (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00007ffb00f663ea (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00007ffb00f661e6 (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00007ffb00f66214 (__TEXT,__text) external __ZNK6OSData9getLengthEv
00007ffb00f660da (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00007ffb00f66190 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00007ffb00f6615e (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00007ffb00f661a4 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00007ffb00f65760 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00007ffb00f65a9e (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00007ffb00f65aba (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb00f65b42 (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00007ffb00f65744 (__TEXT,__text) external __ZNK7OSArray8getCountEv
00007ffb00f65a92 (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00007ffb00f65616 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00007ffb00f65654 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
00007ffb00f80de8 (__TEXT,__text) non-external (was a private external) __ZNK8OSAction12getMetaClassEv
00007ffb00f66586 (__TEXT,__text) external __ZNK8OSNumber12numberOfBitsEv
00007ffb00f66592 (__TEXT,__text) external __ZNK8OSNumber17unsigned8BitValueEv
00007ffb00f665b6 (__TEXT,__text) external __ZNK8OSNumber18unsigned16BitValueEv
00007ffb00f665da (__TEXT,__text) external __ZNK8OSNumber18unsigned32BitValueEv
00007ffb00f665f8 (__TEXT,__text) external __ZNK8OSNumber18unsigned64BitValueEv
00007ffb00f6661a (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPK15OSMetaClassBase
00007ffb00f66682 (__TEXT,__text) external __ZNK8OSNumber9isEqualToEPKS_
00007ffb00f595da (__TEXT,__text) external __ZNK8OSObject6retainEv
00007ffb00f82331 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.1
00007ffb00f82354 (__TEXT,__text) non-external __ZNK8OSObject6retainEv.cold.2
00007ffb00f59604 (__TEXT,__text) external __ZNK8OSObject7releaseEv
00007ffb00f82377 (__TEXT,__text) non-external __ZNK8OSObject7releaseEv.cold.1
00007ffb00f62e24 (__TEXT,__text) external __ZNK8OSString16getCStringNoCopyEv
00007ffb00f62e5e (__TEXT,__text) external __ZNK8OSString9getLengthEv
00007ffb00f664e2 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK15OSMetaClassBase
00007ffb00f66226 (__TEXT,__text) external __ZNK8OSString9isEqualToEPK6OSData
00007ffb00f66528 (__TEXT,__text) external __ZNK8OSString9isEqualToEPKS_
00007ffb00f66534 (__TEXT,__text) external __ZNK8OSString9isEqualToEPKc
00007ffb00f5f496 (__TEXT,__text) external __ZNK9IOService11GetProviderEv
00007ffb00f66744 (__TEXT,__text) external __ZNK9OSBoolean6retainEv
00007ffb00f6674a (__TEXT,__text) external __ZNK9OSBoolean7releaseEv
00007ffb401d9f60 (__DATA_CONST,__const) external __ZTI10IOReporter
00007ffb401db0b8 (__DATA_CONST,__const) external __ZTI11IOEventLink
00007ffb401db7a8 (__DATA_CONST,__const) external __ZTI11IOMemoryMap
00007ffb401dcc48 (__DATA_CONST,__const) external __ZTI11IOWorkGroup
00007ffb401d9348 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSContainer
00007ffb401d8b68 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSInterface
00007ffb401da5a8 (__DATA_CONST,__const) non-external (was a private external) __ZTI11OSMetaClass
00007ffb401da9f8 (__DATA_CONST,__const) external __ZTI12IODMACommand
00007ffb401dc7d8 (__DATA_CONST,__const) external __ZTI12IOUserClient
00007ffb401dca98 (__DATA_CONST,__const) external __ZTI12IOUserServer
00007ffb401d94a0 (__DATA_CONST,__const) external __ZTI12OSCollection
00007ffb401d95c8 (__DATA_CONST,__const) external __ZTI12OSDictionary
00007ffb401d8c48 (__DATA_CONST,__const) external __ZTI12OSMappedFile
00007ffb401d9940 (__DATA_CONST,__const) external __ZTI12OSOrderedSet
00007ffb401d8e18 (__DATA_CONST,__const) external __ZTI13IOCommandPool
00007ffb401da258 (__DATA_CONST,__const) external __ZTI14IOReportLegend
00007ffb401d9800 (__DATA_CONST,__const) weak external __ZTI14OSSetInterface
00007ffb401ddbd0 (__DATA_CONST,__const) external __ZTI14OSSetMetaClass
00007ffb401dad58 (__DATA_CONST,__const) external __ZTI15IODispatchQueue
00007ffb401dbdf0 (__DATA_CONST,__const) weak external __ZTI15IOStateReporter
00007ffb401d99e0 (__DATA_CONST,__const) non-external (was a private external) __ZTI15OSDataInterface
00007ffb401dd450 (__DATA_CONST,__const) external __ZTI15OSDataMetaClass
00007ffb401d8af0 (__DATA_CONST,__const) external __ZTI15OSMetaClassBase
00007ffb401d9c20 (__DATA_CONST,__const) external __ZTI15OSSerialization
00007ffb401daf08 (__DATA_CONST,__const) external __ZTI16IODispatchSource
00007ffb401d9ed0 (__DATA_CONST,__const) external __ZTI16IOReporter_IVars
00007ffb401dbd38 (__DATA_CONST,__const) weak external __ZTI16IOSimpleReporter
00007ffb401d96d8 (__DATA_CONST,__const) non-external (was a private external) __ZTI16OSArrayInterface
00007ffb401dcf10 (__DATA_CONST,__const) external __ZTI16OSArrayMetaClass
00007ffb401d8eb8 (__DATA_CONST,__const) weak external __ZTI17IOThreadInterface
00007ffb401de120 (__DATA_CONST,__const) external __ZTI17IOThreadMetaClass
00007ffb401dcde0 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSActionInterface
00007ffb401dcd60 (__DATA_CONST,__const) external __ZTI17OSActionMetaClass
00007ffb401d8b78 (__DATA_CONST,__const) weak external __ZTI17OSBundleInterface
00007ffb401dd100 (__DATA_CONST,__const) external __ZTI17OSBundleMetaClass
00007ffb401d9a98 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSNumberInterface
00007ffb401dd738 (__DATA_CONST,__const) external __ZTI17OSNumberMetaClass
00007ffb401dd8b0 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSObjectInterface
00007ffb401dd830 (__DATA_CONST,__const) external __ZTI17OSObjectMetaClass
00007ffb401d9380 (__DATA_CONST,__const) non-external (was a private external) __ZTI17OSStringInterface
00007ffb401ddcc8 (__DATA_CONST,__const) external __ZTI17OSStringMetaClass
