000000018276dda8 (__DATA,__data) external _NDR_record
00000001806635ec (__TEXT,__text) external _os_buflet_get_data_limit
00000001806635ac (__TEXT,__text) external _os_buflet_get_data_offset
00000001806635d4 (__TEXT,__text) external _os_buflet_get_object_address
00000001806635dc (__TEXT,__text) external _os_buflet_get_object_limit
00000001806635c8 (__TEXT,__text) external _os_buflet_set_data_length
00000001806635bc (__TEXT,__text) external _os_buflet_set_data_offset
000000018066bcb8 (__TEXT,__text) external _os_channel_advance_slot
000000018066c924 (__TEXT,__text) external _os_channel_attr_clone
000000018066c888 (__TEXT,__text) external _os_channel_attr_create
000000018066cb4c (__TEXT,__text) external _os_channel_attr_destroy
000000018066cdb8 (__TEXT,__text) external _os_channel_attr_get
000000018066cf6c (__TEXT,__text) external _os_channel_attr_get_key
000000018066cc28 (__TEXT,__text) external _os_channel_attr_set
000000018066c9b8 (__TEXT,__text) external _os_channel_attr_set_key
000000018066bc60 (__TEXT,__text) external _os_channel_available_slot_count
000000018066e638 (__TEXT,__text) external _os_channel_buflet_alloc
000000018066df70 (__TEXT,__text) external _os_channel_buflet_free
000000018066e604 (__TEXT,__text) external _os_channel_configure_interface_advisory
000000018066b898 (__TEXT,__text) external _os_channel_create
000000018066ae84 (__TEXT,__text) external _os_channel_create_extended
000000018066ba20 (__TEXT,__text) external _os_channel_destroy
000000018066e56c (__TEXT,__text) external _os_channel_event_free
0000000180672260 (__TEXT,__text) external _os_channel_event_get_event_data
00000001806721ac (__TEXT,__text) external _os_channel_event_get_next_event
000000018066c4cc (__TEXT,__text) external _os_channel_flow_admissible
000000018066c6a8 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
000000018066c4a8 (__TEXT,__text) external _os_channel_get_advisory_region
000000018066b8a8 (__TEXT,__text) external _os_channel_get_fd
000000018066e570 (__TEXT,__text) external _os_channel_get_interface_advisory
000000018066e118 (__TEXT,__text) external _os_channel_get_next_event_handle
000000018066bd44 (__TEXT,__text) external _os_channel_get_next_slot
000000018066c424 (__TEXT,__text) external _os_channel_get_stats_region
000000018066b66c (__TEXT,__text) non-external _os_channel_info2attr
000000018066b788 (__TEXT,__text) non-external _os_channel_init_ring
000000018066bb10 (__TEXT,__text) external _os_channel_is_defunct
000000018066d4a0 (__TEXT,__text) external _os_channel_large_packet_alloc
000000018066cfe4 (__TEXT,__text) external _os_channel_packet_alloc
000000018066cfec (__TEXT,__text) non-external _os_channel_packet_alloc_common
000000018066d4a8 (__TEXT,__text) external _os_channel_packet_free
000000018066d980 (__TEXT,__text) external _os_channel_packet_pool_purge
000000018066bc30 (__TEXT,__text) external _os_channel_pending
000000018066dc84 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
000000018066b8b0 (__TEXT,__text) external _os_channel_read_attr
000000018066b9d0 (__TEXT,__text) external _os_channel_read_nexus_extension_info
000000018066bb24 (__TEXT,__text) external _os_channel_ring_id
000000018066bc54 (__TEXT,__text) external _os_channel_ring_notify_time
000000018066bc48 (__TEXT,__text) external _os_channel_ring_sync_time
000000018066bbd4 (__TEXT,__text) external _os_channel_rx_ring
000000018066c180 (__TEXT,__text) external _os_channel_set_slot_properties
000000018066d648 (__TEXT,__text) external _os_channel_slot_attach_packet
000000018066d7d4 (__TEXT,__text) external _os_channel_slot_detach_packet
000000018066c2b8 (__TEXT,__text) external _os_channel_slot_get_packet
000000018066b9f4 (__TEXT,__text) external _os_channel_sync
000000018066bb8c (__TEXT,__text) external _os_channel_tx_ring
000000018066b904 (__TEXT,__text) external _os_channel_write_attr
0000000180663578 (__TEXT,__text) external _os_copy_and_inet_checksum
000000018065c9a0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001806713cc (__TEXT,__text) external _os_cpu_in_cksum
000000018065c3a0 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
0000000180660c10 (__TEXT,__text) external _os_fault_with_payload
0000000180663574 (__TEXT,__text) external _os_inet_checksum
000000018066f538 (__TEXT,__text) external _os_nexus_attr_clone
000000018066f49c (__TEXT,__text) external _os_nexus_attr_create
000000018066f8cc (__TEXT,__text) external _os_nexus_attr_destroy
000000018066f780 (__TEXT,__text) external _os_nexus_attr_get
000000018066f594 (__TEXT,__text) external _os_nexus_attr_set
000000018067001c (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
000000018066fd18 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
000000018066fd38 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
000000018066f91c (__TEXT,__text) external _os_nexus_controller_create
000000018066fd0c (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001806703fc (__TEXT,__text) external _os_nexus_controller_destroy
000000018066fd2c (__TEXT,__text) external _os_nexus_controller_free_provider_instance
000000018066fa1c (__TEXT,__text) external _os_nexus_controller_get_fd
0000000180670210 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
000000018066feb8 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
000000018066fa24 (__TEXT,__text) external _os_nexus_controller_register_provider
0000000180670174 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
000000018066fe38 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001806707a4 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
0000000180663434 (__TEXT,__text) external _os_packet_add_buflet
00000001806629dc (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180662b1c (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001806634e8 (__TEXT,__text) external _os_packet_decrement_use_count
000000018066328c (__TEXT,__text) external _os_packet_finalize
0000000180663510 (__TEXT,__text) external _os_packet_get_aggregation_type
0000000180663198 (__TEXT,__text) external _os_packet_get_buflet_count
0000000180662858 (__TEXT,__text) external _os_packet_get_compression_generation_count
000000018066318c (__TEXT,__text) external _os_packet_get_data_length
0000000180662bf0 (__TEXT,__text) external _os_packet_get_expire_time
0000000180662c84 (__TEXT,__text) external _os_packet_get_expiry_action
0000000180662a6c (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180662bc0 (__TEXT,__text) external _os_packet_get_group_end
0000000180662b5c (__TEXT,__text) external _os_packet_get_group_start
00000001806622b8 (__TEXT,__text) external _os_packet_get_headroom
0000000180662a1c (__TEXT,__text) external _os_packet_get_inet_checksum
00000001806630c8 (__TEXT,__text) external _os_packet_get_keep_alive
00000001806623b4 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001806624d4 (__TEXT,__text) external _os_packet_get_link_ethfcs
000000018066233c (__TEXT,__text) external _os_packet_get_link_header_length
0000000180662444 (__TEXT,__text) external _os_packet_get_link_multicast
00000001806631d4 (__TEXT,__text) external _os_packet_get_next_buflet
0000000180662e84 (__TEXT,__text) external _os_packet_get_packetid
0000000180663260 (__TEXT,__text) external _os_packet_get_segment_count
0000000180662764 (__TEXT,__text) external _os_packet_get_service_class
0000000180662d20 (__TEXT,__text) external _os_packet_get_token
00000001806635f4 (__TEXT,__text) external _os_packet_get_trace_id
00000001806628d4 (__TEXT,__text) external _os_packet_get_traffic_class
0000000180662620 (__TEXT,__text) external _os_packet_get_transport_retransmit
0000000180662550 (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001806625b8 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
0000000180663114 (__TEXT,__text) external _os_packet_get_truncated
0000000180663044 (__TEXT,__text) external _os_packet_get_vlan_id
000000018066304c (__TEXT,__text) external _os_packet_get_vlan_priority
0000000180662fdc (__TEXT,__text) external _os_packet_get_vlan_tag
00000001806630b8 (__TEXT,__text) external _os_packet_get_wake_flag
00000001806634bc (__TEXT,__text) external _os_packet_increment_use_count
0000000180663054 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180662828 (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180662c40 (__TEXT,__text) external _os_packet_set_expire_time
0000000180662cd4 (__TEXT,__text) external _os_packet_set_expiry_action
0000000180662ac4 (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180662b8c (__TEXT,__text) external _os_packet_set_group_end
0000000180662b28 (__TEXT,__text) external _os_packet_set_group_start
0000000180662260 (__TEXT,__text) external _os_packet_set_headroom
0000000180662998 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001806630d8 (__TEXT,__text) external _os_packet_set_keep_alive
0000000180663158 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180662368 (__TEXT,__text) external _os_packet_set_link_broadcast
0000000180662488 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001806622f8 (__TEXT,__text) external _os_packet_set_link_header_length
00000001806623f8 (__TEXT,__text) external _os_packet_set_link_multicast
0000000180662f00 (__TEXT,__text) external _os_packet_set_packetid
00000001806636b4 (__TEXT,__text) external _os_packet_set_protocol_segment_size
0000000180662688 (__TEXT,__text) external _os_packet_set_service_class
0000000180662de0 (__TEXT,__text) external _os_packet_set_token
0000000180663614 (__TEXT,__text) external _os_packet_set_trace_id
00000001806628a4 (__TEXT,__text) external _os_packet_set_traffic_class
0000000180662650 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001806625e8 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180662518 (__TEXT,__text) external _os_packet_set_transport_traffic_background
0000000180662580 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001806636e4 (__TEXT,__text) external _os_packet_set_tso_flags
000000018066353c (__TEXT,__text) external _os_packet_set_tx_timestamp
0000000180662f7c (__TEXT,__text) external _os_packet_set_vlan_tag
0000000180663640 (__TEXT,__text) external _os_packet_trace_event
0000000180665e7c (__TEXT,__text) external _os_proc_available_memory
00000001806654f8 (__TEXT,__text) external _panic
00000001806654ec (__TEXT,__text) external _panic_init
0000000180660c3c (__TEXT,__text) external _panic_with_data
0000000180660c68 (__TEXT,__text) external _pathconf
0000000180660c94 (__TEXT,__text) external _peeloff
000000018065c874 (__TEXT,__text) external _pid_for_task
0000000180660cc0 (__TEXT,__text) external _pid_hibernate
0000000180660cec (__TEXT,__text) external _pid_resume
000000018066e8f4 (__TEXT,__text) external _pid_shutdown_networking
0000000180660d18 (__TEXT,__text) external _pid_shutdown_sockets
0000000180660d44 (__TEXT,__text) external _pid_suspend
000000018065e1b4 (__TEXT,__text) external _pipe
0000000180660d70 (__TEXT,__text) external _pivot_root
0000000180662210 (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180662238 (__TEXT,__text) external _pkt_type_assert_fail
0000000180660d9c (__TEXT,__text) external _poll
000000018065e1ec (__TEXT,__text) external _poll$NOCANCEL
0000000180662138 (__TEXT,__text) non-external _port_for_id_internal
0000000180665548 (__TEXT,__text) external _port_obj_init
000000018276de28 (__DATA,__common) external _port_obj_table
000000018276dd80 (__DATA,__data) external _port_obj_table_size
0000000180660690 (__TEXT,__text) external _posix_madvise
000000018066a380 (__TEXT,__text) external _posix_spawn
0000000180668d6c (__TEXT,__text) non-external _posix_spawn_appendportaction_np
000000018066934c (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
0000000180669484 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
0000000180669214 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001806692a4 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180669540 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001806693f4 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
0000000180669080 (__TEXT,__text) external _posix_spawn_file_actions_addopen
0000000180668ff8 (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180668f60 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001806683f8 (__TEXT,__text) external _posix_spawnattr_destroy
0000000180668c8c (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180669b8c (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180669b48 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
0000000180668828 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001806687c0 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
0000000180669618 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
0000000180668730 (__TEXT,__text) external _posix_spawnattr_getflags
00000001806697b0 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
000000018066889c (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
0000000180668778 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001806688c0 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
0000000180668754 (__TEXT,__text) external _posix_spawnattr_getsigdefault
000000018066879c (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001806682f4 (__TEXT,__text) external _posix_spawnattr_init
0000000180668cb4 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
000000018066a194 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180668cfc (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180668cdc (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
0000000180668d1c (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180669d90 (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180669b6c (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
000000018066a2a0 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180669eb0 (__TEXT,__text) external _posix_spawnattr_set_gid_np
0000000180669f7c (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180669690 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
000000018066a2c0 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
000000018068ec18 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
000000018066a360 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
000000018066a084 (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180669d4c (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180669cb0 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180669ce4 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180669bb0 (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180669c80 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
0000000180668c6c (__TEXT,__text) external _posix_spawnattr_set_platform_np
000000018066a280 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001806697a8 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180669b18 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
000000018066971c (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180668afc (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
0000000180669670 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180669de8 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001806689ec (__TEXT,__text) external _posix_spawnattr_setarchpref_np
0000000180668f28 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
000000018066894c (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180669a34 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001806695f8 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001806695d0 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
0000000180668ad0 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
0000000180668ef4 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180668710 (__TEXT,__text) external _posix_spawnattr_setflags
0000000180669644 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
0000000180669870 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180669d6c (__TEXT,__text) external _posix_spawnattr_setnosmt_np
0000000180668a90 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
0000000180668908 (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000180668ab0 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001806688e4 (__TEXT,__text) external _posix_spawnattr_setsigdefault
0000000180668928 (__TEXT,__text) external _posix_spawnattr_setsigmask
0000000180668d3c (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000180660dc8 (__TEXT,__text) external _pread
000000018065e244 (__TEXT,__text) external _pread$NOCANCEL
0000000180660df4 (__TEXT,__text) external _preadv
000000018065e270 (__TEXT,__text) external _preadv$NOCANCEL
0000000180667ac0 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180667088 (__TEXT,__text) external _proc_clear_cpulimits
0000000180667398 (__TEXT,__text) external _proc_clear_delayidlesleep
0000000180666ae8 (__TEXT,__text) external _proc_clear_dirty
0000000180667278 (__TEXT,__text) external _proc_clear_vmpressure
0000000180666864 (__TEXT,__text) external _proc_current_thread_schedinfo
000000018066726c (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180667274 (__TEXT,__text) external _proc_denap_assertion_complete
00000001806673f8 (__TEXT,__text) external _proc_disable_apptype
0000000180666d6c (__TEXT,__text) external _proc_disable_cpumon
0000000180666fa0 (__TEXT,__text) external _proc_disable_wakemon
00000001806670e8 (__TEXT,__text) external _proc_donate_importance_boost
000000018066746c (__TEXT,__text) external _proc_enable_apptype
0000000180666c84 (__TEXT,__text) external _proc_get_cpumon_params
0000000180666a6c (__TEXT,__text) external _proc_get_dirty
0000000180666f1c (__TEXT,__text) external _proc_get_wakemon_params
0000000180667140 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001806671f8 (__TEXT,__text) external _proc_importance_assertion_complete
00000001806666a4 (__TEXT,__text) external _proc_kmsgbuf
0000000180666910 (__TEXT,__text) external _proc_libversion
0000000180666ff0 (__TEXT,__text) external _proc_list_dynkqueueids
0000000180666fd4 (__TEXT,__text) external _proc_list_uptrs
0000000180666224 (__TEXT,__text) external _proc_listallpids
000000018066629c (__TEXT,__text) external _proc_listchildpids
0000000180666368 (__TEXT,__text) external _proc_listcoalitions
0000000180666260 (__TEXT,__text) external _proc_listpgrppids
00000001806661ec (__TEXT,__text) external _proc_listpids
00000001806715ec (__TEXT,__text) external _proc_listpidspath
00000001806664cc (__TEXT,__text) external _proc_name
00000001806663a0 (__TEXT,__text) external _proc_pid_rusage
0000000180666478 (__TEXT,__text) external _proc_piddynkqueueinfo
0000000180666408 (__TEXT,__text) external _proc_pidfdinfo
0000000180666440 (__TEXT,__text) external _proc_pidfileportinfo
00000001806662d8 (__TEXT,__text) external _proc_pidinfo
0000000180666310 (__TEXT,__text) external _proc_pidoriginatorinfo
00000001806666dc (__TEXT,__text) external _proc_pidpath
000000018066679c (__TEXT,__text) external _proc_pidpath_audittoken
00000001806665a8 (__TEXT,__text) external _proc_regionfilename
000000018066707c (__TEXT,__text) external _proc_reset_footprint_interval
0000000180666d4c (__TEXT,__text) external _proc_resume_cpumon
0000000180660e20 (__TEXT,__text) external _proc_rlimit_control
0000000180666d00 (__TEXT,__text) external _proc_set_cpumon_defaults
0000000180666c38 (__TEXT,__text) external _proc_set_cpumon_params
0000000180666db8 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001806675b0 (__TEXT,__text) external _proc_set_csm
0000000180667338 (__TEXT,__text) external _proc_set_delayidlesleep
0000000180666a0c (__TEXT,__text) external _proc_set_dirty
00000001806674e8 (__TEXT,__text) external _proc_set_no_smt
00000001806672d8 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000180666f6c (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180666ee8 (__TEXT,__text) external _proc_set_wakemon_params
000000018066700c (__TEXT,__text) external _proc_setcpu_percentage
0000000180666930 (__TEXT,__text) external _proc_setpcontrol
00000001806663bc (__TEXT,__text) external _proc_setthread_cpupercent
0000000180667678 (__TEXT,__text) external _proc_setthread_csm
000000018066754c (__TEXT,__text) external _proc_setthread_no_smt
00000001806674e0 (__TEXT,__text) external _proc_suppress
0000000180666b48 (__TEXT,__text) external _proc_terminate
0000000180666bc4 (__TEXT,__text) external _proc_terminate_all_rsr
0000000180660e4c (__TEXT,__text) external _proc_trace_log
00000001806669ac (__TEXT,__text) external _proc_track_dirty
00000001806664b0 (__TEXT,__text) external _proc_udata_info
0000000180660e78 (__TEXT,__text) external _proc_uuid_policy
000000018068176c (__TEXT,__text) external _processor_assign
0000000180681608 (__TEXT,__text) external _processor_control
00000001806812e0 (__TEXT,__text) external _processor_exit
00000001806818a0 (__TEXT,__text) external _processor_get_assignment
00000001806813f4 (__TEXT,__text) external _processor_info
0000000180678278 (__TEXT,__text) external _processor_set_create
0000000180678118 (__TEXT,__text) external _processor_set_default
0000000180680390 (__TEXT,__text) external _processor_set_destroy
0000000180680e2c (__TEXT,__text) external _processor_set_info
00000001806804a8 (__TEXT,__text) external _processor_set_max_priority
0000000180680b24 (__TEXT,__text) external _processor_set_policy_control
00000001806806f0 (__TEXT,__text) external _processor_set_policy_disable
00000001806805cc (__TEXT,__text) external _processor_set_policy_enable
0000000180680c9c (__TEXT,__text) external _processor_set_stack_usage
00000001806801ac (__TEXT,__text) external _processor_set_statistics
0000000180680814 (__TEXT,__text) external _processor_set_tasks
0000000180681034 (__TEXT,__text) external _processor_set_tasks_with_flavor
000000018068099c (__TEXT,__text) external _processor_set_threads
00000001806811cc (__TEXT,__text) external _processor_start
000000018066f13c (__TEXT,__text) external _pselect
0000000180671268 (__TEXT,__text) external _pselect$DARWIN_EXTSN
000000018066588c (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
000000018066f2fc (__TEXT,__text) external _pselect$NOCANCEL
000000018065d5d4 (__TEXT,__text) external _pthread_getugid_np
000000018065eccc (__TEXT,__text) external _pthread_setugid_np
000000018065e6e8 (__TEXT,__text) external _ptrace
0000000180660ea4 (__TEXT,__text) external _pwrite
000000018065e720 (__TEXT,__text) external _pwrite$NOCANCEL
0000000180660ed0 (__TEXT,__text) external _pwritev
000000018065e74c (__TEXT,__text) external _pwritev$NOCANCEL
00000001806651c4 (__TEXT,__text) external _quota
0000000180660efc (__TEXT,__text) external _quotactl
0000000180660f28 (__TEXT,__text) external _read
000000018065e778 (__TEXT,__text) external _read$NOCANCEL
0000000180660f54 (__TEXT,__text) external _readlink
0000000180660f80 (__TEXT,__text) external _readlinkat
0000000180660fac (__TEXT,__text) external _readv
000000018065e7a4 (__TEXT,__text) external _readv$NOCANCEL
0000000180661a8c (__TEXT,__text) non-external _reallocf
0000000180663734 (__TEXT,__text) external _reboot
000000018066373c (__TEXT,__text) external _reboot_np
000000018066f104 (__TEXT,__text) external _record_system_event_as_kernel
000000018065e828 (__TEXT,__text) external _recvfrom
000000018065e854 (__TEXT,__text) external _recvfrom$NOCANCEL
000000018065e880 (__TEXT,__text) external _recvmsg
000000018065e8ac (__TEXT,__text) external _recvmsg$NOCANCEL
0000000180660fd8 (__TEXT,__text) external _recvmsg_x
0000000180661004 (__TEXT,__text) external _register_uexc_handler
0000000180661030 (__TEXT,__text) external _removexattr
0000000180671214 (__TEXT,__text) external _rename
00000001806680b8 (__TEXT,__text) external _rename_ext
00000001806638d4 (__TEXT,__text) external _renameat
000000018066804c (__TEXT,__text) external _renameatx_np
0000000180668078 (__TEXT,__text) external _renamex_np
000000018066105c (__TEXT,__text) external _revoke
00000001806709d4 (__TEXT,__text) external _rmdir
0000000180661088 (__TEXT,__text) external _searchfs
000000018066f108 (__TEXT,__text) external _select
000000018065e988 (__TEXT,__text) external _select$DARWIN_EXTSN
000000018065e9b4 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
000000018066f2c8 (__TEXT,__text) external _select$NOCANCEL
00000001806610b4 (__TEXT,__text) external _sem_close
000000018066e874 (__TEXT,__text) external _sem_destroy
000000018066e89c (__TEXT,__text) external _sem_getvalue
000000018066e8c4 (__TEXT,__text) external _sem_init
000000018065cc04 (__TEXT,__text) external _sem_open
00000001806610e0 (__TEXT,__text) external _sem_post
000000018066110c (__TEXT,__text) external _sem_trywait
0000000180661138 (__TEXT,__text) external _sem_unlink
0000000180661164 (__TEXT,__text) external _sem_wait
000000018065ea0c (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180683dfc (__TEXT,__text) external _semaphore_create
0000000180683f68 (__TEXT,__text) external _semaphore_destroy
00000001806655ac (__TEXT,__text) external _semaphore_signal
00000001806655b0 (__TEXT,__text) external _semaphore_signal_all
000000018065c7e4 (__TEXT,__text) external _semaphore_signal_all_trap
00000001806655b4 (__TEXT,__text) external _semaphore_signal_thread
000000018065c7f0 (__TEXT,__text) external _semaphore_signal_thread_trap
000000018065c7d8 (__TEXT,__text) external _semaphore_signal_trap
00000001806655bc (__TEXT,__text) external _semaphore_timedwait
00000001806655c8 (__TEXT,__text) external _semaphore_timedwait_signal
000000018065c820 (__TEXT,__text) external _semaphore_timedwait_signal_trap
000000018065c814 (__TEXT,__text) external _semaphore_timedwait_trap
00000001806655b8 (__TEXT,__text) external _semaphore_wait
00000001806655c4 (__TEXT,__text) external _semaphore_wait_signal
000000018065c808 (__TEXT,__text) external _semaphore_wait_signal_trap
000000018065c7fc (__TEXT,__text) external _semaphore_wait_trap
000000018065cc88 (__TEXT,__text) external _semctl
0000000180661190 (__TEXT,__text) external _semget
00000001806611bc (__TEXT,__text) external _semop
000000018065cc64 (__TEXT,__text) external _semsys
00000001806611e8 (__TEXT,__text) external _sendfile
000000018065eae8 (__TEXT,__text) external _sendmsg
000000018065eb14 (__TEXT,__text) external _sendmsg$NOCANCEL
0000000180661214 (__TEXT,__text) external _sendmsg_x
000000018065eb40 (__TEXT,__text) external _sendto
000000018065eb6c (__TEXT,__text) external _sendto$NOCANCEL
000000018065eb98 (__TEXT,__text) external _setattrlist
0000000180661240 (__TEXT,__text) external _setattrlistat
00000001806734e8 (__TEXT,__text) external _setaudit
000000018066126c (__TEXT,__text) external _setaudit_addr
0000000180661298 (__TEXT,__text) external _setauid
00000001806612c4 (__TEXT,__text) external _setegid
00000001806612f0 (__TEXT,__text) external _seteuid
000000018066131c (__TEXT,__text) external _setgid
0000000180661348 (__TEXT,__text) external _setgroups
00000001806657f4 (__TEXT,__text) external _setiopolicy_np
0000000180661374 (__TEXT,__text) external _setitimer
00000001806613a0 (__TEXT,__text) external _setpgid
000000018066a828 (__TEXT,__text) external _setpriority
00000001806613cc (__TEXT,__text) external _setprivexec
00000001806651f4 (__TEXT,__text) external _setquota
000000018065ec1c (__TEXT,__text) external _setregid
000000018065ec48 (__TEXT,__text) external _setreuid
000000018066f488 (__TEXT,__text) external _setrlimit
000000018065eca0 (__TEXT,__text) external _setsgroups_np
00000001806613f8 (__TEXT,__text) external _setsid
0000000180661424 (__TEXT,__text) external _setsockopt
0000000180661450 (__TEXT,__text) external _setuid
000000018065ed50 (__TEXT,__text) external _setwgroups_np
000000018066147c (__TEXT,__text) external _setxattr
000000018066ae18 (__TEXT,__text) external _sfi_get_class_offtime
000000018066ae40 (__TEXT,__text) external _sfi_process_get_flags
000000018066ae2c (__TEXT,__text) external _sfi_process_set_flags
000000018066ae04 (__TEXT,__text) external _sfi_set_class_offtime
000000018065cc24 (__TEXT,__text) external _shm_open
00000001806614a8 (__TEXT,__text) external _shm_unlink
00000001806614d4 (__TEXT,__text) external _shmat
000000018065ee58 (__TEXT,__text) external _shmctl
0000000180661500 (__TEXT,__text) external _shmdt
000000018066152c (__TEXT,__text) external _shmget
000000018065cca8 (__TEXT,__text) external _shmsys
0000000180661558 (__TEXT,__text) external _shutdown
0000000180661584 (__TEXT,__text) external _sigpending
00000001806615b0 (__TEXT,__text) external _sigprocmask
0000000180670934 (__TEXT,__text) external _sigsuspend
000000018066f490 (__TEXT,__text) external _sigsuspend$NOCANCEL
00000001806615dc (__TEXT,__text) external _socket
0000000180661608 (__TEXT,__text) external _socket_delegate
000000018065efb8 (__TEXT,__text) external _socketpair
