                 (undefined) external _APP_SANDBOX_READ (from libSystem)
                 (undefined) external _NSTemporaryDirectory (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSFileManager (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURL (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSURLComponents (from Foundation)
000000021d6cf508 (__DATA,__data) external _PXR_WORK_THREAD_LIMIT
000000020e3434c8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16AddToMutedLayersERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e33def4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16ClearDefaultPrimEv
000000020e33e654 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16ClearEndTimeCodeEv
000000020e342728 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16CreateIdentifierERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS1_3mapIS7_S7_NS1_4lessIS7_EENS5_INS1_4pairIS8_S7_EEEEEE
000000020e33bfc8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16ImportFromStringERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e33dfc0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16SetDocumentationERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e33fae0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16SetRootPrimOrderERKNSt3__16vectorINS_7TfTokenENS1_9allocatorIS3_EEEE
000000020e33e1b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16SetStartTimeCodeEd
000000020e344508 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16SetStateDelegateERKNS_8TfRefPtrINS_25SdfLayerStateDelegateBaseEEE
000000020e33fd54 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer16SetSubLayerPathsERKNSt3__16vectorINS1_12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEENS6_IS8_EEEE
000000020e33f3dc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer17ClearSessionOwnerEv
000000020e340b44 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer17GetPropertyAtPathERKNS_7SdfPathE
000000020e341b50 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer17RemovePrimIfInertENS_9SdfHandleINS_11SdfPrimSpecEEE
000000020e33ec40 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer17SetFramePrecisionEi
000000020e3402b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer17SetSubLayerOffsetERKNS_14SdfLayerOffsetEi
000000020e33e3d4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18ClearStartTimeCodeEv
000000020e340c5c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18GetAttributeAtPathERKNS_7SdfPathE
000000020e33fe9c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18InsertSubLayerPathERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEEi
000000020e33ffe8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18RemoveSubLayerPathEi
000000020e33f6dc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18SetCustomLayerDataERKNS_12VtDictionaryE
000000020e33eaa8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18SetFramesPerSecondEd
000000020e3340b4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18_PrimSetTimeSampleINS_25SdfAbstractDataConstValueEEEvRKNS_7SdfPathEdRKT_b
000000020e333ee8 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer18_PrimSetTimeSampleINS_7VtValueEEEvRKNS_7SdfPathEdRKT_b
000000020e33ee54 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer19ClearFramePrecisionEv
000000020e33c27c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer19FindRelativeToLayerERKNS_9TfWeakPtrIS0_EERKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEERKNS5_3mapISB_SB_NS5_4lessISB_EENS9_INS5_4pairISC_SB_EEEEEE
000000020e340ef4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer19SetPermissionToEditEb
000000020e340efc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer19SetPermissionToSaveEb
000000020e33f844 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer20ClearCustomLayerDataEv
000000020e33ebdc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer20ClearFramesPerSecondEv
000000020e33f520 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer20SetHasOwnedSubLayersEb
000000020e336858 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer20_CreateNewWithFormatERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEESF_RKNS_11ArAssetInfoERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEE
000000020e340d74 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21GetRelationshipAtPathERKNS_7SdfPathE
000000020e33fb3c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21InsertInRootPrimOrderERKNS_7TfTokenEi
000000020e343d20 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21RemoveFromMutedLayersERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e341930 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21ScheduleRemoveIfInertERKNS_7SdfSpecE
000000020e33d378 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21SetColorConfigurationERKNS_12SdfAssetPathE
000000020e33e6b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21SetTimeCodesPerSecondEd
000000020e3368c8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21_FinishInitializationEb
000000020e345218 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer21_UpdateReferencePathsERKNS_9SdfHandleINS_11SdfPrimSpecEEERKNSt3__112basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEESE_
000000020e346dac (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer22SetFieldDictValueByKeyERKNS_7SdfPathERKNS_7TfTokenES6_RKNS_25SdfAbstractDataConstValueE
000000020e346b44 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer22SetFieldDictValueByKeyERKNS_7SdfPathERKNS_7TfTokenES6_RKNS_7VtValueE
000000020e342300 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer22_RemoveInertToRootmostENS_9SdfHandleINS_11SdfPrimSpecEEE
000000020e33d518 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer23ClearColorConfigurationEv
000000020e33ea44 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer23ClearTimeCodesPerSecondEv
000000020e33fba0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer23RemoveFromRootPrimOrderERKNS_7TfTokenE
000000020e3450a8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer23UpdateExternalReferenceERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_
000000020e347034 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer24EraseFieldDictValueByKeyERKNS_7SdfPathERKNS_7TfTokenES6_
000000020e33c484 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer24GetBracketingTimeSamplesEdPdS1_
000000020e33d948 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer24SetColorManagementSystemERKNS_7TfTokenE
000000020e3398e4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer25FindOrOpenRelativeToLayerERKNS_9TfWeakPtrIS0_EERKNSt3__112basic_stringIcNS5_11char_traitsIcEENS5_9allocatorIcEEEERKNS5_3mapISB_SB_NS5_4lessISB_EENS9_INS5_4pairISC_SB_EEEEEE
000000020e335f40 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer25_InitializeFromIdentifierERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_S9_RKNS_11ArAssetInfoE
000000020e33daf4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer26ClearColorManagementSystemEv
000000020e336fe0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer26IsAnonymousLayerIdentifierERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e336c18 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer26_CreateAnonymousWithFormatERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEE
000000020e3423bc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer27RemoveInertSceneDescriptionEv
000000020e3358ac (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer27_PrimSetFieldDictValueByKeyINS_25SdfAbstractDataConstValueEEEvRKNS_7SdfPathERKNS_7TfTokenES8_RKT_PKNS_7VtValueEb
000000020e3356cc (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer27_PrimSetFieldDictValueByKeyINS_7VtValueEEEvRKNS_7SdfPathERKNS_7TfTokenES8_RKT_PKS2_b
000000020e336fe4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer28GetDisplayNameFromIdentifierERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e338374 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer29_ComputeInfoToFindOrOpenLayerERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS1_3mapIS7_S7_NS1_4lessIS7_EENS5_INS1_4pairIS8_S7_EEEEEEPNS0_20_FindOrOpenLayerInfoEb
000000020e33fbfc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer30RemoveFromRootPrimOrderByIndexEi
000000020e33c55c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer31GetBracketingTimeSamplesForPathERKNS_7SdfPathEdPdS4_
000000020e341bfc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer37RemovePropertyIfHasOnlyRequiredFieldsENS_9SdfHandleINS_15SdfPropertySpecEEE
000000020e338010 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer3NewERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEE
000000020e3368e0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer42_WaitForInitializationAndCheckIfSuccessfulEv
000000020e33c02c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer4FindERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS1_3mapIS7_S7_NS1_4lessIS7_EENS5_INS1_4pairIS8_S7_EEEEEE
000000020e34145c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer5ApplyERKNS_21SdfBatchNamespaceEditE
000000020e3442d8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer5ClearEv
000000020e339dd8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer5_ReadERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEES9_b
000000020e33bef0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer6ImportERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e33bc04 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer6ReloadEb
000000020e3441b4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer7IsMutedERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e33a1ec (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer7_ReloadEb
000000020e3468b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8SetFieldERKNS_7SdfPathERKNS_7TfTokenERKNS_25SdfAbstractDataConstValueE
000000020e340508 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8SetFieldERKNS_7SdfPathERKNS_7TfTokenERKNS_7VtValueE
000000020e3433f0 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8SetMutedEb
000000020e33efa8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8SetOwnerERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE
000000020e347fe4 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8TraverseERKNS_7SdfPathERKNSt3__18functionIFvS3_EEE
000000020e33a8fc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer8_SetDataERKNS_9TfWeakPtrINS_15SdfAbstractDataEEEPKNS_13SdfSchemaBaseE
000000020e337a94 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer9CreateNewERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEE
000000020e336fe8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer9CreateNewERKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKNS1_3mapIS7_S7_NS1_4lessIS7_EENS5_INS1_4pairIS8_S7_EEEEEE
000000020e347b80 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer9_MoveSpecERKNS_7SdfPathES3_
000000020e3471e8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayer9_SwapDataERNS_8TfRefPtrINS_15SdfAbstractDataEEE
000000020e336360 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayerC1ERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEESF_RKNS_11ArAssetInfoERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEEb
000000020e335adc (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayerC2ERKNS_9TfWeakPtrIKNS_13SdfFileFormatEEERKNSt3__112basic_stringIcNS7_11char_traitsIcEENS7_9allocatorIcEEEESF_RKNS_11ArAssetInfoERKNS7_3mapISD_SD_NS7_4lessISD_EENSB_INS7_4pairISE_SD_EEEEEEb
000000020e336820 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayerD0Ev
000000020e33681c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayerD1Ev
000000020e336364 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8SdfLayerD2Ev
000000020ebfa88c (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE10NumRegionsE
000000020ebfa884 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE10RegionMaskE
000000020e38efc4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE10_GetHandleEPKc
000000021d6cf8a0 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE11_threadDataE
000000020ebfa888 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_RegionState11LockedStateE
000000020e38ea64 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_RegionState12GetInitStateEv
000000020e38ea6c (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_RegionState14GetLockedStateEv
000000020e38ea24 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_RegionStateC1Ejj
000000020e38ea18 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_RegionStateC2Ejj
000000020e38ed18 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_ReserveSpanERNS2_9_PoolSpanE
000000021d6d00b8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE12_regionStateE
000000021d6cf8a8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE13_regionStartsE
000000020ebfa878 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE14ElemsPerRegionE
000000020e38ef20 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE14_ShareFreeListERNS2_9_FreeListE
000000021d6d00b0 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE16_sharedFreeListsE
000000020e38ecc4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE19_TakeSharedFreeListERNS2_9_FreeListE
000000020e38ee30 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE4FreeENS2_6HandleE
000000020e39a650 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6Handle4swapERS3_
000000020e39a594 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6Handle9GetHandleEPKc
000000020e39a548 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6HandleC1EDn
000000020e39a55c (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6HandleC1Ejj
000000020e39a540 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6HandleC2EDn
000000020e39a550 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6HandleC2Ejj
000000020e39a568 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE6HandleaSEDn
000000020e38efa8 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE7_GetPtrEjj
000000020e38ea94 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE8AllocateEv
000000020ebfa880 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE8MaxIndexE
000000020e38e940 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE9_FreeList3PopEv
000000020e38e978 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE9_FreeList4PushENS2_6HandleE
000000020e38e9d4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPrimTagELj24ELj8ELj16384EE9_PoolSpan5AllocEv
000000020ebfa8a4 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE10NumRegionsE
000000020ebfa89c (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE10RegionMaskE
000000020e38f6d4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE10_GetHandleEPKc
000000021d6d00bc (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE11_threadDataE
000000020ebfa8a0 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_RegionState11LockedStateE
000000020e38f174 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_RegionState12GetInitStateEv
000000020e38f17c (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_RegionState14GetLockedStateEv
000000020e38f134 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_RegionStateC1Ejj
000000020e38f128 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_RegionStateC2Ejj
000000020e38f428 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_ReserveSpanERNS2_9_PoolSpanE
000000021d6d08d0 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE12_regionStateE
000000021d6d00c0 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE13_regionStartsE
000000020ebfa890 (__TEXT,__const) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE14ElemsPerRegionE
000000020e38f630 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE14_ShareFreeListERNS2_9_FreeListE
000000021d6d08c8 (__DATA,__data) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE16_sharedFreeListsE
000000020e38f3d4 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE19_TakeSharedFreeListERNS2_9_FreeListE
000000020e38f540 (__TEXT,__text) weak external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE4FreeENS2_6HandleE
000000020e39a774 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE6Handle4swapERS3_
000000020e39a6b8 (__TEXT,__text) external __ZN38pxrInternal_v0_21__aapl__pxrReserved__8Sdf_PoolINS_15Sdf_PathPropTagELj24ELj8ELj16384EE6Handle9GetHandleEPKc
