00000001a0175840 (__TEXT,__text) non-external +[Calculate _lock]
00000001e73ca14c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00000001e73ca128 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00000001e73ca138 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00000001e73ca134 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00000001e73ca130 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00000001e73ca12c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00000001e73ca13c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00000001e73ca140 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00000001e8aa76e8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Calculate
00000001e8aa76c0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00000001e8aa7670 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00000001e8aa7648 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00000001e8aa7738 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00000001e8aa7828 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00000001e8aa75d0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00000001e8aa7378 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Converter
00000001e8aa73a0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00000001e8aa73c8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001e8aa7558 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Trie
00000001e8aa7530 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00000001e8aa7468 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00000001e8aa73f0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00000001e8aa7418 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00000001e8aa7490 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00000001e8aa74e0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
00000001a0155bfc (__TEXT,__text) non-external _UnitCountAngleUnitID
00000001a0156144 (__TEXT,__text) non-external _UnitCountCompose
00000001a0155728 (__TEXT,__text) non-external _UnitCountConvert
00000001a0154f68 (__TEXT,__text) non-external _UnitCountConvertID
00000001a0155dc4 (__TEXT,__text) non-external _UnitCountDecompose
00000001a0154ec4 (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
00000001a01559a0 (__TEXT,__text) non-external _UnitCountMultiply
00000001a0155af4 (__TEXT,__text) non-external _UnitCountNextSmallestID
00000001a0155c94 (__TEXT,__text) non-external _UnitCountRequireDegrees
00000001a0155d2c (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001ef9bbaf0 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
00000001a01a3588 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
00000001a01a35d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
00000001a01a3608 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
00000001a01a3640 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
00000001a01a3658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
00000001a01a3670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
00000001a01a36a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
00000001a01a36b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
00000001a01a3708 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
00000001a01a3720 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
00000001a01a3788 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
00000001a01a37a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
00000001a01a37c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
00000001a01a3870 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
00000001a01a3b10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
00000001a01a3c48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
00000001a01a3ca8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
00000001a01a3e00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
00000001a01a3ec8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
00000001a01a40b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
00000001a01a4218 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
00000001a01a4230 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
00000001a01a4350 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
00000001a01a43b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
00000001a01a45f8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
00000001a01a46b8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
00000001a01a4780 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
00000001a01a4888 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00000001ef9b71a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00000001ef9b6d88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00000001ef9b6c78 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00000001ef9b72f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00000001ef9b73c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00000001ef9b6b68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00000001ef9b75e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00000001ef9b5a98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00000001ef9b6968 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00000001ef9b6880 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00000001ef9b6010 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00000001ef9b5d88 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00000001ef9b5e58 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00000001ef9b6458 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00000001ef9b6648 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00000001ef9b7250 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00000001ef9b7030 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00000001ef9b6d00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00000001ef9b7378 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00000001ef9b7528 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00000001ef9b6c10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00000001ef9b7788 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00000001ef9b5c20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00000001ef9b56f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001ef9b6ad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00000001ef9b68e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00000001ef9b62b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00000001ef9b5e10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00000001ef9b5f40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00000001ef9b65a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00000001ef9b6790 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00000001ef9b5508 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001ef9b56d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001ef9b57f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00000001ef9b5740 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001ef9b59e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00000001ef9b57e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00000001ef9b5a80 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00000001ef9b72a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00000001ef9bbfb0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00000001ef9bbf20 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00000001ef9bbe90 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00000001ef9bc088 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00000001ef9bc118 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00000001ef9bbe00 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00000001ef9bc1a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00000001ef9bba60 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00000001ef9b5cf8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00000001ef9bbd70 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00000001ef9bbd28 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00000001ef9bbc08 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00000001ef9bbb30 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00000001ef9bbbc0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00000001ef9bbc50 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00000001ef9bbce0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00000001ef9b54f0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001ef9b54f8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00000001ef9bbff8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00000001ef9bbf68 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00000001ef9bbed8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00000001ef9bbe48 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00000001ef9bc040 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00000001ef9bc0d0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00000001ef9bbdb8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00000001ef9bc160 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00000001ef9bba18 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00000001ef9bbaa8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00000001ef9b6920 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00000001ef9b6838 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00000001ef9b5fc8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00000001ef9b5d40 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00000001ef9bbb78 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00000001ef9b6410 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00000001ef9bbc98 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00000001e73ca3a8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001e73ca408 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00000001a0165efc (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
00000001a0175904 (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
00000001a017e5d8 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
00000001a017e71c (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
00000001a017efc8 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
00000001a01535a4 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
00000001a01533a4 (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
00000001a016969c (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
00000001a017e508 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
00000001a016953c (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
00000001a01693ec (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
00000001a01695f8 (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
00000001a0170744 (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
00000001a01780d4 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
00000001a0177dbc (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
00000001a0177f2c (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
00000001a0152aa8 (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
00000001a0177280 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
00000001a0177ab8 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.130
00000001a01773cc (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.133
00000001a0177608 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.140
00000001a0177770 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.147
00000001a0179230 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
00000001a017909c (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.108
00000001a0178d08 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.95
00000001a0178b18 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
00000001a01531a0 (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
00000001a01657bc (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
00000001a0172894 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
00000001a01729f8 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.339
00000001a017c3fc (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
00000001a0175794 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
00000001a017129c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.553
00000001a017135c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.557
00000001a016df54 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.559
00000001a016e06c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.565
00000001a0171854 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.573
00000001a016e424 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.670
00000001a016e484 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.690
00000001a01715c0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.698
00000001a0171290 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.733
00000001a016ee80 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.757
00000001a016f030 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.770
00000001a016f214 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.789
00000001a01719a0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
00000001a0171920 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.560
00000001a0171868 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.566
00000001a016e184 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.580
00000001a0171784 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.691
00000001a0171520 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.707
00000001a016ead4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.740
00000001a016e80c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
00000001a0171848 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.665
00000001a0171514 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.716
00000001a0171070 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.741
00000001a016e65c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
00000001a016ec18 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.753
00000001a0152500 (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
00000001a015274c (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
00000001a017cfb0 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
00000001a017df84 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.102
00000001a0173b48 (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
00000001a0168e44 (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
00000001a0170b8c (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
00000001a016e46c (__TEXT,__text) non-external ___Block_byref_object_copy_
00000001a01773b4 (__TEXT,__text) non-external ___Block_byref_object_copy_.552
00000001a016e47c (__TEXT,__text) non-external ___Block_byref_object_dispose_
00000001a01773c4 (__TEXT,__text) non-external ___Block_byref_object_dispose_.553
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001a0165880 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
00000001a0156d98 (__TEXT,__text) non-external ____functionAdd_block_invoke
00000001a0157c9c (__TEXT,__text) non-external ____functionMultiply_block_invoke
00000001a01859cc (__TEXT,__text) non-external ___bid128_acos
00000001a0185c98 (__TEXT,__text) non-external ___bid128_add
00000001a0188c6c (__TEXT,__text) non-external ___bid128_asin
00000001a0188f08 (__TEXT,__text) non-external ___bid128_asinh
00000001a0189140 (__TEXT,__text) non-external ___bid128_atan
00000001a0189474 (__TEXT,__text) non-external ___bid128_atanh
00000001a0189820 (__TEXT,__text) non-external ___bid128_cbrt
00000001a018b6f4 (__TEXT,__text) non-external ___bid128_cos
00000001a018bda8 (__TEXT,__text) non-external ___bid128_div
00000001a018d898 (__TEXT,__text) non-external ___bid128_exp
00000001a0193250 (__TEXT,__text) non-external ___bid128_fmod
00000001a019c6b0 (__TEXT,__text) non-external ___bid128_from_string
00000001a0193a08 (__TEXT,__text) non-external ___bid128_hypot
00000001a0194f80 (__TEXT,__text) non-external ___bid128_isZero
00000001a01942a0 (__TEXT,__text) non-external ___bid128_lgamma
00000001a0194814 (__TEXT,__text) non-external ___bid128_log
00000001a0194b04 (__TEXT,__text) non-external ___bid128_log10
00000001a0194df4 (__TEXT,__text) non-external ___bid128_mul
00000001a0194ff4 (__TEXT,__text) non-external ___bid128_pow
00000001a0189bcc (__TEXT,__text) non-external ___bid128_quiet_equal
00000001a0189f20 (__TEXT,__text) non-external ___bid128_quiet_greater
00000001a018a518 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
00000001a018ab04 (__TEXT,__text) non-external ___bid128_quiet_less
00000001a018b0fc (__TEXT,__text) non-external ___bid128_quiet_less_equal
00000001a0198134 (__TEXT,__text) non-external ___bid128_rem
00000001a01989c4 (__TEXT,__text) non-external ___bid128_round_integral_exact
00000001a01997e0 (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
00000001a0199be4 (__TEXT,__text) non-external ___bid128_round_integral_negative
00000001a0199fb8 (__TEXT,__text) non-external ___bid128_round_integral_zero
00000001a019a2c0 (__TEXT,__text) non-external ___bid128_sin
00000001a019a9b8 (__TEXT,__text) non-external ___bid128_sqrt
00000001a0188c4c (__TEXT,__text) non-external ___bid128_sub
00000001a019d650 (__TEXT,__text) non-external ___bid128_tan
00000001a019ebe8 (__TEXT,__text) non-external ___bid128_to_binary128
00000001a019e5bc (__TEXT,__text) non-external ___bid128_to_binary64
00000001a019dcc4 (__TEXT,__text) non-external ___bid128_to_int32_int
00000001a019bb74 (__TEXT,__text) non-external ___bid128_to_string
00000001a019e25c (__TEXT,__text) non-external ___bid128_to_uint64_int
00000001a02dafe0 (__TEXT,__const) non-external ___bid_Ex128m128
00000001a02dbfd0 (__TEXT,__const) non-external ___bid_Ex192m192
00000001a02ddbd0 (__TEXT,__const) non-external ___bid_Ex256m256
00000001a02da9e0 (__TEXT,__const) non-external ___bid_Ex64m64
00000001a02dad90 (__TEXT,__const) non-external ___bid_Kx128
00000001a02db8d0 (__TEXT,__const) non-external ___bid_Kx192
00000001a02dd270 (__TEXT,__const) non-external ___bid_Kx256
00000001a02da958 (__TEXT,__const) non-external ___bid_Kx64
00000001a01b1a90 (__TEXT,__const) non-external ___bid_char_table2
00000001a01b0ed8 (__TEXT,__const) non-external ___bid_char_table3
00000001a02d6c90 (__TEXT,__const) non-external ___bid_convert_table
00000001a02d9b90 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
00000001a02d8572 (__TEXT,__const) non-external ___bid_factors
00000001a02db1a0 (__TEXT,__const) non-external ___bid_half128
00000001a02dc270 (__TEXT,__const) non-external ___bid_half192
00000001a02ddf58 (__TEXT,__const) non-external ___bid_half256
00000001a02daab0 (__TEXT,__const) non-external ___bid_half64
00000001a02db078 (__TEXT,__const) non-external ___bid_mask128
00000001a02dc0b0 (__TEXT,__const) non-external ___bid_mask192
00000001a02ddd00 (__TEXT,__const) non-external ___bid_mask256
00000001a02daa28 (__TEXT,__const) non-external ___bid_mask64
00000001a01fac50 (__TEXT,__const) non-external ___bid_maskhigh128
00000001a01b0320 (__TEXT,__const) non-external ___bid_midi_tbl
00000001a02dac60 (__TEXT,__const) non-external ___bid_midpoint128
00000001a02db650 (__TEXT,__const) non-external ___bid_midpoint192
00000001a02dd010 (__TEXT,__const) non-external ___bid_midpoint256
00000001a02da8c0 (__TEXT,__const) non-external ___bid_midpoint64
00000001a01adf20 (__TEXT,__const) non-external ___bid_mod10_18_tbl
00000001a01f9c10 (__TEXT,__const) non-external ___bid_nr_digits
00000001a01fb010 (__TEXT,__const) non-external ___bid_onehalf128
00000001a02d8090 (__TEXT,__const) non-external ___bid_packed_10000_zeros
00000001a02da0f0 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
00000001a02d9da0 (__TEXT,__const) non-external ___bid_power10_table_128
00000001a02d9b00 (__TEXT,__const) non-external ___bid_recip_scale
00000001a02d98c0 (__TEXT,__const) non-external ___bid_reciprocals10_128
00000001a02da058 (__TEXT,__const) non-external ___bid_reciprocals10_64
00000001a01a1374 (__TEXT,__text) non-external ___bid_round128_19_38
00000001a01a1714 (__TEXT,__text) non-external ___bid_round192_39_57
00000001a01a1fe4 (__TEXT,__text) non-external ___bid_round256_58_76
00000001a01a123c (__TEXT,__text) non-external ___bid_round64_2_18
00000001a02d8d80 (__TEXT,__const) non-external ___bid_round_const_table_128
00000001a01fad60 (__TEXT,__const) non-external ___bid_shiftright128
