000000019dcd25d0 (__TEXT,__text) non-external +[Calculate _lock]
00000001d9694a44 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00000001d9694a48 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00000001d9694a4c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00000001d9694a28 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00000001d9694a38 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00000001d9694a34 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00000001d9694a30 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00000001d9694a2c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00000001d9694a3c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00000001d9694a40 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00000001dbf1cdb8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Calculate
00000001dbf1cd90 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00000001dbf1cd40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00000001dbf1cd18 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00000001dbf1ce08 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00000001dbf1cef8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00000001dbf1cca0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00000001dbf1ca48 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Converter
00000001dbf1ca70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00000001dbf1ca98 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001dbf1cc28 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Trie
00000001dbf1cc00 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00000001dbf1cb38 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00000001dbf1cac0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00000001dbf1cae8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00000001dbf1cb60 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00000001dbf1cbb0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
000000019dcb2c84 (__TEXT,__text) non-external _UnitCountAngleUnitID
000000019dcb31d4 (__TEXT,__text) non-external _UnitCountCompose
000000019dcb27a8 (__TEXT,__text) non-external _UnitCountConvert
000000019dcb1fe8 (__TEXT,__text) non-external _UnitCountConvertID
000000019dcb2e54 (__TEXT,__text) non-external _UnitCountDecompose
000000019dcb1f44 (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
000000019dcb2a24 (__TEXT,__text) non-external _UnitCountMultiply
000000019dcb2b7c (__TEXT,__text) non-external _UnitCountNextSmallestID
000000019dcb2d24 (__TEXT,__text) non-external _UnitCountRequireDegrees
000000019dcb2dbc (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001de8a2f18 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
000000019dd00588 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
000000019dd005d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
000000019dd00608 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
000000019dd00640 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
000000019dd00658 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
000000019dd00670 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
000000019dd00690 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
000000019dd006a8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
000000019dd006f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
000000019dd00710 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
000000019dd00778 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
000000019dd00790 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
000000019dd007b0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
000000019dd00860 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
000000019dd00b00 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
000000019dd00c38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
000000019dd00c98 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
000000019dd00df0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
000000019dd00eb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
000000019dd010a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
000000019dd01208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
000000019dd01220 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
000000019dd01340 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
000000019dd013a0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
000000019dd015e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
000000019dd016a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
000000019dd01770 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
000000019dd01878 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00000001d52a1a18 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00000001d52a15f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00000001d52a14e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00000001d52a1b60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00000001d52a1c30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00000001d52a13d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00000001d52a1e50 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00000001d52a0308 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00000001d52a11d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00000001d52a10f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00000001d52a0880 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00000001d52a05f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00000001d52a06c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00000001d52a0cc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00000001d52a0eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00000001d52a1ac0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00000001d52a18a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00000001d52a1570 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00000001d52a1be8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00000001d52a1d98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00000001d52a1480 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00000001d52a1ff8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00000001d52a0490 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00000001d529ff68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d52a1340 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00000001d52a1158 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00000001d52a0b28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00000001d52a0680 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00000001d52a07b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00000001d52a0e10 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00000001d52a1000 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00000001d529fd78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d529ff48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d52a0068 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00000001d529ffb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d52a0250 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00000001d52a0050 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00000001d52a02f0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00000001d52a1b18 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00000001de8a33d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00000001de8a3348 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00000001de8a32b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00000001de8a34b0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00000001de8a3540 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00000001de8a3228 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00000001de8a35d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00000001de8a2e88 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00000001d52a0568 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00000001de8a3198 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00000001de8a3150 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00000001de8a3030 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00000001de8a2f58 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00000001de8a2fe8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00000001de8a3078 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00000001de8a3108 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00000001d529fd60 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001d529fd68 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00000001de8a3420 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00000001de8a3390 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00000001de8a3300 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00000001de8a3270 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00000001de8a3468 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00000001de8a34f8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00000001de8a31e0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00000001de8a3588 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00000001de8a2e40 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00000001de8a2ed0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00000001d52a1190 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00000001d52a10a8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00000001d52a0838 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00000001d52a05b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00000001de8a2fa0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00000001d52a0c80 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00000001de8a30c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00000001d9694ca8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d9694d08 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
000000019dcc2f00 (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
000000019dcd2694 (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
000000019dcdb358 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
000000019dcdb49c (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
000000019dcdbd48 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
000000019dcb05f0 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
000000019dcb03f0 (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
000000019dcc669c (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
000000019dcdb288 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
000000019dcc653c (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
000000019dcc63ec (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
000000019dcc65f8 (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
000000019dccd4c4 (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
000000019dcd4e7c (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
000000019dcd4b64 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
000000019dcd4cd4 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
000000019dcafaf4 (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
000000019dcd401c (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
000000019dcd4868 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.130
000000019dcd417c (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.133
000000019dcd43b8 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.140
000000019dcd4520 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.147
000000019dcd5fd4 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
000000019dcd5e40 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.108
000000019dcd5aa4 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.95
000000019dcd58b0 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
000000019dcb01ec (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
000000019dcc27c0 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
000000019dccf614 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
000000019dccf778 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.339
000000019dcd91a4 (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
000000019dcd2524 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
000000019dcce030 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.553
000000019dcce0f0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.557
000000019dccace8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.559
000000019dccae00 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.565
000000019dcce5e8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.573
000000019dccb1b8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.670
000000019dccb218 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.690
000000019dcce354 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.698
000000019dcce024 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.733
000000019dccbc18 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.757
000000019dccbdc8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.767
000000019dccbfac (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.786
000000019dcce734 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
000000019dcce6b4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.560
000000019dcce5fc (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.566
000000019dccaf18 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.580
000000019dcce518 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.691
000000019dcce2b4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.707
000000019dccb868 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.739
000000019dccb5a0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
000000019dcce5dc (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.665
000000019dcce2a8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.716
000000019dccde04 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.740
000000019dccb3f0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
000000019dccb9ac (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.753
000000019dcaf54c (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
000000019dcaf798 (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
000000019dcd9d38 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
000000019dcdad04 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.102
000000019dcd08d4 (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
000000019dcc5e44 (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
000000019dccd90c (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
000000019dccb200 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019dcd4164 (__TEXT,__text) non-external ___Block_byref_object_copy_.552
000000019dccb210 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019dcd4174 (__TEXT,__text) non-external ___Block_byref_object_dispose_.553
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000019dcc2884 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
000000019dcb3e28 (__TEXT,__text) non-external ____functionAdd_block_invoke
000000019dcb4d28 (__TEXT,__text) non-external ____functionMultiply_block_invoke
000000019dce2794 (__TEXT,__text) non-external ___bid128_acos
000000019dce2a5c (__TEXT,__text) non-external ___bid128_add
000000019dce5aa0 (__TEXT,__text) non-external ___bid128_asin
000000019dce5d38 (__TEXT,__text) non-external ___bid128_asinh
000000019dce5f70 (__TEXT,__text) non-external ___bid128_atan
000000019dce62a0 (__TEXT,__text) non-external ___bid128_atanh
000000019dce664c (__TEXT,__text) non-external ___bid128_cbrt
000000019dce8544 (__TEXT,__text) non-external ___bid128_cos
000000019dce8bf0 (__TEXT,__text) non-external ___bid128_div
000000019dcea74c (__TEXT,__text) non-external ___bid128_exp
000000019dcf0210 (__TEXT,__text) non-external ___bid128_fmod
000000019dcf9638 (__TEXT,__text) non-external ___bid128_from_string
000000019dcf09d0 (__TEXT,__text) non-external ___bid128_hypot
000000019dcf1f64 (__TEXT,__text) non-external ___bid128_isZero
000000019dcf1288 (__TEXT,__text) non-external ___bid128_lgamma
000000019dcf17f8 (__TEXT,__text) non-external ___bid128_log
000000019dcf1ae4 (__TEXT,__text) non-external ___bid128_log10
000000019dcf1dd0 (__TEXT,__text) non-external ___bid128_mul
000000019dcf1fd8 (__TEXT,__text) non-external ___bid128_pow
000000019dce69f8 (__TEXT,__text) non-external ___bid128_quiet_equal
000000019dce6d28 (__TEXT,__text) non-external ___bid128_quiet_greater
000000019dce7334 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
000000019dce792c (__TEXT,__text) non-external ___bid128_quiet_less
000000019dce7f38 (__TEXT,__text) non-external ___bid128_quiet_less_equal
000000019dcf5150 (__TEXT,__text) non-external ___bid128_rem
000000019dcf59cc (__TEXT,__text) non-external ___bid128_round_integral_exact
000000019dcf67e0 (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
000000019dcf6bdc (__TEXT,__text) non-external ___bid128_round_integral_negative
000000019dcf6fa8 (__TEXT,__text) non-external ___bid128_round_integral_zero
000000019dcf72a8 (__TEXT,__text) non-external ___bid128_sin
000000019dcf7998 (__TEXT,__text) non-external ___bid128_sqrt
000000019dce5a80 (__TEXT,__text) non-external ___bid128_sub
000000019dcfa610 (__TEXT,__text) non-external ___bid128_tan
000000019dcfbba4 (__TEXT,__text) non-external ___bid128_to_binary128
000000019dcfb57c (__TEXT,__text) non-external ___bid128_to_binary64
000000019dcfac7c (__TEXT,__text) non-external ___bid128_to_int32_int
000000019dcf8b3c (__TEXT,__text) non-external ___bid128_to_string
000000019dcfb21c (__TEXT,__text) non-external ___bid128_to_uint64_int
000000019de37fd0 (__TEXT,__const) non-external ___bid_Ex128m128
000000019de38fc0 (__TEXT,__const) non-external ___bid_Ex192m192
000000019de3abc0 (__TEXT,__const) non-external ___bid_Ex256m256
000000019de379d0 (__TEXT,__const) non-external ___bid_Ex64m64
000000019de37d80 (__TEXT,__const) non-external ___bid_Kx128
000000019de388c0 (__TEXT,__const) non-external ___bid_Kx192
000000019de3a260 (__TEXT,__const) non-external ___bid_Kx256
000000019de37948 (__TEXT,__const) non-external ___bid_Kx64
000000019dd0ea80 (__TEXT,__const) non-external ___bid_char_table2
000000019dd0dec8 (__TEXT,__const) non-external ___bid_char_table3
000000019de33c80 (__TEXT,__const) non-external ___bid_convert_table
000000019de36b80 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
000000019de35562 (__TEXT,__const) non-external ___bid_factors
000000019de38190 (__TEXT,__const) non-external ___bid_half128
000000019de39260 (__TEXT,__const) non-external ___bid_half192
000000019de3af48 (__TEXT,__const) non-external ___bid_half256
000000019de37aa0 (__TEXT,__const) non-external ___bid_half64
000000019de38068 (__TEXT,__const) non-external ___bid_mask128
000000019de390a0 (__TEXT,__const) non-external ___bid_mask192
000000019de3acf0 (__TEXT,__const) non-external ___bid_mask256
000000019de37a18 (__TEXT,__const) non-external ___bid_mask64
000000019dd57c40 (__TEXT,__const) non-external ___bid_maskhigh128
000000019dd0d310 (__TEXT,__const) non-external ___bid_midi_tbl
000000019de37c50 (__TEXT,__const) non-external ___bid_midpoint128
000000019de38640 (__TEXT,__const) non-external ___bid_midpoint192
000000019de3a000 (__TEXT,__const) non-external ___bid_midpoint256
000000019de378b0 (__TEXT,__const) non-external ___bid_midpoint64
000000019dd0af10 (__TEXT,__const) non-external ___bid_mod10_18_tbl
000000019dd56c00 (__TEXT,__const) non-external ___bid_nr_digits
000000019dd58000 (__TEXT,__const) non-external ___bid_onehalf128
000000019de35080 (__TEXT,__const) non-external ___bid_packed_10000_zeros
000000019de370e0 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
000000019de36d90 (__TEXT,__const) non-external ___bid_power10_table_128
000000019de36af0 (__TEXT,__const) non-external ___bid_recip_scale
000000019de368b0 (__TEXT,__const) non-external ___bid_reciprocals10_128
000000019de37048 (__TEXT,__const) non-external ___bid_reciprocals10_64
000000019dcfe354 (__TEXT,__text) non-external ___bid_round128_19_38
000000019dcfe700 (__TEXT,__text) non-external ___bid_round192_39_57
000000019dcfefbc (__TEXT,__text) non-external ___bid_round256_58_76
000000019dcfe21c (__TEXT,__text) non-external ___bid_round64_2_18
000000019de35d70 (__TEXT,__const) non-external ___bid_round_const_table_128
