000000019dd4155c (__TEXT,__text) non-external +[Calculate _lock]
00000001d9214b1c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00000001d9214af8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00000001d9214b08 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00000001d9214b04 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00000001d9214b00 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00000001d9214afc (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00000001d9214b0c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00000001d9214b10 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00000001dbb2dd88 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Calculate
00000001dbb2dd60 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00000001dbb2dd10 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00000001dbb2dce8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00000001dbb2ddd8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00000001dbb2dec8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00000001dbb2dc70 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00000001dbb2da18 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Converter
00000001dbb2da40 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00000001dbb2da68 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001dbb2dbf8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Trie
00000001dbb2dbd0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00000001dbb2db08 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00000001dbb2da90 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00000001dbb2dab8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00000001dbb2db30 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00000001dbb2db80 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
000000019dd21b28 (__TEXT,__text) non-external _UnitCountAngleUnitID
000000019dd22078 (__TEXT,__text) non-external _UnitCountCompose
000000019dd2164c (__TEXT,__text) non-external _UnitCountConvert
000000019dd20e8c (__TEXT,__text) non-external _UnitCountConvertID
000000019dd21cf8 (__TEXT,__text) non-external _UnitCountDecompose
000000019dd20de8 (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
000000019dd218c8 (__TEXT,__text) non-external _UnitCountMultiply
000000019dd21a20 (__TEXT,__text) non-external _UnitCountNextSmallestID
000000019dd21bc8 (__TEXT,__text) non-external _UnitCountRequireDegrees
000000019dd21c60 (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001de4fd298 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
000000019dd6f538 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
000000019dd6f588 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
000000019dd6f5b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
000000019dd6f5f0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
000000019dd6f608 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
000000019dd6f620 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
000000019dd6f650 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
000000019dd6f668 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
000000019dd6f6b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
000000019dd6f6d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
000000019dd6f738 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
000000019dd6f750 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
000000019dd6f770 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
000000019dd6f820 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
000000019dd6fac0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
000000019dd6fbf8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
000000019dd6fc58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
000000019dd6fdb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
000000019dd6fe78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
000000019dd70060 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
000000019dd701c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
000000019dd701e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
000000019dd70300 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
000000019dd70360 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
000000019dd705a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
000000019dd70668 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
000000019dd70730 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
000000019dd70838 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00000001d4ef34f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00000001d4ef30d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00000001d4ef2fc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00000001d4ef3638 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00000001d4ef3708 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00000001d4ef2eb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00000001d4ef3928 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00000001d4ef1de0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00000001d4ef2cb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00000001d4ef2bc8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00000001d4ef2358 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00000001d4ef20d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00000001d4ef21a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00000001d4ef27a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00000001d4ef2990 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00000001d4ef3598 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00000001d4ef3378 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00000001d4ef3048 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00000001d4ef36c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00000001d4ef3870 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00000001d4ef2f58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00000001d4ef3ad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00000001d4ef1f68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00000001d4ef1a40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d4ef2e18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00000001d4ef2c30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00000001d4ef2600 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00000001d4ef2158 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00000001d4ef2288 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00000001d4ef28e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00000001d4ef2ad8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00000001d4ef1850 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d4ef1a20 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d4ef1b40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00000001d4ef1a88 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d4ef1d28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00000001d4ef1b28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00000001d4ef1dc8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00000001d4ef35f0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00000001de4fd758 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00000001de4fd6c8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00000001de4fd638 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00000001de4fd830 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00000001de4fd8c0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00000001de4fd5a8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00000001de4fd950 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00000001de4fd208 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00000001d4ef2040 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00000001de4fd518 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00000001de4fd4d0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00000001de4fd3b0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00000001de4fd2d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00000001de4fd368 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00000001de4fd3f8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00000001de4fd488 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00000001d4ef1838 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001d4ef1840 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00000001de4fd7a0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00000001de4fd710 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00000001de4fd680 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00000001de4fd5f0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00000001de4fd7e8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00000001de4fd878 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00000001de4fd560 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00000001de4fd908 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00000001de4fd1c0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00000001de4fd250 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00000001d4ef2c68 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00000001d4ef2b80 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00000001d4ef2310 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00000001d4ef2088 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00000001de4fd320 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00000001d4ef2758 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00000001de4fd440 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00000001d9214d78 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d9214dd8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
000000019dd31da4 (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
000000019dd41620 (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
000000019dd4a308 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
000000019dd4a44c (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
000000019dd4acf8 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
000000019dd1f494 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
000000019dd1f294 (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
000000019dd35540 (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
000000019dd4a238 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
000000019dd353e0 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
000000019dd35290 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
000000019dd3549c (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
000000019dd3c450 (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
000000019dd43e10 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
000000019dd43af8 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
000000019dd43c68 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
000000019dd1e998 (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
000000019dd42fa8 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
000000019dd437f4 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.130
000000019dd43108 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.133
000000019dd43344 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.140
000000019dd434ac (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.147
000000019dd44f7c (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
000000019dd44de8 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.108
000000019dd44a4c (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.95
000000019dd44858 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
000000019dd1f090 (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
000000019dd31664 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
000000019dd3e5a0 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
000000019dd3e704 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.339
000000019dd48154 (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
000000019dd414b0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
000000019dd3cfbc (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.553
000000019dd3d07c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.557
000000019dd39c74 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.559
000000019dd39d8c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.565
000000019dd3d574 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.573
000000019dd3a144 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.670
000000019dd3a1a4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.690
000000019dd3d2e0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.698
000000019dd3cfb0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.733
000000019dd3aba4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.757
000000019dd3ad54 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.767
000000019dd3af38 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.786
000000019dd3d6c0 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
000000019dd3d640 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.560
000000019dd3d588 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.566
000000019dd39ea4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.580
000000019dd3d4a4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.691
000000019dd3d240 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.707
000000019dd3a7f4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.740
000000019dd3a52c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
000000019dd3d568 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.665
000000019dd3d234 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.716
000000019dd3cd90 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.741
000000019dd3a37c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
000000019dd3a938 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.753
000000019dd1e3f0 (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
000000019dd1e63c (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
000000019dd48ce8 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
000000019dd49cb4 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.102
000000019dd3f860 (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
000000019dd34ce8 (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
000000019dd3c898 (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
000000019dd3a18c (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019dd430f0 (__TEXT,__text) non-external ___Block_byref_object_copy_.552
000000019dd3a19c (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019dd43100 (__TEXT,__text) non-external ___Block_byref_object_dispose_.553
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000019dd31728 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
000000019dd22ccc (__TEXT,__text) non-external ____functionAdd_block_invoke
000000019dd23bcc (__TEXT,__text) non-external ____functionMultiply_block_invoke
000000019dd51744 (__TEXT,__text) non-external ___bid128_acos
000000019dd51a0c (__TEXT,__text) non-external ___bid128_add
000000019dd54a50 (__TEXT,__text) non-external ___bid128_asin
000000019dd54ce8 (__TEXT,__text) non-external ___bid128_asinh
000000019dd54f20 (__TEXT,__text) non-external ___bid128_atan
000000019dd55250 (__TEXT,__text) non-external ___bid128_atanh
000000019dd555fc (__TEXT,__text) non-external ___bid128_cbrt
000000019dd574f4 (__TEXT,__text) non-external ___bid128_cos
000000019dd57ba0 (__TEXT,__text) non-external ___bid128_div
000000019dd596fc (__TEXT,__text) non-external ___bid128_exp
000000019dd5f1c0 (__TEXT,__text) non-external ___bid128_fmod
000000019dd685e8 (__TEXT,__text) non-external ___bid128_from_string
000000019dd5f980 (__TEXT,__text) non-external ___bid128_hypot
000000019dd60f14 (__TEXT,__text) non-external ___bid128_isZero
000000019dd60238 (__TEXT,__text) non-external ___bid128_lgamma
000000019dd607a8 (__TEXT,__text) non-external ___bid128_log
000000019dd60a94 (__TEXT,__text) non-external ___bid128_log10
000000019dd60d80 (__TEXT,__text) non-external ___bid128_mul
000000019dd60f88 (__TEXT,__text) non-external ___bid128_pow
000000019dd559a8 (__TEXT,__text) non-external ___bid128_quiet_equal
000000019dd55cd8 (__TEXT,__text) non-external ___bid128_quiet_greater
000000019dd562e4 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
000000019dd568dc (__TEXT,__text) non-external ___bid128_quiet_less
000000019dd56ee8 (__TEXT,__text) non-external ___bid128_quiet_less_equal
000000019dd64100 (__TEXT,__text) non-external ___bid128_rem
000000019dd6497c (__TEXT,__text) non-external ___bid128_round_integral_exact
000000019dd65790 (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
000000019dd65b8c (__TEXT,__text) non-external ___bid128_round_integral_negative
000000019dd65f58 (__TEXT,__text) non-external ___bid128_round_integral_zero
000000019dd66258 (__TEXT,__text) non-external ___bid128_sin
000000019dd66948 (__TEXT,__text) non-external ___bid128_sqrt
000000019dd54a30 (__TEXT,__text) non-external ___bid128_sub
000000019dd695c0 (__TEXT,__text) non-external ___bid128_tan
000000019dd6ab54 (__TEXT,__text) non-external ___bid128_to_binary128
000000019dd6a52c (__TEXT,__text) non-external ___bid128_to_binary64
000000019dd69c2c (__TEXT,__text) non-external ___bid128_to_int32_int
000000019dd67aec (__TEXT,__text) non-external ___bid128_to_string
000000019dd6a1cc (__TEXT,__text) non-external ___bid128_to_uint64_int
000000019dea6f90 (__TEXT,__const) non-external ___bid_Ex128m128
000000019dea7f80 (__TEXT,__const) non-external ___bid_Ex192m192
000000019dea9b80 (__TEXT,__const) non-external ___bid_Ex256m256
000000019dea6990 (__TEXT,__const) non-external ___bid_Ex64m64
000000019dea6d40 (__TEXT,__const) non-external ___bid_Kx128
000000019dea7880 (__TEXT,__const) non-external ___bid_Kx192
000000019dea9220 (__TEXT,__const) non-external ___bid_Kx256
000000019dea6908 (__TEXT,__const) non-external ___bid_Kx64
000000019dd7da40 (__TEXT,__const) non-external ___bid_char_table2
000000019dd7ce88 (__TEXT,__const) non-external ___bid_char_table3
000000019dea2c40 (__TEXT,__const) non-external ___bid_convert_table
000000019dea5b40 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
000000019dea4522 (__TEXT,__const) non-external ___bid_factors
000000019dea7150 (__TEXT,__const) non-external ___bid_half128
000000019dea8220 (__TEXT,__const) non-external ___bid_half192
000000019dea9f08 (__TEXT,__const) non-external ___bid_half256
000000019dea6a60 (__TEXT,__const) non-external ___bid_half64
000000019dea7028 (__TEXT,__const) non-external ___bid_mask128
000000019dea8060 (__TEXT,__const) non-external ___bid_mask192
000000019dea9cb0 (__TEXT,__const) non-external ___bid_mask256
000000019dea69d8 (__TEXT,__const) non-external ___bid_mask64
000000019ddc6c00 (__TEXT,__const) non-external ___bid_maskhigh128
000000019dd7c2d0 (__TEXT,__const) non-external ___bid_midi_tbl
000000019dea6c10 (__TEXT,__const) non-external ___bid_midpoint128
000000019dea7600 (__TEXT,__const) non-external ___bid_midpoint192
000000019dea8fc0 (__TEXT,__const) non-external ___bid_midpoint256
000000019dea6870 (__TEXT,__const) non-external ___bid_midpoint64
000000019dd79ed0 (__TEXT,__const) non-external ___bid_mod10_18_tbl
000000019ddc5bc0 (__TEXT,__const) non-external ___bid_nr_digits
000000019ddc6fc0 (__TEXT,__const) non-external ___bid_onehalf128
000000019dea4040 (__TEXT,__const) non-external ___bid_packed_10000_zeros
000000019dea60a0 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
000000019dea5d50 (__TEXT,__const) non-external ___bid_power10_table_128
000000019dea5ab0 (__TEXT,__const) non-external ___bid_recip_scale
000000019dea5870 (__TEXT,__const) non-external ___bid_reciprocals10_128
000000019dea6008 (__TEXT,__const) non-external ___bid_reciprocals10_64
000000019dd6d304 (__TEXT,__text) non-external ___bid_round128_19_38
000000019dd6d6b0 (__TEXT,__text) non-external ___bid_round192_39_57
000000019dd6df6c (__TEXT,__text) non-external ___bid_round256_58_76
000000019dd6d1cc (__TEXT,__text) non-external ___bid_round64_2_18
000000019dea4d30 (__TEXT,__const) non-external ___bid_round_const_table_128
000000019ddc6d10 (__TEXT,__const) non-external ___bid_shiftright128
