00000001ca2bf684 (__TEXT,__text) non-external +[NFPromise new]
00000001df96f9c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001df96f6a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001df96fa88 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001df96f998 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001df96fb48 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001df96f908 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00000001df96f9f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001df96f758 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001df96fab8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00000001df96f938 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00000001df96f7c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00000001df96fc88 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00000001df96fd68 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e17_v16?0"NSError"8l
00000001df96fd98 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e5_v8?0l
00000001df96fd38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e8_16?08l
00000001df96fcd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e5_v8?0l
00000001df96fc38 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00000001df96fa28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001df96fb78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001df96fd08 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e14_v16?0?<v?>8l
00000001df96fb18 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00000001df96fbd8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00000001df96f888 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001df96f6d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00000001df96f708 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00000001df96fba8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001df96f858 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48bs56bs_e8_v16?08l
00000001df96f828 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00000001df96f668 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001df96f788 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001df96fc68 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001df96fdc8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001df96fde8 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001df96f8b8 (__AUTH_CONST,__const) non-external ___block_literal_global.28
00000001df96f688 (__AUTH_CONST,__const) non-external ___block_literal_global.3
00000001df96f7a8 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001df96f738 (__AUTH_CONST,__const) non-external ___block_literal_global.54
00000001df96fcb8 (__AUTH_CONST,__const) non-external ___block_literal_global.7
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001ca2c06b4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001ca2c3324 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40b
00000001ca2c315c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001ca2bc710 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001ca2c0630 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001ca2c1a04 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001ca2bfcf8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b56b
00000001ca2c31ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001ca2c0ef4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001ca2bfd60 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001ca2bfc4c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00000001ca2be96c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001ca2c230c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001ca2bc718 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001ca2c31ac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001ca2c0678 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001ca2be9b0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001ca2bfcac (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001ca2c2318 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001ca2bf254 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00000001ca2bf194 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00000001ca2c43ec (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
00000001d68d8cf0 (__DATA,__data) external _kNFPromiseErrorDomain
00000001d68d8ce0 (__DATA,__data) external _kNFPromiseSealingErrorCode
00000001d68d8ce8 (__DATA,__data) external _kNFPromiseTimeoutErrorCode
00000001df96db48 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _nw_path_get_status (from Network)
                 (undefined) external _nw_path_is_constrained (from Network)
                 (undefined) external _nw_path_is_equal (from Network)
                 (undefined) external _nw_path_is_expensive (from Network)
                 (undefined) external _nw_path_monitor_cancel (from Network)
                 (undefined) external _nw_path_monitor_create (from Network)
                 (undefined) external _nw_path_monitor_set_queue (from Network)
                 (undefined) external _nw_path_monitor_set_update_handler (from Network)
                 (undefined) external _nw_path_monitor_start (from Network)
                 (undefined) external _nw_path_uses_interface_type (from Network)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001ca2c8dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001ca2c8de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001ca2c8e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_statusFromNetworkPath:
00000001ca2c8e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateCurrentNetworkPath:
00000001ca2c8e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$activate
00000001ca2c8e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addDelegate:
00000001ca2c8e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001ca2c8ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allValues
00000001ca2c8ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alwaysOn:always:
00000001ca2c8ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001ca2c8f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000001ca2c8f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001ca2c8f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withError:
00000001ca2c8f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withValue:
00000001ca2c8f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:withValue:
00000001ca2c8fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid
00000001ca2c8fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid:
00000001ca2c8fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attemptTriggersForCurrentEvent:
00000001ca2c9000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$block
00000001ca2c9020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000001ca2c9040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTry:withOwner:
00000001ca2c9060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTryBlock
00000001ca2c9080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterAtIndex:
00000001ca2c90a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$children
00000001ca2c90c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001ca2c90e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001ca2c9100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$constructor
00000001ca2c9120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001ca2c9140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$context
00000001ca2c9160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001ca2c9180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001ca2c91a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001ca2c91c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentNetworkPath
00000001ca2c91e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000001ca2c9200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithContentsOfFile:
00000001ca2c9220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$deactivate
00000001ca2c9240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClass:forKey:
00000001ca2c9260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClasses:forKey:
00000001ca2c9280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCenter
00000001ca2c92a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultManager
00000001ca2c92c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$delegateProtocol
00000001ca2c92e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$destinationState
00000001ca2c9300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObject:forKey:
00000001ca2c9320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001ca2c9340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnter:withOwner:
00000001ca2c9360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnterBlock
00000001ca2c9380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExit:withOwner:
00000001ca2c93a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExitBlock
00000001ca2c93c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001ca2c93e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$error
00000001ca2c9400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorOn:error:
00000001ca2c9420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001ca2c9440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$event
00000001ca2c9460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$events
00000001ca2c9480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$exceptionWithName:reason:userInfo:
00000001ca2c94a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fc_createStateMachineErrorForCode:userInfo:
00000001ca2c94c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fileSystemRepresentation
00000001ca2c94e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireBlock
00000001ca2c9500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnAny
00000001ca2c9520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnce
00000001ca2c9540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fired:withOwner:
00000001ca2c9560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstly:
00000001ca2c9580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fromState
00000001ca2c95a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getValue:
00000001ca2c95c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleAlwaysTrigger:event:
00000001ca2c95e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleOnceTrigger:event:
00000001ca2c9600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handlers
00000001ca2c9620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001ca2c9640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hashTableWithOptions:
00000001ca2c9660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$init
00000001ca2c9680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initForReadingFromData:error:
00000001ca2c96a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDomain:code:userInfo:
00000001ca2c96c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithError:
00000001ca2c96e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000001ca2c9700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithKey:fireOnce:fireOnAny:events:block:
00000001ca2c9720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOptions:
00000001ca2c9740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithResolver:
00000001ca2c9760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithStateMachine:event:fromState:toState:context:
00000001ca2c9780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUTF8String:
00000001ca2c97a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithValue:
00000001ca2c97c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$invokeWithTarget:
00000001ca2c97e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001ca2c9800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001ca2c9820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isMainThread
00000001ca2c9840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$key
00000001ca2c9860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000001ca2c9880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lock
00000001ca2c98a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$methodSignatureForSelector:
00000001ca2c98c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001ca2c98e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:
00000001ca2c9900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:withData:
00000001ca2c9920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClasses:withData:
00000001ca2c9940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001ca2c9960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithUnsignedInteger:
00000001ca2c9980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objCType
00000001ca2c99a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000001ca2c99c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$owner
00000001ca2c99e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$performWithLockSync:
00000001ca2c9a00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$postNotificationName:object:
00000001ca2c9a20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$registerHandler:
00000001ca2c9a40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reject:
00000001ca2c9a60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001ca2c9a80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeDelegate:
00000001ca2c9aa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObject:
00000001ca2c9ac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObjectForKey:
00000001ca2c9ae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolve:
00000001ca2c9b00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolveOn:reject:resolve:
00000001ca2c9b20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal
00000001ca2c9b40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal:error:resolution:
00000001ca2c9b60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$selector
00000001ca2c9b80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCanTryBlock:
00000001ca2c9ba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentNetworkPath:
00000001ca2c9bc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentReachabilityStatus:
00000001ca2c9be0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidEnterBlock:
00000001ca2c9c00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidExitBlock:
00000001ca2c9c20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setError:
00000001ca2c9c40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setFireBlock:
00000001ca2c9c60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000001ca2c9c80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setSeal:
00000001ca2c9ca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setState:
00000001ca2c9cc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatus:
00000001ca2c9ce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatusToken:
00000001ca2c9d00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setValue:
00000001ca2c9d20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillEnterBlock:
00000001ca2c9d40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillExitBlock:
00000001ca2c9d60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWithObject:
00000001ca2c9d80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$state
00000001ca2c9da0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$states
00000001ca2c9dc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$status
00000001ca2c9de0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$statusToken
00000001ca2c9e00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithCapacity:
00000001ca2c9e20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFileSystemRepresentation:length:
00000001ca2c9e40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000001ca2c9e60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$then:
00000001ca2c9e80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$thenOn:then:
00000001ca2c9ea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeoutAfter:on:
00000001ca2c9ec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$toState
00000001ca2c9ee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggerOnAnyEvent:block:
00000001ca2c9f00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggers
00000001ca2c9f20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001ca2c9f40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000001ca2c9f60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueWithBytes:objCType:
00000001ca2c9f80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnter:withOwner:
00000001ca2c9fa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnterBlock
00000001ca2c9fc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExit:withOwner:
00000001ca2c9fe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExitBlock
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
00000001d7047340 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00000001d7047338 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001ca2bf140 (__TEXT,__text) external _zalgo
00000001d7047320 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00000001d7047318 (__DATA_DIRTY,__bss) non-external _zalgo.token
00000001ca2bf200 (__TEXT,__text) external _zalgoIfMain
00000001d7047330 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00000001d7047328 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
