00000001d35f95b4 (__TEXT,__text) non-external +[Cube initialize]
00000001e91f4120 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mIsLoaded
00000001e91f412c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mLocalMatrix
00000001e91f4130 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mMaxTextSize
00000001e91f4128 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectTableTop.mNeedsToUpdateSizes
00000001e91f4100 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mPhotoBackProvider
00000001e91f4110 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mPhotoBackSprite
00000001e91f411c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mShuffledIndicies
00000001e91f40fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mSprites
00000001e91f4118 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mTextImage
00000001e91f4114 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mTextRenderer
00000001e91f410c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTop.mTextSprite
00000001e91f4148 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mCachedRenderedLetters
00000001e91f413c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mCachedRenderedText
00000001e91f4138 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mImage
00000001e91f4154 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mLetterFrames
00000001e91f414c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mLetterImages
00000001e91f4140 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mNumberOfLetters
00000001e91f4150 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mSizeOfText
00000001e91f4134 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mTextRenderer
00000001e91f4144 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectTableTopTitle.mTextSprite
00000001e91f4158 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectVignettingOverlay.mVignetteProvider
00000001e91f415c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorBackground.mPlasmaProvider
00000001e91f4164 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorPanel.mBreakInformation
00000001e91f4160 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorPanel.mSprites
00000001e91f4168 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorPanel.mTextImage
00000001e91f4170 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorPanel.mTextRenderer
00000001e91f416c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorPanel.mTextSprite
00000001e91f4178 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorTitle.mTextImage
00000001e91f4174 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorTitle.mTextRenderer
00000001e91f417c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectWatercolorTitle.mTextSprite
00000001e91f4f0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.color
00000001e91f4f1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.flippedModelViewMatrix
00000001e91f4f04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.isBreak
00000001e91f4f08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.modelViewMatrix
00000001e91f4f00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.needsBlend
00000001e91f4f10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.opacity
00000001e91f4f14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.position
00000001e91f4f20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.reflectionPosition
00000001e91f4ef8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.reflectionSprite
00000001e91f4f18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.size
00000001e91f4ef0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.slide
00000001e91f4ef4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.sprite
00000001e91f4efc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFlipupRenderable.zPosition
00000001e91f53ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.aspectRatio
00000001e91f53b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.bottomLeft
00000001e91f538c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.next
00000001e91f5390 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.provider
00000001e91f53b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.scale
00000001e91f539c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.shadowHeight
00000001e91f5398 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.shadowWidth
00000001e91f5394 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.size
00000001e91f5388 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.slide
00000001e91f53b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.topRight
00000001e91f53a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.vboOffsetPlain
00000001e91f53a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.vboOffsetShadow
00000001e91f53a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingRenderable.vboOffsetSoft
00000001e91f5384 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingTimeInfo.endTime
00000001e91f5380 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFloatingTimeInfo.startTime
00000001e91f4198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mAttributes
00000001e91f4184 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mDescription
00000001e91f419c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mFlattenedAttributes
00000001e91f4194 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mFrameID
00000001e91f418c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mInputImage
00000001e91f4190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mOutputImage
00000001e91f41a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mPixelSize
00000001e91f4188 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrame.mSlideProvider
00000001e91f41a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrameManager.mFramePools
00000001e91f41a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRFrameManager.mFrameSets
00000001e91f4ebc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._currentRotation
00000001e91f4ec0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._currentScale
00000001e91f4ed0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._currentTranslation
00000001e91f4eac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._hitBlob
00000001e91f4eb0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._linearScaleAtStart
00000001e91f4ec8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._locationInSlideAtStart
00000001e91f4ec4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._locationInViewAtStart
00000001e91f4ecc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._slideCenterAtStart
00000001e91f4eb4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._slideRotationAtStart
00000001e91f4eb8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRGesture._slideScaleAtStart
00000001e91f562c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.countOfTouches
00000001e91f5608 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.deltaX
00000001e91f560c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.deltaY
00000001e91f5628 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.direction
00000001e91f5634 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.isInFocusMode
00000001e91f5638 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.isInZoomMode
00000001e91f5630 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.okToAnimate
00000001e91f5614 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.rotation
00000001e91f5610 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.scale
00000001e91f5624 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.speedRotation
00000001e91f5620 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.speedScale
00000001e91f5618 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.speedX
00000001e91f561c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.speedY
00000001e91f55fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.time
00000001e91f5600 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.x
00000001e91f5604 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGesturePanZoomRotation.y
00000001e91f54a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._automaticCancelAction
00000001e91f549c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._automaticEndAction
00000001e91f5494 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._automaticStartAction
00000001e91f5498 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._automaticUpdateAction
00000001e91f54b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._cancelAction
00000001e91f54d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._centroidLocation
00000001e91f54cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._centroidStartLocation
00000001e91f54ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._endAction
00000001e91f54f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._hitTime
00000001e91f54b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._matrixChain
00000001e91f54d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._offsetFromCentroid
00000001e91f54f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._offsetFromRotation
00000001e91f54d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._previousCentroidLocation
00000001e91f54fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._previousHitTime
00000001e91f54ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._previousRotation
00000001e91f54e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._previousScale
00000001e91f54e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._ratioFromScale
00000001e91f54c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._referenceScale
00000001e91f54c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._referenceSize
00000001e91f5490 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._renderer
00000001e91f5504 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._requiredTouchCount
00000001e91f54e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._rotation
00000001e91f54dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._scale
00000001e91f5500 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._score
00000001e91f54b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._sender
00000001e91f54a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._startAction
00000001e91f54f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._startTime
00000001e91f54bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._state
00000001e91f54c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._touchSet
00000001e91f54a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRGestureRecognizer._updateAction
00000001e91f4ee8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._clientObject
00000001e91f4ed4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._currentLayoutIndex
00000001e91f4edc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._effectLayer
00000001e91f4ee4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._elementID
00000001e91f4ee0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._innerPath
00000001e91f4ed8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._outerLayer
00000001e91f4eec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitBlob._proxyForSlide
00000001e91f47b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitZoneForVisualFeedback._countOfVertices
00000001e91f47ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitZoneForVisualFeedback._hasEnded
00000001e91f47b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitZoneForVisualFeedback._timestamp
00000001e91f47b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRHitZoneForVisualFeedback._vertices
00000001e91f57c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.direction
00000001e91f57d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.duration
00000001e91f57e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.hasBreak
00000001e91f57cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.index
00000001e91f57bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.layout
00000001e91f57d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.panoCount
00000001e91f57d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.panoDurations
00000001e91f57c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.slideCount
00000001e91f57c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.slideIndex
00000001e91f57dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRHyperGridIteration.startTime
00000001e91f41c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._centerX
00000001e91f41cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._centerY
00000001e91f41b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._clampMode
00000001e91f41d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._filterID
00000001e91f41b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._flags
00000001e91f41c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._imageManager
00000001e91f41e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._label
00000001e91f41b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._referenceImage
00000001e91f41e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._renderTime
00000001e91f41bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._retainByUserCount
00000001e91f41d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._rotationAngle
00000001e91f41d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._scale
00000001e91f41dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._shader
00000001e91f41f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._size
00000001e91f41e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._sourceTimestamp
00000001e91f41c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._texture
00000001e91f41ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._textureSource
00000001e91f41ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImage._userData
00000001e91f4210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager._assetMasters
00000001e91f4200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mAvailableTextures
00000001e91f41f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mBaseContext
00000001e91f4208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mImageCacheQueue
00000001e91f41f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mImageGLContext
00000001e91f420c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mOptimizedPicturesFolderPath
00000001e91f4204 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mRecyclableTextures
00000001e91f41fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageManager.mTextures
00000001e91f425c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRImageProvider._effectLayer
00000001e91f4214 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mAssetPath
00000001e91f4218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mDefaultSize
00000001e91f4220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mEffectAttributes
00000001e91f4250 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mFlags
00000001e91f4244 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mImageSize
00000001e91f421c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mImageSizeScript
00000001e91f4254 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mIsCleanedUp
00000001e91f4234 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mIsLoaded
00000001e91f4258 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mJustHoldIt
00000001e91f4248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mLastImageSize
00000001e91f422c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mOriginalImage
00000001e91f4230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mOriginalImageSize
00000001e91f4224 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mPreloadOperation
00000001e91f4228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mPreloadOperationLock
00000001e91f4238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mRequestedSize
00000001e91f4240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mShowDuration
00000001e91f423c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mShowTime
00000001e91f424c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRImageProvider.mSlidePlayer
00000001e91f42f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayer._filterID
00000001e91f42f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayer._isAdhocLayer
00000001e91f4294 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mAnimationTriggers
00000001e91f42ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mAudioPlayer
00000001e91f428c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mClock
00000001e91f42c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mDoAudio
00000001e91f4278 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIDInSupercontainer
00000001e91f427c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIndex
00000001e91f42b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsActivated
00000001e91f42cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsDimmed
00000001e91f42b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsPreactivated
00000001e91f42bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsPrecomputing
00000001e91f42c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsReadonly
00000001e91f42f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsScheduledForDestruction
00000001e91f42c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mIsSelected
00000001e91f42a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mLayerCommandQueue
00000001e91f42ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mLayerCommandQueueNeedsAttention
00000001e91f4298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mMotions
00000001e91f42d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsRendering
00000001e91f42e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToRequestRebuildAudio
00000001e91f42e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToRequestRebuildVolume
00000001e91f42d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToResyncClockToPlug
00000001e91f42e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToSynchronizeTime
00000001e91f42d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToUpdateGeometry
00000001e91f42dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mNeedsToUpdateInitialState
00000001e91f42a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mParameters
00000001e91f42b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mParentHelper
00000001e91f429c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPersistentState
00000001e91f4280 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPixelSize
00000001e91f4264 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPlug
00000001e91f4270 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPlugAsHaven
00000001e91f426c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPlugAsParallel
00000001e91f4268 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mPlugAsSerial
00000001e91f42a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mRenderer
00000001e91f4290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mRenderingState
00000001e91f4260 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mSuperlayer
00000001e91f4288 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mTimeIn
00000001e91f4284 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mTimeStamp
00000001e91f4274 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayer.mUUID
00000001e91f55b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._containerDuration
00000001e91f55ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._containerTime
00000001e91f55b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._currentLoopIndex
00000001e91f5598 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._externalTime
00000001e91f5590 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._externalTimeForPauseInversion
00000001e91f5594 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._flags
00000001e91f558c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._internalTimeOffset
00000001e91f55a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._loopDuration
00000001e91f55a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._numberOfLoops
00000001e91f559c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._phaseInDuration
00000001e91f55a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._phaseOutDuration
00000001e91f42fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayerCommand.commandID
00000001e91f4300 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayerCommand.object
00000001e91f4374 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._ignoresNextTimeSynchronization
00000001e91f4378 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._isInInteractiveMode
00000001e91f439c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningIsLandscape
00000001e91f4398 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningPreviousDelta
00000001e91f4394 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningSlideID
00000001e91f4388 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._previouslyRenderedContainerTime
00000001e91f4338 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mContainer
00000001e91f4368 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEditedElement
00000001e91f435c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEffect
