00000001bf709be0 (__TEXT,__text) non-external +[NFPromise new]
00000001dd2fed90 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001dd2feaf0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001dd2fee50 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00000001dd2fecd0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00000001dd2feb60 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00000001dd2ff020 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00000001dd2fedc0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dd2fef10 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40s_e5_v8?0l
00000001dd2fefd0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00000001dd2feeb0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00000001dd2fef70 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00000001dd2fec20 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dd2fea70 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00000001dd2feaa0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00000001dd2fef40 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001dd2febf0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32bs40s48bs56bs_e8_v16?08l
00000001dd2febc0 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00000001dd2fe9c0 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dd2fea30 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dd2feb20 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dd2ff000 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dd2ff070 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001dd2ff090 (__AUTH_CONST,__const) non-external ___block_literal_global.10
00000001dd2fead0 (__AUTH_CONST,__const) non-external ___block_literal_global.124
00000001dd2ff050 (__AUTH_CONST,__const) non-external ___block_literal_global.17
00000001dd2fe9e0 (__AUTH_CONST,__const) non-external ___block_literal_global.3
00000001dd2feb40 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001dd2fec50 (__AUTH_CONST,__const) non-external ___block_literal_global.58
00000001dd2fea50 (__AUTH_CONST,__const) non-external ___block_literal_global.99
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001bf70adcc (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001bf70ad4c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s
00000001bf70a38c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40s48b56b
00000001bf70657c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001bf70c4f0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001bf70c324 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001bf70b72c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001bf70a3f4 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001bf70a2e0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00000001bf708d70 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001bf70cd94 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001bf706584 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001bf70ad90 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001bf708db4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001bf70a340 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001bf70cda0 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001bf709758 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00000001bf709698 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00000001bf70e744 (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
00000001d8010160 (__DATA,__data) external _kNFPromiseSealingErrorCode
00000001d8010168 (__DATA,__data) external _kNFPromiseSealingErrorName
00000001d3e39c10 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _nw_path_get_status (from libnetwork)
                 (undefined) external _nw_path_is_constrained (from libnetwork)
                 (undefined) external _nw_path_is_equal (from libnetwork)
                 (undefined) external _nw_path_is_expensive (from libnetwork)
                 (undefined) external _nw_path_monitor_cancel (from libnetwork)
                 (undefined) external _nw_path_monitor_create (from libnetwork)
                 (undefined) external _nw_path_monitor_set_queue (from libnetwork)
                 (undefined) external _nw_path_monitor_set_update_handler (from libnetwork)
                 (undefined) external _nw_path_monitor_start (from libnetwork)
                 (undefined) external _nw_path_uses_interface_type (from libnetwork)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
00000001d8f4bcd0 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00000001d8f4bcc8 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001bf709644 (__TEXT,__text) external _zalgo
00000001d8f4bcb0 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00000001d8f4bca8 (__DATA_DIRTY,__bss) non-external _zalgo.token
00000001bf709704 (__TEXT,__text) external _zalgoIfMain
00000001d8f4bcc0 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00000001d8f4bcb8 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
