00000001d5a9ffd0 (__DATA,__data) external _NDR_record
000000018040ffe8 (__TEXT,__text) external _msg_rpc
000000018040fff0 (__TEXT,__text) external _msg_send
000000018040af90 (__TEXT,__text) external _msgctl
000000018040c314 (__TEXT,__text) external _msgget
000000018040c340 (__TEXT,__text) external _msgrcv
000000018040afbc (__TEXT,__text) external _msgrcv$NOCANCEL
000000018040c36c (__TEXT,__text) external _msgsnd
000000018040afe8 (__TEXT,__text) external _msgsnd$NOCANCEL
000000018040a670 (__TEXT,__text) external _msgsys
0000000180403db8 (__TEXT,__text) external _msync
000000018040b040 (__TEXT,__text) external _msync$NOCANCEL
0000000180407734 (__TEXT,__text) external _munlock
000000018040c398 (__TEXT,__text) external _munlockall
0000000180401218 (__TEXT,__text) external _munmap
0000000180401a3c (__TEXT,__text) external _necp_client_action
00000001804089a0 (__TEXT,__text) external _necp_match_policy
00000001804019e4 (__TEXT,__text) external _necp_open
000000018040c3c4 (__TEXT,__text) external _necp_session_action
000000018040c3f0 (__TEXT,__text) external _necp_session_open
000000018040c41c (__TEXT,__text) external _net_qos_guideline
000000018040c448 (__TEXT,__text) external _netagent_trigger
0000000180426ba8 (__TEXT,__text) external _netname_check_in
0000000180426fa8 (__TEXT,__text) external _netname_check_out
0000000180426d50 (__TEXT,__text) external _netname_look_up
000000018042714c (__TEXT,__text) external _netname_version
0000000180411944 (__TEXT,__text) external _nfsclnt
000000018040c474 (__TEXT,__text) external _nfssvc
00000001d5a9ffc0 (__DATA,__data) external _non_boost_assertion_token
00000001d5a9ffb8 (__DATA,__data) external _normal_boost_assertion_token
000000018040c4a0 (__TEXT,__text) external _ntp_adjtime
000000018040c4cc (__TEXT,__text) external _ntp_gettime
000000018040c4f8 (__TEXT,__text) external _objc_bp_assist_cfg_np
0000000180409424 (__TEXT,__text) external _open
00000001804119cc (__TEXT,__text) external _open$NOCANCEL
000000018040320c (__TEXT,__text) external _open_dprotected_np
0000000180418e94 (__TEXT,__text) external _openat
0000000180411a94 (__TEXT,__text) external _openat$NOCANCEL
000000018041970c (__TEXT,__text) external _openat_authenticated_np
00000001804196ac (__TEXT,__text) external _openat_dprotected_np
000000018040c524 (__TEXT,__text) external _openbyid_np
000000018040f4d0 (__TEXT,__text) external _os_buflet_get_data_address
000000018040f4a0 (__TEXT,__text) external _os_buflet_get_data_length
000000018040f4d8 (__TEXT,__text) external _os_buflet_get_data_limit
000000018040f498 (__TEXT,__text) external _os_buflet_get_data_offset
000000018040f4c0 (__TEXT,__text) external _os_buflet_get_object_address
000000018040f4c8 (__TEXT,__text) external _os_buflet_get_object_limit
000000018040f4b4 (__TEXT,__text) external _os_buflet_set_data_length
000000018040f4a8 (__TEXT,__text) external _os_buflet_set_data_offset
0000000180414788 (__TEXT,__text) external _os_channel_advance_slot
00000001804153ec (__TEXT,__text) external _os_channel_attr_clone
0000000180415358 (__TEXT,__text) external _os_channel_attr_create
0000000180415608 (__TEXT,__text) external _os_channel_attr_destroy
000000018041586c (__TEXT,__text) external _os_channel_attr_get
0000000180415a20 (__TEXT,__text) external _os_channel_attr_get_key
00000001804156dc (__TEXT,__text) external _os_channel_attr_set
0000000180415480 (__TEXT,__text) external _os_channel_attr_set_key
0000000180414730 (__TEXT,__text) external _os_channel_available_slot_count
00000001804170ec (__TEXT,__text) external _os_channel_buflet_alloc
0000000180416a24 (__TEXT,__text) external _os_channel_buflet_free
00000001804170b8 (__TEXT,__text) external _os_channel_configure_interface_advisory
0000000180414370 (__TEXT,__text) external _os_channel_create
0000000180413978 (__TEXT,__text) external _os_channel_create_extended
00000001804144f8 (__TEXT,__text) external _os_channel_destroy
0000000180417020 (__TEXT,__text) external _os_channel_event_free
000000018041a3c4 (__TEXT,__text) external _os_channel_event_get_event_data
000000018041a310 (__TEXT,__text) external _os_channel_event_get_next_event
0000000180414f9c (__TEXT,__text) external _os_channel_flow_admissible
0000000180415178 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
0000000180414f78 (__TEXT,__text) external _os_channel_get_advisory_region
0000000180414380 (__TEXT,__text) external _os_channel_get_fd
0000000180417024 (__TEXT,__text) external _os_channel_get_interface_advisory
0000000180416bcc (__TEXT,__text) external _os_channel_get_next_event_handle
0000000180414814 (__TEXT,__text) external _os_channel_get_next_slot
0000000180414ef4 (__TEXT,__text) external _os_channel_get_stats_region
0000000180414148 (__TEXT,__text) non-external _os_channel_info2attr
0000000180414260 (__TEXT,__text) non-external _os_channel_init_ring
00000001804145e0 (__TEXT,__text) external _os_channel_is_defunct
0000000180415f54 (__TEXT,__text) external _os_channel_large_packet_alloc
0000000180415a98 (__TEXT,__text) external _os_channel_packet_alloc
0000000180415aa0 (__TEXT,__text) non-external _os_channel_packet_alloc_common
0000000180415f5c (__TEXT,__text) external _os_channel_packet_free
0000000180416434 (__TEXT,__text) external _os_channel_packet_pool_purge
0000000180414700 (__TEXT,__text) external _os_channel_pending
0000000180416738 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
0000000180414388 (__TEXT,__text) external _os_channel_read_attr
00000001804144a8 (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804145f4 (__TEXT,__text) external _os_channel_ring_id
0000000180414724 (__TEXT,__text) external _os_channel_ring_notify_time
0000000180414718 (__TEXT,__text) external _os_channel_ring_sync_time
00000001804146a4 (__TEXT,__text) external _os_channel_rx_ring
0000000180414c50 (__TEXT,__text) external _os_channel_set_slot_properties
00000001804160fc (__TEXT,__text) external _os_channel_slot_attach_packet
0000000180416288 (__TEXT,__text) external _os_channel_slot_detach_packet
0000000180414d88 (__TEXT,__text) external _os_channel_slot_get_packet
00000001804144cc (__TEXT,__text) external _os_channel_sync
000000018041465c (__TEXT,__text) external _os_channel_tx_ring
00000001804143dc (__TEXT,__text) external _os_channel_write_attr
000000018040f464 (__TEXT,__text) external _os_copy_and_inet_checksum
000000018040a3e0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001804195b0 (__TEXT,__text) external _os_cpu_in_cksum
000000018040a140 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
000000018040c550 (__TEXT,__text) external _os_fault_with_payload
000000018040f460 (__TEXT,__text) external _os_inet_checksum
0000000180417b0c (__TEXT,__text) external _os_nexus_attr_clone
0000000180417a78 (__TEXT,__text) external _os_nexus_attr_create
0000000180417ea0 (__TEXT,__text) external _os_nexus_attr_destroy
0000000180417d54 (__TEXT,__text) external _os_nexus_attr_get
0000000180417b68 (__TEXT,__text) external _os_nexus_attr_set
00000001804185c8 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001804182d4 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001804182f4 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
0000000180417eec (__TEXT,__text) external _os_nexus_controller_create
00000001804182c8 (__TEXT,__text) external _os_nexus_controller_deregister_provider
0000000180418988 (__TEXT,__text) external _os_nexus_controller_destroy
00000001804182e8 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
0000000180417fe0 (__TEXT,__text) external _os_nexus_controller_get_fd
00000001804187b0 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
000000018041846c (__TEXT,__text) external _os_nexus_controller_read_provider_attr
0000000180417fe8 (__TEXT,__text) external _os_nexus_controller_register_provider
0000000180418718 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001804183f0 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
0000000180418d10 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
000000018040f320 (__TEXT,__text) external _os_packet_add_buflet
000000018040e8c8 (__TEXT,__text) external _os_packet_add_inet_csum_flags
000000018040ea08 (__TEXT,__text) external _os_packet_clear_flow_uuid
000000018040f3d4 (__TEXT,__text) external _os_packet_decrement_use_count
000000018040f178 (__TEXT,__text) external _os_packet_finalize
000000018040f3fc (__TEXT,__text) external _os_packet_get_aggregation_type
000000018040f084 (__TEXT,__text) external _os_packet_get_buflet_count
000000018040e744 (__TEXT,__text) external _os_packet_get_compression_generation_count
000000018040f078 (__TEXT,__text) external _os_packet_get_data_length
000000018040eadc (__TEXT,__text) external _os_packet_get_expire_time
000000018040eb70 (__TEXT,__text) external _os_packet_get_expiry_action
000000018040e958 (__TEXT,__text) external _os_packet_get_flow_uuid
000000018040eaac (__TEXT,__text) external _os_packet_get_group_end
000000018040ea48 (__TEXT,__text) external _os_packet_get_group_start
000000018040e1a4 (__TEXT,__text) external _os_packet_get_headroom
000000018040e908 (__TEXT,__text) external _os_packet_get_inet_checksum
000000018040efb4 (__TEXT,__text) external _os_packet_get_keep_alive
000000018040e2a0 (__TEXT,__text) external _os_packet_get_link_broadcast
000000018040e3c0 (__TEXT,__text) external _os_packet_get_link_ethfcs
000000018040e228 (__TEXT,__text) external _os_packet_get_link_header_length
000000018040e330 (__TEXT,__text) external _os_packet_get_link_multicast
000000018040f0c0 (__TEXT,__text) external _os_packet_get_next_buflet
000000018040ed70 (__TEXT,__text) external _os_packet_get_packetid
000000018040f14c (__TEXT,__text) external _os_packet_get_segment_count
000000018040e650 (__TEXT,__text) external _os_packet_get_service_class
000000018040ec0c (__TEXT,__text) external _os_packet_get_token
000000018040f4e0 (__TEXT,__text) external _os_packet_get_trace_id
000000018040e7c0 (__TEXT,__text) external _os_packet_get_traffic_class
000000018040e50c (__TEXT,__text) external _os_packet_get_transport_retransmit
000000018040e43c (__TEXT,__text) external _os_packet_get_transport_traffic_background
000000018040e4a4 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
000000018040f000 (__TEXT,__text) external _os_packet_get_truncated
000000018040ef30 (__TEXT,__text) external _os_packet_get_vlan_id
000000018040ef38 (__TEXT,__text) external _os_packet_get_vlan_priority
000000018040eec8 (__TEXT,__text) external _os_packet_get_vlan_tag
000000018040efa4 (__TEXT,__text) external _os_packet_get_wake_flag
000000018040f3a8 (__TEXT,__text) external _os_packet_increment_use_count
000000018040ef40 (__TEXT,__text) external _os_packet_set_app_metadata
000000018040e714 (__TEXT,__text) external _os_packet_set_compression_generation_count
000000018040eb2c (__TEXT,__text) external _os_packet_set_expire_time
000000018040ebc0 (__TEXT,__text) external _os_packet_set_expiry_action
000000018040e9b0 (__TEXT,__text) external _os_packet_set_flow_uuid
000000018040ea78 (__TEXT,__text) external _os_packet_set_group_end
000000018040ea14 (__TEXT,__text) external _os_packet_set_group_start
000000018040e14c (__TEXT,__text) external _os_packet_set_headroom
000000018040e884 (__TEXT,__text) external _os_packet_set_inet_checksum
000000018040efc4 (__TEXT,__text) external _os_packet_set_keep_alive
000000018040f044 (__TEXT,__text) external _os_packet_set_l4s_flag
000000018040e254 (__TEXT,__text) external _os_packet_set_link_broadcast
000000018040e374 (__TEXT,__text) external _os_packet_set_link_ethfcs
000000018040e1e4 (__TEXT,__text) external _os_packet_set_link_header_length
000000018040e2e4 (__TEXT,__text) external _os_packet_set_link_multicast
000000018040edec (__TEXT,__text) external _os_packet_set_packetid
000000018040f5a0 (__TEXT,__text) external _os_packet_set_protocol_segment_size
000000018040e574 (__TEXT,__text) external _os_packet_set_service_class
000000018040eccc (__TEXT,__text) external _os_packet_set_token
000000018040f500 (__TEXT,__text) external _os_packet_set_trace_id
000000018040e790 (__TEXT,__text) external _os_packet_set_traffic_class
000000018040e53c (__TEXT,__text) external _os_packet_set_transport_last_packet
000000018040e4d4 (__TEXT,__text) external _os_packet_set_transport_retransmit
000000018040e404 (__TEXT,__text) external _os_packet_set_transport_traffic_background
000000018040e46c (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
000000018040f5d0 (__TEXT,__text) external _os_packet_set_tso_flags
000000018040f428 (__TEXT,__text) external _os_packet_set_tx_timestamp
000000018040ee68 (__TEXT,__text) external _os_packet_set_vlan_tag
000000018040f52c (__TEXT,__text) external _os_packet_trace_event
0000000180410664 (__TEXT,__text) external _os_proc_available_memory
000000018040ff20 (__TEXT,__text) external _panic
000000018040ff14 (__TEXT,__text) external _panic_init
000000018040c57c (__TEXT,__text) external _panic_with_data
0000000180405b48 (__TEXT,__text) external _pathconf
000000018040c5a8 (__TEXT,__text) external _peeloff
00000001803fd860 (__TEXT,__text) external _pid_for_task
000000018040c5d4 (__TEXT,__text) external _pid_hibernate
000000018040c600 (__TEXT,__text) external _pid_resume
00000001804173a0 (__TEXT,__text) external _pid_shutdown_networking
000000018040c62c (__TEXT,__text) external _pid_shutdown_sockets
000000018040c658 (__TEXT,__text) external _pid_suspend
0000000180403de4 (__TEXT,__text) external _pipe
000000018040c684 (__TEXT,__text) external _pivot_root
000000018040e0fc (__TEXT,__text) external _pkt_subtype_assert_fail
000000018040e124 (__TEXT,__text) external _pkt_type_assert_fail
00000001804061e4 (__TEXT,__text) external _poll
000000018040b1cc (__TEXT,__text) external _poll$NOCANCEL
000000018040e028 (__TEXT,__text) non-external _port_for_id_internal
000000018040ff70 (__TEXT,__text) external _port_obj_init
00000001d5aa0030 (__DATA,__common) external _port_obj_table
00000001d5a9ffa8 (__DATA,__data) external _port_obj_table_size
00000001804004f0 (__TEXT,__text) external _posix_madvise
00000001804048d8 (__TEXT,__text) external _posix_spawn
000000018040919c (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001804126c4 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
000000018041276c (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
000000018040a060 (__TEXT,__text) external _posix_spawn_file_actions_addclose
000000018040433c (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180412824 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
0000000180409fd0 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001804096f4 (__TEXT,__text) external _posix_spawn_file_actions_addopen
0000000180404e50 (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180404258 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001d5aa0068 (__DATA,__bss) non-external _posix_spawn_with_filter
0000000180404b58 (__TEXT,__text) external _posix_spawnattr_destroy
0000000180412614 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180412b94 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180412b50 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001804122a8 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
0000000180412240 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804128d4 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001804121b0 (__TEXT,__text) external _posix_spawnattr_getflags
000000018040460c (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
000000018041231c (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001804121f8 (__TEXT,__text) external _posix_spawnattr_getpgroup
0000000180412340 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001804121d4 (__TEXT,__text) external _posix_spawnattr_getsigdefault
000000018041221c (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001804044a4 (__TEXT,__text) external _posix_spawnattr_init
000000018041263c (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
0000000180413180 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180412684 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180412664 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001804126a4 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180412d94 (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180412b74 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
0000000180413280 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180412eb0 (__TEXT,__text) external _posix_spawnattr_set_gid_np
0000000180412f78 (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180412920 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001804132a0 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
0000000180430b10 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
0000000180413340 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
000000018041307c (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180412d50 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180412cb4 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180412ce8 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180412bb8 (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180412c84 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804125f4 (__TEXT,__text) external _posix_spawnattr_set_platform_np
0000000180413260 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
0000000180412a38 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180412b20 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001804129ac (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180412494 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
0000000180412900 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180412dec (__TEXT,__text) external _posix_spawnattr_set_uid_np
0000000180412384 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
0000000180409164 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001804097ec (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180412a40 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804128b4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
000000018040969c (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
0000000180412468 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
000000018040a0f0 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001804045ec (__TEXT,__text) external _posix_spawnattr_setflags
0000000180406210 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001804046c8 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180412d70 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
0000000180412428 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
0000000180412364 (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000180412448 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001804045c8 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001804045a4 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001804096c4 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001803ff17c (__TEXT,__text) external _pread
000000018040b1f8 (__TEXT,__text) external _pread$NOCANCEL
000000018040c6b0 (__TEXT,__text) external _preadv
000000018040b224 (__TEXT,__text) external _preadv$NOCANCEL
0000000180411ca0 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180411340 (__TEXT,__text) external _proc_clear_cpulimits
0000000180411518 (__TEXT,__text) external _proc_clear_delayidlesleep
0000000180410f0c (__TEXT,__text) external _proc_clear_dirty
00000001804113f8 (__TEXT,__text) external _proc_clear_vmpressure
0000000180410dc4 (__TEXT,__text) external _proc_current_thread_schedinfo
0000000180407a20 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180407ae0 (__TEXT,__text) external _proc_denap_assertion_complete
0000000180411578 (__TEXT,__text) external _proc_disable_apptype
0000000180408e18 (__TEXT,__text) external _proc_disable_cpumon
00000001804076d4 (__TEXT,__text) external _proc_disable_wakemon
00000001804113a0 (__TEXT,__text) external _proc_donate_importance_boost
00000001804115ec (__TEXT,__text) external _proc_enable_apptype
0000000180407658 (__TEXT,__text) external _proc_get_cpumon_params
0000000180410e90 (__TEXT,__text) external _proc_get_dirty
000000018041123c (__TEXT,__text) external _proc_get_wakemon_params
0000000180407a28 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000180407ae4 (__TEXT,__text) external _proc_importance_assertion_complete
0000000180410cc8 (__TEXT,__text) external _proc_kmsgbuf
0000000180410e70 (__TEXT,__text) external _proc_libversion
00000001804112a8 (__TEXT,__text) external _proc_list_dynkqueueids
000000018041128c (__TEXT,__text) external _proc_list_uptrs
00000001804109d4 (__TEXT,__text) external _proc_listallpids
0000000180410a4c (__TEXT,__text) external _proc_listchildpids
0000000180410a88 (__TEXT,__text) external _proc_listcoalitions
0000000180410a10 (__TEXT,__text) external _proc_listpgrppids
00000001804079d0 (__TEXT,__text) external _proc_listpids
0000000180419774 (__TEXT,__text) external _proc_listpidspath
00000001804038b4 (__TEXT,__text) external _proc_name
00000001804055c0 (__TEXT,__text) external _proc_pid_rusage
0000000180410b7c (__TEXT,__text) external _proc_piddynkqueueinfo
0000000180410b0c (__TEXT,__text) external _proc_pidfdinfo
0000000180410b44 (__TEXT,__text) external _proc_pidfileportinfo
00000001803febec (__TEXT,__text) external _proc_pidinfo
000000018040520c (__TEXT,__text) external _proc_pidoriginatorinfo
00000001803ff434 (__TEXT,__text) external _proc_pidpath
0000000180410d00 (__TEXT,__text) external _proc_pidpath_audittoken
0000000180410bd0 (__TEXT,__text) external _proc_regionfilename
0000000180411334 (__TEXT,__text) external _proc_reset_footprint_interval
00000001804110b8 (__TEXT,__text) external _proc_resume_cpumon
00000001804060a8 (__TEXT,__text) external _proc_rlimit_control
0000000180405574 (__TEXT,__text) external _proc_set_cpumon_defaults
00000001804054fc (__TEXT,__text) external _proc_set_cpumon_params
00000001804110d8 (__TEXT,__text) external _proc_set_cpumon_params_fatal
0000000180411730 (__TEXT,__text) external _proc_set_csm
00000001804114b8 (__TEXT,__text) external _proc_set_delayidlesleep
0000000180400ca8 (__TEXT,__text) external _proc_set_dirty
0000000180411668 (__TEXT,__text) external _proc_set_no_smt
0000000180411458 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000180407760 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180411208 (__TEXT,__text) external _proc_set_wakemon_params
00000001804112c4 (__TEXT,__text) external _proc_setcpu_percentage
00000001803ffd34 (__TEXT,__text) external _proc_setpcontrol
0000000180410ac0 (__TEXT,__text) external _proc_setthread_cpupercent
00000001804117f8 (__TEXT,__text) external _proc_setthread_csm
00000001804116cc (__TEXT,__text) external _proc_setthread_no_smt
0000000180410fe8 (__TEXT,__text) external _proc_signal_with_audittoken
0000000180411660 (__TEXT,__text) external _proc_suppress
0000000180410f6c (__TEXT,__text) external _proc_terminate
0000000180411044 (__TEXT,__text) external _proc_terminate_all_rsr
000000018040c6dc (__TEXT,__text) external _proc_trace_log
0000000180400c48 (__TEXT,__text) external _proc_track_dirty
0000000180410bb4 (__TEXT,__text) external _proc_udata_info
000000018040c708 (__TEXT,__text) external _proc_uuid_policy
0000000180426914 (__TEXT,__text) external _processor_assign
00000001804267b0 (__TEXT,__text) external _processor_control
0000000180426488 (__TEXT,__text) external _processor_exit
0000000180426a48 (__TEXT,__text) external _processor_get_assignment
000000018042659c (__TEXT,__text) external _processor_info
000000018041ef24 (__TEXT,__text) external _processor_set_create
000000018041edc4 (__TEXT,__text) external _processor_set_default
0000000180425538 (__TEXT,__text) external _processor_set_destroy
0000000180425fd4 (__TEXT,__text) external _processor_set_info
0000000180425650 (__TEXT,__text) external _processor_set_max_priority
0000000180425ccc (__TEXT,__text) external _processor_set_policy_control
0000000180425898 (__TEXT,__text) external _processor_set_policy_disable
0000000180425774 (__TEXT,__text) external _processor_set_policy_enable
0000000180425e44 (__TEXT,__text) external _processor_set_stack_usage
0000000180425354 (__TEXT,__text) external _processor_set_statistics
00000001804259bc (__TEXT,__text) external _processor_set_tasks
00000001804261dc (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000180425b44 (__TEXT,__text) external _processor_set_threads
0000000180426374 (__TEXT,__text) external _processor_start
0000000180417760 (__TEXT,__text) external _pselect
00000001804039e4 (__TEXT,__text) external _pselect$DARWIN_EXTSN
00000001804101b0 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001804178ec (__TEXT,__text) external _pselect$NOCANCEL
00000001803ff3b0 (__TEXT,__text) external _pthread_getugid_np
0000000180406fd8 (__TEXT,__text) external _pthread_setugid_np
0000000180406558 (__TEXT,__text) external _ptrace
0000000180400f88 (__TEXT,__text) external _pwrite
000000018040b3b0 (__TEXT,__text) external _pwrite$NOCANCEL
000000018040c734 (__TEXT,__text) external _pwritev
000000018040b3dc (__TEXT,__text) external _pwritev$NOCANCEL
000000018040feb4 (__TEXT,__text) external _quota
0000000180403b70 (__TEXT,__text) external _quotactl
00000001803fe42c (__TEXT,__text) external _read
00000001803ff7d8 (__TEXT,__text) external _read$NOCANCEL
00000001803ffc90 (__TEXT,__text) external _readlink
000000018040c760 (__TEXT,__text) external _readlinkat
000000018040c78c (__TEXT,__text) external _readv
000000018040b408 (__TEXT,__text) external _readv$NOCANCEL
000000018040ced4 (__TEXT,__text) non-external _reallocf
000000018040f608 (__TEXT,__text) external _reboot
000000018040f610 (__TEXT,__text) external _reboot_np
000000018041775c (__TEXT,__text) external _record_system_event_as_kernel
0000000180401df8 (__TEXT,__text) external _recvfrom
0000000180401cc0 (__TEXT,__text) external _recvfrom$NOCANCEL
0000000180402228 (__TEXT,__text) external _recvmsg
000000018040b48c (__TEXT,__text) external _recvmsg$NOCANCEL
000000018040c7b8 (__TEXT,__text) external _recvmsg_x
000000018040c7e4 (__TEXT,__text) external _register_uexc_handler
0000000180402750 (__TEXT,__text) external _removexattr
00000001804013b8 (__TEXT,__text) external _rename
000000018041216c (__TEXT,__text) external _rename_ext
000000018040f6a4 (__TEXT,__text) external _renameat
0000000180412100 (__TEXT,__text) external _renameatx_np
000000018041212c (__TEXT,__text) external _renamex_np
000000018040c810 (__TEXT,__text) external _revoke
0000000180401424 (__TEXT,__text) external _rmdir
000000018040c83c (__TEXT,__text) external _searchfs
0000000180401f00 (__TEXT,__text) external _select
00000001804089cc (__TEXT,__text) external _select$DARWIN_EXTSN
0000000180401c94 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
0000000180401c60 (__TEXT,__text) external _select$NOCANCEL
0000000180407280 (__TEXT,__text) external _sem_close
0000000180417328 (__TEXT,__text) external _sem_destroy
0000000180417350 (__TEXT,__text) external _sem_getvalue
0000000180417378 (__TEXT,__text) external _sem_init
000000018040a630 (__TEXT,__text) external _sem_open
000000018040c868 (__TEXT,__text) external _sem_post
000000018040c894 (__TEXT,__text) external _sem_trywait
000000018040c8c0 (__TEXT,__text) external _sem_unlink
000000018040c8ec (__TEXT,__text) external _sem_wait
000000018040b510 (__TEXT,__text) external _sem_wait$NOCANCEL
0000000180400790 (__TEXT,__text) external _semaphore_create
0000000180400b24 (__TEXT,__text) external _semaphore_destroy
0000000180400900 (__TEXT,__text) external _semaphore_signal
000000018040ffd4 (__TEXT,__text) external _semaphore_signal_all
00000001803fd7d0 (__TEXT,__text) external _semaphore_signal_all_trap
000000018040ffd8 (__TEXT,__text) external _semaphore_signal_thread
00000001803fd7dc (__TEXT,__text) external _semaphore_signal_thread_trap
00000001803fd7c4 (__TEXT,__text) external _semaphore_signal_trap
00000001804024b8 (__TEXT,__text) external _semaphore_timedwait
000000018040ffe0 (__TEXT,__text) external _semaphore_timedwait_signal
00000001803fd80c (__TEXT,__text) external _semaphore_timedwait_signal_trap
00000001803fd800 (__TEXT,__text) external _semaphore_timedwait_trap
00000001804008fc (__TEXT,__text) external _semaphore_wait
000000018040ffdc (__TEXT,__text) external _semaphore_wait_signal
00000001803fd7f4 (__TEXT,__text) external _semaphore_wait_signal_trap
00000001803fd7e8 (__TEXT,__text) external _semaphore_wait_trap
000000018040a6b4 (__TEXT,__text) external _semctl
000000018040c918 (__TEXT,__text) external _semget
000000018040c944 (__TEXT,__text) external _semop
000000018040a690 (__TEXT,__text) external _semsys
