0000000191254b84 (__TEXT,__text) non-external +[CalAlarm alarm]
00000001d22d16e8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CalRecurrenceRule
00000001daf734e0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalAlarm
00000001daf73210 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalAttendee
00000001daf73450 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendar
00000001daf73840 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarItem
00000001daf737b0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarItemPredicate
00000001daf733c0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalCalendarStore
00000001daf73570 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalEvent
00000001daf73180 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalEventPredicate
00000001daf732a0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalGroup
00000001daf73690 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalNthWeekDay
00000001daf730f0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalPredicate
00000001daf73720 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalRecurrenceEnd
00000001daf73600 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalRecurrenceRule
00000001daf738d0 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalTask
00000001daf73330 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_CLASS_RO_$_CalTaskPredicate
00000001d22d0d08 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_CalendarAgentClient
00000001d22d0d00 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCopying
00000001daf73498 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalAlarm
00000001daf731c8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalAttendee
00000001daf73408 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendar
00000001daf737f8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarItem
00000001daf73768 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarItemPredicate
00000001daf73378 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalCalendarStore
00000001daf73528 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalEvent
00000001daf73138 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalEventPredicate
00000001daf73258 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalGroup
00000001daf73648 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalNthWeekDay
00000001daf730a8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalPredicate
00000001daf736d8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalRecurrenceEnd
00000001daf735b8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalRecurrenceRule
00000001daf73888 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalTask
00000001daf732e8 (__OBJC_CONST,__objc_class_ro) non-external __OBJC_METACLASS_RO_$_CalTaskPredicate
00000001d6b03e00 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_CalendarAgentClient
00000001d6b03da0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCopying
                 (undefined) external __Unwind_Resume (from libSystem)
000000019125641c (__TEXT,__text) non-external ___25-[CalGroup managedObject]_block_invoke
00000001912534dc (__TEXT,__text) non-external ___40+[CalCalendarStore defaultCalendarStore]_block_invoke
000000019125f214 (__TEXT,__text) non-external ___46-[NSDate(CalStoreUtils) calStoreNSDateWithGMT]_block_invoke
0000000191257adc (__TEXT,__text) non-external ___48+[CalCalendarStore requestAccessForServiceName:]_block_invoke
000000019125f08c (__TEXT,__text) non-external ___52-[NSDate(CalStoreUtils) calStoreNSDateWithTimeZone:]_block_invoke
000000019125a77c (__TEXT,__text) non-external ___56-[CalCalendarStore calPersistanceNotification:userInfo:]_block_invoke
000000019125eefc (__TEXT,__text) non-external ___70+[NSDate(CalStoreUtils) calStoreDateInTimeZone:fromFloatingDateInGMT:]_block_invoke
00000001912546cc (__TEXT,__text) non-external ___73-[CalStoreRemoteManagedEvent(CalStoreUtils) expandEventsFromDate:toDate:]_block_invoke
00000001912546bc (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019125eee0 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019125f818 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019125471c (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019125eef0 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019125f828 (__TEXT,__text) non-external ___Block_byref_object_dispose_
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00000001d22d0be0 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v12?0B8l
00000001daf72f28 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e16_v16?0"NSDate"8l
00000001daf72f58 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e17_v16?0"NSArray"8l
00000001daf72e78 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e37_v16?0"CalStoreRemoteManagedObject"8l
00000001daf72ea8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32o40r_e8_v12?0C8l
00000001daf72ef8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32o40o48o_e5_v8?0l
00000001daf72ed8 (__AUTH_CONST,__const) non-external ___block_literal_global
000000019125a7d0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40o48o
000000019125646c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32o40r
000000019125a830 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40o48o
00000001912564bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32o40r
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001d6b03e60 (__DATA,__bss) non-external __defaultCalendarStore
                 (undefined) external __dispatch_main_q (from libSystem)
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_semaphore_create (from libSystem)
                 (undefined) external _dispatch_semaphore_signal (from libSystem)
                 (undefined) external _dispatch_semaphore_wait (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _getStringUUID (from CalendarAgentLink)
                 (undefined) external _getpid (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kTCCServiceCalendar (from TCC)
                 (undefined) external _kTCCServiceReminders (from TCC)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_getProperty (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_setProperty_atomic_copy (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_sync_enter (from libobjc)
                 (undefined) external _objc_sync_exit (from libobjc)
