0000000182ba24b8 (__DATA,__data) non-external _C
0000000180a60d34 (__TEXT,__text) non-external _fmemopen_read
0000000180a60e1c (__TEXT,__text) non-external _fmemopen_seek
0000000180a60d90 (__TEXT,__text) non-external _fmemopen_write
0000000180b82c80 (__DATA_CONST,__const) non-external _fmt_padding
0000000180a32150 (__TEXT,__text) external _fmtcheck
0000000180a32668 (__TEXT,__text) external _fmtmsg
0000000180a32bf8 (__TEXT,__text) external _fnmatch
0000000180a462fc (__TEXT,__text) external _fopen
0000000180a7ca88 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180a234b4 (__TEXT,__text) external _fork
0000000180a464b8 (__TEXT,__text) external _fprintf
0000000180a46508 (__TEXT,__text) external _fprintf_l
0000000182ba3248 (__DATA,__data) non-external _fptr
0000000180a46534 (__TEXT,__text) external _fpurge
0000000180a465c4 (__TEXT,__text) external _fputc
0000000180a46650 (__TEXT,__text) external _fputs
0000000180a4688c (__TEXT,__text) external _fputwc
0000000180a4690c (__TEXT,__text) external _fputwc_l
0000000180a46af0 (__TEXT,__text) external _fputws
0000000180a4699c (__TEXT,__text) external _fputws_l
0000000180a46cc0 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180a21b2c (__TEXT,__text) external _free_printf_comp
0000000180a21f50 (__TEXT,__text) external _free_printf_domain
0000000180a20784 (__TEXT,__text) external _freelocale
0000000180a47010 (__TEXT,__text) external _freopen
0000000180a47440 (__TEXT,__text) external _fscanf
0000000180a47514 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180a475fc (__TEXT,__text) external _fseek
0000000180a47a04 (__TEXT,__text) external _fseeko
0000000180a47a90 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180a192d4 (__TEXT,__text) external _fstatvfs
0000000182ba1e58 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180a23c5c (__TEXT,__text) external _fsync_volume_np
0000000180a47a9c (__TEXT,__text) external _ftell
0000000180a47aa0 (__TEXT,__text) external _ftello
0000000180a58350 (__TEXT,__text) external _ftime
0000000180a338a0 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180a44b7c (__TEXT,__text) external _ftrylockfile
0000000180a1bd04 (__TEXT,__text) non-external _fts_alloc
0000000180a1aebc (__TEXT,__text) non-external _fts_build
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.1
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.2
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.3
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.4
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.5
0000000180a7ddc8 (__TEXT,__text) non-external _fts_build.cold.6
0000000180a1bb0c (__TEXT,__text) external _fts_children
0000000180a1a724 (__TEXT,__text) external _fts_close
0000000180a1a89c (__TEXT,__text) non-external _fts_fchdir
0000000180a1a848 (__TEXT,__text) non-external _fts_free
0000000180a1ba2c (__TEXT,__text) non-external _fts_load
0000000180a1a350 (__TEXT,__text) external _fts_open
0000000180a1a66c (__TEXT,__text) external _fts_open_b
0000000180a1bc7c (__TEXT,__text) non-external _fts_palloc
0000000180a1a8b4 (__TEXT,__text) external _fts_read
0000000180a1ad10 (__TEXT,__text) non-external _fts_safe_changedir
0000000180a1bad0 (__TEXT,__text) external _fts_set
0000000180a1bdac (__TEXT,__text) non-external _fts_sort
0000000180a1bf20 (__TEXT,__text) non-external _fts_stat2
0000000180a1d480 (__TEXT,__text) external _ftw
0000000180a44bc4 (__TEXT,__text) external _funlockfile
0000000180a47c88 (__TEXT,__text) external _funopen
0000000180a48148 (__TEXT,__text) external _fwide
0000000180a481b0 (__TEXT,__text) external _fwprintf
0000000180a48200 (__TEXT,__text) external _fwprintf_l
0000000180a4822c (__TEXT,__text) external _fwrite
0000000180a483cc (__TEXT,__text) external _fwscanf
0000000180a4841c (__TEXT,__text) external _fwscanf_l
0000000180a219d0 (__TEXT,__text) external _fxprintf
0000000180a223e8 (__TEXT,__text) external _fxprintf_exec
0000000182ba1db0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180a6a6d8 (__TEXT,__text) external _gcvt
0000000180a30368 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000182ba41f8 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000182ba2a90 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180a18194 (__TEXT,__text) non-external _generalSlowpath
0000000180a7db60 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180a7dcec (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180a7dd18 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180a7dd44 (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180a7dd70 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180a7db8c (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180a7dbb8 (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180a7dbe4 (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180a7dc10 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180a7dc3c (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180a7dc68 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180a7dc94 (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180a7dcc0 (__TEXT,__text) non-external _generalSlowpath.cold.9
0000000182ba4174 (__DATA,__bss) non-external _get_clock.adjustment
0000000182ba4188 (__DATA,__bss) non-external _get_clock.clock_seq
0000000182ba4178 (__DATA,__bss) non-external _get_clock.last
0000000180a321d0 (__TEXT,__text) non-external _get_next_format
0000000180a32364 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180a32304 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180a33908 (__TEXT,__text) external _getbsize
0000000182ba4248 (__DATA,__bss) non-external _getbsize.header
0000000180a48448 (__TEXT,__text) external _getc
0000000180a484ac (__TEXT,__text) external _getc_unlocked
0000000180a484d8 (__TEXT,__text) external _getchar
0000000180a48544 (__TEXT,__text) external _getchar_unlocked
0000000180a35250 (__TEXT,__text) external _getcwd
0000000180a2144c (__TEXT,__text) external _getdate
0000000182ba4128 (__DATA,__bss) non-external _getdate.tm
0000000182baeec8 (__DATA,__common) external _getdate_err
0000000180a4857c (__TEXT,__text) external _getdelim
0000000180a19c34 (__TEXT,__text) external _getdiskbyname
0000000182ba4030 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180a33c18 (__TEXT,__text) non-external _getent
0000000180a62528 (__TEXT,__text) external _getenv
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180a23f78 (__TEXT,__text) external _gethostid
0000000180a35258 (__TEXT,__text) external _gethostname
0000000180a48844 (__TEXT,__text) external _getline
0000000180a1c480 (__TEXT,__text) external _getloadavg
0000000180a35368 (__TEXT,__text) external _getmntinfo
0000000182ba4290 (__DATA,__bss) non-external _getmntinfo.vars
0000000180a353a0 (__TEXT,__text) non-external _getmntinfo_internal
0000000180a3547c (__TEXT,__text) external _getmntinfo_r_np
0000000180a36ca0 (__TEXT,__text) external _getmode
0000000180a5a918 (__TEXT,__text) non-external _getoffset
0000000180a62588 (__TEXT,__text) external _getopt
0000000182ba31f0 (__DATA,__data) non-external _getopt.place
0000000180a62810 (__TEXT,__text) non-external _getopt_internal
0000000180a7f148 (__TEXT,__text) non-external _getopt_internal.cold.1
0000000182ba31f8 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180a62808 (__TEXT,__text) external _getopt_long
0000000180a62e6c (__TEXT,__text) external _getopt_long_only
0000000180a354e4 (__TEXT,__text) external _getpagesize
0000000182ba42a8 (__DATA,__bss) non-external _getpagesize.value
0000000180a35584 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180a35610 (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180a5a96c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180a48850 (__TEXT,__text) external _gets
0000000180a81208 (__TEXT,__const) non-external _gets.w
0000000182ba5d18 (__DATA,__bss) non-external _gets.warned
0000000180a5ada0 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180a632e0 (__TEXT,__text) external _getsubopt
0000000180a235f4 (__TEXT,__text) external _gettimeofday
0000000182ba41ec (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182ba41f0 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182ba41e8 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180a1c6bc (__TEXT,__text) external _getttyent
0000000182ba4080 (__DATA,__bss) non-external _getttyent.line
0000000180b82578 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182ba4040 (__DATA,__bss) non-external _getttyent.tty
0000000180a1c550 (__TEXT,__text) external _getttynam
0000000180a1a2c0 (__TEXT,__text) non-external _gettype
0000000180a1ce68 (__TEXT,__text) external _getusershell
0000000180a1d128 (__TEXT,__text) external _getvfsbyname
0000000180a48938 (__TEXT,__text) external _getw
0000000180a48978 (__TEXT,__text) external _getwc
0000000180a4899c (__TEXT,__text) external _getwc_l
0000000180a489a0 (__TEXT,__text) external _getwchar
0000000180a489d0 (__TEXT,__text) external _getwchar_l
0000000180a24004 (__TEXT,__text) external _getwd
0000000180a5a870 (__TEXT,__text) non-external _getzname
0000000180a8145c (__TEXT,__const) non-external _gmt
0000000180a5aed0 (__TEXT,__text) non-external _gmt_init
0000000182ba3188 (__DATA,__data) non-external _gmt_once
0000000180a59f60 (__TEXT,__text) external _gmtime
0000000182baa650 (__DATA,__bss) non-external _gmtime_key
0000000182baa64c (__DATA,__bss) non-external _gmtime_key_error
0000000180a5a044 (__TEXT,__text) non-external _gmtime_key_init
0000000182ba3178 (__DATA,__data) non-external _gmtime_once
0000000180a5a110 (__TEXT,__text) external _gmtime_r
0000000180a5944c (__TEXT,__text) non-external _gmtload
0000000182baa690 (__DATA,__bss) non-external _gmtmem
0000000180a5a088 (__TEXT,__text) non-external _gmtsub
0000000180a81587 (__TEXT,__const) non-external _gnuoptchar
0000000182ba4270 (__DATA,__bss) non-external _gottoprec
0000000180a6a290 (__TEXT,__text) external _grantpt
0000000180a4ff88 (__TEXT,__text) non-external _grouping_init
0000000180a55058 (__TEXT,__text) non-external _grouping_init
0000000180a5017c (__TEXT,__text) non-external _grouping_print
0000000180a552c0 (__TEXT,__text) non-external _grouping_print
0000000182baeeb0 (__DATA,__bss) non-external _handlers
0000000180a2a500 (__TEXT,__text) non-external _hash4
0000000180a290fc (__TEXT,__text) non-external _hash_access
0000000180a288f4 (__TEXT,__text) non-external _hash_close
0000000180a68734 (__TEXT,__text) external _hash_create
0000000180a28938 (__TEXT,__text) non-external _hash_delete
0000000180a687c8 (__TEXT,__text) external _hash_destroy
0000000180a289bc (__TEXT,__text) non-external _hash_fd
0000000180a28a04 (__TEXT,__text) non-external _hash_get
0000000180a68a60 (__TEXT,__text) external _hash_purge
0000000180a28a6c (__TEXT,__text) non-external _hash_put
0000000180a688a4 (__TEXT,__text) external _hash_search
0000000180a28af8 (__TEXT,__text) non-external _hash_seq
0000000180a68ae8 (__TEXT,__text) external _hash_stats
0000000180a28d38 (__TEXT,__text) non-external _hash_sync
0000000180a689dc (__TEXT,__text) external _hash_traverse
0000000180a63454 (__TEXT,__text) external _hcreate
0000000180a287dc (__TEXT,__text) non-external _hdestroy
0000000180a6352c (__TEXT,__text) external _hdestroy
0000000180a63690 (__TEXT,__text) external _heapsort
0000000180a6aa10 (__TEXT,__text) external _heapsort_b
0000000180a801d8 (__TEXT,__const) non-external _hexdigit
0000000180a83fac (__TEXT,__cstring) non-external _hexlist
0000000182ba40e8 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180a635b4 (__TEXT,__text) external _hsearch
0000000182baee48 (__DATA,__bss) non-external _htable
0000000182baee50 (__DATA,__bss) non-external _htablesize
0000000180a81572 (__TEXT,__const) non-external _illoptchar
0000000180a81628 (__TEXT,__const) non-external _illoptstring
0000000180a63928 (__TEXT,__text) external _imaxabs
0000000180a63934 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180a18898 (__TEXT,__text) non-external _infinity
0000000180a18b54 (__TEXT,__text) non-external _initMPFromDigits
0000000180a802d8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180a1ceac (__TEXT,__text) non-external _initshells
0000000180a67360 (__TEXT,__text) external _initstate
0000000180a6428c (__TEXT,__text) non-external _insertionsort
0000000180a6c2d8 (__TEXT,__text) non-external _insertionsort
0000000180a63960 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180a1e2f4 (__TEXT,__text) external _isalnum
0000000180a1eb94 (__TEXT,__text) external _isalnum_l
0000000180a1e36c (__TEXT,__text) external _isalpha
0000000180a1ec10 (__TEXT,__text) external _isalpha_l
0000000180a1e2e8 (__TEXT,__text) external _isascii
0000000180a3562c (__TEXT,__text) external _isatty
0000000180a1e3dc (__TEXT,__text) external _isblank
0000000180a1ec84 (__TEXT,__text) external _isblank_l
0000000180a1e44c (__TEXT,__text) external _iscntrl
0000000180a1ecf8 (__TEXT,__text) external _iscntrl_l
0000000180a1e4bc (__TEXT,__text) external _isdigit
0000000180a1ed6c (__TEXT,__text) external _isdigit_l
0000000180a1e4e4 (__TEXT,__text) external _isgraph
0000000180a1ede0 (__TEXT,__text) external _isgraph_l
0000000180a1e890 (__TEXT,__text) external _ishexnumber
0000000180a1ee54 (__TEXT,__text) external _ishexnumber_l
0000000180a1e900 (__TEXT,__text) external _isideogram
0000000180a1eec8 (__TEXT,__text) external _isideogram_l
0000000180a1e554 (__TEXT,__text) external _islower
0000000180a1ef3c (__TEXT,__text) external _islower_l
0000000180a1e970 (__TEXT,__text) external _isnumber
0000000180a1efb0 (__TEXT,__text) external _isnumber_l
0000000180a1e9e0 (__TEXT,__text) external _isphonogram
0000000180a1f024 (__TEXT,__text) external _isphonogram_l
0000000180a1e5c4 (__TEXT,__text) external _isprint
0000000180a1f098 (__TEXT,__text) external _isprint_l
0000000180a1e634 (__TEXT,__text) external _ispunct
0000000180a1f10c (__TEXT,__text) external _ispunct_l
0000000180a1ea50 (__TEXT,__text) external _isrune
0000000180a1f180 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180a1e6a4 (__TEXT,__text) external _isspace
0000000180a1f20c (__TEXT,__text) external _isspace_l
0000000180a1eac4 (__TEXT,__text) external _isspecial
0000000180a1f280 (__TEXT,__text) external _isspecial_l
0000000180a396cc (__TEXT,__text) non-external _istrsenvisx
0000000180a7e9fc (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180a7ea28 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180a7ea54 (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180a7ea80 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180a39d70 (__TEXT,__text) non-external _istrsenvisxl
0000000180a1e714 (__TEXT,__text) external _isupper
0000000180a1f2f4 (__TEXT,__text) external _isupper_l
0000000180a1f42c (__TEXT,__text) external _iswalnum
0000000180a1f970 (__TEXT,__text) external _iswalnum_l
0000000180a1f4a4 (__TEXT,__text) external _iswalpha
0000000180a1f9ec (__TEXT,__text) external _iswalpha_l
0000000180a1ffbc (__TEXT,__text) external _iswascii
0000000180a1ff4c (__TEXT,__text) external _iswblank
0000000180a2026c (__TEXT,__text) external _iswblank_l
0000000180a1f514 (__TEXT,__text) external _iswcntrl
0000000180a1fa60 (__TEXT,__text) external _iswcntrl_l
0000000180a1f584 (__TEXT,__text) external _iswctype
0000000180a1fad4 (__TEXT,__text) external _iswctype_l
0000000180a1f600 (__TEXT,__text) external _iswdigit
0000000180a1fb6c (__TEXT,__text) external _iswdigit_l
0000000180a1f628 (__TEXT,__text) external _iswgraph
0000000180a1fbe0 (__TEXT,__text) external _iswgraph_l
0000000180a1ffc8 (__TEXT,__text) external _iswhexnumber
0000000180a202e0 (__TEXT,__text) external _iswhexnumber_l
0000000180a20038 (__TEXT,__text) external _iswideogram
0000000180a20354 (__TEXT,__text) external _iswideogram_l
0000000180a1f698 (__TEXT,__text) external _iswlower
0000000180a1fc54 (__TEXT,__text) external _iswlower_l
0000000180a200a8 (__TEXT,__text) external _iswnumber
0000000180a203c8 (__TEXT,__text) external _iswnumber_l
0000000180a20118 (__TEXT,__text) external _iswphonogram
0000000180a2043c (__TEXT,__text) external _iswphonogram_l
0000000180a1f708 (__TEXT,__text) external _iswprint
0000000180a1fcc8 (__TEXT,__text) external _iswprint_l
0000000180a1f778 (__TEXT,__text) external _iswpunct
0000000180a1fd3c (__TEXT,__text) external _iswpunct_l
0000000180a20188 (__TEXT,__text) external _iswrune
0000000180a204b0 (__TEXT,__text) external _iswrune_l
0000000180a1f7e8 (__TEXT,__text) external _iswspace
0000000180a1fdb0 (__TEXT,__text) external _iswspace_l
0000000180a201fc (__TEXT,__text) external _iswspecial
0000000180a2053c (__TEXT,__text) external _iswspecial_l
0000000180a1f858 (__TEXT,__text) external _iswupper
0000000180a1fe24 (__TEXT,__text) external _iswupper_l
0000000180a1f8c8 (__TEXT,__text) external _iswxdigit
0000000180a1fe98 (__TEXT,__text) external _iswxdigit_l
0000000180a1e784 (__TEXT,__text) external _isxdigit
0000000180a1f368 (__TEXT,__text) external _isxdigit_l
0000000180a356f0 (__TEXT,__text) external _jrand48
0000000180b827d0 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180a2404c (__TEXT,__text) external _killpg
0000000180a6a468 (__TEXT,__text) external _l64a
0000000182baeea0 (__DATA,__bss) non-external _l64a.buf
0000000180a63984 (__TEXT,__text) external _labs
0000000180a3bf40 (__TEXT,__text) non-external _largesearch
0000000182baedf8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000182ba3038 (__DATA,__data) non-external _lastglue
0000000180a19138 (__TEXT,__text) external _lchflags
0000000180a19180 (__TEXT,__text) external _lchmod
0000000182ba5dd4 (__DATA,__bss) non-external _lcl_TZname
0000000182ba5dd0 (__DATA,__bss) non-external _lcl_is_set
0000000182ba3090 (__DATA,__data) non-external (was a private external) _lcl_rwlock
0000000182ba5ed8 (__DATA,__bss) non-external _lclmem
0000000180a35734 (__TEXT,__text) external _lcong48
0000000180a63990 (__TEXT,__text) external _ldiv
0000000180a63a8c (__TEXT,__text) external _lfind
0000000180a4b6dc (__TEXT,__text) non-external _lflush
0000000182baeed8 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180a23ccc (__TEXT,__text) external _libc_set_introspection_hooks
0000000180a7de1c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180a7de48 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180a7de74 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180a7dea0 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180a43db0 (__TEXT,__text) external _link_addr
0000000180a43f50 (__TEXT,__text) external _link_ntoa
0000000182ba44e4 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180a639bc (__TEXT,__text) external _llabs
0000000180a639c8 (__TEXT,__text) external _lldiv
0000000180a4447c (__TEXT,__text) non-external _loadCat
0000000180a40710 (__TEXT,__text) non-external _loadlocale
0000000180a3ec48 (__TEXT,__text) external _localeconv
0000000180a3eaf4 (__TEXT,__text) external _localeconv_l
0000000180a7eb5c (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180a7eb78 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180a59dc4 (__TEXT,__text) external _localtime
0000000182baa648 (__DATA,__bss) non-external _localtime_key
0000000182baa640 (__DATA,__bss) non-external _localtime_key_error
0000000180a59eb8 (__TEXT,__text) non-external _localtime_key_init
0000000182ba3168 (__DATA,__data) non-external _localtime_once
0000000180a59efc (__TEXT,__text) external _localtime_r
0000000180a7bdec (__TEXT,__text) external _lockf
0000000180a35778 (__TEXT,__text) external _lockf$NOCANCEL
0000000180a2254c (__TEXT,__text) external _login_tty
0000000180a3bf94 (__TEXT,__text) non-external _lookup_substsearch
0000000180a7eaac (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180a35858 (__TEXT,__text) external _lrand48
0000000180a639f4 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180a191cc (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180b825d0 (__DATA_CONST,__const) non-external _mapping
0000000180a3ecf0 (__TEXT,__text) external _mblen
0000000180a3ec6c (__TEXT,__text) external _mblen_l
0000000180a3edc4 (__TEXT,__text) external _mbrlen
0000000180a3ed74 (__TEXT,__text) external _mbrlen_l
0000000180a3ee58 (__TEXT,__text) external _mbrtowc
0000000180a3ee18 (__TEXT,__text) external _mbrtowc_l
0000000180a3eed0 (__TEXT,__text) external _mbsinit
0000000180a3ee9c (__TEXT,__text) external _mbsinit_l
0000000180a3ef48 (__TEXT,__text) external _mbsnrtowcs
0000000180a3ef08 (__TEXT,__text) external _mbsnrtowcs_l
0000000180a3f110 (__TEXT,__text) external _mbsrtowcs
0000000180a3f0c4 (__TEXT,__text) external _mbsrtowcs_l
0000000180a3f208 (__TEXT,__text) external _mbstowcs
0000000180a3f160 (__TEXT,__text) external _mbstowcs_l
0000000180a3f328 (__TEXT,__text) external _mbtowc
0000000180a3f2b0 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180a5e168 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180a71074 (__TEXT,__text) external _memset_s
0000000180a43d94 (__TEXT,__text) non-external _memstream_close
0000000180a43d00 (__TEXT,__text) non-external _memstream_seek
0000000180a7ebc0 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180a7ebec (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180a43bb8 (__TEXT,__text) non-external _memstream_update
0000000180a7eb94 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180a43bec (__TEXT,__text) non-external _memstream_write
0000000180a63b04 (__TEXT,__text) external _mergesort
0000000180a6ba80 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180a4940c (__TEXT,__text) external _mkdtemp
0000000180a49498 (__TEXT,__text) external _mkdtempat_np
0000000180a49328 (__TEXT,__text) external _mkostemp
0000000180a48e70 (__TEXT,__text) external _mkostemps
0000000180a49204 (__TEXT,__text) external _mkostempsat_np
0000000180a22a0c (__TEXT,__text) external _mkpath_np
0000000180a22a20 (__TEXT,__text) external _mkpathat_np
0000000180a493b0 (__TEXT,__text) external _mkstemp
0000000180a495f8 (__TEXT,__text) external _mkstemp_dprotected_np
0000000180a4927c (__TEXT,__text) external _mkstemps
0000000180a492d8 (__TEXT,__text) external _mkstempsat_np
0000000180a495a0 (__TEXT,__text) external _mktemp
0000000180a5a4fc (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180a81468 (__TEXT,__const) non-external _mon_lengths
0000000180a1e2d0 (__TEXT,__text) external _monaddition
0000000180a1e2e0 (__TEXT,__text) external _moncontrol
0000000180a1e2e4 (__TEXT,__text) external _moncount
0000000180a1e2c8 (__TEXT,__text) external _moninit
0000000180a1e2dc (__TEXT,__text) external _monitor
0000000180a1e2d8 (__TEXT,__text) external _monoutput
0000000180a1e2d4 (__TEXT,__text) external _monreset
0000000180a1e2cc (__TEXT,__text) external _monstartup
0000000180a45fc8 (__TEXT,__text) non-external _moreglue
0000000180a2bf9c (__TEXT,__text) non-external _mpool_bkt
0000000180a2c258 (__TEXT,__text) external _mpool_close
0000000180a2beec (__TEXT,__text) external _mpool_filter
0000000180a2c094 (__TEXT,__text) external _mpool_get
0000000180a2befc (__TEXT,__text) external _mpool_new
0000000180a7e2f8 (__TEXT,__text) non-external _mpool_new.cold.1
0000000180a2bdf0 (__TEXT,__text) external _mpool_open
0000000180a2c23c (__TEXT,__text) external _mpool_put
0000000180a2c2b4 (__TEXT,__text) external _mpool_sync
0000000180a2c32c (__TEXT,__text) non-external _mpool_write
0000000180a3588c (__TEXT,__text) external _mrand48
0000000180a24448 (__TEXT,__text) non-external _mswap
0000000180a18d00 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180a7c07c (__TEXT,__text) external _nanosleep
0000000180a1d2c4 (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182ba4310 (__DATA,__bss) non-external _new_categories
0000000180a21bb0 (__TEXT,__text) external _new_printf_comp
0000000180a21f90 (__TEXT,__text) external _new_printf_domain
0000000180a20824 (__TEXT,__text) external _newlocale
0000000182ba3228 (__DATA,__data) non-external _next
0000000180a32b80 (__TEXT,__text) non-external _nextcomp
0000000182ba4220 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182ba4240 (__DATA,__bss) non-external _nextcomp.state
0000000180a3f788 (__TEXT,__text) external _nextwctype
0000000180a3f610 (__TEXT,__text) external _nextwctype_l
0000000180a1d90c (__TEXT,__text) external _nftw
0000000180a358c0 (__TEXT,__text) external _nice
0000000180a3fbdc (__TEXT,__text) external _nl_langinfo
0000000180a3f7ac (__TEXT,__text) external _nl_langinfo_l
0000000182ba4308 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180a815db (__TEXT,__const) non-external _noarg
0000000180a811c0 (__TEXT,__const) non-external _nogrouping
0000000182ba31fc (__DATA,__data) non-external _nonopt_end
0000000182ba3200 (__DATA,__data) non-external _nonopt_start
0000000180a35980 (__TEXT,__text) external _nrand48
0000000180a25abc (__TEXT,__text) non-external _nroot
0000000182ba2c48 (__DATA,__data) non-external _numempty
0000000180a80d00 (__TEXT,__const) non-external _nv
0000000180a39f14 (__TEXT,__text) external _nvis
0000000180a5a11c (__TEXT,__text) external _offtime
