00000001d94df378 (__DATA,__data) non-external _.compoundliteral
00000001dd50fa60 (__AUTH_CONST,__const) non-external ___block_literal_global.45
00000001dd510830 (__AUTH_CONST,__const) non-external ___block_literal_global.6
00000001dd510240 (__AUTH_CONST,__const) non-external ___block_literal_global.605
00000001dd50f920 (__AUTH_CONST,__const) non-external ___block_literal_global.8
00000001dd510010 (__AUTH_CONST,__const) non-external ___block_literal_global.8.246
00000001836c0bc4 (__TEXT,__text) non-external ___candidate_is_transposable_block_invoke
00000001836c0938 (__TEXT,__text) non-external ___candidate_list_add_multiple_block_invoke
00000001836c0d74 (__TEXT,__text) non-external ___candidate_remove_common_condition_block_invoke
00000001836c4dd0 (__TEXT,__text) non-external ___check_dependencies_block_invoke
00000001836c2ca8 (__TEXT,__text) non-external ___check_instruction_block_invoke
00000001836cfbf8 (__TEXT,__text) non-external ___check_policy_block_invoke
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001836bfba0 (__TEXT,__text) non-external ___combine_conditions_block_invoke
00000001836c417c (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke
00000001836c3bb4 (__TEXT,__text) non-external ___combine_patterns_profile_block_invoke_2
00000001836cb274 (__TEXT,__text) non-external ___compile_block_invoke
00000001836cb1d4 (__TEXT,__text) non-external ___compile_block_invoke.4
00000001836b65ac (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke
00000001836cb404 (__TEXT,__text) non-external ___compute_cost_estimate_block_invoke.26
00000001836c2af0 (__TEXT,__text) non-external ___condition_is_contrary_with_any_in_list_block_invoke
00000001836ce040 (__TEXT,__text) non-external ___condition_is_subset_of_all_block_invoke
00000001836ce048 (__TEXT,__text) non-external ___condition_is_subset_of_any_block_invoke
00000001836c2120 (__TEXT,__text) non-external ___condition_is_subset_of_any_in_list_block_invoke
00000001836c2a9c (__TEXT,__text) non-external ___condition_is_superset_of_any_in_list_block_invoke
00000001836cd728 (__TEXT,__text) non-external ___condition_is_transposable_within_reference_block_invoke
00000001836c3520 (__TEXT,__text) non-external ___condition_list_is_ordered_by_cost_block_invoke
00000001836c488c (__TEXT,__text) non-external ___condition_with_patterns_combined_block_invoke
00000001836cb424 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00000001836cf34c (__TEXT,__text) non-external ___copy_helper_block_8_32b40r
00000001836cb180 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00000001836cb99c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00000001836cc8ec (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r48r
00000001836d28bc (__TEXT,__text) non-external ___copy_helper_block_8_32r40r48r56r64r
00000001d94e6fd8 (__DATA,__common) [referenced dynamically] external ___crashreporter_info__
00000001836cf39c (__TEXT,__text) non-external ___create_pattern_disjunctions_block_invoke
00000001836c07c0 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke
00000001836cd5c8 (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.14
00000001836cd6bc (__TEXT,__text) non-external ___cse_inferior_list_block_invoke.18
00000001836c0028 (__TEXT,__text) non-external ___cse_multiple_block_invoke
00000001836b25c0 (__TEXT,__text) non-external ___define_action_block_invoke
00000001836d2318 (__TEXT,__text) non-external ___define_action_block_invoke.117
00000001836b9000 (__TEXT,__text) non-external ___define_action_block_invoke_2
00000001836b7d6c (__TEXT,__text) non-external ___define_combination_filter_block_invoke
00000001836d0678 (__TEXT,__text) non-external ___define_error_handler_block_invoke
00000001836d085c (__TEXT,__text) non-external ___define_error_handler_block_invoke_2
00000001836b3cf0 (__TEXT,__text) non-external ___define_filter_block_invoke
00000001836c7468 (__TEXT,__text) non-external ___define_network_filter_block_invoke
00000001836b3b60 (__TEXT,__text) non-external ___define_on_open_handler_block_invoke
00000001836d0024 (__TEXT,__text) non-external ___define_wrapper_filter_block_invoke
00000001836cb418 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00000001836cf308 (__TEXT,__text) non-external ___destroy_helper_block_8_32b40r
00000001836cb174 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00000001836cb958 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
00000001836cc89c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r48r
00000001836d2854 (__TEXT,__text) non-external ___destroy_helper_block_8_32r40r48r56r64r
00000001836bfc0c (__TEXT,__text) non-external ___eliminate_common_subexpressions_block_invoke
00000001836cd7a0 (__TEXT,__text) non-external ___eliminate_common_subexpressions_policy_block_invoke
00000001836ce3dc (__TEXT,__text) non-external ___eliminate_dead_code_policy_block_invoke
00000001836cc110 (__TEXT,__text) non-external ___emit_entitlement_name_table_block_invoke
00000001836cc540 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke
00000001836cc5dc (__TEXT,__text) non-external ___emit_modifier_list_block_invoke.121
00000001836c5730 (__TEXT,__text) non-external ___emit_profile_block_invoke
00000001836cc240 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke
00000001836cc298 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke.105
00000001836cbf14 (__TEXT,__text) non-external ___emit_variable_names_block_invoke
                 (undefined) external ___error (from libSystem)
00000001836c1994 (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke
00000001836c844c (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke.17
00000001836cf054 (__TEXT,__text) non-external ___expand_logical_conditions_policy_block_invoke
00000001836c3688 (__TEXT,__text) non-external ___factor_block_invoke
00000001836cea1c (__TEXT,__text) non-external ___factor_policy_block_invoke
00000001836cbe98 (__TEXT,__text) non-external ___free_entitlement_name_table_block_invoke
00000001836d2d30 (__TEXT,__text) non-external ___generate_mach_kernel_endpoint_syscallmask_block_invoke
00000001836d2df4 (__TEXT,__text) non-external ___generate_mach_syscallmask_block_invoke
00000001836d33c8 (__TEXT,__text) non-external ___generate_unix_syscallmask_block_invoke
00000001836cd07c (__TEXT,__text) non-external ___iterate_string_operands_with_atom_namespaces_block_invoke
00000001836b7b30 (__TEXT,__text) non-external ___list_cost_estimate_block_invoke
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
00000001836d2d0c (__TEXT,__text) non-external ___message_filter_has_operation_block_invoke
00000001836bdf44 (__TEXT,__text) non-external ___operation_can_return_action_block_invoke
00000001836d22a0 (__TEXT,__text) non-external ___operation_expand_block_invoke
00000001836cd0dc (__TEXT,__text) non-external ___populate_pattern_variable_count_block_invoke
00000001836c2ef4 (__TEXT,__text) non-external ___reorder_block_invoke
00000001836c3600 (__TEXT,__text) non-external ___reorder_condition_list_block_invoke
00000001836cfd4c (__TEXT,__text) non-external ___reorder_policy_block_invoke
00000001836cd250 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke
00000001836cd2c4 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke.33
00000001836c2be0 (__TEXT,__text) non-external ___resolve_jumps_block_invoke
                 (undefined) external ___sandbox_ms (from libSystem)
00000001836ca98c (__TEXT,__text) non-external ___sandbox_prepare_user_home_mount_block_invoke
00000001836caf54 (__TEXT,__text) non-external ___sandbox_register_network_approval_policy_exemption_for_share_block_invoke
00000001836c49f0 (__TEXT,__text) non-external ___sb_analyze_check_dependencies_profile_block_invoke
00000001836cbbc4 (__TEXT,__text) non-external ___sb_bitmask_is_subset_block_invoke
00000001836be3a0 (__TEXT,__text) non-external ___sb_bytecode_output_profile_block_invoke
00000001836cdde8 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke
00000001836b893c (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke_2
00000001836cddd8 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke
00000001836b7b74 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke_2
00000001836c7dfc (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke
00000001836bceac (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_2
00000001836c7dec (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_3
00000001836bbcc8 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_4
00000001836ce208 (__TEXT,__text) non-external ___sb_condition_list_every_condition_matches_predicate_block_invoke
00000001836b4cf8 (__TEXT,__text) non-external ___sb_filter_has_side_effects_block_invoke
00000001836b6ee0 (__TEXT,__text) non-external ___sb_fsa_disjunction_block_invoke
00000001836c2b44 (__TEXT,__text) non-external ___sb_fsa_matches_disjoint_set_block_invoke
00000001836c29b4 (__TEXT,__text) non-external ___sb_fsa_matches_subset_block_invoke
00000001836cb5b8 (__TEXT,__text) non-external ___sb_fsa_recognizer_byteset_block_invoke
00000001836c7070 (__TEXT,__text) non-external ___sb_modifiers_apply_action_flags_block_invoke
00000001836cf168 (__TEXT,__text) non-external ___sb_msgfilter_iterate_entry_points_block_invoke
00000001836b1d78 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke
00000001836bda84 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_10
00000001836d0c90 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_11
00000001836d0230 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_12
00000001836d0c64 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_13
00000001836d02d8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_14
00000001836d0bbc (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_15
00000001836d0380 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_16
00000001836d0420 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_17
00000001836d0600 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_18
00000001836d08b4 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_19
00000001836c8314 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_2
00000001836c7c30 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_3
00000001836b89ec (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_4
00000001836b8ae4 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_5
00000001836d0158 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_6
00000001836d0170 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_7
00000001836d0188 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_8
00000001836d0cc4 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_9
00000001836cfed8 (__TEXT,__text) non-external ___sb_transform_resolve_jumps_policy_block_invoke
00000001836d2de4 (__TEXT,__text) non-external ___sb_transform_syscallmask_has_migroutine_index_by_id_block_invoke
00000001836cecd4 (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke
00000001836ced4c (__TEXT,__text) non-external ___sb_visitor_traverse_policy_postorder_block_invoke_2
00000001836d0b58 (__TEXT,__text) non-external ___sbpl_filter_eqv_block_invoke
00000001836d0a10 (__TEXT,__text) non-external ___sbpl_operation_eqv_block_invoke
                 (undefined) external ___srget (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
00000001836cef40 (__TEXT,__text) non-external ___synthesize_logical_conditions_policy_block_invoke
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
00000001836b19ac (__TEXT,__text) non-external ___xpc2sc_block_invoke
00000001d94df058 (__DATA,__data) non-external __address_family_aliases_
00000001836cd19c (__TEXT,__text) non-external __annotate_instruction_order
00000001836c82e0 (__TEXT,__text) non-external __buffer_close
00000001836c8204 (__TEXT,__text) non-external __buffer_read
00000001836c8194 (__TEXT,__text) non-external __buffer_seek
00000001836b7130 (__TEXT,__text) non-external __calculate_graft_position
00000001836ce96c (__TEXT,__text) non-external __condition_list_diff
00000001d94e1558 (__DATA,__data) non-external __csr_aliases_
00000001836d1300 (__TEXT,__text) non-external __define_filter
00000001836b12c0 (__TEXT,__text) non-external __define_list
00000001836b14a4 (__TEXT,__text) non-external __define_symbol
00000001d94e6908 (__DATA,__data) non-external __errno_value_aliases_
00000001d94e5428 (__DATA,__data) non-external __fcntl_command_aliases_
00000001836b7704 (__TEXT,__text) non-external __flatten
00000001836c7284 (__TEXT,__text) non-external __free_error_pool
00000001d94df3e8 (__DATA,__data) non-external __fsctl_command_aliases_
00000001d94e1628 (__DATA,__data) non-external __host_special_port_aliases_
00000001d94e0058 (__DATA,__data) non-external __ioctl_command_aliases_
00000001d94e3b38 (__DATA,__data) non-external __machtrap_aliases_
00000001836b1310 (__TEXT,__text) non-external __make_list_v
00000001d94e6678 (__DATA,__data) non-external __memorystatus_control_cmd_aliases_
00000001d94e3f08 (__DATA,__data) non-external __mig_routine_aliases_
00000001836f5ce4 (__TEXT,__const) non-external __migroutine_idx_to_msgid_
00000001d94e64b8 (__DATA,__data) non-external __necp_client_action_aliases_
00000001836c359c (__TEXT,__text) non-external __order
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
00000001836b1aac (__TEXT,__text) non-external __parse_file
00000001d94e1e58 (__DATA,__data) non-external __persona_aliases_
00000001d94e1118 (__DATA,__data) non-external __privilege_aliases_
00000001836c6d44 (__TEXT,__text) non-external __push_match_byteset_instr
00000001836ae7e8 (__TEXT,__text) non-external __s_return
00000001836c1098 (__TEXT,__text) non-external __sb_condition_list_remove_index
00000001836b4ae8 (__TEXT,__text) non-external __sb_condition_pattern_of_type
00000001836c4ce8 (__TEXT,__text) non-external __sb_condition_traverse_filters
00000001836cb680 (__TEXT,__text) non-external __sb_fsa_disjunction
00000001836b6b00 (__TEXT,__text) non-external __sb_fsa_iterate_disjuncts
00000001836cb434 (__TEXT,__text) non-external __sb_fsa_recognizer_terminal
00000001836bc0dc (__TEXT,__text) non-external __sb_fsa_serialize
00000001836ce6bc (__TEXT,__text) non-external __sb_instr_error_with_formatv
00000001836bb8a0 (__TEXT,__text) non-external __sb_pattern_is_literal
00000001836aa184 (__TEXT,__text) non-external __sb_realloc_vector
00000001836d33e8 (__TEXT,__text) non-external __sb_textbuf_with_string_transfer_with_length
00000001836bbcd8 (__TEXT,__text) non-external __sb_value_is_equivalent
00000001836cf21c (__TEXT,__text) non-external __set_modifier_string
00000001d94e17d8 (__DATA,__data) non-external __signal_aliases_
00000001d94e58f8 (__DATA,__data) non-external __socket_option_level_aliases_
00000001d94e5f98 (__DATA,__data) non-external __socket_option_name_aliases_
00000001d94df318 (__DATA,__data) non-external __socket_type_aliases_
00000001d94e1ed8 (__DATA,__data) non-external __syscall_aliases_
00000001d94e6868 (__DATA,__data) non-external __task_special_port_aliases_
00000001d94e1b78 (__DATA,__data) non-external __usb_interface_class_aliases_
00000001d94e1c88 (__DATA,__data) non-external __usb_interface_subclass_aliases_
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_int64 (from libSystem)
                 (undefined) external __xpc_type_null (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _abort (from libSystem)
00000001836b8a3c (__TEXT,__text) non-external _all_args_pass_test
00000001836aadf4 (__TEXT,__text) non-external _alloc_cellseg
00000001836ba3e0 (__TEXT,__text) non-external _alloc_literal
00000001836cc9a0 (__TEXT,__text) non-external _allocate_entitlements_for_filter_values
00000001836b3338 (__TEXT,__text) non-external _arg_is_condition
00000001836d0be8 (__TEXT,__text) non-external _arg_is_message_filter
00000001836b8e54 (__TEXT,__text) non-external _arg_is_modifier
00000001836b33b4 (__TEXT,__text) non-external _arg_is_operation
                 (undefined) external _asprintf (from libSystem)
00000001836b5214 (__TEXT,__text) non-external _assert_is_mutable
00000001836ce1b0 (__TEXT,__text) non-external _assert_is_mutable.321
00000001836c90c8 (__TEXT,__text) non-external _atom2str
00000001836d3cdc (__TEXT,__text) non-external _atom2str.cold.1
00000001836d3d08 (__TEXT,__text) non-external _atom2str.cold.2
00000001836d3d34 (__TEXT,__text) non-external _atom2str.cold.3
00000001836d3d60 (__TEXT,__text) non-external _atom2str.cold.4
00000001836d3d8c (__TEXT,__text) non-external _atom2str.cold.5
00000001836d3db8 (__TEXT,__text) non-external _atom2str.cold.6
00000001836d3de4 (__TEXT,__text) non-external _atom2str.cold.7
00000001836d3e10 (__TEXT,__text) non-external _atom2str.cold.8
00000001836ad294 (__TEXT,__text) non-external _backchar
00000001836b24e4 (__TEXT,__text) non-external _backtrace_pop
00000001836d3c2c (__TEXT,__text) non-external _backtrace_pop.cold.1
00000001836aba5c (__TEXT,__text) non-external _backtrace_push
00000001836cbaf8 (__TEXT,__text) non-external _bitmask_extend
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bsearch_b (from libSystem)
00000001836c85ac (__TEXT,__text) non-external (was a private external) _bt_pointer_code
00000001836c85e0 (__TEXT,__text) non-external (was a private external) _bt_pointer_col
00000001836c85d4 (__TEXT,__text) non-external (was a private external) _bt_pointer_line
00000001836c85b8 (__TEXT,__text) non-external (was a private external) _bt_pointer_name
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
00000001836bf658 (__TEXT,__text) non-external _can_combine_conjunction
00000001836bf5a4 (__TEXT,__text) non-external _can_combine_disjunction
00000001836c135c (__TEXT,__text) non-external _candidate_list_remove
00000001836c43a0 (__TEXT,__text) non-external _candidate_set_release
00000001836b3270 (__TEXT,__text) non-external _car
00000001836b32d4 (__TEXT,__text) non-external _cdr
00000001836c4ab4 (__TEXT,__text) non-external _check_dependencies
00000001836cfa20 (__TEXT,__text) non-external _check_instruction
00000001836cfb48 (__TEXT,__text) non-external _check_policy
00000001836d2e68 (__TEXT,__text) non-external _collect_filters_into_syscallmask
00000001836cee38 (__TEXT,__text) non-external _combine_conditions
00000001836a7cc4 (__TEXT,__text) non-external _compile
00000001836b41c4 (__TEXT,__text) non-external _compute_cost_estimate
00000001836b3e84 (__TEXT,__text) non-external _compute_hash
00000001836cdbe0 (__TEXT,__text) non-external _compute_hash.232
00000001836b7c74 (__TEXT,__text) non-external _condition_free_callback
00000001836c3c58 (__TEXT,__text) non-external _condition_with_patterns_combined
00000001836caad8 (__TEXT,__text) non-external _connect_to_sandboxd_and_call
00000001836bab44 (__TEXT,__text) non-external _construct_automaton
00000001836c451c (__TEXT,__text) non-external _create_pattern_disjunctions
00000001836bfd40 (__TEXT,__text) non-external _cse
00000001836c00b0 (__TEXT,__text) non-external _cse_inferior_list
00000001836bff44 (__TEXT,__text) non-external _cse_multiple
00000001836c1b78 (__TEXT,__text) non-external _dce
00000001836b5678 (__TEXT,__text) non-external _decorate_condition
00000001836b1e9c (__TEXT,__text) non-external _decorate_operation
00000001836ce668 (__TEXT,__text) non-external _die_die_die
                 (undefined) external _dispatch_once (from libSystem)
00000001dd50e330 (__AUTH_CONST,__const) non-external _dispatch_table
00000001836bda0c (__TEXT,__text) non-external _dump_stack_restore
00000001836bd994 (__TEXT,__text) non-external _dump_stack_stash
00000001836cd514 (__TEXT,__text) non-external _eliminate_common_subexpressions_policy
00000001836c1a3c (__TEXT,__text) non-external _eliminate_dead_code
00000001836ce32c (__TEXT,__text) non-external _eliminate_dead_code_policy
00000001836c6b68 (__TEXT,__text) non-external _emit
00000001836c57c0 (__TEXT,__text) non-external _emit_instruction
00000001836cc650 (__TEXT,__text) non-external _emit_modifier_descriptor
00000001836c6f68 (__TEXT,__text) non-external _emit_string
00000001836c672c (__TEXT,__text) non-external _encode_address
00000001836ba468 (__TEXT,__text) non-external _end_expression
00000001836b09b0 (__TEXT,__text) non-external _eqv
00000001836c15dc (__TEXT,__text) non-external _expand_logical_conditions
00000001836cefa8 (__TEXT,__text) non-external _expand_logical_conditions_policy
00000001836ce850 (__TEXT,__text) non-external _factor_policy
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fileno (from libSystem)
00000001836ab204 (__TEXT,__text) non-external (was a private external) _fill_vector
00000001d44d35f8 (__DATA_CONST,__const) non-external _filter_info
00000001836ab170 (__TEXT,__text) non-external _find_consecutive_cells
00000001836ae838 (__TEXT,__text) non-external _find_slot_in_env
00000001836ba904 (__TEXT,__text) non-external _fixup_unanchored_operand
                 (undefined) external _flockfile (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
00000001836aa014 (__TEXT,__text) non-external _free_bytes_in_buffer
                 (undefined) external _fseeko (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _ftello (from libSystem)
                 (undefined) external _funlockfile (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
00000001836f6228 (__TEXT,__const) non-external _gLatinCaseFold
00000001836f6428 (__TEXT,__const) non-external _gLowerCaseTable
00000001836b1ff0 (__TEXT,__text) non-external _gc
00000001836b1250 (__TEXT,__text) non-external (was a private external) _gc_protect
00000001836b1474 (__TEXT,__text) non-external (was a private external) _gc_unprotect
00000001836d3c00 (__TEXT,__text) non-external _gc_unprotect.cold.1
00000001836d293c (__TEXT,__text) non-external _generate_syscallmask
00000001836b0870 (__TEXT,__text) non-external (was a private external) _gensym
00000001836d3bd4 (__TEXT,__text) non-external _gensym.cold.1
00000001836ab310 (__TEXT,__text) non-external _get_cell
00000001836c6af4 (__TEXT,__text) non-external _get_current_data_address
00000001836ad0f0 (__TEXT,__text) non-external _inchar
00000001836e7259 (__TEXT,__const) non-external _init_scm
00000001836ca4ac (__TEXT,__text) non-external _inspect_iterate_items
00000001836b0498 (__TEXT,__text) non-external _is_any
00000001836c8598 (__TEXT,__text) non-external (was a private external) _is_bt_pointer
00000001836b7c60 (__TEXT,__text) non-external (was a private external) _is_character
00000001836c863c (__TEXT,__text) non-external (was a private external) _is_closure
00000001836c8664 (__TEXT,__text) non-external (was a private external) _is_continuation
00000001836c868c (__TEXT,__text) non-external (was a private external) _is_environment
00000001836c8614 (__TEXT,__text) non-external (was a private external) _is_foreign
00000001836c8628 (__TEXT,__text) non-external (was a private external) _is_foreign_block
00000001836b5724 (__TEXT,__text) non-external (was a private external) _is_foreign_object
00000001836b346c (__TEXT,__text) non-external (was a private external) _is_integer
00000001836c8650 (__TEXT,__text) non-external (was a private external) _is_macro
00000001836b3ac0 (__TEXT,__text) non-external _is_nonneg
00000001836c969c (__TEXT,__text) non-external _is_num_integer
00000001836b0958 (__TEXT,__text) non-external (was a private external) _is_number
00000001836af400 (__TEXT,__text) non-external (was a private external) _is_pair
00000001836c85ec (__TEXT,__text) non-external (was a private external) _is_port
00000001836bd260 (__TEXT,__text) non-external _is_position_at_end_of_sequence
00000001836c8600 (__TEXT,__text) non-external (was a private external) _is_proc
00000001836c8678 (__TEXT,__text) non-external (was a private external) _is_promise
00000001836b3aac (__TEXT,__text) non-external (was a private external) _is_string
00000001836b3cdc (__TEXT,__text) non-external (was a private external) _is_symbol
00000001836d2e14 (__TEXT,__text) non-external _is_unmodified_allow_instruction
00000001836c84f4 (__TEXT,__text) non-external (was a private external) _is_vector
                 (undefined) external _isalnum (from libSystem)
                 (undefined) external _isalpha (from libSystem)
                 (undefined) external _isblank (from libSystem)
                 (undefined) external _iscntrl (from libSystem)
                 (undefined) external _isdigit (from libSystem)
                 (undefined) external _isgraph (from libSystem)
                 (undefined) external _islower (from libSystem)
                 (undefined) external _isprint (from libSystem)
                 (undefined) external _ispunct (from libSystem)
                 (undefined) external _isspace (from libSystem)
                 (undefined) external _isupper (from libSystem)
                 (undefined) external _isxdigit (from libSystem)
00000001836b3474 (__TEXT,__text) non-external (was a private external) _ivalue
00000001836b7980 (__TEXT,__text) non-external _list_cost_estimate
00000001836b7b98 (__TEXT,__text) non-external _list_star
00000001836ceb24 (__TEXT,__text) non-external _lookup_filter_info
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_good_size (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
00000001836b2334 (__TEXT,__text) non-external _mark
                 (undefined) external _matchCombine (from libMatch)
                 (undefined) external _matchCompile (from libMatch)
                 (undefined) external _matchExec (from libMatch)
                 (undefined) external _matchFree (from libMatch)
                 (undefined) external _matchInit (from libMatch)
                 (undefined) external _matchPack (from libMatch)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmem (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mergesort_b (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
00000001836ae5e4 (__TEXT,__text) non-external _mk_atom
00000001836bd120 (__TEXT,__text) non-external (was a private external) _mk_counted_string
00000001836b15d0 (__TEXT,__text) non-external (was a private external) _mk_foreign_block
00000001836b1618 (__TEXT,__text) non-external (was a private external) _mk_foreign_func
00000001836b56e8 (__TEXT,__text) non-external (was a private external) _mk_foreign_object
00000001836b1efc (__TEXT,__text) non-external (was a private external) _mk_integer
00000001836af1bc (__TEXT,__text) non-external _mk_sharp_const
00000001836c83b0 (__TEXT,__text) non-external _mk_sharp_integer
00000001836ab610 (__TEXT,__text) non-external (was a private external) _mk_string
00000001836ab3c4 (__TEXT,__text) non-external (was a private external) _mk_symbol
00000001836aafbc (__TEXT,__text) non-external _mk_vector
00000001836d3c58 (__TEXT,__text) non-external _mk_vector.cold.1
00000001d44d4158 (__DATA_CONST,__const) non-external _modifier_info
00000001836bd2b4 (__TEXT,__text) non-external _move_to_next_node
00000001836d10c0 (__TEXT,__text) non-external _msgfilter_free_callback
00000001836bf9c4 (__TEXT,__text) non-external _negate_instruction
00000001d44d3558 (__DATA_CONST,__const) non-external _network_filter_constants
00000001836ab260 (__TEXT,__text) non-external _new_frame_in_env
00000001836ab710 (__TEXT,__text) non-external _new_slot_spec_in_env
00000001836b096c (__TEXT,__text) non-external _num_eq
00000001836b7c14 (__TEXT,__text) non-external _num_ge
00000001836bd184 (__TEXT,__text) non-external _num_gt
00000001836c8550 (__TEXT,__text) non-external _num_le
00000001836c8508 (__TEXT,__text) non-external _num_lt
00000001db982b30 (__DATA_DIRTY,__bss) non-external _num_one
00000001db982b20 (__DATA_DIRTY,__bss) non-external _num_zero
00000001836b5738 (__TEXT,__text) non-external (was a private external) _objvalue
00000001836ab4dc (__TEXT,__text) non-external _oblist_add_by_name
00000001836ab41c (__TEXT,__text) non-external _oblist_find_by_name
00000001836ba4f4 (__TEXT,__text) non-external _op_concat
