00000001d5a96d78 (__DATA,__data) non-external _C
000000018034b2d0 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
000000018032d53c (__TEXT,__text) external _catclose
00000001d3911cf0 (__DATA_CONST,__const) non-external _categories
000000018032d240 (__TEXT,__text) external _catgets
000000018032cb5c (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
000000018032464c (__TEXT,__text) external _cfgetispeed
00000001802f304c (__TEXT,__text) external _cfgetospeed
0000000180324678 (__TEXT,__text) external _cfmakeraw
0000000180324660 (__TEXT,__text) external _cfsetispeed
0000000180324654 (__TEXT,__text) external _cfsetospeed
000000018032466c (__TEXT,__text) external _cfsetspeed
0000000180320898 (__TEXT,__text) external _cgetcap
0000000180321078 (__TEXT,__text) external _cgetclose
0000000180320924 (__TEXT,__text) external _cgetent
0000000180321008 (__TEXT,__text) external _cgetfirst
0000000180320f90 (__TEXT,__text) external _cgetmatch
00000001803210c4 (__TEXT,__text) external _cgetnext
0000000180321844 (__TEXT,__text) external _cgetnum
0000000180320808 (__TEXT,__text) external _cgetset
000000018032147c (__TEXT,__text) external _cgetstr
000000018032174c (__TEXT,__text) external _cgetustr
0000000180326238 (__TEXT,__text) non-external _chainsearch
000000018034c828 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
00000001802fbfc4 (__TEXT,__text) non-external _check_env_var
00000001802e93c8 (__TEXT,__text) non-external _chmodx1
00000001802e938c (__TEXT,__text) external _chmodx_np
00000001802e95ec (__TEXT,__text) non-external _chmodx_syscall
000000018032d690 (__TEXT,__text) external _clearerr
000000018032d6d4 (__TEXT,__text) external _clearerr_unlocked
00000001802f80a4 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180305954 (__TEXT,__text) external _clock_getres
00000001802e12f0 (__TEXT,__text) external _clock_gettime
00000001802d44e0 (__TEXT,__text) external _clock_gettime_nsec_np
00000001d6c262fc (__DATA_DIRTY,__common) external _clock_port
00000001d6c262f8 (__DATA_DIRTY,__common) external _clock_sem
00000001803059f8 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802e8600 (__TEXT,__text) non-external _close_directory
00000001802d97ec (__TEXT,__text) external _closedir
00000001d39122f8 (__DATA_CONST,__const) non-external _cnames
0000000180319904 (__TEXT,__text) non-external _collect_data
0000000180319abc (__TEXT,__text) non-external _collect_key
000000018034cd1a (__TEXT,__const) non-external _command_substitution_str
00000001802fbdcc (__TEXT,__text) external _compat_mode
00000001802d8d84 (__TEXT,__text) external _confstr
00000001d5a97ee8 (__DATA,__bss) non-external _constdatablock
0000000180311e38 (__TEXT,__text) external _copy_printf_domain
00000001802ff07c (__TEXT,__text) external _creat
0000000180313dac (__TEXT,__text) external _creat$NOCANCEL
0000000180308360 (__TEXT,__text) external _crypt
00000001d5a97ed0 (__DATA,__bss) non-external _cryptresult
000000018031ecb4 (__TEXT,__text) external _ctermid
00000001d5a96db8 (__DATA,__data) non-external _ctermid.def
000000018031ecdc (__TEXT,__text) external _ctermid_r
00000001802fcc3c (__TEXT,__text) external _ctime
00000001802f1750 (__TEXT,__text) external _ctime_r
00000001d5a96efc (__DATA,__data) non-external _current_categories
00000001802f3054 (__TEXT,__text) non-external _currentlocale
00000001d5a98a20 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001d5a98088 (__DATA,__bss) non-external _curshell
000000018031ecfc (__TEXT,__text) external _daemon
00000001d5a970a8 (__DATA,__data) non-external _dash_prefix
00000001d6c26318 (__DATA_DIRTY,__common) external _daylight
000000018031bc54 (__TEXT,__text) external _dbm_clearerr
000000018031ba9c (__TEXT,__text) external _dbm_close
000000018031bbd0 (__TEXT,__text) external _dbm_delete
000000018031bc64 (__TEXT,__text) external _dbm_dirfno
000000018031bc48 (__TEXT,__text) external _dbm_error
000000018031baa4 (__TEXT,__text) external _dbm_fetch
000000018031baec (__TEXT,__text) external _dbm_firstkey
000000018031bb58 (__TEXT,__text) external _dbm_nextkey
000000018031b9b0 (__TEXT,__text) external _dbm_open
000000018031bc08 (__TEXT,__text) external _dbm_store
0000000180317dcc (__TEXT,__text) external _dbopen
00000001d5a98748 (__DATA,__bss) non-external _dbp
00000001d5a98048 (__DATA,__bss) non-external _decpreg
000000018034ce2c (__TEXT,__const) non-external _degrees
0000000180303804 (__TEXT,__text) external _devname
00000001d5a97fa8 (__DATA,__bss) non-external _devname.buf
000000018030387c (__TEXT,__text) external _devname_r
00000001802fdf04 (__TEXT,__text) external _difftime
000000018030da90 (__TEXT,__text) external _digittoint
000000018030dd88 (__TEXT,__text) external _digittoint_l
00000001802fe698 (__TEXT,__text) external _dirfd
0000000180300218 (__TEXT,__text) external _dirname
00000001d5a986e0 (__DATA,__bss) non-external _dirname.dname
00000001802f7c28 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00000001802fbd9c (__TEXT,__text) external _div
00000001d5a96c78 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
0000000180325634 (__TEXT,__text) non-external _do_hvis
0000000180325770 (__TEXT,__text) non-external _do_mvis
00000001802f65a8 (__TEXT,__text) non-external _do_svis
00000001802ff1d8 (__TEXT,__text) external _dprintf
000000018032d6e4 (__TEXT,__text) external _dprintf_l
00000001802fa970 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802e6220 (__TEXT,__text) external _duplocale
0000000180311a88 (__TEXT,__text) external _dxprintf
00000001803121d8 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018033dbe4 (__TEXT,__text) external _ecvt
00000001d5a98830 (__DATA,__bss) non-external _empty
00000001d5a98840 (__DATA,__bss) non-external _empty
00000001d5a98854 (__DATA,__bss) non-external _empty
00000001803090c0 (__TEXT,__text) external _encrypt
000000018030c848 (__TEXT,__text) non-external _end_asl
000000018030c888 (__TEXT,__text) non-external _end_file
00000001d5a970e8 (__DATA,__data) non-external _end_ptr
000000018030ae8c (__TEXT,__text) external _endttyent
000000018030b1dc (__TEXT,__text) external _endusershell
0000000180342730 (__TEXT,__text) external _endutxent
000000018030c6a4 (__TEXT,__text) external _endutxent_wtmp
000000018033a7e4 (__TEXT,__text) external _environ_lock_np
00000001d6c24a68 (__DATA_DIRTY,__bss) non-external _environ_pointer
000000018033a7f4 (__TEXT,__text) external _environ_unlock_np
00000001802de9b0 (__TEXT,__text) non-external _eofread
0000000180336fec (__TEXT,__text) non-external _eofread
000000018031ee90 (__TEXT,__text) external _erand48
0000000180348d30 (__TEXT,__text) external _err
0000000180321f14 (__TEXT,__text) non-external _err_aborted
000000018031f06c (__TEXT,__text) external _err_set_exit
000000018031f0c4 (__TEXT,__text) external _err_set_exit_b
000000018031f04c (__TEXT,__text) external _err_set_file
0000000180348e98 (__TEXT,__text) external _errc
0000000180348eb8 (__TEXT,__text) external _errx
000000018034c308 (__TEXT,__const) non-external _escape
000000018031f120 (__TEXT,__text) external _execl
000000018031f210 (__TEXT,__text) external _execle
000000018031f308 (__TEXT,__text) external _execlp
000000018031f458 (__TEXT,__text) external _execv
000000018031f494 (__TEXT,__text) external _execvP
000000018031f4e0 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018031f3f4 (__TEXT,__text) external _execvp
00000001802f9cf4 (__TEXT,__text) external _exit
00000001803113b4 (__TEXT,__text) non-external _extract_next_subsystem_root_path
000000018032dde8 (__TEXT,__text) external _f_prealloc
00000001803063e4 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802e9604 (__TEXT,__text) external _fchmodx_np
00000001802e9640 (__TEXT,__text) non-external _fchmodx_syscall
00000001802f0d50 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018033ddb0 (__TEXT,__text) external _fcvt
00000001802fb854 (__TEXT,__text) external _fdopen
00000001802f3adc (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180322308 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180304664 (__TEXT,__text) external _feof
000000018032d710 (__TEXT,__text) external _feof_unlocked
00000001802fe010 (__TEXT,__text) external _ferror
000000018032d71c (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
000000018031b930 (__TEXT,__text) non-external _fetch_bitmap
000000018030b884 (__TEXT,__text) external _fflagstostr
00000001802e2738 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00000001802fe6c8 (__TEXT,__text) external _fgetc
0000000180302b88 (__TEXT,__text) external _fgetln
000000018032d764 (__TEXT,__text) external _fgetpos
0000000180312ea4 (__TEXT,__text) external _fgetrune
00000001d5a986bc (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001802f0c1c (__TEXT,__text) external _fgets
000000018032d794 (__TEXT,__text) external _fgetwc
000000018032d920 (__TEXT,__text) external _fgetwc_l
000000018032da84 (__TEXT,__text) external _fgetwln
000000018032d9a8 (__TEXT,__text) external _fgetwln_l
000000018032dc80 (__TEXT,__text) external _fgetws
000000018032daa8 (__TEXT,__text) external _fgetws_l
00000001d6c24810 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001802e7204 (__TEXT,__text) external _fileno
000000018032dca4 (__TEXT,__text) external _fileno_unlocked
00000001802e06f4 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001802e92fc (__TEXT,__text) external _filesec_dup
00000001802e0a98 (__TEXT,__text) external _filesec_free
00000001802e073c (__TEXT,__text) external _filesec_get_property
00000001802e04a4 (__TEXT,__text) external _filesec_init
0000000180309944 (__TEXT,__text) external _filesec_query_property
00000001802e04c8 (__TEXT,__text) external _filesec_set_property
0000000180304a74 (__TEXT,__text) external _filesec_unset_property
00000001802e7434 (__TEXT,__text) non-external _find_temp_path
00000001802f99c4 (__TEXT,__text) non-external _first_wday_of
00000001802e2798 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
0000000180318c50 (__TEXT,__text) non-external _flush_meta
0000000180341e10 (__TEXT,__text) non-external _flush_queues
00000001803398f8 (__TEXT,__text) external _fmemopen
0000000180339c38 (__TEXT,__text) non-external _fmemopen_close
0000000180339ac8 (__TEXT,__text) non-external _fmemopen_read
0000000180339bb0 (__TEXT,__text) non-external _fmemopen_seek
0000000180339b24 (__TEXT,__text) non-external _fmemopen_write
00000001d3911ea8 (__DATA_CONST,__const) non-external _fmt_padding
00000001802fb2d8 (__TEXT,__text) external _fmtcheck
000000018031f8bc (__TEXT,__text) external _fmtmsg
00000001802fc4b4 (__TEXT,__text) external _fnmatch
00000001802e2ca4 (__TEXT,__text) external _fopen
0000000180347ca8 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001802f5958 (__TEXT,__text) external _fork
00000001802f5620 (__TEXT,__text) external _forkpty
0000000180302888 (__TEXT,__text) external _fparseln
000000018034bfbc (__TEXT,__const) non-external _fparseln.dstr
00000001802e4434 (__TEXT,__text) external _fprintf
000000018032de74 (__TEXT,__text) external _fprintf_l
00000001d5a970d8 (__DATA,__data) non-external _fptr
000000018032dea0 (__TEXT,__text) external _fpurge
0000000180303dd8 (__TEXT,__text) external _fputc
0000000180313094 (__TEXT,__text) external _fputrune
00000001d5a986c4 (__DATA,__bss) non-external _fputrune.warn_depreciated
00000001802fe478 (__TEXT,__text) external _fputs
000000018032e024 (__TEXT,__text) external _fputwc
000000018032e0a8 (__TEXT,__text) external _fputwc_l
000000018032e290 (__TEXT,__text) external _fputws
000000018032e13c (__TEXT,__text) external _fputws_l
00000001802e7138 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180311c08 (__TEXT,__text) external _free_printf_comp
0000000180311ee8 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001802e678c (__TEXT,__text) external _freelocale
000000018032e460 (__TEXT,__text) external _freopen
000000018032e778 (__TEXT,__text) external _fscanf
000000018032e7f0 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802e6b08 (__TEXT,__text) external _fseek
00000001802e6b90 (__TEXT,__text) external _fseeko
000000018032e878 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180308014 (__TEXT,__text) external _fstatvfs
0000000180312d20 (__TEXT,__text) external _fstatx_np
00000001802e95fc (__TEXT,__text) non-external _fstatx_syscall
00000001d5a96cd8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001803139e8 (__TEXT,__text) external _fsync_volume_np
00000001802e7198 (__TEXT,__text) external _ftell
00000001802e6fa8 (__TEXT,__text) external _ftello
0000000180337628 (__TEXT,__text) external _ftime
00000001803205e4 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018032d61c (__TEXT,__text) external _ftrylockfile
00000001802e4150 (__TEXT,__text) non-external _fts_alloc
00000001802e796c (__TEXT,__text) non-external _fts_build
0000000180348470 (__TEXT,__text) non-external _fts_build.cold.1
000000018034848c (__TEXT,__text) non-external _fts_build.cold.2
00000001803484a8 (__TEXT,__text) non-external _fts_build.cold.3
00000001803484c4 (__TEXT,__text) non-external _fts_build.cold.4
00000001803484e0 (__TEXT,__text) non-external _fts_build.cold.5
00000001803484fc (__TEXT,__text) non-external _fts_build.cold.6
000000018030a374 (__TEXT,__text) external _fts_children
0000000180309b40 (__TEXT,__text) external _fts_close
0000000180309cb8 (__TEXT,__text) non-external _fts_fchdir
0000000180309c64 (__TEXT,__text) non-external _fts_free
000000018030a298 (__TEXT,__text) non-external _fts_load
00000001803099f4 (__TEXT,__text) external _fts_open
0000000180309a8c (__TEXT,__text) external _fts_open_b
00000001802e40d0 (__TEXT,__text) non-external _fts_palloc
0000000180309cd0 (__TEXT,__text) external _fts_read
00000001802e8460 (__TEXT,__text) non-external _fts_safe_changedir
000000018030a33c (__TEXT,__text) external _fts_set
000000018030a4e4 (__TEXT,__text) non-external _fts_sort
00000001802e41f0 (__TEXT,__text) non-external _fts_stat2
000000018030b2d0 (__TEXT,__text) external _ftw
0000000180312fdc (__TEXT,__text) external _fungetrune
00000001d5a986c0 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001802e2948 (__TEXT,__text) external _funlockfile
00000001802f8008 (__TEXT,__text) external _funopen
000000018032e884 (__TEXT,__text) external _fwide
000000018032e8f0 (__TEXT,__text) external _fwprintf
000000018032e940 (__TEXT,__text) external _fwprintf_l
00000001802f2db0 (__TEXT,__text) external _fwrite
000000018032e96c (__TEXT,__text) external _fwscanf
000000018032e9bc (__TEXT,__text) external _fwscanf_l
0000000180311ac4 (__TEXT,__text) external _fxprintf
0000000180312218 (__TEXT,__text) external _fxprintf_exec
00000001d5a96c30 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180321e64 (__TEXT,__text) non-external _g_opendir
0000000180321db8 (__TEXT,__text) non-external _g_stat
000000018033ddb8 (__TEXT,__text) external _gcvt
00000001802e58a8 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001d6c24a98 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001d6c24390 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00000001803070d8 (__TEXT,__text) non-external _generalSlowpath
0000000180348208 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180348394 (__TEXT,__text) non-external _generalSlowpath.cold.10
00000001803483c0 (__TEXT,__text) non-external _generalSlowpath.cold.11
00000001803483ec (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180348418 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180348234 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180348260 (__TEXT,__text) non-external _generalSlowpath.cold.3
000000018034828c (__TEXT,__text) non-external _generalSlowpath.cold.4
00000001803482b8 (__TEXT,__text) non-external _generalSlowpath.cold.5
00000001803482e4 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180348310 (__TEXT,__text) non-external _generalSlowpath.cold.7
000000018034833c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180348368 (__TEXT,__text) non-external _generalSlowpath.cold.9
000000018030c8d0 (__TEXT,__text) non-external _get_asl
00000001d5a98120 (__DATA,__bss) non-external _get_asl.utx
00000001d5a9867c (__DATA,__bss) non-external _get_clock.adjustment
00000001d5a98690 (__DATA,__bss) non-external _get_clock.clock_seq
00000001d5a98680 (__DATA,__bss) non-external _get_clock.last
000000018030cc40 (__TEXT,__text) non-external _get_file
00000001d5a983a0 (__DATA,__bss) non-external _get_file.ux
00000001802fb358 (__TEXT,__text) non-external _get_next_format
00000001802fb4ec (__TEXT,__text) non-external _get_next_format_from_precision
00000001802fb48c (__TEXT,__text) non-external _get_next_format_from_width
000000018033e308 (__TEXT,__text) non-external _getargs
000000018033ee38 (__TEXT,__text) non-external _getargs
000000018033f8e4 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018032bb94 (__TEXT,__text) non-external _getbits
000000018034c9c9 (__TEXT,__const) non-external _getbits.digits
000000018032064c (__TEXT,__text) external _getbsize
00000001d5a98710 (__DATA,__bss) non-external _getbsize.header
000000018030445c (__TEXT,__text) external _getc
000000018032e9e8 (__TEXT,__text) external _getc_unlocked
000000018032ea14 (__TEXT,__text) external _getchar
000000018032ea80 (__TEXT,__text) external _getchar_unlocked
00000001802fa1ec (__TEXT,__text) external _getcwd
0000000180311524 (__TEXT,__text) external _getdate
00000001d5a98628 (__DATA,__bss) non-external _getdate.tm
00000001d5a98d4c (__DATA,__common) external _getdate_err
00000001802fe0b4 (__TEXT,__text) external _getdelim
0000000180309208 (__TEXT,__text) external _getdiskbyname
00000001d5a97fb0 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180320958 (__TEXT,__text) non-external _getent
00000001802d43b0 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180347db4 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
0000000180313db8 (__TEXT,__text) external _gethostid
00000001802e86bc (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
000000018032c818 (__TEXT,__text) external _getipv4sourcefilter
000000018034952c (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180349558 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180349584 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
000000018030bd0c (__TEXT,__text) external _getlastlogx
000000018030be10 (__TEXT,__text) external _getlastlogxbyname
00000001802fe0a8 (__TEXT,__text) external _getline
000000018030a5cc (__TEXT,__text) external _getloadavg
0000000180304360 (__TEXT,__text) external _getlogin
00000001803043ac (__TEXT,__text) non-external _getlogin_basic
0000000180321914 (__TEXT,__text) external _getlogin_r
0000000180321998 (__TEXT,__text) external _getmntinfo
00000001d5a98758 (__DATA,__bss) non-external _getmntinfo.vars
00000001802df5f0 (__TEXT,__text) non-external _getmntinfo_internal
00000001803219d0 (__TEXT,__text) external _getmntinfo_r_np
00000001803236f4 (__TEXT,__text) external _getmode
00000001802db22c (__TEXT,__text) non-external _getoffset
00000001802fb058 (__TEXT,__text) external _getopt
00000001d5a97088 (__DATA,__data) non-external _getopt.place
00000001802fa9f8 (__TEXT,__text) non-external _getopt_internal
0000000180349b78 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001d5a97090 (__DATA,__data) non-external _getopt_internal.posixly_correct
00000001802fa9f0 (__TEXT,__text) external _getopt_long
00000001803053e4 (__TEXT,__text) external _getopt_long_only
00000001802e0ba0 (__TEXT,__text) external _getpagesize
00000001d6c24ab8 (__DATA_DIRTY,__bss) non-external _getpagesize.value
0000000180323348 (__TEXT,__text) external _getpass
00000001d5a987f0 (__DATA,__bss) non-external _getpass.buf
0000000180321a38 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001802df6bc (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802db500 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
000000018032eab8 (__TEXT,__text) external _gets
000000018034c9d4 (__TEXT,__const) non-external _gets.w
00000001d5a98a94 (__DATA,__bss) non-external _gets.warned
00000001802db27c (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018032c9e8 (__TEXT,__text) external _getsourcefilter
000000018033a914 (__TEXT,__text) external _getsubopt
00000001802d9ce8 (__TEXT,__text) external _gettimeofday
00000001d5a986b4 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001d5a986b8 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001d5a986b0 (__DATA,__bss) non-external _gettimeofday.validtz
000000018030a7f8 (__TEXT,__text) external _getttyent
00000001d5a98000 (__DATA,__bss) non-external _getttyent.line
00000001d39114d8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001d5a97fc0 (__DATA,__bss) non-external _getttyent.tty
000000018030a69c (__TEXT,__text) external _getttynam
0000000180309884 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
000000018030afa0 (__TEXT,__text) external _getusershell
00000001803433a8 (__TEXT,__text) external _getutmp
00000001803433dc (__TEXT,__text) external _getutmpx
0000000180342a4c (__TEXT,__text) external _getutxent
000000018030c6b0 (__TEXT,__text) external _getutxent_wtmp
0000000180342c40 (__TEXT,__text) external _getutxid
0000000180342d48 (__TEXT,__text) external _getutxline
000000018034c9be (__TEXT,__const) non-external _getv4.digits
00000001803046c0 (__TEXT,__text) external _getvfsbyname
000000018032eba0 (__TEXT,__text) external _getw
000000018032ebe0 (__TEXT,__text) external _getwc
000000018032ec04 (__TEXT,__text) external _getwc_l
000000018032ec08 (__TEXT,__text) external _getwchar
000000018032ec38 (__TEXT,__text) external _getwchar_l
0000000180313e44 (__TEXT,__text) external _getwd
00000001802db17c (__TEXT,__text) non-external _getzname
0000000180321ac4 (__TEXT,__text) external _glob
00000001802fcf34 (__TEXT,__text) non-external _glob0
00000001802fd424 (__TEXT,__text) non-external _glob2
0000000180321adc (__TEXT,__text) external _glob_b
0000000180321af4 (__TEXT,__text) non-external _globexp1
00000001802fddfc (__TEXT,__text) non-external _globfinal
00000001802fdea0 (__TEXT,__text) external _globfree
000000018034cc1c (__TEXT,__const) non-external _gmt
00000001802f8214 (__TEXT,__text) non-external _gmt_init
00000001d5a97058 (__DATA,__data) non-external _gmt_notify
00000001d5a97060 (__DATA,__data) non-external _gmt_once
00000001802fe72c (__TEXT,__text) external _gmtime
00000001d5a98c20 (__DATA,__bss) non-external _gmtime_key
00000001d5a98c1c (__DATA,__bss) non-external _gmtime_key_error
00000001802fe7fc (__TEXT,__text) non-external _gmtime_key_init
00000001d5a97048 (__DATA,__data) non-external _gmtime_once
00000001802f8164 (__TEXT,__text) external _gmtime_r
00000001802f829c (__TEXT,__text) non-external _gmtload
00000001d5a98c60 (__DATA,__bss) non-external _gmtptr
00000001802f8170 (__TEXT,__text) non-external _gmtsub
000000018034cd6d (__TEXT,__const) non-external _gnuoptchar
00000001d5a98738 (__DATA,__bss) non-external _gottoprec
00000001802f5858 (__TEXT,__text) external _grantpt
0000000180331618 (__TEXT,__text) non-external _grouping_init
00000001803349ac (__TEXT,__text) non-external _grouping_init
00000001803316e0 (__TEXT,__text) non-external _grouping_print
0000000180334c10 (__TEXT,__text) non-external _grouping_print
0000000180323334 (__TEXT,__text) non-external _handler
000000018031a278 (__TEXT,__text) non-external _hash4
0000000180318e08 (__TEXT,__text) non-external _hash_access
00000001803185f4 (__TEXT,__text) non-external _hash_close
000000018033d1c0 (__TEXT,__text) external _hash_create
0000000180318638 (__TEXT,__text) non-external _hash_delete
000000018033d230 (__TEXT,__text) external _hash_destroy
00000001803186bc (__TEXT,__text) non-external _hash_fd
00000001803186f4 (__TEXT,__text) non-external _hash_get
000000018033d490 (__TEXT,__text) external _hash_purge
000000018031875c (__TEXT,__text) non-external _hash_put
000000018033d308 (__TEXT,__text) external _hash_search
00000001803187e8 (__TEXT,__text) non-external _hash_seq
000000018033d514 (__TEXT,__text) external _hash_stats
0000000180318a30 (__TEXT,__text) non-external _hash_sync
000000018033d414 (__TEXT,__text) external _hash_traverse
000000018033aa88 (__TEXT,__text) external _hcreate
00000001803184dc (__TEXT,__text) non-external _hdestroy
000000018033ab58 (__TEXT,__text) external _hdestroy
00000001802df088 (__TEXT,__text) external _heapsort
0000000180300278 (__TEXT,__text) external _heapsort_b
000000018034b368 (__TEXT,__const) non-external _hexdigit
000000018034fc1b (__TEXT,__cstring) non-external _hexlist
00000001d5a98068 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
000000018033abd8 (__TEXT,__text) external _hsearch
00000001d5a98ca8 (__DATA,__bss) non-external _htable
00000001d5a98cb0 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
000000018034cd58 (__TEXT,__const) non-external _illoptchar
000000018034ce0e (__TEXT,__const) non-external _illoptstring
000000018033aca0 (__TEXT,__text) external _imaxabs
000000018033acac (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001802e4aec (__TEXT,__text) external _inet_addr
00000001802e4a98 (__TEXT,__text) external _inet_aton
000000018032af60 (__TEXT,__text) external _inet_lnaof
000000018032af8c (__TEXT,__text) external _inet_makeaddr
000000018032afcc (__TEXT,__text) external _inet_net_ntop
000000018032b4b8 (__TEXT,__text) external _inet_net_pton
0000000180349450 (__TEXT,__text) non-external _inet_net_pton.cold.1
000000018034947c (__TEXT,__text) non-external _inet_net_pton.cold.2
00000001803494a8 (__TEXT,__text) non-external _inet_net_pton.cold.3
000000018034c991 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
000000018034c980 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
000000018034c99c (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
000000018034c9ad (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
000000018032bc28 (__TEXT,__text) external _inet_neta
000000018032bcf8 (__TEXT,__text) external _inet_netof
000000018032bd24 (__TEXT,__text) external _inet_network
