000000019f8f8858 (__TEXT,__text) non-external +[Calculate _lock]
00000001d58e7714 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00000001d58e771c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00000001d58e7724 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00000001d58e7720 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00000001d58e7728 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00000001d58e7754 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00000001d58e7758 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00000001d58e775c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00000001d58e7738 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00000001d58e7748 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00000001d58e7744 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00000001d58e7740 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00000001d58e773c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00000001d58e774c (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00000001d58e7750 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00000001d6dbe668 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Calculate
00000001d6dbe640 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00000001d6dbe5f0 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00000001d6dbe5c8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00000001d6dbe6b8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00000001d6dbe7a8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00000001d6dbe550 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00000001d6dbe2f8 (__AUTH,__objc_data) external _OBJC_METACLASS_$_Converter
00000001d6dbe320 (__AUTH,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00000001d6dbe348 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d6dbe4d8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_Trie
00000001d6dbe4b0 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00000001d6dbe3e8 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00000001d6dbe370 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00000001d6dbe398 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00000001d6dbe410 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00000001d6dbe460 (__AUTH,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
000000019f8d8c14 (__TEXT,__text) non-external _UnitCountAngleUnitID
000000019f8d915c (__TEXT,__text) non-external _UnitCountCompose
000000019f8d8740 (__TEXT,__text) non-external _UnitCountConvert
000000019f8d7f80 (__TEXT,__text) non-external _UnitCountConvertID
000000019f8d8ddc (__TEXT,__text) non-external _UnitCountDecompose
000000019f8d7edc (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
000000019f8d89b8 (__TEXT,__text) non-external _UnitCountMultiply
000000019f8d8b0c (__TEXT,__text) non-external _UnitCountNextSmallestID
000000019f8d8cac (__TEXT,__text) non-external _UnitCountRequireDegrees
000000019f8d8d44 (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001dcb60060 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
000000019f926598 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
000000019f9265e8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
000000019f926618 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
000000019f926650 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
000000019f926668 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
000000019f926680 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
000000019f9266b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
000000019f9266c8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
000000019f926718 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
000000019f926730 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
000000019f926798 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
000000019f9267b0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
000000019f9267d0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
000000019f926880 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
000000019f926b20 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
000000019f926c58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
000000019f926cb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
000000019f926e10 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
000000019f926ed8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
000000019f9270c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
000000019f927228 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
000000019f927240 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
000000019f927360 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
000000019f9273c0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
000000019f927608 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
000000019f9276c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
000000019f927790 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
000000019f927898 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00000001dcb5b8f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00000001dcb5b4d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00000001dcb5b3c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00000001dcb5ba40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00000001dcb5bb10 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00000001dcb5b2b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00000001dcb5bd30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00000001dcb5a1e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00000001dcb5b0b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00000001dcb5afd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00000001dcb5a760 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00000001dcb5a4d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00000001dcb5a5a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00000001dcb5aba8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00000001dcb5ad98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00000001dcb5b9a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00000001dcb5b780 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00000001dcb5b450 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00000001dcb5bac8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00000001dcb5bc78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00000001dcb5b360 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00000001dcb5bed8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00000001dcb5a370 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00000001dcb59e48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001dcb5b220 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00000001dcb5b038 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00000001dcb5aa08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00000001dcb5a560 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00000001dcb5a690 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00000001dcb5acf0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00000001dcb5aee0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00000001dcb59c58 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001dcb59e28 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001dcb59f48 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00000001dcb59e90 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001dcb5a130 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00000001dcb59f30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00000001dcb5a1d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00000001dcb5b9f8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00000001dcb60520 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00000001dcb60490 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00000001dcb60400 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00000001dcb605f8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00000001dcb60688 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00000001dcb60370 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00000001dcb60718 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00000001dcb5ffd0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00000001dcb5a448 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00000001dcb602e0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00000001dcb60298 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00000001dcb60178 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00000001dcb600a0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00000001dcb60130 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00000001dcb601c0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00000001dcb60250 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00000001dcb59c40 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00000001dcb59c48 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00000001dcb60568 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00000001dcb604d8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00000001dcb60448 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00000001dcb603b8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00000001dcb605b0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00000001dcb60640 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00000001dcb60328 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00000001dcb606d0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00000001dcb5ff88 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00000001dcb60018 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00000001dcb5b070 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00000001dcb5af88 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00000001dcb5a718 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00000001dcb5a490 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00000001dcb600e8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00000001dcb5ab60 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00000001dcb60208 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00000001d58e79b8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00000001d58e7a18 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
000000019f8e8f14 (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
000000019f8f891c (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
000000019f9015f0 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
000000019f901734 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
000000019f901fe0 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
000000019f8d65c0 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
000000019f8d63c0 (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
000000019f8ec6b4 (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
000000019f901520 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
000000019f8ec554 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
000000019f8ec404 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
000000019f8ec610 (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
000000019f8f375c (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
000000019f8fb0ec (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
000000019f8fadd4 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
000000019f8faf44 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
000000019f8d5ac4 (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
000000019f8fa298 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
000000019f8faad0 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.130
000000019f8fa3e4 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.133
000000019f8fa620 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.140
000000019f8fa788 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.147
000000019f8fc248 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
000000019f8fc0b4 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.108
000000019f8fbd20 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.95
000000019f8fbb30 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
000000019f8d61bc (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
000000019f8e87d4 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
000000019f8f58ac (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
000000019f8f5a10 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.339
000000019f8ff414 (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
000000019f8f87ac (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
000000019f8f42b4 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.553
000000019f8f4374 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.557
000000019f8f0f6c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.559
000000019f8f1084 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.565
000000019f8f486c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.573
000000019f8f143c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.670
000000019f8f149c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.690
000000019f8f45d8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.698
000000019f8f42a8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.733
000000019f8f1e98 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.757
000000019f8f2048 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.770
000000019f8f222c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.789
000000019f8f49b8 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
000000019f8f4938 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.560
000000019f8f4880 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.566
000000019f8f119c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.580
000000019f8f479c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.691
000000019f8f4538 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.707
000000019f8f1aec (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.740
000000019f8f1824 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
000000019f8f4860 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.665
000000019f8f452c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.716
000000019f8f4088 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.741
000000019f8f1674 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
000000019f8f1c30 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.753
000000019f8d551c (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
000000019f8d5768 (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
000000019f8fffc8 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
000000019f900f9c (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.102
000000019f8f6b60 (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
000000019f8ebe5c (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
000000019f8f3ba4 (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
000000019f8f1484 (__TEXT,__text) non-external ___Block_byref_object_copy_
000000019f8fa3cc (__TEXT,__text) non-external ___Block_byref_object_copy_.552
000000019f8f1494 (__TEXT,__text) non-external ___Block_byref_object_dispose_
000000019f8fa3dc (__TEXT,__text) non-external ___Block_byref_object_dispose_.553
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
000000019f8e8898 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
000000019f8d9db0 (__TEXT,__text) non-external ____functionAdd_block_invoke
000000019f8dacb4 (__TEXT,__text) non-external ____functionMultiply_block_invoke
000000019f9089dc (__TEXT,__text) non-external ___bid128_acos
000000019f908ca8 (__TEXT,__text) non-external ___bid128_add
000000019f90bc7c (__TEXT,__text) non-external ___bid128_asin
000000019f90bf18 (__TEXT,__text) non-external ___bid128_asinh
000000019f90c150 (__TEXT,__text) non-external ___bid128_atan
000000019f90c484 (__TEXT,__text) non-external ___bid128_atanh
000000019f90c830 (__TEXT,__text) non-external ___bid128_cbrt
000000019f90e704 (__TEXT,__text) non-external ___bid128_cos
000000019f90edb8 (__TEXT,__text) non-external ___bid128_div
000000019f9108a8 (__TEXT,__text) non-external ___bid128_exp
000000019f916260 (__TEXT,__text) non-external ___bid128_fmod
000000019f91f6c0 (__TEXT,__text) non-external ___bid128_from_string
000000019f916a18 (__TEXT,__text) non-external ___bid128_hypot
000000019f917f90 (__TEXT,__text) non-external ___bid128_isZero
000000019f9172b0 (__TEXT,__text) non-external ___bid128_lgamma
000000019f917824 (__TEXT,__text) non-external ___bid128_log
000000019f917b14 (__TEXT,__text) non-external ___bid128_log10
000000019f917e04 (__TEXT,__text) non-external ___bid128_mul
000000019f918004 (__TEXT,__text) non-external ___bid128_pow
000000019f90cbdc (__TEXT,__text) non-external ___bid128_quiet_equal
000000019f90cf30 (__TEXT,__text) non-external ___bid128_quiet_greater
000000019f90d528 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
000000019f90db14 (__TEXT,__text) non-external ___bid128_quiet_less
000000019f90e10c (__TEXT,__text) non-external ___bid128_quiet_less_equal
000000019f91b144 (__TEXT,__text) non-external ___bid128_rem
000000019f91b9d4 (__TEXT,__text) non-external ___bid128_round_integral_exact
000000019f91c7f0 (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
000000019f91cbf4 (__TEXT,__text) non-external ___bid128_round_integral_negative
000000019f91cfc8 (__TEXT,__text) non-external ___bid128_round_integral_zero
000000019f91d2d0 (__TEXT,__text) non-external ___bid128_sin
000000019f91d9c8 (__TEXT,__text) non-external ___bid128_sqrt
000000019f90bc5c (__TEXT,__text) non-external ___bid128_sub
000000019f920660 (__TEXT,__text) non-external ___bid128_tan
000000019f921bf8 (__TEXT,__text) non-external ___bid128_to_binary128
000000019f9215cc (__TEXT,__text) non-external ___bid128_to_binary64
000000019f920cd4 (__TEXT,__text) non-external ___bid128_to_int32_int
000000019f91eb84 (__TEXT,__text) non-external ___bid128_to_string
000000019f92126c (__TEXT,__text) non-external ___bid128_to_uint64_int
000000019fa5dff0 (__TEXT,__const) non-external ___bid_Ex128m128
000000019fa5efe0 (__TEXT,__const) non-external ___bid_Ex192m192
000000019fa60be0 (__TEXT,__const) non-external ___bid_Ex256m256
000000019fa5d9f0 (__TEXT,__const) non-external ___bid_Ex64m64
000000019fa5dda0 (__TEXT,__const) non-external ___bid_Kx128
000000019fa5e8e0 (__TEXT,__const) non-external ___bid_Kx192
000000019fa60280 (__TEXT,__const) non-external ___bid_Kx256
000000019fa5d968 (__TEXT,__const) non-external ___bid_Kx64
000000019f934aa0 (__TEXT,__const) non-external ___bid_char_table2
000000019f933ee8 (__TEXT,__const) non-external ___bid_char_table3
000000019fa59ca0 (__TEXT,__const) non-external ___bid_convert_table
000000019fa5cba0 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
000000019fa5b582 (__TEXT,__const) non-external ___bid_factors
000000019fa5e1b0 (__TEXT,__const) non-external ___bid_half128
000000019fa5f280 (__TEXT,__const) non-external ___bid_half192
000000019fa60f68 (__TEXT,__const) non-external ___bid_half256
000000019fa5dac0 (__TEXT,__const) non-external ___bid_half64
000000019fa5e088 (__TEXT,__const) non-external ___bid_mask128
000000019fa5f0c0 (__TEXT,__const) non-external ___bid_mask192
000000019fa60d10 (__TEXT,__const) non-external ___bid_mask256
000000019fa5da38 (__TEXT,__const) non-external ___bid_mask64
000000019f97dc60 (__TEXT,__const) non-external ___bid_maskhigh128
000000019f933330 (__TEXT,__const) non-external ___bid_midi_tbl
000000019fa5dc70 (__TEXT,__const) non-external ___bid_midpoint128
000000019fa5e660 (__TEXT,__const) non-external ___bid_midpoint192
000000019fa60020 (__TEXT,__const) non-external ___bid_midpoint256
000000019fa5d8d0 (__TEXT,__const) non-external ___bid_midpoint64
000000019f930f30 (__TEXT,__const) non-external ___bid_mod10_18_tbl
000000019f97cc20 (__TEXT,__const) non-external ___bid_nr_digits
000000019f97e020 (__TEXT,__const) non-external ___bid_onehalf128
000000019fa5b0a0 (__TEXT,__const) non-external ___bid_packed_10000_zeros
000000019fa5d100 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
000000019fa5cdb0 (__TEXT,__const) non-external ___bid_power10_table_128
