00000001830079e8 (__DATA,__data) non-external _C
0000000180e860fc (__TEXT,__text) external _fmtcheck
0000000180e86614 (__TEXT,__text) external _fmtmsg
0000000180e86ba4 (__TEXT,__text) external _fnmatch
0000000180e9a54c (__TEXT,__text) external _fopen
0000000180ed1640 (__TEXT,__text) external _fopen$DARWIN_EXTSN
0000000180e7749c (__TEXT,__text) external _fork
0000000180e9a708 (__TEXT,__text) external _fprintf
0000000180e9a758 (__TEXT,__text) external _fprintf_l
0000000183008778 (__DATA,__data) non-external _fptr
0000000180e9a784 (__TEXT,__text) external _fpurge
0000000180e9a814 (__TEXT,__text) external _fputc
0000000180e9a8a0 (__TEXT,__text) external _fputs
0000000180e9aadc (__TEXT,__text) external _fputwc
0000000180e9ab5c (__TEXT,__text) external _fputwc_l
0000000180e9ad40 (__TEXT,__text) external _fputws
0000000180e9abec (__TEXT,__text) external _fputws_l
0000000180e9af10 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180e75b14 (__TEXT,__text) external _free_printf_comp
0000000180e75f38 (__TEXT,__text) external _free_printf_domain
0000000180e7476c (__TEXT,__text) external _freelocale
0000000180e9b260 (__TEXT,__text) external _freopen
0000000180e9b690 (__TEXT,__text) external _fscanf
0000000180e9b764 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
0000000180e9b84c (__TEXT,__text) external _fseek
0000000180e9bc54 (__TEXT,__text) external _fseeko
0000000180e9bce0 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
0000000180e6d2d4 (__TEXT,__text) external _fstatvfs
0000000183007388 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
0000000180e77c54 (__TEXT,__text) external _fsync_volume_np
0000000180e9bcec (__TEXT,__text) external _ftell
0000000180e9bcf0 (__TEXT,__text) external _ftello
0000000180eacc6c (__TEXT,__text) external _ftime
0000000180e8784c (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
0000000180e98d84 (__TEXT,__text) external _ftrylockfile
0000000180e6fd04 (__TEXT,__text) non-external _fts_alloc
0000000180e6eebc (__TEXT,__text) non-external _fts_build
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.1
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.2
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.3
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.4
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.5
0000000180ed2980 (__TEXT,__text) non-external _fts_build.cold.6
0000000180e6fb0c (__TEXT,__text) external _fts_children
0000000180e6e724 (__TEXT,__text) external _fts_close
0000000180e6e89c (__TEXT,__text) non-external _fts_fchdir
0000000180e6e848 (__TEXT,__text) non-external _fts_free
0000000180e6fa2c (__TEXT,__text) non-external _fts_load
0000000180e6e350 (__TEXT,__text) external _fts_open
0000000180e6e66c (__TEXT,__text) external _fts_open_b
0000000180e6fc7c (__TEXT,__text) non-external _fts_palloc
0000000180e6e8b4 (__TEXT,__text) external _fts_read
0000000180e6ed10 (__TEXT,__text) non-external _fts_safe_changedir
0000000180e6fad0 (__TEXT,__text) external _fts_set
0000000180e6fdac (__TEXT,__text) non-external _fts_sort
0000000180e6ff20 (__TEXT,__text) non-external _fts_stat2
0000000180e71468 (__TEXT,__text) external _ftw
0000000180e98dcc (__TEXT,__text) external _funlockfile
0000000180e9bed8 (__TEXT,__text) external _funopen
0000000180e9c398 (__TEXT,__text) external _fwide
0000000180e9c400 (__TEXT,__text) external _fwprintf
0000000180e9c450 (__TEXT,__text) external _fwprintf_l
0000000180e9c47c (__TEXT,__text) external _fwrite
0000000180e9c61c (__TEXT,__text) external _fwscanf
0000000180e9c66c (__TEXT,__text) external _fwscanf_l
0000000180e759b8 (__TEXT,__text) external _fxprintf
0000000180e763d0 (__TEXT,__text) external _fxprintf_exec
00000001830071d8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180ebef58 (__TEXT,__text) external _gcvt
0000000180e84358 (__TEXT,__text) non-external _gdtoa_freelist_free
0000000183009728 (__DATA,__bss) non-external _gdtoa_tsd_key
0000000183007fc0 (__DATA,__data) non-external _gdtoa_tsd_lock
0000000180e6c194 (__TEXT,__text) non-external _generalSlowpath
0000000180ed2718 (__TEXT,__text) non-external _generalSlowpath.cold.1
0000000180ed28a4 (__TEXT,__text) non-external _generalSlowpath.cold.10
0000000180ed28d0 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180ed28fc (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180ed2928 (__TEXT,__text) non-external _generalSlowpath.cold.13
0000000180ed2744 (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180ed2770 (__TEXT,__text) non-external _generalSlowpath.cold.3
0000000180ed279c (__TEXT,__text) non-external _generalSlowpath.cold.4
0000000180ed27c8 (__TEXT,__text) non-external _generalSlowpath.cold.5
0000000180ed27f4 (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180ed2820 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180ed284c (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180ed2878 (__TEXT,__text) non-external _generalSlowpath.cold.9
00000001830096a4 (__DATA,__bss) non-external _get_clock.adjustment
00000001830096b8 (__DATA,__bss) non-external _get_clock.clock_seq
00000001830096a8 (__DATA,__bss) non-external _get_clock.last
0000000180e8617c (__TEXT,__text) non-external _get_next_format
0000000180e86310 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180e862b0 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
0000000180e878b4 (__TEXT,__text) external _getbsize
0000000183009778 (__DATA,__bss) non-external _getbsize.header
0000000180e9c698 (__TEXT,__text) external _getc
0000000180e9c6fc (__TEXT,__text) external _getc_unlocked
0000000180e9c728 (__TEXT,__text) external _getchar
0000000180e9c794 (__TEXT,__text) external _getchar_unlocked
0000000180e891fc (__TEXT,__text) external _getcwd
0000000180e75434 (__TEXT,__text) external _getdate
0000000183009658 (__DATA,__bss) non-external _getdate.tm
00000001830143f8 (__DATA,__common) external _getdate_err
0000000180e9c7cc (__TEXT,__text) external _getdelim
0000000180e6dc34 (__TEXT,__text) external _getdiskbyname
0000000183009560 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
0000000180e87bc4 (__TEXT,__text) non-external _getent
0000000180eb6c3c (__TEXT,__text) external _getenv
0000000180eb6c9c (__TEXT,__text) external _getenv_copy_np
                 (undefined) external _getfsstat (from libsystem_kernel)
0000000180e77f64 (__TEXT,__text) external _gethostid
0000000180e89204 (__TEXT,__text) external _gethostname
0000000180e9ca94 (__TEXT,__text) external _getline
0000000180e70480 (__TEXT,__text) external _getloadavg
0000000180e89314 (__TEXT,__text) external _getmntinfo
00000001830097c0 (__DATA,__bss) non-external _getmntinfo.vars
0000000180e8934c (__TEXT,__text) non-external _getmntinfo_internal
0000000180e89428 (__TEXT,__text) external _getmntinfo_r_np
0000000180e8ac48 (__TEXT,__text) external _getmode
0000000180eaf210 (__TEXT,__text) non-external _getoffset
0000000180eb6dbc (__TEXT,__text) external _getopt
0000000183008720 (__DATA,__data) non-external _getopt.place
0000000180eb7044 (__TEXT,__text) non-external _getopt_internal
0000000180ed3d58 (__TEXT,__text) non-external _getopt_internal.cold.1
0000000183008728 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180eb703c (__TEXT,__text) external _getopt_long
0000000180eb76ac (__TEXT,__text) external _getopt_long_only
0000000180e89490 (__TEXT,__text) external _getpagesize
00000001830097d8 (__DATA,__bss) non-external _getpagesize.value
0000000180e89530 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
0000000180e895bc (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180eaf264 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
0000000180e9caa0 (__TEXT,__text) external _gets
0000000180ed5e38 (__TEXT,__const) non-external _gets.w
000000018300b248 (__DATA,__bss) non-external _gets.warned
0000000180eaf698 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
0000000180eb7b3c (__TEXT,__text) external _getsubopt
0000000180e775dc (__TEXT,__text) external _gettimeofday
000000018300971c (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000183009720 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000183009718 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180e706bc (__TEXT,__text) external _getttyent
00000001830095b0 (__DATA,__bss) non-external _getttyent.line
0000000180fe7478 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000183009570 (__DATA,__bss) non-external _getttyent.tty
0000000180e70550 (__TEXT,__text) external _getttynam
0000000180e6e2c0 (__TEXT,__text) non-external _gettype
0000000180e70e50 (__TEXT,__text) external _getusershell
0000000180e71110 (__TEXT,__text) external _getvfsbyname
0000000180e9cb88 (__TEXT,__text) external _getw
0000000180e9cbc8 (__TEXT,__text) external _getwc
0000000180e9cbec (__TEXT,__text) external _getwc_l
0000000180e9cbf0 (__TEXT,__text) external _getwchar
0000000180e9cc20 (__TEXT,__text) external _getwchar_l
0000000180e77ff0 (__TEXT,__text) external _getwd
0000000180eaf168 (__TEXT,__text) non-external _getzname
0000000180ed608c (__TEXT,__const) non-external _gmt
0000000180eaf7c8 (__TEXT,__text) non-external _gmt_init
00000001830086b8 (__DATA,__data) non-external _gmt_once
0000000180eae858 (__TEXT,__text) external _gmtime
000000018300fb80 (__DATA,__bss) non-external _gmtime_key
000000018300fb7c (__DATA,__bss) non-external _gmtime_key_error
0000000180eae93c (__TEXT,__text) non-external _gmtime_key_init
00000001830086a8 (__DATA,__data) non-external _gmtime_once
0000000180eaea08 (__TEXT,__text) external _gmtime_r
0000000180eadd48 (__TEXT,__text) non-external _gmtload
000000018300fbc0 (__DATA,__bss) non-external _gmtmem
0000000180eae980 (__TEXT,__text) non-external _gmtsub
0000000180ed61b7 (__TEXT,__const) non-external _gnuoptchar
00000001830097a0 (__DATA,__bss) non-external _gottoprec
0000000180ebeb18 (__TEXT,__text) external _grantpt
0000000180ea4888 (__TEXT,__text) non-external _grouping_init
0000000180ea9974 (__TEXT,__text) non-external _grouping_init
0000000180ea4a7c (__TEXT,__text) non-external _grouping_print
0000000180ea9bdc (__TEXT,__text) non-external _grouping_print
00000001830143e0 (__DATA,__bss) non-external _handlers
0000000180e7e4f0 (__TEXT,__text) non-external _hash4
0000000180e7d0ec (__TEXT,__text) non-external _hash_access
0000000180e7c8e0 (__TEXT,__text) non-external _hash_close
0000000180ebcfbc (__TEXT,__text) external _hash_create
0000000180e7c924 (__TEXT,__text) non-external _hash_delete
0000000180ebd050 (__TEXT,__text) external _hash_destroy
0000000180e7c9a8 (__TEXT,__text) non-external _hash_fd
0000000180e7c9f0 (__TEXT,__text) non-external _hash_get
0000000180ebd2e8 (__TEXT,__text) external _hash_purge
0000000180e7ca58 (__TEXT,__text) non-external _hash_put
0000000180ebd12c (__TEXT,__text) external _hash_search
0000000180e7cae4 (__TEXT,__text) non-external _hash_seq
0000000180ebd370 (__TEXT,__text) external _hash_stats
0000000180e7cd28 (__TEXT,__text) non-external _hash_sync
0000000180ebd264 (__TEXT,__text) external _hash_traverse
0000000180eb7cb0 (__TEXT,__text) external _hcreate
0000000180e7c7c8 (__TEXT,__text) non-external _hdestroy
0000000180eb7d88 (__TEXT,__text) external _hdestroy
0000000180eb7eec (__TEXT,__text) external _heapsort
0000000180ebf29c (__TEXT,__text) external _heapsort_b
0000000180ed4de8 (__TEXT,__const) non-external _hexdigit
0000000180ed8bbe (__TEXT,__cstring) non-external _hexlist
0000000183009618 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180eb7e10 (__TEXT,__text) external _hsearch
0000000183014378 (__DATA,__bss) non-external _htable
0000000183014380 (__DATA,__bss) non-external _htablesize
0000000180ed61a2 (__TEXT,__const) non-external _illoptchar
0000000180ed6258 (__TEXT,__const) non-external _illoptstring
0000000180eb8184 (__TEXT,__text) external _imaxabs
0000000180eb8190 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
0000000180e6c898 (__TEXT,__text) non-external _infinity
0000000180e6cb54 (__TEXT,__text) non-external _initMPFromDigits
0000000180ed4ee8 (__TEXT,__const) non-external _initMPFromDigits.powersOfTen
0000000180e70e94 (__TEXT,__text) non-external _initshells
0000000180ebbbe8 (__TEXT,__text) external _initstate
0000000180eb8b14 (__TEXT,__text) non-external _insertionsort
0000000180ec0b88 (__TEXT,__text) non-external _insertionsort
0000000180eb81bc (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
0000000180e722dc (__TEXT,__text) external _isalnum
0000000180e72b7c (__TEXT,__text) external _isalnum_l
0000000180e72354 (__TEXT,__text) external _isalpha
0000000180e72bf8 (__TEXT,__text) external _isalpha_l
0000000180e722d0 (__TEXT,__text) external _isascii
0000000180e895d8 (__TEXT,__text) external _isatty
0000000180e723c4 (__TEXT,__text) external _isblank
0000000180e72c6c (__TEXT,__text) external _isblank_l
0000000180e72434 (__TEXT,__text) external _iscntrl
0000000180e72ce0 (__TEXT,__text) external _iscntrl_l
0000000180e724a4 (__TEXT,__text) external _isdigit
0000000180e72d54 (__TEXT,__text) external _isdigit_l
0000000180e724cc (__TEXT,__text) external _isgraph
0000000180e72dc8 (__TEXT,__text) external _isgraph_l
0000000180e72878 (__TEXT,__text) external _ishexnumber
0000000180e72e3c (__TEXT,__text) external _ishexnumber_l
0000000180e728e8 (__TEXT,__text) external _isideogram
0000000180e72eb0 (__TEXT,__text) external _isideogram_l
0000000180e7253c (__TEXT,__text) external _islower
0000000180e72f24 (__TEXT,__text) external _islower_l
0000000180e72958 (__TEXT,__text) external _isnumber
0000000180e72f98 (__TEXT,__text) external _isnumber_l
0000000180e729c8 (__TEXT,__text) external _isphonogram
0000000180e7300c (__TEXT,__text) external _isphonogram_l
0000000180e725ac (__TEXT,__text) external _isprint
0000000180e73080 (__TEXT,__text) external _isprint_l
0000000180e7261c (__TEXT,__text) external _ispunct
0000000180e730f4 (__TEXT,__text) external _ispunct_l
0000000180e72a38 (__TEXT,__text) external _isrune
0000000180e73168 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
0000000180e7268c (__TEXT,__text) external _isspace
0000000180e731f4 (__TEXT,__text) external _isspace_l
0000000180e72aac (__TEXT,__text) external _isspecial
0000000180e73268 (__TEXT,__text) external _isspecial_l
0000000180e8d674 (__TEXT,__text) non-external _istrsenvisx
0000000180ed35b4 (__TEXT,__text) non-external _istrsenvisx.cold.1
0000000180ed35e0 (__TEXT,__text) non-external _istrsenvisx.cold.2
0000000180ed360c (__TEXT,__text) non-external _istrsenvisx.cold.3
0000000180ed3638 (__TEXT,__text) non-external _istrsenvisx.cold.4
0000000180e8dd18 (__TEXT,__text) non-external _istrsenvisxl
0000000180e726fc (__TEXT,__text) external _isupper
0000000180e732dc (__TEXT,__text) external _isupper_l
0000000180e73414 (__TEXT,__text) external _iswalnum
0000000180e73958 (__TEXT,__text) external _iswalnum_l
0000000180e7348c (__TEXT,__text) external _iswalpha
0000000180e739d4 (__TEXT,__text) external _iswalpha_l
0000000180e73fa4 (__TEXT,__text) external _iswascii
0000000180e73f34 (__TEXT,__text) external _iswblank
0000000180e74254 (__TEXT,__text) external _iswblank_l
0000000180e734fc (__TEXT,__text) external _iswcntrl
0000000180e73a48 (__TEXT,__text) external _iswcntrl_l
0000000180e7356c (__TEXT,__text) external _iswctype
0000000180e73abc (__TEXT,__text) external _iswctype_l
0000000180e735e8 (__TEXT,__text) external _iswdigit
0000000180e73b54 (__TEXT,__text) external _iswdigit_l
0000000180e73610 (__TEXT,__text) external _iswgraph
0000000180e73bc8 (__TEXT,__text) external _iswgraph_l
0000000180e73fb0 (__TEXT,__text) external _iswhexnumber
0000000180e742c8 (__TEXT,__text) external _iswhexnumber_l
0000000180e74020 (__TEXT,__text) external _iswideogram
0000000180e7433c (__TEXT,__text) external _iswideogram_l
0000000180e73680 (__TEXT,__text) external _iswlower
0000000180e73c3c (__TEXT,__text) external _iswlower_l
0000000180e74090 (__TEXT,__text) external _iswnumber
0000000180e743b0 (__TEXT,__text) external _iswnumber_l
0000000180e74100 (__TEXT,__text) external _iswphonogram
0000000180e74424 (__TEXT,__text) external _iswphonogram_l
0000000180e736f0 (__TEXT,__text) external _iswprint
0000000180e73cb0 (__TEXT,__text) external _iswprint_l
0000000180e73760 (__TEXT,__text) external _iswpunct
0000000180e73d24 (__TEXT,__text) external _iswpunct_l
0000000180e74170 (__TEXT,__text) external _iswrune
0000000180e74498 (__TEXT,__text) external _iswrune_l
0000000180e737d0 (__TEXT,__text) external _iswspace
0000000180e73d98 (__TEXT,__text) external _iswspace_l
0000000180e741e4 (__TEXT,__text) external _iswspecial
0000000180e74524 (__TEXT,__text) external _iswspecial_l
0000000180e73840 (__TEXT,__text) external _iswupper
0000000180e73e0c (__TEXT,__text) external _iswupper_l
0000000180e738b0 (__TEXT,__text) external _iswxdigit
0000000180e73e80 (__TEXT,__text) external _iswxdigit_l
0000000180e7276c (__TEXT,__text) external _isxdigit
0000000180e73350 (__TEXT,__text) external _isxdigit_l
0000000180e8969c (__TEXT,__text) external _jrand48
0000000180fe76d0 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
0000000180e78038 (__TEXT,__text) external _killpg
0000000180ebece8 (__TEXT,__text) external _l64a
00000001830143d0 (__DATA,__bss) non-external _l64a.buf
0000000180eb81e0 (__TEXT,__text) external _labs
0000000180e8fe4c (__TEXT,__text) non-external _largesearch
0000000183014328 (__DATA,__bss) non-external _last_default_tzload_mtimespec
0000000183008568 (__DATA,__data) non-external _lastglue
0000000180e6d138 (__TEXT,__text) external _lchflags
0000000180e6d180 (__TEXT,__text) external _lchmod
000000018300b304 (__DATA,__bss) non-external _lcl_TZname
000000018300b300 (__DATA,__bss) non-external _lcl_is_set
00000001830085c0 (__DATA,__data) non-external (was a private external) _lcl_rwlock
000000018300b408 (__DATA,__bss) non-external _lclmem
0000000180e896e0 (__TEXT,__text) external _lcong48
0000000180eb81ec (__TEXT,__text) external _ldiv
0000000180eb82e8 (__TEXT,__text) external _lfind
0000000180e9fff4 (__TEXT,__text) non-external _lflush
0000000183014408 (__DATA,__common) non-external (was a private external) _libc_hooks
0000000180e77cc4 (__TEXT,__text) external _libc_set_introspection_hooks
0000000180ed29d4 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.1
0000000180ed2a00 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.2
0000000180ed2a2c (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.3
0000000180ed2a58 (__TEXT,__text) non-external _libc_set_introspection_hooks.cold.4
0000000180e97fbc (__TEXT,__text) external _link_addr
0000000180e9815c (__TEXT,__text) external _link_ntoa
0000000183009a14 (__DATA,__bss) non-external _link_ntoa.obuf
0000000180eb8218 (__TEXT,__text) external _llabs
0000000180eb8224 (__TEXT,__text) external _lldiv
0000000180e98688 (__TEXT,__text) non-external _loadCat
0000000180e94924 (__TEXT,__text) non-external _loadlocale
0000000180e92e5c (__TEXT,__text) external _localeconv
0000000180e92d08 (__TEXT,__text) external _localeconv_l
0000000180ed376c (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180ed3788 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180eae6bc (__TEXT,__text) external _localtime
000000018300fb78 (__DATA,__bss) non-external _localtime_key
000000018300fb70 (__DATA,__bss) non-external _localtime_key_error
0000000180eae7b0 (__TEXT,__text) non-external _localtime_key_init
0000000183008698 (__DATA,__data) non-external _localtime_once
0000000180eae7f4 (__TEXT,__text) external _localtime_r
0000000180ed09a8 (__TEXT,__text) external _lockf
0000000180e89724 (__TEXT,__text) external _lockf$NOCANCEL
0000000180e76534 (__TEXT,__text) external _login_tty
0000000180e8fea0 (__TEXT,__text) non-external _lookup_substsearch
0000000180ed3664 (__TEXT,__text) non-external _lookup_substsearch.cold.1
0000000180e89804 (__TEXT,__text) external _lrand48
0000000180eb8250 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
0000000180e6d1cc (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc_type_calloc (from libsystem_malloc)
                 (undefined) external _malloc_type_malloc (from libsystem_malloc)
                 (undefined) external _malloc_type_realloc (from libsystem_malloc)
0000000180fe74d0 (__DATA_CONST,__const) non-external _mapping
0000000180e92f04 (__TEXT,__text) external _mblen
0000000180e92e80 (__TEXT,__text) external _mblen_l
0000000180e92fd8 (__TEXT,__text) external _mbrlen
0000000180e92f88 (__TEXT,__text) external _mbrlen_l
0000000180e9306c (__TEXT,__text) external _mbrtowc
0000000180e9302c (__TEXT,__text) external _mbrtowc_l
0000000180e930e4 (__TEXT,__text) external _mbsinit
0000000180e930b0 (__TEXT,__text) external _mbsinit_l
0000000180e9315c (__TEXT,__text) external _mbsnrtowcs
0000000180e9311c (__TEXT,__text) external _mbsnrtowcs_l
0000000180e93324 (__TEXT,__text) external _mbsrtowcs
0000000180e932d8 (__TEXT,__text) external _mbsrtowcs_l
0000000180e9341c (__TEXT,__text) external _mbstowcs
0000000180e93374 (__TEXT,__text) external _mbstowcs_l
0000000180e9353c (__TEXT,__text) external _mbtowc
0000000180e934c4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180eb2a94 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
0000000180ec5930 (__TEXT,__text) external _memset_s
0000000180e97fa0 (__TEXT,__text) non-external _memstream_close
0000000180e97f0c (__TEXT,__text) non-external _memstream_seek
0000000180ed37d0 (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180ed37fc (__TEXT,__text) non-external _memstream_seek.cold.2
0000000180e97dc4 (__TEXT,__text) non-external _memstream_update
0000000180ed37a4 (__TEXT,__text) non-external _memstream_update.cold.1
0000000180e97df8 (__TEXT,__text) non-external _memstream_write
0000000180eb8360 (__TEXT,__text) external _mergesort
0000000180ec0310 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
0000000180e9d65c (__TEXT,__text) external _mkdtemp
0000000180e9d6e8 (__TEXT,__text) external _mkdtempat_np
0000000180e9d578 (__TEXT,__text) external _mkostemp
0000000180e9d0c0 (__TEXT,__text) external _mkostemps
0000000180e9d454 (__TEXT,__text) external _mkostempsat_np
0000000180e769f4 (__TEXT,__text) external _mkpath_np
0000000180e76a08 (__TEXT,__text) external _mkpathat_np
0000000180e9d600 (__TEXT,__text) external _mkstemp
0000000180e9d848 (__TEXT,__text) external _mkstemp_dprotected_np
0000000180e9d4cc (__TEXT,__text) external _mkstemps
0000000180e9d528 (__TEXT,__text) external _mkstempsat_np
0000000180e9d7f0 (__TEXT,__text) external _mktemp
0000000180eaedf4 (__TEXT,__text) external _mktime
                 (undefined) external _mmap (from libsystem_kernel)
0000000180ed6098 (__TEXT,__const) non-external _mon_lengths
0000000180e722b8 (__TEXT,__text) external _monaddition
0000000180e722c8 (__TEXT,__text) external _moncontrol
0000000180e722cc (__TEXT,__text) external _moncount
0000000180e722b0 (__TEXT,__text) external _moninit
0000000180e722c4 (__TEXT,__text) external _monitor
0000000180e722c0 (__TEXT,__text) external _monoutput
0000000180e722bc (__TEXT,__text) external _monreset
0000000180e722b4 (__TEXT,__text) external _monstartup
0000000180e9a1d0 (__TEXT,__text) non-external _moreglue
0000000180e7ff8c (__TEXT,__text) non-external _mpool_bkt
0000000180e80248 (__TEXT,__text) external _mpool_close
0000000180e7fedc (__TEXT,__text) external _mpool_filter
0000000180e80084 (__TEXT,__text) external _mpool_get
0000000180e7feec (__TEXT,__text) external _mpool_new
0000000180ed2eb0 (__TEXT,__text) non-external _mpool_new.cold.1
0000000180e7fde0 (__TEXT,__text) external _mpool_open
0000000180e8022c (__TEXT,__text) external _mpool_put
0000000180e802a4 (__TEXT,__text) external _mpool_sync
0000000180e8031c (__TEXT,__text) non-external _mpool_write
0000000180e89838 (__TEXT,__text) external _mrand48
0000000180e78434 (__TEXT,__text) non-external _mswap
0000000180e6cd00 (__TEXT,__text) non-external _multiplyByFiveToTheN
                 (undefined) external _munmap (from libsystem_kernel)
0000000180ed0c38 (__TEXT,__text) external _nanosleep
0000000180e712ac (__TEXT,__text) external _nanosleep$NOCANCEL
0000000183009840 (__DATA,__bss) non-external _new_categories
0000000180e75b98 (__TEXT,__text) external _new_printf_comp
0000000180e75f78 (__TEXT,__text) external _new_printf_domain
0000000180e7480c (__TEXT,__text) external _newlocale
0000000183008758 (__DATA,__data) non-external _next
0000000180e86b2c (__TEXT,__text) non-external _nextcomp
0000000183009750 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000183009770 (__DATA,__bss) non-external _nextcomp.state
0000000180e9399c (__TEXT,__text) external _nextwctype
0000000180e93824 (__TEXT,__text) external _nextwctype_l
0000000180e718f4 (__TEXT,__text) external _nftw
0000000180e8986c (__TEXT,__text) external _nice
0000000180e93df0 (__TEXT,__text) external _nl_langinfo
0000000180e939c0 (__TEXT,__text) external _nl_langinfo_l
0000000183009838 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180ed620b (__TEXT,__const) non-external _noarg
0000000180ed5de8 (__TEXT,__const) non-external _nogrouping
000000018300872c (__DATA,__data) non-external _nonopt_end
0000000183008730 (__DATA,__data) non-external _nonopt_start
0000000180e8992c (__TEXT,__text) external _nrand48
0000000180e79aa8 (__TEXT,__text) non-external _nroot
0000000183008178 (__DATA,__data) non-external _numempty
0000000180ed5930 (__TEXT,__const) non-external _nv
0000000180e8debc (__TEXT,__text) external _nvis
0000000180eaea14 (__TEXT,__text) external _offtime
0000000180fe74b8 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
0000000180e97c80 (__TEXT,__text) external _open_memstream
0000000180e751c0 (__TEXT,__text) external _open_with_subsystem
0000000180eac694 (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
0000000180e89970 (__TEXT,__text) external _opendir
