00000001a2464f30 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001a24608a8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a2463998 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a2464424 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a2464b08 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a2465500 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001a24584d4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a245a34c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a245c818 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a245fe68 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a24608c0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a24639b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a246443c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a2464b24 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a2465520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
00000001a24585b8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_10
00000001a24584e8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a245a370 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a245c838 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a245fe88 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a24639d8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
00000001a2458504 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a245a380 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a245fea8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a24639f4 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
00000001a2458518 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a245a39c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a245fec8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a2463a0c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
00000001a2458530 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001a245a3b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001a245fedc (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001a245853c (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001a245fee8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001a245855c (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
00000001a2458580 (__TEXT,__text) non-external _OUTLINED_FUNCTION_8
00000001a24585a0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_9
00000001d4f74838 (__DATA_CONST,__const) external _SPErrorDomain
                 (undefined) external _SecCertificateCopyOrganization (from Security)
                 (undefined) external _SecCertificateCopyOrganizationalUnit (from Security)
                 (undefined) external _SecCertificateGetTypeID (from Security)
                 (undefined) external _SecCodeCopyPath (from Security)
                 (undefined) external _SecCodeCopySigningInformation (from Security)
                 (undefined) external _SecCodeSetDetachedSignature (from Security)
                 (undefined) external _SecCodeSignerAddSignature (from Security)
                 (undefined) external _SecCodeSignerCreate (from Security)
                 (undefined) external _SecRequirementCreateWithString (from Security)
                 (undefined) external _SecStaticCodeCancelValidation (from Security)
                 (undefined) external _SecStaticCodeCheckValidity (from Security)
                 (undefined) external _SecStaticCodeCreateWithPath (from Security)
                 (undefined) external _SecStaticCodeSetCallback (from Security)
00000001a2469888 (__TEXT,__const) external _SystemPolicyVersionNumber
00000001a2469858 (__TEXT,__const) external _SystemPolicyVersionString
00000001a245ddb8 (__TEXT,__text) external _URLisDirectory
00000001a2464eb0 (__TEXT,__text) non-external (was a private external) __AMFIExecutionPreflight
00000001a2468024 (__TEXT,__text) non-external __AMFIExecutionPreflight.cold.1
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __CFBundleCreateUnique (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00000001de807008 (__AUTH_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSData_$_Strings
00000001a2469748 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_AMFI
00000001a2468c80 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_AppWrapper
00000001a2469768 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_AppWrapperPolicy
00000001a2468d60 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_GKScanResult
00000001a2469298 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_MIS
00000001a2469718 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_NSData(Strings)
00000001a2468e40 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPExecutionHistoryItem
00000001a2468ca0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPExecutionPolicyItem
00000001a2468aa8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPFilePolicy
00000001a24691d0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPKernelExtensionHistoryItem
00000001a2468f40 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPKernelExtensionPolicy(MDM)
00000001a24688f8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPKernelExtensionPolicyItem
00000001a2468dd8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPLog
00000001a2469310 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPMigration
00000001a24695d8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_SPProvenanceMetadata
00000001d4f756e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_GKScanResult
00000001d4f749f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_NSSecureCoding
00000001d4f757d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_SPExecutionHistoryItem
00000001d4f75528 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_SPExecutionPolicyItem
00000001d4f75f88 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_SPKernelExtensionHistoryItem
00000001d4f74a28 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_SPKernelExtensionPolicyItem
00000001d4f76940 (__DATA_CONST,__objc_const) non-external __OBJC_$_CLASS_PROP_LIST_SPProvenanceMetadata
00000001a2468a40 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_AKELData
00000001a2469788 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_AppWrapperPolicyResult
00000001a2468bd0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_BundleData
00000001a2468d78 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_GKScanResult
00000001a2469730 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSData(Strings)
00000001a2468ac8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_PolicyCacheMeta
00000001a24693c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_PolicyScanTarget
00000001a24697d8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPDeveloperPolicy
00000001a2468e60 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPExecutionHistoryItem
00000001a24690f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPExecutionPolicy(Gatekeeper)
00000001a2468cb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPExecutionPolicyItem
00000001a2469378 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPInstallationPolicy
00000001a2468f08 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPKernelExtensionHistory
00000001a24691e8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPKernelExtensionHistoryItem
00000001a2468f58 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPKernelExtensionPolicy(MDM)
00000001a2468910 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPKernelExtensionPolicyItem
00000001a24696c8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPMigrationScanner
00000001a24695f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPProvenanceMetadata
00000001a2468b70 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_SPProvenanceTracking
00000001a24689f0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_StagedBundleData
00000001d4f74dc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_AKELData
00000001d4f76c30 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_AppWrapperPolicyResult
00000001d4f75388 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_BundleData
00000001d4f75700 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_GKScanResult
00000001d4f74eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_PolicyCacheMeta
00000001d4f762e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_PolicyScanTarget
00000001d4f76d60 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPDeveloperPolicy
00000001d4f757e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPExecutionHistoryItem
00000001d4f75ee8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPExecutionPolicy
00000001d4f75540 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPExecutionPolicyItem
00000001d4f76238 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPInstallationPolicy
00000001d4f759e8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPKernelExtensionHistory
00000001d4f75fa0 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPKernelExtensionHistoryItem
00000001d4f75d78 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPKernelExtensionPolicy
00000001d4f74a40 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPKernelExtensionPolicyItem
00000001d4f76b00 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPMigrationScanner
00000001d4f76958 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPProvenanceMetadata
00000001d4f752f8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_SPProvenanceTracking
00000001d4f74c48 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_StagedBundleData
00000001d4f76c98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_AppWrapperPolicyResult
00000001d4f75470 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_BundleData
00000001d4f75748 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_GKScanResult
00000001d4f74f80 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_PolicyCacheMeta
00000001d4f76730 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_PolicyScanTarget
00000001d4f76da8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPDeveloperPolicy
00000001d4f758f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPExecutionHistoryItem
00000001d4f75648 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPExecutionPolicyItem
00000001d4f760c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPKernelExtensionHistoryItem
00000001d4f75e00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPKernelExtensionPolicy
00000001d4f74b68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPKernelExtensionPolicyItem
00000001d4f76b68 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPMigrationScanner
00000001d4f76a40 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_SPProvenanceMetadata
00000001d4f74d50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_StagedBundleData
00000001d4f749d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_CLASS_METHODS_NSSecureCoding
00000001d4f74fe8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_ExecManager
00000001d4f75e78 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_ExecManagerRemote
00000001d4f75978 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_KernelExtensionHistoryAPI
00000001d4f75a30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_KernelExtensionPolicyAPI
00000001d4f74970 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSCoding
00000001d4f75200 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_ExecManager
00000001d4f75e98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_ExecManagerRemote
00000001d4f75998 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_KernelExtensionHistoryAPI
00000001d4f75ca8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_KernelExtensionPolicyAPI
00000001d4f749a8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSCoding
00000001d4f749f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSSecureCoding
00000001d4f749b8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSSecureCoding
00000001d4f756d0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_GKScanResult
00000001d4f757b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_SPExecutionHistoryItem
00000001d4f75510 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_SPExecutionPolicyItem
00000001d4f75f70 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_SPKernelExtensionHistoryItem
00000001d4f74a10 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_SPKernelExtensionPolicyItem
00000001d4f76928 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_SPProvenanceMetadata
00000001de8068b8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_AKELData
00000001d4f76ba0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_AMFI
00000001d4f754c8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_AppWrapper
00000001d4f76cd0 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_AppWrapperPolicy
00000001de807090 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_AppWrapperPolicyResult
00000001de8069d8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_BundleData
00000001de806b40 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_GKScanResult
00000001d4f76160 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_MIS
00000001de806948 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_PolicyCacheMeta
00000001de806ee8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_PolicyScanTarget
00000001de807120 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPDeveloperPolicy
00000001de806c18 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPExecutionHistoryItem
00000001de806d38 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPExecutionPolicy
00000001de806ab0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPExecutionPolicyItem
00000001d4f74e28 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPFilePolicy
00000001de806ea0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPInstallationPolicy
00000001de806c60 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPKernelExtensionHistory
00000001de806dc8 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPKernelExtensionHistoryItem
00000001de806cf0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPKernelExtensionPolicy
00000001de806828 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPKernelExtensionPolicyItem
00000001d4f75770 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPLog
00000001d4f761a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPMigration
00000001de806fc0 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPMigrationScanner
00000001de806f78 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPProvenanceMetadata
00000001de806990 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_SPProvenanceTracking
00000001de806870 (__AUTH_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_StagedBundleData
00000001d4f74948 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_ExecManager
00000001d4f74960 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_ExecManagerRemote
00000001d4f74950 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_KernelExtensionHistoryAPI
00000001d4f74958 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_KernelExtensionPolicyAPI
00000001d4f74938 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSCoding
00000001d4f74940 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSSecureCoding
00000001d4f74d78 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_AKELData
00000001de807048 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_AMFI
00000001de806a20 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_AppWrapper
00000001de8070d8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_AppWrapperPolicy
00000001d4f76be8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_AppWrapperPolicyResult
00000001d4f75340 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_BundleData
00000001de806af8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_GKScanResult
00000001de806e10 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_MIS
00000001d4f74e70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_PolicyCacheMeta
00000001d4f762a0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_PolicyScanTarget
00000001d4f76d18 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPDeveloperPolicy
00000001de806bd0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPExecutionHistoryItem
00000001d4f75ea0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPExecutionPolicy
00000001de806a68 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPExecutionPolicyItem
00000001de806900 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPFilePolicy
00000001d4f761f0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPInstallationPolicy
00000001d4f759a0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPKernelExtensionHistory
00000001de806d80 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPKernelExtensionHistoryItem
00000001de806ca8 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPKernelExtensionPolicy
00000001de8067e0 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPKernelExtensionPolicyItem
00000001de806b88 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPLog
00000001de806e58 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPMigration
00000001d4f76ab8 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPMigrationScanner
00000001de806f30 (__AUTH_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPProvenanceMetadata
00000001d4f752b0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_SPProvenanceTracking
00000001d4f74c00 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_StagedBundleData
00000001d9218338 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_ExecManager
00000001d9218458 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_ExecManagerRemote
00000001d9218398 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_KernelExtensionHistoryAPI
00000001d92183f8 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_KernelExtensionPolicyAPI
00000001d9218270 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSCoding
00000001d92182d0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSSecureCoding
00000001d9217e90 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_ExecManager
00000001d9217ea8 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_ExecManagerRemote
00000001d9217e98 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_KernelExtensionHistoryAPI
00000001d9217ea0 (__DATA,__objc_protorefs) non-external (was a private external) __OBJC_PROTOCOL_REFERENCE_$_KernelExtensionPolicyAPI
                 (undefined) external __Unwind_Resume (from libSystem)
00000001a24626b0 (__TEXT,__text) non-external ___100-[SPInstallationPolicy trustPackagePayload:withDestinationTarget:withHashMap:withUserConsent:error:]_block_invoke
00000001a246253c (__TEXT,__text) non-external ___104-[SPInstallationPolicy canInstallPackage:withUserConsent:withHash:evaluateOnly:synchronousPrompt:error:]_block_invoke
00000001a245a554 (__TEXT,__text) non-external ___13+[SPLog exec]_block_invoke
00000001a245a4b8 (__TEXT,__text) non-external ___13+[SPLog kext]_block_invoke
00000001a245a41c (__TEXT,__text) non-external ___16+[SPLog generic]_block_invoke
00000001a245a68c (__TEXT,__text) non-external ___18+[SPLog signposts]_block_invoke
00000001a245a5f0 (__TEXT,__text) non-external ___21+[SPLog measurements]_block_invoke
00000001a245f318 (__TEXT,__text) non-external ___22+[MIS currentDeviceID]_block_invoke
00000001a2453f98 (__TEXT,__text) non-external ___24-[AKELData initWithURL:]_block_invoke
00000001a245a718 (__TEXT,__text) non-external ___30+[SPLog verboseLoggingEnabled]_block_invoke
00000001a24670ec (__TEXT,__text) non-external ___30+[SPLog verboseLoggingEnabled]_block_invoke.cold.1
00000001a24545d0 (__TEXT,__text) non-external ___31+[SPFilePolicy getAllowedPaths]_block_invoke
00000001a2453624 (__TEXT,__text) non-external ___32-[StagedBundleData handleReload]_block_invoke
00000001a2453970 (__TEXT,__text) non-external ___32-[StagedBundleData handleReload]_block_invoke.3
00000001a24657dc (__TEXT,__text) non-external ___32-[StagedBundleData handleReload]_block_invoke.cold.1
00000001a246589c (__TEXT,__text) non-external ___32-[StagedBundleData handleReload]_block_invoke.cold.2
00000001a245bce4 (__TEXT,__text) non-external ___40-[SPKernelExtensionPolicy currentPolicy]_block_invoke
00000001a2463fe8 (__TEXT,__text) non-external ___42-[SPMigrationScanner performMigrationScan]_block_invoke
00000001a246410c (__TEXT,__text) non-external ___42-[SPMigrationScanner performMigrationScan]_block_invoke_2
00000001a246564c (__TEXT,__text) non-external ___43-[SPDeveloperPolicy isDeveloperModeEnabled]_block_invoke
00000001a245ce68 (__TEXT,__text) non-external ___43-[SPExecutionPolicy legacyExecutionHistory]_block_invoke
00000001a245bd00 (__TEXT,__text) non-external ___43-[SPKernelExtensionPolicy pendingApprovals]_block_invoke
00000001a245d388 (__TEXT,__text) non-external ___45-[SPExecutionPolicy isBlockedSoftware:error:]_block_invoke
00000001a2455144 (__TEXT,__text) non-external ___47-[SPProvenanceTracking getAllProvenanceEntries]_block_invoke
00000001a245ced4 (__TEXT,__text) non-external ___48-[SPExecutionPolicy blockedExecutionPolicyItems]_block_invoke
00000001a2455034 (__TEXT,__text) non-external ___49-[SPProvenanceTracking findProvenanceEntryForID:]_block_invoke
00000001a245b1fc (__TEXT,__text) non-external ___50-[SPKernelExtensionHistory kernelExtensionHistory]_block_invoke
00000001a2454f48 (__TEXT,__text) non-external ___50-[SPProvenanceTracking findProvenanceEntryForURL:]_block_invoke
00000001a24656fc (__TEXT,__text) non-external ___51-[SPDeveloperPolicy setDeveloperModeEnabled:error:]_block_invoke
00000001a245cfbc (__TEXT,__text) non-external ___51-[SPExecutionPolicy addGatekeeperUserIntent:error:]_block_invoke
00000001a245bcbc (__TEXT,__text) non-external ___51-[SPKernelExtensionPolicy updatePolicyItems:error:]_block_invoke
00000001a245c320 (__TEXT,__text) non-external ___52-[SPKernelExtensionPolicy requiresSecurityDowngrade]_block_invoke
00000001a245d0ac (__TEXT,__text) non-external ___54-[SPExecutionPolicy addBlockedSoftwareOverride:error:]_block_invoke
00000001a245d298 (__TEXT,__text) non-external ___54-[SPExecutionPolicy getBlockedSoftwareOverride:error:]_block_invoke
00000001a245c304 (__TEXT,__text) non-external ___54-[SPKernelExtensionPolicy triggerPanicMedicWithError:]_block_invoke
00000001a245b334 (__TEXT,__text) non-external ___55+[SPKernelExtensionPolicy findBundledKernelExtensions:]_block_invoke
00000001a245b7e0 (__TEXT,__text) non-external ___56-[SPKernelExtensionPolicy canLoadKernelExtension:error:]_block_invoke
00000001a245c1fc (__TEXT,__text) non-external ___56-[SPKernelExtensionPolicy getCurrentUAKLHash:withError:]_block_invoke
00000001a245c33c (__TEXT,__text) non-external ___56-[SPKernelExtensionPolicy requiresRebootForInstallation]_block_invoke
00000001a2455120 (__TEXT,__text) non-external ___56-[SPProvenanceTracking findAssociatedProvenanceEntries:]_block_invoke
00000001a246571c (__TEXT,__text) non-external ___57-[SPDeveloperPolicy isDeveloperToolEnvironmentWithError:]_block_invoke
00000001a245b990 (__TEXT,__text) non-external ___57-[SPKernelExtensionPolicy teamIdentifierIsAllowed:error:]_block_invoke
