00000001df323d20 (__DATA,__data) non-external _C
00000001801e82e8 (__TEXT,__text) external _cfmakeraw
00000001801e82d0 (__TEXT,__text) external _cfsetispeed
00000001801e82c4 (__TEXT,__text) external _cfsetospeed
00000001801e82dc (__TEXT,__text) external _cfsetspeed
00000001801e1c94 (__TEXT,__text) external _cgetcap
00000001801e2478 (__TEXT,__text) external _cgetclose
00000001801e1d20 (__TEXT,__text) external _cgetent
00000001801e2408 (__TEXT,__text) external _cgetfirst
00000001801e2390 (__TEXT,__text) external _cgetmatch
00000001801e24c4 (__TEXT,__text) external _cgetnext
00000001801e2c4c (__TEXT,__text) external _cgetnum
00000001801e1c04 (__TEXT,__text) external _cgetset
00000001801e28a4 (__TEXT,__text) external _cgetstr
00000001801e2b70 (__TEXT,__text) external _cgetustr
00000001801eb168 (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
00000001801c0ebc (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
00000001801cbbf0 (__TEXT,__text) non-external _chmodx1
00000001801cbbb4 (__TEXT,__text) external _chmodx_np
00000001801cbe08 (__TEXT,__text) non-external _chmodx_syscall
00000001801f59c8 (__TEXT,__text) external _clearerr
00000001801f5a0c (__TEXT,__text) external _clearerr_unlocked
00000001801df3cc (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00000001801bc4b8 (__TEXT,__text) external _clock_getres
00000001801bc2d4 (__TEXT,__text) external _clock_gettime
00000001801bc044 (__TEXT,__text) external _clock_gettime_nsec_np
00000001eb74451c (__DATA_DIRTY,__common) external _clock_port
00000001eb744518 (__DATA_DIRTY,__common) external _clock_sem
00000001801bc558 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001801c0990 (__TEXT,__text) non-external _close_directory
00000001801df424 (__TEXT,__text) external _closedir
00000001e5916a78 (__DATA_CONST,__const) non-external _cnames
00000001801d35d4 (__TEXT,__text) non-external _collect_data
00000001801d378c (__TEXT,__text) non-external _collect_key
000000018023608c (__TEXT,__const) non-external _command_substitution_str
00000001801c0cc4 (__TEXT,__text) external _compat_mode
00000001801bcf8c (__TEXT,__text) external _confstr
00000001df324e08 (__DATA,__bss) non-external _constdatablock
00000001801c9ef0 (__TEXT,__text) external _copy_printf_domain
000000018022fe6c (__TEXT,__text) external _creat
00000001801cda8c (__TEXT,__text) external _creat$NOCANCEL
00000001801bd30c (__TEXT,__text) external _crypt
00000001df324df0 (__DATA,__bss) non-external _cryptresult
00000001801df4a4 (__TEXT,__text) external _ctermid
00000001df323d60 (__DATA,__data) non-external _ctermid.def
00000001801df4cc (__TEXT,__text) external _ctermid_r
000000018020afac (__TEXT,__text) external _ctime
000000018020afe0 (__TEXT,__text) external _ctime_r
00000001df323ea4 (__DATA,__data) non-external _current_categories
00000001801ef240 (__TEXT,__text) non-external _currentlocale
00000001df325920 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001df324fa8 (__DATA,__bss) non-external _curshell
00000001801bc938 (__TEXT,__text) non-external _cvt_statfs_to_statvfs
00000001801df4ec (__TEXT,__text) external _daemon
00000001df323ff0 (__DATA,__data) non-external _dash_prefix
00000001eb744580 (__DATA_DIRTY,__common) external _daylight
00000001801d59a0 (__TEXT,__text) external _dbm_clearerr
00000001801d57e8 (__TEXT,__text) external _dbm_close
00000001801d591c (__TEXT,__text) external _dbm_delete
00000001801d59b0 (__TEXT,__text) external _dbm_dirfno
00000001801d5994 (__TEXT,__text) external _dbm_error
00000001801d57f0 (__TEXT,__text) external _dbm_fetch
00000001801d583c (__TEXT,__text) external _dbm_firstkey
00000001801d58a8 (__TEXT,__text) external _dbm_nextkey
00000001801d5700 (__TEXT,__text) external _dbm_open
00000001801d5954 (__TEXT,__text) external _dbm_store
00000001801d1930 (__TEXT,__text) external _dbopen
00000001df325648 (__DATA,__bss) non-external _dbp
00000001df324f68 (__DATA,__bss) non-external _decpreg
000000018023619c (__TEXT,__const) non-external _degrees
00000001801be268 (__TEXT,__text) external _devname
00000001df324ec8 (__DATA,__bss) non-external _devname.buf
00000001801be120 (__TEXT,__text) external _devname_r
0000000180208d10 (__TEXT,__text) external _difftime
00000001801c48d8 (__TEXT,__text) external _digittoint
00000001801c4bec (__TEXT,__text) external _digittoint_l
00000001801cd6f4 (__TEXT,__text) external _dirfd
00000001801df77c (__TEXT,__text) external _dirname
00000001df3255e0 (__DATA,__bss) non-external _dirname.dname
00000001801df67c (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00000001802138dc (__TEXT,__text) external _div
00000001df323c20 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00000001801e9954 (__TEXT,__text) non-external _do_hvis
00000001801e9a90 (__TEXT,__text) non-external _do_mvis
00000001801e9c4c (__TEXT,__text) non-external _do_svis
00000001801f5a1c (__TEXT,__text) external _dprintf
00000001801f5a70 (__TEXT,__text) external _dprintf_l
00000001801df7dc (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001801c6694 (__TEXT,__text) external _duplocale
00000001801c9a08 (__TEXT,__text) external _dxprintf
00000001801ca38c (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018021acf8 (__TEXT,__text) external _ecvt
00000001df325730 (__DATA,__bss) non-external _empty
00000001df325740 (__DATA,__bss) non-external _empty
00000001df325754 (__DATA,__bss) non-external _empty
00000001801bdfcc (__TEXT,__text) external _encrypt
00000001801c3544 (__TEXT,__text) non-external _end_asl
00000001801c3584 (__TEXT,__text) non-external _end_file
00000001df324020 (__DATA,__data) non-external _end_ptr
00000001801c17c8 (__TEXT,__text) external _endttyent
00000001801c1ae8 (__TEXT,__text) external _endusershell
0000000180223178 (__TEXT,__text) external _endutxent
00000001801c33a0 (__TEXT,__text) external _endutxent_wtmp
00000001eb742ca8 (__DATA_DIRTY,__bss) non-external _environ_pointer
0000000180207f6c (__TEXT,__text) non-external _eofread
0000000180208364 (__TEXT,__text) non-external _eofread
00000001801df85c (__TEXT,__text) external _erand48
00000001802328d4 (__TEXT,__text) external _err
00000001801e4ec8 (__TEXT,__text) non-external _err_aborted
00000001801dfa48 (__TEXT,__text) external _err_set_exit
00000001801dfaa4 (__TEXT,__text) external _err_set_exit_b
00000001801dfa20 (__TEXT,__text) external _err_set_file
0000000180232a28 (__TEXT,__text) external _errc
0000000180232a48 (__TEXT,__text) external _errx
0000000180235734 (__TEXT,__const) non-external _escape
00000001801dfb4c (__TEXT,__text) external _execl
00000001801dfc28 (__TEXT,__text) external _execle
00000001801dfcfc (__TEXT,__text) external _execlp
00000001801dfe28 (__TEXT,__text) external _execv
00000001801dfe64 (__TEXT,__text) external _execvP
00000001801dfeb0 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00000001801dfdc4 (__TEXT,__text) external _execvp
000000018021390c (__TEXT,__text) external _exit
00000001801f6d30 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001801cbe10 (__TEXT,__text) external _fchmodx_np
00000001801cbe4c (__TEXT,__text) non-external _fchmodx_syscall
00000001801f5a9c (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018021aec0 (__TEXT,__text) external _fcvt
00000001801f5bac (__TEXT,__text) external _fdopen
0000000180230930 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00000001801e5368 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
00000001801f5cbc (__TEXT,__text) external _feof
00000001801f5cf4 (__TEXT,__text) external _feof_unlocked
00000001801f5d00 (__TEXT,__text) external _ferror
00000001801f5d38 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00000001801d5680 (__TEXT,__text) non-external _fetch_bitmap
00000001801c2524 (__TEXT,__text) external _fflagstostr
00000001801f5d44 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00000001801f5f9c (__TEXT,__text) external _fgetc
00000001801f6078 (__TEXT,__text) external _fgetln
00000001801f6224 (__TEXT,__text) external _fgetpos
00000001801cc9f4 (__TEXT,__text) external _fgetrune
00000001df3255b8 (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001801f6254 (__TEXT,__text) external _fgets
00000001801f6388 (__TEXT,__text) external _fgetwc
00000001801f6518 (__TEXT,__text) external _fgetwc_l
00000001801f667c (__TEXT,__text) external _fgetwln
00000001801f65a0 (__TEXT,__text) external _fgetwln_l
00000001801f687c (__TEXT,__text) external _fgetws
00000001801f66a4 (__TEXT,__text) external _fgetws_l
00000001eb742c20 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001801f68a4 (__TEXT,__text) external _fileno
00000001801f68d8 (__TEXT,__text) external _fileno_unlocked
00000001801beaa8 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001801be9e0 (__TEXT,__text) external _filesec_dup
00000001801bea70 (__TEXT,__text) external _filesec_free
00000001801beaf0 (__TEXT,__text) external _filesec_get_property
00000001801be9bc (__TEXT,__text) external _filesec_init
00000001801beec8 (__TEXT,__text) external _filesec_query_property
00000001801bec7c (__TEXT,__text) external _filesec_set_property
00000001801beec0 (__TEXT,__text) external _filesec_unset_property
00000001801f93e4 (__TEXT,__text) non-external _find_temp_path
000000018020f484 (__TEXT,__text) non-external _first_wday_of
00000001801f5884 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00000001801d2794 (__TEXT,__text) non-external _flush_meta
00000001802217f4 (__TEXT,__text) non-external _flush_queues
0000000180212208 (__TEXT,__text) external _fmemopen
0000000180212548 (__TEXT,__text) non-external _fmemopen_close
00000001802123d8 (__TEXT,__text) non-external _fmemopen_read
00000001802124c0 (__TEXT,__text) non-external _fmemopen_seek
0000000180212434 (__TEXT,__text) non-external _fmemopen_write
00000001e5916660 (__DATA_CONST,__const) non-external _fmt_padding
00000001801e01bc (__TEXT,__text) external _fmtcheck
00000001801e07c8 (__TEXT,__text) external _fmtmsg
00000001801e0d40 (__TEXT,__text) external _fnmatch
00000001801e0df0 (__TEXT,__text) non-external _fnmatch1
00000001801f6e90 (__TEXT,__text) external _fopen
0000000180230a40 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001801cbef8 (__TEXT,__text) external _fork
00000001801cb1b0 (__TEXT,__text) external _forkpty
00000001801ca530 (__TEXT,__text) external _fparseln
00000001802351ac (__TEXT,__const) non-external _fparseln.dstr
00000001801f6f88 (__TEXT,__text) external _fprintf
00000001801f6fdc (__TEXT,__text) external _fprintf_l
00000001df323a50 (__DATA,__data) non-external _fptr
00000001801f7008 (__TEXT,__text) external _fpurge
00000001801f7098 (__TEXT,__text) external _fputc
00000001801ccbe4 (__TEXT,__text) external _fputrune
00000001df3255c0 (__DATA,__bss) non-external _fputrune.warn_depreciated
00000001801f7124 (__TEXT,__text) external _fputs
00000001801f72b0 (__TEXT,__text) external _fputwc
00000001801f7338 (__TEXT,__text) external _fputwc_l
00000001801f7520 (__TEXT,__text) external _fputws
00000001801f73d0 (__TEXT,__text) external _fputws_l
00000001801f7714 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00000001801c9ba0 (__TEXT,__text) external _free_printf_comp
00000001801c9fa0 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001801c68ec (__TEXT,__text) external _freelocale
00000001801f79b0 (__TEXT,__text) external _freopen
00000001801f7ca8 (__TEXT,__text) external _fscanf
00000001801f7d24 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001801f7db4 (__TEXT,__text) external _fseek
00000001801f8198 (__TEXT,__text) external _fseeko
00000001801f821c (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001801bc8bc (__TEXT,__text) external _fstatvfs
00000001801cc860 (__TEXT,__text) external _fstatx_np
00000001801cc8c4 (__TEXT,__text) non-external _fstatx_syscall
00000001df323c80 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001801cd684 (__TEXT,__text) external _fsync_volume_np
00000001801f8228 (__TEXT,__text) external _ftell
00000001801f822c (__TEXT,__text) external _ftello
0000000180208d44 (__TEXT,__text) external _ftime
00000001801e19fc (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
00000001801f58c4 (__TEXT,__text) external _ftrylockfile
00000001801c0800 (__TEXT,__text) non-external _fts_alloc
00000001801bfa44 (__TEXT,__text) non-external _fts_build
00000001802319cc (__TEXT,__text) non-external _fts_build.cold.1
00000001802319e4 (__TEXT,__text) non-external _fts_build.cold.2
00000001802319fc (__TEXT,__text) non-external _fts_build.cold.3
0000000180231a14 (__TEXT,__text) non-external _fts_build.cold.4
0000000180231a2c (__TEXT,__text) non-external _fts_build.cold.5
0000000180231a44 (__TEXT,__text) non-external _fts_build.cold.6
00000001801c063c (__TEXT,__text) external _fts_children
00000001801bf314 (__TEXT,__text) external _fts_close
00000001801bef70 (__TEXT,__text) external _fts_open
00000001801bf260 (__TEXT,__text) external _fts_open_b
00000001801c077c (__TEXT,__text) non-external _fts_palloc
00000001801bf434 (__TEXT,__text) external _fts_read
00000001801bf8e0 (__TEXT,__text) non-external _fts_safe_changedir
00000001801c0604 (__TEXT,__text) external _fts_set
00000001801c089c (__TEXT,__text) non-external _fts_sort
00000001801c09e4 (__TEXT,__text) non-external _fts_stat2
00000001801c1f44 (__TEXT,__text) external _ftw
00000001801ccb30 (__TEXT,__text) external _fungetrune
00000001df3255bc (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001801f590c (__TEXT,__text) external _funlockfile
00000001801f839c (__TEXT,__text) external _funopen
00000001801f8818 (__TEXT,__text) external _fwide
00000001801f8884 (__TEXT,__text) external _fwprintf
00000001801f88d8 (__TEXT,__text) external _fwprintf_l
00000001801f8904 (__TEXT,__text) external _fwrite
00000001801f89f0 (__TEXT,__text) external _fwscanf
00000001801f8a44 (__TEXT,__text) external _fwscanf_l
00000001801c9a44 (__TEXT,__text) external _fxprintf
00000001801ca3cc (__TEXT,__text) external _fxprintf_exec
00000001df3239c0 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018021aec8 (__TEXT,__text) external _gcvt
00000001801daab8 (__TEXT,__text) non-external _gdtoa_freelist_free
00000001eb742ce0 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001eb7426d0 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00000001801c35cc (__TEXT,__text) non-external _get_asl
00000001df324fd0 (__DATA,__bss) non-external _get_asl.utx
00000001df325594 (__DATA,__bss) non-external _get_clock.adjustment
00000001df3255a8 (__DATA,__bss) non-external _get_clock.clock_seq
00000001df325598 (__DATA,__bss) non-external _get_clock.last
00000001801c3920 (__TEXT,__text) non-external _get_file
00000001df325250 (__DATA,__bss) non-external _get_file.ux
00000001801e023c (__TEXT,__text) non-external _get_next_format
00000001801e03e8 (__TEXT,__text) non-external _get_next_format_from_precision
00000001801e0380 (__TEXT,__text) non-external _get_next_format_from_width
000000018021c74c (__TEXT,__text) non-external _getargs
000000018021d288 (__TEXT,__text) non-external _getargs
000000018021de90 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00000001801f3da8 (__TEXT,__text) non-external _getbits
0000000180235d41 (__TEXT,__const) non-external _getbits.digits
00000001801e1a4c (__TEXT,__text) external _getbsize
00000001df325610 (__DATA,__bss) non-external _getbsize.header
00000001801f8a70 (__TEXT,__text) external _getc
00000001801f8ad4 (__TEXT,__text) external _getc_unlocked
00000001801f8b00 (__TEXT,__text) external _getchar
00000001801f8b6c (__TEXT,__text) external _getchar_unlocked
00000001801e33d4 (__TEXT,__text) external _getcwd
00000001801c9494 (__TEXT,__text) external _getdate
00000001df325540 (__DATA,__bss) non-external _getdate.tm
00000001df325ae0 (__DATA,__common) external _getdate_err
00000001801f8ba4 (__TEXT,__text) external _getdelim
00000001801be2e0 (__TEXT,__text) external _getdiskbyname
00000001df324ed0 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00000001801e1d54 (__TEXT,__text) non-external _getent
0000000180213a94 (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180231170 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00000001801cda98 (__TEXT,__text) external _gethostid
00000001801e33dc (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
00000001801f4a90 (__TEXT,__text) external _getipv4sourcefilter
000000018023302c (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180233058 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180233084 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
00000001801c2a58 (__TEXT,__text) external _getlastlogx
00000001801c2b48 (__TEXT,__text) external _getlastlogxbyname
00000001801f8e60 (__TEXT,__text) external _getline
00000001801c0f30 (__TEXT,__text) external _getloadavg
00000001801e34e4 (__TEXT,__text) external _getlogin
00000001801e3530 (__TEXT,__text) non-external _getlogin_basic
00000001801e35bc (__TEXT,__text) external _getlogin_r
00000001801e3648 (__TEXT,__text) external _getmntinfo
00000001df325658 (__DATA,__bss) non-external _getmntinfo.vars
00000001801e3680 (__TEXT,__text) non-external _getmntinfo_internal
00000001801e374c (__TEXT,__text) external _getmntinfo_r_np
00000001801e68d4 (__TEXT,__text) external _getmode
000000018020b7a0 (__TEXT,__text) non-external _getoffset
0000000180213af4 (__TEXT,__text) external _getopt
00000001df323a48 (__DATA,__data) non-external _getopt.place
0000000180213d80 (__TEXT,__text) non-external _getopt_internal
0000000180213d78 (__TEXT,__text) external _getopt_long
0000000180214350 (__TEXT,__text) external _getopt_long_only
00000001801e37b4 (__TEXT,__text) external _getpagesize
00000001eb742cd8 (__DATA_DIRTY,__bss) non-external _getpagesize.value
00000001801e6560 (__TEXT,__text) external _getpass
00000001df3256f0 (__DATA,__bss) non-external _getpass.buf
00000001801e3828 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001801e38a4 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
000000018020b810 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
00000001801f8e6c (__TEXT,__text) external _gets
0000000180235d4c (__TEXT,__const) non-external _gets.w
00000001df325980 (__DATA,__bss) non-external _gets.warned
000000018020bc48 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
00000001801f4c60 (__TEXT,__text) external _getsourcefilter
00000001802147b8 (__TEXT,__text) external _getsubopt
00000001801cbf4c (__TEXT,__text) external _gettimeofday
00000001df3255b0 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001df3255b4 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001df3255ac (__DATA,__bss) non-external _gettimeofday.validtz
00000001801c1134 (__TEXT,__text) external _getttyent
00000001df324f20 (__DATA,__bss) non-external _getttyent.line
00000001e5915d00 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001df324ee0 (__DATA,__bss) non-external _getttyent.tty
00000001801c0fd8 (__TEXT,__text) external _getttynam
00000001801be91c (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
00000001801c18d0 (__TEXT,__text) external _getusershell
0000000180223cb0 (__TEXT,__text) external _getutmp
0000000180223ce4 (__TEXT,__text) external _getutmpx
0000000180223438 (__TEXT,__text) external _getutxent
00000001801c33ac (__TEXT,__text) external _getutxent_wtmp
00000001802235e8 (__TEXT,__text) external _getutxid
00000001802236f0 (__TEXT,__text) external _getutxline
0000000180235d36 (__TEXT,__const) non-external _getv4.digits
00000001801c1b54 (__TEXT,__text) external _getvfsbyname
00000001801f8f54 (__TEXT,__text) external _getw
00000001801f8f90 (__TEXT,__text) external _getwc
00000001801f8fb8 (__TEXT,__text) external _getwc_l
00000001801f8fbc (__TEXT,__text) external _getwchar
00000001801f8ff0 (__TEXT,__text) external _getwchar_l
00000001801cdaf4 (__TEXT,__text) external _getwd
000000018020b6f4 (__TEXT,__text) non-external _getzname
00000001801e38c0 (__TEXT,__text) external _glob
00000001801e4324 (__TEXT,__text) non-external _glob0
00000001801e4914 (__TEXT,__text) non-external _glob2
00000001801e3b98 (__TEXT,__text) external _glob_b
00000001801e45b8 (__TEXT,__text) non-external _globexp1
00000001801e487c (__TEXT,__text) non-external _globfinal
00000001801e42c0 (__TEXT,__text) external _globfree
0000000180235f9c (__TEXT,__const) non-external _gmt
000000018020bd78 (__TEXT,__text) non-external _gmt_init
00000001df323ac8 (__DATA,__data) non-external _gmt_notify
00000001df323fe0 (__DATA,__data) non-external _gmt_once
000000018020ae8c (__TEXT,__text) external _gmtime
00000001df3259c8 (__DATA,__bss) non-external _gmtime_key
00000001df3259c4 (__DATA,__bss) non-external _gmtime_key_error
000000018020af5c (__TEXT,__text) non-external _gmtime_key_init
00000001df323fd0 (__DATA,__data) non-external _gmtime_once
000000018020af94 (__TEXT,__text) external _gmtime_r
000000018020a4dc (__TEXT,__text) non-external _gmtload
00000001df323ac0 (__DATA,__data) non-external _gmtptr
000000018020a778 (__TEXT,__text) non-external _gmtsub
00000001802360dd (__TEXT,__const) non-external _gnuoptchar
00000001df325638 (__DATA,__bss) non-external _gottoprec
000000018021aac8 (__TEXT,__text) external _grantpt
0000000180200980 (__TEXT,__text) non-external _grouping_init
00000001802057d8 (__TEXT,__text) non-external _grouping_init
0000000180200b6c (__TEXT,__text) non-external _grouping_print
0000000180205a44 (__TEXT,__text) non-external _grouping_print
00000001801e654c (__TEXT,__text) non-external _handler
00000001801d3fd4 (__TEXT,__text) non-external _hash4
00000001801d2aec (__TEXT,__text) non-external _hash_access
00000001801d213c (__TEXT,__text) non-external _hash_close
0000000180218fac (__TEXT,__text) external _hash_create
00000001801d2180 (__TEXT,__text) non-external _hash_delete
0000000180219014 (__TEXT,__text) external _hash_destroy
00000001801d2204 (__TEXT,__text) non-external _hash_fd
00000001801d223c (__TEXT,__text) non-external _hash_get
0000000180219284 (__TEXT,__text) external _hash_purge
00000001801d22a4 (__TEXT,__text) non-external _hash_put
00000001802190f0 (__TEXT,__text) external _hash_search
00000001801d2330 (__TEXT,__text) non-external _hash_seq
0000000180219308 (__TEXT,__text) external _hash_stats
00000001801d2574 (__TEXT,__text) non-external _hash_sync
0000000180219208 (__TEXT,__text) external _hash_traverse
000000018021492c (__TEXT,__text) external _hcreate
00000001801d2028 (__TEXT,__text) non-external _hdestroy
00000001802149f0 (__TEXT,__text) external _hdestroy
0000000180214b44 (__TEXT,__text) external _heapsort
000000018021b1dc (__TEXT,__text) external _heapsort_b
00000001802391f0 (__TEXT,__cstring) non-external _hexlist
00000001df324f88 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
0000000180214a7c (__TEXT,__text) external _hsearch
00000001df325a38 (__DATA,__bss) non-external _htable
00000001df325a40 (__DATA,__bss) non-external _htablesize
                 (undefined) external _if_nametoindex (from libsystem_info)
00000001802360c8 (__TEXT,__const) non-external _illoptchar
000000018023617e (__TEXT,__const) non-external _illoptstring
0000000180214dcc (__TEXT,__text) external _imaxabs
0000000180214dd8 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001801f2b5c (__TEXT,__text) external _inet_addr
00000001801f2b90 (__TEXT,__text) external _inet_aton
00000001801f30cc (__TEXT,__text) external _inet_lnaof
00000001801f30f8 (__TEXT,__text) external _inet_makeaddr
00000001801f3138 (__TEXT,__text) external _inet_net_ntop
00000001801f3694 (__TEXT,__text) external _inet_net_pton
0000000180232f50 (__TEXT,__text) non-external _inet_net_pton.cold.1
0000000180232f7c (__TEXT,__text) non-external _inet_net_pton.cold.2
0000000180232fa8 (__TEXT,__text) non-external _inet_net_pton.cold.3
0000000180235d09 (__TEXT,__const) non-external _inet_net_pton_ipv4.digits
0000000180235cf8 (__TEXT,__const) non-external _inet_net_pton_ipv4.xdigits
0000000180235d14 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_l
0000000180235d25 (__TEXT,__const) non-external _inet_net_pton_ipv6.xdigits_u
00000001801f3e3c (__TEXT,__text) external _inet_neta
00000001801f3f0c (__TEXT,__text) external _inet_netof
00000001801f3f38 (__TEXT,__text) external _inet_network
00000001801f4458 (__TEXT,__text) external _inet_nsap_addr
00000001801f45c0 (__TEXT,__text) external _inet_nsap_ntoa
00000001801f413c (__TEXT,__text) external _inet_ntoa
00000001df323af0 (__DATA,__data) non-external _inet_ntoa.ret
000000018021ea90 (__TEXT,__text) external _inet_ntop
000000018021edc8 (__TEXT,__text) external _inet_ntop4
000000018021eb04 (__TEXT,__text) external _inet_ntop6
000000018021ef04 (__TEXT,__text) external _inet_pton
000000018021f2a4 (__TEXT,__text) non-external _inet_pton4
0000000180236229 (__TEXT,__const) non-external _inet_pton4.digits
0000000180236234 (__TEXT,__const) non-external _inet_pton6.xdigits_l
0000000180236245 (__TEXT,__const) non-external _inet_pton6.xdigits_u
00000001801be0a0 (__TEXT,__text) non-external _init_perm
00000001801c1914 (__TEXT,__text) non-external _initshells
0000000180217cd4 (__TEXT,__text) external _initstate
0000000180215704 (__TEXT,__text) non-external _insertionsort
000000018021c548 (__TEXT,__text) non-external _insertionsort
0000000180214e04 (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
00000001801c4370 (__TEXT,__text) external _isalnum
00000001801c4c44 (__TEXT,__text) external _isalnum_l
00000001801c43ec (__TEXT,__text) external _isalpha
00000001801c4cc0 (__TEXT,__text) external _isalpha_l
00000001801c4364 (__TEXT,__text) external _isascii
00000001801e4f50 (__TEXT,__text) external _isatty
00000001801c4460 (__TEXT,__text) external _isblank
00000001801c4d34 (__TEXT,__text) external _isblank_l
00000001801c44d4 (__TEXT,__text) external _iscntrl
00000001801c4da8 (__TEXT,__text) external _iscntrl_l
00000001801c4548 (__TEXT,__text) external _isdigit
00000001801c4e1c (__TEXT,__text) external _isdigit_l
00000001801c4570 (__TEXT,__text) external _isgraph
00000001801c4e90 (__TEXT,__text) external _isgraph_l
00000001801c4930 (__TEXT,__text) external _ishexnumber
00000001801c4f04 (__TEXT,__text) external _ishexnumber_l
00000001801c49a4 (__TEXT,__text) external _isideogram
00000001801c4f78 (__TEXT,__text) external _isideogram_l
