00000001cdb43854 (__TEXT,__text) non-external +[Cube initialize]
00000001e7db6afc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mMiddleOffset
00000001e7db6ae8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mNeedsInSpriteCoordinates
00000001e7db6b04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mNumberOfVertices
00000001e7db6b00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mOuterOffset
00000001e7db6adc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mOuterRect
00000001e7db6acc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPosition
00000001e7db6b08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPositionWasUpdated
00000001e7db6ae0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mPreservesImageAspectRatio
00000001e7db6b0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mRectsWereUpdated
00000001e7db6ad4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mRotation
00000001e7db6aec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mSpriteCoordinatesFactor
00000001e7db6af0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mSpriteCoordinatesOffset
00000001e7db6af8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRCroppingSpriteVBO.mVBO
00000001e7db6b74 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._isInInteractiveMode
00000001e7db6b70 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._panoramaPanningAmount
00000001e7db6b6c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffect._panoramaPanningEndTime
00000001e7db6b68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect._panoramaPanningOffsets
00000001e7db6b20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mAttributes
00000001e7db6b54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultMainDuration
00000001e7db6b50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultPhaseInDuration
00000001e7db6b58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDefaultPhaseOutDuration
00000001e7db6b10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mDescription
00000001e7db6b1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mEffectID
00000001e7db6b14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mEffectLayer
00000001e7db6b24 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mFlattenedAttributes
00000001e7db6b44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsAlphaFriendly
00000001e7db6b3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsNative3D
00000001e7db6b40 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mIsOpaque
00000001e7db6b60 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mMainDuration
00000001e7db6b2c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mMultiImageSlideRange
00000001e7db6b38 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateAttributes
00000001e7db6b30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateSlides
00000001e7db6b34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mNeedsToUpdateTexts
00000001e7db6b18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mOutputImage
00000001e7db6b5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPhaseInDuration
00000001e7db6b64 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPhaseOutDuration
00000001e7db6b4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPixelSize
00000001e7db6b48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mPreloadOperation
00000001e7db6b28 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffect.mSeed
00000001e7db6b7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectBackgroundImage.mClampingMode
00000001e7db6b78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectBackgroundImage.mImageProvider
00000001e7db8538 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mDocument
00000001e7db8550 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mHeight
00000001e7db8540 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mImageProviders
00000001e7db853c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mIsLoaded
00000001e7db8548 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mRootLayer
00000001e7db8544 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mTextLayers
00000001e7db854c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCAML.mWidth
00000001e7db80b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mBaseImagePosition
00000001e7db80bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mBaseTextPosition
00000001e7db80a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mFirstDayWeekday
00000001e7db80b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mImageSize
00000001e7db80ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mNumberOfDays
00000001e7db80b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mStride
00000001e7db80c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextImage
00000001e7db80cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextRenderer
00000001e7db80c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextSize
00000001e7db80c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCalendar.mTextWasUpdatedSinceLastRendering
00000001e7db7eac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._currentComplexityLevel
00000001e7db7ec4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._grid
00000001e7db7eb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._numberOfStoriesRemoved
00000001e7db7ec8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousNewSlideRange
00000001e7db7eb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousScenarioType
00000001e7db7ec0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousStartTime
00000001e7db7eb4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousStartX
00000001e7db7ebc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._previousWasCombo
00000001e7db7ea8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascade._slideStories
00000001e7db7ea4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.duration
00000001e7db7ea0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeStartTime
00000001e7db7e94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeX
00000001e7db7e98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.relativeY
00000001e7db7e9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeEvent.type
00000001e7db7e6c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthDuration
00000001e7db7e68 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthStart
00000001e7db7e8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.birthType
00000001e7db7e74 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathDuration
00000001e7db7e78 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathParameter
00000001e7db7e70 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathStart
00000001e7db7e90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.deathType
00000001e7db7e7c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.slideID
00000001e7db7e80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.slideIndex
00000001e7db7e84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.x
00000001e7db7e88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectCoverCascadeSlideStory.y
00000001e7db8238 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mBreakInformation
00000001e7db81fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterDates
00000001e7db81f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterDurations
00000001e7db820c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterNumDate
00000001e7db8208 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapterSprite
00000001e7db8234 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mChapters
00000001e7db822c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mDateWindowMask
00000001e7db8210 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mDayImages
00000001e7db824c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mGrayImage
00000001e7db8200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIndicies
00000001e7db8240 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsLoaded
00000001e7db8248 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsRotating
00000001e7db8244 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mIsVertical
00000001e7db8230 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mJournal
00000001e7db81f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mLengths
00000001e7db8214 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mMovieProviders
00000001e7db8224 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteBox
00000001e7db8220 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteClose
00000001e7db821c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mQuoteOpen
00000001e7db823c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mSlideInformation
00000001e7db81ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mSprites
00000001e7db81f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mText
00000001e7db8218 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mTextBackground
00000001e7db8204 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mWeatherImages
00000001e7db8228 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDateline.mWeatherWindowMask
00000001e7db8684 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDotProgress._countOfDots
00000001e7db8688 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectDotProgress._selectedDotIndex
00000001e7db7ff4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFilmStrip.mSprites
00000001e7db7e24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectFlipup._currentIterationIndex
00000001e7db7e14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectFlipup._textWasUpdatedSinceLastRendering
00000001e7db7e00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mBreakInformation
00000001e7db7df8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mGradientProvider
00000001e7db7e10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsFirst
00000001e7db7e04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsLoaded
00000001e7db7e0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mIsText
00000001e7db7dfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mSortDescriptors
00000001e7db7df4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mSprites
00000001e7db7e20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mTextImage
00000001e7db7e08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mTiming
00000001e7db7e18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mXPositions
00000001e7db7e1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipup.mZPositions
00000001e7db7050 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFlipupBackground.mGradientProvider
00000001e7db829c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mBackSlideOrder
00000001e7db8294 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mFrontSlideOrder
00000001e7db82ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mHackContext
00000001e7db8290 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mIterationOffset
00000001e7db8298 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mMiddleSlideOrder
00000001e7db82a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mNeedsMoreSlides
00000001e7db82a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mNeedsUpdate
00000001e7db82a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mSlideTimes
00000001e7db828c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mTotalImages
00000001e7db82b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mVBO
00000001e7db82b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFloating.mVBOData
00000001e7db8350 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mCenter
00000001e7db8358 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mIsPanning
00000001e7db8354 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mMapImage
00000001e7db835c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mStartCenter
00000001e7db8348 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mTileQueue
00000001e7db8344 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mTiles
00000001e7db834c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedMap.mZoomLevel
00000001e7db8168 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mHasInnerRect
00000001e7db816c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mHasOuterRect
00000001e7db8170 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPlayable
00000001e7db8174 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPlaying
00000001e7db8178 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mIsPressed
00000001e7db8164 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedSlide.mSprite
00000001e7db81b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mFrameTextureCoordinates
00000001e7db81bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mFrameTime
00000001e7db81b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHalfWidth
00000001e7db8194 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHasTextRect
00000001e7db81c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mHitOffFrameTime
00000001e7db8180 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mInnerFrameRect
00000001e7db81a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mIsHit
00000001e7db81cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mLiveAttributesWereUpdatedSinceLastRendering
00000001e7db81a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mNewIsHit
00000001e7db81a8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mNewScrollY
00000001e7db81ac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mScrollY
00000001e7db8188 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mSprite
00000001e7db8198 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mStretchesHorizontally
00000001e7db8190 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextImage
00000001e7db817c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextRect
00000001e7db8184 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextRenderer
00000001e7db818c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mTextSprite
00000001e7db81c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mVelocity
00000001e7db81b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mVertices
00000001e7db819c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mWasUpdatedSinceLastRendering
00000001e7db81c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectFramedText.mYPosition
00000001e7db6b88 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mGradientProvider
00000001e7db6b80 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mMapProvider
00000001e7db6b84 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mMarkerProvider
00000001e7db6b8c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mShadingProvider
00000001e7db6b90 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mStarsLProvider
00000001e7db6b94 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectGlobe.mStarsRProvider
00000001e7db6bbc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mBaseStillDuration
00000001e7db6bac (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mCountOfSlides
00000001e7db6bc0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mCurrentMainSlideKey
00000001e7db6bb8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mFrameIndices
00000001e7db6ba4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mMatrices
00000001e7db6bb0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mNumberOfRopes
00000001e7db6b9c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mPhotoFrameImageProviders
00000001e7db6b98 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mRopeImageProvider
00000001e7db6bb4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mScenario
00000001e7db6ba8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mSlideTimings
00000001e7db6ba0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPictures.mSprites
00000001e7db6bc4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundLights.mBackgroundImageProvider
00000001e7db6bc8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundLights.mBokehImageProvider
00000001e7db6bcc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mBackgroundImageProvider
00000001e7db6bd0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarImageProvider
00000001e7db6bd4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStars
00000001e7db6be0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsAttributes
00000001e7db6bdc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsTexCoords
00000001e7db6bd8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesBackgroundStars.mStarsVertices
00000001e7db6bfc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mEditedTextSize
00000001e7db6bf8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mMatrix
00000001e7db6be4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mRopeImageProvider
00000001e7db6bec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mSprite
00000001e7db6bf4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextImage
00000001e7db6be8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextRenderer
00000001e7db6bf0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHangingPicturesTitle.mTextSize
00000001e7db86f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectHyperGrid._currentIterationIndex
00000001e7db86f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mAspectRatio
00000001e7db86e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mAspectRatioDidChange
00000001e7db86c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mBreakCurves
00000001e7db86c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mBreakInformation
00000001e7db86d4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mCanAddSlides
00000001e7db86bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mCurves
00000001e7db86cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIdealSlideCount
00000001e7db86d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mIterationStartIndex
00000001e7db86ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIteration
00000001e7db86e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastIterationsAdded
00000001e7db86dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastSlideIndex
00000001e7db86e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLastUsableIteration
00000001e7db86b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mLayouts
00000001e7db86f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mNeedsToRecalculateIterations
00000001e7db86d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSlideStartIndex
00000001e7db86b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSprites
00000001e7db86c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectHyperGrid.mSyncsToMusic
00000001e7db80a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAButton.mIsPressed
00000001e7db80a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAButton.mIsSet
00000001e7db6c1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isFocuser
00000001e7db6c20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isInZoomMode
00000001e7db6c3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._isInitialized
00000001e7db6c10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._panX
00000001e7db6c14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._panY
00000001e7db6c38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._pzrDoRotation
00000001e7db6c0c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._pzrWasUpdated
00000001e7db6c18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._rotation
00000001e7db6c04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._scale
00000001e7db6c24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideCenter
00000001e7db6c2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideRotation
00000001e7db6c28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._startSlideScale
00000001e7db6c30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._x0
00000001e7db6c34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MREffectJustASlide._y0
00000001e7db6c08 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustASlide.mForceIsOpaque
00000001e7db6c00 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustASlide.mSprite
00000001e7db8650 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mSizeOfText
00000001e7db8644 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextImage
00000001e7db8640 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextRenderer
00000001e7db8648 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextSprite
00000001e7db864c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustAText.mTextWasUpdatedSinceLastRendering
00000001e7db6c4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mImage0
00000001e7db6c48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mImage1
00000001e7db6c58 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mText0Rect
00000001e7db6c5c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MREffectJustATitle.mText1Rect
