00000001e9d55c20 (__DATA,__data) external _NDR_record
00000001804aba3c (__TEXT,__text) external _mach_vm_reclaim_ring_resize
00000001804abae0 (__TEXT,__text) external _mach_vm_reclaim_round_capacity
00000001804abcd0 (__TEXT,__text) external _mach_vm_reclaim_try_cancel
00000001804abb2c (__TEXT,__text) external _mach_vm_reclaim_try_enter
00000001804abf18 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting
0000000180498cb0 (__TEXT,__text) external _mach_vm_reclaim_update_kernel_accounting_trap
000000018049d80c (__TEXT,__text) external _mach_vm_region
00000001804a3c04 (__TEXT,__text) external _mach_vm_region_recurse
00000001804b6478 (__TEXT,__text) external _mach_vm_remap
00000001804b6510 (__TEXT,__text) external _mach_vm_remap_new
00000001804b66a8 (__TEXT,__text) external _mach_vm_tag_describe
00000001804b66a4 (__TEXT,__text) external _mach_vm_update_pointers_with_remote_tags
00000001804b94b0 (__TEXT,__text) external _mach_vm_wire
00000001804bf888 (__TEXT,__text) external _mach_vm_write
000000018049da70 (__TEXT,__text) external _mach_voucher_attr_command
000000018049a660 (__TEXT,__text) external _mach_voucher_deallocate
00000001804cc0b4 (__TEXT,__text) external _mach_voucher_debug_info
00000001804cbe60 (__TEXT,__text) external _mach_voucher_extract_all_attr_recipes
00000001804a379c (__TEXT,__text) external _mach_voucher_extract_attr_content
000000018049b5e0 (__TEXT,__text) external _mach_voucher_extract_attr_recipe
0000000180498cc8 (__TEXT,__text) external _mach_voucher_extract_attr_recipe_trap
0000000180498d04 (__TEXT,__text) external _mach_wait_until
00000001804bb2a8 (__TEXT,__text) external _mach_zone_force_gc
00000001804bc1b8 (__TEXT,__text) external _mach_zone_get_btlog_records
00000001804bc028 (__TEXT,__text) external _mach_zone_get_zlog_zones
00000001804bb0dc (__TEXT,__text) external _mach_zone_info
00000001804bbe7c (__TEXT,__text) external _mach_zone_info_for_largest_zone
00000001804bbd0c (__TEXT,__text) external _mach_zone_info_for_zone
0000000180498c74 (__TEXT,__text) external _macx_backing_store_recovery
0000000180498c68 (__TEXT,__text) external _macx_backing_store_suspend
0000000180498c44 (__TEXT,__text) external _macx_swapoff
0000000180498c38 (__TEXT,__text) external _macx_swapon
0000000180498c5c (__TEXT,__text) external _macx_triggers
000000018049b994 (__TEXT,__text) external _madvise
000000018049f814 (__TEXT,__text) non-external _malloc
00000001e9d55c68 (__DATA,__bss) non-external _master_host_port
0000000180498ef8 (__TEXT,__text) non-external _memcpy
0000000180498ef8 (__TEXT,__text) non-external _memmove
00000001804a1cb8 (__TEXT,__text) external _memorystatus_control
00000001804a7624 (__TEXT,__text) external _memorystatus_get_level
00000001804ab160 (__TEXT,__text) external _mig_allocate
000000018049bf44 (__TEXT,__text) external _mig_dealloc_reply_port
00000001804b6218 (__TEXT,__text) external _mig_dealloc_special_reply_port
000000018049e998 (__TEXT,__text) external _mig_deallocate
0000000180498f08 (__TEXT,__text) external _mig_get_reply_port
000000018049a48c (__TEXT,__text) external _mig_get_special_reply_port
000000018049e1b8 (__TEXT,__text) external _mig_put_reply_port
000000018049d7d8 (__TEXT,__text) external _mig_reply_setup
000000018049e1bc (__TEXT,__text) external _mig_strncpy
000000018049a4c8 (__TEXT,__text) external _mig_strncpy_zerofill
00000001804a7650 (__TEXT,__text) external _mincore
00000001804a767c (__TEXT,__text) external _minherit
0000000180498d28 (__TEXT,__text) external _mk_timer_arm
0000000180498d40 (__TEXT,__text) external _mk_timer_arm_leeway
0000000180498d34 (__TEXT,__text) external _mk_timer_cancel
0000000180498d10 (__TEXT,__text) external _mk_timer_create
0000000180498d1c (__TEXT,__text) external _mk_timer_destroy
000000018049a76c (__TEXT,__text) external _mkdir
000000018049c790 (__TEXT,__text) external _mkdirat
00000001804a76a8 (__TEXT,__text) external _mkfifo
00000001804a76d4 (__TEXT,__text) external _mkfifoat
00000001804a7700 (__TEXT,__text) external _mknod
00000001804a772c (__TEXT,__text) external _mknodat
00000001804a2ba0 (__TEXT,__text) external _mlock
00000001804a7758 (__TEXT,__text) external _mlockall
0000000180499958 (__TEXT,__text) external _mmap
00000001804a5250 (__TEXT,__text) external _mount
000000018049cae8 (__TEXT,__text) external _mprotect
00000001804a7784 (__TEXT,__text) external _mremap_encrypted
00000001804ab300 (__TEXT,__text) external _msg_receive
00000001804ab2f0 (__TEXT,__text) external _msg_rpc
00000001804ab2f8 (__TEXT,__text) external _msg_send
00000001804a6350 (__TEXT,__text) external _msgctl
00000001804a77b0 (__TEXT,__text) external _msgget
00000001804a77dc (__TEXT,__text) external _msgrcv
00000001804a637c (__TEXT,__text) external _msgrcv$NOCANCEL
00000001804a7808 (__TEXT,__text) external _msgsnd
00000001804a63a8 (__TEXT,__text) external _msgsnd$NOCANCEL
00000001804a5a30 (__TEXT,__text) external _msgsys
000000018049f324 (__TEXT,__text) external _msync
00000001804a6400 (__TEXT,__text) external _msync$NOCANCEL
00000001804a2bcc (__TEXT,__text) external _munlock
00000001804a7834 (__TEXT,__text) external _munlockall
000000018049c6a4 (__TEXT,__text) external _munmap
000000018049cec0 (__TEXT,__text) external _necp_client_action
00000001804a3e20 (__TEXT,__text) external _necp_match_policy
000000018049ce68 (__TEXT,__text) external _necp_open
00000001804a7860 (__TEXT,__text) external _necp_session_action
00000001804a788c (__TEXT,__text) external _necp_session_open
00000001804a78b8 (__TEXT,__text) external _net_qos_guideline
00000001804a78e4 (__TEXT,__text) external _netagent_trigger
00000001804c2bc4 (__TEXT,__text) external _netname_check_in
00000001804c2fb4 (__TEXT,__text) external _netname_check_out
00000001804c2d68 (__TEXT,__text) external _netname_look_up
00000001804c3154 (__TEXT,__text) external _netname_version
00000001804ad65c (__TEXT,__text) external _nfsclnt
00000001804a7910 (__TEXT,__text) external _nfssvc
00000001e9d55c10 (__DATA,__data) external _non_boost_assertion_token
00000001e9d55c08 (__DATA,__data) external _normal_boost_assertion_token
00000001804a793c (__TEXT,__text) external _ntp_adjtime
00000001804a7968 (__TEXT,__text) external _ntp_gettime
00000001804a7994 (__TEXT,__text) external _objc_bp_assist_cfg_np
00000001804a488c (__TEXT,__text) external _open
00000001804ad6e4 (__TEXT,__text) external _open$NOCANCEL
000000018049e780 (__TEXT,__text) external _open_dprotected_np
00000001804b4ca4 (__TEXT,__text) external _openat
00000001804ad7ac (__TEXT,__text) external _openat$NOCANCEL
00000001804b551c (__TEXT,__text) external _openat_authenticated_np
00000001804b54b8 (__TEXT,__text) external _openat_dprotected_np
00000001804a79c0 (__TEXT,__text) external _openbyid_np
00000001804aa3f4 (__TEXT,__text) external _os_buflet_get_data_address
00000001804aa3c4 (__TEXT,__text) external _os_buflet_get_data_length
00000001804aa3fc (__TEXT,__text) external _os_buflet_get_data_limit
00000001804aa3bc (__TEXT,__text) external _os_buflet_get_data_offset
00000001804aa3e4 (__TEXT,__text) external _os_buflet_get_object_address
00000001804aa3ec (__TEXT,__text) external _os_buflet_get_object_limit
00000001804aa3d8 (__TEXT,__text) external _os_buflet_set_data_length
00000001804aa3cc (__TEXT,__text) external _os_buflet_set_data_offset
00000001804b0770 (__TEXT,__text) external _os_channel_advance_slot
00000001804b1358 (__TEXT,__text) external _os_channel_attr_clone
00000001804b12c4 (__TEXT,__text) external _os_channel_attr_create
00000001804b1578 (__TEXT,__text) external _os_channel_attr_destroy
00000001804b1748 (__TEXT,__text) external _os_channel_attr_get
00000001804b1870 (__TEXT,__text) external _os_channel_attr_get_key
00000001804b1650 (__TEXT,__text) external _os_channel_attr_set
00000001804b13ec (__TEXT,__text) external _os_channel_attr_set_key
00000001804b0718 (__TEXT,__text) external _os_channel_available_slot_count
00000001804b2cf4 (__TEXT,__text) external _os_channel_buflet_alloc
00000001804b270c (__TEXT,__text) external _os_channel_buflet_free
00000001804b2cc0 (__TEXT,__text) external _os_channel_configure_interface_advisory
00000001804b0374 (__TEXT,__text) external _os_channel_create
00000001804af9c4 (__TEXT,__text) external _os_channel_create_extended
00000001804b04fc (__TEXT,__text) external _os_channel_destroy
00000001804b2c24 (__TEXT,__text) external _os_channel_event_free
00000001804b6198 (__TEXT,__text) external _os_channel_event_get_event_data
00000001804b6100 (__TEXT,__text) external _os_channel_event_get_next_event
00000001804b0f08 (__TEXT,__text) external _os_channel_flow_admissible
00000001804b10e0 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
00000001804b10e8 (__TEXT,__text) external _os_channel_flow_adv_get_feedback
00000001804b0ee4 (__TEXT,__text) external _os_channel_get_advisory_region
00000001804b0384 (__TEXT,__text) external _os_channel_get_fd
00000001804b2c28 (__TEXT,__text) external _os_channel_get_interface_advisory
00000001804b289c (__TEXT,__text) external _os_channel_get_next_event_handle
00000001804b07fc (__TEXT,__text) external _os_channel_get_next_slot
00000001804b0e74 (__TEXT,__text) external _os_channel_get_stats_region
00000001804b2f1c (__TEXT,__text) external _os_channel_get_upp_buffer_stats
00000001804b0168 (__TEXT,__text) non-external _os_channel_info2attr
00000001804b026c (__TEXT,__text) non-external _os_channel_init_ring
00000001804b05e8 (__TEXT,__text) external _os_channel_is_defunct
00000001804b1cf4 (__TEXT,__text) external _os_channel_large_packet_alloc
00000001804b18ec (__TEXT,__text) external _os_channel_packet_alloc
00000001804b18f4 (__TEXT,__text) non-external _os_channel_packet_alloc_common
00000001804b1cfc (__TEXT,__text) external _os_channel_packet_free
00000001804b21a0 (__TEXT,__text) external _os_channel_packet_pool_purge
00000001804b06e8 (__TEXT,__text) external _os_channel_pending
00000001804b2484 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
00000001804b038c (__TEXT,__text) external _os_channel_read_attr
00000001804b04ac (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000001804b05fc (__TEXT,__text) external _os_channel_ring_id
00000001804b070c (__TEXT,__text) external _os_channel_ring_notify_time
00000001804b0700 (__TEXT,__text) external _os_channel_ring_sync_time
00000001804b068c (__TEXT,__text) external _os_channel_rx_ring
00000001804b0be8 (__TEXT,__text) external _os_channel_set_slot_properties
00000001804b1e84 (__TEXT,__text) external _os_channel_slot_attach_packet
00000001804b2010 (__TEXT,__text) external _os_channel_slot_detach_packet
00000001804b0d24 (__TEXT,__text) external _os_channel_slot_get_packet
00000001804b04d0 (__TEXT,__text) external _os_channel_sync
00000001804b0648 (__TEXT,__text) external _os_channel_tx_ring
00000001804b03e0 (__TEXT,__text) external _os_channel_write_attr
00000001804aa380 (__TEXT,__text) external _os_copy_and_inet_checksum
00000001804a57a0 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001804b53c4 (__TEXT,__text) external _os_cpu_in_cksum
00000001804a5500 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
00000001804a79ec (__TEXT,__text) external _os_fault_with_payload
00000001804aa37c (__TEXT,__text) external _os_inet_checksum
00000001804af5c4 (__TEXT,__text) external _os_log_coprocessor_as_kernel
00000001804af5c8 (__TEXT,__text) external _os_log_coprocessor_register_as_kernel
00000001804b3754 (__TEXT,__text) external _os_nexus_attr_clone
00000001804b36c0 (__TEXT,__text) external _os_nexus_attr_create
00000001804b397c (__TEXT,__text) external _os_nexus_attr_destroy
00000001804b3948 (__TEXT,__text) external _os_nexus_attr_get
00000001804b37b0 (__TEXT,__text) external _os_nexus_attr_set
00000001804b40c4 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001804b3da8 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001804b3dc8 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
00000001804b39c8 (__TEXT,__text) external _os_nexus_controller_create
00000001804b3d9c (__TEXT,__text) external _os_nexus_controller_deregister_provider
00000001804b46d0 (__TEXT,__text) external _os_nexus_controller_destroy
00000001804b3dbc (__TEXT,__text) external _os_nexus_controller_free_provider_instance
00000001804b3abc (__TEXT,__text) external _os_nexus_controller_get_fd
00000001804b4370 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
00000001804b3f68 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
00000001804b3ac4 (__TEXT,__text) external _os_nexus_controller_register_provider
00000001804b42d8 (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001804b3eec (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
00000001804b4c0c (__TEXT,__text) external _os_nexus_flow_set_connection_idle
00000001804b4a58 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
00000001804aa2a4 (__TEXT,__text) external _os_packet_add_buflet
00000001804a9c34 (__TEXT,__text) external _os_packet_add_inet_csum_flags
00000001804a9d34 (__TEXT,__text) external _os_packet_clear_flow_uuid
00000001804aa330 (__TEXT,__text) external _os_packet_decrement_use_count
00000001804aa1a4 (__TEXT,__text) external _os_packet_finalize
00000001804aa358 (__TEXT,__text) external _os_packet_get_aggregation_type
00000001804aa150 (__TEXT,__text) external _os_packet_get_buflet_count
00000001804a9af0 (__TEXT,__text) external _os_packet_get_compression_generation_count
00000001804aa144 (__TEXT,__text) external _os_packet_get_data_length
00000001804a9d88 (__TEXT,__text) external _os_packet_get_expire_time
00000001804a9ddc (__TEXT,__text) external _os_packet_get_expiry_action
00000001804a9c84 (__TEXT,__text) external _os_packet_get_flow_uuid
00000001804a9d78 (__TEXT,__text) external _os_packet_get_group_end
00000001804a9d54 (__TEXT,__text) external _os_packet_get_group_start
00000001804a97fc (__TEXT,__text) external _os_packet_get_headroom
00000001804a9c54 (__TEXT,__text) external _os_packet_get_inet_checksum
00000001804aa0f4 (__TEXT,__text) external _os_packet_get_keep_alive
00000001804a9850 (__TEXT,__text) external _os_packet_get_link_broadcast
00000001804a98a0 (__TEXT,__text) external _os_packet_get_link_ethfcs
00000001804a982c (__TEXT,__text) external _os_packet_get_link_header_length
00000001804a9878 (__TEXT,__text) external _os_packet_get_link_multicast
00000001804aa168 (__TEXT,__text) external _os_packet_get_next_buflet
00000001804a9f74 (__TEXT,__text) external _os_packet_get_packetid
00000001804aa198 (__TEXT,__text) external _os_packet_get_segment_count
00000001804a9a1c (__TEXT,__text) external _os_packet_get_service_class
00000001804a9e38 (__TEXT,__text) external _os_packet_get_token
00000001804aa404 (__TEXT,__text) external _os_packet_get_trace_id
00000001804a9b4c (__TEXT,__text) external _os_packet_get_traffic_class
00000001804a9918 (__TEXT,__text) external _os_packet_get_transport_retransmit
00000001804a98c8 (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804a98f0 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
00000001804aa120 (__TEXT,__text) external _os_packet_get_truncated
00000001804aa07c (__TEXT,__text) external _os_packet_get_vlan_id
00000001804aa084 (__TEXT,__text) external _os_packet_get_vlan_priority
00000001804aa054 (__TEXT,__text) external _os_packet_get_vlan_tag
00000001804aa0d0 (__TEXT,__text) external _os_packet_get_wake_flag
00000001804aa304 (__TEXT,__text) external _os_packet_increment_use_count
00000001804aa08c (__TEXT,__text) external _os_packet_set_app_metadata
00000001804a9ae0 (__TEXT,__text) external _os_packet_set_compression_generation_count
00000001804a9db8 (__TEXT,__text) external _os_packet_set_expire_time
00000001804a9e0c (__TEXT,__text) external _os_packet_set_expiry_action
00000001804a9cdc (__TEXT,__text) external _os_packet_set_flow_uuid
00000001804a9d64 (__TEXT,__text) external _os_packet_set_group_end
00000001804a9d40 (__TEXT,__text) external _os_packet_set_group_start
00000001804a97d8 (__TEXT,__text) external _os_packet_set_headroom
00000001804a9c10 (__TEXT,__text) external _os_packet_set_inet_checksum
00000001804aa104 (__TEXT,__text) external _os_packet_set_keep_alive
00000001804aa130 (__TEXT,__text) external _os_packet_set_l4s_flag
00000001804a9838 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804a9888 (__TEXT,__text) external _os_packet_set_link_ethfcs
00000001804a9808 (__TEXT,__text) external _os_packet_set_link_header_length
00000001804a9860 (__TEXT,__text) external _os_packet_set_link_multicast
00000001804a9fe0 (__TEXT,__text) external _os_packet_set_packetid
00000001804aa480 (__TEXT,__text) external _os_packet_set_protocol_segment_size
00000001804a9940 (__TEXT,__text) external _os_packet_set_service_class
00000001804a9ee0 (__TEXT,__text) external _os_packet_set_token
00000001804aa410 (__TEXT,__text) external _os_packet_set_trace_id
00000001804a9b1c (__TEXT,__text) external _os_packet_set_traffic_class
00000001804a9928 (__TEXT,__text) external _os_packet_set_transport_last_packet
00000001804a9900 (__TEXT,__text) external _os_packet_set_transport_retransmit
00000001804a98b0 (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001804a98d8 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
00000001804aa490 (__TEXT,__text) external _os_packet_set_tso_flags
00000001804aa364 (__TEXT,__text) external _os_packet_set_tx_timestamp
00000001804aa038 (__TEXT,__text) external _os_packet_set_vlan_tag
00000001804aa0e0 (__TEXT,__text) external _os_packet_set_wake_flag
00000001804aa41c (__TEXT,__text) external _os_packet_trace_event
00000001804ab970 (__TEXT,__text) external _os_proc_available_memory
00000001804ab228 (__TEXT,__text) external _panic
00000001804ab21c (__TEXT,__text) external _panic_init
00000001804a7a18 (__TEXT,__text) external _panic_with_data
00000001804a101c (__TEXT,__text) external _pathconf
00000001804a7a44 (__TEXT,__text) external _peeloff
0000000180498c20 (__TEXT,__text) external _pid_for_task
00000001804a7a70 (__TEXT,__text) external _pid_hibernate
00000001804a7a9c (__TEXT,__text) external _pid_resume
00000001804b2fb0 (__TEXT,__text) external _pid_shutdown_networking
00000001804a7ac8 (__TEXT,__text) external _pid_shutdown_sockets
00000001804a7af4 (__TEXT,__text) external _pid_suspend
000000018049f350 (__TEXT,__text) external _pipe
00000001804a7b20 (__TEXT,__text) external _pivot_root
00000001804a16b8 (__TEXT,__text) external _poll
00000001804a65e4 (__TEXT,__text) external _poll$NOCANCEL
00000001804a9704 (__TEXT,__text) non-external _port_for_id_internal
00000001804ab278 (__TEXT,__text) external _port_obj_init
00000001e9d55c48 (__DATA,__common) external _port_obj_table
00000001e9d55bf8 (__DATA,__data) external _port_obj_table_size
000000018049b994 (__TEXT,__text) external _posix_madvise
000000018049fe20 (__TEXT,__text) external _posix_spawn
00000001804a4600 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
00000001804ae824 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
00000001804ae8dc (__TEXT,__text) external _posix_spawn_file_actions_addchdir
00000001804ae8d8 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001804a5420 (__TEXT,__text) external _posix_spawn_file_actions_addclose
000000018049f864 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000001804ae9a4 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir
00000001804ae9a0 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
00000001804a5384 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
00000001804a4aa4 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001804a0394 (__TEXT,__text) external _posix_spawn_file_actions_destroy
000000018049f780 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001e9d55c80 (__DATA,__bss) non-external _posix_spawn_with_filter
00000001804a0090 (__TEXT,__text) external _posix_spawnattr_destroy
00000001804ae774 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
00000001804aed64 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000001804aed20 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000001804ae3b4 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
00000001804ae34c (__TEXT,__text) external _posix_spawnattr_getbinpref_np
00000001804aea60 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000001804ae2bc (__TEXT,__text) external _posix_spawnattr_getflags
000000018049fb4c (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
00000001804ae428 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
00000001804ae304 (__TEXT,__text) external _posix_spawnattr_getpgroup
00000001804ae44c (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000001804ae2e0 (__TEXT,__text) external _posix_spawnattr_getsigdefault
00000001804ae328 (__TEXT,__text) external _posix_spawnattr_getsigmask
000000018049f9d8 (__TEXT,__text) external _posix_spawnattr_init
00000001804ae79c (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
00000001804af37c (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
00000001804af4c8 (__TEXT,__text) external _posix_spawnattr_set_conclavememlimit_ext
00000001804ae7e4 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
00000001804ae7c4 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
00000001804ae804 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
00000001804aef68 (__TEXT,__text) external _posix_spawnattr_set_csm_np
00000001804aed44 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
00000001804af488 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
00000001804af090 (__TEXT,__text) external _posix_spawnattr_set_gid_np
00000001804af164 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000001804aeaac (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
00000001804af4e8 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
00000001804ccfb8 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
00000001804af4a8 (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
00000001804af5a4 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
00000001804af26c (__TEXT,__text) external _posix_spawnattr_set_login_np
00000001804aef24 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
00000001804aee88 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
00000001804aeebc (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
00000001804aed88 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000001804aee58 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
00000001804ae754 (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000001804af468 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
00000001804aebd4 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000001804aecf0 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
00000001804aeb40 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
00000001804ae5e8 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000001804aea8c (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
00000001804aefc0 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000001804ae5ac (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
00000001804ae490 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001804a45c8 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
00000001804a4ba8 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
00000001804aec0c (__TEXT,__text) external _posix_spawnattr_setcoalition_np
00000001804aea40 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001804a4a4c (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
00000001804ae57c (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
00000001804a54bc (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
000000018049fb2c (__TEXT,__text) external _posix_spawnattr_setflags
00000001804a16e4 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
000000018049fc0c (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
00000001804aef44 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
00000001804ae53c (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
00000001804ae470 (__TEXT,__text) external _posix_spawnattr_setpgroup
00000001804ae55c (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
000000018049fb08 (__TEXT,__text) external _posix_spawnattr_setsigdefault
000000018049fae4 (__TEXT,__text) external _posix_spawnattr_setsigmask
00000001804a4a74 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
000000018049a634 (__TEXT,__text) external _pread
00000001804a6610 (__TEXT,__text) external _pread$NOCANCEL
00000001804a7b4c (__TEXT,__text) external _preadv
00000001804a663c (__TEXT,__text) external _preadv$NOCANCEL
00000001804ad9b8 (__TEXT,__text) non-external _prepare_times_array_and_attrs
00000001804ace10 (__TEXT,__text) external _proc_clear_cpulimits
00000001804acfe8 (__TEXT,__text) external _proc_clear_delayidlesleep
00000001804ac820 (__TEXT,__text) external _proc_clear_dirty
00000001804acec8 (__TEXT,__text) external _proc_clear_vmpressure
00000001804ac6d8 (__TEXT,__text) external _proc_current_thread_schedinfo
00000001804a2eb4 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
00000001804a2f78 (__TEXT,__text) external _proc_denap_assertion_complete
00000001804ad048 (__TEXT,__text) external _proc_disable_apptype
00000001804a428c (__TEXT,__text) external _proc_disable_cpumon
00000001804a2b6c (__TEXT,__text) external _proc_disable_wakemon
00000001804ace70 (__TEXT,__text) external _proc_donate_importance_boost
00000001804ad0c0 (__TEXT,__text) external _proc_enable_apptype
00000001804a2aec (__TEXT,__text) external _proc_get_cpumon_params
00000001804ac7a4 (__TEXT,__text) external _proc_get_dirty
00000001804acd0c (__TEXT,__text) external _proc_get_wakemon_params
00000001804a2ebc (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
00000001804a2f7c (__TEXT,__text) external _proc_importance_assertion_complete
00000001804ac5dc (__TEXT,__text) external _proc_kmsgbuf
00000001804ac784 (__TEXT,__text) external _proc_libversion
00000001804acd78 (__TEXT,__text) external _proc_list_dynkqueueids
00000001804acd5c (__TEXT,__text) external _proc_list_uptrs
00000001804ac2ec (__TEXT,__text) external _proc_listallpids
00000001804ac364 (__TEXT,__text) external _proc_listchildpids
00000001804ac3a0 (__TEXT,__text) external _proc_listcoalitions
00000001804ac328 (__TEXT,__text) external _proc_listpgrppids
00000001804a2e64 (__TEXT,__text) external _proc_listpids
00000001804b5584 (__TEXT,__text) external _proc_listpidspath
000000018049ee28 (__TEXT,__text) external _proc_name
00000001804a0aa8 (__TEXT,__text) external _proc_pid_rusage
00000001804ac490 (__TEXT,__text) external _proc_piddynkqueueinfo
00000001804ac420 (__TEXT,__text) external _proc_pidfdinfo
00000001804ac458 (__TEXT,__text) external _proc_pidfileportinfo
000000018049a0bc (__TEXT,__text) external _proc_pidinfo
00000001804a0758 (__TEXT,__text) external _proc_pidoriginatorinfo
000000018049a8ec (__TEXT,__text) external _proc_pidpath
00000001804ac614 (__TEXT,__text) external _proc_pidpath_audittoken
00000001804ac4e4 (__TEXT,__text) external _proc_regionfilename
00000001804ace04 (__TEXT,__text) external _proc_reset_footprint_interval
00000001804acb54 (__TEXT,__text) external _proc_resume_cpumon
00000001804a157c (__TEXT,__text) external _proc_rlimit_control
00000001804a0a5c (__TEXT,__text) external _proc_set_cpumon_defaults
00000001804a09e4 (__TEXT,__text) external _proc_set_cpumon_params
00000001804acb74 (__TEXT,__text) external _proc_set_cpumon_params_fatal
00000001804ad208 (__TEXT,__text) external _proc_set_csm
00000001804acf88 (__TEXT,__text) external _proc_set_delayidlesleep
000000018049c138 (__TEXT,__text) external _proc_set_dirty
00000001804ad140 (__TEXT,__text) external _proc_set_no_smt
00000001804acf28 (__TEXT,__text) external _proc_set_owner_vmpressure
00000001804a2bf8 (__TEXT,__text) external _proc_set_wakemon_defaults
00000001804accd8 (__TEXT,__text) external _proc_set_wakemon_params
00000001804acd94 (__TEXT,__text) external _proc_setcpu_percentage
000000018049b1e4 (__TEXT,__text) external _proc_setpcontrol
00000001804ac3d8 (__TEXT,__text) external _proc_setthread_cpupercent
00000001804ad2cc (__TEXT,__text) external _proc_setthread_csm
00000001804ad1a4 (__TEXT,__text) external _proc_setthread_no_smt
