0000000182bd3000 (__DATA,__data) external _NDR_record
0000000180ab24ec (__TEXT,__text) external _macx_swapon
0000000180ab2510 (__TEXT,__text) external _macx_triggers
0000000180ab6348 (__TEXT,__text) external _madvise
0000000180ab76f0 (__TEXT,__text) non-external _malloc
0000000180ab7824 (__TEXT,__text) non-external _malloc_type_malloc
0000000180ab78cc (__TEXT,__text) non-external _malloc_type_realloc
0000000182bd3060 (__DATA,__bss) non-external _master_host_port
0000000180ab7998 (__TEXT,__text) non-external _memcpy
0000000180ab6374 (__TEXT,__text) external _memorystatus_control
0000000180ab63a0 (__TEXT,__text) external _memorystatus_get_level
0000000180abb1b4 (__TEXT,__text) external _mig_allocate
0000000180abb408 (__TEXT,__text) external _mig_dealloc_reply_port
0000000180ac87e0 (__TEXT,__text) external _mig_dealloc_special_reply_port
0000000180abb210 (__TEXT,__text) external _mig_deallocate
0000000180abb374 (__TEXT,__text) external _mig_get_reply_port
0000000180ac87a4 (__TEXT,__text) external _mig_get_special_reply_port
0000000180abb480 (__TEXT,__text) external _mig_put_reply_port
0000000180abb340 (__TEXT,__text) external _mig_reply_setup
0000000180abb484 (__TEXT,__text) external _mig_strncpy
0000000180abb4cc (__TEXT,__text) external _mig_strncpy_zerofill
0000000180ab63cc (__TEXT,__text) external _mincore
0000000180ab63f8 (__TEXT,__text) external _minherit
0000000180ab25d0 (__TEXT,__text) external _mk_timer_arm
0000000180ab25e8 (__TEXT,__text) external _mk_timer_arm_leeway
0000000180ab25dc (__TEXT,__text) external _mk_timer_cancel
0000000180ab25b8 (__TEXT,__text) external _mk_timer_create
0000000180ab25c4 (__TEXT,__text) external _mk_timer_destroy
0000000180ab6424 (__TEXT,__text) external _mkdir
0000000180ab6450 (__TEXT,__text) external _mkdirat
0000000180ab647c (__TEXT,__text) external _mkfifo
0000000180ab64a8 (__TEXT,__text) external _mkfifoat
0000000180ab64d4 (__TEXT,__text) external _mknod
0000000180ab6500 (__TEXT,__text) external _mknodat
0000000180ab652c (__TEXT,__text) external _mlock
0000000180ab6558 (__TEXT,__text) external _mlockall
0000000180ac4cd8 (__TEXT,__text) external _mmap
0000000180ab6584 (__TEXT,__text) external _mount
0000000180ab3a20 (__TEXT,__text) external _mprotect
0000000180ab65b0 (__TEXT,__text) external _mremap_encrypted
0000000180abb640 (__TEXT,__text) external _msg_receive
0000000180abb630 (__TEXT,__text) external _msg_rpc
0000000180abb638 (__TEXT,__text) external _msg_send
0000000180ab3a4c (__TEXT,__text) external _msgctl
0000000180ab65dc (__TEXT,__text) external _msgget
0000000180ab6608 (__TEXT,__text) external _msgrcv
0000000180ab3a78 (__TEXT,__text) external _msgrcv$NOCANCEL
0000000180ab6634 (__TEXT,__text) external _msgsnd
0000000180ab3aa4 (__TEXT,__text) external _msgsnd$NOCANCEL
0000000180ab28a4 (__TEXT,__text) external _msgsys
0000000180ab3afc (__TEXT,__text) external _msync
0000000180ab3b28 (__TEXT,__text) external _msync$NOCANCEL
0000000180ab6660 (__TEXT,__text) external _munlock
0000000180ab668c (__TEXT,__text) external _munlockall
0000000180ac9a1c (__TEXT,__text) external _munmap
0000000180ab66b8 (__TEXT,__text) external _necp_client_action
0000000180ab66e4 (__TEXT,__text) external _necp_match_policy
0000000180ab6710 (__TEXT,__text) external _necp_open
0000000180ab673c (__TEXT,__text) external _necp_session_action
0000000180ab6768 (__TEXT,__text) external _necp_session_open
0000000180ab6794 (__TEXT,__text) external _net_qos_guideline
0000000180ab67c0 (__TEXT,__text) external _netagent_trigger
0000000180ad7840 (__TEXT,__text) external _netname_check_in
0000000180ad7c40 (__TEXT,__text) external _netname_check_out
0000000180ad79e8 (__TEXT,__text) external _netname_look_up
0000000180ad7de4 (__TEXT,__text) external _netname_version
0000000180abdd48 (__TEXT,__text) external _nfsclnt
0000000180ab67ec (__TEXT,__text) external _nfssvc
0000000182bd2ff0 (__DATA,__data) external _non_boost_assertion_token
0000000182bd2fe8 (__DATA,__data) external _normal_boost_assertion_token
0000000180ab6818 (__TEXT,__text) external _ntp_adjtime
0000000180ab6844 (__TEXT,__text) external _ntp_gettime
0000000180ab6870 (__TEXT,__text) external _objc_bp_assist_cfg_np
0000000180ac6bc8 (__TEXT,__text) external _open
0000000180abddd4 (__TEXT,__text) external _open$NOCANCEL
0000000180ac769c (__TEXT,__text) external _open_dprotected_np
0000000180ac6bfc (__TEXT,__text) external _openat
0000000180abde08 (__TEXT,__text) external _openat$NOCANCEL
0000000180ac7758 (__TEXT,__text) external _openat_authenticated_np
0000000180ac76f8 (__TEXT,__text) external _openat_dprotected_np
0000000180ab689c (__TEXT,__text) external _openbyid_np
0000000180ab93d0 (__TEXT,__text) external _os_buflet_get_data_address
0000000180ab93a0 (__TEXT,__text) external _os_buflet_get_data_length
0000000180ab93d8 (__TEXT,__text) external _os_buflet_get_data_limit
0000000180ab9398 (__TEXT,__text) external _os_buflet_get_data_offset
0000000180ab93c0 (__TEXT,__text) external _os_buflet_get_object_address
0000000180ab93c8 (__TEXT,__text) external _os_buflet_get_object_limit
0000000180ab93b4 (__TEXT,__text) external _os_buflet_set_data_length
0000000180ab93a8 (__TEXT,__text) external _os_buflet_set_data_offset
0000000180ac1f10 (__TEXT,__text) external _os_channel_advance_slot
0000000180ac2b84 (__TEXT,__text) external _os_channel_attr_clone
0000000180ac2ae8 (__TEXT,__text) external _os_channel_attr_create
0000000180ac2db0 (__TEXT,__text) external _os_channel_attr_destroy
0000000180ac3020 (__TEXT,__text) external _os_channel_attr_get
0000000180ac31d4 (__TEXT,__text) external _os_channel_attr_get_key
0000000180ac2e90 (__TEXT,__text) external _os_channel_attr_set
0000000180ac2c18 (__TEXT,__text) external _os_channel_attr_set_key
0000000180ac1eb8 (__TEXT,__text) external _os_channel_available_slot_count
0000000180ac4888 (__TEXT,__text) external _os_channel_buflet_alloc
0000000180ac41c4 (__TEXT,__text) external _os_channel_buflet_free
0000000180ac4854 (__TEXT,__text) external _os_channel_configure_interface_advisory
0000000180ac1af0 (__TEXT,__text) external _os_channel_create
0000000180ac10d8 (__TEXT,__text) external _os_channel_create_extended
0000000180ac1c78 (__TEXT,__text) external _os_channel_destroy
0000000180ac47bc (__TEXT,__text) external _os_channel_event_free
0000000180ac8344 (__TEXT,__text) external _os_channel_event_get_event_data
0000000180ac8290 (__TEXT,__text) external _os_channel_event_get_next_event
0000000180ac272c (__TEXT,__text) external _os_channel_flow_admissible
0000000180ac2908 (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
0000000180ac2708 (__TEXT,__text) external _os_channel_get_advisory_region
0000000180ac1b00 (__TEXT,__text) external _os_channel_get_fd
0000000180ac47c0 (__TEXT,__text) external _os_channel_get_interface_advisory
0000000180ac436c (__TEXT,__text) external _os_channel_get_next_event_handle
0000000180ac1f9c (__TEXT,__text) external _os_channel_get_next_slot
0000000180ac2684 (__TEXT,__text) external _os_channel_get_stats_region
0000000180ac18c4 (__TEXT,__text) non-external _os_channel_info2attr
0000000180ac19e0 (__TEXT,__text) non-external _os_channel_init_ring
0000000180ac1d6c (__TEXT,__text) external _os_channel_is_defunct
0000000180ac3708 (__TEXT,__text) external _os_channel_large_packet_alloc
0000000180ac3250 (__TEXT,__text) external _os_channel_packet_alloc
0000000180ac3258 (__TEXT,__text) non-external _os_channel_packet_alloc_common
0000000180ac3710 (__TEXT,__text) external _os_channel_packet_free
0000000180ac3bdc (__TEXT,__text) external _os_channel_packet_pool_purge
0000000180ac1e88 (__TEXT,__text) external _os_channel_pending
0000000180ac3ee0 (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
0000000180ac1b08 (__TEXT,__text) external _os_channel_read_attr
0000000180ac1c28 (__TEXT,__text) external _os_channel_read_nexus_extension_info
0000000180ac1d80 (__TEXT,__text) external _os_channel_ring_id
0000000180ac1eac (__TEXT,__text) external _os_channel_ring_notify_time
0000000180ac1ea0 (__TEXT,__text) external _os_channel_ring_sync_time
0000000180ac1e2c (__TEXT,__text) external _os_channel_rx_ring
0000000180ac23dc (__TEXT,__text) external _os_channel_set_slot_properties
0000000180ac38b0 (__TEXT,__text) external _os_channel_slot_attach_packet
0000000180ac3a3c (__TEXT,__text) external _os_channel_slot_detach_packet
0000000180ac2518 (__TEXT,__text) external _os_channel_slot_get_packet
0000000180ac1c4c (__TEXT,__text) external _os_channel_sync
0000000180ac1de8 (__TEXT,__text) external _os_channel_tx_ring
0000000180ac1b5c (__TEXT,__text) external _os_channel_write_attr
0000000180ab9364 (__TEXT,__text) external _os_copy_and_inet_checksum
0000000180ab2600 (__TEXT,__text) external _os_cpu_copy_in_cksum
0000000180ac75a0 (__TEXT,__text) external _os_cpu_in_cksum
0000000180ab2000 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
0000000180ab68c8 (__TEXT,__text) external _os_fault_with_payload
0000000180ab9360 (__TEXT,__text) external _os_inet_checksum
0000000180ac577c (__TEXT,__text) external _os_nexus_attr_clone
0000000180ac56e0 (__TEXT,__text) external _os_nexus_attr_create
0000000180ac5b08 (__TEXT,__text) external _os_nexus_attr_destroy
0000000180ac59c4 (__TEXT,__text) external _os_nexus_attr_get
0000000180ac57d8 (__TEXT,__text) external _os_nexus_attr_set
0000000180ac6284 (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
0000000180ac5f54 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
0000000180ac5f74 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
0000000180ac5b58 (__TEXT,__text) external _os_nexus_controller_create
0000000180ac5f48 (__TEXT,__text) external _os_nexus_controller_deregister_provider
0000000180ac6664 (__TEXT,__text) external _os_nexus_controller_destroy
0000000180ac5f68 (__TEXT,__text) external _os_nexus_controller_free_provider_instance
0000000180ac5c58 (__TEXT,__text) external _os_nexus_controller_get_fd
0000000180ac6478 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
0000000180ac6120 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
0000000180ac5c60 (__TEXT,__text) external _os_nexus_controller_register_provider
0000000180ac63dc (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
0000000180ac60a0 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
0000000180ac6a0c (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
0000000180ab9228 (__TEXT,__text) external _os_packet_add_buflet
0000000180ab87d4 (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180ab8914 (__TEXT,__text) external _os_packet_clear_flow_uuid
0000000180ab92d4 (__TEXT,__text) external _os_packet_decrement_use_count
0000000180ab907c (__TEXT,__text) external _os_packet_finalize
0000000180ab92fc (__TEXT,__text) external _os_packet_get_aggregation_type
0000000180ab8f88 (__TEXT,__text) external _os_packet_get_buflet_count
0000000180ab8650 (__TEXT,__text) external _os_packet_get_compression_generation_count
0000000180ab8f7c (__TEXT,__text) external _os_packet_get_data_length
0000000180ab89e8 (__TEXT,__text) external _os_packet_get_expire_time
0000000180ab8a7c (__TEXT,__text) external _os_packet_get_expiry_action
0000000180ab8864 (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180ab89b8 (__TEXT,__text) external _os_packet_get_group_end
0000000180ab8954 (__TEXT,__text) external _os_packet_get_group_start
0000000180ab80b0 (__TEXT,__text) external _os_packet_get_headroom
0000000180ab8814 (__TEXT,__text) external _os_packet_get_inet_checksum
0000000180ab8eb8 (__TEXT,__text) external _os_packet_get_keep_alive
0000000180ab81ac (__TEXT,__text) external _os_packet_get_link_broadcast
0000000180ab82cc (__TEXT,__text) external _os_packet_get_link_ethfcs
0000000180ab8134 (__TEXT,__text) external _os_packet_get_link_header_length
0000000180ab823c (__TEXT,__text) external _os_packet_get_link_multicast
0000000180ab8fc4 (__TEXT,__text) external _os_packet_get_next_buflet
0000000180ab8c74 (__TEXT,__text) external _os_packet_get_packetid
0000000180ab9050 (__TEXT,__text) external _os_packet_get_segment_count
0000000180ab855c (__TEXT,__text) external _os_packet_get_service_class
0000000180ab8b18 (__TEXT,__text) external _os_packet_get_token
0000000180ab93e0 (__TEXT,__text) external _os_packet_get_trace_id
0000000180ab86cc (__TEXT,__text) external _os_packet_get_traffic_class
0000000180ab8418 (__TEXT,__text) external _os_packet_get_transport_retransmit
0000000180ab8348 (__TEXT,__text) external _os_packet_get_transport_traffic_background
0000000180ab83b0 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
0000000180ab8f04 (__TEXT,__text) external _os_packet_get_truncated
0000000180ab8e34 (__TEXT,__text) external _os_packet_get_vlan_id
0000000180ab8e3c (__TEXT,__text) external _os_packet_get_vlan_priority
0000000180ab8dcc (__TEXT,__text) external _os_packet_get_vlan_tag
0000000180ab8ea8 (__TEXT,__text) external _os_packet_get_wake_flag
0000000180ab92a8 (__TEXT,__text) external _os_packet_increment_use_count
0000000180ab8e44 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180ab8620 (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180ab8a38 (__TEXT,__text) external _os_packet_set_expire_time
0000000180ab8acc (__TEXT,__text) external _os_packet_set_expiry_action
0000000180ab88bc (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180ab8984 (__TEXT,__text) external _os_packet_set_group_end
0000000180ab8920 (__TEXT,__text) external _os_packet_set_group_start
0000000180ab8058 (__TEXT,__text) external _os_packet_set_headroom
0000000180ab8790 (__TEXT,__text) external _os_packet_set_inet_checksum
0000000180ab8ec8 (__TEXT,__text) external _os_packet_set_keep_alive
0000000180ab8f48 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180ab8160 (__TEXT,__text) external _os_packet_set_link_broadcast
0000000180ab8280 (__TEXT,__text) external _os_packet_set_link_ethfcs
0000000180ab80f0 (__TEXT,__text) external _os_packet_set_link_header_length
0000000180ab81f0 (__TEXT,__text) external _os_packet_set_link_multicast
0000000180ab8cf0 (__TEXT,__text) external _os_packet_set_packetid
0000000180ab94a0 (__TEXT,__text) external _os_packet_set_protocol_segment_size
0000000180ab8480 (__TEXT,__text) external _os_packet_set_service_class
0000000180ab8bd0 (__TEXT,__text) external _os_packet_set_token
0000000180ab9400 (__TEXT,__text) external _os_packet_set_trace_id
0000000180ab869c (__TEXT,__text) external _os_packet_set_traffic_class
0000000180ab8448 (__TEXT,__text) external _os_packet_set_transport_last_packet
0000000180ab83e0 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180ab8310 (__TEXT,__text) external _os_packet_set_transport_traffic_background
0000000180ab8378 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
0000000180ab94d0 (__TEXT,__text) external _os_packet_set_tso_flags
0000000180ab9328 (__TEXT,__text) external _os_packet_set_tx_timestamp
0000000180ab8d6c (__TEXT,__text) external _os_packet_set_vlan_tag
0000000180ab942c (__TEXT,__text) external _os_packet_trace_event
0000000180abbef4 (__TEXT,__text) external _os_proc_available_memory
0000000180abb558 (__TEXT,__text) external _panic
0000000180abb54c (__TEXT,__text) external _panic_init
0000000180ab68f4 (__TEXT,__text) external _panic_with_data
0000000180ab6920 (__TEXT,__text) external _pathconf
0000000180ab694c (__TEXT,__text) external _peeloff
0000000180ab24d4 (__TEXT,__text) external _pid_for_task
0000000180ab6978 (__TEXT,__text) external _pid_hibernate
0000000180ab69a4 (__TEXT,__text) external _pid_resume
0000000180ac4b44 (__TEXT,__text) external _pid_shutdown_networking
0000000180ab69d0 (__TEXT,__text) external _pid_shutdown_sockets
0000000180ab69fc (__TEXT,__text) external _pid_suspend
0000000180ab3e14 (__TEXT,__text) external _pipe
0000000180ab6a28 (__TEXT,__text) external _pivot_root
0000000180ab8008 (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180ab8030 (__TEXT,__text) external _pkt_type_assert_fail
0000000180ab6a54 (__TEXT,__text) external _poll
0000000180ab3e4c (__TEXT,__text) external _poll$NOCANCEL
0000000180ab7f30 (__TEXT,__text) non-external _port_for_id_internal
0000000180abb5a8 (__TEXT,__text) external _port_obj_init
0000000182bd30d8 (__DATA,__common) external _port_obj_table
0000000182bd2fd8 (__DATA,__data) external _port_obj_table_size
0000000180ab6348 (__TEXT,__text) external _posix_madvise
0000000180ac0604 (__TEXT,__text) external _posix_spawn
0000000180abf210 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
0000000180abf720 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
0000000180abf870 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
0000000180abf5d0 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000180abf66c (__TEXT,__text) external _posix_spawn_file_actions_adddup2
0000000180abf938 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
0000000180abf7d4 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
0000000180abf470 (__TEXT,__text) external _posix_spawn_file_actions_addopen
0000000180abf3dc (__TEXT,__text) external _posix_spawn_file_actions_destroy
0000000180abf388 (__TEXT,__text) external _posix_spawn_file_actions_init
0000000180abe88c (__TEXT,__text) external _posix_spawnattr_destroy
0000000180abf130 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
0000000180abff94 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
0000000180abff50 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
0000000180abecc8 (__TEXT,__text) external _posix_spawnattr_getarchpref_np
0000000180abec60 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
0000000180abfa1c (__TEXT,__text) external _posix_spawnattr_getcpumonitor
0000000180abebd0 (__TEXT,__text) external _posix_spawnattr_getflags
0000000180abfbf4 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
0000000180abed3c (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
0000000180abec18 (__TEXT,__text) external _posix_spawnattr_getpgroup
0000000180abed60 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
0000000180abebf4 (__TEXT,__text) external _posix_spawnattr_getsigdefault
0000000180abec3c (__TEXT,__text) external _posix_spawnattr_getsigmask
0000000180abe7c0 (__TEXT,__text) external _posix_spawnattr_init
0000000180abf158 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
0000000180ac0430 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
0000000180abf1a0 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
0000000180abf180 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
0000000180abf1c0 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
0000000180ac0160 (__TEXT,__text) external _posix_spawnattr_set_csm_np
0000000180abff74 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
0000000180ac0504 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
0000000180ac0274 (__TEXT,__text) external _posix_spawnattr_set_gid_np
0000000180ac02dc (__TEXT,__text) external _posix_spawnattr_set_groups_np
0000000180abfa94 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
0000000180ac0544 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
0000000180ae4908 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
0000000180ac0524 (__TEXT,__text) external _posix_spawnattr_set_kqworklooplimit_ext
0000000180ac05e4 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
0000000180ac037c (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000180ac011c (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000180ac0080 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000180ac00b4 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000180abffb8 (__TEXT,__text) external _posix_spawnattr_set_persona_np
0000000180ac0050 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
0000000180abf110 (__TEXT,__text) external _posix_spawnattr_set_platform_np
0000000180ac04e4 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
0000000180abfbbc (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
0000000180abff20 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
0000000180abfb28 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000180abefcc (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
0000000180abfa74 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000180ac01b8 (__TEXT,__text) external _posix_spawnattr_set_uid_np
0000000180abefa4 (__TEXT,__text) external _posix_spawnattr_set_use_sec_transition_shims_np
0000000180abee90 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
0000000180abf350 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
0000000180abedec (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000180abfe74 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
0000000180abf9fc (__TEXT,__text) external _posix_spawnattr_setcpumonitor
0000000180abf9d4 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
0000000180abef78 (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
0000000180abf31c (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000180abebb0 (__TEXT,__text) external _posix_spawnattr_setflags
0000000180abfa48 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
0000000180abfcd8 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000180ac013c (__TEXT,__text) external _posix_spawnattr_setnosmt_np
0000000180abef38 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
0000000180abeda8 (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000180abef58 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
0000000180abed84 (__TEXT,__text) external _posix_spawnattr_setsigdefault
0000000180abedc8 (__TEXT,__text) external _posix_spawnattr_setsigmask
0000000180abf1e0 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000180ab6a80 (__TEXT,__text) external _pread
0000000180ab3ea4 (__TEXT,__text) external _pread$NOCANCEL
0000000180ab6aac (__TEXT,__text) external _preadv
0000000180ab3ed0 (__TEXT,__text) external _preadv$NOCANCEL
0000000180abdf70 (__TEXT,__text) non-external _prepare_times_array_and_attrs
0000000180abd3fc (__TEXT,__text) external _proc_clear_cpulimits
0000000180abd714 (__TEXT,__text) external _proc_clear_delayidlesleep
0000000180abcc44 (__TEXT,__text) external _proc_clear_dirty
0000000180abd5f4 (__TEXT,__text) external _proc_clear_vmpressure
0000000180abc9bc (__TEXT,__text) external _proc_current_thread_schedinfo
0000000180abd5e8 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180abd5f0 (__TEXT,__text) external _proc_denap_assertion_complete
0000000180abd774 (__TEXT,__text) external _proc_disable_apptype
0000000180abd0b0 (__TEXT,__text) external _proc_disable_cpumon
0000000180abd314 (__TEXT,__text) external _proc_disable_wakemon
0000000180abd45c (__TEXT,__text) external _proc_donate_importance_boost
0000000180abd7ec (__TEXT,__text) external _proc_enable_apptype
0000000180abcfc4 (__TEXT,__text) external _proc_get_cpumon_params
0000000180abcbc8 (__TEXT,__text) external _proc_get_dirty
0000000180abd290 (__TEXT,__text) external _proc_get_wakemon_params
0000000180abd4b4 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000180abd570 (__TEXT,__text) external _proc_importance_assertion_complete
0000000180abc7fc (__TEXT,__text) external _proc_kmsgbuf
0000000180abca68 (__TEXT,__text) external _proc_libversion
0000000180abd364 (__TEXT,__text) external _proc_list_dynkqueueids
0000000180abd348 (__TEXT,__text) external _proc_list_uptrs
0000000180abc380 (__TEXT,__text) external _proc_listallpids
0000000180abc3f8 (__TEXT,__text) external _proc_listchildpids
0000000180abc4c4 (__TEXT,__text) external _proc_listcoalitions
0000000180abc3bc (__TEXT,__text) external _proc_listpgrppids
0000000180abc348 (__TEXT,__text) external _proc_listpids
0000000180ac77c0 (__TEXT,__text) external _proc_listpidspath
0000000180abc624 (__TEXT,__text) external _proc_name
0000000180abc4fc (__TEXT,__text) external _proc_pid_rusage
0000000180abc5d0 (__TEXT,__text) external _proc_piddynkqueueinfo
0000000180abc560 (__TEXT,__text) external _proc_pidfdinfo
0000000180abc598 (__TEXT,__text) external _proc_pidfileportinfo
0000000180abc434 (__TEXT,__text) external _proc_pidinfo
0000000180abc46c (__TEXT,__text) external _proc_pidoriginatorinfo
0000000180abc834 (__TEXT,__text) external _proc_pidpath
0000000180abc8f4 (__TEXT,__text) external _proc_pidpath_audittoken
0000000180abc700 (__TEXT,__text) external _proc_regionfilename
0000000180abd3f0 (__TEXT,__text) external _proc_reset_footprint_interval
0000000180abd090 (__TEXT,__text) external _proc_resume_cpumon
0000000180ab6ad8 (__TEXT,__text) external _proc_rlimit_control
0000000180abd044 (__TEXT,__text) external _proc_set_cpumon_defaults
0000000180abcf78 (__TEXT,__text) external _proc_set_cpumon_params
0000000180abd0fc (__TEXT,__text) external _proc_set_cpumon_params_fatal
0000000180abd934 (__TEXT,__text) external _proc_set_csm
0000000180abd6b4 (__TEXT,__text) external _proc_set_delayidlesleep
0000000180abcb68 (__TEXT,__text) external _proc_set_dirty
0000000180abd86c (__TEXT,__text) external _proc_set_no_smt
0000000180abd654 (__TEXT,__text) external _proc_set_owner_vmpressure
0000000180abd2e0 (__TEXT,__text) external _proc_set_wakemon_defaults
0000000180abd25c (__TEXT,__text) external _proc_set_wakemon_params
0000000180abd380 (__TEXT,__text) external _proc_setcpu_percentage
0000000180abca88 (__TEXT,__text) external _proc_setpcontrol
0000000180abc518 (__TEXT,__text) external _proc_setthread_cpupercent
0000000180abda00 (__TEXT,__text) external _proc_setthread_csm
0000000180abd8d0 (__TEXT,__text) external _proc_setthread_no_smt
0000000180abcd20 (__TEXT,__text) external _proc_signal_delegate
0000000180abce24 (__TEXT,__text) external _proc_signal_with_audittoken
0000000180abd864 (__TEXT,__text) external _proc_suppress
0000000180abcca4 (__TEXT,__text) external _proc_terminate
0000000180abcf00 (__TEXT,__text) external _proc_terminate_all_rsr
0000000180abcd90 (__TEXT,__text) external _proc_terminate_delegate
0000000180abce80 (__TEXT,__text) external _proc_terminate_with_audittoken
0000000180ab6b04 (__TEXT,__text) external _proc_trace_log
0000000180abcb08 (__TEXT,__text) external _proc_track_dirty
0000000180abc608 (__TEXT,__text) external _proc_udata_info
0000000180ab6b30 (__TEXT,__text) external _proc_uuid_policy
0000000180ad75b8 (__TEXT,__text) external _processor_assign
0000000180ad7444 (__TEXT,__text) external _processor_control
0000000180ad7124 (__TEXT,__text) external _processor_exit
0000000180ad76e4 (__TEXT,__text) external _processor_get_assignment
0000000180ad7234 (__TEXT,__text) external _processor_info
0000000180ace278 (__TEXT,__text) external _processor_set_create
0000000180ace11c (__TEXT,__text) external _processor_set_default
0000000180ad6200 (__TEXT,__text) external _processor_set_destroy
0000000180ad6c7c (__TEXT,__text) external _processor_set_info
0000000180ad6314 (__TEXT,__text) external _processor_set_max_priority
0000000180ad697c (__TEXT,__text) external _processor_set_policy_control
0000000180ad6554 (__TEXT,__text) external _processor_set_policy_disable
0000000180ad6434 (__TEXT,__text) external _processor_set_policy_enable
0000000180ad6af0 (__TEXT,__text) external _processor_set_stack_usage
0000000180ad6020 (__TEXT,__text) external _processor_set_statistics
0000000180ad6674 (__TEXT,__text) external _processor_set_tasks
0000000180ad6e80 (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000180ad67f8 (__TEXT,__text) external _processor_set_threads
0000000180ad7014 (__TEXT,__text) external _processor_start
0000000180ac5380 (__TEXT,__text) external _pselect
0000000180ac743c (__TEXT,__text) external _pselect$DARWIN_EXTSN
0000000180abb8f0 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
0000000180ac5540 (__TEXT,__text) external _pselect$NOCANCEL
