00000001cd966854 (__TEXT,__text) non-external +[Cube initialize]
00000001e7c63570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._loopDuration
00000001e7c63578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._numberOfLoops
00000001e7c6356c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._phaseInDuration
00000001e7c63574 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerClock._phaseOutDuration
00000001e7c622cc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayerCommand.commandID
00000001e7c622d0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRLayerCommand.object
00000001e7c62344 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._ignoresNextTimeSynchronization
00000001e7c62348 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._isInInteractiveMode
00000001e7c6236c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningIsLandscape
00000001e7c62368 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningPreviousDelta
00000001e7c62364 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._panoramaPanningSlideID
00000001e7c62358 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect._previouslyRenderedContainerTime
00000001e7c62308 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mContainer
00000001e7c62338 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEditedElement
00000001e7c6232c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEffect
00000001e7c6230c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mEffectID
00000001e7c62350 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mHasRequestedMoreSlides
00000001e7c62360 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mIndexOfFirstMultiImageInput
00000001e7c62330 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mMultiImageModelInput
00000001e7c6234c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mMultiImageSlideRange
00000001e7c62318 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffect
00000001e7c6231c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffectAttributes
00000001e7c62354 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateEffectLiveAttributes
00000001e7c62324 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateSlides
00000001e7c62320 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateTexts
00000001e7c62340 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mNeedsToUpdateTiming
00000001e7c62334 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideProviders
00000001e7c62310 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideProvidersForElementIDs
00000001e7c6235c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlideShowTimeScripts
00000001e7c62328 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mSlidesAreReadonly
00000001e7c6233c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mTargetedElement
00000001e7c62314 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerEffect.mTextsForElementIDs
00000001e7c6242c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._currentSlideshowTime
00000001e7c623f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._currentSublayerTheoreticalTimeIn
00000001e7c623e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._needsToRecomputeCurrentSublayerTheoreticalTimeIn
00000001e7c6245c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._pauseWhenTransitionEnds
00000001e7c62424 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator._previouslyRenderedTransitionProgress
00000001e7c62394 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mContainer
00000001e7c62404 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mControlsSublayerTimes
00000001e7c623a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayer
00000001e7c62460 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerAnimationDuration
00000001e7c623b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerContainerTimeOnTransitionStart
00000001e7c6240c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerInterestingTime
00000001e7c62428 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerLazyDuration
00000001e7c62410 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentSublayerLazyFactor
00000001e7c623ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mCurrentTransition
00000001e7c623ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mElementToDraw
00000001e7c623c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mExtraSublayer
00000001e7c6246c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mFastScrubbingProgress
00000001e7c62468 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mFastScrubbingStartIndex
00000001e7c623b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mForcedTransitionProgress
00000001e7c62434 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mForcedTransitionProgressOffset
00000001e7c623f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHasWarnedDelegateAboutNearingEnd
00000001e7c623c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryBack
00000001e7c623c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryForth
00000001e7c62444 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mHistoryIsEnabled
00000001e7c62430 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsFastScrubbing
00000001e7c62458 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsInSlideFocusMode
00000001e7c623d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsInnerTransitioning
00000001e7c62398 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsSerializerBased
00000001e7c623cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mIsTransitioning
00000001e7c623e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNeedsToResyncToSerializer
00000001e7c623e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNeedsToUpdatePotentialTargetSublayers
00000001e7c623a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayer
00000001e7c62464 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerAnimationDuration
00000001e7c6241c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerInterestingTime
00000001e7c62414 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerLazyDuration
00000001e7c62418 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mNextSublayerLazyFactor
00000001e7c62454 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPausedSublayersForTransition
00000001e7c623bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPotentialTargetSublayers
00000001e7c623d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPrecomputingTarget
00000001e7c623dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mPrecomputingType
00000001e7c623b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayerToPrecompute
00000001e7c6239c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayers
00000001e7c623a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mSublayersForPlugs
00000001e7c623f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTotalMotionDuration
00000001e7c623d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionChanges
00000001e7c62420 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionDuration
00000001e7c62408 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsBackwards
00000001e7c62440 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsNextPrevious
00000001e7c6243c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionIsSubzero
00000001e7c623fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionStartTime
00000001e7c62438 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionStartedWithNext
00000001e7c62400 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerNavigator.mTransitionWasAborted
00000001e7c62494 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mBackgroundColor
00000001e7c62480 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mContainer
00000001e7c62490 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mNeedsToUpdateBackgroundColor
00000001e7c6248c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mNeedsToUpdateSublayersOrdering
00000001e7c62484 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mSublayers
00000001e7c62488 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRLayerParallelizer.mSublayersForPlugs
00000001e7c6360c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMCBlockAction._block
00000001e7c624ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._bailTimeWatcher
00000001e7c624c8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._context
00000001e7c62498 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._correctsForAutorotation
00000001e7c624ac (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._document
00000001e7c624c4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._enableSlideDidChangeNotification
00000001e7c624a0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._faceDetector
00000001e7c624a4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._faceTimer
00000001e7c624f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._frameBufferSize
00000001e7c624c0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._interactivityIsEnabled
00000001e7c624d8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._isAboutToPlay
00000001e7c624b8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._isReadonly
00000001e7c6249c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._lastSlideChange
00000001e7c624e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._masterClockIsSet
00000001e7c624dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._morphingToAspectRatio
00000001e7c624e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._nextMorphInfo
00000001e7c624cc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._pixelFormat
00000001e7c624a8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._renderer
00000001e7c624b0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._rendererSizeIsLocked
00000001e7c624b4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._sizeChangedWhileRendererSizeWasLocked
00000001e7c624bc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._slidesAreReadonly
00000001e7c624d0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._stopWithVideo
00000001e7c624e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._timestampOfLastRenderPass
00000001e7c624d4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayer._wasSuspended
00000001e7c62d38 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._marimbaLayer
00000001e7c62d40 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._pendingBeginTouches
00000001e7c62d3c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayerView._singleTapPositionAsValue
00000001e7c62d44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMarimbaLayerView._touchSet
00000001e7c624fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._marimbaLayer
00000001e7c624f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._marimbaView
00000001e7c62500 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._text
00000001e7c624f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaLayoutManager._textRenderer
00000001e7c62504 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._disableUpdate
00000001e7c6250c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._editedText
00000001e7c62510 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._marimbaPlayer
00000001e7c62508 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaTextView._useRichText
00000001e7c62d24 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._aspectRatio
00000001e7c62d20 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._exitButton
00000001e7c62d34 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._hudDelegate
00000001e7c62d2c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._hudShowCount
00000001e7c62d30 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._isEnteringExitingMarimba
00000001e7c62d28 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._isInMarimba
00000001e7c62d10 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._marimbaLayer
00000001e7c62d14 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._marimbaLayerView
00000001e7c62d18 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._orderedVideoPaths
00000001e7c62d1c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMarimbaView._usesExitButton
00000001e7c619dc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._context
00000001e7c619e4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._countOfIndices
00000001e7c619e0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._countOfVertices
00000001e7c619f0 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._dynamicVBO
00000001e7c61a00 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._dynamicVBOFeatures
00000001e7c619f8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._indexBuffer
00000001e7c619ec (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._staticVBO
00000001e7c619fc (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._staticVBOFeatures
00000001e7c619f4 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._streamVBO
00000001e7c61a04 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._streamVBOFeatures
00000001e7c61a08 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._type
00000001e7c619e8 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRMesh._vao
00000001e7c635c0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._duration
00000001e7c635c4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._easeIn
00000001e7c635c8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._easeOut
00000001e7c635b0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._key
00000001e7c635bc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._startTime
00000001e7c635b4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._startValue
00000001e7c635b8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRMotion._value
00000001e7c62524 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._curves
00000001e7c62528 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._keyTimes
00000001e7c62530 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._length
00000001e7c62534 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._timeFirstAtRestValue
00000001e7c6252c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MROrigamiAnimationPath._values
00000001e7c634d8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._direction
00000001e7c634e4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._factor
00000001e7c634dc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._isMaster
00000001e7c634e0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPanZoomRotationGestureRecognizer._type
00000001e7c62584 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationContext
00000001e7c62580 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathOpacity
00000001e7c62558 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathParam1
00000001e7c6255c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathParam2
00000001e7c62574 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRX
00000001e7c62578 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRY
00000001e7c6257c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathRZ
00000001e7c62570 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathScale
00000001e7c62564 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathX
00000001e7c62560 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathXY
00000001e7c62568 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathY
00000001e7c6256c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mAnimationPathZ
00000001e7c6258c (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mCurrentLayoutIndex
00000001e7c62590 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mNeedsUpdate
00000001e7c62594 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mPlug
00000001e7c62588 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRParallelPlugger.mPlugWasSetSinceLastRendering
00000001e7c62520 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchwork._patches
00000001e7c62514 (__DATA,__objc_ivar) non-external (was a private external) _OBJC_IVAR_$_MRPatchworkPatch._image
00000001e7c6251c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchworkPatch.needsBlend
00000001e7c62518 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPatchworkPatch.rectangle
00000001e7c6306c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.inner
00000001e7c63068 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.outer
00000001e7c63070 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameImage.size
00000001e7c6309c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.aspectRatio
00000001e7c630a0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.ignoreMatte
00000001e7c63098 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.onTable
00000001e7c63090 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.rect
00000001e7c63094 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.tableRect
00000001e7c630a4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameInfo.useLastFrame
00000001e7c6308c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.ignoreBlend
00000001e7c63078 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.image
00000001e7c63084 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.innerRect
00000001e7c63074 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.next
00000001e7c63088 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.outerRect
00000001e7c63080 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.rect
00000001e7c6307c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPictureFrameRenderable.where
00000001e7c631ec (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.inner
00000001e7c631f4 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.isImageFrame
00000001e7c631fc (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.isMask
00000001e7c63200 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.isRounded
00000001e7c631f8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.needsInset
00000001e7c631e8 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.outer
00000001e7c631f0 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRPortfolioFrameImage.size
00000001e7c61f10 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.border
00000001e7c61f0c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.borderOffset
00000001e7c61f04 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.flipped
00000001e7c61f54 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.isBreak
00000001e7c61f20 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pInSpeedYLeft
00000001e7c61f1c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pInSpeedYRight
00000001e7c61f14 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pInYRot
00000001e7c61f18 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pInYTilt
00000001e7c61f48 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutSpeedYLeft
00000001e7c61f44 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutSpeedYRight
00000001e7c61f34 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutSpeedrYLeft
00000001e7c61f30 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutSpeedrYRight
00000001e7c61f50 (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutTxFactorLeft
00000001e7c61f4c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutTxFactorRight
00000001e7c61f3c (__DATA,__objc_ivar) external _OBJC_IVAR_$_MRReflectionsLayout.pOutTxNoTilt
