00000001d548ffd0 (__DATA,__data) external _NDR_record
00000001803fc69c (__TEXT,__text) external _mprotect
0000000180407328 (__TEXT,__text) external _mremap_encrypted
000000018040b038 (__TEXT,__text) external _msg_receive
000000018040b028 (__TEXT,__text) external _msg_rpc
000000018040b030 (__TEXT,__text) external _msg_send
0000000180405fd0 (__TEXT,__text) external _msgctl
0000000180407354 (__TEXT,__text) external _msgget
0000000180407380 (__TEXT,__text) external _msgrcv
0000000180405ffc (__TEXT,__text) external _msgrcv$NOCANCEL
00000001804073ac (__TEXT,__text) external _msgsnd
0000000180406028 (__TEXT,__text) external _msgsnd$NOCANCEL
00000001804056b0 (__TEXT,__text) external _msgsys
00000001803fedf8 (__TEXT,__text) external _msync
0000000180406080 (__TEXT,__text) external _msync$NOCANCEL
0000000180402774 (__TEXT,__text) external _munlock
00000001804073d8 (__TEXT,__text) external _munlockall
00000001803fc258 (__TEXT,__text) external _munmap
00000001803fca7c (__TEXT,__text) external _necp_client_action
00000001804039e0 (__TEXT,__text) external _necp_match_policy
00000001803fca24 (__TEXT,__text) external _necp_open
0000000180407404 (__TEXT,__text) external _necp_session_action
0000000180407430 (__TEXT,__text) external _necp_session_open
000000018040745c (__TEXT,__text) external _net_qos_guideline
0000000180407488 (__TEXT,__text) external _netagent_trigger
0000000180421b98 (__TEXT,__text) external _netname_check_in
0000000180421f98 (__TEXT,__text) external _netname_check_out
0000000180421d40 (__TEXT,__text) external _netname_look_up
000000018042213c (__TEXT,__text) external _netname_version
000000018040c928 (__TEXT,__text) external _nfsclnt
00000001804074b4 (__TEXT,__text) external _nfssvc
00000001d548ffc0 (__DATA,__data) external _non_boost_assertion_token
00000001d548ffb8 (__DATA,__data) external _normal_boost_assertion_token
00000001804074e0 (__TEXT,__text) external _ntp_adjtime
000000018040750c (__TEXT,__text) external _ntp_gettime
0000000180407538 (__TEXT,__text) external _objc_bp_assist_cfg_np
0000000180404464 (__TEXT,__text) external _open
000000018040c9b0 (__TEXT,__text) external _open$NOCANCEL
00000001803fe24c (__TEXT,__text) external _open_dprotected_np
0000000180413e84 (__TEXT,__text) external _openat
000000018040ca78 (__TEXT,__text) external _openat$NOCANCEL
00000001804146fc (__TEXT,__text) external _openat_authenticated_np
000000018041469c (__TEXT,__text) external _openat_dprotected_np
0000000180407564 (__TEXT,__text) external _openbyid_np
000000018040a510 (__TEXT,__text) external _os_buflet_get_data_address
000000018040a4e0 (__TEXT,__text) external _os_buflet_get_data_length
000000018040a518 (__TEXT,__text) external _os_buflet_get_data_limit
000000018040a4d8 (__TEXT,__text) external _os_buflet_get_data_offset
000000018040a500 (__TEXT,__text) external _os_buflet_get_object_address
000000018040a508 (__TEXT,__text) external _os_buflet_get_object_limit
000000018040a4f4 (__TEXT,__text) external _os_buflet_set_data_length
000000018040a4e8 (__TEXT,__text) external _os_buflet_set_data_offset
000000018040f76c (__TEXT,__text) external _os_channel_advance_slot
00000001804103d0 (__TEXT,__text) external _os_channel_attr_clone
000000018041033c (__TEXT,__text) external _os_channel_attr_create
00000001804105ec (__TEXT,__text) external _os_channel_attr_destroy
0000000180410850 (__TEXT,__text) external _os_channel_attr_get
0000000180410a04 (__TEXT,__text) external _os_channel_attr_get_key
00000001804106c0 (__TEXT,__text) external _os_channel_attr_set
0000000180410464 (__TEXT,__text) external _os_channel_attr_set_key
000000018040f714 (__TEXT,__text) external _os_channel_available_slot_count
00000001804120d0 (__TEXT,__text) external _os_channel_buflet_alloc
0000000180411a08 (__TEXT,__text) external _os_channel_buflet_free
000000018041209c (__TEXT,__text) external _os_channel_configure_interface_advisory
000000018040f354 (__TEXT,__text) external _os_channel_create
000000018040e95c (__TEXT,__text) external _os_channel_create_extended
000000018040f4dc (__TEXT,__text) external _os_channel_destroy
0000000180412004 (__TEXT,__text) external _os_channel_event_free
00000001804153b4 (__TEXT,__text) external _os_channel_event_get_event_data
0000000180415300 (__TEXT,__text) external _os_channel_event_get_next_event
000000018040ff80 (__TEXT,__text) external _os_channel_flow_admissible
000000018041015c (__TEXT,__text) external _os_channel_flow_adv_get_ce_count
000000018040ff5c (__TEXT,__text) external _os_channel_get_advisory_region
000000018040f364 (__TEXT,__text) external _os_channel_get_fd
0000000180412008 (__TEXT,__text) external _os_channel_get_interface_advisory
0000000180411bb0 (__TEXT,__text) external _os_channel_get_next_event_handle
000000018040f7f8 (__TEXT,__text) external _os_channel_get_next_slot
000000018040fed8 (__TEXT,__text) external _os_channel_get_stats_region
000000018040f12c (__TEXT,__text) non-external _os_channel_info2attr
000000018040f244 (__TEXT,__text) non-external _os_channel_init_ring
000000018040f5c4 (__TEXT,__text) external _os_channel_is_defunct
0000000180410f38 (__TEXT,__text) external _os_channel_large_packet_alloc
0000000180410a7c (__TEXT,__text) external _os_channel_packet_alloc
0000000180410a84 (__TEXT,__text) non-external _os_channel_packet_alloc_common
0000000180410f40 (__TEXT,__text) external _os_channel_packet_free
0000000180411418 (__TEXT,__text) external _os_channel_packet_pool_purge
000000018040f6e4 (__TEXT,__text) external _os_channel_pending
000000018041171c (__TEXT,__text) non-external _os_channel_purge_packet_alloc_ring_common
000000018040f36c (__TEXT,__text) external _os_channel_read_attr
000000018040f48c (__TEXT,__text) external _os_channel_read_nexus_extension_info
000000018040f5d8 (__TEXT,__text) external _os_channel_ring_id
000000018040f708 (__TEXT,__text) external _os_channel_ring_notify_time
000000018040f6fc (__TEXT,__text) external _os_channel_ring_sync_time
000000018040f688 (__TEXT,__text) external _os_channel_rx_ring
000000018040fc34 (__TEXT,__text) external _os_channel_set_slot_properties
00000001804110e0 (__TEXT,__text) external _os_channel_slot_attach_packet
000000018041126c (__TEXT,__text) external _os_channel_slot_detach_packet
000000018040fd6c (__TEXT,__text) external _os_channel_slot_get_packet
000000018040f4b0 (__TEXT,__text) external _os_channel_sync
000000018040f640 (__TEXT,__text) external _os_channel_tx_ring
000000018040f3c0 (__TEXT,__text) external _os_channel_write_attr
000000018040a4a4 (__TEXT,__text) external _os_copy_and_inet_checksum
0000000180405420 (__TEXT,__text) external _os_cpu_copy_in_cksum
00000001804145a0 (__TEXT,__text) external _os_cpu_in_cksum
0000000180405180 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
0000000180407590 (__TEXT,__text) external _os_fault_with_payload
000000018040a4a0 (__TEXT,__text) external _os_inet_checksum
0000000180412af0 (__TEXT,__text) external _os_nexus_attr_clone
0000000180412a5c (__TEXT,__text) external _os_nexus_attr_create
0000000180412e84 (__TEXT,__text) external _os_nexus_attr_destroy
0000000180412d38 (__TEXT,__text) external _os_nexus_attr_get
0000000180412b4c (__TEXT,__text) external _os_nexus_attr_set
00000001804135ac (__TEXT,__text) external _os_nexus_controller_add_traffic_rule
00000001804132b8 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000001804132d8 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
0000000180412ed0 (__TEXT,__text) external _os_nexus_controller_create
00000001804132ac (__TEXT,__text) external _os_nexus_controller_deregister_provider
000000018041396c (__TEXT,__text) external _os_nexus_controller_destroy
00000001804132cc (__TEXT,__text) external _os_nexus_controller_free_provider_instance
0000000180412fc4 (__TEXT,__text) external _os_nexus_controller_get_fd
0000000180413794 (__TEXT,__text) external _os_nexus_controller_iterate_traffic_rules
0000000180413450 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
0000000180412fcc (__TEXT,__text) external _os_nexus_controller_register_provider
00000001804136fc (__TEXT,__text) external _os_nexus_controller_remove_traffic_rule
00000001804133d4 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
0000000180413cf4 (__TEXT,__text) external _os_nexus_flow_set_wake_from_sleep
000000018040a360 (__TEXT,__text) external _os_packet_add_buflet
0000000180409908 (__TEXT,__text) external _os_packet_add_inet_csum_flags
0000000180409a48 (__TEXT,__text) external _os_packet_clear_flow_uuid
000000018040a414 (__TEXT,__text) external _os_packet_decrement_use_count
000000018040a1b8 (__TEXT,__text) external _os_packet_finalize
000000018040a43c (__TEXT,__text) external _os_packet_get_aggregation_type
000000018040a0c4 (__TEXT,__text) external _os_packet_get_buflet_count
0000000180409784 (__TEXT,__text) external _os_packet_get_compression_generation_count
000000018040a0b8 (__TEXT,__text) external _os_packet_get_data_length
0000000180409b1c (__TEXT,__text) external _os_packet_get_expire_time
0000000180409bb0 (__TEXT,__text) external _os_packet_get_expiry_action
0000000180409998 (__TEXT,__text) external _os_packet_get_flow_uuid
0000000180409aec (__TEXT,__text) external _os_packet_get_group_end
0000000180409a88 (__TEXT,__text) external _os_packet_get_group_start
00000001804091e4 (__TEXT,__text) external _os_packet_get_headroom
0000000180409948 (__TEXT,__text) external _os_packet_get_inet_checksum
0000000180409ff4 (__TEXT,__text) external _os_packet_get_keep_alive
00000001804092e0 (__TEXT,__text) external _os_packet_get_link_broadcast
0000000180409400 (__TEXT,__text) external _os_packet_get_link_ethfcs
0000000180409268 (__TEXT,__text) external _os_packet_get_link_header_length
0000000180409370 (__TEXT,__text) external _os_packet_get_link_multicast
000000018040a100 (__TEXT,__text) external _os_packet_get_next_buflet
0000000180409db0 (__TEXT,__text) external _os_packet_get_packetid
000000018040a18c (__TEXT,__text) external _os_packet_get_segment_count
0000000180409690 (__TEXT,__text) external _os_packet_get_service_class
0000000180409c4c (__TEXT,__text) external _os_packet_get_token
000000018040a520 (__TEXT,__text) external _os_packet_get_trace_id
0000000180409800 (__TEXT,__text) external _os_packet_get_traffic_class
000000018040954c (__TEXT,__text) external _os_packet_get_transport_retransmit
000000018040947c (__TEXT,__text) external _os_packet_get_transport_traffic_background
00000001804094e4 (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
000000018040a040 (__TEXT,__text) external _os_packet_get_truncated
0000000180409f70 (__TEXT,__text) external _os_packet_get_vlan_id
0000000180409f78 (__TEXT,__text) external _os_packet_get_vlan_priority
0000000180409f08 (__TEXT,__text) external _os_packet_get_vlan_tag
0000000180409fe4 (__TEXT,__text) external _os_packet_get_wake_flag
000000018040a3e8 (__TEXT,__text) external _os_packet_increment_use_count
0000000180409f80 (__TEXT,__text) external _os_packet_set_app_metadata
0000000180409754 (__TEXT,__text) external _os_packet_set_compression_generation_count
0000000180409b6c (__TEXT,__text) external _os_packet_set_expire_time
0000000180409c00 (__TEXT,__text) external _os_packet_set_expiry_action
00000001804099f0 (__TEXT,__text) external _os_packet_set_flow_uuid
0000000180409ab8 (__TEXT,__text) external _os_packet_set_group_end
0000000180409a54 (__TEXT,__text) external _os_packet_set_group_start
000000018040918c (__TEXT,__text) external _os_packet_set_headroom
00000001804098c4 (__TEXT,__text) external _os_packet_set_inet_checksum
000000018040a004 (__TEXT,__text) external _os_packet_set_keep_alive
000000018040a084 (__TEXT,__text) external _os_packet_set_l4s_flag
0000000180409294 (__TEXT,__text) external _os_packet_set_link_broadcast
00000001804093b4 (__TEXT,__text) external _os_packet_set_link_ethfcs
0000000180409224 (__TEXT,__text) external _os_packet_set_link_header_length
0000000180409324 (__TEXT,__text) external _os_packet_set_link_multicast
0000000180409e2c (__TEXT,__text) external _os_packet_set_packetid
000000018040a5e0 (__TEXT,__text) external _os_packet_set_protocol_segment_size
00000001804095b4 (__TEXT,__text) external _os_packet_set_service_class
0000000180409d0c (__TEXT,__text) external _os_packet_set_token
000000018040a540 (__TEXT,__text) external _os_packet_set_trace_id
00000001804097d0 (__TEXT,__text) external _os_packet_set_traffic_class
000000018040957c (__TEXT,__text) external _os_packet_set_transport_last_packet
0000000180409514 (__TEXT,__text) external _os_packet_set_transport_retransmit
0000000180409444 (__TEXT,__text) external _os_packet_set_transport_traffic_background
00000001804094ac (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
000000018040a610 (__TEXT,__text) external _os_packet_set_tso_flags
000000018040a468 (__TEXT,__text) external _os_packet_set_tx_timestamp
0000000180409ea8 (__TEXT,__text) external _os_packet_set_vlan_tag
000000018040a56c (__TEXT,__text) external _os_packet_trace_event
000000018040b6a4 (__TEXT,__text) external _os_proc_available_memory
000000018040af60 (__TEXT,__text) external _panic
000000018040af54 (__TEXT,__text) external _panic_init
00000001804075bc (__TEXT,__text) external _panic_with_data
0000000180400b88 (__TEXT,__text) external _pathconf
00000001804075e8 (__TEXT,__text) external _peeloff
00000001803f88a0 (__TEXT,__text) external _pid_for_task
0000000180407614 (__TEXT,__text) external _pid_hibernate
0000000180407640 (__TEXT,__text) external _pid_resume
0000000180412384 (__TEXT,__text) external _pid_shutdown_networking
000000018040766c (__TEXT,__text) external _pid_shutdown_sockets
0000000180407698 (__TEXT,__text) external _pid_suspend
00000001803fee24 (__TEXT,__text) external _pipe
00000001804076c4 (__TEXT,__text) external _pivot_root
000000018040913c (__TEXT,__text) external _pkt_subtype_assert_fail
0000000180409164 (__TEXT,__text) external _pkt_type_assert_fail
0000000180401224 (__TEXT,__text) external _poll
000000018040620c (__TEXT,__text) external _poll$NOCANCEL
0000000180409068 (__TEXT,__text) non-external _port_for_id_internal
000000018040afb0 (__TEXT,__text) external _port_obj_init
00000001d5490030 (__DATA,__common) external _port_obj_table
00000001d548ffa8 (__DATA,__data) external _port_obj_table_size
00000001803fb530 (__TEXT,__text) external _posix_madvise
00000001803ff918 (__TEXT,__text) external _posix_spawn
00000001804041dc (__TEXT,__text) non-external _posix_spawn_appendportaction_np
000000018040d6a8 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
000000018040d750 (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
00000001804050a0 (__TEXT,__text) external _posix_spawn_file_actions_addclose
00000001803ff37c (__TEXT,__text) external _posix_spawn_file_actions_adddup2
000000018040d808 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
0000000180405010 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
0000000180404734 (__TEXT,__text) external _posix_spawn_file_actions_addopen
00000001803ffe90 (__TEXT,__text) external _posix_spawn_file_actions_destroy
00000001803ff298 (__TEXT,__text) external _posix_spawn_file_actions_init
00000001d5490068 (__DATA,__bss) non-external _posix_spawn_with_filter
00000001803ffb98 (__TEXT,__text) external _posix_spawnattr_destroy
000000018040d5f8 (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
000000018040db78 (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
000000018040db34 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
000000018040d28c (__TEXT,__text) external _posix_spawnattr_getarchpref_np
000000018040d224 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
000000018040d8b8 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
000000018040d194 (__TEXT,__text) external _posix_spawnattr_getflags
00000001803ff64c (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
000000018040d300 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
000000018040d1dc (__TEXT,__text) external _posix_spawnattr_getpgroup
000000018040d324 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
000000018040d1b8 (__TEXT,__text) external _posix_spawnattr_getsigdefault
000000018040d200 (__TEXT,__text) external _posix_spawnattr_getsigmask
00000001803ff4e4 (__TEXT,__text) external _posix_spawnattr_init
000000018040d620 (__TEXT,__text) external _posix_spawnattr_set_alt_rosetta_np
000000018040e164 (__TEXT,__text) external _posix_spawnattr_set_conclave_id_np
000000018040d668 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_deadline_np
000000018040d648 (__TEXT,__text) external _posix_spawnattr_set_crash_behavior_np
000000018040d688 (__TEXT,__text) external _posix_spawnattr_set_crash_count_np
000000018040dd78 (__TEXT,__text) external _posix_spawnattr_set_csm_np
000000018040db58 (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
000000018040e264 (__TEXT,__text) external _posix_spawnattr_set_filedesclimit_ext
000000018040de94 (__TEXT,__text) external _posix_spawnattr_set_gid_np
000000018040df5c (__TEXT,__text) external _posix_spawnattr_set_groups_np
000000018040d904 (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
000000018040e284 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
000000018042bb00 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
000000018040e324 (__TEXT,__text) external _posix_spawnattr_set_launch_type_np
000000018040e060 (__TEXT,__text) external _posix_spawnattr_set_login_np
000000018040dd34 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
000000018040dc98 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
000000018040dccc (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
000000018040db9c (__TEXT,__text) external _posix_spawnattr_set_persona_np
000000018040dc68 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
000000018040d5d8 (__TEXT,__text) external _posix_spawnattr_set_platform_np
000000018040e244 (__TEXT,__text) external _posix_spawnattr_set_portlimits_ext
000000018040da1c (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
000000018040db04 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
000000018040d990 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
000000018040d478 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
000000018040d8e4 (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
000000018040ddd0 (__TEXT,__text) external _posix_spawnattr_set_uid_np
000000018040d368 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
00000001804041a4 (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
000000018040482c (__TEXT,__text) external _posix_spawnattr_setbinpref_np
000000018040da24 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
000000018040d898 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
00000001804046dc (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
000000018040d44c (__TEXT,__text) external _posix_spawnattr_setdataless_iopolicy_np
0000000180405130 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
00000001803ff62c (__TEXT,__text) external _posix_spawnattr_setflags
0000000180401250 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
00000001803ff708 (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
000000018040dd54 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
000000018040d40c (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
000000018040d348 (__TEXT,__text) external _posix_spawnattr_setpgroup
000000018040d42c (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
00000001803ff608 (__TEXT,__text) external _posix_spawnattr_setsigdefault
00000001803ff5e4 (__TEXT,__text) external _posix_spawnattr_setsigmask
0000000180404704 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
00000001803fa1bc (__TEXT,__text) external _pread
0000000180406238 (__TEXT,__text) external _pread$NOCANCEL
00000001804076f0 (__TEXT,__text) external _preadv
0000000180406264 (__TEXT,__text) external _preadv$NOCANCEL
000000018040cc84 (__TEXT,__text) non-external _prepare_times_array_and_attrs
000000018040c324 (__TEXT,__text) external _proc_clear_cpulimits
000000018040c4fc (__TEXT,__text) external _proc_clear_delayidlesleep
000000018040bf4c (__TEXT,__text) external _proc_clear_dirty
000000018040c3dc (__TEXT,__text) external _proc_clear_vmpressure
000000018040be04 (__TEXT,__text) external _proc_current_thread_schedinfo
0000000180402a60 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
0000000180402b20 (__TEXT,__text) external _proc_denap_assertion_complete
000000018040c55c (__TEXT,__text) external _proc_disable_apptype
0000000180403e58 (__TEXT,__text) external _proc_disable_cpumon
0000000180402714 (__TEXT,__text) external _proc_disable_wakemon
000000018040c384 (__TEXT,__text) external _proc_donate_importance_boost
000000018040c5d0 (__TEXT,__text) external _proc_enable_apptype
0000000180402698 (__TEXT,__text) external _proc_get_cpumon_params
000000018040bed0 (__TEXT,__text) external _proc_get_dirty
000000018040c220 (__TEXT,__text) external _proc_get_wakemon_params
0000000180402a68 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
0000000180402b24 (__TEXT,__text) external _proc_importance_assertion_complete
000000018040bd08 (__TEXT,__text) external _proc_kmsgbuf
000000018040beb0 (__TEXT,__text) external _proc_libversion
000000018040c28c (__TEXT,__text) external _proc_list_dynkqueueids
000000018040c270 (__TEXT,__text) external _proc_list_uptrs
000000018040ba14 (__TEXT,__text) external _proc_listallpids
000000018040ba8c (__TEXT,__text) external _proc_listchildpids
000000018040bac8 (__TEXT,__text) external _proc_listcoalitions
000000018040ba50 (__TEXT,__text) external _proc_listpgrppids
0000000180402a10 (__TEXT,__text) external _proc_listpids
0000000180414764 (__TEXT,__text) external _proc_listpidspath
00000001803fe8f4 (__TEXT,__text) external _proc_name
0000000180400600 (__TEXT,__text) external _proc_pid_rusage
000000018040bbbc (__TEXT,__text) external _proc_piddynkqueueinfo
000000018040bb4c (__TEXT,__text) external _proc_pidfdinfo
000000018040bb84 (__TEXT,__text) external _proc_pidfileportinfo
00000001803f9c2c (__TEXT,__text) external _proc_pidinfo
000000018040024c (__TEXT,__text) external _proc_pidoriginatorinfo
00000001803fa474 (__TEXT,__text) external _proc_pidpath
000000018040bd40 (__TEXT,__text) external _proc_pidpath_audittoken
000000018040bc10 (__TEXT,__text) external _proc_regionfilename
000000018040c318 (__TEXT,__text) external _proc_reset_footprint_interval
000000018040c09c (__TEXT,__text) external _proc_resume_cpumon
00000001804010e8 (__TEXT,__text) external _proc_rlimit_control
00000001804005b4 (__TEXT,__text) external _proc_set_cpumon_defaults
000000018040053c (__TEXT,__text) external _proc_set_cpumon_params
000000018040c0bc (__TEXT,__text) external _proc_set_cpumon_params_fatal
000000018040c714 (__TEXT,__text) external _proc_set_csm
000000018040c49c (__TEXT,__text) external _proc_set_delayidlesleep
00000001803fbce8 (__TEXT,__text) external _proc_set_dirty
000000018040c64c (__TEXT,__text) external _proc_set_no_smt
000000018040c43c (__TEXT,__text) external _proc_set_owner_vmpressure
00000001804027a0 (__TEXT,__text) external _proc_set_wakemon_defaults
000000018040c1ec (__TEXT,__text) external _proc_set_wakemon_params
000000018040c2a8 (__TEXT,__text) external _proc_setcpu_percentage
00000001803fad74 (__TEXT,__text) external _proc_setpcontrol
000000018040bb00 (__TEXT,__text) external _proc_setthread_cpupercent
000000018040c7dc (__TEXT,__text) external _proc_setthread_csm
000000018040c6b0 (__TEXT,__text) external _proc_setthread_no_smt
000000018040c644 (__TEXT,__text) external _proc_suppress
000000018040bfac (__TEXT,__text) external _proc_terminate
000000018040c028 (__TEXT,__text) external _proc_terminate_all_rsr
000000018040771c (__TEXT,__text) external _proc_trace_log
00000001803fbc88 (__TEXT,__text) external _proc_track_dirty
000000018040bbf4 (__TEXT,__text) external _proc_udata_info
0000000180407748 (__TEXT,__text) external _proc_uuid_policy
0000000180421904 (__TEXT,__text) external _processor_assign
00000001804217a0 (__TEXT,__text) external _processor_control
0000000180421478 (__TEXT,__text) external _processor_exit
0000000180421a38 (__TEXT,__text) external _processor_get_assignment
000000018042158c (__TEXT,__text) external _processor_info
0000000180419f14 (__TEXT,__text) external _processor_set_create
0000000180419db4 (__TEXT,__text) external _processor_set_default
0000000180420528 (__TEXT,__text) external _processor_set_destroy
0000000180420fc4 (__TEXT,__text) external _processor_set_info
0000000180420640 (__TEXT,__text) external _processor_set_max_priority
0000000180420cbc (__TEXT,__text) external _processor_set_policy_control
0000000180420888 (__TEXT,__text) external _processor_set_policy_disable
0000000180420764 (__TEXT,__text) external _processor_set_policy_enable
0000000180420e34 (__TEXT,__text) external _processor_set_stack_usage
0000000180420344 (__TEXT,__text) external _processor_set_statistics
00000001804209ac (__TEXT,__text) external _processor_set_tasks
00000001804211cc (__TEXT,__text) external _processor_set_tasks_with_flavor
0000000180420b34 (__TEXT,__text) external _processor_set_threads
0000000180421364 (__TEXT,__text) external _processor_start
0000000180412744 (__TEXT,__text) external _pselect
00000001803fea24 (__TEXT,__text) external _pselect$DARWIN_EXTSN
000000018040b1f0 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
00000001804128d0 (__TEXT,__text) external _pselect$NOCANCEL
00000001803fa3f0 (__TEXT,__text) external _pthread_getugid_np
0000000180402018 (__TEXT,__text) external _pthread_setugid_np
0000000180401598 (__TEXT,__text) external _ptrace
00000001803fbfc8 (__TEXT,__text) external _pwrite
00000001804063f0 (__TEXT,__text) external _pwrite$NOCANCEL
0000000180407774 (__TEXT,__text) external _pwritev
000000018040641c (__TEXT,__text) external _pwritev$NOCANCEL
000000018040aef4 (__TEXT,__text) external _quota
00000001803febb0 (__TEXT,__text) external _quotactl
00000001803f946c (__TEXT,__text) external _read
00000001803fa818 (__TEXT,__text) external _read$NOCANCEL
00000001803facd0 (__TEXT,__text) external _readlink
00000001804077a0 (__TEXT,__text) external _readlinkat
00000001804077cc (__TEXT,__text) external _readv
0000000180406448 (__TEXT,__text) external _readv$NOCANCEL
0000000180407f14 (__TEXT,__text) non-external _reallocf
000000018040a648 (__TEXT,__text) external _reboot
000000018040a650 (__TEXT,__text) external _reboot_np
0000000180412740 (__TEXT,__text) external _record_system_event_as_kernel
00000001803fce38 (__TEXT,__text) external _recvfrom
00000001803fcd00 (__TEXT,__text) external _recvfrom$NOCANCEL
00000001803fd268 (__TEXT,__text) external _recvmsg
00000001804064cc (__TEXT,__text) external _recvmsg$NOCANCEL
00000001804077f8 (__TEXT,__text) external _recvmsg_x
0000000180407824 (__TEXT,__text) external _register_uexc_handler
00000001803fd790 (__TEXT,__text) external _removexattr
00000001803fc3f8 (__TEXT,__text) external _rename
000000018040d150 (__TEXT,__text) external _rename_ext
000000018040a6e4 (__TEXT,__text) external _renameat
000000018040d0e4 (__TEXT,__text) external _renameatx_np
000000018040d110 (__TEXT,__text) external _renamex_np
0000000180407850 (__TEXT,__text) external _revoke
00000001803fc464 (__TEXT,__text) external _rmdir
000000018040787c (__TEXT,__text) external _searchfs
00000001803fcf40 (__TEXT,__text) external _select
0000000180403a0c (__TEXT,__text) external _select$DARWIN_EXTSN
00000001803fccd4 (__TEXT,__text) external _select$DARWIN_EXTSN$NOCANCEL
00000001803fcca0 (__TEXT,__text) external _select$NOCANCEL
00000001804022c0 (__TEXT,__text) external _sem_close
000000018041230c (__TEXT,__text) external _sem_destroy
0000000180412334 (__TEXT,__text) external _sem_getvalue
000000018041235c (__TEXT,__text) external _sem_init
0000000180405670 (__TEXT,__text) external _sem_open
00000001804078a8 (__TEXT,__text) external _sem_post
00000001804078d4 (__TEXT,__text) external _sem_trywait
0000000180407900 (__TEXT,__text) external _sem_unlink
000000018040792c (__TEXT,__text) external _sem_wait
0000000180406550 (__TEXT,__text) external _sem_wait$NOCANCEL
00000001803fb7d0 (__TEXT,__text) external _semaphore_create
00000001803fbb64 (__TEXT,__text) external _semaphore_destroy
00000001803fb940 (__TEXT,__text) external _semaphore_signal
000000018040b014 (__TEXT,__text) external _semaphore_signal_all
00000001803f8810 (__TEXT,__text) external _semaphore_signal_all_trap
000000018040b018 (__TEXT,__text) external _semaphore_signal_thread
00000001803f881c (__TEXT,__text) external _semaphore_signal_thread_trap
00000001803f8804 (__TEXT,__text) external _semaphore_signal_trap
00000001803fd4f8 (__TEXT,__text) external _semaphore_timedwait
000000018040b020 (__TEXT,__text) external _semaphore_timedwait_signal
00000001803f884c (__TEXT,__text) external _semaphore_timedwait_signal_trap
00000001803f8840 (__TEXT,__text) external _semaphore_timedwait_trap
00000001803fb93c (__TEXT,__text) external _semaphore_wait
000000018040b01c (__TEXT,__text) external _semaphore_wait_signal
00000001803f8834 (__TEXT,__text) external _semaphore_wait_signal_trap
00000001803f8828 (__TEXT,__text) external _semaphore_wait_trap
00000001804056f4 (__TEXT,__text) external _semctl
0000000180407958 (__TEXT,__text) external _semget
0000000180407984 (__TEXT,__text) external _semop
00000001804056d0 (__TEXT,__text) external _semsys
