00000001db1e5740 (__TEXT,__text) non-external +[NFPromise new]
00000001e7a1b000 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e5_v8?0l
00000001e7a1b048 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_32_e8_v16?08l
00000001e7a1b068 (__DATA_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_16?08l
00000001f4bea578 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e5_v8?0l
00000001f4bea3c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32bs_e8_16?08l
00000001f4bea168 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e17_v16?0"NSError"8l
00000001f4bea2d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?08l
00000001f4bea458 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e19_"NFPromise"16?0d8l
00000001f4bea248 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<?>8l
00000001f4bea338 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e26_"NFPromise"16?0?<v?>8l
00000001f4bea018 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f4bea3f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"16?0?<v??<v?>?<v?"NSError">>8l
00000001f4bea308 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"816l
00000001f4bea4b8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e51_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8d16l
00000001f4bea278 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<?>16l
00000001f4bea368 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e58_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v?>16l
00000001f4bea0c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e5_v8?0l
00000001f4bea428 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e83_"NFPromise"24?0"NSObject<OS_dispatch_queue>"8?<v??<v?>?<v?"NSError">>16l
00000001f4bea2a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_16?08l
00000001f4bea138 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32s_e8_v16?08l
00000001f4bea5f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_40_e8_32w_e30_v16?0"NSObject<OS_nw_path>"8l
00000001f4bea6d8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e17_v16?0"NSError"8l
00000001f4bea708 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e5_v8?0l
00000001f4bea6a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40bs_e8_16?08l
00000001f4bea648 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32bs40r_e5_v8?0l
00000001f4bea5a8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e23_v32?0Q816"NSError"24l
00000001f4bea398 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f4bea4e8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40bs_e5_v8?0l
00000001f4bea678 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s40r_e14_v16?0?<v?>8l
00000001f4bea488 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_48_e8_32s_e8_16?08l
00000001f4bea548 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40bs48bs_e23_v32?0Q816"NSError"24l
00000001f4bea1f8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48bs_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f4bea048 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e16_"NFPromise"8?0l
00000001f4bea078 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s48s_e8_16?08l
00000001f4bea518 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_56_e8_32s40s_e34_v24?0?<v?>8?<v?"NSError">16l
00000001f4bea1c8 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40bs48bs56bs_e8_v16?08l
00000001f4bea198 (__AUTH_CONST,__const) non-external (was a private external) ___block_descriptor_64_e8_32s40s48bs56bs_e5_v8?0l
00000001f4be9fd8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f4bea0f8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f4bea5d8 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f4bea738 (__AUTH_CONST,__const) non-external ___block_literal_global
00000001f4bea758 (__AUTH_CONST,__const) non-external ___block_literal_global.16
00000001f4bea228 (__AUTH_CONST,__const) non-external ___block_literal_global.28
00000001f4be9ff8 (__AUTH_CONST,__const) non-external ___block_literal_global.3
00000001f4bea118 (__AUTH_CONST,__const) non-external ___block_literal_global.4
00000001f4bea0a8 (__AUTH_CONST,__const) non-external ___block_literal_global.54
00000001f4bea628 (__AUTH_CONST,__const) non-external ___block_literal_global.9
                 (undefined) external ___chkstk_darwin (from libSystem)
00000001db1e67e0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b
00000001db1e9780 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40b
00000001db1e95ac (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32b40r
00000001db1e26a0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s
00000001db1e675c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b
00000001db1e7b30 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b
00000001db1e5db8 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40b48b56b
00000001db1e963c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40r
00000001db1e7054 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s
00000001db1e5e20 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b
00000001db1e5d0c (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48b56b
00000001db1e4948 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32s40s48s
00000001db1e84b0 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_e8_32w
00000001db1e26a8 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s
00000001db1e95fc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40r
00000001db1e67a4 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s
00000001db1e498c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s
00000001db1e5d6c (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32s40s48s56s
00000001db1e84bc (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_e8_32w
                 (undefined) external ___kCFBooleanTrue (from CoreFoundation)
                 (undefined) external ___objc_personality_v0 (from libobjc)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00000001db1e52e8 (__TEXT,__text) non-external ___zalgoIfMain_block_invoke
00000001db1e5224 (__TEXT,__text) non-external ___zalgo_block_invoke
                 (undefined) external __dispatch_main_q (from libSystem)
00000001db1ea9e8 (__TEXT,__text) non-external __getNSValueBytes
                 (undefined) external __objc_empty_cache (from libobjc)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external _dispatch_after (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_get_global_queue (from libSystem)
                 (undefined) external _dispatch_once (from libSystem)
                 (undefined) external _dispatch_queue_attr_make_with_autorelease_frequency (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_time (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
00000001ebdf7450 (__DATA,__data) external _kNFPromiseErrorDomain
00000001ebdf7440 (__DATA,__data) external _kNFPromiseSealingErrorCode
00000001ebdf7448 (__DATA,__data) external _kNFPromiseTimeoutErrorCode
00000001e7a1b088 (__DATA_CONST,__const) external _kNFReachabilityChangedNotification
                 (undefined) external _malloc_type_malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _nw_path_get_status (from Network)
                 (undefined) external _nw_path_is_constrained (from Network)
                 (undefined) external _nw_path_is_equal (from Network)
                 (undefined) external _nw_path_is_expensive (from Network)
                 (undefined) external _nw_path_monitor_cancel (from Network)
                 (undefined) external _nw_path_monitor_create (from Network)
                 (undefined) external _nw_path_monitor_set_queue (from Network)
                 (undefined) external _nw_path_monitor_set_update_handler (from Network)
                 (undefined) external _nw_path_monitor_start (from Network)
                 (undefined) external _nw_path_uses_interface_type (from Network)
                 (undefined) external _objc_alloc (from libobjc)
                 (undefined) external _objc_alloc_init (from libobjc)
                 (undefined) external _objc_autorelease (from libobjc)
                 (undefined) external _objc_autoreleaseReturnValue (from libobjc)
                 (undefined) external _objc_begin_catch (from libobjc)
                 (undefined) external _objc_copyWeak (from libobjc)
                 (undefined) external _objc_destroyWeak (from libobjc)
                 (undefined) external _objc_end_catch (from libobjc)
                 (undefined) external _objc_enumerationMutation (from libobjc)
                 (undefined) external _objc_exception_throw (from libobjc)
                 (undefined) external _objc_initWeak (from libobjc)
                 (undefined) external _objc_loadWeakRetained (from libobjc)
                 (undefined) external _objc_msgSend (from libobjc)
00000001db1ef720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUID
00000001db1ef740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$UUIDString
00000001db1ef760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_currentNetworkStatus
00000001db1ef780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_statusFromNetworkPath:
00000001db1ef7a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateCurrentNetworkPath:
00000001db1ef7c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$_updateCurrentReachabilityStatus:
00000001db1ef7e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$activate
00000001db1ef800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$addObject:
00000001db1ef820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$allValues
00000001db1ef840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$alwaysOn:always:
00000001db1ef860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendFormat:
00000001db1ef880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$appendString:
00000001db1ef8a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$array
00000001db1ef8c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withError:
00000001db1ef8e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:onQueue:withValue:
00000001db1ef900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asDelay:withValue:
00000001db1ef920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid
00000001db1ef940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$asVoid:
00000001db1ef960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$attemptTriggersForCurrentEvent:
00000001db1ef980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$block
00000001db1ef9a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$bytes
00000001db1ef9c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTry:withOwner:
00000001db1ef9e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$canTryBlock
00000001db1efa00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$characterAtIndex:
00000001db1efa20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$children
00000001db1efa40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$code
00000001db1efa60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$compare:
00000001db1efa80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$constructor
00000001db1efaa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$containsObject:
00000001db1efac0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$context
00000001db1efae0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$copy
00000001db1efb00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$count
00000001db1efb20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$countByEnumeratingWithState:objects:count:
00000001db1efb40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentNetworkPath
00000001db1efb60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$currentReachabilityStatus
00000001db1efb80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataUsingEncoding:
00000001db1efba0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dataWithContentsOfFile:
00000001db1efbc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$deactivate
00000001db1efbe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClass:forKey:
00000001db1efc00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$decodeObjectOfClasses:forKey:
00000001db1efc20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultCenter
00000001db1efc40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$defaultManager
00000001db1efc60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$delegateProtocol
00000001db1efc80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$destinationState
00000001db1efca0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObject:forKey:
00000001db1efcc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$dictionaryWithObjects:forKeys:count:
00000001db1efce0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnter:withOwner:
00000001db1efd00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didEnterBlock
00000001db1efd20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExit:withOwner:
00000001db1efd40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$didExitBlock
00000001db1efd60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$domain
00000001db1efd80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$error
00000001db1efda0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorOn:error:
00000001db1efdc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$errorWithDomain:code:userInfo:
00000001db1efde0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$event
00000001db1efe00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$events
00000001db1efe20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$exceptionWithName:reason:userInfo:
00000001db1efe40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fc_createStateMachineErrorForCode:userInfo:
00000001db1efe60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fileSystemRepresentation
00000001db1efe80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireBlock
00000001db1efea0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnAny
00000001db1efec0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fireOnce
00000001db1efee0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fired:withOwner:
00000001db1eff00 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$firstly:
00000001db1eff20 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$fromState
00000001db1eff40 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$getValue:
00000001db1eff60 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleAlwaysTrigger:event:
00000001db1eff80 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handleOnceTrigger:event:
00000001db1effa0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$handlers
00000001db1effc0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hash
00000001db1effe0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$hashTableWithOptions:
00000001db1f0000 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$init
00000001db1f0020 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initForReadingFromData:error:
00000001db1f0040 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDelegate:delegateProtocol:options:
00000001db1f0060 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithDomain:code:userInfo:
00000001db1f0080 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithError:
00000001db1f00a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithFormat:
00000001db1f00c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithKey:fireOnce:fireOnAny:events:block:
00000001db1f00e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithOptions:
00000001db1f0100 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithResolver:
00000001db1f0120 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithStateMachine:event:fromState:toState:context:
00000001db1f0140 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithUTF8String:
00000001db1f0160 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$initWithValue:
00000001db1f0180 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$invokeWithTarget:
00000001db1f01a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqual:
00000001db1f01c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isEqualToString:
00000001db1f01e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$isMainThread
00000001db1f0200 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$key
00000001db1f0220 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$length
00000001db1f0240 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$lock
00000001db1f0260 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$methodSignatureForSelector:
00000001db1f0280 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$name
00000001db1f02a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:
00000001db1f02c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClass:withData:
00000001db1f02e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$nf_securelyUnarchiveObjectOfClasses:withData:
00000001db1f0300 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithInteger:
00000001db1f0320 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$numberWithUnsignedInteger:
00000001db1f0340 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objCType
00000001db1f0360 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$objectForKey:
00000001db1f0380 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$owner
00000001db1f03a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$performWithLockSync:
00000001db1f03c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$postNotificationName:object:
00000001db1f03e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$registerHandler:
00000001db1f0400 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$reject:
00000001db1f0420 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeAllObjects
00000001db1f0440 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObject:
00000001db1f0460 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$removeObjectForKey:
00000001db1f0480 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolve:
00000001db1f04a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$resolveOn:reject:resolve:
00000001db1f04c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal
00000001db1f04e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$seal:error:resolution:
00000001db1f0500 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$selector
00000001db1f0520 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCanTryBlock:
00000001db1f0540 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentNetworkPath:
00000001db1f0560 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setCurrentReachabilityStatus:
00000001db1f0580 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidEnterBlock:
00000001db1f05a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setDidExitBlock:
00000001db1f05c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setError:
00000001db1f05e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setFireBlock:
00000001db1f0600 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setObject:forKey:
00000001db1f0620 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setSeal:
00000001db1f0640 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setState:
00000001db1f0660 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatus:
00000001db1f0680 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setStatusToken:
00000001db1f06a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setValue:
00000001db1f06c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillEnterBlock:
00000001db1f06e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWillExitBlock:
00000001db1f0700 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$setWithObject:
00000001db1f0720 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$state
00000001db1f0740 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$states
00000001db1f0760 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$status
00000001db1f0780 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$statusToken
00000001db1f07a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithCapacity:
00000001db1f07c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFileSystemRepresentation:length:
00000001db1f07e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$stringWithFormat:
00000001db1f0800 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$then:
00000001db1f0820 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$thenOn:then:
00000001db1f0840 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$timeoutAfter:on:
00000001db1f0860 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$toState
00000001db1f0880 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggerOnAnyEvent:block:
00000001db1f08a0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$triggers
00000001db1f08c0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$unlock
00000001db1f08e0 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$value
00000001db1f0900 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$valueWithBytes:objCType:
00000001db1f0920 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnter:withOwner:
00000001db1f0940 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willEnterBlock
00000001db1f0960 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExit:withOwner:
00000001db1f0980 (__TEXT,__objc_stubs) non-external (was a private external) _objc_msgSend$willExitBlock
                 (undefined) external _objc_msgSendSuper2 (from libobjc)
                 (undefined) external _objc_opt_class (from libobjc)
                 (undefined) external _objc_opt_isKindOfClass (from libobjc)
                 (undefined) external _objc_opt_new (from libobjc)
                 (undefined) external _objc_opt_respondsToSelector (from libobjc)
                 (undefined) external _objc_release (from libobjc)
                 (undefined) external _objc_retain (from libobjc)
                 (undefined) external _objc_retainAutorelease (from libobjc)
                 (undefined) external _objc_retainAutoreleasedReturnValue (from libobjc)
                 (undefined) external _objc_retainBlock (from libobjc)
                 (undefined) external _objc_setProperty_nonatomic_copy (from libobjc)
                 (undefined) external _objc_storeStrong (from libobjc)
                 (undefined) external _objc_storeWeak (from libobjc)
                 (undefined) external _objc_terminate (from libobjc)
                 (undefined) external _objc_unsafeClaimAutoreleasedReturnValue (from libobjc)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_unfair_lock_assert_not_owner (from libSystem)
                 (undefined) external _os_unfair_lock_assert_owner (from libSystem)
                 (undefined) external _os_unfair_lock_lock_with_options (from libSystem)
                 (undefined) external _os_unfair_lock_unlock (from libSystem)
                 (undefined) external _os_variant_has_internal_content (from libSystem)
                 (undefined) external _pthread_mutex_destroy (from libSystem)
                 (undefined) external _pthread_mutex_init (from libSystem)
                 (undefined) external _pthread_mutex_lock (from libSystem)
                 (undefined) external _pthread_mutex_unlock (from libSystem)
                 (undefined) external _pthread_mutexattr_init (from libSystem)
                 (undefined) external _pthread_mutexattr_settype (from libSystem)
                 (undefined) external _qos_class_self (from libSystem)
00000001ed027a48 (__DATA_DIRTY,__bss) non-external _sharedInstance.onceToken
00000001ed027a40 (__DATA_DIRTY,__bss) non-external _sharedInstance.s_reachability
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _strrchr (from libSystem)
                 (undefined) external _sysctlbyname (from libSystem)
00000001db1e51cc (__TEXT,__text) external _zalgo
00000001db1eb2a4 (__TEXT,__text) non-external _zalgo.cold.1
00000001ed027a38 (__DATA_DIRTY,__bss) non-external _zalgo.queue
00000001ed027a30 (__DATA_DIRTY,__bss) non-external _zalgo.token
00000001db1e5290 (__TEXT,__text) external _zalgoIfMain
00000001db1eb2b8 (__TEXT,__text) non-external _zalgoIfMain.cold.1
00000001ed027a28 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.queue
00000001ed027a20 (__DATA_DIRTY,__bss) non-external _zalgoIfMain.token
