00000001e78fba98 (__DATA,__data) non-external _C
00000001803169b4 (__TEXT,__text) external _backtrace_symbols_fd
00000001802f47e4 (__TEXT,__text) external _basename
00000001e9d33ce0 (__DATA_DIRTY,__bss) non-external _basename.bname
00000001802f3dd8 (__TEXT,__text) external _basename_r
                 (indirect) external _bcmp (for __platform_memcmp)
00000001802e11b4 (__TEXT,__text) external _bcopy
0000000180316464 (__TEXT,__text) non-external _bitCountMP
000000018035735c (__TEXT,__text) non-external _bitCountMP.cold.1
000000018035b930 (__TEXT,__const) non-external _blanks
000000018035b9f0 (__TEXT,__const) non-external _blanks
00000001e78fbf30 (__DATA,__data) non-external _blanks
                 (undefined) external _bootstrap_parent (from libxpc)
                 (undefined) external _bootstrap_port (from libsystem_kernel)
0000000180319b14 (__TEXT,__text) non-external _both_ftw
00000001e78fcdc8 (__DATA,__bss) non-external _brapreg
0000000180314268 (__TEXT,__text) external _brk
000000018031428c (__TEXT,__text) external _bsd_signal
00000001802e68d8 (__TEXT,__text) external _bsearch
00000001802efa98 (__TEXT,__text) external _bsearch_b
0000000180325d38 (__TEXT,__text) non-external _bt_broot
0000000180325a80 (__TEXT,__text) non-external _bt_page
0000000180325ea4 (__TEXT,__text) non-external _bt_preserve
0000000180325efc (__TEXT,__text) non-external _bt_psplit
000000018032599c (__TEXT,__text) non-external _bt_root
0000000180325c30 (__TEXT,__text) non-external _bt_rroot
00000001803134b8 (__TEXT,__text) external _btowc
00000001803134dc (__TEXT,__text) external _btowc_l
00000001e78fd888 (__DATA,__bss) non-external _buf_asctime
000000018033f300 (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
000000018035a1b8 (__TEXT,__const) non-external (was a private external) _cVersionNumber
000000018035a190 (__TEXT,__const) non-external (was a private external) _cVersionString
000000018033c888 (__TEXT,__text) external _catclose
00000001e3d715f8 (__DATA_CONST,__const) non-external _categories
000000018033c534 (__TEXT,__text) external _catgets
000000018033be54 (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00000001803330c0 (__TEXT,__text) external _cfgetispeed
0000000180300898 (__TEXT,__text) external _cfgetospeed
00000001803330ec (__TEXT,__text) external _cfmakeraw
00000001803330d4 (__TEXT,__text) external _cfsetispeed
00000001803330c8 (__TEXT,__text) external _cfsetospeed
00000001803330e0 (__TEXT,__text) external _cfsetspeed
000000018032f144 (__TEXT,__text) external _cgetcap
000000018032f92c (__TEXT,__text) external _cgetclose
000000018032f1d0 (__TEXT,__text) external _cgetent
000000018032f8bc (__TEXT,__text) external _cgetfirst
000000018032f844 (__TEXT,__text) external _cgetmatch
000000018032f978 (__TEXT,__text) external _cgetnext
0000000180330104 (__TEXT,__text) external _cgetnum
000000018032f0ac (__TEXT,__text) external _cgetset
000000018032fd2c (__TEXT,__text) external _cgetstr
0000000180330004 (__TEXT,__text) external _cgetustr
0000000180335368 (__TEXT,__text) non-external _chainsearch
000000018035b6e8 (__TEXT,__const) non-external _char_shell
                 (undefined) external _chdir (from libsystem_kernel)
0000000180309a64 (__TEXT,__text) non-external _check_env_var
00000001802f69fc (__TEXT,__text) non-external _chmodx1
00000001802f69c0 (__TEXT,__text) external _chmodx_np
00000001802f6c20 (__TEXT,__text) non-external _chmodx_syscall
000000018033c9dc (__TEXT,__text) external _clearerr
000000018033ca20 (__TEXT,__text) external _clearerr_unlocked
0000000180305b70 (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
0000000180314044 (__TEXT,__text) external _clock_getres
00000001802ee710 (__TEXT,__text) external _clock_gettime
00000001802e0ecc (__TEXT,__text) external _clock_gettime_nsec_np
00000001e9d35524 (__DATA_DIRTY,__common) external _clock_port
00000001e9d35520 (__DATA_DIRTY,__common) external _clock_sem
00000001803140e8 (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00000001802f5b3c (__TEXT,__text) non-external _close_directory
00000001802e64d8 (__TEXT,__text) external _closedir
00000001e3d71c00 (__DATA_CONST,__const) non-external _cnames
0000000180328188 (__TEXT,__text) non-external _collect_data
0000000180328348 (__TEXT,__text) non-external _collect_key
000000018035bbf0 (__TEXT,__const) non-external _command_substitution_str
0000000180309864 (__TEXT,__text) external _compat_mode
00000001802e5a44 (__TEXT,__text) external _confstr
00000001e78fcc88 (__DATA,__bss) non-external _constdatablock
0000000180320514 (__TEXT,__text) external _copy_printf_domain
000000018030cd14 (__TEXT,__text) external _creat
00000001803225e0 (__TEXT,__text) external _creat$NOCANCEL
0000000180316b20 (__TEXT,__text) external _crypt
00000001e78fcc70 (__DATA,__bss) non-external _cryptresult
                 (undefined) external _csops (from libsystem_kernel)
000000018032d538 (__TEXT,__text) external _ctermid
00000001e78fbad8 (__DATA,__data) non-external _ctermid.def
000000018032d560 (__TEXT,__text) external _ctermid_r
000000018030a784 (__TEXT,__text) external _ctime
00000001802feeec (__TEXT,__text) external _ctime_r
00000001e78fbcec (__DATA,__data) non-external _current_categories
00000001803008a0 (__TEXT,__text) non-external _currentlocale
00000001e78fd7c0 (__DATA,__bss) non-external _currentlocale.current_locale_string
00000001e78fce28 (__DATA,__bss) non-external _curshell
000000018032d580 (__TEXT,__text) external _daemon
00000001e78fbe98 (__DATA,__data) non-external _dash_prefix
00000001e9d35540 (__DATA_DIRTY,__common) external _daylight
000000018032a508 (__TEXT,__text) external _dbm_clearerr
000000018032a350 (__TEXT,__text) external _dbm_close
000000018032a484 (__TEXT,__text) external _dbm_delete
000000018032a518 (__TEXT,__text) external _dbm_dirfno
000000018032a4fc (__TEXT,__text) external _dbm_error
000000018032a358 (__TEXT,__text) external _dbm_fetch
000000018032a3a0 (__TEXT,__text) external _dbm_firstkey
000000018032a40c (__TEXT,__text) external _dbm_nextkey
000000018032a264 (__TEXT,__text) external _dbm_open
000000018032a4bc (__TEXT,__text) external _dbm_store
000000018032662c (__TEXT,__text) external _dbopen
00000001e78fd4e8 (__DATA,__bss) non-external _dbp
00000001e78fcde8 (__DATA,__bss) non-external _decpreg
000000018035bcf8 (__TEXT,__const) non-external _degrees
0000000180334e2c (__TEXT,__text) non-external _destruct_collate
000000018034cf24 (__TEXT,__text) non-external _destruct_ctype
0000000180336d30 (__TEXT,__text) non-external (was a private external) _destruct_ldpart
000000018031e174 (__TEXT,__text) non-external _destruct_locale
0000000180311e84 (__TEXT,__text) external _devname
00000001e78fcd48 (__DATA,__bss) non-external _devname.buf
0000000180311f04 (__TEXT,__text) external _devname_r
000000018030ba74 (__TEXT,__text) external _difftime
000000018031c2b8 (__TEXT,__text) external _digittoint
000000018031c59c (__TEXT,__text) external _digittoint_l
000000018030c314 (__TEXT,__text) external _dirfd
000000018030e7e8 (__TEXT,__text) external _dirname
00000001e78fd480 (__DATA,__bss) non-external _dirname.dname
00000001803056e4 (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
0000000180309834 (__TEXT,__text) external _div
00000001e78fb998 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00000001803340b8 (__TEXT,__text) non-external _do_hvis
00000001803341f0 (__TEXT,__text) non-external _do_mvis
0000000180304070 (__TEXT,__text) non-external _do_svis
000000018030ce70 (__TEXT,__text) external _dprintf
000000018033ca30 (__TEXT,__text) external _dprintf_l
0000000180308388 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00000001802f37f8 (__TEXT,__text) external _duplocale
00000001803201a0 (__TEXT,__text) external _dxprintf
00000001803208b0 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_image_header_containing_address (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
000000018034ca00 (__TEXT,__text) external _ecvt
00000001e78fd5d0 (__DATA,__bss) non-external _empty
00000001e78fd5e0 (__DATA,__bss) non-external _empty
00000001e78fd5f4 (__DATA,__bss) non-external _empty
0000000180317834 (__TEXT,__text) external _encrypt
000000018031b07c (__TEXT,__text) non-external _end_asl
000000018031b0bc (__TEXT,__text) non-external _end_file
00000001e78fbed8 (__DATA,__data) non-external _end_ptr
0000000180319634 (__TEXT,__text) external _endttyent
00000001803199a0 (__TEXT,__text) external _endusershell
0000000180351634 (__TEXT,__text) external _endutxent
000000018031aed8 (__TEXT,__text) external _endutxent_wtmp
0000000180349f94 (__TEXT,__text) external _environ_lock_np
00000001e9d33c98 (__DATA_DIRTY,__bss) non-external _environ_pointer
0000000180349fa4 (__TEXT,__text) external _environ_unlock_np
00000001802ebb84 (__TEXT,__text) non-external _eofread
00000001802ebb8c (__TEXT,__text) non-external _eofread
000000018032d714 (__TEXT,__text) external _erand48
0000000180357c1c (__TEXT,__text) external _err
00000001803307d8 (__TEXT,__text) non-external _err_aborted
000000018032d8f0 (__TEXT,__text) external _err_set_exit
000000018032d948 (__TEXT,__text) external _err_set_exit_b
000000018032d8d0 (__TEXT,__text) external _err_set_file
0000000180357d84 (__TEXT,__text) external _errc
0000000180357da4 (__TEXT,__text) external _errx
000000018035b1d0 (__TEXT,__const) non-external _escape
000000018032d9a4 (__TEXT,__text) external _execl
000000018032da98 (__TEXT,__text) external _execle
000000018032db94 (__TEXT,__text) external _execlp
000000018032dce8 (__TEXT,__text) external _execv
000000018032dd24 (__TEXT,__text) external _execvP
000000018032dd70 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
000000018032dc84 (__TEXT,__text) external _execvp
0000000180307730 (__TEXT,__text) external _exit
000000018031fac0 (__TEXT,__text) non-external _extract_next_subsystem_root_path
000000018033d130 (__TEXT,__text) external _f_prealloc
0000000180314ad8 (__TEXT,__text) non-external _fastParse64
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00000001802f6c38 (__TEXT,__text) external _fchmodx_np
00000001802f6c74 (__TEXT,__text) non-external _fchmodx_syscall
00000001802fe4a4 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
000000018034cbdc (__TEXT,__text) external _fcvt
0000000180309298 (__TEXT,__text) external _fdopen
0000000180301130 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
0000000180330bd0 (__TEXT,__text) external _fdopendir
                 (undefined) external _fegetenv (from libsystem_m)
                 (undefined) external _fegetround (from libsystem_m)
0000000180312d5c (__TEXT,__text) external _feof
000000018033ca5c (__TEXT,__text) external _feof_unlocked
000000018030bb80 (__TEXT,__text) external _ferror
000000018033ca68 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
000000018032a1dc (__TEXT,__text) non-external _fetch_bitmap
000000018031a0b4 (__TEXT,__text) external _fflagstostr
00000001802efb30 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
000000018030c344 (__TEXT,__text) external _fgetc
00000001803111e8 (__TEXT,__text) external _fgetln
000000018033cab0 (__TEXT,__text) external _fgetpos
0000000180321580 (__TEXT,__text) external _fgetrune
00000001e78fd45c (__DATA,__bss) non-external _fgetrune.warn_depreciated
00000001802fe2d0 (__TEXT,__text) external _fgets
000000018033cae0 (__TEXT,__text) external _fgetwc
000000018033cc6c (__TEXT,__text) external _fgetwc_l
000000018033cdd0 (__TEXT,__text) external _fgetwln
000000018033ccf4 (__TEXT,__text) external _fgetwln_l
000000018033cfc0 (__TEXT,__text) external _fgetws
000000018033cdf4 (__TEXT,__text) external _fgetws_l
00000001e9d33a40 (__DATA_DIRTY,__data) non-external _filelist_lock
00000001802f4724 (__TEXT,__text) external _fileno
000000018033cfe4 (__TEXT,__text) external _fileno_unlocked
00000001802edb00 (__TEXT,__text) non-external _filesec_discard_aclbuf
00000001802f6928 (__TEXT,__text) external _filesec_dup
00000001802edeb8 (__TEXT,__text) external _filesec_free
00000001802edb48 (__TEXT,__text) external _filesec_get_property
00000001802ed898 (__TEXT,__text) external _filesec_init
00000001803180b4 (__TEXT,__text) external _filesec_query_property
00000001802ed8cc (__TEXT,__text) external _filesec_set_property
000000018031316c (__TEXT,__text) external _filesec_unset_property
00000001802f4960 (__TEXT,__text) non-external _find_temp_path
000000018030740c (__TEXT,__text) non-external _first_wday_of
00000001802efbe8 (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00000001803274f8 (__TEXT,__text) non-external _flush_meta
0000000180350c10 (__TEXT,__text) non-external _flush_queues
0000000180349080 (__TEXT,__text) external _fmemopen
00000001803493d8 (__TEXT,__text) non-external _fmemopen_close
0000000180349268 (__TEXT,__text) non-external _fmemopen_read
0000000180349350 (__TEXT,__text) non-external _fmemopen_seek
00000001803492c4 (__TEXT,__text) non-external _fmemopen_write
00000001e3d717b0 (__DATA_CONST,__const) non-external _fmt_padding
0000000180308d10 (__TEXT,__text) external _fmtcheck
000000018032e14c (__TEXT,__text) external _fmtmsg
0000000180309ffc (__TEXT,__text) external _fnmatch
00000001802f00e4 (__TEXT,__text) external _fopen
0000000180356b2c (__TEXT,__text) external _fopen$DARWIN_EXTSN
00000001803033e4 (__TEXT,__text) external _fork
000000018030307c (__TEXT,__text) external _forkpty
0000000180310ef0 (__TEXT,__text) external _fparseln
000000018035ae74 (__TEXT,__const) non-external _fparseln.dstr
00000001802f1914 (__TEXT,__text) external _fprintf
000000018033d1bc (__TEXT,__text) external _fprintf_l
00000001e78fbec8 (__DATA,__data) non-external _fptr
000000018033d1e8 (__TEXT,__text) external _fpurge
00000001803124b8 (__TEXT,__text) external _fputc
000000018032177c (__TEXT,__text) external _fputrune
00000001e78fd464 (__DATA,__bss) non-external _fputrune.warn_depreciated
000000018030bff8 (__TEXT,__text) external _fputs
000000018033d368 (__TEXT,__text) external _fputwc
000000018033d3ec (__TEXT,__text) external _fputwc_l
000000018033d5d4 (__TEXT,__text) external _fputws
000000018033d480 (__TEXT,__text) external _fputws_l
00000001802f4604 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
0000000180320320 (__TEXT,__text) external _free_printf_comp
00000001803205c4 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00000001802f3d3c (__TEXT,__text) external _freelocale
000000018033d7a4 (__TEXT,__text) external _freopen
000000018033dba8 (__TEXT,__text) external _fscanf
000000018033dc78 (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00000001802f3eb4 (__TEXT,__text) external _fseek
00000001802f3f3c (__TEXT,__text) external _fseeko
000000018033dd5c (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
00000001803167d4 (__TEXT,__text) external _fstatvfs
00000001803213fc (__TEXT,__text) external _fstatx_np
00000001802f6c30 (__TEXT,__text) non-external _fstatx_syscall
00000001e78fb9f8 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00000001803220dc (__TEXT,__text) external _fsync_volume_np
00000001802f46b8 (__TEXT,__text) external _ftell
00000001802f4474 (__TEXT,__text) external _ftello
0000000180346cf8 (__TEXT,__text) external _ftime
000000018032ee88 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
000000018033c968 (__TEXT,__text) external _ftrylockfile
00000001802f1628 (__TEXT,__text) non-external _fts_alloc
00000001802f4ea0 (__TEXT,__text) non-external _fts_build
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.1
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.2
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.3
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.4
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.5
0000000180357388 (__TEXT,__text) non-external _fts_build.cold.6
0000000180318b04 (__TEXT,__text) external _fts_children
00000001803182d0 (__TEXT,__text) external _fts_close
0000000180318448 (__TEXT,__text) non-external _fts_fchdir
00000001803183f4 (__TEXT,__text) non-external _fts_free
0000000180318a28 (__TEXT,__text) non-external _fts_load
0000000180318164 (__TEXT,__text) external _fts_open
000000018031820c (__TEXT,__text) external _fts_open_b
00000001802f15a0 (__TEXT,__text) non-external _fts_palloc
0000000180318460 (__TEXT,__text) external _fts_read
00000001802f599c (__TEXT,__text) non-external _fts_safe_changedir
0000000180318acc (__TEXT,__text) external _fts_set
0000000180318c74 (__TEXT,__text) non-external _fts_sort
00000001802f16d0 (__TEXT,__text) non-external _fts_stat2
0000000180319b04 (__TEXT,__text) external _ftw
00000001803216c4 (__TEXT,__text) external _fungetrune
00000001e78fd460 (__DATA,__bss) non-external _fungetrune.warn_depreciated
00000001802efd94 (__TEXT,__text) external _funlockfile
0000000180305ad4 (__TEXT,__text) external _funopen
000000018033dd68 (__TEXT,__text) external _fwide
000000018033ddd4 (__TEXT,__text) external _fwprintf
000000018033de24 (__TEXT,__text) external _fwprintf_l
0000000180300554 (__TEXT,__text) external _fwrite
000000018033de50 (__TEXT,__text) external _fwscanf
000000018033dea0 (__TEXT,__text) external _fwscanf_l
00000001803201dc (__TEXT,__text) external _fxprintf
00000001803208f0 (__TEXT,__text) external _fxprintf_exec
00000001e78fbf98 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
0000000180330728 (__TEXT,__text) non-external _g_opendir
000000018033067c (__TEXT,__text) non-external _g_stat
000000018034cbe4 (__TEXT,__text) external _gcvt
00000001802f2dfc (__TEXT,__text) non-external _gdtoa_freelist_free
00000001e9d33cc8 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00000001e9d335c0 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00000001803157bc (__TEXT,__text) non-external _generalSlowpath
0000000180357120 (__TEXT,__text) non-external _generalSlowpath.cold.1
00000001803572ac (__TEXT,__text) non-external _generalSlowpath.cold.10
00000001803572d8 (__TEXT,__text) non-external _generalSlowpath.cold.11
0000000180357304 (__TEXT,__text) non-external _generalSlowpath.cold.12
0000000180357330 (__TEXT,__text) non-external _generalSlowpath.cold.13
000000018035714c (__TEXT,__text) non-external _generalSlowpath.cold.2
0000000180357178 (__TEXT,__text) non-external _generalSlowpath.cold.3
00000001803571a4 (__TEXT,__text) non-external _generalSlowpath.cold.4
00000001803571d0 (__TEXT,__text) non-external _generalSlowpath.cold.5
00000001803571fc (__TEXT,__text) non-external _generalSlowpath.cold.6
0000000180357228 (__TEXT,__text) non-external _generalSlowpath.cold.7
0000000180357254 (__TEXT,__text) non-external _generalSlowpath.cold.8
0000000180357280 (__TEXT,__text) non-external _generalSlowpath.cold.9
000000018031b104 (__TEXT,__text) non-external _get_asl
00000001e78fcec0 (__DATA,__bss) non-external _get_asl.utx
00000001e78fd41c (__DATA,__bss) non-external _get_clock.adjustment
00000001e78fd430 (__DATA,__bss) non-external _get_clock.clock_seq
00000001e78fd420 (__DATA,__bss) non-external _get_clock.last
000000018031b474 (__TEXT,__text) non-external _get_file
00000001e78fd140 (__DATA,__bss) non-external _get_file.ux
0000000180308d90 (__TEXT,__text) non-external _get_next_format
0000000180308f30 (__TEXT,__text) non-external _get_next_format_from_precision
0000000180308ed0 (__TEXT,__text) non-external _get_next_format_from_width
000000018034d0ac (__TEXT,__text) non-external _getargs
000000018034d0ac (__TEXT,__text) non-external _getargs
000000018034e5c8 (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
000000018033ae50 (__TEXT,__text) non-external _getbits
000000018035b881 (__TEXT,__const) non-external _getbits.digits
000000018032eef0 (__TEXT,__text) external _getbsize
00000001e78fd4b0 (__DATA,__bss) non-external _getbsize.header
0000000180312b44 (__TEXT,__text) external _getc
000000018033decc (__TEXT,__text) external _getc_unlocked
000000018033def8 (__TEXT,__text) external _getchar
000000018033df64 (__TEXT,__text) external _getchar_unlocked
0000000180307bf8 (__TEXT,__text) external _getcwd
000000018031fc30 (__TEXT,__text) external _getdate
00000001e78fd3c8 (__DATA,__bss) non-external _getdate.tm
00000001e78fdb14 (__DATA,__common) external _getdate_err
000000018030bc24 (__TEXT,__text) external _getdelim
0000000180317968 (__TEXT,__text) external _getdiskbyname
00000001e78fcd50 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
000000018032f204 (__TEXT,__text) non-external _getent
00000001802e0d9c (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
0000000180356cd0 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00000001803225ec (__TEXT,__text) external _gethostid
00000001802f5bfc (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
000000018033bb00 (__TEXT,__text) external _getipv4sourcefilter
0000000180358428 (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
0000000180358454 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
0000000180358480 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
000000018031a530 (__TEXT,__text) external _getlastlogx
000000018031a634 (__TEXT,__text) external _getlastlogxbyname
000000018030bc18 (__TEXT,__text) external _getline
0000000180318d5c (__TEXT,__text) external _getloadavg
0000000180312a40 (__TEXT,__text) external _getlogin
0000000180312a8c (__TEXT,__text) non-external _getlogin_basic
00000001803301d4 (__TEXT,__text) external _getlogin_r
0000000180330258 (__TEXT,__text) external _getmntinfo
00000001e78fd4f8 (__DATA,__bss) non-external _getmntinfo.vars
00000001802ec9e8 (__TEXT,__text) non-external _getmntinfo_internal
0000000180330290 (__TEXT,__text) external _getmntinfo_r_np
00000001803320f0 (__TEXT,__text) external _getmode
00000001802e7f2c (__TEXT,__text) non-external _getoffset
0000000180308a90 (__TEXT,__text) external _getopt
00000001e78fbe78 (__DATA,__data) non-external _getopt.place
0000000180308410 (__TEXT,__text) non-external _getopt_internal
0000000180358a40 (__TEXT,__text) non-external _getopt_internal.cold.1
00000001e78fbe80 (__DATA,__data) non-external _getopt_internal.posixly_correct
0000000180308408 (__TEXT,__text) external _getopt_long
0000000180313ad4 (__TEXT,__text) external _getopt_long_only
00000001802edfc0 (__TEXT,__text) external _getpagesize
00000001e9d33ce8 (__DATA_DIRTY,__bss) non-external _getpagesize.value
0000000180331d20 (__TEXT,__text) external _getpass
00000001e78fd590 (__DATA,__bss) non-external _getpass.buf
00000001803302f8 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001802ecab8 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00000001802e8208 (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
000000018033df9c (__TEXT,__text) external _gets
000000018035b88c (__TEXT,__const) non-external _gets.w
00000001e78fd834 (__DATA,__bss) non-external _gets.warned
00000001802e7f80 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018033bce0 (__TEXT,__text) external _getsourcefilter
000000018034a0c4 (__TEXT,__text) external _getsubopt
00000001802e69dc (__TEXT,__text) external _gettimeofday
00000001e78fd454 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00000001e78fd458 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00000001e78fd450 (__DATA,__bss) non-external _gettimeofday.validtz
0000000180318f98 (__TEXT,__text) external _getttyent
00000001e78fcda0 (__DATA,__bss) non-external _getttyent.line
00000001e3d70de0 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00000001e78fcd60 (__DATA,__bss) non-external _getttyent.tty
0000000180318e2c (__TEXT,__text) external _getttynam
0000000180317ff4 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
000000018031974c (__TEXT,__text) external _getusershell
00000001803522ac (__TEXT,__text) external _getutmp
00000001803522e0 (__TEXT,__text) external _getutmpx
0000000180351950 (__TEXT,__text) external _getutxent
000000018031aee4 (__TEXT,__text) external _getutxent_wtmp
0000000180351b44 (__TEXT,__text) external _getutxid
0000000180351c4c (__TEXT,__text) external _getutxline
000000018035b876 (__TEXT,__const) non-external _getv4.digits
0000000180312db8 (__TEXT,__text) external _getvfsbyname
000000018033e084 (__TEXT,__text) external _getw
000000018033e0c4 (__TEXT,__text) external _getwc
000000018033e0e8 (__TEXT,__text) external _getwc_l
000000018033e0ec (__TEXT,__text) external _getwchar
000000018033e11c (__TEXT,__text) external _getwchar_l
0000000180322678 (__TEXT,__text) external _getwd
00000001802e7e84 (__TEXT,__text) non-external _getzname
0000000180330384 (__TEXT,__text) external _glob
000000018030aa98 (__TEXT,__text) non-external _glob0
000000018030af8c (__TEXT,__text) non-external _glob2
000000018033039c (__TEXT,__text) external _glob_b
00000001803303b4 (__TEXT,__text) non-external _globexp1
000000018030b96c (__TEXT,__text) non-external _globfinal
000000018030ba10 (__TEXT,__text) external _globfree
000000018035badc (__TEXT,__const) non-external _gmt
0000000180305ce0 (__TEXT,__text) non-external _gmt_init
00000001e78fbe48 (__DATA,__data) non-external _gmt_notify
00000001e78fbe50 (__DATA,__data) non-external _gmt_once
000000018030c3a8 (__TEXT,__text) external _gmtime
00000001e78fd9e0 (__DATA,__bss) non-external _gmtime_key
00000001e78fd9dc (__DATA,__bss) non-external _gmtime_key_error
000000018030c488 (__TEXT,__text) non-external _gmtime_key_init
00000001e78fbe38 (__DATA,__data) non-external _gmtime_once
0000000180305c30 (__TEXT,__text) external _gmtime_r
0000000180305d78 (__TEXT,__text) non-external _gmtload
00000001e78fda20 (__DATA,__bss) non-external _gmtptr
0000000180305c3c (__TEXT,__text) non-external _gmtsub
000000018035bc39 (__TEXT,__const) non-external _gnuoptchar
00000001e78fd4d8 (__DATA,__bss) non-external _gottoprec
00000001803032e4 (__TEXT,__text) external _grantpt
0000000180340dc4 (__TEXT,__text) non-external _grouping_init
0000000180344208 (__TEXT,__text) non-external _grouping_init
0000000180340e8c (__TEXT,__text) non-external _grouping_print
0000000180344344 (__TEXT,__text) non-external _grouping_print
0000000180331d0c (__TEXT,__text) non-external _handler
00000001e78fdb00 (__DATA,__bss) non-external _handlers
0000000180328b20 (__TEXT,__text) non-external _hash4
0000000180327690 (__TEXT,__text) non-external _hash_access
0000000180326e90 (__TEXT,__text) non-external _hash_close
000000018034bf34 (__TEXT,__text) external _hash_create
0000000180326ed4 (__TEXT,__text) non-external _hash_delete
000000018034bfc8 (__TEXT,__text) external _hash_destroy
0000000180326f58 (__TEXT,__text) non-external _hash_fd
0000000180326f9c (__TEXT,__text) non-external _hash_get
000000018034c250 (__TEXT,__text) external _hash_purge
0000000180327004 (__TEXT,__text) non-external _hash_put
000000018034c0a0 (__TEXT,__text) external _hash_search
0000000180327090 (__TEXT,__text) non-external _hash_seq
000000018034c2d4 (__TEXT,__text) external _hash_stats
00000001803272d0 (__TEXT,__text) non-external _hash_sync
