00000001df5d35c0 (__DATA,__data) non-external _.compoundliteral
0000000182b6eeb0 (__TEXT,__text) non-external ___emit_modifier_list_block_invoke.84
0000000182b6898c (__TEXT,__text) non-external ___emit_profile_block_invoke
0000000182b6eb7c (__TEXT,__text) non-external ___emit_return_instruction_block_invoke
0000000182b6ebd4 (__TEXT,__text) non-external ___emit_return_instruction_block_invoke.69
0000000182b6e994 (__TEXT,__text) non-external ___emit_variable_names_block_invoke
                 (undefined) external ___error (from libSystem)
0000000182b64e1c (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke
0000000182b6b49c (__TEXT,__text) non-external ___expand_logical_conditions_block_invoke.17
0000000182b73e7c (__TEXT,__text) non-external ___expand_logical_conditions_policy_block_invoke
0000000182b669e0 (__TEXT,__text) non-external ___factor_block_invoke
0000000182b6fe48 (__TEXT,__text) non-external ___factor_policy_block_invoke
0000000182b5aef4 (__TEXT,__text) non-external ___list_cost_estimate_block_invoke
0000000182b733c0 (__TEXT,__text) non-external ___mach_kernel_endpoint_has_msgfilter_block_invoke
0000000182b733e4 (__TEXT,__text) non-external ___mach_kernel_endpoint_message_filter_has_mach_message_send_block_invoke
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
0000000182b61034 (__TEXT,__text) non-external ___operation_can_return_action_block_invoke
0000000182b720ec (__TEXT,__text) non-external ___operation_expand_block_invoke
0000000182b6f2b8 (__TEXT,__text) non-external ___populate_variable_count_block_invoke
0000000182b66248 (__TEXT,__text) non-external ___reorder_block_invoke
0000000182b66958 (__TEXT,__text) non-external ___reorder_condition_list_block_invoke
0000000182b6f6c8 (__TEXT,__text) non-external ___reorder_policy_block_invoke
0000000182b6f42c (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke
0000000182b6f4a0 (__TEXT,__text) non-external ___reserve_modifier_descriptors_block_invoke.25
0000000182b65f30 (__TEXT,__text) non-external ___resolve_jumps_block_invoke
                 (undefined) external ___sandbox_ms (from libSystem)
0000000182b6d8a8 (__TEXT,__text) non-external ___sandbox_prepare_user_home_mount_block_invoke
0000000182b6de80 (__TEXT,__text) non-external ___sandbox_register_network_approval_policy_exemption_for_share_block_invoke
0000000182b6e19c (__TEXT,__text) non-external ___sandbox_register_sync_root_block_invoke
0000000182b67d28 (__TEXT,__text) non-external ___sb_analyze_check_dependencies_profile_block_invoke
0000000182b61484 (__TEXT,__text) non-external ___sb_bytecode_output_profile_block_invoke
0000000182b74e10 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke
0000000182b5bb08 (__TEXT,__text) non-external ___sb_condition_conjunction_block_invoke_2
0000000182b74e00 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke
0000000182b5af38 (__TEXT,__text) non-external ___sb_condition_disjunction_block_invoke_2
0000000182b6ae58 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke
0000000182b5fe54 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_2
0000000182b6ae48 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_3
0000000182b5ec10 (__TEXT,__text) non-external ___sb_condition_is_contrary_block_invoke_4
0000000182b738b4 (__TEXT,__text) non-external ___sb_condition_list_every_condition_matches_predicate_block_invoke
0000000182b580f0 (__TEXT,__text) non-external ___sb_filter_has_side_effects_block_invoke
0000000182b5a290 (__TEXT,__text) non-external ___sb_fsa_disjunction_block_invoke
0000000182b65e94 (__TEXT,__text) non-external ___sb_fsa_matches_disjoint_set_block_invoke
0000000182b65d04 (__TEXT,__text) non-external ___sb_fsa_matches_subset_block_invoke
0000000182b74504 (__TEXT,__text) non-external ___sb_fsa_recognizer_byteset_block_invoke
0000000182b6a230 (__TEXT,__text) non-external ___sb_modifiers_apply_action_flags_block_invoke
0000000182b6e8b4 (__TEXT,__text) non-external ___sb_msgfilter_iterate_entry_points_block_invoke
0000000182b545c0 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke
0000000182b60b90 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_10
0000000182b70780 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_11
0000000182b7059c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_12
0000000182b6b394 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_2
0000000182b6ae2c (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_3
0000000182b5bbb8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_4
0000000182b5bcd8 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_5
0000000182b704ac (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_6
0000000182b70858 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_7
0000000182b70524 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_8
0000000182b70828 (__TEXT,__text) non-external ___sb_sbpl_parser_init_scheme_block_invoke_9
0000000182b54afc (__TEXT,__text) non-external ___sb_sbpl_version_1_block_invoke
0000000182b5bd04 (__TEXT,__text) non-external ___sb_sbpl_version_1_block_invoke_2
0000000182b54c20 (__TEXT,__text) non-external ___sb_sbpl_version_1_block_invoke_3
0000000182b54e64 (__TEXT,__text) non-external ___sb_sbpl_version_1_block_invoke_4
0000000182b54f6c (__TEXT,__text) non-external ___sb_sbpl_version_1_block_invoke_5
0000000182b73708 (__TEXT,__text) non-external ___sb_transform_bitmask_has_migroutine_index_by_id_block_invoke
0000000182b6ffd4 (__TEXT,__text) non-external ___sb_transform_resolve_jumps_policy_block_invoke
                 (undefined) external ___srget (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___strlcat_chk (from libSystem)
0000000182b73ccc (__TEXT,__text) non-external ___synthesize_logical_conditions_policy_block_invoke
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
0000000182b700d4 (__TEXT,__text) non-external ___visit_instructions_in_policy_block_invoke
0000000182b7014c (__TEXT,__text) non-external ___visit_instructions_in_policy_block_invoke_2
0000000182b542a4 (__TEXT,__text) non-external ___xpc2sc_block_invoke
00000001df5d32a0 (__DATA,__data) non-external __address_family_aliases_
0000000182b6f378 (__TEXT,__text) non-external __annotate_instruction_order
0000000182b6b360 (__TEXT,__text) non-external __buffer_close
0000000182b6b260 (__TEXT,__text) non-external __buffer_read
0000000182b6b1f0 (__TEXT,__text) non-external __buffer_seek
0000000182b5a4e4 (__TEXT,__text) non-external __calculate_graft_position
0000000182b6fd98 (__TEXT,__text) non-external __condition_list_diff
00000001df5d5690 (__DATA,__data) non-external __csr_aliases_
0000000182b70f90 (__TEXT,__text) non-external __define_filter
0000000182b53bac (__TEXT,__text) non-external __define_list
0000000182b53d94 (__TEXT,__text) non-external __define_symbol
00000001df5d2bd0 (__DATA,__data) non-external __errno_value_aliases_
00000001df5d9620 (__DATA,__data) non-external __fcntl_command_aliases_
0000000182b5aac4 (__TEXT,__text) non-external __flatten
0000000182b6a444 (__TEXT,__text) non-external __free_error_pool
00000001df5d3630 (__DATA,__data) non-external __fsctl_command_aliases_
00000001df5d5760 (__DATA,__data) non-external __host_special_port_aliases_
00000001df5d41a0 (__DATA,__data) non-external __ioctl_command_aliases_
00000001df5d7ba0 (__DATA,__data) non-external __machtrap_aliases_
0000000182b53bfc (__TEXT,__text) non-external __make_list_v
00000001df5d7f70 (__DATA,__data) non-external __mig_routine_aliases_
0000000182b93aa0 (__TEXT,__const) non-external __migroutine_idx_to_msgid_
0000000182b668f4 (__TEXT,__text) non-external __order
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __os_log_impl (from libSystem)
0000000182b543a4 (__TEXT,__text) non-external __parse_file
00000001df5d5f30 (__DATA,__data) non-external __persona_aliases_
00000001df5d51f0 (__DATA,__data) non-external __privilege_aliases_
0000000182b69f04 (__TEXT,__text) non-external __push_match_byteset_instr
0000000182b51030 (__TEXT,__text) non-external __s_return
0000000182b644fc (__TEXT,__text) non-external __sb_condition_list_remove_index
0000000182b57ed8 (__TEXT,__text) non-external __sb_condition_pattern_of_type
0000000182b68020 (__TEXT,__text) non-external __sb_condition_traverse_filters
0000000182b745cc (__TEXT,__text) non-external __sb_fsa_disjunction
0000000182b59eac (__TEXT,__text) non-external __sb_fsa_iterate_disjuncts
0000000182b74380 (__TEXT,__text) non-external __sb_fsa_recognizer_terminal
0000000182b5f024 (__TEXT,__text) non-external __sb_fsa_serialize
0000000182b72c74 (__TEXT,__text) non-external __sb_instr_error_with_formatv
0000000182b5e7f8 (__TEXT,__text) non-external __sb_pattern_is_literal
0000000182b4bf00 (__TEXT,__text) non-external __sb_realloc_vector
0000000182b5ec20 (__TEXT,__text) non-external __sb_value_is_equivalent
0000000182b7395c (__TEXT,__text) non-external __set_modifier_string
00000001df5d5900 (__DATA,__data) non-external __signal_aliases_
00000001df5d9aa0 (__DATA,__data) non-external __socket_option_level_aliases_
00000001df5da140 (__DATA,__data) non-external __socket_option_name_aliases_
00000001df5d3560 (__DATA,__data) non-external __socket_type_aliases_
00000001df5d5fb0 (__DATA,__data) non-external __syscall_aliases_
00000001df5d5c50 (__DATA,__data) non-external __usb_interface_class_aliases_
00000001df5d5d60 (__DATA,__data) non-external __usb_interface_subclass_aliases_
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_int64 (from libSystem)
                 (undefined) external __xpc_type_null (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _abort (from libSystem)
0000000182b5bc30 (__TEXT,__text) non-external _all_args_pass_test
0000000182b4d5b8 (__TEXT,__text) non-external _alloc_cellseg
0000000182b5d358 (__TEXT,__text) non-external _alloc_literal
0000000182b56604 (__TEXT,__text) non-external _arg_is_condition
0000000182b707ac (__TEXT,__text) non-external _arg_is_message_filter
0000000182b5bd50 (__TEXT,__text) non-external _arg_is_modifier
0000000182b56680 (__TEXT,__text) non-external _arg_is_operation
                 (undefined) external _asprintf (from libSystem)
0000000182b5860c (__TEXT,__text) non-external _assert_is_mutable
0000000182b6c15c (__TEXT,__text) non-external _atom2str
0000000182b75234 (__TEXT,__text) non-external _atom2str.cold.1
0000000182b75260 (__TEXT,__text) non-external _atom2str.cold.2
0000000182b7528c (__TEXT,__text) non-external _atom2str.cold.3
0000000182b752b8 (__TEXT,__text) non-external _atom2str.cold.4
0000000182b752e4 (__TEXT,__text) non-external _atom2str.cold.5
0000000182b75310 (__TEXT,__text) non-external _atom2str.cold.6
0000000182b7533c (__TEXT,__text) non-external _atom2str.cold.7
0000000182b75368 (__TEXT,__text) non-external _atom2str.cold.8
0000000182b4fac4 (__TEXT,__text) non-external _backchar
0000000182b55810 (__TEXT,__text) non-external _backtrace_pop
0000000182b75158 (__TEXT,__text) non-external _backtrace_pop.cold.1
0000000182b4e248 (__TEXT,__text) non-external _backtrace_push
                 (undefined) external _bootstrap_look_up (from libSystem)
                 (undefined) external _bootstrap_port (from libSystem)
                 (undefined) external _bsearch_b (from libSystem)
0000000182b6b648 (__TEXT,__text) non-external (was a private external) _bt_pointer_code
0000000182b6b67c (__TEXT,__text) non-external (was a private external) _bt_pointer_col
0000000182b6b670 (__TEXT,__text) non-external (was a private external) _bt_pointer_line
0000000182b6b654 (__TEXT,__text) non-external (was a private external) _bt_pointer_name
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
0000000182b62ac0 (__TEXT,__text) non-external _can_combine_conjunction
0000000182b62a0c (__TEXT,__text) non-external _can_combine_disjunction
0000000182b647c4 (__TEXT,__text) non-external _candidate_list_remove
0000000182b676d8 (__TEXT,__text) non-external _candidate_set_release
0000000182b5653c (__TEXT,__text) non-external _car
0000000182b565a0 (__TEXT,__text) non-external _cdr
0000000182b67dec (__TEXT,__text) non-external _check_dependencies
0000000182b74f3c (__TEXT,__text) non-external _check_policy
0000000182b73bc4 (__TEXT,__text) non-external _combine_conditions
0000000182b4ac0c (__TEXT,__text) non-external _compile
0000000182b57488 (__TEXT,__text) non-external _compute_cost_estimate
0000000182b57124 (__TEXT,__text) non-external _compute_hash
0000000182b74c28 (__TEXT,__text) non-external _compute_hash.2133
0000000182b5b038 (__TEXT,__text) non-external _condition_free_callback
0000000182b66f60 (__TEXT,__text) non-external _condition_with_patterns_combined
0000000182b6da00 (__TEXT,__text) non-external _connect_to_sandboxd_and_call
0000000182b5daa8 (__TEXT,__text) non-external _construct_automaton
0000000182b7347c (__TEXT,__text) non-external _create_bitmask_instruction_before
0000000182b67850 (__TEXT,__text) non-external _create_pattern_disjunctions
0000000182b631a8 (__TEXT,__text) non-external _cse
0000000182b63520 (__TEXT,__text) non-external _cse_inferior_list
0000000182b633b4 (__TEXT,__text) non-external _cse_multiple
0000000182b65010 (__TEXT,__text) non-external _dce
0000000182b58a44 (__TEXT,__text) non-external _decorate_condition
0000000182b54dc4 (__TEXT,__text) non-external _decorate_operation
0000000182b72c1c (__TEXT,__text) non-external _die_die_die
                 (undefined) external _dispatch_once (from libSystem)
00000001eeec1d10 (__AUTH_CONST,__const) non-external _dispatch_table
0000000182b60a24 (__TEXT,__text) non-external _dump_stack_restore
0000000182b609ac (__TEXT,__text) non-external _dump_stack_stash
0000000182b6f7ac (__TEXT,__text) non-external _eliminate_common_subexpressions_policy
0000000182b64ec4 (__TEXT,__text) non-external _eliminate_dead_code
0000000182b6fb28 (__TEXT,__text) non-external _eliminate_dead_code_policy
0000000182b69d30 (__TEXT,__text) non-external _emit
0000000182b68a1c (__TEXT,__text) non-external _emit_instruction
0000000182b6ef20 (__TEXT,__text) non-external _emit_modifier_descriptor
0000000182b6a128 (__TEXT,__text) non-external _emit_string
0000000182b698f8 (__TEXT,__text) non-external _encode_address
0000000182b5d3e0 (__TEXT,__text) non-external _end_expression
0000000182b5326c (__TEXT,__text) non-external _eqv
0000000182b64a48 (__TEXT,__text) non-external _expand_logical_conditions
0000000182b73dd0 (__TEXT,__text) non-external _expand_logical_conditions_policy
0000000182b6fc7c (__TEXT,__text) non-external _factor_policy
                 (undefined) external _fclose (from libSystem)
                 (undefined) external _fcntl (from libSystem)
                 (undefined) external _feof (from libSystem)
                 (undefined) external _ferror (from libSystem)
                 (undefined) external _fileno (from libSystem)
                 (undefined) external _fileport_makeport (from libSystem)
0000000182b4d9d0 (__TEXT,__text) non-external (was a private external) _fill_vector
00000001e59a6530 (__DATA_CONST,__const) non-external _filter_info
0000000182b4d93c (__TEXT,__text) non-external _find_consecutive_cells
0000000182b51080 (__TEXT,__text) non-external _find_slot_in_env
0000000182b5d854 (__TEXT,__text) non-external _fixup_unanchored_operand
                 (undefined) external _flockfile (from libSystem)
                 (undefined) external _fopen (from libSystem)
                 (undefined) external _fprintf (from libSystem)
                 (undefined) external _fputc (from libSystem)
                 (undefined) external _fputs (from libSystem)
                 (undefined) external _fread (from libSystem)
                 (undefined) external _free (from libSystem)
0000000182b4bd90 (__TEXT,__text) non-external _free_bytes_in_buffer
                 (undefined) external _fseeko (from libSystem)
                 (undefined) external _fstat (from libSystem)
                 (undefined) external _ftello (from libSystem)
                 (undefined) external _funlockfile (from libSystem)
                 (undefined) external _funopen (from libSystem)
                 (undefined) external _fwrite (from libSystem)
0000000182b96282 (__TEXT,__const) non-external _gLatinCaseFold
0000000182b96482 (__TEXT,__const) non-external _gLowerCaseTable
0000000182b552d8 (__TEXT,__text) non-external _gc
0000000182b53b3c (__TEXT,__text) non-external (was a private external) _gc_protect
0000000182b53d64 (__TEXT,__text) non-external (was a private external) _gc_unprotect
0000000182b7512c (__TEXT,__text) non-external _gc_unprotect.cold.1
0000000182b72ed0 (__TEXT,__text) non-external _generate_syscall_bitmask
0000000182b53128 (__TEXT,__text) non-external (was a private external) _gensym
0000000182b75100 (__TEXT,__text) non-external _gensym.cold.1
0000000182b4dadc (__TEXT,__text) non-external _get_cell
0000000182b69cb4 (__TEXT,__text) non-external _get_current_data_address
0000000182b4f90c (__TEXT,__text) non-external _inchar
0000000182b75208 (__TEXT,__text) non-external _inchar.cold.1
0000000182b88090 (__TEXT,__const) non-external _init_scm
0000000182b6d3cc (__TEXT,__text) non-external _inspect_iterate_items
0000000182b52d50 (__TEXT,__text) non-external _is_any
0000000182b6b634 (__TEXT,__text) non-external (was a private external) _is_bt_pointer
0000000182b5b024 (__TEXT,__text) non-external (was a private external) _is_character
0000000182b6b6d8 (__TEXT,__text) non-external (was a private external) _is_closure
0000000182b6b700 (__TEXT,__text) non-external (was a private external) _is_continuation
0000000182b6b728 (__TEXT,__text) non-external (was a private external) _is_environment
0000000182b73718 (__TEXT,__text) non-external _is_filter_instruction_with_integer_value
0000000182b6b6b0 (__TEXT,__text) non-external (was a private external) _is_foreign
0000000182b6b6c4 (__TEXT,__text) non-external (was a private external) _is_foreign_block
0000000182b58af0 (__TEXT,__text) non-external (was a private external) _is_foreign_object
0000000182b56738 (__TEXT,__text) non-external (was a private external) _is_integer
0000000182b6b6ec (__TEXT,__text) non-external (was a private external) _is_macro
0000000182b73404 (__TEXT,__text) non-external _is_message_id_instruction
0000000182b56d5c (__TEXT,__text) non-external _is_nonneg
0000000182b6c71c (__TEXT,__text) non-external _is_num_integer
0000000182b53214 (__TEXT,__text) non-external (was a private external) _is_number
0000000182b51c54 (__TEXT,__text) non-external (was a private external) _is_pair
0000000182b6b688 (__TEXT,__text) non-external (was a private external) _is_port
0000000182b6021c (__TEXT,__text) non-external _is_position_at_end_of_sequence
0000000182b6b69c (__TEXT,__text) non-external (was a private external) _is_proc
0000000182b6b714 (__TEXT,__text) non-external (was a private external) _is_promise
0000000182b56d48 (__TEXT,__text) non-external (was a private external) _is_string
0000000182b56f78 (__TEXT,__text) non-external (was a private external) _is_symbol
0000000182b6b590 (__TEXT,__text) non-external (was a private external) _is_vector
                 (undefined) external _isalnum (from libSystem)
                 (undefined) external _isalpha (from libSystem)
                 (undefined) external _isblank (from libSystem)
                 (undefined) external _iscntrl (from libSystem)
                 (undefined) external _isdigit (from libSystem)
                 (undefined) external _isgraph (from libSystem)
                 (undefined) external _islower (from libSystem)
                 (undefined) external _isprint (from libSystem)
                 (undefined) external _ispunct (from libSystem)
                 (undefined) external _isspace (from libSystem)
                 (undefined) external _isupper (from libSystem)
                 (undefined) external _isxdigit (from libSystem)
0000000182b56740 (__TEXT,__text) non-external (was a private external) _ivalue
0000000182b5ad40 (__TEXT,__text) non-external _list_cost_estimate
0000000182b5af5c (__TEXT,__text) non-external _list_star
0000000182b74170 (__TEXT,__text) non-external _lookup_filter_info
                 (undefined) external _mach_msg (from libSystem)
                 (undefined) external _mach_msg_destroy (from libSystem)
                 (undefined) external _mach_port_deallocate (from libSystem)
                 (undefined) external _mach_task_self_ (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _malloc_good_size (from libSystem)
                 (undefined) external _malloc_size (from libSystem)
0000000182b5561c (__TEXT,__text) non-external _mark
                 (undefined) external _matchCombine (from libMatch)
                 (undefined) external _matchCompile (from libMatch)
                 (undefined) external _matchExec (from libMatch)
                 (undefined) external _matchFree (from libMatch)
                 (undefined) external _matchInit (from libMatch)
                 (undefined) external _matchPack (from libMatch)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmem (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _memset (from libSystem)
                 (undefined) external _mergesort_b (from libSystem)
                 (undefined) external _mig_dealloc_reply_port (from libSystem)
                 (undefined) external _mig_get_reply_port (from libSystem)
                 (undefined) external _mig_put_reply_port (from libSystem)
                 (undefined) external _mig_strncpy (from libSystem)
                 (undefined) weak external _mig_strncpy_zerofill (from libSystem)
0000000182b50df4 (__TEXT,__text) non-external _mk_atom
0000000182b600dc (__TEXT,__text) non-external (was a private external) _mk_counted_string
0000000182b53ec0 (__TEXT,__text) non-external (was a private external) _mk_foreign_block
0000000182b53f08 (__TEXT,__text) non-external (was a private external) _mk_foreign_func
0000000182b58ab4 (__TEXT,__text) non-external (was a private external) _mk_foreign_object
0000000182b54e24 (__TEXT,__text) non-external (was a private external) _mk_integer
0000000182b51a10 (__TEXT,__text) non-external _mk_sharp_const
0000000182b6b400 (__TEXT,__text) non-external _mk_sharp_integer
0000000182b4ddf0 (__TEXT,__text) non-external (was a private external) _mk_string
0000000182b4db90 (__TEXT,__text) non-external (was a private external) _mk_symbol
0000000182b4d77c (__TEXT,__text) non-external _mk_vector
0000000182b75184 (__TEXT,__text) non-external _mk_vector.cold.1
00000001e59a62f0 (__DATA_CONST,__const) non-external _modifier_info
0000000182b60270 (__TEXT,__text) non-external _move_to_next_node
0000000182b70de4 (__TEXT,__text) non-external _msgfilter_free_callback
0000000182b62e10 (__TEXT,__text) non-external _negate_instruction
00000001e59a6f90 (__DATA_CONST,__const) non-external _network_filter_constants
0000000182b4da2c (__TEXT,__text) non-external _new_frame_in_env
0000000182b4def0 (__TEXT,__text) non-external _new_slot_spec_in_env
0000000182b53228 (__TEXT,__text) non-external _num_eq
0000000182b5afd8 (__TEXT,__text) non-external _num_ge
0000000182b60140 (__TEXT,__text) non-external _num_gt
0000000182b6b5ec (__TEXT,__text) non-external _num_le
0000000182b6b5a4 (__TEXT,__text) non-external _num_lt
00000001eb71bf30 (__DATA_DIRTY,__bss) non-external _num_one
00000001eb71bf20 (__DATA_DIRTY,__bss) non-external _num_zero
0000000182b58b04 (__TEXT,__text) non-external (was a private external) _objvalue
0000000182b4dcb8 (__TEXT,__text) non-external _oblist_add_by_name
0000000182b4dbe8 (__TEXT,__text) non-external _oblist_find_by_name
0000000182b5d46c (__TEXT,__text) non-external _op_concat
0000000182b5d9c0 (__TEXT,__text) non-external _operand_release
0000000182b71e1c (__TEXT,__text) non-external _operation_expand
00000001e59a77e0 (__DATA_CONST,__const) non-external _operation_info
00000001e59a7248 (__DATA_CONST,__const) non-external _operation_names
0000000182b5d270 (__TEXT,__text) non-external _operator_precedence
0000000182b4e69c (__TEXT,__text) non-external _opexe_0
0000000182b751b0 (__TEXT,__text) non-external _opexe_0.cold.1
0000000182b751dc (__TEXT,__text) non-external _opexe_0.cold.2
0000000182b51150 (__TEXT,__text) non-external _opexe_1
0000000182b51c68 (__TEXT,__text) non-external _opexe_2
0000000182b52d58 (__TEXT,__text) non-external _opexe_3
0000000182b533ec (__TEXT,__text) non-external _opexe_4
0000000182b4fb58 (__TEXT,__text) non-external _opexe_5
0000000182b6ab88 (__TEXT,__text) non-external _opexe_6
                 (undefined) external _os_log_type_enabled (from libSystem)
0000000182b56598 (__TEXT,__text) non-external (was a private external) _pair_car
0000000182b565fc (__TEXT,__text) non-external (was a private external) _pair_cdr
0000000182b57694 (__TEXT,__text) non-external _parse_pattern
0000000182b9434c (__TEXT,__const) non-external _policy_scm
0000000182b6ec08 (__TEXT,__text) non-external _populate_modifier_descriptor
0000000182b6ef9c (__TEXT,__text) non-external _populate_modifier_msgfilter_descriptor
0000000182b5589c (__TEXT,__text) non-external _port_close
0000000182b4e07c (__TEXT,__text) non-external _port_from_string
0000000182b56d8c (__TEXT,__text) non-external _port_rep_from_file
0000000182b8ffea (__TEXT,__const) non-external _prelude_scm
0000000182b69bf8 (__TEXT,__text) non-external _previously_emitted_buffer
0000000182b6c694 (__TEXT,__text) non-external _printatom
0000000182b7247c (__TEXT,__text) non-external _priortysort
00000001e59a5e30 (__DATA_CONST,__const) non-external _profile_dirs
0000000182b5f890 (__TEXT,__text) non-external _push_bytes
0000000182b5e210 (__TEXT,__text) non-external _push_byteset
0000000182b5fa5c (__TEXT,__text) non-external _push_jne_instr
0000000182b5d2c0 (__TEXT,__text) non-external _push_literal
0000000182b5fc24 (__TEXT,__text) non-external _push_match_sequence_instr
0000000182b6b3b0 (__TEXT,__text) non-external _push_nop
0000000182b5cdb0 (__TEXT,__text) non-external _push_operator
0000000182b6b78c (__TEXT,__text) non-external (was a private external) _putcharacter
0000000182b6b73c (__TEXT,__text) non-external (was a private external) _putstr
0000000182b50d18 (__TEXT,__text) non-external _readstr_upto
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _reallocf (from libSystem)
0000000182b69da8 (__TEXT,__text) non-external _record_buffer_data
0000000182b69e98 (__TEXT,__text) non-external _record_condition_data
0000000182b5fe5c (__TEXT,__text) non-external _regex_quote
0000000182b663fc (__TEXT,__text) non-external _reorder_condition
0000000182b665f4 (__TEXT,__text) non-external _reorder_condition_list
0000000182b6f614 (__TEXT,__text) non-external _reorder_policy
0000000182b5b060 (__TEXT,__text) non-external _reverse
0000000182b54370 (__TEXT,__text) non-external (was a private external) _s_cons
0000000182b53d30 (__TEXT,__text) non-external (was a private external) _s_immutable_cons
0000000182b4f620 (__TEXT,__text) non-external _s_save
0000000182b6a4fc (__TEXT,__text) external _sandbox_apply
0000000182b6a504 (__TEXT,__text) external _sandbox_apply_container
0000000182b6ced8 (__TEXT,__text) external _sandbox_compile_entitlements
0000000182b4aab0 (__TEXT,__text) external _sandbox_compile_file
0000000182b4aa0c (__TEXT,__text) external _sandbox_compile_named
0000000182b6b080 (__TEXT,__text) external _sandbox_compile_string
0000000182b6d778 (__TEXT,__text) external _sandbox_container_paths_iterate_items
0000000182b4a8b8 (__TEXT,__text) external _sandbox_create_params
0000000182b6dc1c (__TEXT,__text) external _sandbox_exempt_from_network_approval_policy
0000000182b6a5f0 (__TEXT,__text) external _sandbox_free_params
0000000182b6a5a4 (__TEXT,__text) external _sandbox_free_profile
0000000182b6cef8 (__TEXT,__text) external _sandbox_inspect_pid
0000000182b6d004 (__TEXT,__text) external _sandbox_inspect_smemory
0000000182b6d788 (__TEXT,__text) external _sandbox_prepare_user_home_mount
0000000182b6dce8 (__TEXT,__text) external _sandbox_register_network_approval_policy_exemption_for_share
0000000182b6e0ac (__TEXT,__text) external _sandbox_register_sync_root
0000000182b4a914 (__TEXT,__text) external _sandbox_set_param
0000000182b6d0a0 (__TEXT,__text) external _sandbox_set_user_state_item
0000000182b6d0b4 (__TEXT,__text) external _sandbox_set_user_state_item_with_persona
0000000182b6d00c (__TEXT,__text) external _sandbox_user_state_item_buffer_create
0000000182b6d074 (__TEXT,__text) external _sandbox_user_state_item_buffer_destroy
0000000182b6d014 (__TEXT,__text) external _sandbox_user_state_item_buffer_send
0000000182b6d3bc (__TEXT,__text) external _sandbox_user_state_iterate_items
0000000182b6f590 (__TEXT,__text) non-external _sb_annotation_destroy
0000000182b68794 (__TEXT,__text) non-external _sb_annotation_set_integer
0000000182b72e08 (__TEXT,__text) non-external _sb_bitmask_release
0000000182b4bde0 (__TEXT,__text) non-external _sb_buffer_alloc
0000000182b6b544 (__TEXT,__text) non-external _sb_buffer_compare_data
0000000182b5e500 (__TEXT,__text) non-external _sb_buffer_get_byte_count
0000000182b5e59c (__TEXT,__text) non-external _sb_buffer_get_hash
0000000182b5fd88 (__TEXT,__text) non-external _sb_buffer_is_equivalent
0000000182b57e20 (__TEXT,__text) non-external _sb_buffer_release
0000000182b5ea28 (__TEXT,__text) non-external _sb_buffer_retain
0000000182b73ed0 (__TEXT,__text) non-external _sb_buffer_with_contents_of_file
0000000182b5e54c (__TEXT,__text) non-external _sb_buffer_with_data_pointer
0000000182b5df94 (__TEXT,__text) non-external _sb_byteset_add_byte
0000000182b73838 (__TEXT,__text) non-external _sb_byteset_copy
