00007ffb06aa4372 (__TEXT,__text) non-external _DiToMD5
00007ffb06aaff82 (__TEXT,__text) external __ZN49IOServiceStateNotificationDispatchSourceMetaClass3NewEP8OSObject
00007ffb06ab0018 (__TEXT,__text) external __ZN49IOServiceStateNotificationDispatchSourceMetaClass8DispatchE5IORPC
00007ffb06ab448a (__TEXT,__text) external __ZN56OSAction__IOBlockStorageDevice_KernelCompletionMetaClass3NewEP8OSObject
00007ffb06ab44ec (__TEXT,__text) external __ZN56OSAction__IOBlockStorageDevice_KernelCompletionMetaClass8DispatchE5IORPC
00007ffb06a981e0 (__TEXT,__text) external __ZN5OSSet11withObjectsEPPK8OSObjectjj
00007ffb06a98386 (__TEXT,__text) external __ZN5OSSet12removeObjectEPK15OSMetaClassBase
00007ffb06a98184 (__TEXT,__text) external __ZN5OSSet12withCapacityEj
00007ffb06a98346 (__TEXT,__text) external __ZN5OSSet4initEv
00007ffb06a982b8 (__TEXT,__text) external __ZN5OSSet5mergeEPK7OSArray
00007ffb06a98246 (__TEXT,__text) external __ZN5OSSet9setObjectEPK15OSMetaClassBase
00007ffb06a9827e (__TEXT,__text) external __ZN5OSSet9withArrayEPK7OSArrayj
00007ffb06a989ca (__TEXT,__text) external __ZN6OSData11appendBytesEPKS_
00007ffb06a989c0 (__TEXT,__text) external __ZN6OSData11appendBytesEPKvm
00007ffb06a988ca (__TEXT,__text) external __ZN6OSData12withCapacityEj
00007ffb06a988e2 (__TEXT,__text) external __ZN6OSData15withBytesNoCopyEPvm
00007ffb06a98874 (__TEXT,__text) external __ZN6OSData4freeEv
00007ffb06ab6360 (__TEXT,__text) non-external __ZN6OSData4freeEv.cold.1
00007ffb06a988ec (__TEXT,__text) external __ZN6OSData8withDataEPKS_
00007ffb06a9891e (__TEXT,__text) external __ZN6OSData8withDataEPKS_mm
00007ffb06a988d8 (__TEXT,__text) external __ZN6OSData9withBytesEPKvm
00007ffb06a97e22 (__TEXT,__text) external __ZN7OSArray11withObjectsEPPK8OSObjectjj
00007ffb06a97f8e (__TEXT,__text) external __ZN7OSArray12removeObjectEj
00007ffb06a97e18 (__TEXT,__text) external __ZN7OSArray12withCapacityEj
00007ffb06a97f7c (__TEXT,__text) external __ZN7OSArray13replaceObjectEjPK15OSMetaClassBase
00007ffb06a97d24 (__TEXT,__text) external __ZN7OSArray14ensureCapacityEj
00007ffb06a97d34 (__TEXT,__text) external __ZN7OSArray15flushCollectionEv
00007ffb06a97dca (__TEXT,__text) external __ZN7OSArray4freeEv
00007ffb06a97ee0 (__TEXT,__text) external __ZN7OSArray5mergeEPKS_
00007ffb06a97e90 (__TEXT,__text) external __ZN7OSArray9setObjectEPK15OSMetaClassBase
00007ffb06a97f6e (__TEXT,__text) external __ZN7OSArray9setObjectEjPK15OSMetaClassBase
00007ffb06a97ea6 (__TEXT,__text) external __ZN7OSArray9withArrayEPKS_j
00007ffb06a92e1c (__TEXT,__text) external __ZN8IOThread17CopyCurrentThreadEPPS_
00007ffb06ab5b6b (__TEXT,__text) non-external __ZN8IOThread17CopyCurrentThreadEPPS_.cold.1
00007ffb06ab5b8e (__TEXT,__text) non-external __ZN8IOThread17CopyCurrentThreadEPPS_.cold.2
00007ffb06a92eaa (__TEXT,__text) external __ZN8IOThread17GetTimeConstraintEPjS0_S0_PbS1_
00007ffb06a92f64 (__TEXT,__text) external __ZN8IOThread17SetTimeConstraintEjjjb
00007ffb06a92ddc (__TEXT,__text) external __ZN8IOThread4JoinEPPv
00007ffb06a92aba (__TEXT,__text) external __ZN8IOThread4freeEv
00007ffb06a92a5e (__TEXT,__text) external __ZN8IOThread4initEv
00007ffb06a92b0c (__TEXT,__text) external __ZN8IOThread6CreateEyPFPvS0_ES0_PPS_
00007ffb06ab2f5a (__TEXT,__text) external __ZN8OSAction11Create_CallEP8OSObjectyymPPS_
00007ffb06a90cd6 (__TEXT,__text) external __ZN8OSAction12Aborted_ImplEv
00007ffb06a90c9c (__TEXT,__text) external __ZN8OSAction12GetReferenceEv
00007ffb06ab58d2 (__TEXT,__text) non-external __ZN8OSAction12GetReferenceEv.cold.1
00007ffb06ab3256 (__TEXT,__text) external __ZN8OSAction13Create_InvokeE5IORPCPFiP8OSObjectyymPPS_E
00007ffb06ab2f00 (__TEXT,__text) external __ZN8OSAction14Aborted_InvokeE5IORPCP15OSMetaClassBasePFvS2_E
00007ffb06a90cb4 (__TEXT,__text) external __ZN8OSAction17SetAbortedHandlerEU13block_pointerFvvE
00007ffb06a90a98 (__TEXT,__text) external __ZN8OSAction18CreateWithTypeNameEP8OSObjectyymP8OSStringPPS_
00007ffb06ab306c (__TEXT,__text) external __ZN8OSAction23CreateWithTypeName_CallEP8OSObjectyymP8OSStringPPS_
00007ffb06ab3324 (__TEXT,__text) external __ZN8OSAction25CreateWithTypeName_InvokeE5IORPCPFiP8OSObjectyymP8OSStringPPS_E
00007ffb06a90dac (__TEXT,__text) external __ZN8OSAction4WaitEP17OSActionWaitTokenyy
00007ffb06ab593b (__TEXT,__text) non-external __ZN8OSAction4WaitEP17OSActionWaitTokenyy.cold.1
00007ffb06a90b58 (__TEXT,__text) external __ZN8OSAction4freeEv
00007ffb06ab588c (__TEXT,__text) non-external __ZN8OSAction4freeEv.cold.1
00007ffb06a90bda (__TEXT,__text) external __ZN8OSAction6CancelEU13block_pointerFvvE
00007ffb06ab58af (__TEXT,__text) non-external __ZN8OSAction6CancelEU13block_pointerFvvE.cold.1
00007ffb06a90a88 (__TEXT,__text) external __ZN8OSAction6CreateEP8OSObjectyymPPS_
00007ffb06ab319c (__TEXT,__text) external __ZN8OSAction7AbortedEPFiP15OSMetaClassBase5IORPCE
00007ffb06a90d62 (__TEXT,__text) external __ZN8OSAction7EndWaitEP17OSActionWaitToken
00007ffb06ab5918 (__TEXT,__text) non-external __ZN8OSAction7EndWaitEP17OSActionWaitToken.cold.1
00007ffb06ab2e8a (__TEXT,__text) external __ZN8OSAction8DispatchE5IORPC
00007ffb06a90cee (__TEXT,__text) external __ZN8OSAction8WillWaitEPP17OSActionWaitToken
00007ffb06ab58f5 (__TEXT,__text) non-external __ZN8OSAction8WillWaitEPP17OSActionWaitToken.cold.1
00007ffb06ab2e94 (__TEXT,__text) external __ZN8OSAction9_DispatchEPS_5IORPC
00007ffb06a91cb6 (__TEXT,__text) external __ZN8OSBundle10mainBundleEv
00007ffb06ab5a0d (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.1
00007ffb06ab5a30 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.2
00007ffb06ab5a53 (__TEXT,__text) non-external __ZN8OSBundle10mainBundleEv.cold.3
00007ffb06a91f0c (__TEXT,__text) external __ZN8OSBundle12loadResourceEPKcymPP12OSMappedFile
00007ffb06a91df0 (__TEXT,__text) external __ZN8OSBundle14createFromPathEPKc
00007ffb06a91eac (__TEXT,__text) external __ZN8OSBundle4freeEv
00007ffb06a91e58 (__TEXT,__text) external __ZN8OSBundle4initEv
00007ffb06a98aea (__TEXT,__text) external __ZN8OSNumber10withNumberEPKcm
00007ffb06a98b00 (__TEXT,__text) external __ZN8OSNumber10withNumberEym
00007ffb06a98c46 (__TEXT,__text) external __ZN8OSNumber4freeEv
00007ffb06ab3682 (__TEXT,__text) external __ZN8OSObject16SetDispatchQueueEPKcP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb06ab3814 (__TEXT,__text) external __ZN8OSObject17CopyDispatchQueueEPKcPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb06ab39ba (__TEXT,__text) external __ZN8OSObject23SetDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcP15IODispatchQueueE
00007ffb06ab3aa6 (__TEXT,__text) external __ZN8OSObject24CopyDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcPP15IODispatchQueueE
00007ffb06a8e4f0 (__TEXT,__text) external __ZN8OSObject4freeEv
00007ffb06a8e4e0 (__TEXT,__text) external __ZN8OSObject4initEv
00007ffb06ab361c (__TEXT,__text) external __ZN8OSObject8DispatchE5IORPC
00007ffb06ab363e (__TEXT,__text) external __ZN8OSObject9_DispatchEPS_5IORPC
00007ffb06a98a30 (__TEXT,__text) external __ZN8OSString10withStringEPKS_
00007ffb06a989fc (__TEXT,__text) external __ZN8OSString11withCStringEPKc
00007ffb06a98a52 (__TEXT,__text) external __ZN8OSString11withCStringEPKcm
00007ffb06a98a16 (__TEXT,__text) external __ZN8OSString17withCStringNoCopyEPKc
00007ffb06a952a8 (__TEXT,__text) external __ZN8OSString4freeEv
00007ffb06ab5f25 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.1
00007ffb06ab5f48 (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.2
00007ffb06ab5f6b (__TEXT,__text) non-external __ZN8OSString4freeEv.cold.3
00007ffb06a9245e (__TEXT,__text) external __ZN9IOCommand12CommandChainEv
00007ffb06a92414 (__TEXT,__text) external __ZN9IOCommand4freeEv
00007ffb06a923a0 (__TEXT,__text) external __ZN9IOCommand4initEv
00007ffb06a92454 (__TEXT,__text) external __ZN9IOCommand9FromChainEP11queue_entry
00007ffb06aacc64 (__TEXT,__text) external __ZN9IOService10AdjustBusyEiPFiP15OSMetaClassBase5IORPCE
00007ffb06aac062 (__TEXT,__text) external __ZN9IOService10JoinPMTreeEPFiP15OSMetaClassBase5IORPCE
00007ffb06a914fe (__TEXT,__text) external __ZN9IOService10Start_ImplEPS_
00007ffb06aae21c (__TEXT,__text) external __ZN9IOService10Stop_asyncEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb06a91854 (__TEXT,__text) external __ZN9IOService11Create_ImplEPS_PKcPS0_
00007ffb06aaadfc (__TEXT,__text) external __ZN9IOService11Stop_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb06aacd9e (__TEXT,__text) external __ZN9IOService12GetBusyStateEPjPFiP15OSMetaClassBase5IORPCE
00007ffb06aaad50 (__TEXT,__text) external __ZN9IOService12Start_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_E
00007ffb06aad022 (__TEXT,__text) external __ZN9IOService12UpdateReportEP6OSDatajPjyyP18IOMemoryDescriptorPFiP15OSMetaClassBase5IORPCE
00007ffb06aab528 (__TEXT,__text) external __ZN9IOService13ClientCrashedEPS_yPFiP15OSMetaClassBase5IORPCE
00007ffb06aab00c (__TEXT,__text) external __ZN9IOService13Create_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_PKcPS3_E
00007ffb06aac542 (__TEXT,__text) external __ZN9IOService13NewUserClientEjPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb06aac194 (__TEXT,__text) external __ZN9IOService13SetPowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb06aabf1e (__TEXT,__text) external __ZN9IOService13SetPropertiesEP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06aabbb6 (__TEXT,__text) external __ZN9IOService14CopyPropertiesEPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06aadba6 (__TEXT,__text) external __ZN9IOService14RemovePropertyEP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb06aabd24 (__TEXT,__text) external __ZN9IOService14SearchPropertyEPKcS1_yPP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb06aae526 (__TEXT,__text) external __ZN9IOService14SetName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcE
00007ffb06aae2de (__TEXT,__text) external __ZN9IOService14_NewUserClientEjP12OSDictionaryPP12IOUserClientPFiP15OSMetaClassBase5IORPCE
00007ffb06aad1c0 (__TEXT,__text) external __ZN9IOService15ConfigureReportEP6OSDatajPjPFiP15OSMetaClassBase5IORPCE
00007ffb06aaf0b2 (__TEXT,__text) external __ZN9IOService15CopyName_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP8OSStringE
00007ffb06aab916 (__TEXT,__text) external __ZN9IOService15RegisterServiceEPFiP15OSMetaClassBase5IORPCE
00007ffb06a91684 (__TEXT,__text) external __ZN9IOService15Stop_async_ImplEPS_
00007ffb06aac2ce (__TEXT,__text) external __ZN9IOService16ChangePowerStateEjPFiP15OSMetaClassBase5IORPCE
00007ffb06aaeff6 (__TEXT,__text) external __ZN9IOService16SetLegend_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArraybE
00007ffb06aac408 (__TEXT,__text) external __ZN9IOService16SetPowerOverrideEbPFiP15OSMetaClassBase5IORPCE
00007ffb06a919e6 (__TEXT,__text) external __ZN9IOService16StringFromReturnEi
00007ffb06aad5f8 (__TEXT,__text) external __ZN9IOService16StringFromReturnEiPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb06aaea82 (__TEXT,__text) external __ZN9IOService16Terminate_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb06aaec54 (__TEXT,__text) external __ZN9IOService17AdjustBusy_InvokeE5IORPCP15OSMetaClassBasePFiS2_iE
00007ffb06aae8b0 (__TEXT,__text) external __ZN9IOService17JoinPMTree_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb06aab1b6 (__TEXT,__text) external __ZN9IOService17Stop_async_InvokeE5IORPCP15OSMetaClassBasePFvS2_PS_E
00007ffb06aad930 (__TEXT,__text) external __ZN9IOService17UserSetPropertiesEP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb06aab630 (__TEXT,__text) external __ZN9IOService18GetRegistryEntryIDEPyPFiP15OSMetaClassBase5IORPCE
00007ffb06aacb2e (__TEXT,__text) external __ZN9IOService18RequireMaxBusStallEyPFiP15OSMetaClassBase5IORPCE
00007ffb06a916bc (__TEXT,__text) external __ZN9IOService18SetPowerState_ImplEj
00007ffb06aaecc6 (__TEXT,__text) external __ZN9IOService19GetBusyState_InvokeE5IORPCP15OSMetaClassBasePFiS2_PjE
00007ffb06aaee24 (__TEXT,__text) external __ZN9IOService19UpdateReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjyyP18IOMemoryDescriptorE
00007ffb06a91916 (__TEXT,__text) external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient
00007ffb06ab59ea (__TEXT,__text) non-external __ZN9IOService19_NewUserClient_ImplEjP12OSDictionaryPP12IOUserClient.cold.1
00007ffb06aae470 (__TEXT,__text) external __ZN9IOService20ClientCrashed_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yE
00007ffb06aaea02 (__TEXT,__text) external __ZN9IOService20NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jPP12IOUserClientE
00007ffb06aaaf9a (__TEXT,__text) external __ZN9IOService20SetPowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb06aae7fa (__TEXT,__text) external __ZN9IOService20SetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P12OSDictionaryE
00007ffb06aae63e (__TEXT,__text) external __ZN9IOService21CopyProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP12OSDictionaryE
00007ffb06aaf372 (__TEXT,__text) external __ZN9IOService21RemoveProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringE
00007ffb06aae6d6 (__TEXT,__text) external __ZN9IOService21SearchProperty_InvokeE5IORPCP15OSMetaClassBasePFiS2_PKcS4_yPP11OSContainerE
00007ffb06a9170c (__TEXT,__text) external __ZN9IOService21SetDispatchQueue_ImplEPKcP15IODispatchQueue
00007ffb06aad76a (__TEXT,__text) external __ZN9IOService21_ClaimSystemWakeEventEPS_yPKcP11OSContainerPFiP15OSMetaClassBase5IORPCE
00007ffb06aab22c (__TEXT,__text) external __ZN9IOService21_NewUserClient_InvokeE5IORPCP15OSMetaClassBasePFiS2_jP12OSDictionaryPP12IOUserClientE
00007ffb06aaef32 (__TEXT,__text) external __ZN9IOService22ConfigureReport_InvokeE5IORPCP15OSMetaClassBasePFiS2_P6OSDatajPjE
00007ffb06aac9aa (__TEXT,__text) external __ZN9IOService22CopyProviderPropertiesEP7OSArrayPS1_PFiP15OSMetaClassBase5IORPCE
00007ffb06aacefa (__TEXT,__text) external __ZN9IOService22CoreAnalyticsSendEventEyP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06aae5d2 (__TEXT,__text) external __ZN9IOService22RegisterService_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb06a919de (__TEXT,__text) external __ZN9IOService22UserSetProperties_ImplEP11OSContainer
00007ffb06aae91c (__TEXT,__text) external __ZN9IOService23ChangePowerState_InvokeE5IORPCP15OSMetaClassBasePFiS2_jE
00007ffb06a914a2 (__TEXT,__text) external __ZN9IOService23GetRegistryEntryID_ImplEPy
00007ffb06aae98e (__TEXT,__text) external __ZN9IOService23SetPowerOverride_InvokeE5IORPCP15OSMetaClassBasePFiS2_bE
00007ffb06aaf14a (__TEXT,__text) external __ZN9IOService23StringFromReturn_InvokeE5IORPCP15OSMetaClassBasePFiS2_iPP8OSStringE
00007ffb06aadf76 (__TEXT,__text) external __ZN9IOService24StateNotificationItemSetEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06aab100 (__TEXT,__text) external __ZN9IOService24UserSetProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P11OSContainerE
00007ffb06aaaea8 (__TEXT,__text) external __ZN9IOService25GetRegistryEntryID_InvokeE5IORPCP15OSMetaClassBasePFiS2_PyE
00007ffb06aaebe0 (__TEXT,__text) external __ZN9IOService25RequireMaxBusStall_InvokeE5IORPCP15OSMetaClassBasePFiS2_yE
00007ffb06aae098 (__TEXT,__text) external __ZN9IOService25StateNotificationItemCopyEP8OSStringPP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06aaba48 (__TEXT,__text) external __ZN9IOService26CreateDefaultDispatchQueueEPP15IODispatchQueuePFiP15OSMetaClassBase5IORPCE
00007ffb06aade54 (__TEXT,__text) external __ZN9IOService27StateNotificationItemCreateEP8OSStringP12OSDictionaryPFiP15OSMetaClassBase5IORPCE
00007ffb06a8fb48 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb06a8fb90 (__TEXT,__text) external __ZN9IOService28CreateNameMatchingDictionaryEPKcP12OSDictionary
00007ffb06aaf1e6 (__TEXT,__text) external __ZN9IOService28_ClaimSystemWakeEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_PS_yPKcP11OSContainerE
00007ffb06aaeaf6 (__TEXT,__text) external __ZN9IOService29CopyProviderProperties_InvokeE5IORPCP15OSMetaClassBasePFiS2_P7OSArrayPS4_E
00007ffb06aaed3a (__TEXT,__text) external __ZN9IOService29CoreAnalyticsSendEvent_InvokeE5IORPCP15OSMetaClassBasePFiS2_yP8OSStringP12OSDictionaryE
00007ffb06a913ea (__TEXT,__text) external __ZN9IOService31CreateDefaultDispatchQueue_ImplEPP15IODispatchQueue
00007ffb06aaf588 (__TEXT,__text) external __ZN9IOService31StateNotificationItemSet_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb06a8f96e (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcP8OSObjectP12OSDictionary
00007ffb06a8fa4c (__TEXT,__text) external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary
00007ffb06ab57be (__TEXT,__text) non-external __ZN9IOService32CreatePropertyMatchingDictionaryEPKcS1_P12OSDictionary.cold.1
00007ffb06aaf66a (__TEXT,__text) external __ZN9IOService32StateNotificationItemCopy_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringPP12OSDictionaryE
00007ffb06aaaf1c (__TEXT,__text) external __ZN9IOService33CreateDefaultDispatchQueue_InvokeE5IORPCP15OSMetaClassBasePFiS2_PP15IODispatchQueueE
00007ffb06a8fb18 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb06a8fb30 (__TEXT,__text) external __ZN9IOService33CreateUserClassMatchingDictionaryEPKcP12OSDictionary
00007ffb06aadcea (__TEXT,__text) external __ZN9IOService34CopySystemStateNotificationServiceEPPS_PFiP15OSMetaClassBase5IORPCE
00007ffb06aada74 (__TEXT,__text) external __ZN9IOService34SendIOMessageServicePropertyChangeEPFiP15OSMetaClassBase5IORPCE
00007ffb06aaf4a6 (__TEXT,__text) external __ZN9IOService34StateNotificationItemCreate_InvokeE5IORPCP15OSMetaClassBasePFiS2_P8OSStringP12OSDictionaryE
00007ffb06a8fa9a (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEP8OSStringP12OSDictionary
00007ffb06a8fae2 (__TEXT,__text) external __ZN9IOService35CreateKernelClassMatchingDictionaryEPKcP12OSDictionary
00007ffb06aaf428 (__TEXT,__text) external __ZN9IOService41CopySystemStateNotificationService_InvokeE5IORPCP15OSMetaClassBasePFiS2_PPS_E
00007ffb06aaf306 (__TEXT,__text) external __ZN9IOService41SendIOMessageServicePropertyChange_InvokeE5IORPCP15OSMetaClassBasePFiS2_E
00007ffb06aab424 (__TEXT,__text) external __ZN9IOService4StopEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb06a8e522 (__TEXT,__text) external __ZN9IOService4freeEv
00007ffb06a912ec (__TEXT,__text) external __ZN9IOService4initEv
00007ffb06ab59a4 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.1
00007ffb06ab59c7 (__TEXT,__text) non-external __ZN9IOService4initEv.cold.2
00007ffb06aab320 (__TEXT,__text) external __ZN9IOService5StartEPS_PFiP15OSMetaClassBase5IORPCE
00007ffb06aac6b4 (__TEXT,__text) external __ZN9IOService6CreateEPS_PKcPS0_PFiP15OSMetaClassBase5IORPCE
00007ffb06aab78e (__TEXT,__text) external __ZN9IOService7SetNameEPKcPFiP15OSMetaClassBase5IORPCE
00007ffb06aad48a (__TEXT,__text) external __ZN9IOService8CopyNameEPP8OSStringPFiP15OSMetaClassBase5IORPCE
00007ffb06aaa744 (__TEXT,__text) external __ZN9IOService8DispatchE5IORPC
00007ffb06aad33a (__TEXT,__text) external __ZN9IOService9SetLegendEP7OSArraybPFiP15OSMetaClassBase5IORPCE
00007ffb06a9153c (__TEXT,__text) external __ZN9IOService9Stop_ImplEPS_
00007ffb06aac874 (__TEXT,__text) external __ZN9IOService9TerminateEyPFiP15OSMetaClassBase5IORPCE
00007ffb06aaa74e (__TEXT,__text) external __ZN9IOService9_DispatchEPS_5IORPC
00007ffb06a98cda (__TEXT,__text) external __ZN9OSBoolean4freeEv
00007ffb06aa821a (__TEXT,__text) non-external (was a private external) __ZNK11IOEventLink12getMetaClassEv
00007ffb06ab2e4c (__TEXT,__text) non-external (was a private external) __ZNK11IOWorkGroup12getMetaClassEv
00007ffb06a9754a (__TEXT,__text) external __ZNK12OSCollection14copyCollectionEP12OSDictionary
00007ffb06a9755a (__TEXT,__text) external __ZNK12OSCollection14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb06a97650 (__TEXT,__text) external __ZNK12OSDictionary11getCapacityEv
00007ffb06a97b22 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb06a97912 (__TEXT,__text) external __ZNK12OSDictionary14iterateObjectsEU13block_pointerFbP8OSObjectS1_E
00007ffb06a97634 (__TEXT,__text) external __ZNK12OSDictionary8getCountEv
00007ffb06a979f4 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPK8OSObject
00007ffb06a97b12 (__TEXT,__text) external __ZNK12OSDictionary9getObjectEPKc
00007ffb06a9756a (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPK15OSMetaClassBase
00007ffb06a975a8 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_
00007ffb06a97a00 (__TEXT,__text) external __ZNK12OSDictionary9isEqualToEPKS_PK12OSCollection
00007ffb06a92384 (__TEXT,__text) external __ZNK12OSMappedFile4dataEv
00007ffb06a92392 (__TEXT,__text) external __ZNK12OSMappedFile4sizeEv
00007ffb06a9861e (__TEXT,__text) external __ZNK12OSOrderedSet13getLastObjectEv
00007ffb06a98612 (__TEXT,__text) external __ZNK12OSOrderedSet14getFirstObjectEv
00007ffb06aa7346 (__TEXT,__text) non-external (was a private external) __ZNK15IODispatchQueue12getMetaClassEv
00007ffb06a8b3e0 (__TEXT,__text) external __ZNK15OSMetaClassBase12GetClassNameEv
00007ffb06a8bcea (__TEXT,__text) external __ZNK15OSMetaClassBase12getMetaClassEv
00007ffb06a8b3aa (__TEXT,__text) external __ZNK15OSMetaClassBase13RemotePrivateEv
00007ffb06a8bc90 (__TEXT,__text) external __ZNK15OSMetaClassBase14getRetainCountEv
00007ffb06a8bc84 (__TEXT,__text) external __ZNK15OSMetaClassBase6retainEv
00007ffb06a8b3a0 (__TEXT,__text) external __ZNK15OSMetaClassBase7PrivateEv
00007ffb06a8bc8a (__TEXT,__text) external __ZNK15OSMetaClassBase7releaseEv
00007ffb06a8bcde (__TEXT,__text) external __ZNK15OSMetaClassBase9isEqualToEPKS_
00007ffb06aa7bde (__TEXT,__text) non-external (was a private external) __ZNK16IODispatchSource12getMetaClassEv
00007ffb06aa6eda (__TEXT,__text) non-external (was a private external) __ZNK25IODataQueueDispatchSource12getMetaClassEv
00007ffb06aa9ac8 (__TEXT,__text) non-external (was a private external) __ZNK25IOInterruptDispatchSource12getMetaClassEv
00007ffb06aaff62 (__TEXT,__text) non-external (was a private external) __ZNK35IOServiceNotificationDispatchSource12getMetaClassEv
00007ffb06ab1f74 (__TEXT,__text) non-external (was a private external) __ZNK38OSAction_IOUserClient_KernelCompletion12getMetaClassEv
00007ffb06ab0702 (__TEXT,__text) non-external (was a private external) __ZNK40IOServiceStateNotificationDispatchSource12getMetaClassEv
00007ffb06ab450e (__TEXT,__text) non-external (was a private external) __ZNK47OSAction__IOBlockStorageDevice_KernelCompletion12getMetaClassEv
00007ffb06a983b6 (__TEXT,__text) external __ZNK5OSSet12getAnyObjectEv
00007ffb06a9835e (__TEXT,__text) external __ZNK5OSSet14containsObjectEPK15OSMetaClassBase
00007ffb06a98372 (__TEXT,__text) external __ZNK5OSSet6memberEPK15OSMetaClassBase
00007ffb06a989ae (__TEXT,__text) external __ZNK6OSData11getCapacityEv
00007ffb06a9896a (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEmm
00007ffb06a9876e (__TEXT,__text) external __ZNK6OSData14getBytesNoCopyEv
00007ffb06a9879c (__TEXT,__text) external __ZNK6OSData9getLengthEv
00007ffb06a98662 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK15OSMetaClassBase
00007ffb06a98718 (__TEXT,__text) external __ZNK6OSData9isEqualToEPK8OSString
00007ffb06a986e6 (__TEXT,__text) external __ZNK6OSData9isEqualToEPKS_
00007ffb06a9872c (__TEXT,__text) external __ZNK6OSData9isEqualToEPKvm
00007ffb06a97d08 (__TEXT,__text) external __ZNK7OSArray11getCapacityEv
00007ffb06a98032 (__TEXT,__text) external __ZNK7OSArray13getLastObjectEv
00007ffb06a9804e (__TEXT,__text) external __ZNK7OSArray14iterateObjectsEU13block_pointerFbP8OSObjectE
00007ffb06a980d6 (__TEXT,__text) external __ZNK7OSArray20getNextIndexOfObjectEPK15OSMetaClassBasej
00007ffb06a97cec (__TEXT,__text) external __ZNK7OSArray8getCountEv
00007ffb06a98026 (__TEXT,__text) external __ZNK7OSArray9getObjectEj
00007ffb06a97bc2 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPK15OSMetaClassBase
00007ffb06a97c00 (__TEXT,__text) external __ZNK7OSArray9isEqualToEPKS_
