00007fff8063a838 (__DATA,__data) non-external _C
00007fff201f8527 (__TEXT,__text) non-external _bt_root
00007fff201f87ab (__TEXT,__text) non-external _bt_rroot
00007fff2021167e (__TEXT,__text) external _btowc
00007fff202115b9 (__TEXT,__text) external _btowc_l
00007fff8063a550 (__DATA,__data) non-external _buf_asctime
00007fff20221b7c (__TEXT,__text) non-external _build_arg_table
                 (indirect) external _bzero (for __platform_bzero)
00007fff20264c88 (__TEXT,__const) non-external (was a private external) _cVersionNumber
00007fff20264c60 (__TEXT,__const) non-external (was a private external) _cVersionString
                 (undefined) external _calloc (from libsystem_malloc)
00007fff2021c1a6 (__TEXT,__text) external _catclose
00007fff86f93ed0 (__DATA_CONST,__const) non-external _categories
00007fff2021beb2 (__TEXT,__text) external _catgets
00007fff2021b7ab (__TEXT,__text) external _catopen
                 (undefined) external _ccrng (from libcorecrypto)
                 (undefined) external _ccrng_uniform (from libcorecrypto)
00007fff2020f543 (__TEXT,__text) external _cfgetispeed
00007fff2020f539 (__TEXT,__text) external _cfgetospeed
00007fff2020f575 (__TEXT,__text) external _cfmakeraw
00007fff2020f559 (__TEXT,__text) external _cfsetispeed
00007fff2020f54d (__TEXT,__text) external _cfsetospeed
00007fff2020f565 (__TEXT,__text) external _cfsetspeed
00007fff20208fbb (__TEXT,__text) external _cgetcap
00007fff20209870 (__TEXT,__text) external _cgetclose
00007fff20209032 (__TEXT,__text) external _cgetent
00007fff2020981f (__TEXT,__text) external _cgetfirst
00007fff202097c7 (__TEXT,__text) external _cgetmatch
00007fff202098ad (__TEXT,__text) external _cgetnext
00007fff20209fba (__TEXT,__text) external _cgetnum
00007fff20208f3c (__TEXT,__text) external _cgetset
00007fff20209cb5 (__TEXT,__text) external _cgetstr
00007fff20209ef4 (__TEXT,__text) external _cgetustr
00007fff202121c0 (__TEXT,__text) non-external _chainsearch
                 (undefined) external _chdir (from libsystem_kernel)
00007fff201e98f0 (__TEXT,__text) non-external _check_env_var
                 (undefined) external _chflags (from libsystem_kernel)
00007fff201f382a (__TEXT,__text) non-external _chmodx1
00007fff201f3803 (__TEXT,__text) external _chmodx_np
00007fff201f3a60 (__TEXT,__text) non-external _chmodx_syscall
00007fff2021c432 (__TEXT,__text) external _clearerr
00007fff2021c452 (__TEXT,__text) external _clearerr_unlocked
00007fff202066ce (__TEXT,__text) external _clock
                 (undefined) external _clock_get_time (from libsystem_kernel)
00007fff201e51f0 (__TEXT,__text) external _clock_getres
00007fff201e503a (__TEXT,__text) external _clock_gettime
00007fff201e4dd0 (__TEXT,__text) external _clock_gettime_nsec_np
00007fff80607d64 (__DATA_DIRTY,__common) external _clock_port
00007fff80607d60 (__DATA_DIRTY,__common) external _clock_sem
00007fff201e526a (__TEXT,__text) external _clock_settime
                 (undefined) external _close$NOCANCEL (from libsystem_kernel)
00007fff201e94c5 (__TEXT,__text) non-external _close_directory
00007fff202603d5 (__TEXT,__text) non-external _close_directory
00007fff20206720 (__TEXT,__text) external _closedir
00007fff86f94470 (__DATA_CONST,__const) non-external _cnames
00007fff201fa9e5 (__TEXT,__text) non-external _collect_data
00007fff201fabab (__TEXT,__text) non-external _collect_key
00007fff20266140 (__TEXT,__const) non-external _command_substitution_str
00007fff201e9755 (__TEXT,__text) external _compat_mode
00007fff201e5c08 (__TEXT,__text) external _confstr
00007fff8063c668 (__DATA,__bss) non-external _constdatablock
00007fff201f1bd1 (__TEXT,__text) external _copy_printf_domain
00007fff2025b8f2 (__TEXT,__text) external _creat
00007fff201f5272 (__TEXT,__text) external _creat$NOCANCEL
00007fff201e5f70 (__TEXT,__text) external _crypt
00007fff8063c650 (__DATA,__bss) non-external _cryptresult
00007fff20206785 (__TEXT,__text) external _ctermid
00007fff8063a898 (__DATA,__data) non-external _ctermid.def
00007fff202067ae (__TEXT,__text) external _ctermid_r
00007fff20235e02 (__TEXT,__text) external _ctime
00007fff20235e1d (__TEXT,__text) external _ctime_r
00007fff8063a9e0 (__DATA,__data) non-external _current_categories
00007fff20216116 (__TEXT,__text) non-external _currentlocale
00007fff8063d190 (__DATA,__bss) non-external _currentlocale.current_locale_string
00007fff8063c808 (__DATA,__bss) non-external _curshell
00007fff201e55df (__TEXT,__text) non-external _cvt_statfs_to_statvfs
00007fff2025cb7d (__TEXT,__text) external _daemon
00007fff202067cf (__TEXT,__text) external _daemon$1050
00007fff8063ab40 (__DATA,__data) non-external _dash_prefix
00007fff80607dd0 (__DATA_DIRTY,__common) external _daylight
00007fff201fca3a (__TEXT,__text) external _dbm_clearerr
00007fff201fc8ea (__TEXT,__text) external _dbm_close
00007fff201fc9d0 (__TEXT,__text) external _dbm_delete
00007fff201fca50 (__TEXT,__text) external _dbm_dirfno
00007fff201fca2a (__TEXT,__text) external _dbm_error
00007fff201fc8f2 (__TEXT,__text) external _dbm_fetch
00007fff201fc930 (__TEXT,__text) external _dbm_firstkey
00007fff201fc97a (__TEXT,__text) external _dbm_nextkey
00007fff201fc817 (__TEXT,__text) external _dbm_open
00007fff201fc9f5 (__TEXT,__text) external _dbm_store
00007fff201f90d6 (__TEXT,__text) external _dbopen
00007fff8063ceb8 (__DATA,__bss) non-external _dbp
00007fff8063c7c8 (__DATA,__bss) non-external _decpreg
00007fff202662a0 (__TEXT,__const) non-external _degrees
00007fff201e6e68 (__TEXT,__text) external _devname
00007fff8063c728 (__DATA,__bss) non-external _devname.buf
00007fff201e6d2a (__TEXT,__text) external _devname_r
00007fff20233cf5 (__TEXT,__text) external _difftime
00007fff201ece9f (__TEXT,__text) external _digittoint
00007fff201ed117 (__TEXT,__text) external _digittoint_l
00007fff201f50aa (__TEXT,__text) external _dirfd
00007fff202069fb (__TEXT,__text) external _dirname
00007fff8063ce40 (__DATA,__bss) non-external _dirname.dname
00007fff2020693f (__TEXT,__text) external _dirname_r
                 (undefined) external _dispatch_get_global_queue (from libdispatch)
                 (undefined) external _dispatch_group_async_f (from libdispatch)
                 (undefined) external _dispatch_group_create (from libdispatch)
                 (undefined) external _dispatch_group_wait (from libdispatch)
                 (undefined) external _dispatch_release (from libdispatch)
00007fff2023dfad (__TEXT,__text) external _div
00007fff8063a720 (__DATA,__data) non-external _dktypenames
                 (undefined) external _dladdr (from libdyld)
                 (undefined) external _dlopen (from libdyld)
                 (undefined) external _dlsym (from libdyld)
00007fff20210b6c (__TEXT,__text) non-external _do_hvis
00007fff20210c60 (__TEXT,__text) non-external _do_mvis
00007fff20210dc7 (__TEXT,__text) non-external _do_svis
00007fff201fe98c (__TEXT,__text) non-external _dorounding
00007fff2021c45c (__TEXT,__text) external _dprintf
00007fff2021c51a (__TEXT,__text) external _dprintf_l
00007fff20206a40 (__TEXT,__text) external _drand48
                 (undefined) external _dup2 (from libsystem_kernel)
00007fff201ee6a8 (__TEXT,__text) external _duplocale
00007fff201f1586 (__TEXT,__text) external _dxprintf
00007fff201f2002 (__TEXT,__text) external _dxprintf_exec
                 (undefined) external _dyld_get_active_platform (from libdyld)
                 (undefined) external _dyld_sdk_at_least (from libdyld)
00007fff20244d11 (__TEXT,__text) external _ecvt
00007fff8063cfa0 (__DATA,__bss) non-external _empty
00007fff8063cfb0 (__DATA,__bss) non-external _empty
00007fff8063cfc4 (__DATA,__bss) non-external _empty
00007fff201e6c1a (__TEXT,__text) external _encrypt
00007fff201ebcdc (__TEXT,__text) non-external _end_asl
00007fff201ebd0c (__TEXT,__text) non-external _end_file
00007fff8063ab78 (__DATA,__data) non-external _end_ptr
00007fff201ea174 (__TEXT,__text) external _endttyent
00007fff201ea44e (__TEXT,__text) external _endusershell
00007fff2024d515 (__TEXT,__text) external _endutxent
00007fff201ebb64 (__TEXT,__text) external _endutxent_wtmp
00007fff806064c8 (__DATA_DIRTY,__bss) non-external _environ_pointer
00007fff20232d5e (__TEXT,__text) non-external _eofread
00007fff20233267 (__TEXT,__text) non-external _eofread
00007fff20206ac5 (__TEXT,__text) external _erand48
00007fff202627d8 (__TEXT,__text) external _err
00007fff2020c4b5 (__TEXT,__text) non-external _err_aborted
00007fff2025ddc2 (__TEXT,__text) non-external _err_aborted
00007fff20206cc8 (__TEXT,__text) external _err_set_exit
00007fff20206d0f (__TEXT,__text) external _err_set_exit_b
00007fff20206ca3 (__TEXT,__text) external _err_set_file
00007fff2026295b (__TEXT,__text) external _errc
00007fff202629c2 (__TEXT,__text) external _errx
00007fff20265770 (__TEXT,__const) non-external _escape
00007fff20206d60 (__TEXT,__text) external _execl
00007fff20206ea1 (__TEXT,__text) external _execle
00007fff20206ff0 (__TEXT,__text) external _execlp
00007fff20207173 (__TEXT,__text) external _execv
00007fff202071a8 (__TEXT,__text) external _execvP
00007fff202071e1 (__TEXT,__text) non-external _execvPe
                 (undefined) external _execve (from libsystem_kernel)
00007fff20207123 (__TEXT,__text) external _execvp
00007fff2023dfdb (__TEXT,__text) external _exit
00007fff2021d722 (__TEXT,__text) external _f_prealloc
                 (undefined) external _fchdir (from libsystem_kernel)
                 (undefined) external _fchmodat (from libsystem_kernel)
00007fff201f3a6d (__TEXT,__text) external _fchmodx_np
00007fff201f3a93 (__TEXT,__text) non-external _fchmodx_syscall
00007fff2021c5b0 (__TEXT,__text) external _fclose
                 (undefined) external _fcntl$NOCANCEL (from libsystem_kernel)
00007fff20244edb (__TEXT,__text) external _fcvt
00007fff2021c6ba (__TEXT,__text) external _fdopen
00007fff2025c240 (__TEXT,__text) external _fdopen$DARWIN_EXTSN
00007fff2025deb3 (__TEXT,__text) external _fdopendir
00007fff2020c894 (__TEXT,__text) external _fdopendir$INODE64
                 (undefined) external _fegetenv (from libsystem_m)
00007fff2021c7b3 (__TEXT,__text) external _feof
00007fff2021c7db (__TEXT,__text) external _feof_unlocked
00007fff2021c7ea (__TEXT,__text) external _ferror
00007fff2021c812 (__TEXT,__text) external _ferror_unlocked
                 (undefined) external _fesetenv (from libsystem_m)
00007fff201fc7aa (__TEXT,__text) non-external _fetch_bitmap
00007fff201ead1e (__TEXT,__text) external _fflagstostr
00007fff2021c821 (__TEXT,__text) external _fflush
                 (undefined) external _ffsctl (from libsystem_kernel)
00007fff2021ca49 (__TEXT,__text) external _fgetc
00007fff2021caf7 (__TEXT,__text) external _fgetln
00007fff2021cc85 (__TEXT,__text) external _fgetpos
00007fff201f45d5 (__TEXT,__text) external _fgetrune
00007fff8063ce18 (__DATA,__bss) non-external _fgetrune.warn_depreciated
00007fff2021ccaa (__TEXT,__text) external _fgets
00007fff2021cdd2 (__TEXT,__text) external _fgetwc
00007fff2021cef7 (__TEXT,__text) external _fgetwc_l
00007fff2021d014 (__TEXT,__text) external _fgetwln
00007fff2021cf5d (__TEXT,__text) external _fgetwln_l
00007fff2021d215 (__TEXT,__text) external _fgetws
00007fff2021d03c (__TEXT,__text) external _fgetws_l
00007fff80606438 (__DATA_DIRTY,__data) non-external _filelist_lock
00007fff2021d23d (__TEXT,__text) external _fileno
00007fff2021d261 (__TEXT,__text) external _fileno_unlocked
00007fff201e760d (__TEXT,__text) non-external _filesec_discard_aclbuf
00007fff201e7547 (__TEXT,__text) external _filesec_dup
00007fff201e75f1 (__TEXT,__text) external _filesec_free
00007fff201e7643 (__TEXT,__text) external _filesec_get_property
00007fff201e752c (__TEXT,__text) external _filesec_init
00007fff201e79dc (__TEXT,__text) external _filesec_query_property
00007fff201e77d8 (__TEXT,__text) external _filesec_set_property
00007fff201e79d0 (__TEXT,__text) external _filesec_unset_property
00007fff2021ff27 (__TEXT,__text) non-external _find_temp_path
00007fff20239fb4 (__TEXT,__text) non-external _first_wday_of
00007fff2021c24a (__TEXT,__text) external _flockfile
                 (undefined) external _flsl (from libsystem_platform)
00007fff201f9e0c (__TEXT,__text) non-external _flush_meta
00007fff2024b98e (__TEXT,__text) non-external _flush_queues
00007fff2023cb96 (__TEXT,__text) external _fmemopen
00007fff2023ce2d (__TEXT,__text) non-external _fmemopen_close
00007fff2023cd18 (__TEXT,__text) non-external _fmemopen_read
00007fff2023cdd3 (__TEXT,__text) non-external _fmemopen_seek
00007fff2023cd62 (__TEXT,__text) non-external _fmemopen_write
00007fff86f94050 (__DATA_CONST,__const) non-external _fmt_padding
00007fff202074e0 (__TEXT,__text) external _fmtcheck
00007fff20207a6c (__TEXT,__text) external _fmtmsg
00007fff20207f91 (__TEXT,__text) external _fnmatch
00007fff20265870 (__TEXT,__const) non-external _fnmatch.initial
00007fff20208008 (__TEXT,__text) non-external _fnmatch1
00007fff2021d82e (__TEXT,__text) external _fopen
00007fff2025c336 (__TEXT,__text) external _fopen$DARWIN_EXTSN
00007fff201f3b43 (__TEXT,__text) external _fork
00007fff201f2f33 (__TEXT,__text) external _forkpty
00007fff201f234f (__TEXT,__text) external _fparseln
00007fff2026515c (__TEXT,__const) non-external _fparseln.dstr
00007fff2021d902 (__TEXT,__text) external _fprintf
00007fff2021d9c0 (__TEXT,__text) external _fprintf_l
00007fff8063a528 (__DATA,__data) non-external _fptr
00007fff2021da56 (__TEXT,__text) external _fpurge
00007fff2021dad4 (__TEXT,__text) external _fputc
00007fff201f475a (__TEXT,__text) external _fputrune
00007fff8063ce20 (__DATA,__bss) non-external _fputrune.warn_depreciated
00007fff2021db3b (__TEXT,__text) external _fputs
00007fff2021dc7d (__TEXT,__text) external _fputwc
00007fff2021dce3 (__TEXT,__text) external _fputwc_l
00007fff2021dea9 (__TEXT,__text) external _fputws
00007fff2021dd58 (__TEXT,__text) external _fputws_l
00007fff2021e066 (__TEXT,__text) external _fread
                 (undefined) external _free (from libsystem_malloc)
00007fff201f18b6 (__TEXT,__text) external _free_printf_comp
00007fff201f1c44 (__TEXT,__text) external _free_printf_domain
                 (undefined) external _freeifaddrs (from libsystem_info)
00007fff201ee876 (__TEXT,__text) external _freelocale
00007fff2021e2b9 (__TEXT,__text) external _freopen
00007fff2021e5f1 (__TEXT,__text) external _fscanf
00007fff2021e6de (__TEXT,__text) external _fscanf_l
                 (undefined) external _fsctl (from libsystem_kernel)
00007fff2021e7d8 (__TEXT,__text) external _fseek
00007fff2021ecbb (__TEXT,__text) external _fseeko
00007fff2021ed26 (__TEXT,__text) external _fsetpos
                 (undefined) external _fstat (from libsystem_kernel)
                 (undefined) external _fstat$INODE64 (from libsystem_kernel)
                 (undefined) external _fstatat (from libsystem_kernel)
                 (undefined) external _fstatat$INODE64 (from libsystem_kernel)
                 (undefined) external _fstatfs (from libsystem_kernel)
                 (undefined) external _fstatfs$INODE64 (from libsystem_kernel)
00007fff201e557c (__TEXT,__text) external _fstatvfs
00007fff201f4519 (__TEXT,__text) external _fstatx64_np
00007fff20260cda (__TEXT,__text) external _fstatx_np
00007fff201f4483 (__TEXT,__text) external _fstatx_np$INODE64
00007fff201f44bc (__TEXT,__text) non-external _fstatx_syscall
00007fff20260d13 (__TEXT,__text) non-external _fstatx_syscall
00007fff8063a780 (__DATA,__data) non-external _fstypenames
                 (undefined) external _fsync$NOCANCEL (from libsystem_kernel)
00007fff201f504f (__TEXT,__text) external _fsync_volume_np
00007fff2021ed35 (__TEXT,__text) external _ftell
00007fff2021ed3f (__TEXT,__text) external _ftello
00007fff20233d5e (__TEXT,__text) external _ftime
00007fff20208d14 (__TEXT,__text) external _ftok
                 (undefined) external _ftruncate (from libsystem_kernel)
00007fff2021c280 (__TEXT,__text) external _ftrylockfile
00007fff201e9343 (__TEXT,__text) non-external _fts_alloc
00007fff20260253 (__TEXT,__text) non-external _fts_alloc
00007fff201e84b5 (__TEXT,__text) non-external _fts_build
00007fff2025f3f9 (__TEXT,__text) non-external _fts_build
00007fff20261709 (__TEXT,__text) non-external _fts_build.cold.1
00007fff20263ac6 (__TEXT,__text) non-external _fts_build.cold.1
00007fff2026171e (__TEXT,__text) non-external _fts_build.cold.2
00007fff20263adb (__TEXT,__text) non-external _fts_build.cold.2
00007fff20261733 (__TEXT,__text) non-external _fts_build.cold.3
00007fff20263af0 (__TEXT,__text) non-external _fts_build.cold.3
00007fff20261748 (__TEXT,__text) non-external _fts_build.cold.4
00007fff20263b05 (__TEXT,__text) non-external _fts_build.cold.4
00007fff2026175d (__TEXT,__text) non-external _fts_build.cold.5
00007fff20263b1a (__TEXT,__text) non-external _fts_build.cold.5
00007fff20261772 (__TEXT,__text) non-external _fts_build.cold.6
00007fff20263b2f (__TEXT,__text) non-external _fts_build.cold.6
00007fff202600c3 (__TEXT,__text) external _fts_children
00007fff201e91b3 (__TEXT,__text) external _fts_children$INODE64
00007fff2025ecf2 (__TEXT,__text) external _fts_close
00007fff201e7dae (__TEXT,__text) external _fts_close$INODE64
00007fff2025e990 (__TEXT,__text) external _fts_open
00007fff201e7a4c (__TEXT,__text) external _fts_open$INODE64
00007fff2025ec63 (__TEXT,__text) external _fts_open_b
00007fff201e7d1f (__TEXT,__text) external _fts_open_b$INODE64
00007fff201e92d7 (__TEXT,__text) non-external _fts_palloc
00007fff202601e7 (__TEXT,__text) non-external _fts_palloc
00007fff2025edfd (__TEXT,__text) external _fts_read
00007fff201e7eb9 (__TEXT,__text) external _fts_read$INODE64
00007fff201e836e (__TEXT,__text) non-external _fts_safe_changedir
00007fff2025f2b2 (__TEXT,__text) non-external _fts_safe_changedir
00007fff202600a0 (__TEXT,__text) external _fts_set
00007fff201e9190 (__TEXT,__text) external _fts_set$INODE64
00007fff201e93d4 (__TEXT,__text) non-external _fts_sort
00007fff202602e4 (__TEXT,__text) non-external _fts_sort
00007fff201e950e (__TEXT,__text) non-external _fts_stat2
00007fff2026041e (__TEXT,__text) non-external _fts_stat2
00007fff20260690 (__TEXT,__text) external _ftw
00007fff201ea7dc (__TEXT,__text) external _ftw$INODE64
00007fff201f46cd (__TEXT,__text) external _fungetrune
00007fff8063ce1c (__DATA,__bss) non-external _fungetrune.warn_depreciated
00007fff2021c2b2 (__TEXT,__text) external _funlockfile
00007fff2021ee9e (__TEXT,__text) external _funopen
00007fff2021f2e4 (__TEXT,__text) external _fwide
00007fff2021f33b (__TEXT,__text) external _fwprintf
00007fff2021f3f9 (__TEXT,__text) external _fwprintf_l
00007fff2021f48f (__TEXT,__text) external _fwrite
00007fff2021f561 (__TEXT,__text) external _fwscanf
00007fff2021f61f (__TEXT,__text) external _fwscanf_l
00007fff201f1625 (__TEXT,__text) external _fxprintf
00007fff201f20ac (__TEXT,__text) external _fxprintf_exec
00007fff8063a490 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
00007fff20244eea (__TEXT,__text) external _gcvt
00007fff20201ca3 (__TEXT,__text) non-external _gdtoa_freelist_free
00007fff80606510 (__DATA_DIRTY,__bss) non-external _gdtoa_tsd_key
00007fff80605ee0 (__DATA_DIRTY,__data) non-external _gdtoa_tsd_lock
00007fff201ebd47 (__TEXT,__text) non-external _get_asl
00007fff8063c830 (__DATA,__bss) non-external _get_asl.utx
00007fff8063cdf4 (__DATA,__bss) non-external _get_clock.adjustment
00007fff8063ce08 (__DATA,__bss) non-external _get_clock.clock_seq
00007fff8063cdf8 (__DATA,__bss) non-external _get_clock.last
00007fff201ec07b (__TEXT,__text) non-external _get_file
00007fff8063cab0 (__DATA,__bss) non-external _get_file.ux
00007fff20207554 (__TEXT,__text) non-external _get_next_format
00007fff20207699 (__TEXT,__text) non-external _get_next_format_from_precision
00007fff20207640 (__TEXT,__text) non-external _get_next_format_from_width
00007fff202468ed (__TEXT,__text) non-external _getargs
00007fff2024743f (__TEXT,__text) non-external _getargs
00007fff20247fef (__TEXT,__text) non-external _getargs
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00007fff2021a83a (__TEXT,__text) non-external _getbits
00007fff20265d6c (__TEXT,__const) non-external _getbits.digits
00007fff20208d5d (__TEXT,__text) external _getbsize
00007fff8063ce80 (__DATA,__bss) non-external _getbsize.header
00007fff2021f6b5 (__TEXT,__text) external _getc
00007fff2021f6fc (__TEXT,__text) external _getc_unlocked
00007fff2021f722 (__TEXT,__text) external _getchar
00007fff2021f76d (__TEXT,__text) external _getchar_unlocked
00007fff2020a85e (__TEXT,__text) external _getcwd
00007fff201f0f90 (__TEXT,__text) external _getdate
00007fff8063cda0 (__DATA,__bss) non-external _getdate.tm
00007fff8063d398 (__DATA,__common) external _getdate_err
00007fff2021f79d (__TEXT,__text) external _getdelim
                 (undefined) external _getdirentries (from libsystem_kernel)
00007fff201e6eb4 (__TEXT,__text) external _getdiskbyname
00007fff8063c730 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00007fff20209057 (__TEXT,__text) non-external _getent
00007fff2023e12b (__TEXT,__text) external _getenv
                 (undefined) external _geteuid (from libsystem_kernel)
                 (undefined) external _getfsstat (from libsystem_kernel)
                 (undefined) external _getfsstat$INODE64 (from libsystem_kernel)
                 (undefined) external _getfsstat64 (from libsystem_kernel)
                 (undefined) external _getgrgid (from libsystem_info)
                 (undefined) external _getgrnam (from libsystem_info)
                 (undefined) external _getgroupcount (from libsystem_info)
                 (undefined) external _getgrouplist (from libsystem_info)
00007fff2025cb10 (__TEXT,__text) external _getgroups$DARWIN_EXTSN
00007fff201f5283 (__TEXT,__text) external _gethostid
00007fff2020a870 (__TEXT,__text) external _gethostname
                 (undefined) external _getifaddrs (from libsystem_info)
00007fff2021b434 (__TEXT,__text) external _getipv4sourcefilter
00007fff2026304f (__TEXT,__text) non-external _getipv4sourcefilter.cold.1
00007fff20263072 (__TEXT,__text) non-external _getipv4sourcefilter.cold.2
00007fff20263095 (__TEXT,__text) non-external _getipv4sourcefilter.cold.3
00007fff201eb1c8 (__TEXT,__text) external _getlastlogx
00007fff201eb294 (__TEXT,__text) external _getlastlogxbyname
00007fff2021fa48 (__TEXT,__text) external _getline
00007fff201e994a (__TEXT,__text) external _getloadavg
00007fff2020a984 (__TEXT,__text) external _getlogin
00007fff2020a9be (__TEXT,__text) non-external _getlogin_basic
00007fff2020aa38 (__TEXT,__text) external _getlogin_r
00007fff2025cc8b (__TEXT,__text) external _getmntinfo
00007fff2020aaa4 (__TEXT,__text) external _getmntinfo$INODE64
00007fff8063cec8 (__DATA,__bss) non-external _getmntinfo$INODE64.vars
00007fff8063d370 (__DATA,__bss) non-external _getmntinfo.vars
00007fff20248c8b (__TEXT,__text) external _getmntinfo64
00007fff8063d338 (__DATA,__bss) non-external _getmntinfo64.bufsize
00007fff8063d328 (__DATA,__bss) non-external _getmntinfo64.mntbuf
00007fff8063d330 (__DATA,__bss) non-external _getmntinfo64.mntsize
00007fff2020aaca (__TEXT,__text) non-external _getmntinfo_internal
00007fff2025ccb1 (__TEXT,__text) non-external _getmntinfo_internal
00007fff2025cd79 (__TEXT,__text) external _getmntinfo_r_np
00007fff2020ab92 (__TEXT,__text) external _getmntinfo_r_np$INODE64
00007fff2020dddc (__TEXT,__text) external _getmode
00007fff20236438 (__TEXT,__text) non-external _getoffset
00007fff2023e178 (__TEXT,__text) external _getopt
00007fff8063a520 (__DATA,__data) non-external _getopt.place
00007fff2023e3c9 (__TEXT,__text) non-external _getopt_internal
00007fff2023e3b9 (__TEXT,__text) external _getopt_long
00007fff2023e978 (__TEXT,__text) external _getopt_long_only
00007fff2020abea (__TEXT,__text) external _getpagesize
00007fff80606508 (__DATA_DIRTY,__bss) non-external _getpagesize.value
00007fff2020da2e (__TEXT,__text) external _getpass
00007fff8063cf60 (__DATA,__bss) non-external _getpass.buf
00007fff2020ac63 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00007fff2020acc1 (__TEXT,__text) external _getprogname
                 (undefined) external _getpwnam (from libsystem_info)
                 (undefined) external _getpwuid (from libsystem_info)
                 (undefined) external _getpwuid_r (from libsystem_info)
                 (undefined) external _getrlimit (from libsystem_kernel)
00007fff2023647a (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
00007fff2021fa5a (__TEXT,__text) external _gets
00007fff20265d80 (__TEXT,__const) non-external _gets.w
00007fff8063d1f0 (__DATA,__bss) non-external _gets.warned
00007fff20236846 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsectiondata (from libmacho)
                 (undefined) external _getsockopt (from libsystem_kernel)
00007fff2021b637 (__TEXT,__text) external _getsourcefilter
00007fff2023eda9 (__TEXT,__text) external _getsubopt
00007fff201f3b74 (__TEXT,__text) external _gettimeofday
00007fff8063ce10 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
00007fff8063ce14 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
00007fff8063ce0c (__DATA,__bss) non-external _gettimeofday.validtz
00007fff201e9b51 (__TEXT,__text) external _getttyent
00007fff8063c780 (__DATA,__bss) non-external _getttyent.line
00007fff86f935f8 (__DATA_CONST,__const) non-external _getttyent.nonexistent
00007fff8063c740 (__DATA,__bss) non-external _getttyent.tty
00007fff201e9a01 (__TEXT,__text) external _getttynam
00007fff201e74b8 (__TEXT,__text) non-external _gettype
                 (undefined) external _getuid (from libsystem_kernel)
00007fff201ea256 (__TEXT,__text) external _getusershell
00007fff2024df72 (__TEXT,__text) external _getutmp
00007fff2024dfbf (__TEXT,__text) external _getutmpx
00007fff2024d7bf (__TEXT,__text) external _getutxent
00007fff201ebb6f (__TEXT,__text) external _getutxent_wtmp
00007fff2024d915 (__TEXT,__text) external _getutxid
00007fff2024d9eb (__TEXT,__text) external _getutxline
00007fff20265d61 (__TEXT,__const) non-external _getv4.digits
00007fff201ea4a3 (__TEXT,__text) external _getvfsbyname
00007fff2021fb0f (__TEXT,__text) external _getw
00007fff2021fb44 (__TEXT,__text) external _getwc
00007fff2021fb6c (__TEXT,__text) external _getwc_l
00007fff2021fb76 (__TEXT,__text) external _getwchar
00007fff2021fba8 (__TEXT,__text) external _getwchar_l
00007fff201f52ee (__TEXT,__text) external _getwd
00007fff202363be (__TEXT,__text) non-external _getzname
00007fff2025cde0 (__TEXT,__text) external _glob
00007fff2020acd0 (__TEXT,__text) external _glob$INODE64
00007fff2020b8ce (__TEXT,__text) non-external _glob0
00007fff2025d164 (__TEXT,__text) non-external _glob0
00007fff2020bdd9 (__TEXT,__text) non-external _glob2
00007fff2025d6e6 (__TEXT,__text) non-external _glob2
00007fff2025d144 (__TEXT,__text) external _glob_b
00007fff2020b009 (__TEXT,__text) external _glob_b$INODE64
00007fff2020bb0b (__TEXT,__text) non-external _globexp1
00007fff2025d404 (__TEXT,__text) non-external _globexp1
00007fff2020bd64 (__TEXT,__text) non-external _globfinal
00007fff2025d671 (__TEXT,__text) non-external _globfinal
00007fff2020b856 (__TEXT,__text) external _globfree
00007fff20266024 (__TEXT,__const) non-external _gmt
00007fff20236946 (__TEXT,__text) non-external _gmt_init
00007fff8063a5b8 (__DATA,__data) non-external _gmt_notify
00007fff8063ab30 (__DATA,__data) non-external _gmt_once
00007fff20235d2d (__TEXT,__text) external _gmtime
00007fff8063d248 (__DATA,__bss) non-external _gmtime_key
00007fff8063d244 (__DATA,__bss) non-external _gmtime_key_error
00007fff20235dbe (__TEXT,__text) non-external _gmtime_key_init
00007fff8063ab18 (__DATA,__data) non-external _gmtime_once
00007fff20235de2 (__TEXT,__text) external _gmtime_r
00007fff2023541f (__TEXT,__text) non-external _gmtload
00007fff8063a5a8 (__DATA,__data) non-external _gmtptr
00007fff20235652 (__TEXT,__text) non-external _gmtsub
00007fff202661b0 (__TEXT,__const) non-external _gnuoptchar
00007fff8063cea8 (__DATA,__bss) non-external _gottoprec
00007fff20244b0d (__TEXT,__text) external _grantpt
00007fff202294ec (__TEXT,__text) non-external _grouping_init
00007fff2022fcfc (__TEXT,__text) non-external _grouping_init
00007fff20229696 (__TEXT,__text) non-external _grouping_print
00007fff2022ff55 (__TEXT,__text) non-external _grouping_print
