00000000000381d0 (__DATA,__data) external _NDR_record
000000000002ac78 (__TEXT,__text) external _net_qos_guideline
000000000002aca0 (__TEXT,__text) external _netagent_trigger
00000000000210f8 (__TEXT,__text) external _netname_check_in
0000000000021444 (__TEXT,__text) external _netname_check_out
000000000002125c (__TEXT,__text) external _netname_look_up
00000000000215a4 (__TEXT,__text) external _netname_version
000000000002acc8 (__TEXT,__text) external _nfsclnt
000000000002acf0 (__TEXT,__text) external _nfssvc
00000000000381f0 (__DATA,__data) external _non_boost_assertion_token
00000000000381e8 (__DATA,__data) external _normal_boost_assertion_token
000000000002ad18 (__TEXT,__text) external _ntp_adjtime
000000000002ad40 (__TEXT,__text) external _ntp_gettime
000000000000ba00 (__TEXT,__text) external _open
000000000000fa9c (__TEXT,__text) external _open$NOCANCEL
0000000000006778 (__TEXT,__text) external _open_dprotected_np
00000000000149ec (__TEXT,__text) external _openat
000000000000fb5c (__TEXT,__text) external _openat$NOCANCEL
000000000002ad68 (__TEXT,__text) external _openbyid_np
000000000000df88 (__TEXT,__text) external _os_buflet_get_data_address
000000000000df58 (__TEXT,__text) external _os_buflet_get_data_length
000000000000df90 (__TEXT,__text) external _os_buflet_get_data_limit
000000000000df50 (__TEXT,__text) external _os_buflet_get_data_offset
000000000000df78 (__TEXT,__text) external _os_buflet_get_object_address
000000000000df80 (__TEXT,__text) external _os_buflet_get_object_limit
000000000000df6c (__TEXT,__text) external _os_buflet_set_data_length
000000000000df60 (__TEXT,__text) external _os_buflet_set_data_offset
0000000000011b60 (__TEXT,__text) external _os_channel_advance_slot
00000000000123bc (__TEXT,__text) external _os_channel_attr_clone
0000000000012384 (__TEXT,__text) external _os_channel_attr_create
00000000000124f8 (__TEXT,__text) external _os_channel_attr_destroy
0000000000012618 (__TEXT,__text) external _os_channel_attr_get
0000000000012730 (__TEXT,__text) external _os_channel_attr_get_key
0000000000012528 (__TEXT,__text) external _os_channel_attr_set
000000000001242c (__TEXT,__text) external _os_channel_attr_set_key
0000000000011b08 (__TEXT,__text) external _os_channel_available_slot_count
00000000000135e4 (__TEXT,__text) external _os_channel_buflet_alloc
000000000002c1b4 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.1
000000000002c1dc (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.2
000000000002c204 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.3
000000000002c224 (__TEXT,__text) non-external _os_channel_buflet_alloc.cold.4
000000000001377c (__TEXT,__text) external _os_channel_buflet_free
000000000002c24c (__TEXT,__text) non-external _os_channel_buflet_free.cold.1
000000000002c274 (__TEXT,__text) non-external _os_channel_buflet_free.cold.2
000000000002c294 (__TEXT,__text) non-external _os_channel_buflet_free.cold.3
00000000000135b4 (__TEXT,__text) external _os_channel_configure_interface_advisory
000000000001180c (__TEXT,__text) external _os_channel_create
0000000000011134 (__TEXT,__text) external _os_channel_create_extended
000000000002b97c (__TEXT,__text) non-external _os_channel_create_extended.cold.1
000000000002b9a4 (__TEXT,__text) non-external _os_channel_create_extended.cold.2
000000000002b9cc (__TEXT,__text) non-external _os_channel_create_extended.cold.3
000000000002b9f4 (__TEXT,__text) non-external _os_channel_create_extended.cold.4
000000000002ba1c (__TEXT,__text) non-external _os_channel_create_extended.cold.5
000000000001198c (__TEXT,__text) external _os_channel_destroy
000000000001353c (__TEXT,__text) external _os_channel_event_free
0000000000015a4c (__TEXT,__text) external _os_channel_event_get_event_data
0000000000015980 (__TEXT,__text) external _os_channel_event_get_next_event
000000000001218c (__TEXT,__text) external _os_channel_flow_admissible
0000000000012168 (__TEXT,__text) external _os_channel_get_advisory_region
000000000001181c (__TEXT,__text) external _os_channel_get_fd
0000000000013540 (__TEXT,__text) external _os_channel_get_interface_advisory
00000000000131f4 (__TEXT,__text) external _os_channel_get_next_event_handle
000000000002c124 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.1
000000000002c130 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.2
000000000002c13c (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.3
000000000002c148 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.4
000000000002c154 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.5
000000000002c160 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.6
000000000002c16c (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.7
000000000002c194 (__TEXT,__text) non-external _os_channel_get_next_event_handle.cold.8
0000000000011bec (__TEXT,__text) external _os_channel_get_next_slot
000000000002bb44 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.1
000000000002bbfc (__TEXT,__text) non-external _os_channel_get_next_slot.cold.10
000000000002bb50 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.2
000000000002bb5c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.3
000000000002bb68 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.4
000000000002bb74 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.5
000000000002bb80 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.6
000000000002bb8c (__TEXT,__text) non-external _os_channel_get_next_slot.cold.7
000000000002bbb4 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.8
000000000002bbd4 (__TEXT,__text) non-external _os_channel_get_next_slot.cold.9
0000000000012100 (__TEXT,__text) external _os_channel_get_stats_region
000000000001164c (__TEXT,__text) non-external _os_channel_info2attr
0000000000011754 (__TEXT,__text) non-external _os_channel_init_ring
000000000002bad4 (__TEXT,__text) non-external _os_channel_init_ring.cold.1
000000000002baf4 (__TEXT,__text) non-external _os_channel_init_ring.cold.2
000000000002bb1c (__TEXT,__text) non-external _os_channel_init_ring.cold.3
00000000000119d0 (__TEXT,__text) external _os_channel_is_defunct
00000000000127a8 (__TEXT,__text) external _os_channel_packet_alloc
000000000002bd0c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.1
000000000002bd18 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.2
000000000002bd24 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.3
000000000002bd30 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.4
000000000002bd3c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.5
000000000002bd48 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.6
000000000002bd54 (__TEXT,__text) non-external _os_channel_packet_alloc.cold.7
000000000002bd7c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.8
000000000002bd9c (__TEXT,__text) non-external _os_channel_packet_alloc.cold.9
0000000000012acc (__TEXT,__text) external _os_channel_packet_free
000000000002bdc4 (__TEXT,__text) non-external _os_channel_packet_free.cold.1
000000000002bdec (__TEXT,__text) non-external _os_channel_packet_free.cold.2
000000000002be0c (__TEXT,__text) non-external _os_channel_packet_free.cold.3
0000000000012e68 (__TEXT,__text) external _os_channel_packet_pool_purge
000000000002bf5c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.1
000000000002c0b4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.10
000000000002c0d4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.11
000000000002c0fc (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.12
000000000002bf7c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.2
000000000002bfa4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.3
000000000002bfcc (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.4
000000000002bff4 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.5
000000000002c01c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.6
000000000002c03c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.7
000000000002c064 (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.8
000000000002c08c (__TEXT,__text) non-external _os_channel_packet_pool_purge.cold.9
0000000000011ad8 (__TEXT,__text) external _os_channel_pending
0000000000011824 (__TEXT,__text) external _os_channel_read_attr
000000000001193c (__TEXT,__text) external _os_channel_read_nexus_extension_info
00000000000119e4 (__TEXT,__text) external _os_channel_ring_id
0000000000011afc (__TEXT,__text) external _os_channel_ring_notify_time
0000000000011af0 (__TEXT,__text) external _os_channel_ring_sync_time
0000000000011a7c (__TEXT,__text) external _os_channel_rx_ring
0000000000011ee4 (__TEXT,__text) external _os_channel_set_slot_properties
000000000002bc24 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.1
000000000002bc44 (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.2
000000000002bc6c (__TEXT,__text) non-external _os_channel_set_slot_properties.cold.3
0000000000012c08 (__TEXT,__text) external _os_channel_slot_attach_packet
000000000002be34 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.1
000000000002be54 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.2
000000000002be7c (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.3
000000000002bea4 (__TEXT,__text) non-external _os_channel_slot_attach_packet.cold.4
0000000000012d28 (__TEXT,__text) external _os_channel_slot_detach_packet
000000000002becc (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.1
000000000002bef4 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.2
000000000002bf14 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.3
000000000002bf34 (__TEXT,__text) non-external _os_channel_slot_detach_packet.cold.4
0000000000011fe0 (__TEXT,__text) external _os_channel_slot_get_packet
000000000002bc94 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.1
000000000002bcbc (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.2
000000000002bce4 (__TEXT,__text) non-external _os_channel_slot_get_packet.cold.3
0000000000011960 (__TEXT,__text) external _os_channel_sync
0000000000011a34 (__TEXT,__text) external _os_channel_tx_ring
0000000000011874 (__TEXT,__text) external _os_channel_write_attr
000000000000df20 (__TEXT,__text) external _os_copy_and_inet_checksum
0000000000014f20 (__TEXT,__text) external _os_cpu_copy_in_cksum
0000000000015170 (__TEXT,__text) external _os_cpu_in_cksum
000000000000e040 (__TEXT,__text) external _os_cpu_in_cksum_mbuf
000000000002ad90 (__TEXT,__text) external _os_fault_with_payload
000000000000df1c (__TEXT,__text) external _os_inet_checksum
0000000000013ecc (__TEXT,__text) external _os_nexus_attr_clone
0000000000013e94 (__TEXT,__text) external _os_nexus_attr_create
0000000000014188 (__TEXT,__text) external _os_nexus_attr_destroy
0000000000014064 (__TEXT,__text) external _os_nexus_attr_get
0000000000013f0c (__TEXT,__text) external _os_nexus_attr_set
0000000000014498 (__TEXT,__text) external _os_nexus_controller_alloc_provider_instance
00000000000144b8 (__TEXT,__text) external _os_nexus_controller_bind_provider_instance
000000000001418c (__TEXT,__text) external _os_nexus_controller_create
000000000001448c (__TEXT,__text) external _os_nexus_controller_deregister_provider
0000000000014724 (__TEXT,__text) external _os_nexus_controller_destroy
00000000000144ac (__TEXT,__text) external _os_nexus_controller_free_provider_instance
0000000000014220 (__TEXT,__text) external _os_nexus_controller_get_fd
0000000000014614 (__TEXT,__text) external _os_nexus_controller_read_provider_attr
0000000000014228 (__TEXT,__text) external _os_nexus_controller_register_provider
00000000000145a8 (__TEXT,__text) external _os_nexus_controller_unbind_provider_instance
000000000000de1c (__TEXT,__text) external _os_packet_add_buflet
000000000000d6e8 (__TEXT,__text) external _os_packet_clear_flow_uuid
000000000000decc (__TEXT,__text) external _os_packet_decrement_use_count
000000000000dc58 (__TEXT,__text) external _os_packet_finalize
000000000002b670 (__TEXT,__text) non-external _os_packet_finalize.cold.1
000000000000def4 (__TEXT,__text) external _os_packet_get_aggregation_type
000000000000db7c (__TEXT,__text) external _os_packet_get_buflet_count
000000000000d424 (__TEXT,__text) external _os_packet_get_compression_generation_count
000000000000db70 (__TEXT,__text) external _os_packet_get_data_length
000000000000d7ac (__TEXT,__text) external _os_packet_get_expire_time
000000000000d638 (__TEXT,__text) external _os_packet_get_flow_uuid
000000000000d780 (__TEXT,__text) external _os_packet_get_group_end
000000000000d724 (__TEXT,__text) external _os_packet_get_group_start
000000000000cf18 (__TEXT,__text) external _os_packet_get_headroom
000000000002b5cc (__TEXT,__text) non-external _os_packet_get_headroom.cold.1
000000000000d5f8 (__TEXT,__text) external _os_packet_get_inet_checksum
000000000000cfdc (__TEXT,__text) external _os_packet_get_link_broadcast
000000000002b5e4 (__TEXT,__text) non-external _os_packet_get_link_broadcast.cold.1
000000000000d09c (__TEXT,__text) external _os_packet_get_link_ethfcs
000000000002b614 (__TEXT,__text) non-external _os_packet_get_link_ethfcs.cold.1
000000000000cf80 (__TEXT,__text) external _os_packet_get_link_header_length
000000000000d03c (__TEXT,__text) external _os_packet_get_link_multicast
000000000002b5fc (__TEXT,__text) non-external _os_packet_get_link_multicast.cold.1
000000000000dbb4 (__TEXT,__text) external _os_packet_get_next_buflet
000000000002b664 (__TEXT,__text) non-external _os_packet_get_next_buflet.cold.1
000000000000d990 (__TEXT,__text) external _os_packet_get_packetid
000000000000dc30 (__TEXT,__text) external _os_packet_get_segment_count
000000000000d314 (__TEXT,__text) external _os_packet_get_service_class
000000000000d844 (__TEXT,__text) external _os_packet_get_token
000000000002b620 (__TEXT,__text) non-external _os_packet_get_token.cold.1
000000000000d4e0 (__TEXT,__text) external _os_packet_get_traffic_class
000000000000d1bc (__TEXT,__text) external _os_packet_get_transport_retransmit
000000000000d0fc (__TEXT,__text) external _os_packet_get_transport_traffic_background
000000000000d15c (__TEXT,__text) external _os_packet_get_transport_traffic_realtime
000000000000db44 (__TEXT,__text) external _os_packet_get_truncated
000000000002b658 (__TEXT,__text) non-external _os_packet_get_truncated.cold.1
000000000000db34 (__TEXT,__text) external _os_packet_get_vlan_id
000000000000db3c (__TEXT,__text) external _os_packet_get_vlan_priority
000000000000dae4 (__TEXT,__text) external _os_packet_get_vlan_tag
000000000002b64c (__TEXT,__text) non-external _os_packet_get_vlan_tag.cold.1
000000000000dea0 (__TEXT,__text) external _os_packet_increment_use_count
000000000000dfc0 (__TEXT,__text) external _os_packet_is_traced
000000000000d3f8 (__TEXT,__text) external _os_packet_set_compression_generation_count
000000000000d7f8 (__TEXT,__text) external _os_packet_set_expire_time
000000000000d68c (__TEXT,__text) external _os_packet_set_flow_uuid
000000000000d750 (__TEXT,__text) external _os_packet_set_group_end
000000000000d6f4 (__TEXT,__text) external _os_packet_set_group_start
000000000000ced8 (__TEXT,__text) external _os_packet_set_headroom
000000000002b5c0 (__TEXT,__text) non-external _os_packet_set_headroom.cold.1
000000000000d5c4 (__TEXT,__text) external _os_packet_set_inet_checksum
000000000000cfa8 (__TEXT,__text) external _os_packet_set_link_broadcast
000000000002b5d8 (__TEXT,__text) non-external _os_packet_set_link_broadcast.cold.1
000000000000d068 (__TEXT,__text) external _os_packet_set_link_ethfcs
000000000002b608 (__TEXT,__text) non-external _os_packet_set_link_ethfcs.cold.1
000000000000cf40 (__TEXT,__text) external _os_packet_set_link_header_length
000000000000d008 (__TEXT,__text) external _os_packet_set_link_multicast
000000000002b5f0 (__TEXT,__text) non-external _os_packet_set_link_multicast.cold.1
000000000000da14 (__TEXT,__text) external _os_packet_set_packetid
000000000000d21c (__TEXT,__text) external _os_packet_set_service_class
000000000000d8e8 (__TEXT,__text) external _os_packet_set_token
000000000000d44c (__TEXT,__text) external _os_packet_set_traffic_class
000000000000d1e8 (__TEXT,__text) external _os_packet_set_transport_last_packet
000000000000d188 (__TEXT,__text) external _os_packet_set_transport_retransmit
000000000000d0c8 (__TEXT,__text) external _os_packet_set_transport_traffic_background
000000000000d128 (__TEXT,__text) external _os_packet_set_transport_traffic_realtime
000000000000da9c (__TEXT,__text) external _os_packet_set_vlan_tag
000000000002b640 (__TEXT,__text) non-external _os_packet_set_vlan_tag.cold.1
000000000000dfac (__TEXT,__text) external _os_packet_trace_end
000000000000dfd0 (__TEXT,__text) external _os_packet_trace_event
000000000000df98 (__TEXT,__text) external _os_packet_trace_start
000000000000ef08 (__TEXT,__text) external _os_proc_available_memory
000000000000e920 (__TEXT,__text) external _panic
000000000000e914 (__TEXT,__text) external _panic_init
0000000000008960 (__TEXT,__text) external _pathconf
000000000002adb8 (__TEXT,__text) external _peeloff
00000000000014bc (__TEXT,__text) external _pid_for_task
000000000002ade0 (__TEXT,__text) external _pid_hibernate
000000000002ae08 (__TEXT,__text) external _pid_resume
0000000000013a10 (__TEXT,__text) external _pid_shutdown_networking
000000000002ae30 (__TEXT,__text) external _pid_shutdown_sockets
000000000002ae58 (__TEXT,__text) external _pid_suspend
00000000000071a8 (__TEXT,__text) external _pipe
000000000002ae80 (__TEXT,__text) external _pivot_root
000000000000ce88 (__TEXT,__text) external _pkt_subtype_assert_fail
000000000000ceb0 (__TEXT,__text) external _pkt_type_assert_fail
0000000000008f3c (__TEXT,__text) external _poll
0000000000029c6c (__TEXT,__text) external _poll$NOCANCEL
000000000000cdec (__TEXT,__text) non-external _port_for_id_internal
000000000000e96c (__TEXT,__text) external _port_obj_init
0000000000038218 (__DATA,__common) external _port_obj_table
00000000000381d8 (__DATA,__data) external _port_obj_table_size
0000000000003ddc (__TEXT,__text) external _posix_madvise
0000000000007af4 (__TEXT,__text) external _posix_spawn
000000000000b810 (__TEXT,__text) non-external _posix_spawn_appendportaction_np
0000000000010498 (__TEXT,__text) external _posix_spawn_file_actions_add_fileportdup2_np
000000000001053c (__TEXT,__text) external _posix_spawn_file_actions_addchdir_np
000000000000c574 (__TEXT,__text) external _posix_spawn_file_actions_addclose
0000000000007668 (__TEXT,__text) external _posix_spawn_file_actions_adddup2
00000000000105e4 (__TEXT,__text) external _posix_spawn_file_actions_addfchdir_np
000000000000c4e8 (__TEXT,__text) external _posix_spawn_file_actions_addinherit_np
000000000000bcac (__TEXT,__text) external _posix_spawn_file_actions_addopen
0000000000007dfc (__TEXT,__text) external _posix_spawn_file_actions_destroy
000000000000760c (__TEXT,__text) external _posix_spawn_file_actions_init
0000000000007d20 (__TEXT,__text) external _posix_spawnattr_destroy
000000000001043c (__TEXT,__text) external _posix_spawnattr_disable_ptr_auth_a_keys_np
000000000001092c (__TEXT,__text) external _posix_spawnattr_get_darwin_role_np
00000000000108e8 (__TEXT,__text) external _posix_spawnattr_get_qos_clamp_np
00000000000101cc (__TEXT,__text) external _posix_spawnattr_getarchpref_np
0000000000010164 (__TEXT,__text) external _posix_spawnattr_getbinpref_np
0000000000010690 (__TEXT,__text) external _posix_spawnattr_getcpumonitor
00000000000100d4 (__TEXT,__text) external _posix_spawnattr_getflags
0000000000007894 (__TEXT,__text) external _posix_spawnattr_getmacpolicyinfo_np
0000000000010240 (__TEXT,__text) external _posix_spawnattr_getpcontrol_np
000000000001011c (__TEXT,__text) external _posix_spawnattr_getpgroup
0000000000010264 (__TEXT,__text) external _posix_spawnattr_getprocesstype_np
00000000000100f8 (__TEXT,__text) external _posix_spawnattr_getsigdefault
0000000000010140 (__TEXT,__text) external _posix_spawnattr_getsigmask
0000000000007790 (__TEXT,__text) external _posix_spawnattr_init
0000000000007908 (__TEXT,__text) non-external _posix_spawnattr_macpolicyinfo_lookup
0000000000010afc (__TEXT,__text) external _posix_spawnattr_set_csm_np
000000000001090c (__TEXT,__text) external _posix_spawnattr_set_darwin_role_np
0000000000010bc8 (__TEXT,__text) external _posix_spawnattr_set_gid_np
0000000000010c40 (__TEXT,__text) external _posix_spawnattr_set_groups_np
00000000000106dc (__TEXT,__text) external _posix_spawnattr_set_importancewatch_port_np
0000000000010da0 (__TEXT,__text) external _posix_spawnattr_set_jetsam_ttr_np
000000000002c4e0 (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_buckets_msecs
000000000002c4ec (__TEXT,__const) non-external _posix_spawnattr_set_jetsam_ttr_np.relaunch_jetsam_flags
0000000000010cfc (__TEXT,__text) external _posix_spawnattr_set_login_np
0000000000010ab8 (__TEXT,__text) external _posix_spawnattr_set_max_addr_np
0000000000010a08 (__TEXT,__text) external _posix_spawnattr_set_persona_gid_np
0000000000010a44 (__TEXT,__text) external _posix_spawnattr_set_persona_groups_np
0000000000010950 (__TEXT,__text) external _posix_spawnattr_set_persona_np
00000000000109d0 (__TEXT,__text) external _posix_spawnattr_set_persona_uid_np
000000000001041c (__TEXT,__text) external _posix_spawnattr_set_platform_np
00000000000107f0 (__TEXT,__text) external _posix_spawnattr_set_ptrauth_task_port_np
00000000000108b8 (__TEXT,__text) external _posix_spawnattr_set_qos_clamp_np
0000000000010768 (__TEXT,__text) external _posix_spawnattr_set_registered_ports_np
0000000000010390 (__TEXT,__text) external _posix_spawnattr_set_subsystem_root_path_np
00000000000106bc (__TEXT,__text) external _posix_spawnattr_set_threadlimit_ext
0000000000010b54 (__TEXT,__text) external _posix_spawnattr_set_uid_np
00000000000102a8 (__TEXT,__text) external _posix_spawnattr_setarchpref_np
000000000000b7dc (__TEXT,__text) external _posix_spawnattr_setauditsessionport_np
000000000000bd90 (__TEXT,__text) external _posix_spawnattr_setbinpref_np
0000000000010824 (__TEXT,__text) external _posix_spawnattr_setcoalition_np
0000000000010670 (__TEXT,__text) external _posix_spawnattr_setcpumonitor
000000000000bc50 (__TEXT,__text) external _posix_spawnattr_setcpumonitor_default
000000000000c600 (__TEXT,__text) external _posix_spawnattr_setexceptionports_np
0000000000007874 (__TEXT,__text) external _posix_spawnattr_setflags
0000000000008f64 (__TEXT,__text) external _posix_spawnattr_setjetsam_ext
000000000000796c (__TEXT,__text) external _posix_spawnattr_setmacpolicyinfo_np
0000000000010ad8 (__TEXT,__text) external _posix_spawnattr_setnosmt_np
0000000000010350 (__TEXT,__text) external _posix_spawnattr_setpcontrol_np
0000000000010288 (__TEXT,__text) external _posix_spawnattr_setpgroup
0000000000010370 (__TEXT,__text) external _posix_spawnattr_setprocesstype_np
0000000000007850 (__TEXT,__text) external _posix_spawnattr_setsigdefault
000000000000782c (__TEXT,__text) external _posix_spawnattr_setsigmask
000000000000bc78 (__TEXT,__text) external _posix_spawnattr_setspecialport_np
0000000000010464 (__TEXT,__text) external _posix_spawnattr_setsuidcredport_np
0000000000002c28 (__TEXT,__text) external _pread
0000000000029c94 (__TEXT,__text) external _pread$NOCANCEL
000000000002aea8 (__TEXT,__text) external _preadv
0000000000029cbc (__TEXT,__text) external _preadv$NOCANCEL
000000000000fd4c (__TEXT,__text) non-external _prepare_times_array_and_attrs
000000000000f5ac (__TEXT,__text) external _proc_clear_cpulimits
000000000000f70c (__TEXT,__text) external _proc_clear_delayidlesleep
000000000000f2c4 (__TEXT,__text) external _proc_clear_dirty
000000000000f634 (__TEXT,__text) external _proc_clear_vmpressure
000000000000a308 (__TEXT,__text) external _proc_denap_assertion_begin_with_msg
000000000000a3b4 (__TEXT,__text) external _proc_denap_assertion_complete
000000000000f754 (__TEXT,__text) external _proc_disable_apptype
000000000000b4fc (__TEXT,__text) external _proc_disable_cpumon
000000000000a04c (__TEXT,__text) external _proc_disable_wakemon
000000000000f5f4 (__TEXT,__text) external _proc_donate_importance_boost
000000000000f7b0 (__TEXT,__text) external _proc_enable_apptype
0000000000009fd8 (__TEXT,__text) external _proc_get_cpumon_params
000000000000f260 (__TEXT,__text) external _proc_get_dirty
000000000000f4c0 (__TEXT,__text) external _proc_get_wakemon_params
000000000000a310 (__TEXT,__text) external _proc_importance_assertion_begin_with_msg
000000000000a3b8 (__TEXT,__text) external _proc_importance_assertion_complete
000000000000f178 (__TEXT,__text) external _proc_kmsgbuf
000000000000f240 (__TEXT,__text) external _proc_libversion
000000000000f52c (__TEXT,__text) external _proc_list_dynkqueueids
000000000000f510 (__TEXT,__text) external _proc_list_uptrs
000000000000ef0c (__TEXT,__text) external _proc_listallpids
000000000000ef7c (__TEXT,__text) external _proc_listchildpids
000000000000efb4 (__TEXT,__text) external _proc_listcoalitions
000000000000ef44 (__TEXT,__text) external _proc_listpgrppids
000000000000a2bc (__TEXT,__text) external _proc_listpids
0000000000015258 (__TEXT,__text) external _proc_listpidspath
0000000000006d4c (__TEXT,__text) external _proc_name
000000000000843c (__TEXT,__text) external _proc_pid_rusage
000000000000f094 (__TEXT,__text) external _proc_piddynkqueueinfo
000000000000f02c (__TEXT,__text) external _proc_pidfdinfo
000000000000f060 (__TEXT,__text) external _proc_pidfileportinfo
00000000000026ec (__TEXT,__text) external _proc_pidinfo
0000000000008100 (__TEXT,__text) external _proc_pidoriginatorinfo
0000000000002e98 (__TEXT,__text) external _proc_pidpath
000000000000f1ac (__TEXT,__text) external _proc_pidpath_audittoken
000000000000f0e4 (__TEXT,__text) external _proc_regionfilename
000000000000f5a0 (__TEXT,__text) external _proc_reset_footprint_interval
000000000000f370 (__TEXT,__text) external _proc_resume_cpumon
0000000000008e20 (__TEXT,__text) external _proc_rlimit_control
00000000000083f4 (__TEXT,__text) external _proc_set_cpumon_defaults
0000000000008384 (__TEXT,__text) external _proc_set_cpumon_params
000000000000f390 (__TEXT,__text) external _proc_set_cpumon_params_fatal
000000000000f8ac (__TEXT,__text) external _proc_set_csm
000000000000f6c4 (__TEXT,__text) external _proc_set_delayidlesleep
0000000000004538 (__TEXT,__text) external _proc_set_dirty
000000000000f814 (__TEXT,__text) external _proc_set_no_smt
000000000000f67c (__TEXT,__text) external _proc_set_owner_vmpressure
000000000000a0cc (__TEXT,__text) external _proc_set_wakemon_defaults
000000000000f494 (__TEXT,__text) external _proc_set_wakemon_params
000000000000f548 (__TEXT,__text) external _proc_setcpu_percentage
00000000000036dc (__TEXT,__text) external _proc_setpcontrol
000000000000efe8 (__TEXT,__text) external _proc_setthread_cpupercent
000000000000f95c (__TEXT,__text) external _proc_setthread_csm
000000000000f860 (__TEXT,__text) external _proc_setthread_no_smt
000000000000f80c (__TEXT,__text) external _proc_suppress
000000000000f30c (__TEXT,__text) external _proc_terminate
000000000002aed0 (__TEXT,__text) external _proc_trace_log
00000000000044f0 (__TEXT,__text) external _proc_track_dirty
000000000000f0c8 (__TEXT,__text) external _proc_udata_info
000000000002aef8 (__TEXT,__text) external _proc_uuid_policy
0000000000020e80 (__TEXT,__text) external _processor_assign
0000000000020d2c (__TEXT,__text) external _processor_control
0000000000020a30 (__TEXT,__text) external _processor_exit
0000000000020fac (__TEXT,__text) external _processor_get_assignment
0000000000020b38 (__TEXT,__text) external _processor_info
000000000001a510 (__TEXT,__text) external _processor_set_create
000000000001a3c4 (__TEXT,__text) external _processor_set_default
000000000001fb94 (__TEXT,__text) external _processor_set_destroy
00000000000205b0 (__TEXT,__text) external _processor_set_info
000000000001fca0 (__TEXT,__text) external _processor_set_max_priority
00000000000202d8 (__TEXT,__text) external _processor_set_policy_control
000000000001fee0 (__TEXT,__text) external _processor_set_policy_disable
000000000001fdc0 (__TEXT,__text) external _processor_set_policy_enable
000000000002044c (__TEXT,__text) external _processor_set_stack_usage
000000000001f9d8 (__TEXT,__text) external _processor_set_statistics
0000000000020000 (__TEXT,__text) external _processor_set_tasks
00000000000207a8 (__TEXT,__text) external _processor_set_tasks_with_flavor
000000000002016c (__TEXT,__text) external _processor_set_threads
0000000000020928 (__TEXT,__text) external _processor_start
0000000000013c14 (__TEXT,__text) external _pselect
0000000000006e4c (__TEXT,__text) external _pselect$DARWIN_EXTSN
000000000000eb94 (__TEXT,__text) external _pselect$DARWIN_EXTSN$NOCANCEL
0000000000013d54 (__TEXT,__text) external _pselect$NOCANCEL
000000000000c688 (__TEXT,__text) non-external (was a private external) _pthread_current_stack_contains_np
0000000000002e20 (__TEXT,__text) external _pthread_getugid_np
00000000000099e8 (__TEXT,__text) external _pthread_setugid_np
0000000000009150 (__TEXT,__text) external _ptrace
00000000000047bc (__TEXT,__text) external _pwrite
0000000000029e24 (__TEXT,__text) external _pwrite$NOCANCEL
000000000002af20 (__TEXT,__text) external _pwritev
0000000000029e4c (__TEXT,__text) external _pwritev$NOCANCEL
