000000018243ec10 (__DATA,__data) non-external _C
00000001802fd1c0 (__TEXT,__text) non-external _get_next_format_from_width
                 (undefined) external _getattrlist (from libsystem_kernel)
                 (undefined) external _getattrlistbulk (from libsystem_kernel)
00000001802fe804 (__TEXT,__text) external _getbsize
0000000182440960 (__DATA,__bss) non-external _getbsize.header
00000001803124e0 (__TEXT,__text) external _getc
0000000180312544 (__TEXT,__text) external _getc_unlocked
0000000180312570 (__TEXT,__text) external _getchar
00000001803125dc (__TEXT,__text) external _getchar_unlocked
0000000180300078 (__TEXT,__text) external _getcwd
00000001802e82bc (__TEXT,__text) external _getdate
0000000182440840 (__DATA,__bss) non-external _getdate.tm
000000018244b5c0 (__DATA,__common) external _getdate_err
0000000180312614 (__TEXT,__text) external _getdelim
00000001802e098c (__TEXT,__text) external _getdiskbyname
0000000182440748 (__DATA,__bss) non-external _getdiskbyname.dp
                 (undefined) external _getdtablesize (from libsystem_kernel)
00000001802feb0c (__TEXT,__text) non-external _getent
000000018032ca3c (__TEXT,__text) external _getenv
                 (undefined) external _getfsstat (from libsystem_kernel)
00000001802eacd4 (__TEXT,__text) external _gethostid
0000000180300080 (__TEXT,__text) external _gethostname
00000001803128d0 (__TEXT,__text) external _getline
00000001802e30a8 (__TEXT,__text) external _getloadavg
0000000180300190 (__TEXT,__text) external _getmntinfo
00000001824409a8 (__DATA,__bss) non-external _getmntinfo.vars
00000001803001c8 (__TEXT,__text) non-external _getmntinfo_internal
0000000180300294 (__TEXT,__text) external _getmntinfo_r_np
0000000180301874 (__TEXT,__text) external _getmode
0000000180324b2c (__TEXT,__text) non-external _getoffset
000000018032ca9c (__TEXT,__text) external _getopt
000000018243f880 (__DATA,__data) non-external _getopt.place
000000018032cd24 (__TEXT,__text) non-external _getopt_internal
0000000180347dd8 (__TEXT,__text) non-external _getopt_internal.cold.1
000000018243f888 (__DATA,__data) non-external _getopt_internal.posixly_correct
000000018032cd1c (__TEXT,__text) external _getopt_long
000000018032d330 (__TEXT,__text) external _getopt_long_only
00000001803002fc (__TEXT,__text) external _getpagesize
00000001824409c0 (__DATA,__bss) non-external _getpagesize.value
0000000180300370 (__TEXT,__text) external _getpeereid
                 (undefined) external _getpgrp (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getpriority (from libsystem_kernel)
00000001803003ec (__TEXT,__text) external _getprogname
                 (undefined) external _getrlimit (from libsystem_kernel)
0000000180324b9c (__TEXT,__text) non-external _getrule
                 (undefined) external _getrusage (from libsystem_kernel)
00000001803128dc (__TEXT,__text) external _gets
0000000180349770 (__TEXT,__const) non-external _gets.w
0000000182442438 (__DATA,__bss) non-external _gets.warned
0000000180324fd8 (__TEXT,__text) non-external _getsecs
                 (undefined) external _getsockopt (from libsystem_kernel)
000000018032d7a0 (__TEXT,__text) external _getsubopt
00000001802ea4f8 (__TEXT,__text) external _gettimeofday
0000000182440904 (__DATA,__bss) non-external _gettimeofday.cached_tz.0
0000000182440908 (__DATA,__bss) non-external _gettimeofday.cached_tz.1
0000000182440900 (__DATA,__bss) non-external _gettimeofday.validtz
00000001802e32ac (__TEXT,__text) external _getttyent
0000000182440798 (__DATA,__bss) non-external _getttyent.line
0000000180425320 (__DATA_CONST,__const) non-external _getttyent.nonexistent
0000000182440758 (__DATA,__bss) non-external _getttyent.tty
00000001802e3150 (__TEXT,__text) external _getttynam
00000001802e0fc4 (__TEXT,__text) non-external _gettype
00000001802e3a44 (__TEXT,__text) external _getusershell
00000001802e3cd4 (__TEXT,__text) external _getvfsbyname
00000001803129c4 (__TEXT,__text) external _getw
0000000180312a00 (__TEXT,__text) external _getwc
0000000180312a24 (__TEXT,__text) external _getwc_l
0000000180312a28 (__TEXT,__text) external _getwchar
0000000180312a58 (__TEXT,__text) external _getwchar_l
00000001802ead30 (__TEXT,__text) external _getwd
0000000180324a84 (__TEXT,__text) non-external _getzname
00000001803499c4 (__TEXT,__const) non-external _gmt
0000000180325108 (__TEXT,__text) non-external _gmt_init
000000018243f818 (__DATA,__data) non-external _gmt_once
000000018032414c (__TEXT,__text) external _gmtime
0000000182446d50 (__DATA,__bss) non-external _gmtime_key
0000000182446d4c (__DATA,__bss) non-external _gmtime_key_error
0000000180324220 (__TEXT,__text) non-external _gmtime_key_init
000000018243f808 (__DATA,__data) non-external _gmtime_once
00000001803242ec (__TEXT,__text) external _gmtime_r
0000000180323630 (__TEXT,__text) non-external _gmtload
0000000182446d90 (__DATA,__bss) non-external _gmtmem
0000000180324264 (__TEXT,__text) non-external _gmtsub
0000000180349afd (__TEXT,__const) non-external _gnuoptchar
0000000182440988 (__DATA,__bss) non-external _gottoprec
0000000180333bc8 (__TEXT,__text) external _grantpt
000000018031a3e4 (__TEXT,__text) non-external _grouping_init
000000018031f0f8 (__TEXT,__text) non-external _grouping_init
000000018031a5e0 (__TEXT,__text) non-external _grouping_print
000000018031f360 (__TEXT,__text) non-external _grouping_print
00000001802f10ac (__TEXT,__text) non-external _hash4
00000001802efc30 (__TEXT,__text) non-external _hash_access
00000001802ef458 (__TEXT,__text) non-external _hash_close
0000000180332094 (__TEXT,__text) external _hash_create
00000001802ef49c (__TEXT,__text) non-external _hash_delete
0000000180332104 (__TEXT,__text) external _hash_destroy
00000001802ef520 (__TEXT,__text) non-external _hash_fd
00000001802ef558 (__TEXT,__text) non-external _hash_get
0000000180332370 (__TEXT,__text) external _hash_purge
00000001802ef5c0 (__TEXT,__text) non-external _hash_put
00000001803321e0 (__TEXT,__text) external _hash_search
00000001802ef64c (__TEXT,__text) non-external _hash_seq
00000001803323f8 (__TEXT,__text) external _hash_stats
00000001802ef890 (__TEXT,__text) non-external _hash_sync
00000001803322f0 (__TEXT,__text) external _hash_traverse
000000018032d914 (__TEXT,__text) external _hcreate
00000001802ef340 (__TEXT,__text) non-external _hdestroy
000000018032d9dc (__TEXT,__text) external _hdestroy
000000018032db34 (__TEXT,__text) external _heapsort
0000000180334318 (__TEXT,__text) external _heapsort_b
000000018034c11a (__TEXT,__cstring) non-external _hexlist
0000000182440800 (__DATA,__bss) non-external _hexpreg
                 (undefined) external _host_get_clock_service (from libsystem_kernel)
000000018032da60 (__TEXT,__text) external _hsearch
000000018244b548 (__DATA,__bss) non-external _htable
000000018244b550 (__DATA,__bss) non-external _htablesize
0000000180349ae8 (__TEXT,__const) non-external _illoptchar
0000000180349b9e (__TEXT,__const) non-external _illoptstring
000000018032ddc4 (__TEXT,__text) external _imaxabs
000000018032ddd0 (__TEXT,__text) external _imaxdiv
                 (indirect) external _index (for __platform_strchr)
00000001802e3a88 (__TEXT,__text) non-external _initshells
0000000180330e18 (__TEXT,__text) external _initstate
000000018032e728 (__TEXT,__text) non-external _insertionsort
00000001803356a4 (__TEXT,__text) non-external _insertionsort
000000018032ddfc (__TEXT,__text) external _insque
                 (undefined) external _ioctl (from libsystem_kernel)
00000001802e4c44 (__TEXT,__text) external _isalnum
00000001802e54cc (__TEXT,__text) external _isalnum_l
00000001802e4cbc (__TEXT,__text) external _isalpha
00000001802e5548 (__TEXT,__text) external _isalpha_l
00000001802e4c38 (__TEXT,__text) external _isascii
0000000180300408 (__TEXT,__text) external _isatty
00000001802e4d2c (__TEXT,__text) external _isblank
00000001802e55bc (__TEXT,__text) external _isblank_l
00000001802e4d9c (__TEXT,__text) external _iscntrl
00000001802e5630 (__TEXT,__text) external _iscntrl_l
00000001802e4e0c (__TEXT,__text) external _isdigit
00000001802e56a4 (__TEXT,__text) external _isdigit_l
00000001802e4e34 (__TEXT,__text) external _isgraph
00000001802e5718 (__TEXT,__text) external _isgraph_l
00000001802e51d0 (__TEXT,__text) external _ishexnumber
00000001802e578c (__TEXT,__text) external _ishexnumber_l
00000001802e5240 (__TEXT,__text) external _isideogram
00000001802e5800 (__TEXT,__text) external _isideogram_l
00000001802e4ea4 (__TEXT,__text) external _islower
00000001802e5874 (__TEXT,__text) external _islower_l
00000001802e52b0 (__TEXT,__text) external _isnumber
00000001802e58e8 (__TEXT,__text) external _isnumber_l
00000001802e5320 (__TEXT,__text) external _isphonogram
00000001802e595c (__TEXT,__text) external _isphonogram_l
00000001802e4f14 (__TEXT,__text) external _isprint
00000001802e59d0 (__TEXT,__text) external _isprint_l
00000001802e4f84 (__TEXT,__text) external _ispunct
00000001802e5a44 (__TEXT,__text) external _ispunct_l
00000001802e5390 (__TEXT,__text) external _isrune
00000001802e5ab8 (__TEXT,__text) external _isrune_l
                 (undefined) external _issetugid (from libsystem_kernel)
00000001802e4ff4 (__TEXT,__text) external _isspace
00000001802e5b3c (__TEXT,__text) external _isspace_l
00000001802e5404 (__TEXT,__text) external _isspecial
00000001802e5bb0 (__TEXT,__text) external _isspecial_l
0000000180304320 (__TEXT,__text) non-external _istrsenvisx
0000000180347774 (__TEXT,__text) non-external _istrsenvisx.cold.1
00000001803477a0 (__TEXT,__text) non-external _istrsenvisx.cold.2
00000001803477cc (__TEXT,__text) non-external _istrsenvisx.cold.3
00000001803048b8 (__TEXT,__text) non-external _istrsenvisxl
00000001802e5064 (__TEXT,__text) external _isupper
00000001802e5c24 (__TEXT,__text) external _isupper_l
00000001802e5d5c (__TEXT,__text) external _iswalnum
00000001802e629c (__TEXT,__text) external _iswalnum_l
00000001802e5dd4 (__TEXT,__text) external _iswalpha
00000001802e6318 (__TEXT,__text) external _iswalpha_l
00000001802e68e4 (__TEXT,__text) external _iswascii
00000001802e6874 (__TEXT,__text) external _iswblank
00000001802e6b94 (__TEXT,__text) external _iswblank_l
00000001802e5e44 (__TEXT,__text) external _iswcntrl
00000001802e638c (__TEXT,__text) external _iswcntrl_l
00000001802e5eb4 (__TEXT,__text) external _iswctype
00000001802e6400 (__TEXT,__text) external _iswctype_l
00000001802e5f34 (__TEXT,__text) external _iswdigit
00000001802e6494 (__TEXT,__text) external _iswdigit_l
00000001802e5f5c (__TEXT,__text) external _iswgraph
00000001802e6508 (__TEXT,__text) external _iswgraph_l
00000001802e68f0 (__TEXT,__text) external _iswhexnumber
00000001802e6c08 (__TEXT,__text) external _iswhexnumber_l
00000001802e6960 (__TEXT,__text) external _iswideogram
00000001802e6c7c (__TEXT,__text) external _iswideogram_l
00000001802e5fcc (__TEXT,__text) external _iswlower
00000001802e657c (__TEXT,__text) external _iswlower_l
00000001802e69d0 (__TEXT,__text) external _iswnumber
00000001802e6cf0 (__TEXT,__text) external _iswnumber_l
00000001802e6a40 (__TEXT,__text) external _iswphonogram
00000001802e6d64 (__TEXT,__text) external _iswphonogram_l
00000001802e603c (__TEXT,__text) external _iswprint
00000001802e65f0 (__TEXT,__text) external _iswprint_l
00000001802e60ac (__TEXT,__text) external _iswpunct
00000001802e6664 (__TEXT,__text) external _iswpunct_l
00000001802e6ab0 (__TEXT,__text) external _iswrune
00000001802e6dd8 (__TEXT,__text) external _iswrune_l
00000001802e611c (__TEXT,__text) external _iswspace
00000001802e66d8 (__TEXT,__text) external _iswspace_l
00000001802e6b24 (__TEXT,__text) external _iswspecial
00000001802e6e5c (__TEXT,__text) external _iswspecial_l
00000001802e618c (__TEXT,__text) external _iswupper
00000001802e674c (__TEXT,__text) external _iswupper_l
00000001802e61fc (__TEXT,__text) external _iswxdigit
00000001802e67c0 (__TEXT,__text) external _iswxdigit_l
00000001802e50d4 (__TEXT,__text) external _isxdigit
00000001802e5c98 (__TEXT,__text) external _isxdigit_l
00000001803004b8 (__TEXT,__text) external _jrand48
0000000180425578 (__DATA_CONST,__const) external _kOSThermalNotificationPressureLevelName
                 (undefined) external _kill (from libsystem_kernel)
00000001802ead78 (__TEXT,__text) external _killpg
0000000180333da0 (__TEXT,__text) external _l64a
000000018244b5a0 (__DATA,__bss) non-external _l64a.buf
000000018032de20 (__TEXT,__text) external _labs
00000001803066fc (__TEXT,__text) non-external _largesearch
000000018244b4f8 (__DATA,__bss) non-external _last_default_tzload_mtimespec
000000018243f6c8 (__DATA,__data) non-external _lastglue
00000001802dff74 (__TEXT,__text) external _lchflags
00000001802e0008 (__TEXT,__text) external _lchmod
00000001824424d4 (__DATA,__bss) non-external _lcl_TZname
00000001824424d0 (__DATA,__bss) non-external _lcl_is_set
000000018243f720 (__DATA,__data) non-external (was a private external) _lcl_rwlock
00000001824425d8 (__DATA,__bss) non-external _lclmem
00000001803004fc (__TEXT,__text) external _lcong48
000000018032de2c (__TEXT,__text) external _ldiv
000000018032df28 (__TEXT,__text) external _lfind
0000000180315edc (__TEXT,__text) non-external _lflush
000000018030e434 (__TEXT,__text) external _link_addr
000000018030e5f4 (__TEXT,__text) external _link_ntoa
0000000182440bfc (__DATA,__bss) non-external _link_ntoa.obuf
000000018032de58 (__TEXT,__text) external _llabs
000000018032de64 (__TEXT,__text) external _lldiv
000000018030eb10 (__TEXT,__text) non-external _loadCat
000000018030ac10 (__TEXT,__text) non-external _loadlocale
00000001803090cc (__TEXT,__text) external _localeconv
0000000180308f6c (__TEXT,__text) external _localeconv_l
00000001803477f8 (__TEXT,__text) non-external _localeconv_l.cold.1
0000000180347814 (__TEXT,__text) non-external _localeconv_l.cold.2
0000000180323fc0 (__TEXT,__text) external _localtime
0000000182446d48 (__DATA,__bss) non-external _localtime_key
0000000182446d40 (__DATA,__bss) non-external _localtime_key_error
00000001803240a4 (__TEXT,__text) non-external _localtime_key_init
000000018243f7f8 (__DATA,__data) non-external _localtime_once
00000001803240e8 (__TEXT,__text) external _localtime_r
000000018034515c (__TEXT,__text) external _lockf
0000000180300540 (__TEXT,__text) external _lockf$NOCANCEL
00000001802e94b0 (__TEXT,__text) external _login_tty
0000000180300634 (__TEXT,__text) external _lrand48
000000018032de90 (__TEXT,__text) external _lsearch
                 (undefined) external _lseek (from libsystem_kernel)
                 (undefined) external _lstat (from libsystem_kernel)
00000001802e0054 (__TEXT,__text) external _lutimes
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_boottime_usec (from libsystem_kernel)
                 (undefined) external _mach_continuous_approximate_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_error_string (from libsystem_kernel)
                 (undefined) external _mach_host_self (from libsystem_kernel)
                 (undefined) external _mach_port_deallocate (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _malloc (from libsystem_malloc)
0000000180425378 (__DATA_CONST,__const) non-external _mapping
0000000180309170 (__TEXT,__text) external _mblen
00000001803090f0 (__TEXT,__text) external _mblen_l
0000000180309254 (__TEXT,__text) external _mbrlen
0000000180309204 (__TEXT,__text) external _mbrlen_l
00000001803092fc (__TEXT,__text) external _mbrtowc
00000001803092bc (__TEXT,__text) external _mbrtowc_l
0000000180309388 (__TEXT,__text) external _mbsinit
0000000180309354 (__TEXT,__text) external _mbsinit_l
0000000180309414 (__TEXT,__text) external _mbsnrtowcs
00000001803093d4 (__TEXT,__text) external _mbsnrtowcs_l
00000001803095ec (__TEXT,__text) external _mbsrtowcs
00000001803095a0 (__TEXT,__text) external _mbsrtowcs_l
00000001803096f8 (__TEXT,__text) external _mbstowcs
0000000180309650 (__TEXT,__text) external _mbstowcs_l
0000000180309828 (__TEXT,__text) external _mbtowc
00000001803097b4 (__TEXT,__text) external _mbtowc_l
                 (indirect) external _memccpy (for __platform_memccpy)
                 (indirect) external _memchr (for __platform_memchr)
                 (indirect) external _memcmp (for __platform_memcmp)
                 (indirect) external _memcpy (for __platform_memmove)
0000000180328780 (__TEXT,__text) external _memmem
                 (indirect) external _memmove (for __platform_memmove)
                 (indirect) external _memset (for __platform_memset)
                 (indirect) external _memset_pattern16 (for __platform_memset_pattern16)
                 (indirect) external _memset_pattern4 (for __platform_memset_pattern4)
                 (indirect) external _memset_pattern8 (for __platform_memset_pattern8)
000000018033a168 (__TEXT,__text) external _memset_s
000000018030e418 (__TEXT,__text) non-external _memstream_close
000000018030e380 (__TEXT,__text) non-external _memstream_seek
000000018034785c (__TEXT,__text) non-external _memstream_seek.cold.1
0000000180347888 (__TEXT,__text) non-external _memstream_seek.cold.2
000000018030e23c (__TEXT,__text) non-external _memstream_update
0000000180347830 (__TEXT,__text) non-external _memstream_update.cold.1
000000018030e274 (__TEXT,__text) non-external _memstream_write
000000018032dfa0 (__TEXT,__text) external _mergesort
0000000180334e50 (__TEXT,__text) external _mergesort_b
                 (undefined) external _mkdirat (from libsystem_kernel)
000000018031334c (__TEXT,__text) external _mkdtemp
00000001803133d8 (__TEXT,__text) external _mkdtempat_np
0000000180313270 (__TEXT,__text) external _mkostemp
0000000180312de4 (__TEXT,__text) external _mkostemps
0000000180313158 (__TEXT,__text) external _mkostempsat_np
00000001802e9940 (__TEXT,__text) external _mkpath_np
00000001802e9954 (__TEXT,__text) external _mkpathat_np
00000001803132f4 (__TEXT,__text) external _mkstemp
0000000180313520 (__TEXT,__text) external _mkstemp_dprotected_np
00000001803131cc (__TEXT,__text) external _mkstemps
0000000180313224 (__TEXT,__text) external _mkstempsat_np
00000001803134c8 (__TEXT,__text) external _mktemp
00000001803246b8 (__TEXT,__text) external _mktime
00000001803499d0 (__TEXT,__const) non-external _mon_lengths
00000001802e4c20 (__TEXT,__text) external _monaddition
00000001802e4c30 (__TEXT,__text) external _moncontrol
00000001802e4c34 (__TEXT,__text) external _moncount
00000001802e4c18 (__TEXT,__text) external _moninit
00000001802e4c2c (__TEXT,__text) external _monitor
00000001802e4c28 (__TEXT,__text) external _monoutput
00000001802e4c24 (__TEXT,__text) external _monreset
00000001802e4c1c (__TEXT,__text) external _monstartup
000000018031053c (__TEXT,__text) non-external _moreglue
00000001802f2c40 (__TEXT,__text) non-external _mpool_bkt
00000001802f2f1c (__TEXT,__text) external _mpool_close
00000001802f2b88 (__TEXT,__text) external _mpool_filter
00000001802f2d2c (__TEXT,__text) external _mpool_get
00000001802f2b98 (__TEXT,__text) external _mpool_new
000000018034706c (__TEXT,__text) non-external _mpool_new.cold.1
00000001802f2aa0 (__TEXT,__text) external _mpool_open
00000001802f2f00 (__TEXT,__text) external _mpool_put
00000001802f2f78 (__TEXT,__text) external _mpool_sync
00000001802f2ff0 (__TEXT,__text) non-external _mpool_write
0000000180300668 (__TEXT,__text) external _mrand48
00000001802eb158 (__TEXT,__text) non-external _mswap
                 (undefined) external _munmap (from libsystem_kernel)
                 (undefined) external _nan (from libsystem_m)
                 (undefined) external _nanf (from libsystem_m)
                 (undefined) external _nanl (from libsystem_m)
00000001803453f8 (__TEXT,__text) external _nanosleep
00000001802e3e78 (__TEXT,__text) external _nanosleep$NOCANCEL
0000000182440a28 (__DATA,__bss) non-external _new_categories
00000001802e8a74 (__TEXT,__text) external _new_printf_comp
00000001802e8e90 (__TEXT,__text) external _new_printf_domain
00000001802e7318 (__TEXT,__text) external _newlocale
000000018243f8b8 (__DATA,__data) non-external _next
00000001802fdafc (__TEXT,__text) non-external _nextcomp
0000000182440938 (__DATA,__bss) non-external _nextcomp.lmsgverb
0000000182440958 (__DATA,__bss) non-external _nextcomp.state
0000000180309bec (__TEXT,__text) external _nextwctype
0000000180309a68 (__TEXT,__text) external _nextwctype_l
00000001802e448c (__TEXT,__text) external _nftw
000000018030069c (__TEXT,__text) external _nice
000000018030a044 (__TEXT,__text) external _nl_langinfo
0000000180309c10 (__TEXT,__text) external _nl_langinfo_l
0000000182440a20 (__DATA,__bss) non-external _nl_langinfo_l.csym
0000000180349b51 (__TEXT,__const) non-external _noarg
0000000180349754 (__TEXT,__const) non-external _nogrouping
000000018243f88c (__DATA,__data) non-external _nonopt_end
000000018243f890 (__DATA,__data) non-external _nonopt_start
000000018030075c (__TEXT,__text) external _nrand48
000000018243f2dc (__DATA,__data) non-external _numempty
00000001803492b0 (__TEXT,__const) non-external _nv
0000000180304a5c (__TEXT,__text) external _nvis
000000018243f9b0 (__DATA,__data) external _off32
000000018243fa08 (__DATA,__data) external _off64
00000001803242f8 (__TEXT,__text) external _offtime
0000000180425360 (__DATA_CONST,__const) non-external _okshells
                 (undefined) external _open$NOCANCEL (from libsystem_kernel)
                 (undefined) external _open_dprotected_np (from libsystem_kernel)
000000018030e110 (__TEXT,__text) external _open_memstream
00000001802e80dc (__TEXT,__text) external _open_with_subsystem
0000000180321e7c (__TEXT,__text) external _open_wmemstream
                 (undefined) external _openat$NOCANCEL (from libsystem_kernel)
00000001803007a0 (__TEXT,__text) external _opendir
0000000180300d1c (__TEXT,__text) non-external _opendir_compar
000000018244b680 (__DATA,__common) external _optarg
000000018243f878 (__DATA,__data) external _opterr
000000018243f87c (__DATA,__data) external _optind
000000018244b67c (__DATA,__common) external _optopt
000000018244b678 (__DATA,__common) external _optreset
                 (undefined) external _os_unfair_lock_lock (from libsystem_platform)
                 (undefined) external _os_unfair_lock_lock_with_options (from libsystem_platform)
                 (undefined) external _os_unfair_lock_unlock (from libsystem_platform)
0000000182440918 (__DATA,__bss) non-external _p5s
00000001803497a5 (__TEXT,__const) non-external _padchar
0000000182440752 (__DATA,__bss) non-external _parse_error
000000018032d3d8 (__TEXT,__text) non-external _parse_long_options
0000000182440750 (__DATA,__bss) non-external _parsed
                 (undefined) external _pathconf (from libsystem_kernel)
0000000180345250 (__TEXT,__text) external _pause
0000000180300d30 (__TEXT,__text) external _pause$NOCANCEL
0000000180301084 (__TEXT,__text) external _pclose
000000018032d338 (__TEXT,__text) non-external _permute_args
00000001803478e0 (__TEXT,__text) external _perror
0000000182440990 (__DATA,__bss) non-external _pfp
                 (undefined) external _pipe (from libsystem_kernel)
000000018243f898 (__DATA,__data) non-external _place
0000000180300d64 (__TEXT,__text) external _popen
0000000180345860 (__TEXT,__text) external _popen$DARWIN_EXTSN
0000000180324808 (__TEXT,__text) external _posix2time
0000000180333b9c (__TEXT,__text) external _posix_openpt
                 (undefined) external _posix_spawn (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addclose (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_adddup2 (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_addinherit_np (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawn_file_actions_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_destroy (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_init (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setflags (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigdefault (from libsystem_kernel)
                 (undefined) external _posix_spawnattr_setsigmask (from libsystem_kernel)
00000001802ea5dc (__TEXT,__text) external _posix_spawnp
                 (undefined) external _pread$NOCANCEL (from libsystem_kernel)
0000000180315970 (__TEXT,__text) external _printf
00000001803159cc (__TEXT,__text) external _printf_l
00000001802fd858 (__TEXT,__text) non-external _printfmt
                 (undefined) external _proc_name (from libsystem_kernel)
000000018030119c (__TEXT,__text) external _psignal
                 (undefined) external _pthread_get_stackaddr_np (from libsystem_pthread)
                 (undefined) external _pthread_get_stacksize_np (from libsystem_pthread)
                 (undefined) external _pthread_getspecific (from libsystem_pthread)
                 (undefined) external _pthread_key_create (from libsystem_pthread)
                 (undefined) external _pthread_key_init_np (from libsystem_pthread)
                 (undefined) external _pthread_kill (from libsystem_pthread)
                 (undefined) external _pthread_mutex_destroy (from libsystem_pthread)
                 (undefined) external _pthread_mutex_lock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_trylock (from libsystem_pthread)
                 (undefined) external _pthread_mutex_unlock (from libsystem_pthread)
                 (undefined) external _pthread_once (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_destroy (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_rdlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_unlock (from libsystem_pthread)
                 (undefined) external _pthread_rwlock_wrlock (from libsystem_pthread)
                 (undefined) external _pthread_self (from libsystem_pthread)
                 (undefined) external _pthread_setspecific (from libsystem_pthread)
                 (undefined) external _pthread_sigmask (from libsystem_pthread)
                 (undefined) external _pthread_stack_frame_decode_np (from libsystem_pthread)
                 (undefined) external _pthread_testcancel (from libsystem_pthread)
0000000180333bd4 (__TEXT,__text) external _ptsname
0000000180347e20 (__TEXT,__text) non-external _ptsname.cold.1
0000000180347e3c (__TEXT,__text) non-external _ptsname.cold.2
000000018244b598 (__DATA,__bss) non-external _ptsname_buffer_specific_key
000000018244b590 (__DATA,__bss) non-external _ptsname_once
0000000180333c88 (__TEXT,__text) non-external _ptsname_once_init
0000000180347e58 (__TEXT,__text) non-external _ptsname_once_init.cold.1
0000000180333cc4 (__TEXT,__text) external _ptsname_r
0000000180315a0c (__TEXT,__text) external _putc
0000000180315a9c (__TEXT,__text) external _putc_unlocked
0000000180315ae4 (__TEXT,__text) external _putchar
0000000180315b7c (__TEXT,__text) external _putchar_unlocked
000000018032e868 (__TEXT,__text) external _putenv
00000001802f19c8 (__TEXT,__text) non-external _putpair
0000000180315bd0 (__TEXT,__text) external _puts
0000000180315cac (__TEXT,__text) external _putw
0000000180315d1c (__TEXT,__text) external _putwc
0000000180315d40 (__TEXT,__text) external _putwc_l
0000000180315d44 (__TEXT,__text) external _putwchar
0000000180315d74 (__TEXT,__text) external _putwchar_l
                 (undefined) external _pwrite$NOCANCEL (from libsystem_kernel)
000000018032e904 (__TEXT,__text) external _qsort
000000018033428c (__TEXT,__text) external _qsort_b
000000018032f420 (__TEXT,__text) external _qsort_r
00000001802e7964 (__TEXT,__text) external _querylocale
00000001803300fc (__TEXT,__text) non-external _r_sort_a
000000018244b564 (__DATA,__bss) non-external _r_sort_a.bmin
000000018244b558 (__DATA,__bss) non-external _r_sort_a.count
000000018244b560 (__DATA,__bss) non-external _r_sort_a.nc
000000018244b568 (__DATA,__bss) non-external _r_sort_a_count
0000000180330678 (__TEXT,__text) non-external _r_sort_b
000000018244b584 (__DATA,__bss) non-external _r_sort_b.bmin
000000018244b578 (__DATA,__bss) non-external _r_sort_b.count
000000018244b580 (__DATA,__bss) non-external _r_sort_b.nc
000000018244b570 (__DATA,__bss) non-external _r_sort_b_count
00000001803309e4 (__TEXT,__text) non-external _r_sort_count_allocate
000000018243f8a8 (__DATA,__data) non-external _r_sort_count_control
0000000180330010 (__TEXT,__text) external _radixsort
00000001802e995c (__TEXT,__text) external _raise
0000000180330a88 (__TEXT,__text) external _rand
000000018243f8cc (__DATA,__data) non-external _rand_deg
0000000180330a20 (__TEXT,__text) external _rand_r
000000018243f8d0 (__DATA,__data) non-external _rand_sep
000000018243f8c8 (__DATA,__data) non-external _rand_type
0000000180330c64 (__TEXT,__text) external _random
000000018243f8f0 (__DATA,__data) non-external _randtbl
00000001802fe048 (__TEXT,__text) non-external (was a private external) _rangematch
000000018033a888 (__TEXT,__text) external _rb_tree_count
000000018033a1dc (__TEXT,__text) external _rb_tree_find_node
000000018033a24c (__TEXT,__text) external _rb_tree_find_node_geq
000000018033a2d8 (__TEXT,__text) external _rb_tree_find_node_leq
000000018033a1cc (__TEXT,__text) external _rb_tree_init
000000018033a364 (__TEXT,__text) external _rb_tree_insert_node
000000018033a808 (__TEXT,__text) external _rb_tree_iterate
000000018033a92c (__TEXT,__text) non-external _rb_tree_removal_rebalance
000000018033a580 (__TEXT,__text) external _rb_tree_remove_node
000000018033a894 (__TEXT,__text) non-external _rb_tree_reparent_nodes
0000000180349c08 (__TEXT,__const) non-external _rcsid
0000000180349c92 (__TEXT,__const) non-external _rcsid
                 (undefined) external _read$NOCANCEL (from libsystem_kernel)
00000001803013f0 (__TEXT,__text) external _readdir
0000000180301438 (__TEXT,__text) external _readdir_r
                 (undefined) external _readlink (from libsystem_kernel)
                 (undefined) external _realloc (from libsystem_malloc)
                 (undefined) external _reallocarray$DARWIN_EXTSN (from libsystem_malloc)
