00007ffb1bd15cf0 (__TEXT,__text) non-external +[ODCAction action]
00007ffb1bd21704 (__TEXT,__text) external _schema_construct_requestv
00007ffb1bd21ccc (__TEXT,__text) external _schema_construct_result
00007ffb1bd21cb2 (__TEXT,__text) external _schema_construct_resultv
00007ffb1bd21907 (__TEXT,__text) external _schema_deconstruct_request
00007ffb1bd21d76 (__TEXT,__text) external _schema_deconstruct_result
00007ffb1bd21bf1 (__TEXT,__text) external _schema_get_callback
00007ffb1bd21b66 (__TEXT,__text) external _schema_set_callback
                 (undefined) external _stat$INODE64 (from libSystem)
                 (undefined) external _strlen (from libSystem)
                 (undefined) external _uuid_unparse_upper (from libSystem)
                 (undefined) external _xpc_copy (from libSystem)
                 (undefined) external _xpc_dictionary_create (from libSystem)
                 (undefined) external _xpc_dictionary_set_int64 (from libSystem)
                 (undefined) external _xpc_dictionary_set_string (from libSystem)
