00007ff901314fc0 (__TEXT,__text) non-external +[Calculate _lock]
00007ff941f70420 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isCurrency
00007ff941f70410 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isDecomposable
00007ff941f70418 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isTemperature
00007ff941f70428 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._isVolume
00007ff941f70438 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._name
00007ff941f70430 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._unitType
00007ff941f70440 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitTypeInfo._units
00007ff941f70498 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._angleInfo
00007ff941f704a0 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._degreesInfo
00007ff941f704a8 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._radiansInfo
00007ff941f70460 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitCount
00007ff941f70480 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitIDToInfo
00007ff941f70478 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNameToInfo
00007ff941f70470 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitNames
00007ff941f70468 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeCount
00007ff941f70488 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeNameToInfo
00007ff941f70490 (__DATA,__objc_ivar) non-external _OBJC_IVAR_$_UnitsInfo._unitTypeToInfo
00007ff941f70ad8 (__DATA,__objc_data) external _OBJC_METACLASS_$_Calculate
00007ff941f70ab0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateRequest
00007ff941f70a60 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateResult
00007ff941f70a38 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateTerm
00007ff941f70b28 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateToken
00007ff941f70c18 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_CalculateTokenizer
00007ff941f709c0 (__DATA,__objc_data) external _OBJC_METACLASS_$_CalculateUnit
00007ff941f70768 (__DATA,__objc_data) external _OBJC_METACLASS_$_Converter
00007ff941f70790 (__DATA,__objc_data) external _OBJC_METACLASS_$_CurrencyCache
00007ff941f707b8 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Localize
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00007ff941f70948 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_Trie
00007ff941f70920 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_TrieNode
00007ff941f70858 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitInfo
00007ff941f707e0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRank
00007ff941f70808 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitRanks
00007ff941f70880 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitTypeInfo
00007ff941f708d0 (__DATA,__objc_data) non-external _OBJC_METACLASS_$_UnitsInfo
                 (undefined) external _SecTaskCopyValueForEntitlement (from Security)
                 (undefined) external _SecTaskCreateFromSelf (from Security)
00007ff9013009ad (__TEXT,__text) non-external _UnitCountAngleUnitID
00007ff90130110c (__TEXT,__text) non-external _UnitCountCompose
00007ff901300658 (__TEXT,__text) non-external _UnitCountConvert
00007ff9012ffcb6 (__TEXT,__text) non-external _UnitCountConvertID
00007ff901300ba6 (__TEXT,__text) non-external _UnitCountDecompose
00007ff9012ffbfd (__TEXT,__text) non-external _UnitCountHasNonAngleUnits
00007ff90130089e (__TEXT,__text) non-external _UnitCountMultiply
00007ff901300a4a (__TEXT,__text) non-external _UnitCountRequireDegrees
00007ff901300af8 (__TEXT,__text) non-external _UnitCountRequireRadians
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
00007ff9402911f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_CATEGORY_NSLocale_$_Whitespace
00007ff90135ef20 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Calculate
00007ff90135ef70 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateRequest
00007ff90135efa0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateResult
00007ff90135efd8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTerm
00007ff90135eff0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateToken
00007ff90135f008 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateTokenizer
00007ff90135f038 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CalculateUnit
00007ff90135f050 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Converter
00007ff90135f0a0 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_CurrencyCache
00007ff90135f0b8 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_Localize
00007ff90135f120 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitRanks
00007ff90135f138 (__TEXT,__objc_methlist) non-external __OBJC_$_CLASS_METHODS_UnitsInfo
00007ff90135f158 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateRequest
00007ff90135f208 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateResult
00007ff90135f4a8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTerm
00007ff90135f5e0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateToken
00007ff90135f640 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateTokenizer
00007ff90135f798 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CalculateUnit
00007ff90135f860 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Converter
00007ff90135fa48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_CurrencyCache
00007ff90135fbb0 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_NSLocale(Whitespace)
00007ff90135fbc8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_Trie
00007ff90135fce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_TrieNode
00007ff90135fd48 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitInfo
00007ff90135ff90 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRank
00007ff901360050 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitRanks
00007ff901360118 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitTypeInfo
00007ff901360220 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_UnitsInfo
00007ff940292b18 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateRequest
00007ff940292668 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateResult
00007ff9402924c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTerm
00007ff940292d38 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateToken
00007ff940292e98 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateTokenizer
00007ff940292328 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CalculateUnit
00007ff940293148 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Converter
00007ff940290eb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_CurrencyCache
00007ff940292098 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_Trie
00007ff940291f68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_TrieNode
00007ff9402915d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitInfo
00007ff940291278 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRank
00007ff9402913d8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitRanks
00007ff940291a68 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitTypeInfo
00007ff940291ce8 (__DATA_CONST,__objc_const) non-external __OBJC_$_INSTANCE_VARIABLES_UnitsInfo
00007ff940292bc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateRequest
00007ff940292910 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateResult
00007ff940292550 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTerm
00007ff940292dc0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateToken
00007ff940293000 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateTokenizer
00007ff9402923d0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CalculateUnit
00007ff9402932f0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Converter
00007ff940291040 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_CurrencyCache
00007ff940290ad0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00007ff940292200 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_Trie
00007ff940291fd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_TrieNode
00007ff940291880 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitInfo
00007ff940291300 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRank
00007ff9402914c0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitRanks
00007ff940291bb0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitTypeInfo
00007ff940291e30 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_UnitsInfo
00007ff9402908e0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00007ff940290ab0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00007ff940290bd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSXMLParserDelegate
00007ff940290b18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00007ff940290db8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSXMLParserDelegate
00007ff940290bb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_NSXMLParserDelegate
00007ff940290e58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_PROTOCOLS_$_CurrencyCache
00007ff940292ca8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Calculate
00007ff940292c18 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateRequest
00007ff940292a88 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateResult
00007ff9402925d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTerm
00007ff940292e08 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateToken
00007ff9402930b8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateTokenizer
00007ff940292438 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CalculateUnit
00007ff9402933c8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Converter
00007ff940291118 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_CurrencyCache
00007ff9402911a8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Localize
00007ff940292298 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_Trie
00007ff940292008 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_TrieNode
00007ff9402919d8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitInfo
00007ff940291348 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRank
00007ff940291548 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitRanks
00007ff940291c58 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitTypeInfo
00007ff940291ed8 (__DATA_CONST,__objc_const) non-external __OBJC_CLASS_RO_$_UnitsInfo
00007ff9402908c8 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSObject
00007ff9402908d0 (__DATA_CONST,__objc_protolist) non-external (was a private external) __OBJC_LABEL_PROTOCOL_$_NSXMLParserDelegate
00007ff940292c60 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Calculate
00007ff940292ad0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateRequest
00007ff940292620 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateResult
00007ff940292480 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTerm
00007ff940292cf0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateToken
00007ff940292e50 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateTokenizer
00007ff9402922e0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CalculateUnit
00007ff940293100 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Converter
00007ff940290e70 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_CurrencyCache
00007ff940291160 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Localize
00007ff940292050 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_Trie
00007ff940291f20 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_TrieNode
00007ff940291590 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitInfo
00007ff940291230 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRank
00007ff940291390 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitRanks
00007ff940291a20 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitTypeInfo
00007ff940291ca0 (__DATA_CONST,__objc_const) non-external __OBJC_METACLASS_RO_$_UnitsInfo
00007ff941f70d70 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSObject
00007ff941f70dd0 (__DATA,__data) non-external (was a private external) __OBJC_PROTOCOL_$_NSXMLParserDelegate
                 (undefined) external __Unwind_Resume (from libSystem)
00007ff90131127d (__TEXT,__text) non-external ___17-[UnitRanks sort]_block_invoke
00007ff9013252be (__TEXT,__text) non-external ___18+[Calculate _lock]_block_invoke
00007ff9013300e1 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke
00007ff9013301ed (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_2
00007ff901330e74 (__TEXT,__text) non-external ___23+[Converter initialize]_block_invoke_3
00007ff9012fe098 (__TEXT,__text) non-external ___23+[CurrencyCache shared]_block_invoke
00007ff9012fdfaa (__TEXT,__text) non-external ___24-[CurrencyCache refresh]_block_invoke
00007ff90131bf79 (__TEXT,__text) non-external ___25+[CalculateRequest _lock]_block_invoke
00007ff9013300b5 (__TEXT,__text) non-external ___26+[Converter dispatchQueue]_block_invoke
00007ff90131be62 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke
00007ff90131bcf5 (__TEXT,__text) non-external ___26-[CalculateRequest update]_block_invoke_2
00007ff90131bf52 (__TEXT,__text) non-external ___31+[CalculateRequest serialQueue]_block_invoke
00007ff90131f9b6 (__TEXT,__text) non-external ___31-[CalculateTerm formattedValue]_block_invoke
00007ff901328cb3 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke
00007ff9013289d1 (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_2
00007ff901328b4f (__TEXT,__text) non-external ___32-[CalculateTokenizer setString:]_block_invoke_3
00007ff9012fdb8e (__TEXT,__text) non-external ___32-[CurrencyCache _queue_refresh:]_block_invoke
00007ff90132819d (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke
00007ff9013289a7 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.244
00007ff901328346 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.246
00007ff90132859f (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.257
00007ff9013286e2 (__TEXT,__text) non-external ___33-[CalculateTokenizer _findTokens]_block_invoke.272
00007ff901329650 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke
00007ff901328f18 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.140
00007ff9013294e7 (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke.180
00007ff901328cdd (__TEXT,__text) non-external ___35-[CalculateTokenizer _loadIfNeeded]_block_invoke_2
00007ff9012fdf1a (__TEXT,__text) non-external ___36-[CurrencyCache refreshWithTimeOut:]_block_invoke
00007ff9013109b6 (__TEXT,__text) non-external ___38-[NSLocale(Whitespace) usesWhitespace]_block_invoke
00007ff901323bb4 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke
00007ff901323d90 (__TEXT,__text) non-external ___39-[CalculateResult localizedConversions]_block_invoke.478
00007ff90132e4ca (__TEXT,__text) non-external ___40-[Converter _updateInputValueFromMatch:]_block_invoke
00007ff90132527e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke
00007ff90131fe31 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.683
00007ff90131fef2 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.691
00007ff90131bf9e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.697
00007ff90131c076 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.701
00007ff901320374 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.706
00007ff90131c421 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.790
00007ff90131c484 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.803
00007ff9013200fe (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.808
00007ff90131fe24 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.834
00007ff90131cfc7 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.891
00007ff90131d23e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.901
00007ff90131d4dd (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke.935
00007ff9013204be (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2
00007ff901320445 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.698
00007ff901320392 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.702
00007ff90131c14e (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.713
00007ff9013202ab (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.804
00007ff901320063 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.816
00007ff90131caef (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_2.845
00007ff90131c83c (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3
00007ff90132035b (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.789
00007ff901320056 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.822
00007ff90131fb57 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_3.846
00007ff90131c657 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4
00007ff90131cc45 (__TEXT,__text) non-external ___42+[Calculate evaluate:options:needsUpdate:]_block_invoke_4.869
00007ff9012fdb1a (__TEXT,__text) non-external ___44-[CurrencyCache _loadPersistedCurrencyCache]_block_invoke
00007ff9012fdb54 (__TEXT,__text) non-external ___44-[CurrencyCache _queue_persistCurrencyCache]_block_invoke
00007ff90132e556 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke
00007ff90132fb23 (__TEXT,__text) non-external ___45-[Converter processConversionWithCompletion:]_block_invoke.167
00007ff901323dfb (__TEXT,__text) non-external ___46-[CalculateResult conversionsForMetric:US:UK:]_block_invoke
00007ff901314e77 (__TEXT,__text) non-external ___50+[Trie enumerateCharactersInKey:range:usingBlock:]_block_invoke
00007ff90131fa95 (__TEXT,__text) non-external ___73-[CalculateTerm getMaximumFractionDigits:minimumFractionDigits:forValue:]_block_invoke
00007ff90131c45f (__TEXT,__text) non-external ___Block_byref_object_copy_
00007ff901328321 (__TEXT,__text) non-external ___Block_byref_object_copy_.688
00007ff90131c475 (__TEXT,__text) non-external ___Block_byref_object_dispose_
00007ff901328337 (__TEXT,__text) non-external ___Block_byref_object_dispose_.689
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ff901310a35 (__TEXT,__text) non-external ___CalculateLogForCategory_block_invoke
                 (undefined) external ___NSArray0__struct (from CoreFoundation)
                 (undefined) external ___NSDictionary0__struct (from CoreFoundation)
                 (undefined) weak external ____chkstk_darwin (from libSystem)
00007ff9013023aa (__TEXT,__text) non-external ____functionAdd_block_invoke
00007ff90130314d (__TEXT,__text) non-external ____functionMultiply_block_invoke
00007ff901338190 (__TEXT,__text) non-external ___bid128_acos
00007ff901338445 (__TEXT,__text) non-external ___bid128_add
00007ff90133c7c0 (__TEXT,__text) non-external ___bid128_asin
00007ff90133ca82 (__TEXT,__text) non-external ___bid128_asinh
00007ff90133ccfa (__TEXT,__text) non-external ___bid128_atan
00007ff90133d0ff (__TEXT,__text) non-external ___bid128_atanh
00007ff90133d504 (__TEXT,__text) non-external ___bid128_cbrt
00007ff90133fa78 (__TEXT,__text) non-external ___bid128_cos
00007ff9013403fc (__TEXT,__text) non-external ___bid128_div
00007ff901342a24 (__TEXT,__text) non-external ___bid128_exp
00007ff901342d80 (__TEXT,__text) non-external ___bid128_fma
00007ff90134a377 (__TEXT,__text) non-external ___bid128_fmod
00007ff9013566c2 (__TEXT,__text) non-external ___bid128_from_string
00007ff90134ae2b (__TEXT,__text) non-external ___bid128_hypot
00007ff90134c6af (__TEXT,__text) non-external ___bid128_isZero
00007ff90134b84c (__TEXT,__text) non-external ___bid128_lgamma
00007ff90134be1f (__TEXT,__text) non-external ___bid128_log
00007ff90134c19c (__TEXT,__text) non-external ___bid128_log10
00007ff90134c508 (__TEXT,__text) non-external ___bid128_mul
00007ff90134c721 (__TEXT,__text) non-external ___bid128_pow
00007ff90133d911 (__TEXT,__text) non-external ___bid128_quiet_equal
00007ff90133dd22 (__TEXT,__text) non-external ___bid128_quiet_greater
00007ff90133e466 (__TEXT,__text) non-external ___bid128_quiet_greater_equal
00007ff90133ebdb (__TEXT,__text) non-external ___bid128_quiet_less
00007ff90133f318 (__TEXT,__text) non-external ___bid128_quiet_less_equal
00007ff901350b6b (__TEXT,__text) non-external ___bid128_rem
00007ff9013516b5 (__TEXT,__text) non-external ___bid128_round_integral_exact
00007ff9013528dc (__TEXT,__text) non-external ___bid128_round_integral_nearest_even
00007ff901352da5 (__TEXT,__text) non-external ___bid128_round_integral_negative
00007ff90135322b (__TEXT,__text) non-external ___bid128_round_integral_zero
00007ff901353605 (__TEXT,__text) non-external ___bid128_sin
00007ff901353ffc (__TEXT,__text) non-external ___bid128_sqrt
00007ff901357804 (__TEXT,__text) non-external ___bid128_tan
00007ff9013594fd (__TEXT,__text) non-external ___bid128_to_binary128
00007ff901358c1b (__TEXT,__text) non-external ___bid128_to_binary64
00007ff901358164 (__TEXT,__text) non-external ___bid128_to_int32_int
00007ff90135592e (__TEXT,__text) non-external ___bid128_to_string
00007ff9013587d6 (__TEXT,__text) non-external ___bid128_to_uint64_int
00007ff901496a80 (__TEXT,__const) non-external ___bid_Ex128m128
00007ff901497a80 (__TEXT,__const) non-external ___bid_Ex192m192
00007ff901499680 (__TEXT,__const) non-external ___bid_Ex256m256
00007ff901496460 (__TEXT,__const) non-external ___bid_Ex64m64
00007ff901496830 (__TEXT,__const) non-external ___bid_Kx128
00007ff901497380 (__TEXT,__const) non-external ___bid_Kx192
00007ff901498d20 (__TEXT,__const) non-external ___bid_Kx256
00007ff9014963d0 (__TEXT,__const) non-external ___bid_Kx64
00007ff90136d500 (__TEXT,__const) non-external ___bid_char_table2
00007ff90136c940 (__TEXT,__const) non-external ___bid_char_table3
00007ff901492700 (__TEXT,__const) non-external ___bid_convert_table
00007ff901495600 (__TEXT,__const) non-external ___bid_estimate_decimal_digits
00007ff901493ff0 (__TEXT,__const) non-external ___bid_factors
00007ff901496c50 (__TEXT,__const) non-external ___bid_half128
00007ff901497d20 (__TEXT,__const) non-external ___bid_half192
00007ff901499a10 (__TEXT,__const) non-external ___bid_half256
00007ff901496540 (__TEXT,__const) non-external ___bid_half64
00007ff901496b20 (__TEXT,__const) non-external ___bid_mask128
00007ff901497b60 (__TEXT,__const) non-external ___bid_mask192
00007ff9014997b0 (__TEXT,__const) non-external ___bid_mask256
00007ff9014964b0 (__TEXT,__const) non-external ___bid_mask64
00007ff9013b66c0 (__TEXT,__const) non-external ___bid_maskhigh128
00007ff90136bd80 (__TEXT,__const) non-external ___bid_midi_tbl
00007ff901496700 (__TEXT,__const) non-external ___bid_midpoint128
00007ff901497100 (__TEXT,__const) non-external ___bid_midpoint192
00007ff901498ac0 (__TEXT,__const) non-external ___bid_midpoint256
00007ff901496330 (__TEXT,__const) non-external ___bid_midpoint64
00007ff901369980 (__TEXT,__const) non-external ___bid_mod10_18_tbl
00007ff9013b5680 (__TEXT,__const) non-external ___bid_nr_digits
00007ff9013b6a80 (__TEXT,__const) non-external ___bid_onehalf128
00007ff901493b00 (__TEXT,__const) non-external ___bid_packed_10000_zeros
00007ff901495b60 (__TEXT,__const) non-external ___bid_power10_index_binexp_128
